Post,Pos,Neu,Neg,Compound,Overall Sentiment
Beach erosion.,0.0,1.0,0.0,0.0,NEU
"Rate this storm for your area in terms of how ""bad"" it is. 1 being nothing to 10 being the worst.",0.0,0.823,0.177,-0.6249,NEG
This is Savannah Georgia. Debby is no where near them yet. Very common to see high impacts far from the center in these weaker storms.,0.0,0.819,0.181,-0.6249,NEG
Coastal roads inundated with water in Sarasota. This is typical in these areas during a tropical system.,0.0,1.0,0.0,0.0,NEU
"Pinellas islands also flooding. Remember these communities are built on barrier islands, which are meant to flood and protect the main land from strong surf. This type of flooding is normal during tropical systems in these areas.",0.143,0.821,0.036,0.6597,POS
Tampa Bay Highway during tropical storm Debby. This is the Courtney Campbell causeway.,0.0,1.0,0.0,0.0,NEU
Magic Kingdom update during Debby.,0.0,1.0,0.0,0.0,NEU
"Tropical storm #Debby in Pass-a-Grille, Fla.",0.0,1.0,0.0,0.0,NEU
Debby is making its closest approach to Tampa Bay right now. The storm tracked closer to the coast. It's currently 70 miles west of us. Strong tropical storm winds of 56 mph+ extend 90 miles east of the center. Anyone along the coast seeing strong winds?,0.162,0.838,0.0,0.8074,POS
What's the worst in terms of damage that you've seen in your area from Debby?,0.0,0.64,0.36,-0.8074,NEG
8 PM DEBBY | Winds are up to 70 mph. Category 1 winds begin at 74 mph. Our area continues to see flash flooding and scattered tornado warnings. The 11 pm track may shift east for landfall as the center is closer to the coast than the 5 pm forecast track. We'll let you know as soon as that comes in.,0.0,0.962,0.038,-0.296,NEG
"Flooding in downtown Gulfport, Florida during tropical storm Debby. #Debby",0.0,1.0,0.0,0.0,NEU
"Share your storm photos & videos below. ⤵️
Anything you post here may be reposted by me.",0.128,0.872,0.0,0.296,POS
Some of the strongest winds from Debby are moving through now. Tampa & St. Pete gusting 40-50 mph.,0.153,0.847,0.0,0.4404,POS
Based on radar Debby looks to be about 60 miles west of Hernando County & moving north. It has made its closest approach to Tampa and is now moving away.,0.0,1.0,0.0,0.0,NEU
Even tropical storm Debby couldn't stop the crowds at Disney's Magic Kingdom Park. #debby,0.127,0.873,0.0,0.2235,POS
"You know, looking at the radar animation of Debby over the last 1-2 hours, it really looks like it hasn't moved much. This is concerning.",0.104,0.896,0.0,0.4173,POS
"BREAKING | Debby is now a hurricane with maximum sustained winds of 75 mph. Those winds only extend 40 mi NE of the center. No one the Tampa Bay area will see hurricane force winds from Debby. 
ABC Action News - WFTS - Tampa Bay",0.04,0.909,0.051,-0.128,NEG
"11 pm updated position has shifted Debby closer to the coast. Although the motion in the advisory is ""north"" it's really hard to believe that based on the latest radar loops (posted earlier). Let's hope Debby doesn't have a surprise up Its sleeve. We don't need it making landfall farther south, closer to us.",0.051,0.886,0.062,0.101,POS
