Post,NEG,NEU,POS,Compound,Sentiment
The 11am update from the NHC & morning model runs present some track changes. Here are the highlights in 90 seconds. #milton #hurricanemilton #hurricane #florida #flwx #tampa #tampabay #tropicalstormmilton,0.0,1.0,0.0,0.0,NEU
She must be trolling the comments.,0.0,1.0,0.0,0.0,NEU
"Some Tampa Bay area schools are ready closed Monday to Wednesday for both the storm and to give people a chance to plan and prepare. 
#milton #hurricane #hurricanemilton #tropicalstormmilton #tropicalstorm #flwx #florida #tampa #tampabay",0.0,0.873,0.127,0.5423,POS
"DEE-TAILS | Why Milton's track is crucial for folks on the west coast of Florida. 
#milton #hurricanemilton #hurricane #florida #tampa #tampabay #tropicalstormmilton #severeweather #severeweatherpreparedness  #SevereWeatherPreparedness",0.0,1.0,0.0,0.0,NEU
"Hillsborough County, Florida opens sandbag distribution:
❗🌧️ UPDATE: Sandbag distribution locations will open again today and tomorrow, weather permitting!
Ahead of #TropicalStormMilton, three sandbag distribution locations will be open throughout Hillsborough County. Residents must bring their ID and all locations are self-fill only.
Sandbags will be available:
- Sunday, 10/6, from 12 PM to 5 PM.
- Monday, 10/7, from 8 AM - 7 PM. 
🔗 Get info on sandbag distribution: https://bit.ly/4c8wgsN",0.0,1.0,0.0,0.0,NEU
"SUN OCT 6 | 1 PM UPDATE
Things are definitely trending in an interesting direction. Here's what new as of the 11 AM update from the NHC.
1.) Hurricane hunter aircraft have found that the center of Milton is farther south than they expected. They also found the storm is moving ESE instead of east. It's a small change but when you extrapolate that over 3 days of movement, it makes a HUGE difference for folks down the line as it would cause the track to shift farther south as well.
2.) The models are now picking up on this position change & the models are responding. Most of the spaghetti models have now shifted south of Tampa Bay. This is great news for anyone around the Bay as on the north side of the storm you'd get less wind & the wind would push water OUT of the way & into a Gulf, a reverse surge! We want that. Unfortunately, this also means that farther south the threat of a surge increases especially down into the Suncoast & Southwest Florida. Anyone from Sarasota to Naples needs to now follow this storm even more closely. Milton will be a much smaller than Helene so the area that will see the highest surge & the worst winds will be much smaller than it was with Helene & almost entirely to the right of the point of landfall. 
3.) The Hurricane center suggests that further shifts to the south in the track are possible in future updates. The hurricane center never goes ""all in"" on a model track change. They do the right thing by looking at trends over several updates & nudging their track in that direction. That's the right way to do it. 
4.) Hurricane hunter aircraft have found that Milton now has an eye wall. It's not a hurricane yet but will likely be soon. Now that the eye wall has formed, rapid strengthening is possible. A couple of these models bring this to Cat 4/5 north of  the Yucatan before some weakening occurs as it approaches Florida because of increasing upper-level winds around the storm (shear) & dry air coming in from the NW. Don't freak out if you see some BIG numbers from this storm in the next 24-48 hours. 
5.) As far as what anyone will see from the storm will really depend on the track of the eye because Milton is expected to be rather small. Hurricane winds may only extend 30 miles away from the eye in any direction & tropical storm winds may only reach out 130 miles away from the center. In Helene TS winds extended 345 miles. The ""maximum sustained winds"" you see listed on the graphics about the storm only occur within 5-10 miles of the eye. This means that only a small portion of our area will see hurricane-force winds. Those strongest winds are almost always on the right side of the eye as it's making landfall. If you're on the north side of the eye you'll get much less wind & if you're more than 50 miles away from the eye you'll likely just get tropical storm-force winds. 
The majority of the area will see winds equivalent to what we saw in Ian, Irma & Helene. Tropical storm winds with gusts over 60 mph for most. Only those right near the eye & to the right of the track near the eye will see any kind of nasty winds. Now, if you do get near the eye, nasty winds are absolutely possible as is damage from them. With the fast motion of this storm strong winds to the right of the eye can absolutely extend inland too, along the track. 
Can all this change? Oh yea! Wobbles, eye wall replacement cycles, the trough of low pressure to the north of Milton & its exact strength still play a role. We all need to prepare & we'll get a better idea of who exactly needs to be prepared when watches are issued along our coast & inland later today. This is why I'm updating so much. I want you to have the latest info. 
More updates to follow, 24/7/",0.05,0.876,0.074,0.9074,POS
"The 11 AM update from the NHC brought in some track changes for tropical storm Milton. Here is what that means for the Florida peninsula. 
#TropicalStormMilton #hurricane #tampabay #tropicalstormmilton #hurricanemilton #florida #milton #tampa",0.0,1.0,0.0,0.0,NEU
"Milton's rapid intensification is well underway, and the storm is now a Category 1 Hurricane with winds of 80 mph. Next track update comes in around 5 p.m.",0.0,0.92,0.08,0.2732,POS
"Great list to save & keep around for this & all hurricane seasons. 
#tampa #hurricanemilton #milton #hurricane #florida #tampabay #SevereWeatherPreparedness",0.0,0.687,0.313,0.8074,POS
"Windshield wiper effect in full swing! The models are back south & north now. I’m guessing the NHC will make very little change in the track at the 5 PM update. No one is out of the woods with this storm. Anyone from Cedar Key to Naples is still in the potential path, including Tampa Bay. Be patient & continue your preps as you see necessary. I’ll continue to update you 24/7. #florida #hurricanemilton #hurricane #tampa #tampabay #milton",0.033,0.967,0.0,-0.3595,NEG
"The folks at FDOT West Central - Tampa Area have been preparing for the storm all weekend: 
The Howard Frankland Bridge crews have been working around the clock to prepare the project for TS Milton. 
The barges are chained together and then securely anchored to the sea floor. “Barge Island” is almost complete. Once fully complete, there will be 24 cranes, 72 barges and will cover nearly 10 acres.",0.0,0.965,0.035,0.34,POS
MILTON | Sunday 5 PM update is in. No major changes with this one as some of the models that were trending south earlier are now back north. NHC will be conservative with track changes to keep it consistent. Milton is now stronger with winds of 85 mph and will continue to get stronger through the night. It'll approach the west coast of Florida Wednesday as a major hurricane. No new watches for Florida with this update,0.055,0.879,0.065,0.2023,POS
"NHC at 5pm: Intensity guidance is about as bullish as I've seen in this part of the basin, with
almost everything showing a peak intensity of category 4 or 5 in
the southern Gulf of Mexico in a day or two",0.0,1.0,0.0,0.0,NEU
"We could have a Cat 4 or 5 in the southern Gulf tomorrow or Tuesday. But the 5 pm update has some hope for the west coast of Florida as Milton approaches. Here's the latest in 90 seconds.  
#milton #tampa #hurricanemilton #tampabay #florida #hurricane",0.0,0.91,0.09,0.5927,POS
"School closure list due to Hurricane Milton continues to grow. 
What are you doing with your kids?",0.0,1.0,0.0,0.0,NEU
"SUN OCT 6 | 6 PM UPDATE
Some thoughts this evening before I head to bed:
1.) The NHC track shows little change for our area. Maybe a little farther north inland & a little farther south in the Gulf but the centerline is still about where it was at 11 am. 
2.) The spaghetti plot is now split with some models around the Bay & points north while a group of models is still eyeing Southwest Florida.
3.) The EURO & GFS are also no help with the GFS being back rather far north & the EURO bringing the storm into the Bay. 
4.) I cannot tell you what your area is going to get because I don't know where the eye is going to track since all the models are split. I can only say one thing: everyone in Tampa Bay will get tropical storm winds on Wednesday. I can't be more specific right now.
5.) The intensity forecast is interesting. The models have been so bullish with strengthening the storm to Cat 4 or 5 in the southern Gulf tomorrow & Tuesday that the NHC made a remark about it in their 5 PM update. They have increased the peak intensity to Cat 4 in the Gulf. Milton could even reach Cat 5 briefly. 
Beyond that the forecast is tricky & more optimistic for us. Upper-level winds (shear) will increase & Milton is forecast to weaken quickly as it approaches the west Florida coast. 
The NOAA hi-res HARF model shows Milton as a formidable storm Mon/Tue with a well-defined eye. But when the same system approaches our coast on Wed it looks VERY different. That eye is gone & the storm is lopsided with rain on the north side & dry it on the south & southwest. This would act to spread the winds of the storm over a larger area but also cause them to be overall weaker. The surge would not necessarily act the same way. The NHC will issue their forecast for surge tomorrow or late tonight when watches are posted. 
6.) Overall I can't say that anyone is ""in or out"" of this storm. The model data is not clear, the intensity forecast is complicated, & the shape & size of the storm is in question as it approaches. Hopefully, tomorrow will bring clearer answers. It usually does. 
See you in the AM!",0.038,0.897,0.065,0.8945,POS
"Evening video update on #HurricaneMilton. This one is longer than 90 seconds to give a bit more detail. It basically covers the long written update in video form. More of these tomorrow as Milton strengthens overnight. Stay tuned! 
#milton #hurricane #tampabay #tampa #florida",0.0,0.926,0.074,0.5093,POS
Milton still has winds of 85 mph. A new track comes out at 11pm. We'll have it for you. Doubt we see many changes since there is little agreement with the models at this point.,0.067,0.855,0.078,0.1045,POS
"11pm Hurricane Milton Update: Milton still has winds of 85 mph. The NHC predicts this will become a powerful Cat 4 hurricane on Tuesday. The track is ""essentially the same"" although the NHC does slow down the forward speed a bit. The slower it goes, the more time shear will have to weaken it a bit. But so there are no misunderstandings, Milton will be a powerful hurricane when it makes landfall on the West coast of Florida. We'll continue to update overnight as we get new model runs and information.",0.055,0.885,0.06,0.1292,POS
"UPDATE: Milton now has winds of 90 mph. The storm is clearly going through rapid intensification and will likely be a Cat 4 hurricane within 24 hours. It is possible the storm could strengthen to Cat 5 before slowly weakening a bit before making landfall on Wednesday. The official NHC forecast still has Milton a ""Major"" Cat 3 hurricane upon landfall. No track change at 11 as models are still divided on where the storm is going to end up. Updates 24/7.",0.055,0.883,0.061,0.128,POS
"MILTON | The 5 AM track is in. No major changes here. Milton is now stronger with winds of 100 mph. Continued increase in strength is likely today. Milton will likely reach Cat 4 intensity north of the Yucatan late today or early Tuesday. NHC notes the track of the storm is highly uncertain as it approaches Florida, as is the timing of when exactly that landfall will happen. Added to this, Milton will be entering strong wind shear as it approaches the Florida west coast likely causing some weakening in the system. Despite this, Milton is still likely to be a major hurricane as it makes landfall.",0.061,0.831,0.108,0.6712,POS
"Hurricane and surge watches are up! Big update from the NHC this morning. Here's what's new in about 1 min.  
#hurricanemilton #hurricane #tampabay #milton #florida",0.0,1.0,0.0,0.0,NEU
NEW | Hurricane hunter aircraft find Milton stronger. Winds are now at 120 mph. Milton is a dangerous Cat 3 hurricane. A slow motion just south of east continues. No track changes with this update.,0.148,0.78,0.072,-0.4019,NEG
"MON OCT 7 AM UPDATE
Lots of new info from the NHC with this update.
1.) Milton continues to intensify as forecast. It is now a Cat 3 storm. It is a tiny hurricane with a small pin-hole eye. Hurricane-force winds only extend up to 25 miles away from the eye. 
2.) Hurricane watches have been issued for the west coast of Florida. Not everyone in this area will see hurricane conditions. Only those near & south of the eye will actually see hurricane-force winds. Outside of this area most will just see tropical storm winds during the storm, & lots of rain. 
3.) Everyone along the coast is under a surge watch. The surge forecast numbers are BIG. But, unlike Helene, the surge will not impact everyone. The highest suggest will likely only happen in place where & just to the south of, the eye makes landfall. North of the eye the wind will be off-shore pushing the water out into the Gulf & away from the coast. The worst case scenario is a landfall north of the Bay in Pinellas or Pasco Counties. This would cause a record-setting surge in the Bay that could be up to 5 ft. higher than what we saw with Helene. Of course, if the landfall is south of the Bay then the storm could push water out of the Bay & we'd see a reverse surge & a drop in water levels. Unfortunately at this point I cannot say where this point of landfall will be. 
4.) This is not Helene. There is a lot more uncertainty with this track. There will be changes, likely until almost the point of landfall. I understand this is incredibly frustrating & unnerving. I'm with you & feel the same way. There's a lot we don't know about the storm but we have lots of time to prepare. Take the time you need the next 2 days to prepare & plan. If you're in an evacuation zone because of a flood zone, listen to the order. Evacuate. If you're not in an evacuation zone, you're ok to shelter in your home. Be prepared for power loss but you'll most likely be ok. Only mobile & manufactured homes are unsafe. 
More to come soon. 
#milton #hurricanemilton",0.059,0.916,0.025,-0.9421,NEG
"Milton is now a major Cat 3 hurricane. 
#hurricanemilton #milton #tampabay #florida #tampa #HurricaneMilton",0.0,1.0,0.0,0.0,NEU
Hurricane hunter find Milton stronger. Pressure is dropping fast. Winds now up to 125 mph. Milton will be a Cat 4 storm later today.,0.089,0.806,0.105,0.1027,POS
The eye of Hurricane Milton right now is only 12 miles across.,0.0,1.0,0.0,0.0,NEU
"With Milton now stronger, the NHC has upped the max intensity forecast to 155 mph near the Yucatan. The track for the next 36 hours has also nudged south. This now shows it's possible for the eye to make landfall in the Yucatan before turning northeast toward Florida.",0.0,0.948,0.052,0.3818,POS
"Based on the Mon Oct 7 5am track, strong tropical storm winds won't begin to move in until Wednesday afternoon. The first half of Wednesday will feature some wind and probably a lot of rain but conditions likely won't get bad Wednesday until the evening.",0.0,0.874,0.126,0.7118,POS
"It's possible if the center of the storm goes any farther south, it could make a brief landfall in the Yucatan.",0.0,1.0,0.0,0.0,NEU
Milton has rapidly intensified to a Cat 4 storm with 150 mph winds. It is still expected to weaken prior to landfall on Wednesday.,0.118,0.882,0.0,-0.4215,NEG
Impressive hi-res satellite image of Cat 4 Milton as it approaches the northern Yucatan. Pressure continues to drop and winds continue to increase,0.154,0.645,0.201,0.3182,POS
Mandatory evacuations begin in Hillsborough County at 2:30 PM today for zones A & B along with manufactured & mobile homes.,0.0,0.925,0.075,0.0772,POS
Mandatory evacuation orders for Hillsborough county zones A & B along with all manufactured/mobile housing beginning today at 2:30pm.,0.0,0.92,0.08,0.0772,POS
Flights after 9am on Tuesday out of Tampa International Airport are cancelled until the airport resumes normal operation after the storm. No way to tell when that would be until the storm moves by,0.116,0.884,0.0,-0.4939,NEG
TPA is closing at 9am for all commercial & cargo flights and will remain closed until it can assess any damage after the storm.,0.127,0.873,0.0,-0.4939,NEG
"Here are the sandbag locations we know of now around Tampa Bay. 
An updated list is available here: https://www.abcactionnews.com/.../sandbag-locations-open...",0.0,1.0,0.0,0.0,NEU
"In-depth update on Milton. This video was recorded prior to the Mon Oct 7 11am update from the NHC. 
#HurricaneMilton #tampabay #tampa #florida",0.0,1.0,0.0,0.0,NEU
"11am Update: Milton continues to rapidly intensify. Likely to become a Cat 5 hurricane, but still forecast to weaken prior to landfall.",0.163,0.837,0.0,-0.5719,NEG
Milton has rapidly intensified to a Category 5 storm.,0.0,1.0,0.0,0.0,NEU
"Hurricane Milton is a dangerous and impressive storm. Some weakening before it reaches Florida is still forecast. 
#HurricaneMilton #tampabay #florida #milton #tampa",0.201,0.632,0.167,-0.2263,NEG
Incredible satellite image over the last 3 hours showing the 12 mile eye of Cat 5 Hurricane Milton developing. The pressure inside the eye continues to drop causing the winds to increase. Winds are at 160 mph and could still go higher.,0.099,0.849,0.053,-0.25,NEG
"Monday, Oct 7 | 1 PM Update
Wow! What a morning for Milton! 
The storm has gone through the 3rd fastest intensification cycle (by wind speed) ever observed in the Atlantic Basin, only behind Felix (2007) & Wilma (2005). 
1.) Milton is a dangerous Cat 5 hurricane with winds of 160 mph. 
2.) The storm may brush the northern coast of the Yucatan but that will make little difference in its future track or intensity.
3.) Satellite presentation shows an impressive storm with a small pin-hole eye. The hurricane winds only extend 30 miles from the eye.
4.) The track should continue ESE & then turn more E & then ENE as a trough of low pressure approaches Milton from the NW on Tuesday. An increase in forward speed should also begin. Spaghetti plot is south of the NHC track but the NHC says they don't trust this & have maintained a track north of Tampa Bay on Wednesday evening. 
5.) The intensity of the storm over the next 36 hours will mainly be controlled by eyewall replacement cycles. This is the normal life cycle of a hurricane. The eyewall collapses & a new one develops. This can cause the intensity to go down & then come back up once a new eyewall develops. 
6.) As the storm approaches Florida strong upper-level winds will likely begin to impact Milton in a negative way, stretching the storm toward the northeast & gradually weakening it. Just how much it weakens before reaching the west coast of Florida is hard to pin down. It seems likely that Milton will weaken to at least a Cat 3 storm. 
This weakening trend does show up in ALL the model data (included in this post). What is worrying is that this weakening only begins 12-18 hours before landfall making this a very close call for the Florida west coast. 
7.) The surge forecast has not changed. That all these numbers will happen. The forecast is for the worst-case scenario & will only happen at & south of the point of landfall with the highest surges only 20-30 miles south of the eye. North of the eye the surge will be much lower as the winds blow off-shore.
8.) Mon & Tue are perfectly fine days for last-minute preps. There will be some showers around but no severe or dangerous weather. Even Wednesday morning, though wet & rainy, will likely be safe. It's after 2 PM on Wed that conditions will quickly go down-hill, depending on the speed of the storm. As of now, I'd say that 4pm is the cut-off for being out of a safe place on Wednesday. 
PERSONAL NOTE:
Milton needs to be taken seriously. The current forecast is the worst case track for Tampa Bay. A wobble or last-minute turn is still very possible, but it's too close to call so it's absolutely best to act & pretend like the worst will happen & be surprised with something much less. 
PLEASE evacuate if you're told to do so. Places that can flood in this storm will be told to evacuate, & they should. You do not however need to leave the state or even the area. It's ok to be here for the winds (unless you're in a mobile or manufactured home). That means you may only need to travel a couple miles to a shelter or friend's or family house to get into an elevated area away from the water. Please don't stay for this storm if you're told to evacuate. If you're not in an evacuation zone then you can stay & you will be ok. Just remember, following the storm, some areas will see widespread & possibly long-lasting power & water outages.",0.105,0.808,0.087,-0.8378,NEG
Milton explosively intensifies to 175mph winds,0.0,1.0,0.0,0.0,NEU
"Hurricane Milton poses a serious threat to Florida. If you are in an evacuation zone, please leave. If you are not in an evacuation zone, you can shelter in place for wind as long as you are not in a mobile or manufactured home. We have plenty of time to prepare and act. Make good use of this time.
#florida #milton #tampabay #HurricaneMilton",0.088,0.835,0.077,0.0772,POS
Hurricane Warnings are now in effect for the entire Bay Area. A Storm Surge Warning is now in effect for our entire coastline. This means hurricane conditions and an 8-12 foot Storm Surge are expected within 36 hours.,0.116,0.884,0.0,-0.5574,NEG
"5pm Hurricane Milton Update: Winds are now an unbelievable 180 mph. Milton is one of the strongest hurricanes ever to form in the Gulf. Hurricane and Storm Surge Warnings are now in effect. The 5pm track really hasn't changed much. There will always be wobbles and slight adjustments, but a track that impacts our area directly is highly likely. Unfortunately, no way to candy coat this.  It's about as bad as it gets. The only favorable scenario is Milton SHOULD weaken due to shear before landfall. NHC has it as a Cat 3 by then. Stay tuned for updates 24/7.",0.148,0.786,0.066,-0.8824,NEG
"People are getting the message! Home Depot plywood line was a circus but that’s a good thing. No panic. No freaking out. Focus, plan & prepare. Stay strong .",0.34,0.46,0.201,-0.6948,NEG
Uncle. Updated surge numbers from the NHC. They have raised max potential surge from 8-12 feet to 10 to 15 feet. Water will be the biggest threat with this storm. The wind will be weakening somewhat at landfall. The surge levels will be the worst along and just to the South of where the eye makes landfall. Most of the area will see winds of 80-95 mph with a small area near the eye actually getting the max winds.,0.116,0.884,0.0,-0.8689,NEG
"The eye of hurricane Milton, up close, over the last 3 hours. This is as impressive as I've ever seen.",0.0,0.845,0.155,0.5106,POS
"Potential impacts broken down from the US National Weather Service Tampa Bay Florida:
POTENTIAL IMPACTS
-----------------
* SURGE:
Prepare for life-threatening surge having possible catastrophic
impacts across Nature Coast, West-Central Florida, and Southwest Florida.
 Potential impacts in this area include:
    - Widespread deep inundation, with storm surge flooding greatly accentuated by powerful battering waves. Structural damage to buildings, with many washing away. Damage greatly compounded from considerable floating debris. Locations may be uninhabitable for an extended period.
    - Near-shore escape routes and secondary roads washed out or severely flooded. Flood control systems and barriers may become stressed.
    - Extreme beach erosion. New shoreline cuts possible.
    - Massive damage to marinas, docks, boardwalks, and piers.
      Numerous small craft broken away from moorings with many lifted onshore and stranded.
* WIND:
Prepare for life-threatening wind having possible devastating impacts across  Nature Coast, West-Central Florida, and Southwest Florida.
Potential impacts in this area include:
    - Structural damage to sturdy buildings, some with complete roof and wall failures. Complete destruction of mobile homes. Damage greatly accentuated by large airborne projectiles. Locations may be uninhabitable for weeks or months.
    - Numerous large trees snapped or uprooted along with fences and roadway signs blown over.
    - Many roads impassable from large debris, and more within urban or heavily wooded places. Many bridges, causeways, and access routes impassable.
    - Widespread power and communications outages.
* FLOODING RAIN:
Prepare for life-threatening rainfall flooding having possible
extensive impacts across Nature Coast, West-Central Florida, and Southwest Florida. Potential impacts include:
    - Major rainfall flooding may prompt many evacuations and rescues.
    - Rivers and tributaries may rapidly overflow their banks in
      multiple places. Small streams, creeks, canals, and ditches may become dangerous rivers. Flood control systems and barriers may become stressed.
    - Flood waters can enter many structures within multiple
      communities, some structures becoming uninhabitable or washed away. Many places where flood waters may cover escape routes.
     - Streets and parking lots become rivers of moving water with
 underpasses submerged. Driving conditions become dangerous. Many road and bridge closures with some weakened or washed out.
* TORNADOES:
Prepare for a tornado event having possible limited impacts across West Central and Southwest Florida. Potential impacts include:
    - The occurrence of isolated tornadoes can hinder the execution of emergency plans during tropical events.
    - A few places may experience tornado damage, along with power & communications disruptions.
    - Locations could realize roofs peeled off buildings, chimneys
      toppled, mobile homes pushed off foundations or overturned,
      large tree tops and branches snapped off, shallow-rooted trees knocked over, moving vehicles blown off roads, and boats pulled from moorings.",0.146,0.828,0.026,-0.9946,NEG
Here’s the latest on Milton as of 6pm Mon evening in 90 seconds. #milton #HurricaneMilton #florida #tampabay #tampa,0.0,1.0,0.0,0.0,NEU
"Recon aircraft finds Milton pressure down to 899mb. Eye is only 4 miles across.
It's the 5th lowest Atlantic pressure on record.",0.28,0.72,0.0,-0.7184,NEG
