id,type,platform,hurricane,days_from_landfall,source,author,created_date,text
phi_deb_Aug1_2,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,NEW | A heat advisory has been issued for our area today. The combination of high temperatures in the low to mid-90s and high humidity will mean the heat index may reach up to 111F at times between noon and 6 pm. Sct'd storms will bring cooler temps for some during the afternoon.
phi_deb_Aug1_3,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,FORECAST | Good morning! Sct'd storms return this afternoon providing some relief from the heat. Rain coverage could be a little higher than yesterday with the storms beginning a little earlier compared to Wednesday. Have a great day!
phi_deb_Aug1_4,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Thursday tropical thoughts.
1. Time frame on whatever happens is Sunday-Tuesday. No impacts before then. 
2. A weak system in the Eastern Gulf would still bring a lot of rain to Florida early next week. 
3. The NHC still gives this a 60% chance of development.  Dry air, land and some shear are still impacting its development. 
4. As we've been saying for a few days, IF this develops, it seems the Northern Gulf coast would be the area of concern. Lots of warm water and more time to tap the energy. 
5. Obviously, exact track and proximity to the coast is still yet to be determined.  But the current thinking is a weaker system from the Keys to the Bay Area as it tries to organize. IF it is able to do so, the threat of a stronger system in the panhandle can't be ignored. However,  it is by NO means, a sure thing.  We'll be updating 24/7 as always. 
6. Rule #7. Nothing to freak out about. Just stay abreast of any possible changes or impacts for the Northern Gulf coast. Don't freak out over one run of a particular model. That will drive you crazy before this hurricane season is over and is wrong 90% of the time when it shows a stronger storm when others don't. 
7. 🐢"
phi_deb_Aug1_5,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"TROPICS | NHC continues to update the area they expect development with this tropical wave as the models shift west. After highlighting areas east of Florida yesterday, the latest model shift west has the NHC now looking into the eastern Gulf. Any development likely not occurring until the weekend at the earliest. (Note: I mentioned a comparison to Elena in 1985 on DPL last night.  Too early to know for sure, but whatever forms could easily stall and possibly even loop in the Northern Gulf. We could be dealing with a messy rainmaker for quite awhile next week)"
phi_deb_Aug1_6,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Afternoon Tropical Update:
1. No surprises or changes to our thinking. Now up to 70% chance of development this weekend or early next week. 
2. Models still show a ragged system moving along the Eastern Gulf heading North Sunday and early next week. 
3. There is certainly the possibility this could get stronger, especially in the Northern Gulf. The water is very warm. You already know that.
4. So it's continue to be stalked by this turtle until we reach the weekend and see how it shapes up. 🐢
5. I'll say it again. Lots of rain for Florida. The threat of a tropical storm or even a hurricane can't be ruled out for the Northern Gulf.
6. For the Bay Area, I see Saturday being fine. Sunday will see rain increasing from the South with breezy weather along the coast. Way too early to know if surge will be an issue as that depends how close it actually get to us. Again, risk is higher to the North. 
7. Rule #7. Nothing to freak out about. Just keep an eye out in things and make your plans as needed. Watch DPL and ABC Action News tonight for the latest.
8. I don't know if your flight is cancelled yet...but probably not. Yes, it's probably gonna rain at Disney next week. That's an answer to eleventy billion messages so far today. 🤣"
phi_deb_Aug1_7,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"On a lighter note, Ryan left her phone at home. Desperate times call for desperate measures. 🤣 #dalimuseum"
phi_deb_Aug1_8,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,Models are beginning to agree on a general direction this system may take if and when it develops over the next 5-7 days.
phi_deb_Aug1_9,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Red draws your attention, what it means is that 2-7 days from now there is a 70% chance that a numbered or named storm could develop in the red area. We will be watching this closely and have regular updates on what to expect."
phi_deb_Aug1_10,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Lots to decipher. Hope to see you tonight on ABC Action News - WFTS - Tampa Bay and on DPL at 7:30. (No, I don't know if your flight is cancelled yet) 🤣"
phi_deb_Aug1_11,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Tropic Alert!  Debby on the way??
We've got a lot to talk about. Tracking what could be Debby in the Gulf later this weekend.   That's right now on DPL."
phi_deb_Aug1_12,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,🐢
phi_deb_Aug1_13,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,Here are my evening thoughts on what will likely become Tropical Storm Debby over the weekend.
phi_deb_Aug1_14,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,"Important Update: 
1. If you missed DPL, I talked about what I call the ""whack-a-mole"" effect. Remember the carnival game? Those little guys pop up all over the place without much notice.  Well, when a disorganized storm is over land, it sometimes tries to form a new center over water...away from the existing one. With Invest 97, this is a possibility. What does that mean?  If a new center forms NORTH of Cuba, it would develop faster and move a bit more to the East. 
2/ I'm not saying it will happen, but I've seen this before. It still won't have much time to develop, but the track could be closer to the Bay area and the impacts would be felt sooner. (Saturday night or Sunday morning)
3. THIS is why you really need to have an actual low center to track...otherwise, it's still guesswork.  So, hopefully, by the morning we will have that and can get a more definitive answer for timing. (And if your flights will be canceled🤣. )
4.  Just throwing that out there so we won't get caught by surprise if a new center forms overnight.  Either way, we'll update you 24/7 as always.  The season is just beginning. It's a marathon, not a sprint. 
5.  Rule #7  Nothing to freak out about...just be prepared and have a plan as always.  🐢"
phi_deb_Aug1_15,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,It's Florida folks. Just because a storm has its signal on doesn't mean it's gonna turn!
phi_deb_Aug1_16,post,facebook,Debby,-4,phillips,Denis Phillips,2024-08-01,Hall of Fame game canceled. We're on LIVE at 11 on ABC Action News with the latest on the tropics.
phi_deb_Aug2_1,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Oz GFS continues to bring Tropical Storm Debby (to be) close to the coastline Sunday am. Other models more offshore. It won't have a ton of time to develop, but if this is accurate,  expect some squally weather late Saturday and into Sunday morning. We should know track by Friday am once the center forms. As always, we'll be updating 24/7."
phi_deb_Aug2_2,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,2am advisory is out. Up to 80% chance wave becomes a depression or a tropical storm. Red hatched area includes the West coast of Florida and extends into the Gulf. Rainy and squally weather along the coast late Saturday and into Sunday. Might get a track on Friday if NHC decides to pull the trigger on a PTC advisory.  (Potential Tropical Cyclone).
phi_deb_Aug2_3,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,TROPICS | NHC increases chance of development near Florida to 80% as low pressure tracks along the northern Cuban coast toward the eastern Gulf.
phi_deb_Aug2_4,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,TODAY | A heat advisory is back today for a heat index of around 110F at times during the afternoon. Take plenty of breaks if working outside and remember to hydrate.
phi_deb_Aug2_5,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"NEW | Chance of development now up to 60% over the next 2 days, 90% beyond that. NHC says watches/warnings will likely be needed for Florida later today so also expect advisories on a Potential Tropical Cyclone. This is all to be expected and is ""on track"" with the forecast."
phi_deb_Aug2_6,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Friday Tropical Thoughts. I think we finally have a pretty good handle on what's going to happen with our ""Stalking Turtle"" aka Debby. 
1. I suspect the NHC puts us in a Tropical Storm Warning later today or tonight. They will likely issue a Potential Tropical Cyclone advisory. This allows them to put up warnings and offer a track.
2. Speaking of track, it looks like what likely will be Debby will make landfall somewhere between Pinellas and Levy County on Sunday. 
3. The storm should either be a Tropical Depression or a Tropical Storm at that time. That is really the only question mark left on the table. The longer it stays over water, the stronger it could become. So, the sooner the landfall the better.
4. Impacts?  Winds between 40 and 50 mph seem likely...with higher gusts. That sounds about like one of our afternoon thunderstorms, right?  We will also be in the Northeast part of the storm so a ""Tornado Watch"" on Sunday is also possible. 
5. Surge. This will be a decent-sized system that is getting stronger at landfall.  There is a chance of some coastal flooding and water rise on Sunday. The water will already be higher (new moon) on Sunday so areas that are prone to flooding with storms should keep a close eye on this and plan accordingly. 
6. Lots of people are asking if this could become a hurricane. Look, anything is possible, but I'm not playing the ""what if"" game.  That spreads misinformation and its hard enough to get the forecast right with these ragged developing storms. At this point, I'm predicting a Tropical Storm with winds of 40 to 50 mph on Sunday. If it changes, you know we'll be updating 24/7 and let you know. 
7. It doesn't look like it will stall so the scenario of this thing sitting in Florida for several days no longer looks like its going to happen. Rainfall of 4-6"" seems likely.
8. Let's recap.  Timing is late Saturday through early Monday...from our Southern counties to our Northern counties. This IS going to cut across the state so inland areas will also get wind. A Tropical Storm Warning seems likely later today as we see a PTC issued from the NHC.  
9.  Nothing to freak out about. We get 40 to 50 mph winds many times in the Summer. There could be some isolated power outages.  Wind-wise, it's an afternoon thunderstorm that will last for several hours. But as always, for folks who flood along the coast, high tide could bring a bit of water as well. Water is always the trickiest part of the forecast because it depends on the angle the storm approaches our area of who sees the push and who doesn't. 
10. I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is probably good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory."
phi_deb_Aug2_7,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,Our system now has a track... the NHC has designated the tropical wave as PTC 4. The track shows a tropical storm somewhere along our coast by Sunday morning. Tropical Storm Warnings and Watches are now in effect. I'll post that map next.
phi_deb_Aug2_8,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,A Tropical Storm WATCH has been issued from Pasco/Hernando Co line south (Aripeka) south. A Tropical Storm WARNING is in effect from Bonita Beach south. The WATCH means tropical storm conditions are possible within the next 48 hours.
phi_deb_Aug2_9,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Inland Communities | You are also under a Tropical Storm Watch for Polk, Hardee and DeSoto counties as tropical storm conditions are possible here as well within 48 hours."
phi_deb_Aug2_10,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,5pm Advisory update for PTC #4:  No changes to winds or track. The Tropical Storm Watch has been extended North to Levy county. We'll have complete updates on ABC Action News and we will post our thoughts throughout the evening on social media.
phi_deb_Aug2_11,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,Here's a closer look at the updated 5pm track. I will post my thoughts on how this impacts our weekend weather shortly.
phi_deb_Aug2_12,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Friday Evening  Tropical Update:
1. No changes to our earlier post this morning. Finally, things are proceeding as forecasted. 
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. Think afternoon thunderstorm. Winds of 40ish mph with higher gusts. (Yes, IF the storm were to get stronger the winds would be higher, but let's cross that bridge IF it were to happen. Ok?)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't. 
7. Bottom line, nothing to freak out about. We get 40 to 50 mph winds many times in the Summer.  Wind-wise, it's an afternoon thunderstorm that will last for several hours.  
8. Surge is always our biggest concern with this kind of system. NHC is saying 1 to 3 foot surge in the Bay.  It might be ""just a tropical storm"" with wind, but water can still be a big issue. The exact location and timing of landfall is the biggest factor with surge. 
9. Lastly, I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory."
phi_deb_Aug2_13,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,I'd call this a 100% chance of rain.
phi_deb_Aug2_14,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,Lots of folks talking about this funnel cloud. Brandon to Riverview. This is from Harbour Island. 📸 Karine Henschen
phi_deb_Aug2_15,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Tropical Storm Watches and Warnings! What you need to know
We've got a lot to talk about. Tracking what should be Debby in the Gulf later this weekend.   That's right now on DPL."
phi_deb_Aug2_16,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Friday Evening Tropical Update:
1. No changes to our post earlier today.  Things are proceeding as forecast. Tropical Storm force winds for our area. (Think afternoon tstorms)  If the NHC track is accurate,  the storm would stay over water longer and could even become a low end hurricane before making landfall in the Big Bend area. Our winds would be the same although Citrus could be higher.
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. (30 to 40ish)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't...at least not for the Bay Area.
7. Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.  We got this."
phi_deb_Aug2_17,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Remember last night I gave the ""whack-a-mole-example"" with the center of the storm moving around and redeveloping in different spots? (Like the carnival game)
  The center has indeed developed a bit more to the South and West this evening.  Models will shift back and forth, but this is slightly different as a new center would mean a track more West.  It was a possibility we talked about extensively last night. 
  I would expect the NHC track to be nudged a bit to the West at 11 pm.  That would be good news for the Bay Area but not so good for areas up in the Big Bend as it would allow the storm to get stronger before landfall. A landfall that would be increasingly likely in a spot near where Idalia ended up last year. 
 We'll have the new update shortly."
phi_deb_Aug2_18,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"WOW!  As we just posted, the NHC has indeed moved the track of what is now Tropical Depression #4 quite a bit to the West. The center has reformed South of Cuba and West of its original spot. This is certainly good news for our area yet it also increases the chance of a stronger storm in the Big Bend Area. Updates to come shortly after the newscast. Check us out at 11 on ABC Action News."
phi_deb_Aug2_19,post,facebook,Debby,-3,phillips,Denis Phillips,2024-08-02,"Overnight Tropical Depression #4 Update:
1. If you've been following my posts, you'd know we strongly suggested the center of this system would shift West and South. (The ole ""Whack-a-mole"" example). 🤣  That is exactly what has happened in the past 12 hours.  This has led to a track more to the West.
2. The models haven't changed. The location of the storm center has...and thereby, changing the path. (It's like if someone picked you up, and sat you down 30 miles to the West...your trip path would differ in the direction you magically were relocated) 
3. What does that mean?  It's good and bad.  It really doesn't change OUR forecast.  Still rainy on Sunday with gusty winds.  It MIGHT change the storm surge issue...although that's still dependent on how strong Debby (to be) will become along with its location.
4. Unfortunately, what this does change is it now gives the storm much longer time over water which will inevitably make it stronger. While the NHC keeps this just below hurricane status at landfall, I think the chances are high it will end up being a hurricane before impacting the Big Bend area. 
5. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again.
6. As for our area...the timing and intensity really haven't changed much. Scroll down to see my previous forecast..it remains about the same. 
7. As always, we'll be updating 24/7.  I don't expect the models to shift back East. Again, the models didn't change, the location of the storm did. I suspect this location sticks and we now have our center of circulation that will begin to strengthen and move North. 
8. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart."
phi_deb_Aug3_1,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,No real changes overnight. Saturday will be a typical August day with impacts from Debby (to be) arriving on Sunday.
phi_deb_Aug3_2,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"TD 4 | The 5 am advisory is in. TD 4 will slowly strengthen over the next 24 hours as it moves into the Gulf. The track will stay west of Tampa Bay, but still close enough to us for widespread showers and storms, isolated tornados and some minor storm surge. Details all morning on Good Morning Tampa Bay."
phi_deb_Aug3_3,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,A Tropical Storm Warning is now in effect for all of West Central Florida including Tampa Bay. This means Tropical Storm conditions are expected within 36 hours. A Hurricane Watch is now in effect from Yankeetown north to the Aucilla River.
phi_deb_Aug3_4,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Inland Communities | TD 4's current track should keep the tropical storm force winds (39+ mph) to your west, which is why you have not been upgraded to a Tropical Storm Warning. A wobble east could change that so keep checking in with us."
phi_deb_Aug3_5,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Hurricane season is cranking up!  All NEW Rule #7 logos. Tees, Tanks, Hoodies, Hats and more.  Lots of new colors including your favorite teams. Just click on the link. Proceeds benefit Children's Miracle Network and other local charities. 
Clothing Link:
https://rule-7-stuff-2.creator-spring.com/.../blue-and...
Cups, Mugs and Tumblers Link:
Rule7shop.etsy.com"
phi_deb_Aug3_6,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Here's a look at timing and odds of tropical storm winds in your area. Surge risk has lessened with the new center forming South and West of the previous one. Again, look for a rainy Sunday (especially West of I-75) with squally conditions along the coast. Nothing to stress over. As was the case last year with Idalia, the worst will be in the Big Bend area."
phi_deb_Aug3_7,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Here are the updated spaghetti models. Now that we have a center of circulation, the models (and track) should remain rather consistent."
phi_deb_Aug3_8,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"TODAY | Expect partly cloudy skies with afternoon and evening scattered showers and storms. Tomorrow, we'll see widespread showers and storms associated with Tropical Depression 4. If you live in flood prone areas, use today to get ready for the potential of minor storm surge or fresh water flooding."
phi_deb_Aug3_9,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"New track coming out shortly. Don't expect any changes. This will be an ""East-weighted"" system with heavy rains setting up West of I-75. We'll post the update when it's released."
phi_deb_Aug3_10,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"TD 4 | The 11 am track is in and shows no big changes with the storm center staying west of our beaches. Hopefully the center stays far enough west to lower our surge potential, however a storm surge warning is now up from Aripeka north. Surge forecasts in these areas are 3-5', with 2-4' forecast for the rest of our coast."
phi_deb_Aug3_11,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,On my way to the store to get storm snacks for work. #littledebbie #cosmicbrownies
phi_deb_Aug3_12,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,Today's rain is really only the beginning. Lots more is on the way with flooding likely in some spots. A Flood Watch has been issued for part of the region through Monday. Update on the way.
phi_deb_Aug3_13,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"NEW | Flood watches have been issued through Mon evening for coastal counties for rainfall amounts of 5-10"" with some isolated amounts of 15""+ possible. The heaviest rains will fall Sun to Mon and amounts will vary based on where heaviest rain bands set up. If you live in an area that is prone to flooding from heavy rain, now is the time to make sure drains around your property are clear."
phi_deb_Aug3_14,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,OK. Let's see your hurricane snacks.
phi_deb_Aug3_15,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"For those nervous about an unexpected ""hard right turn"", don't be. Now that there's a well-defined center of circulation, the models will have a pretty easy job. No changes to impact on our area. The updated NHC track will come out around five."
phi_deb_Aug3_16,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Hello Debby. The National Hurricane Center has upgraded Debby to a Tropical Storm. No real changes to the track, but they do bump up winds 5 mph upon landfall which would upgrade Debby to a hurricane. They also slow it down as it approaches land not making landfall until Monday afternoon."
phi_deb_Aug3_17,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,Storm Surge updates for Sunday afternoon and evening. We'll be updating graphics and information all night long and I'll have a DPL starting at 7pm. Link will be posted. LIVE update on ABC Action News at 6.
phi_deb_Aug3_18,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"(***Update: My son at FSU just told me classes are cancelled on Monday) For folks with kids at FSU or FAMU, you're probably gonna want to keep an eye on this storm. While the official forecast barely has it becoming a hurricane at landfall, there is a ton of warm water and energy out there and it is certainly possible it could be stronger. Could be close enough to Tally for impacts. Strong Tropical Storm force winds and some power outages on Monday. Lots of time to update but keep your kids in the loop. We'll update 24/7 as always."
phi_deb_Aug3_19,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Here are my thoughts on Tropical Storm Debby:
1. No changes to impacts for our area. Gusty winds along the coast with heavy rain. Think afternoon thunderstorm. The storm surge threat continues for Sunday afternoon and evening. 
2. A track to the Big Bend area is likely with landfall on Monday morning. The NHC has a minimal hurricane with winds of 75 mph but it is certainly possible it could be stronger. There is a TON of warm water out there and that's potential fuel for Debby.
3. Rainfall will be 2"" inland and up to 8"" along the coast. A Flood Watch remains in effect. Rain will continue through Monday as Debby will slow down after landfall. It wouldn't shock me one bit if some areas see more than a foot of rain.
4. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again. 
5. As for our area...intensity really hasn't changed much but the timing has slowed down a bit. The worst of the rain and wind will be Sunday afternoon and evening. 
6. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart. Hang in there. We got this. And make sure friends and family in the BIg Bend area keep a VERY close eye on this one. There is the potential it could be a lot stronger than the NHC is forecasting."
phi_deb_Aug3_20,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,Here are my thoughts on Tropical Storm Debby
phi_deb_Aug3_21,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,Amazing how models will agree when there's actually a center to track!  This is a Big Bend storm. Our coastal areas will get pretty gusty tomorrow with much less rain and wind inland. I'll give updated thoughts after the 11pm NHC update.
phi_deb_Aug3_22,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"11pm Update: Tropical Storm Debby now has winds of 45 mph. Notice the track, it really hasn't changed much. Maybe just a touch to the East. The models are in great agreement and we're confident of this track. The big question is just how strong. NHC now has 85 mph before landfall and with all that warm water, it could be stronger. Updates 24/7 and the latest right now on ABC Action News."
phi_deb_Aug3_23,post,facebook,Debby,-2,phillips,Denis Phillips,2024-08-03,"Overnight Debby thoughts:
1. No meaningful changes to the track. Recon found a slightly repositioned center and thus shifted the track just a touch to the East. The forecast remains solid.
2. When Debby passes our area, it will be getting stronger. Coastal areas should see winds around 40 mph on Sunday afternoon and evening. The winds could be higher in Hernando and Citrus counties. Storm surge is still a big concern for areas along the Gulf and Bay.  We will continue to update any changes, but the timing of high tide will be in the afternoon and early evening.
3. Landfall will occur in the Big Bend area on Monday morning. Latest guidance has winds of around 85 mph. The odds of Rapid Intensification according to models is about 30%. So not likely, but certainly possible. Either way, the impacts on our area will remain the same.  Windy, gusty along the coast with heavy downpours. The closer you are to the beach, the heavier the rains will be.
4. My suggestion?  Hang at home on Sunday and keep up to date with any changes we may see. It's gonna be a pretty nasty day and difficult to drive in the squally weather. Rainfall totals will be 4 to 8 inches along the coast with much lower totals inland.
5. Nothing to freak out about in the Bay Area. Unfortunately, the Big Bend will see much more wind and surge than we do, however, it's a pretty rural coastal area up there and shouldn't be nearly as strong as Idalia was last year when it hit pretty much the same area.
6. Keep it here 24/7. No one updates social media like we do during a storm. It's our passion. Hope you find it useful.  Stay safe on Sunday!"
phi_deb_Aug4_1,post,facebook,Debby,-1,phillips,Denis Phillips,2024-08-04,2am update is in. No changes to intensity. Track is updated every 6 hours so the next advisory will have a new track. It won't change. This track seems relatively LOCKED IN. Intensity is still a question mark for landfall though.  Hopefully Debby just won't have enough time to get tremendously organized and strengthen quickly. Look for a rainy and windy day along the coast with much less wind and rain inland.  Have a great night! 🐢
phi_deb_Aug4_2,post,facebook,Debby,-1,phillips,Denis Phillips,2024-08-04,DEBBY 5 AM | No changes. Debby is slowly strengthening with 50 mph winds. No changes to our forecast with the core of the storm staying well west of our coast. Showers and storms pick up in coverage later this morning. Localized flooding is possible with a Flood Watch for the entire area. A tornado threat will increase later today as well.
