TROPICS | NHC increases chance of development near Florida to 80% as low pressure tracks along the northern Cuban coast toward the eastern Gulf.,Pos,Neu,Neg,Compound,Overall Sentiment
were traveling down from Atlanta. I have family at the escambia sheriff's office. They can never leave during storms due to the fact that they may be needed,0.042,0.958,0.0,0.0382,NEU
"We’re traveling from OK to PCB today. I have no idea what to expect from this system. Will there be a point where we should abandon the condo and move inland? I get that it’s still early
TIA",0.162,0.72,0.118,0.434,POS
you will get lots of rain and want to sleep,0.126,0.874,0.0,0.0772,POS
thank you. We went in 2013 and had a similar experience. 18 inches of rain in 48 hours. Everything flooded. I hope it’s different this time,0.197,0.803,0.0,0.6597,POS
honestly i think you will be okay 🫶🏼,0.495,0.505,0.0,0.5994,POS
"thank you!",0.736,0.264,0.0,0.4199,POS
Thanks Den for keeping us insomniacs updated,0.326,0.674,0.0,0.4404,POS
"everyone to the pool deck",0.0,1.0,0.0,0.0,NEU
"If you want accurate information on the storms, this is the guy to follow. Thanks Denis Phillips!",0.23,0.77,0.0,0.5411,POS
Thank you Denis for the update. Hopefully it doesn't develop into something more from Dunnellon always appreciate your updates during this time of year.,0.273,0.727,0.0,0.7845,POS
wow it's moved way left since I last saw the track,0.297,0.703,0.0,0.5859,POS
that is not the track!!! That is the expected area of development! Two different things,0.0,1.0,0.0,0.0,NEU
plus I just woke up. Lol,0.412,0.588,0.0,0.4215,POS
right?,0.0,1.0,0.0,0.0,NEU
"idk what to think anymore?",0.0,0.741,0.259,-0.1027,NEG
we will be fine,0.375,0.625,0.0,0.2023,POS
"My family and extended family (40 of us) are flying down on Friday the 9th -stupid question, but how will things look then? I keep seeing this weekend or early next week but the read in the next 7 days. So confused!",0.0,0.866,0.134,-0.7079,NEG
"Do you ever sleep? But seriously, it looks like a very big deal. So much rain. Thanks for the update. Rule #7",0.272,0.653,0.074,0.754,POS
Cool it’s going to rain ☔️ just like every day,0.375,0.625,0.0,0.5859,POS
a lot of comments like yours from people in Texas before Beryl hit! Smh,0.174,0.684,0.143,0.126,POS
okay have a great day,0.75,0.25,0.0,0.7184,POS
What is rule#7🤷‍♀️,0.0,1.0,0.0,0.0,NEU
"Don’t panic until Denis tells you to. My addition: worry shuts down the brain a bit, when we need to be thinking about making preparations. If you’re prepped, less reason to worry.",0.0,0.755,0.245,-0.8442,NEG
Hurricane Charley's path !,0.0,1.0,0.0,0.0,NEU
looks like it I still say it's going to go straight up Florida and curve east!!!,0.289,0.711,0.0,0.6458,POS
Thank you for the update Denis Phillips!! Get rest and stock up on diet DR Pepper,0.171,0.829,0.0,0.4738,POS
Rain & wind okay… but what about surge for Homosassa area? It’s been tropical storm surge that’s gotten us the past few times.,0.0,1.0,0.0,0.0,NEU
unknown at this time,0.0,1.0,0.0,0.0,NEU
We are coming to Anna Maria tomorrow and staying for a week for vacay. I’m worried we’re not gonna have any sunny beach days. 😩,0.108,0.808,0.085,0.1531,POS
the sun always seems to find us here on Anna Maria! Hope you have pretty weather!,0.323,0.677,0.0,0.7707,POS
hope you get some sunny days!,0.6,0.4,0.0,0.7177,POS
likely not for the first half of the week at least,0.0,1.0,0.0,0.0,NEU
"Should I put my boat in the garage or is it ok in the side yard?",0.136,0.864,0.0,0.296,POS
do what you think is best to secure your boat .,0.452,0.548,0.0,0.765,POS
"are you near the coast? If yes, put it away!",0.249,0.751,0.0,0.4574,POS
When is this storm hitting if it continues on path - to tampa area ?,0.0,1.0,0.0,0.0,NEU
Will this affect me flying into Tampa at 6 on Sunday ?,0.0,1.0,0.0,0.0,NEU
we fly into Orlando from the uk on Wednesday evening. Will the storm have passed by then?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
thank you,0.714,0.286,0.0,0.3612,POS
Any chance my cruise ship will make it back to Tampa on Monday morning?,0.133,0.867,0.0,0.25,POS
u will be fine,0.474,0.526,0.0,0.2023,POS
I was stuck on a cruise during Irma! At this point you should plan on not docking in Tampa on Monday!! Could you? Yes but I highly recommend you plan not to dock Monday,0.179,0.78,0.042,0.711,POS
no Michelle!!! You are stuck at sea😜,0.0,0.496,0.504,-0.6219,NEG
ok!! Can you grab Jax until we get back?,0.258,0.742,0.0,0.4184,POS
Denis Phillips we are supposed to fly out of TPA 7am Sunday morning. Should we try and move our flight up to tomorrow morning?,0.0,1.0,0.0,0.0,NEU
Is it supposed to hit this Sunday or next Sunday ?,0.0,1.0,0.0,0.0,NEU
this one,0.0,1.0,0.0,0.0,NEU
"really Kyle?? Come on man",0.0,1.0,0.0,0.0,NEU
How does Citrus county look?,0.0,1.0,0.0,0.0,NEU
Going to set out a few buckets to catch lots of rain water for my houseplants. Pray it doesn’t get stronger in the warm waters. Rule #7,0.228,0.772,0.0,0.7003,POS
More west ?,0.0,1.0,0.0,0.0,NEU
"Can't believe all the complaints about everyone needing to be here or there, good grief leave freaking earlier and stop complaining on FB.",0.088,0.488,0.424,-0.8402,NEG
"Heading to St Pete beach next Thursday, should be OK by then? Or will rain linger?",0.18,0.82,0.0,0.5095,POS
"I've only been here since 2020, but from what I've noticed, right after a hurricane is the best Florida ever feels! Previously the rain also subsided for a day or so, but Summer in Florida is generally rain every day in the evening. Doesn't last long, but it is annoying.",0.109,0.827,0.064,0.5487,POS
I really hope you’re right! We haven’t been away since 2017 and our family needs this! Thank you!,0.316,0.684,0.0,0.7872,POS
These are the same people who wanted rain in May,0.0,1.0,0.0,0.0,NEU
"i think it looks scary.. pure and simple..",0.0,1.0,0.0,0.0,NEU
Do you Florida natives know how this will impact the cocoa Beach area? We leave on a plane around 5 p.m. today,0.0,0.941,0.059,-0.0516,NEG
"no problems with current track. If it stays to the east of the cone you might have over cast weather with some rain if it tracks west into the gulf you'll
Probably have sunny skies",0.071,0.806,0.123,-0.2732,NEG
"overcast and maybe some afternoon rain Saturday, sundayish..",0.0,1.0,0.0,0.0,NEU
I think on other side,0.0,1.0,0.0,0.0,NEU
that's east coast. Far away. No problems.,0.0,0.505,0.495,-0.5994,NEG
Some clouds maybe but you should be fine.,0.239,0.761,0.0,0.296,POS
you should be ok 👌,0.423,0.577,0.0,0.296,POS
Thanks denis I No You Got Us Rule 7,0.287,0.495,0.218,0.1779,POS
Is this why Publix is sending storm prep emails that end with “stay safe”?,0.0,1.0,0.0,0.0,NEU
Is there any kind of timeline yet? Approximately when the storm will be near specific areas of Florida?,0.0,1.0,0.0,0.0,NEU
Sunday.,0.0,1.0,0.0,0.0,NEU
Have we moved to Rule #6 yet? 👀,0.0,1.0,0.0,0.0,NEU
How fun,0.767,0.233,0.0,0.5106,POS
Almost out of the cone.,0.0,1.0,0.0,0.0,NEU
that’s not the cone .. that’s just the area where it can develop in the cone will not be placed until there is a true center,0.104,0.896,0.0,0.4215,POS
"Still on the nasty side of it",0.0,0.625,0.375,-0.5574,NEG
We've had far worse,0.0,0.492,0.508,-0.4767,NEG
"I’m a native, I know",0.0,1.0,0.0,0.0,NEU
"Dad worked for FDOT and sent the family to Deland the last three predicted to hit St Pete. Took in friends living in mobile homes. Even with the path still on original course he'd tell them we won't be hit. Two went south of us, one north",0.107,0.893,0.0,0.6597,POS
"I’m mad this is ruining the weekend and not giving us a day off work. Not cool, DEBBY",0.0,0.586,0.414,-0.8019,NEG
😭 Cancelled my weekend Keys Trip based on this update. Sad but grateful for the information! Thank you 😉,0.313,0.54,0.147,0.7177,POS
Looks like the bay area almost out of the cone. It covered the whole state before,0.143,0.857,0.0,0.3612,POS
My family and I are supposed to stay on anna maria island near bean point during this weather. Does anyone know how bad the island floods and if you think we should re consider our travel?,0.0,0.907,0.093,-0.5423,NEG
we are driving there now staying in the same area. Our kids fly into Tampa Sunday at 9:00. AM. I am worried about the flights being canceled 😞,0.0,0.919,0.081,-0.296,NEG
I have a friend that lives just down the street from Rod and reel pier. He has boated down the street!,0.162,0.838,0.0,0.5411,POS
What time is that high tide + full moon + passing of this storm along the Pinellas county coastline? Storm surge is my only concern.,0.0,1.0,0.0,0.0,NEU
Thanks for the update !!,0.466,0.534,0.0,0.5399,POS
"Ugh, I keep hoping to see any actual timelime with ETA. Was planning om leaving for North GA on Monday, moved it to Sunday. Now I see we are getting swirls starting Saturday night possibly.",0.077,0.847,0.077,0.0,NEU
"Hi 👋🏼 we are from the UK so this is all new to us 😬
We are in Kissimmee at the moment but heading down to the keys on Sunday for 6 days. Will we be ok to carry on with our plans or do we need to rearrange.
Any advice will be greatly appreciated
Thank you all ☺️",0.174,0.826,0.0,0.9073,POS
"You've still got a few days before you go down to the Keys. Keep watching Denis Phillips. There's going to be a lot of rain from what I've seen lately although the latest model pushes it further out away from Florida, we'll still have a fax but I'm guessing you're going to be fine for your trip to the Keys. Just keep watching these things can change so quickly",0.033,0.967,0.0,0.296,POS
"I’m a local; I would reschedule. Even if it’s just a lot of rain and wind, you won’t be able to do anything but sit inside.",0.0,1.0,0.0,0.0,NEU
"as an experienced Brit who owns in Sarasota, I wouldn’t get to worried yet - these storms however can developed quickly so you may need to consider last minute alternatives just in case!",0.0,0.923,0.077,-0.3595,NEG
Contact the place you are renting from in the Keys.,0.0,1.0,0.0,0.0,NEU
Thank you for keeping us updated,0.333,0.667,0.0,0.3612,POS
I have lunch on Sunday in Clearwater. Will they have fresh Mahi or should I cancel? 😜,0.141,0.736,0.123,0.0772,POS
Thanks Denis Phillips we count on your forecast. Rule 7.,0.244,0.756,0.0,0.4404,POS
Here in Tallahassee we are watching it very closely!!,0.0,1.0,0.0,0.0,NEU
More west every day,0.0,1.0,0.0,0.0,NEU
not seeing that,0.0,1.0,0.0,0.0,NEU
When ?,0.0,1.0,0.0,0.0,NEU
Thanks for the update. How’s dipper doing? My cat always knows when a storm is coming before I do. Maybe dipper can be your assistant. Lol,0.206,0.794,0.0,0.6908,POS
"The model is showing west coast, not east. ????",0.0,1.0,0.0,0.0,NEU
"Denis Phillips Can you define ""late"" Saturday? I have a friend that is having a backyard wedding Saturday around 7/8p... Should we plan to move this earlier in the day or move inside at that time?",0.1,0.9,0.0,0.5514,POS
Rain on the wedding day brings good luck to the marriage (40 years married on a rainy December day),0.266,0.676,0.059,0.6808,POS
well it seems Michael and I will have an over abundance of luck in our marriage then lol. 🤞🥰,0.345,0.655,0.0,0.7845,POS
"Looks like the cone is moving away from us but know this may change.",0.119,0.881,0.0,0.1901,POS
"oh no this will be the track",0.0,0.732,0.268,-0.296,NEG
Be safe all.,0.592,0.408,0.0,0.4404,POS
I think I need to make a run to Crooked Thumb to grab a six-pack of Rule #7!!!,0.0,1.0,0.0,0.0,NEU
"NE OH resident here, flying to Panama City Beach tomorrow 8/3 for 4 days…should we postpone trip? I know you awesome residents are used to these storms..I do snow🫣",0.132,0.806,0.061,0.4939,POS
you’re going to have a good bit of rain during your stay since it’s not supposed to start until Saturday night/ Sunday…Monday & Tuesday should be fine,0.17,0.83,0.0,0.5719,POS
we are suppose to be flying in sat 3rd to Tampa...flight leaves ky at 400...kinda worried,0.0,0.872,0.128,-0.296,NEG
"Go west young Debby, go west.",0.0,1.0,0.0,0.0,NEU
"Love to see this animated, in action.",0.412,0.588,0.0,0.6369,POS
What’s the chance that Little Debby turns into Full Size Debra?,0.167,0.833,0.0,0.25,POS
right? Debbie CAKE or Debbie cupcake?,0.0,1.0,0.0,0.0,NEU
Johnson just so its Not spelled Debbie or Deborah ...lol,0.0,1.0,0.0,0.0,NEU
Thank you from Casselberry Florida 🌬️💨💨🌬️🌀,0.333,0.667,0.0,0.3612,POS
Can't wait for the rain!,0.0,1.0,0.0,0.0,NEU
"will be doing my yardwork today.",0.0,1.0,0.0,0.0,NEU
Ahh it's off the coast no big deal,0.0,0.761,0.239,-0.296,NEG
Most of florida out of red zone,0.0,1.0,0.0,0.0,NEU
yeah now it’s just sweeping over us,0.268,0.732,0.0,0.296,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Want to express how much we appreciate you and that by the frequency of your posts it Looks like you're already on little sleep🤗,0.236,0.764,0.0,0.6705,POS
"Aren't you up kind of late?",0.0,1.0,0.0,0.0,NEU
Could this be another Charlie,0.0,1.0,0.0,0.0,NEU
Pinellas county has nothing to fear,0.345,0.655,0.0,0.3875,POS
"Ill be standing on top of FT DESOTO dressed as GANDALF with my STAFF repeatedly saying, 'THOU SHALL NOT PASS'!",0.079,0.786,0.135,-0.3164,NEG
not,0.0,1.0,0.0,0.0,NEU
Hope it stays weak,0.372,0.256,0.372,0.0,NEU
The water is a bathtub so that is a huge problem,0.209,0.571,0.22,-0.0352,NEU
"gfs model is updated not showing strong",0.0,0.689,0.311,-0.4023,NEG
Do your thing Indians Mounds.,0.0,1.0,0.0,0.0,NEU
We’ll be ok. I’ve got my “Rule #7” wine tumbler from about 4ish years ago with tropical leaves I drink coffee in to be fancy. 😉,0.087,0.913,0.0,0.296,POS
"I'm here Denis for the comments 🤣🤣 are you a travel agent Do you have a crystal ball?
Are you psychic the things that people keep asking About flights cruises, this just cracks me up !!! You're live last night You said you would get to the questions.🤣 I was laughing so hard. Right after you said that and you said we will take the comments now. Right out of the shoot, will my flight be delayed? Will my cruise cancel this stuff just cracks me up? People need to use their own judgment or call for themselves. That is so annoying.
You said it Numerous times about Flying cruises Driving anywhere Going to Disney.here to there or whatever AndYou told people!!
bless your heart Dennis, you do a great job.",0.071,0.835,0.094,0.4854,POS
"I’d add a version of Rule #7 specifically for posts - so people don’t panic and ask questions no one can answer. Sweet people, Denis can only give you his best info and intuition (which as he says, could be wrong) - you have to make your own decisions about travel.",0.126,0.772,0.101,0.3477,POS
ugh! my knees are going to feel it soon.,0.0,0.721,0.279,-0.4753,NEG
"🐢🐢🐢",0.0,1.0,0.0,0.0,NEU
