A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
We are in that red suspenders... holy wind batman 😳💯🤘,0.0,1.0,0.0,0.0,NEU
"We had a small tornado way on east coast in Stuart about 2 hours ago!",0.0,1.0,0.0,0.0,NEU
wow!,1.0,0.0,0.0,0.6239,POS
Power flickered in Bradenton,0.0,1.0,0.0,0.0,NEU
My daughter is in Bradenton. I’m in Ohio. Can anyone tell me what the outlook is for Bradenton?,0.0,1.0,0.0,0.0,NEU
I’m in Bradenton and it’s just a lot of wind and rain,0.0,1.0,0.0,0.0,NEU
lighting with heavy rains. I’m in Bradenton/Lakewood Ranch and my family lives in Ohio too.,0.0,1.0,0.0,0.0,NEU
I’ve seen worse storms in Ohio.,0.0,0.617,0.383,-0.4767,NEG
that’s good to hear!!!!! Where in Ohio?!,0.404,0.596,0.0,0.6209,POS
Canton,0.0,1.0,0.0,0.0,NEU
I’m in Warren! My daughter goes to Kent,0.0,1.0,0.0,0.0,NEU
"my son lives in Eastlake. I'm in Missouri.
Nice to meet you guys!",0.205,0.795,0.0,0.4753,POS
"what a small world! Nice to meet you guys too!",0.297,0.703,0.0,0.5242,POS
I still have power.,0.0,1.0,0.0,0.0,NEU
my daughter is in a juvinile detention center there and can receive phone calls at this time. Just rain and winds so far?,0.0,0.894,0.106,-0.3612,NEG
"The winds are crazy!!",0.0,0.501,0.499,-0.4559,NEG
in Oldsmar too,0.0,1.0,0.0,0.0,NEU
"Stay safe, everyone from down here in South Florida.",0.266,0.734,0.0,0.4404,POS
What do you mean in our area?,0.0,1.0,0.0,0.0,NEU
"it means what it says - like ""not outside of our area"". The locations are in the image.",0.135,0.865,0.0,0.3612,POS
"Many of us who follow this page for information don’t live in the Tampa area ,but have friends or family in Florida. Stating specific towns or areas would be helpful.",0.219,0.781,0.0,0.8338,POS
"the image literally shows exactly where the warnings are, both the name of the county and the location on the map.",0.0,0.901,0.099,-0.296,NEG
Have a safe evening…,0.592,0.408,0.0,0.4404,POS
"yea I asked that before I looked at image. My bad. Lol",0.196,0.559,0.245,-0.1779,NEG
"It has been rainning here most of the day,🥰🌹♥️",0.0,1.0,0.0,0.0,NEU
"I’m I have family in that area",0.0,1.0,0.0,0.0,NEU
"Lots of lightning in Myakka off of Verna Bethany!!!",0.0,1.0,0.0,0.0,NEU
Pronounced move east on radar in the last hour. Watch in real time.,0.0,1.0,0.0,0.0,NEU
Where can we get sandbags??,0.0,1.0,0.0,0.0,NEU
they had places in Hillsborough County but I think they stopped giving them out as of yesterday. I hope you stay safe and dry 🫶🏻,0.336,0.591,0.073,0.8573,POS
not anywhere now,0.0,1.0,0.0,0.0,NEU
"Power out on Ave F , Holmes beach",0.0,1.0,0.0,0.0,NEU
Stay safe family and friends 💗,0.667,0.333,0.0,0.7184,POS
What do you see for Lakeland?,0.0,1.0,0.0,0.0,NEU
yeah. But still technically not us,0.242,0.758,0.0,0.1531,POS
You are a Champion,0.661,0.339,0.0,0.5994,POS
good looking out ❤️,0.492,0.508,0.0,0.4404,POS
In New Port Richey with a lot of wind and bands of rain. My neighbor is on his patio watching TV and I can't decide if he's crazy or foolish.,0.0,0.852,0.148,-0.5423,NEG
we are watching the storm from our patio,0.0,1.0,0.0,0.0,NEU
"We're on our lanai too. It's just a strong Florida thunderstorm for us right now, except for the flooding along the coast. We're just staying vigilant for tornado pop-ups, but other than that, enjoying the storm",0.202,0.798,0.0,0.7964,POS
BOTH!,0.0,1.0,0.0,0.0,NEU
agreed,1.0,0.0,0.0,0.2732,POS
agree!,1.0,0.0,0.0,0.4199,POS
Probably both. Maybe drunk too.,0.0,0.625,0.375,-0.34,NEG
I just want to thank you for all you do ❤️,0.322,0.678,0.0,0.4215,POS
"look at the end of the arrow Diane. Not us, Sarasota and east coast.",0.0,1.0,0.0,0.0,NEU
It's kicked up a notch or 2 here NW Hernando county.,0.0,1.0,0.0,0.0,NEU
citrus too,0.0,1.0,0.0,0.0,NEU
Debby looks like she just took an early right hand turn.,0.388,0.612,0.0,0.6908,POS
"*** The Itsy Bitsy Spider went up the WATER SPOUT**** LOL 😆",0.261,0.739,0.0,0.5473,POS
I live in Largo. The city said they were going to fix our street. Now the water is to the top of some mail box. This is Dahlia pl 33771 ABC did a story on my street not to long ago. NOT FIX,0.043,0.957,0.0,0.2023,POS
wow,1.0,0.0,0.0,0.5859,POS
How long is the warning for?,0.0,0.676,0.324,-0.34,NEG
read the image,0.0,1.0,0.0,0.0,NEU
so weird. There was no photo when I initially saw this post. Now that I click back it is showing up. 💁‍♀️ I promise I am not a moron. 😅,0.169,0.687,0.144,0.1864,POS
"lmao no worries, FB bein FB probably!",0.296,0.303,0.401,-0.1007,NEG
truth,1.0,0.0,0.0,0.3182,POS
WARNING NOW FOR TORNADO IN OUR AREA?,0.0,0.714,0.286,-0.34,NEG
What is DPL Denis Phillips,0.0,1.0,0.0,0.0,NEU
Again?!,0.0,1.0,0.0,0.0,NEU
"I don't know?! ❤️",0.0,1.0,0.0,0.0,NEU
"Dennis you are the man !!! Thank you",0.325,0.675,0.0,0.5229,POS
"Out of power at the Voyager Beach Club Owners Group",0.0,1.0,0.0,0.0,NEU
There goes my kayak 😭😭,0.0,1.0,0.0,0.0,NEU
why the heck did you leave it in the water? Hopefully it's tied up at least.,0.151,0.782,0.067,0.3612,POS
"I didn’t leave it in the water our backyard is completely flooded, it might get up to the pool 🙃",0.0,0.934,0.066,-0.0516,NEG
"probably should have put it away.",0.0,1.0,0.0,0.0,NEU
I thought “hey it’s just a tropical storm no biggie” didn’t realize the whole backyard would flood 😭 this has never happened before,0.0,0.896,0.104,-0.296,NEG
unfortunately there is always a first time. Storms are so unpredictable.,0.0,0.789,0.211,-0.34,NEG
This is the canal across the street from me. I've never seen it this high and big tree branches traveling down it.,0.0,1.0,0.0,0.0,NEU
Largo flooding!,0.0,1.0,0.0,0.0,NEU
Power off belcher,0.0,1.0,0.0,0.0,NEU
Oh dang !,0.0,1.0,0.0,0.0,NEU
"where is this?",0.0,1.0,0.0,0.0,NEU
near Tallahassee,0.0,1.0,0.0,0.0,NEU
"Thanks, I’m in Trinity.",0.492,0.508,0.0,0.4404,POS
we are driving home. Pouring on I-10. 30 min west of Jacksonville,0.0,1.0,0.0,0.0,NEU
