"Red draws your attention, what it means is that 2-7 days from now there is a 70% chance that a numbered or named storm could develop in the red area. We will be watching this closely and have regular updates on what to expect.",Pos,Neu,Neg,Compound,Overall Sentiment
I feel like it can’t make that hook into our area without a front steering it…what do I know? #notsciency,0.135,0.865,0.0,0.3612,POS
You might be getting the rain you need. HOPEFULLY,0.3,0.7,0.0,0.5319,POS
"It looks like DeSantis already put Florida in state of emergency, right?",0.166,0.662,0.172,-0.0258,NEU
Yes.,1.0,0.0,0.0,0.4019,POS
Wasnt Debby in 2012 a slow moving flooding soaker too?,0.0,1.0,0.0,0.0,NEU
2-7 days? Prior post said 5-7 🤔,0.0,1.0,0.0,0.0,NEU
thank you!!,0.755,0.245,0.0,0.4738,POS
Man it’s moving so slow,0.0,1.0,0.0,0.0,NEU
When are you expecting the rain to start?,0.0,1.0,0.0,0.0,NEU
"I heard Sunday evening maybe stay tuned ☂️",0.0,1.0,0.0,0.0,NEU
"What does this mean for Florida keys on Tuesday , and Bahamas wed - Fri",0.0,1.0,0.0,0.0,NEU
"Needs to move more more west",0.0,1.0,0.0,0.0,NEU
It is leaning more west,0.0,1.0,0.0,0.0,NEU
it definitely look different today.,0.403,0.597,0.0,0.4019,POS
The City of Tampa just sent a text to expect heavy rainfall and flooding and also sandbag locations.,0.0,1.0,0.0,0.0,NEU
Did they provide a time-frame?,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
let the water supply vanish.. i can see store shelves now..,0.0,1.0,0.0,0.0,NEU
ha. not if it goes down the center of that blob lol,0.342,0.658,0.0,0.6369,POS
What it really means is that everything under the red hash area will be wiped clean off the map. Denis Phillips is just being nice as always and remains calm.,0.224,0.776,0.0,0.7783,POS
Stay safe everyone,0.592,0.408,0.0,0.4404,POS
Not freaking out until you do!,0.344,0.656,0.0,0.3867,POS
Too close for comfort go away,0.333,0.667,0.0,0.3612,POS
I saw you post you're coming. 😬,0.0,1.0,0.0,0.0,NEU
Might be mostly in the gulf by then,0.0,1.0,0.0,0.0,NEU
Here we go again!,0.0,1.0,0.0,0.0,NEU
I just wonder If the system will trigger another crowd strike outage 🤣🤣🤣,0.0,0.88,0.12,-0.128,NEG
very well!,0.729,0.271,0.0,0.3989,POS
"Ok video time",0.524,0.476,0.0,0.296,POS
I see what you did there lol and I understand why 🤣🤣🤣,0.237,0.763,0.0,0.4215,POS
Yep getting active out there now.,0.551,0.449,0.0,0.5994,POS
Thank You Denis for your update,0.333,0.667,0.0,0.3612,POS
Rule #7 people!! Thank you for calming this FL transplant‘s anxiety!,0.385,0.507,0.108,0.6571,POS
Denis is a meteorgist does not work for TPA call the airlines about your flights,0.0,1.0,0.0,0.0,NEU
How much toilet paper do I need to buy?,0.0,1.0,0.0,0.0,NEU
all of it,0.0,1.0,0.0,0.0,NEU
Everyone cue ROSS!!! Works every year for Bradenton 😜,0.0,1.0,0.0,0.0,NEU
In the news Debbie is supposed to arrive for the weekend,0.0,1.0,0.0,0.0,NEU
Just waiting for that rapid intensification,0.0,1.0,0.0,0.0,NEU
"Time to gas up just in case!",0.0,1.0,0.0,0.0,NEU
"Looks like by the time we move from 20% to 70% it's pretty far along.
Not bad odds 😃",0.363,0.637,0.0,0.8201,POS
"please explain?",0.697,0.303,0.0,0.3182,POS
"My comment was a play on the numbers. If there's a 20% chance of developing for next three days, then you can advance the path to Sunday and it's almost past Tampa Bay. So let's say it goes from 20% to 70% on day four, but then it is getting close to landfall.
I think that is why they are saying, unless there is a rapid change in this storm, it is likely a whole lot of rain.",0.043,0.957,0.0,0.296,POS
"It's rain for crying out loud. People live in Florida, it's not a big deal.",0.0,0.807,0.193,-0.4767,NEG
"NOOOOOOOOOOO!!!!!!!!",0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
😂,0.0,0.0,0.0,0.0,NEU
"oh crap, we had no clue this was going on 😳",0.0,0.625,0.375,-0.5859,NEG
this could make my already headache filled week more headache-eeee!🤦‍♀️,0.0,1.0,0.0,0.0,NEU
🙄,0.0,0.0,0.0,0.0,NEU
"What’s the projected strength? I prob missed it.
If it’s a Cat 1 or less, not worried. Our afternoon storms are worse than that.",0.177,0.627,0.196,-0.1256,NEG
"If it takes the current path right over Cuba, it won't have the ability to even develop until it gets into the gulf. What am I missing here?",0.0,0.857,0.143,-0.4874,NEG
follow him!,0.0,1.0,0.0,0.0,NEU
Thank you for the updates Denis.,0.333,0.667,0.0,0.3612,POS
Coming to Sarasota right now I may cry,0.0,0.659,0.341,-0.4767,NEG
we’re going the 8th,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
Rule #7!,0.0,1.0,0.0,0.0,NEU
Rule #7,0.0,1.0,0.0,0.0,NEU
Sigh...,0.0,1.0,0.0,0.0,NEU
Thx Denis!,0.736,0.264,0.0,0.4199,POS
Crap,0.0,0.0,1.0,-0.3818,NEG
"Focus on: dissipate, fizzle, Indian mounds, Go Away, ….",0.0,1.0,0.0,0.0,NEU
yes! And hello miss Jane!,0.417,0.381,0.203,0.3987,POS
Thank you Denis Phillips .,0.455,0.545,0.0,0.3612,POS
