"Friday Tropical Thoughts. I think we finally have a pretty good handle on what's going to happen with our ""Stalking Turtle"" aka Debby. 
1. I suspect the NHC puts us in a Tropical Storm Warning later today or tonight. They will likely issue a Potential Tropical Cyclone advisory. This allows them to put up warnings and offer a track.
2. Speaking of track, it looks like what likely will be Debby will make landfall somewhere between Pinellas and Levy County on Sunday. 
3. The storm should either be a Tropical Depression or a Tropical Storm at that time. That is really the only question mark left on the table. The longer it stays over water, the stronger it could become. So, the sooner the landfall the better.
4. Impacts?  Winds between 40 and 50 mph seem likely...with higher gusts. That sounds about like one of our afternoon thunderstorms, right?  We will also be in the Northeast part of the storm so a ""Tornado Watch"" on Sunday is also possible. 
5. Surge. This will be a decent-sized system that is getting stronger at landfall.  There is a chance of some coastal flooding and water rise on Sunday. The water will already be higher (new moon) on Sunday so areas that are prone to flooding with storms should keep a close eye on this and plan accordingly. 
6. Lots of people are asking if this could become a hurricane. Look, anything is possible, but I'm not playing the ""what if"" game.  That spreads misinformation and its hard enough to get the forecast right with these ragged developing storms. At this point, I'm predicting a Tropical Storm with winds of 40 to 50 mph on Sunday. If it changes, you know we'll be updating 24/7 and let you know. 
7. It doesn't look like it will stall so the scenario of this thing sitting in Florida for several days no longer looks like its going to happen. Rainfall of 4-6"" seems likely.
8. Let's recap.  Timing is late Saturday through early Monday...from our Southern counties to our Northern counties. This IS going to cut across the state so inland areas will also get wind. A Tropical Storm Warning seems likely later today as we see a PTC issued from the NHC.  
9.  Nothing to freak out about. We get 40 to 50 mph winds many times in the Summer. There could be some isolated power outages.  Wind-wise, it's an afternoon thunderstorm that will last for several hours. But as always, for folks who flood along the coast, high tide could bring a bit of water as well. Water is always the trickiest part of the forecast because it depends on the angle the storm approaches our area of who sees the push and who doesn't. 
10. I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is probably good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.",Pos,Neu,Neg,Compound,Overall Sentiment
my son was born during the storm in 2012. I remember that mess clearly!,0.181,0.667,0.152,0.126,POS
"oh I feel for you!!! I was 8 months pregnant and wading through water in our road, and we lived in X. My brother in law kayaked down our street 🤦🏼‍♀️",0.0,1.0,0.0,0.0,NEU
You read a lot people’s minds! TS Debbie caused major flooding in West Pasco county & caused permanent life changes for me. I DO NOT want a repeat!,0.0,0.927,0.073,-0.2037,NEG
Debby 2.0,0.0,1.0,0.0,0.0,NEU
"Yes, it will rain at Disney is the best answer. 😂😂😂
Also, I always say “living on the gulf coast during the summer is like being stalked by a directionally challenged turtle 🐢 that eventually finds its way somewhere.”",0.22,0.748,0.033,0.8402,POS
"So my husband’s recap- he can get his long distance bike ride in on Saturday morning, but put the bike on the indoor trainer Sunday.",0.0,1.0,0.0,0.0,NEU
Thank you for keeping me calm Denis Phillips !!,0.435,0.565,0.0,0.658,POS
Thank you Denis for all your hard work and being the voice of reason. I have been following your forecasts since Irma. Previously I had been watching the weather channel. Talk about scaring people to death!,0.061,0.732,0.207,-0.7177,NEG
"3 months ago we moved into a mobile home here in Pinellas county. I keep repeating Rule #7. You'll give us plenty of warning when to freak out, Right?",0.0,0.819,0.181,-0.6486,NEG
hopefully you had a good home inspection.,0.583,0.417,0.0,0.6808,POS
and family they can hang with during the storm.,0.0,1.0,0.0,0.0,NEU
I hope we don't have to find out,0.326,0.674,0.0,0.4404,POS
"Mobile homes are most at risk when there is a tornado or flooding. If you decide to evacuate, just going to a hotel nearby (not in a flood zone) is sufficient.",0.0,0.919,0.081,-0.3353,NEG
just remember... most of the mobile homes around here are 30-50 years old. They're still here. 🙂 Just evacuate when things look dire.,0.0,0.875,0.125,-0.4588,NEG
He never freaks out. That's the point.,0.178,0.822,0.0,0.0762,POS
get a noaa alert ⚠️ 📢 radio,0.355,0.645,0.0,0.296,POS
you should be fine I grew up living in a mobile home and we never evacuated.. we even rode out Andrew but if you feel like you need to evacuate then I would,0.142,0.858,0.0,0.5647,POS
I’ve already taped and sand bagged 4 of my neighbors condo units . If nothing happens great practice! Also great exercise ! 3 more and it will be beer time!,0.0,0.763,0.237,-0.8158,NEG
"The calming “voice” of reason, experience and expertise has spoken! Thank you, Dennis!",0.345,0.655,0.0,0.6988,POS
"Thanks, Denis. We won't be freaking out..unless you do! Have a great day.",0.517,0.483,0.0,0.8633,POS
Hurricane party!,0.749,0.251,0.0,0.4574,POS
"OK so it's a -
TROPICAL PARTY 🥳",0.688,0.312,0.0,0.767,POS
no because it's not a hurricane it doesn't count as a hurricane party.,0.194,0.647,0.158,0.128,POS
Way to rain on my parade REBECCA.,0.0,1.0,0.0,0.0,NEU
🙂 you're welcome,0.75,0.25,0.0,0.4588,POS
Is there a graphic that shows where the storm will be on certain days?,0.149,0.851,0.0,0.2732,POS
read #1. The NHC hasn’t put out a track yet because it is ragged and hasn’t developed yet.,0.0,1.0,0.0,0.0,NEU
https://www.fox35orlando.com/.../invest-97l-florida...,0.0,1.0,0.0,0.0,NEU
"This is an early one and obviously it could change, but I think this is what they're thinking right now",0.0,1.0,0.0,0.0,NEU
Thank you! I know things change but this at least gives me an idea of what is happening when.,0.107,0.893,0.0,0.2598,POS
"Denis Phillips, if a train leaves Tampa at 1:00 p.m. on Saturday headed South, and another train leaves Orlando at 3:00 p.m. on Sunday headed West, will we still get rain in Bradenton this weekend?",0.0,1.0,0.0,0.0,NEU
best comment EVER!!🤣,0.705,0.295,0.0,0.6988,POS
"Thank you, Denis Phillips! Trying to plan Open Houses during Hurricane season is always a fun time!",0.313,0.687,0.0,0.7494,POS
Thank you so much for always keeping us informed without any panic! I only follow you for any weather updates,0.244,0.756,0.0,0.6698,POS
Thank you 🙌 you really help my anxiety a lot thank you thank you thank you 🙏,0.566,0.348,0.086,0.8759,POS
#10 is hilarious. Thank you Denis Phillips for always keeping it real and as accurate as one is able to regarding weather. ☔️,0.198,0.802,0.0,0.6369,POS
I get a chuckle every time,0.474,0.526,0.0,0.4019,POS
Have possible tropical disturbances always been monitored and publicized this much? I just don’t recall an unnamed system getting this much attention. Of course early awareness is always beneficial.,0.093,0.831,0.077,0.128,POS
with Denis Phillips yes,0.474,0.526,0.0,0.4019,POS
it seems more now because of social media! But the official updates are the same as years before,0.0,1.0,0.0,0.0,NEU
ratings.,0.0,1.0,0.0,0.0,NEU
"It appears there isn’t a ton of time for rapid intensification, correct? But still a possibility given the water temp? How fast is this storm currently moving?",0.0,1.0,0.0,0.0,NEU
We get on a cruise ship Sunday heading to the Bahamas. Any updates on that direction,0.0,1.0,0.0,0.0,NEU
"If laughing makes you feel better, great! I am just asking a question because we know nothing about this hurricane stuff. First time cruiser here. Thanks",0.401,0.599,0.0,0.9245,POS
watch for updates from your cruise line. They will send info ahead of time. Maybe a bit bumpy but once the storm goes through the weather willbe gorgeous.,0.175,0.825,0.0,0.7579,POS
you are screwed.,0.0,0.385,0.615,-0.4939,NEG
thank you for letting me know.😁,0.333,0.667,0.0,0.3612,POS
"As long as there are enough Goldfish in this house, we are set for everything",0.0,1.0,0.0,0.0,NEU
the stores will probably still be open so even if you run out you can still get more 😉,0.0,1.0,0.0,0.0,NEU
true but it gets really people-y and I can only handle so much of that madness lol,0.249,0.579,0.171,0.1901,POS
"got my coffee pot, Coleman stove and propane…I’m good!",0.285,0.715,0.0,0.4926,POS
Thank you! We all need a Debbie in our lives!,0.278,0.722,0.0,0.4738,POS
hopefully a Little Debbie!,0.599,0.401,0.0,0.4574,POS
"So, should I cut the grass now or is there time to do it tomorrow before landfall?",0.0,0.863,0.137,-0.3353,NEG
Saturday is a normal day,0.0,1.0,0.0,0.0,NEU
thanks Denis Phillips you are my favorite meteorologist.,0.496,0.504,0.0,0.7096,POS
"So what does this mean for the Anna Maria Islands? We are headed that way tomorrow",0.0,1.0,0.0,0.0,NEU
you should be fine as it probably won't hit until tomorrow night. Like what he said in the post,0.202,0.798,0.0,0.5106,POS
When is it going to hit the Tampa area?,0.0,1.0,0.0,0.0,NEU
.......late Saturday night,0.0,1.0,0.0,0.0,NEU
read his post,0.0,1.0,0.0,0.0,NEU
When do you think Gainesville will be impacted?,0.0,1.0,0.0,0.0,NEU
when UF has a good football team again.,0.326,0.674,0.0,0.4404,POS
Will they be closing Tampa airport,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, you are the best. My son is a rising college senior in Tampa and I live in Massachusetts. Your updates keep me informed &!sane, for which he and I both thank you! ⭐️🌀",0.195,0.805,0.0,0.8065,POS
Ok so non Floridians please don’t buy up all the supplies just yet we will be ok no need to freak out,0.24,0.585,0.175,0.2177,POS
I bought TP and seltzers. Oh and water- cuz I never need it.,0.0,1.0,0.0,0.0,NEU
Rule 7!😀,0.0,1.0,0.0,0.0,NEU
"What about my flight on Sunday? Is it canceled?
Also I usually walk my dogs between 2:27-2:33 every afternoon? Is that still safe or should I cancel that as well??",0.181,0.758,0.061,0.6072,POS
TPA will be boarded up until it passes next Friday. 🤣,0.0,1.0,0.0,0.0,NEU
if you walk your dog at 2:29 you should be fine!,0.173,0.827,0.0,0.2714,POS
read Denis’s post,0.0,1.0,0.0,0.0,NEU
So...typical summer storm but with a name?,0.0,1.0,0.0,0.0,NEU
which means if you get any damage your deductible is going to be higher,0.0,0.802,0.198,-0.4939,NEG
exactly 👎,0.0,1.0,0.0,0.0,NEU
never made a claim. In the last 4 years my homeowners insurance went up 310%,0.0,1.0,0.0,0.0,NEU
same!,0.0,1.0,0.0,0.0,NEU
right?,0.0,1.0,0.0,0.0,NEU
We have a non refundable air bnb booked on the beach at Treasure Island Sunday-Wednesday. You would recommend holding off until Monday to go? Because of flooding potential? 😖,0.168,0.832,0.0,0.6199,POS
go! Great way to watch a storm is at the beach! Party time!,0.434,0.566,0.0,0.826,POS
it's too hot anyway. Better to cancel.,0.293,0.505,0.202,0.2263,POS
Can’t cancel-non refundable 🙄,0.0,1.0,0.0,0.0,NEU
How bad is Orlando going to be affected? Flying in tmrw day to board a cruise Sunday morning.,0.0,0.746,0.254,-0.6249,NEG
it's gonna rain and be a little breezy...,0.0,1.0,0.0,0.0,NEU
Thank you and for all you do Denis!☀️🌧️🌈,0.285,0.715,0.0,0.4199,POS
"Ditto! Keeping us calm is a blessing.",0.592,0.408,0.0,0.6996,POS
"Hi Denis Phillips. When you talk about late Saturday, what time frame late Saturday would you estimate that to be? I know you don’t know airline cancellations and I will be checking with my airline, but of course it concerns a flight out of Tampa at 6pm on Saturday. Please and thank you.",0.114,0.886,0.0,0.7351,POS
"the last time I checked ""national hurricane center"" online, they said around 8 pm, you can follow it there and check with the airlines. I've flown out of tampa before during a tropical storm",0.0,1.0,0.0,0.0,NEU
"thank you, good to know. I did have one flight canceled once because of a storm but I suppose it depends on the severity. I am continuing to check with the airline for any advisories. Thank you again for the information. Much appreciated.",0.246,0.754,0.0,0.886,POS
well I guess they do call it a cyclone. But here's some more information. Still just going to be a tropical storm not a hurricane (so far).,0.066,0.934,0.0,0.1406,POS
Thanks Jean! X0,0.615,0.385,0.0,0.4926,POS
"Is my flight going to be canceled..... LOL, really people?",0.282,0.718,0.0,0.5473,POS
they don’t read his posts lol it gets me every time and the specific times too 😂,0.157,0.843,0.0,0.4215,POS
As always thanks Denis Phillips appreciate you,0.528,0.472,0.0,0.6808,POS
"Denis Phillips we talked about you in my department meeting on Wednesday. Our northern teammates were asking about the storm and we all said “Rule #7 … unless Denis Phillips freaks out, we don’t“.",0.0,0.958,0.042,-0.1027,NEG
"love it! We need the Rule #7 coffee mugs or tumblers for you, me and Angie!",0.242,0.758,0.0,0.6988,POS
Flying into Tampa at 6 on Sunday ? Should I cancel my flight ?,0.0,0.792,0.208,-0.3313,NEG
"we are suppose to
Fly Sunday as well, looking to change flight now. I don’t want to be at the airport with delays for hours, not worth it",0.117,0.826,0.057,0.1862,POS
we fly in at 3pm Sunday and looking at options now. Not looking good for flights on Sunday.,0.0,0.876,0.124,-0.3412,NEG
you'll be fine as long as it's not hurricane,0.184,0.816,0.0,0.2023,POS
"if it's not safe, the airline will cancel it which is better for you because you don't need to pay a cancellation fee",0.158,0.677,0.166,-0.0541,NEG
"What about changing your destination? Sarasota? Ft. Lauderdale or Miami? Rent a car. IDK. I haventflown in a very long time. It might be easier to delay, bit if you must be here by Monday for work ir something, ....",0.067,0.814,0.119,-0.2899,NEG
yes i work Monday,0.574,0.426,0.0,0.4019,POS
Gotta get creative! Best wishes !,0.823,0.177,0.0,0.8513,POS
"are you serious?",0.0,0.606,0.394,-0.0772,NEG
You’re the best Denis!,0.6,0.4,0.0,0.6696,POS
Denis Phillips Thank you for always sharing your calming updates!🥰,0.542,0.458,0.0,0.807,POS
"Thank you Denis Phillips. So many forecasting and news media hype these storms up. Always come to you for the info. Always prepared, but never freaking out.",0.205,0.795,0.0,0.6367,POS
I know that no one knows but do flights usually get cancelled for this level of storm?,0.0,0.773,0.227,-0.4767,NEG
read his post,0.0,1.0,0.0,0.0,NEU
"haha girl I think we could be friends!! The questions people keep asking lol why the heck Don't these people read?
If they're Flying they're going on a cruise if they're traveling Don't they have a weather app on their phone or can they not call their travel agent? This is ridiculous. It's so annoying people could care less who's cruising or going on vacation, do your own research girl. We could be friends because 'your letting it rip on these questions 🤣
you're letting it rip.",0.165,0.778,0.056,0.8922,POS
"I've read his post, have you actuallyread my question, I'm not asking if our flight will be cancelled, I'm asking at what point do they usually/ historically stop flights, pardon me for not knowing how these things work 🙄",0.055,0.843,0.101,-0.2263,NEG
"This is good news for us people leaving New Orleans Sunday heading to Florida keys and Bahamas , looks to be well past us , but am definitely praying for anyone it affects!",0.282,0.718,0.0,0.8622,POS
"Sunday ? It will be a bad day to be driving or flying",0.0,0.741,0.259,-0.5423,NEG
"it doesn’t look like it’s affecting New Orleans bad at all on Sunday, all these maps are saying Florida on Sunday",0.1,0.76,0.14,-0.25,NEG
"Yeah FL - I’m saying bad day to travel to FL
Unless you plan on arriving to FL on Monday",0.097,0.749,0.154,-0.3182,NEG
"we are leaving on a cruise out of NOLA on Sunday , I shoulda said that, 😆and we won’t be to the Florida keys Til Tuesday , so we should be fine 😁",0.062,0.938,0.0,0.2023,POS
i see. Yeah should be fine. Just some rain prob,0.364,0.636,0.0,0.4588,POS
Thanks for keeping us updated on the situation!,0.313,0.687,0.0,0.4926,POS
But will it rain at Disney??? 😂,0.0,1.0,0.0,0.0,NEU
We have a camping trip planned starting Sunday near Tallahassee. Should we cancel our plans at this point Denis Phillips? Thanks,0.127,0.786,0.087,0.2263,POS
"TY, Denis. I always feel better after reading your thoughts. You are an awesome weatherman!",0.491,0.509,0.0,0.8916,POS
"The last time Debby came through, we had a tornado here on St Pete Beach. Did quite a bit of damage . Came straight up the middle of the island .",0.063,0.823,0.114,-0.3744,NEG
Thank you Denis! You are always the calming yet very informative chief meteorologist!,0.345,0.655,0.0,0.6988,POS
"Was directed this way from a disney group I am a part of and so glad I was. This has been so reassuring and helpful. Coming from Iowa , where we only have to worry about snow and tornadoes , tropical depression and hurricanes are foreign to me. We fly into sanford Monday, so hoping this will pass so we can have a safe flight. We stocked up in ponchos just in case!",0.208,0.712,0.08,0.8917,POS
"growing up/living in the Carolinas and now having a place in Florida, the potential for tornadoes in parts of the storm are in my opinion the scariest part of hurricanes in inland areas - since you’ve got that down you’re good 🙌🏼 Safe travels.",0.161,0.839,0.0,0.7579,POS
are you a cornhead?,0.0,1.0,0.0,0.0,NEU
I am going to be on Tampa from Saturday to Sunday. What can I expect coming back to Miami on Sunday? Will it be safe?,0.129,0.871,0.0,0.504,POS
Thanks so much for keeping us all updated,0.293,0.707,0.0,0.4404,POS
"I have to be at work this weekend at 5 am every morning this weekend, our only transportation is a motorcycle.",0.0,1.0,0.0,0.0,NEU
Ok,1.0,0.0,0.0,0.296,POS
"I need to get from Orlando to Atlanta by Monday afternoon.
Would a roadtrip be out of the question?",0.0,1.0,0.0,0.0,NEU
leave now and you won’t need to worry,0.0,0.594,0.406,-0.4767,NEG
Thanks as always Dennis,0.492,0.508,0.0,0.4404,POS
Thank you Denis Phillips. Always appreciate the information!,0.478,0.522,0.0,0.6696,POS
Where are those two counties. Will Anna Maria island get hit bad? Or just a rain storm ?,0.0,0.795,0.205,-0.594,NEG
Google Map it,0.0,1.0,0.0,0.0,NEU
Anna Maria is in Manatee County.,0.0,1.0,0.0,0.0,NEU
 yes I googled it thanks,0.737,0.263,0.0,0.6808,POS
did you read #3? Or any of his post?,0.0,1.0,0.0,0.0,NEU
Do you think the bay areas such as Davis Islands will see some surge and flooding or just gulf areas?,0.0,1.0,0.0,0.0,NEU
when the water rises it rises all over it’s just how close to the water are you? I live in Gulfport and we usually get water in the street by the Casino and the pier.,0.0,1.0,0.0,0.0,NEU
re read his post,0.0,1.0,0.0,0.0,NEU
🙄 says nothing about the bay,0.0,1.0,0.0,0.0,NEU
look at the pictures. It’s going across the state. It isn’t a big deal. Just like an afternoon thunder storm that lasts longer. No biggie,0.094,0.824,0.082,0.0772,POS
"Well, we still need some rain so I'm not unhappy about that part. It's Florida, people! This is a ""dry run"". I'm glad I found your page, Denis Phillips, otherwise I would probably freak out. Thanks for helping us understand how things work.",0.262,0.68,0.058,0.8476,POS
