"11pm Update: Tropical Storm Debby now has winds of 45 mph. Notice the track, it really hasn't changed much. Maybe just a touch to the East. The models are in great agreement and we're confident of this track. The big question is just how strong. NHC now has 85 mph before landfall and with all that warm water, it could be stronger. Updates 24/7 and the latest right now on ABC Action News.",Pos,Neu,Neg,Compound,Overall Sentiment
this is very true! A day before they all said tampa bay would be ground zero… then it hit Ft myers,0.151,0.849,0.0,0.5244,POS
"let's hope!!!",0.791,0.209,0.0,0.5826,POS
yes,1.0,0.0,0.0,0.4019,POS
"Im glad youre not alarmed about the bump east. It seemed like a big percentage of our safety margin to lose, especially given that the intensity forecast is up to 70 mph and growing fast.",0.282,0.655,0.063,0.8093,POS
It hitting more east and riding the coast was a much better scenario for everyone than it sitting in the Gulf gathering steam.,0.121,0.879,0.0,0.4404,POS
I absolutely agree considering I rode out Debby in 2012 which just sat there and dumped rain for 3 days. I'd rather it take a swift pass and get it out of here.,0.138,0.781,0.081,0.2247,POS
"makes me think back to hurricane Elena when n the 80s. I was a teen but really didn’t know why all the adults were freaking out. Now, as a homeowner, I get it.",0.0,0.879,0.121,-0.5719,NEG
"The people who say this have lived here a while too. Do they really not know how this works? I'd much rather be inconvenienced or uncomfortable for a few days than to see other communities completely devastated.",0.0,0.827,0.173,-0.7841,NEG
"Intensity forecast 75kt, about 85mph now.",0.0,1.0,0.0,0.0,NEU
Around what time will the weather begin to deteriorate for Pinellas county tomorrow? I gotta go to work and want to get home safely. Thanks for all you do to keep us safe and informed! ☺️,0.255,0.745,0.0,0.8622,POS
"my biggest concern is the skyway. It’s closed if there’s sustained winds of 40+ mph, and I don’t know when that’s expected to be hitting that area, or for how long we could reasonably expect the bridge to be closed.",0.0,1.0,0.0,0.0,NEU
"Denis Phillips I have a conf to attend on Monday… will it be safe to drive Tampa to Orlando tomorrow or
Monday morning ?",0.127,0.873,0.0,0.4404,POS
probably tomorrow morning before the outer bands start hitting - Sunday night through Monday morning will be messy. He said that in an earlier post,0.0,0.902,0.098,-0.3612,NEG
thank you. I’ll leave in the morning…,0.287,0.575,0.138,0.3182,POS
"Ninon, that drive is never safe. Lol 😍🤣",0.0,0.559,0.441,-0.5773,NEG
 I agree 😊.,0.714,0.286,0.0,0.3612,POS
Praying it doesn't take a sharp right turn into us 😬,0.238,0.762,0.0,0.3612,POS
...🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
That gulf water is soooo hot! We were at honeymoon island and couldn’t even be in the water…,0.0,1.0,0.0,0.0,NEU
"I’m on the Margaritaville Islander, just circling Mexico until we can port in Tampa. 🤮",0.0,1.0,0.0,0.0,NEU
I went through the same thing in 2022 with Hurricane Nicole. It only reached a CAT 1 (briefly) so it wasn't too bad and we had to stay an extra day out at sea.,0.128,0.872,0.0,0.5023,POS
is it scary?,0.0,0.385,0.615,-0.4939,NEG
"Not right now. They closed the Tampa Port, so we are just hovering around Mexico.",0.0,1.0,0.0,0.0,NEU
be safe,0.744,0.256,0.0,0.4404,POS
I’m worried about tomorrow seas. 😩,0.0,0.645,0.355,-0.296,NEG
Thank you!,0.736,0.264,0.0,0.4199,POS
Thank you always for the updates Denis.,0.294,0.706,0.0,0.3612,POS
What are your thoughts for Savannah GA? Tampa Bay Area re-locator to Savannah and in the past few years haven’t found any meteorologist like you. They’re all freaking out as if it’s the end of the world and you taught me better. I know Savannah floods like crazy with a simple afternoon thunderstorm so I’m interested on how long this thing will be dumping rain on us to gauge how bad we will flood.,0.127,0.745,0.128,-0.0314,NEU
"I'm truly worried about Savannah. It floods so easily.",0.423,0.422,0.155,0.5881,POS
it rained here for an hour and half the streets are underwater. It’s gonna be so bad with a storm hovering.,0.0,0.809,0.191,-0.6696,NEG
"I can't imagine. People aren't taking it seriously.",0.202,0.798,0.0,0.1326,POS
"You gotta wonder why they always go for that big bend lol I know they say we’re protected by the tocobaga natives, and I’m for sure convinced now that Tampa bay is hurricane proof 🤣",0.27,0.73,0.0,0.8658,POS
"Thanks Denis,appreciate the updates,stay safe",0.659,0.341,0.0,0.7003,POS
Thanks for all the updates! We look to you as we make decisions!,0.225,0.775,0.0,0.5399,POS
"Dennis Phillips when is better to come back from Orlando to Tampa , Sunday or Monday ? 😩",0.172,0.828,0.0,0.4404,POS
Flight finally canceled for tomorrow to get back home to Tampa. Rebooked for Tuesday. Stay safe.,0.162,0.838,0.0,0.4404,POS
"ahhh we are supposed to fly into Orlando tomorrow AM, I'm wondering when/if mine will be cancelled",0.0,0.889,0.111,-0.25,NEG
same.. we are supposed to arrive around 11:30 and previous posts all looked like it wouldn’t be anything but rain for Orlando and not by Tampa until mid afternoon on Sunday.,0.055,0.945,0.0,0.1901,POS
got the text around 5pm for the cancelation.,0.0,1.0,0.0,0.0,NEU
we fly in Monday morning to Orlando 😅😅 I’m hoping it’s passed by then,0.177,0.823,0.0,0.4215,POS
which airline?,0.0,1.0,0.0,0.0,NEU
Spirit from Atlantic City to Tampa. Was supposed to land in Tampa at 3:45pm tomorrow. Had to wait for the official travel advisory to rebook without fees. Monday was sold out.,0.054,0.946,0.0,0.1779,POS
thank you!!,0.755,0.245,0.0,0.4738,POS
what airline?,0.0,1.0,0.0,0.0,NEU
above she said Spirit,0.362,0.638,0.0,0.1779,POS
"Thank you Denis for your hard work in updating us!!!!!",0.281,0.612,0.107,0.5053,POS
"Keep it coming to the east",0.0,1.0,0.0,0.0,NEU
you like dead people and property destruction then?,0.161,0.323,0.516,-0.7579,NEG
I think it'll get a little stronger than the 85..,0.248,0.752,0.0,0.3197,POS
yea I think so nch take baby steps,0.0,1.0,0.0,0.0,NEU
"Thank you! Don’t know what we’d do without you",0.259,0.741,0.0,0.4199,POS
I agree,1.0,0.0,0.0,0.3612,POS
Storm surge is getting considerably worse as well. Friday 11 p.m. worst in discussion was 2 to 4 feet. Saturday 11 p.m. worst in discussion is 6 to 10 feet!,0.063,0.617,0.319,-0.8891,NEG
"6-10 feet where?",0.0,1.0,0.0,0.0,NEU
"Suwannee River to Aucilla River, FL...6-10 ft
Yankeetown to Suwannee River, FL ...4-7 ft
Aucilla River to Ochlockonee River, FL...4-6 ft
Aripeka to Yankeetown, FL...3-5 ft
Ochlockonee River to Indian Pass, FL...3-5 ft
Bonita Beach to Aripeka, FL...2-4 ft
Tampa Bay...2-4 ft
Charlotte Harbor...2-4 ft
See ""Public Adv"" link here https://www.nhc.noaa.gov/graphics_at4.shtml?start#contents",0.0,1.0,0.0,0.0,NEU
"oh, so not in the Bay Area.
Best of luck up there, truly. I’m sorry it got sent your way.",0.369,0.584,0.047,0.8689,POS
It's going to turn into a monster storm going over the gulf's warm waters.,0.137,0.863,0.0,0.2263,POS
Was just feeling relaxed and now this bump to the east 😅,0.343,0.657,0.0,0.5719,POS
"It could still move closer to tampa",0.0,1.0,0.0,0.0,NEU
"Driving from Piegan Forge Tennessee tomorrow should this be an issue?",0.0,1.0,0.0,0.0,NEU
where are you heading to?,0.0,1.0,0.0,0.0,NEU
Disney,0.0,1.0,0.0,0.0,NEU
We need it to veer west,0.0,1.0,0.0,0.0,NEU
What are the chances of this curving into Pinellas? 😦,0.184,0.816,0.0,0.2023,POS
"I'd keep an eye on it..there's still time for it to shift",0.0,1.0,0.0,0.0,NEU
"slim and none and slim is leaving town…",0.0,1.0,0.0,0.0,NEU
negative 500,0.0,0.213,0.787,-0.5719,NEG
I hope so 😳,0.744,0.256,0.0,0.4404,POS
I live in Pinellas Park. We luckily don’t flood here being on evac level C/D. Still concerned because other “weather guys” are hinting at it moving more east and intensifying with the latest update.,0.093,0.907,0.0,0.5106,POS
"okay, so it could possibly be 2, got it.
Possibly.",0.174,0.826,0.0,0.2263,POS
this will be a summer storm. Nothing too serious and nothing to worry about.,0.248,0.752,0.0,0.3875,POS
"...Stay safe 🙏",0.744,0.256,0.0,0.4404,POS
"High tide is at 1225 tomorrow.",0.0,1.0,0.0,0.0,NEU
"what other weather guys have said that?",0.0,1.0,0.0,0.0,NEU
Are we gonna have.less rain. than was forcast for the coast?,0.0,1.0,0.0,0.0,NEU
I love Dennis! But before his update I watched Accu weather and there were quite some swirls of rain- so I think not less,0.126,0.874,0.0,0.4389,POS
"What about Disney 👀 we just arrived lol",0.318,0.682,0.0,0.4215,POS
they will never get it lol,0.0,0.682,0.318,-0.3252,NEG
🙂,0.0,0.0,0.0,0.0,NEU
I saw this. I don’t care about the rain just seeing if it’s expected to get bad weather there bc of the hurricane as I’m no weather person nor do I know how that works. 🤷🏼‍♀️,0.082,0.771,0.147,-0.3612,NEG
"are plane leaves at 7am, so worried it will get cancelled!",0.0,0.636,0.364,-0.632,NEG
oh no we drove in straight through from Houston so we didn’t have to drive through it tomorrow,0.095,0.796,0.109,-0.0772,NEG
Thank you for keeping us posted. We will be checking for any changes through the night. Citrus County.,0.128,0.872,0.0,0.3612,POS
"How’s it looking for the tally area?",0.0,1.0,0.0,0.0,NEU
I'm curious too,0.535,0.465,0.0,0.3182,POS
poor Perry. There’s not much left after Idalia hit last year.,0.0,0.763,0.237,-0.4767,NEG
so sad. 😞,0.0,0.228,0.772,-0.5256,NEG
So far to the east of us still.,0.0,1.0,0.0,0.0,NEU
"Channel 13 has it north of Perry.",0.0,1.0,0.0,0.0,NEU
"Actually, weather channel is showing south of Perry.
Either way, they're all east of Tally/Wakulla.",0.0,1.0,0.0,0.0,NEU
Tampa BAY!,0.0,1.0,0.0,0.0,NEU
Water is shallow up in the nature coast area and warmer. More fuel before landfall. I say she comes in a CAT 2.,0.099,0.901,0.0,0.296,POS
"i told you it was gunna turn and come up here. Look at the end of the track, she’s supposed to make a 90° turn and come here",0.0,1.0,0.0,0.0,NEU
I feel like this will be a cat 2. Every time these things get in the gulf they explode. Not sure if there is enough time for it to get to a 3,0.079,0.858,0.062,0.1376,POS
I am sick of seeing that people are posting that this will be just like a normal summer thunderstorm in some areas. No it’s not obviously.,0.086,0.724,0.19,-0.4588,NEG
Thanks for keeping us all informed. Grab a quick Nap while you can! ,0.225,0.775,0.0,0.4926,POS
"Surprise, surprise, wind forecast keeps bumping up with every update. I’ll wake up in the morning and it’ll be bumped up again, and it’ll keep bumping up until it’s another Michael or Ian or Andrew at landfall.",0.107,0.893,0.0,0.4939,POS
Michael was already 100 at this poibt,0.0,1.0,0.0,0.0,NEU
"Thank you for the update!",0.411,0.589,0.0,0.4199,POS
Thank you from Tally.,0.455,0.545,0.0,0.3612,POS
"Why so many questions. If your scared in your area you need to leave if not stY and ride it out just simple as that. Lol",0.094,0.769,0.137,-0.0772,NEG
This is Monday and it is still raining.,0.0,1.0,0.0,0.0,NEU
"Still the same for Polk, are we still on the weaker part?",0.0,0.791,0.209,-0.4404,NEG
"Just saw a post about related tornado in Fort Lauderdale. That can’t be same system???",0.0,1.0,0.0,0.0,NEU
I thought they said it was from one of the outer bands of the storm.,0.0,1.0,0.0,0.0,NEU
maybe! Was just curious 🤨,0.464,0.536,0.0,0.3802,POS
I think it’s the outskirts of it. I’m heading home on a cruise right in the middle of it just lightning and very very humid rn,0.0,1.0,0.0,0.0,NEU
yes it is,0.574,0.426,0.0,0.4019,POS
"Hey Denis what does this mean for inverness",0.0,1.0,0.0,0.0,NEU
How are your snacks holding out🤗,0.0,1.0,0.0,0.0,NEU
"Soo what your saying is I gotta go to work lol",0.237,0.763,0.0,0.4215,POS
Prayers,0.0,1.0,0.0,0.0,NEU
Thanks so much!! You are wonderful!,0.651,0.349,0.0,0.8164,POS
Take some sleeping medicine and sleep for 12 yours and go outside and start cleaning up your area. Simple as that.,0.0,1.0,0.0,0.0,NEU
"thank you for the update",0.385,0.615,0.0,0.3612,POS
"Stronger storm my gut is saying further east now.",0.245,0.755,0.0,0.3818,POS
u bet,0.0,1.0,0.0,0.0,NEU
Looks like it's far enough west pinellas county get much,0.217,0.783,0.0,0.3612,POS
I wouldn’t be surprised if this is a cat 2 at land fall,0.174,0.826,0.0,0.2263,POS
Will it help if we all start throwing ice into the Gulf?,0.197,0.803,0.0,0.4019,POS
"What are the rain totals for the Kathleen area looking like?",0.2,0.8,0.0,0.3612,POS
My moms at Gainesville 😭😭😭,0.0,1.0,0.0,0.0,NEU
"Rain rain more rain, good for tropical, lush, Florida. T.y rain",0.241,0.759,0.0,0.4902,POS
"see, no where near Tampa.",0.0,0.645,0.355,-0.296,NEG
"good. Ty",1.0,0.0,0.0,0.6705,POS
I’m visiting family in AL. Plan on driving back early tomorrow morning to Madeira and hoping to beat the bad weather.,0.111,0.751,0.138,-0.1779,NEG
this mama says wait 🕊️,0.0,1.0,0.0,0.0,NEU
thank you 😊 If I don’t go tomorrow I def can’t go Monday. Then I’m stuck until Tuesday and have to be at work Monday-Tuesday.,0.102,0.816,0.082,0.128,POS
work should understand. Will pray for you Wisdom on timing. You’re worth the wait til safe to go❣️ 🙏🏻🙏🏻🙏🏻❤️,0.412,0.588,0.0,0.8591,POS
So now it’s nudging east?,0.0,1.0,0.0,0.0,NEU
yes because it get stronger that's why and don't be surprised at 5am update Sunday morning track more to east,0.221,0.709,0.07,0.5624,POS
Long as it stays east.,0.0,1.0,0.0,0.0,NEU
this is the guy.,0.0,1.0,0.0,0.0,NEU
I’m guessing a Cat 2 at landfall. A lot of warm water to tap into .,0.147,0.853,0.0,0.2263,POS
and it is moving super slow. More time in the warm water.,0.367,0.633,0.0,0.7003,POS
Denis Phillips will there be tornado warnings? I hope not,0.24,0.579,0.182,0.1779,POS
"Wow.., so many. So many STUPID QUESTIONS. COMMENTS. It's hard for me to keep up. You must have the patience of a saint... keep it simple for those in the back.",0.0,0.828,0.172,-0.7014,NEG
Thank you Denis,0.556,0.444,0.0,0.3612,POS
Thankyou denis,0.0,1.0,0.0,0.0,NEU
