"Overnight Debby thoughts:
1. No meaningful changes to the track. Recon found a slightly repositioned center and thus shifted the track just a touch to the East. The forecast remains solid.
2. When Debby passes our area, it will be getting stronger. Coastal areas should see winds around 40 mph on Sunday afternoon and evening. The winds could be higher in Hernando and Citrus counties. Storm surge is still a big concern for areas along the Gulf and Bay.  We will continue to update any changes, but the timing of high tide will be in the afternoon and early evening.
3. Landfall will occur in the Big Bend area on Monday morning. Latest guidance has winds of around 85 mph. The odds of Rapid Intensification according to models is about 30%. So not likely, but certainly possible. Either way, the impacts on our area will remain the same.  Windy, gusty along the coast with heavy downpours. The closer you are to the beach, the heavier the rains will be.
4. My suggestion?  Hang at home on Sunday and keep up to date with any changes we may see. It's gonna be a pretty nasty day and difficult to drive in the squally weather. Rainfall totals will be 4 to 8 inches along the coast with much lower totals inland.
5. Nothing to freak out about in the Bay Area. Unfortunately, the Big Bend will see much more wind and surge than we do, however, it's a pretty rural coastal area up there and shouldn't be nearly as strong as Idalia was last year when it hit pretty much the same area.
6. Keep it here 24/7. No one updates social media like we do during a storm. It's our passion. Hope you find it useful.  Stay safe on Sunday!",Pos,Neu,Neg,Compound,Overall Sentiment
"gotta love that alley for learnin’ us up right! 🤣🫶🏽",0.333,0.667,0.0,0.6696,POS
Thank you. I believe the Seminole Indians continue to protect their mounds in Pinellas County . So thankful!,0.419,0.581,0.0,0.855,POS
"When I read the first line I didn't have my glasses on and I thought Denis said ""Overnight DADDY thoughts"" lol Denis is our weather daddy 🤣",0.113,0.887,0.0,0.4215,POS
"You’re the best.
One request is to include the Carolinas in your graphics. Thanks for all you do for including the southern east coast. (SC here).",0.228,0.772,0.0,0.7964,POS
Keep going to the west Debby ! Your understanding the assignment 😂,0.0,1.0,0.0,0.0,NEU
noooo we don't want her in the panhandle lol.,0.254,0.635,0.111,0.3773,POS
"Any indication on when approximately this rough weather will pass?
We are Flying over to Charlotte Douglas then to Orlando on August 10th.... hoping it dissapears by then",0.094,0.906,0.0,0.4215,POS
"My first summer living in Florida, I go to you for the weather. No bull and straight to the point!!!",0.086,0.774,0.14,-0.2905,NEG
I couldn't exist without Denis. Been with him since 2020!,0.0,1.0,0.0,0.0,NEU
Thank you to you and your team for all the updates.,0.2,0.8,0.0,0.3612,POS
Will this affect Clearwater much? My 22 yr old daughter live near there alone and she has never been in a hurricane by herself,0.0,0.917,0.083,-0.25,NEG
"I've lived in Clearwater for 20 years and I am not even remotely afraid. Just keep Denis Phillips on and stay inside like he said. Stay away from the roads as they could potentially be flooded. She can easily Google flood areas in Clearwater and if she is in one, now would be a good time to find a friend or place such as a hotel where you can stay away from it for the day.",0.139,0.861,0.0,0.875,POS
",I'm not Denis Phillips, but from reading his posts, I'm going to say some wind and rain. Looks like it's pulling further away from the Tampa coast, I feel like your daughter will be fine💞 Do you know if she's had any trouble with flooding when there's been a lot of rain? Have her put the number in her phone for in case the power goes out, and stay off the roads if there is any flooding😊 I have a daughter too💘",0.093,0.865,0.042,0.5267,POS
Thank you! I spoke to her this morning and I had her prepare yesterday with necessities . I’m in Texas and I’m use to Hurricanes here but this is her first one that she is going through alone. She said there was some rain and she lost power for just a little bit. I think she is in the clear. And she’s only been there for 6months so she doesn’t know alot of ppl or if it floods in her area. I sent her some sites she can go on to look at what’s happening in her area,0.052,0.89,0.058,-0.1511,NEG
this is everyone in the state of Florida preparing for a hurricane😝,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips! You Rock and we are so grateful ☺️ for you.,0.357,0.643,0.0,0.7689,POS
My thanks to your whole team for keeping everyone up to date and hopefully safe!!🏆💞,0.322,0.678,0.0,0.7339,POS
Thank you Denis for the updates. How do you think the weather will be on Tuesday from Atlanta to Tampa via 75 as we need to make it back for school open house.,0.072,0.928,0.0,0.3612,POS
all better by then. At least in Tampa,0.293,0.707,0.0,0.4404,POS
"that’s not gonna happen",0.0,1.0,0.0,0.0,NEU
"The further west, the sweeter they taste!",0.0,1.0,0.0,0.0,NEU
This is where I come any time there's wonky weather. I appreciate you all so much!,0.187,0.813,0.0,0.4574,POS
"Thanks Denis for keeping us updated and informed…you’re the best!",0.48,0.52,0.0,0.8122,POS
"Thank you from Citrus County. Stay safe",0.519,0.481,0.0,0.6597,POS
Thank you for the updates! We all appreciate you!!,0.465,0.535,0.0,0.7249,POS
Thank you for keeping us updated! We value your interpretation of what’s going on. Keep up the good work! Hope you get some sleep time in!,0.345,0.655,0.0,0.8904,POS
"I truly appreciate your updates and honest, straightforward forecasting. Thank you, Denis.",0.62,0.38,0.0,0.886,POS
Denis Phillips you're the best!! Thank you for all you do to keep us safe and informed.,0.421,0.579,0.0,0.8802,POS
Thank you so much Denis Phillips for all your updates my husband and I greatly appreciate it especially when it comes to weather like this,0.276,0.724,0.0,0.7902,POS
"My flight to Orlando just got delayed from 7am to 1:30, isn't later in the day going to be worse?",0.0,0.783,0.217,-0.6124,NEG
Same here. We were supposed to fly out at 7:00 a.m. and arrive at 9:45 a.m. They pushed our flight back to 1:30 p.m. I thought we would be safe leaving early in the morning. I have a feeling they might cancel our flight altogether.,0.097,0.859,0.044,0.34,POS
"yup, now it's pushed to 3:30",0.0,1.0,0.0,0.0,NEU
"yup",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Thank you for everything you do to help us navigate these storms. You are the best.,0.42,0.58,0.0,0.8555,POS
"So can you tell me the difference between the torrential thunderstorms that we’ve been getting multiple times a day and this ? this is about flooding, right?",0.0,1.0,0.0,0.0,NEU
"Thank you we find it very useful 🙏🙏",0.487,0.513,0.0,0.6901,POS
"Denis Phillips thanks so much for all the updates! You put our thoughts at ease!",0.315,0.685,0.0,0.717,POS
"I live in NPR and work on Clearwater beach. Supposed to work tomorrow from 4pm-1am. Do you think it will be safe to drive to and from work?",0.1,0.9,0.0,0.4404,POS
"Thank you, from the big bend area.",0.294,0.706,0.0,0.3612,POS
"Thanks so much for what you Denis, so greatly appreciated!!!",0.489,0.511,0.0,0.8247,POS
"Thanks Denis Phillips… try to get some 💤. As you say, this is just the first one and we will be going through this several more times this season.",0.094,0.906,0.0,0.4404,POS
How will Clearwater Beach be by Tuesday Denis ???,0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips! You’re the best! 🥇,0.658,0.342,0.0,0.8264,POS
Thank youuuuuu! 💖 We appreciate you!! 😍,0.669,0.331,0.0,0.7249,POS
"You’re the best, thank you",0.691,0.309,0.0,0.7717,POS
"The waffle house ain’t closed so i ain’t worried",0.0,0.739,0.261,-0.3566,NEG
You are the best!! Thanks so much ❤️,0.562,0.438,0.0,0.8264,POS
Genuine question.. do you ever sleep?,0.0,1.0,0.0,0.0,NEU
this thing is hitting at low tide if you’re in pinellas.,0.0,0.826,0.174,-0.2732,NEG
Denis Phillips do you think the Tampa Airport be closed Monday?,0.0,1.0,0.0,0.0,NEU
"I know your not forecaster for our county but your the only one we follow- can you share your thoughts if we are to expect the 2-5 storm surge on fort Myers beach- Lee county
like our forecasters are predicting? You’re always correct- they are not!",0.129,0.871,0.0,0.7463,POS
"We are in lee county fort Myers beach",0.0,1.0,0.0,0.0,NEU
"But the surge comes after, right when we have high tide on Monday.",0.0,1.0,0.0,0.0,NEU
"I’m 2 miles off Indian Rocks beach, 60 feet above sea level, but always concerned about tornados. Do you think this storm will bring a lot of tornados? 😩",0.0,1.0,0.0,0.0,NEU
Denis Phillips So i am suppose to fly in from Pittsburgh. We are expected to land at PIE at 8:52. This morning. What can we expect?,0.0,1.0,0.0,0.0,NEU
we can expect you to call the airlines…,0.0,1.0,0.0,0.0,NEU
So what’s everyone’s thought on a C2 or C3 at landfall? I say low C2. Thanks Denis Phillips for your ongoing updates 🙌,0.126,0.783,0.091,0.2023,POS
I thought it was supposed to be a 1. Category 1 hurricane,0.0,1.0,0.0,0.0,NEU
THANK YOU Denis Phillips for always speeding things out in a calm and useful way.,0.434,0.566,0.0,0.8143,POS
wearing this tomorrow! 😁,0.0,1.0,0.0,0.0,NEU
Would be nice to list what time the next official Hurricane Update will be on each post - then I know when to check back.,0.113,0.887,0.0,0.4215,POS
Do we have an estimate of how far off shore of Clearwater when she gets there ???,0.0,1.0,0.0,0.0,NEU
"Any idea where landfall will track!?",0.0,1.0,0.0,0.0,NEU
"Thank you. I respect and appreciate your dedication.",0.675,0.325,0.0,0.8074,POS
"Thanks for all you do Denis!! Stay safe ❤️",0.477,0.523,0.0,0.7494,POS
"I brought in all my plants, yard
stuff,flag. Did laundry( just in case. Electricity goes).. prayers for all in Debby's path. I send your updates to family in MD,NY so they dont worry",0.082,0.918,0.0,0.3959,POS
"Gonna be a slow day at work for sure 🙃",0.247,0.753,0.0,0.3182,POS
"would be ideal. Idk why anyone would be out in this weather at all",0.202,0.714,0.083,0.4588,POS
I don't even want to be out in it 😭,0.0,0.851,0.149,-0.0572,NEG
"Thank you, Denis, for hanging with us. I feel safe knowing you’re there guiding us❤️",0.31,0.69,0.0,0.6597,POS
Northerner here staying on AMI. We’re planning on staying in place but concerned for our rental car (we’re staying directly on the beach and the car is in the parking garage) Second guessing if we should go inland for 24 hrs…🤷🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"Thanks for being the voice of reason, Denis. Chili made and house to clean. All good in Tarpon Springs💨⛈️💦",0.347,0.653,0.0,0.8176,POS
"Denis Phillips, Thank you!!! You are the only one I trust!
Friends flying from Tampa to NYC at around noon… would they be ok?",0.392,0.608,0.0,0.9056,POS
"Thank you SO much❤️",0.455,0.545,0.0,0.3612,POS
"We’re located in Old Town (Dixie County). I appreciate all the updates!!
Hope everyone stays safe!",0.439,0.561,0.0,0.8547,POS
"Thank you Denis for keeping us updated.",0.294,0.706,0.0,0.3612,POS
Nooo Kidding!! Be here for the most intelligent & accurate weather report or best of luck to you!! Thank you always Denis Phillips!!,0.478,0.522,0.0,0.9389,POS
Thank you for your constant coverage and update. I pray that everyone is safe and hopefully not much damage in the Big Bend area.,0.42,0.58,0.0,0.9007,POS
Thank you Denis for all you do for us!,0.259,0.741,0.0,0.4199,POS
This isn’t Tampa’s storm,0.0,1.0,0.0,0.0,NEU
"Thank you, Denis!!!",0.628,0.372,0.0,0.5229,POS
Thank you as always Denis Phillips,0.333,0.667,0.0,0.3612,POS
"Thank you for the update and for your professionalism and kindness.",0.379,0.621,0.0,0.6705,POS
"Thank you so much Denis! I really appreciate you!",0.503,0.497,0.0,0.725,POS
"Thank you for your updates, we have our home in Safety Harbor but since we are from Ontario Canada, we are not at our Florida home sometimes, so when hurricane season starts we panic because we are leaving our home in gods hands (mother nature's actually), so to have you giving us accurate reporting means a lot to us. Keep up the great work!!!!",0.178,0.763,0.059,0.8449,POS
Already without power here in valrico and it hasn’t even stormed ! Anybody else and Monday night restoration!? Ugghh,0.0,1.0,0.0,0.0,NEU
"As always, thank you Denis.",0.385,0.615,0.0,0.3612,POS
Thank you Denis! Get some rest👍,0.358,0.642,0.0,0.4199,POS
"Thank you Denis . Hard to sleep with concerns",0.253,0.606,0.141,0.2732,POS
"Great work Dennis! Thank you!",0.705,0.295,0.0,0.8011,POS
And I have to work today. I commute from TNC to Wesley Chapel. Fabulous.,0.236,0.764,0.0,0.5267,POS
"Truly appreciate your reporting on storms. Reliable and straightforward, with a helping of humor. 😊
Thank you for keeping us informed!",0.475,0.525,0.0,0.8932,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
Thanks. I live Tallahassee. Lots of huge oak & pine trees everywhere & overhead power lines. Some areas flood. Watching updates…,0.245,0.755,0.0,0.6369,POS
Thank you Denis Phillips 😁,0.455,0.545,0.0,0.3612,POS
Thank you for social media updates We follow you from Sarasota You are the best!,0.35,0.65,0.0,0.7901,POS
Totally agree!,0.755,0.245,0.0,0.474,POS
Low tide is at 8:42PM.,0.0,0.656,0.344,-0.2732,NEG
Awesome forecast and reporting! Thank you! Go Noles! Daughter is in Tally!,0.437,0.563,0.0,0.8302,POS
"Thank you for all you do! So appreciated!",0.527,0.473,0.0,0.7702,POS
"Thank you so much for the updates!",0.318,0.682,0.0,0.4199,POS
Thank you for the update,0.385,0.615,0.0,0.3612,POS
Thank you for your updates!,0.411,0.589,0.0,0.4199,POS
"By this graphic it appears that the storm will pass the Tampa Bay Area at LOW tide (and a very low low tide, at that) on Sunday, so that’s great news!",0.114,0.679,0.207,-0.368,NEG
"hoping!!",1.0,0.0,0.0,0.5242,POS
we won’t get the surge till the storm is past us and winds swing to onshore and we have a very high tide at 2 am Sunday night Monday am not a good set up,0.0,0.928,0.072,-0.3412,NEG
Very helpful! Thank you!!,0.771,0.229,0.0,0.7749,POS
"May not be as strong as Idalia but our community (Perry) still has so many homes awaiting repairs and so many weakend tall pines. 😭 Thank you for keeping us updated.",0.098,0.846,0.056,0.3397,POS
"Hang in there. Be safe!",0.444,0.556,0.0,0.4926,POS
Pressure is rising on the north east coast of Florida. Could start moving east more then expected.,0.0,0.879,0.121,-0.296,NEG
How did you know that the pressure is rising? Is it the barometric pressure that is rising?,0.0,0.759,0.241,-0.5803,NEG
"Yes, high building",0.574,0.426,0.0,0.4019,POS
"Denis Phillips *did* say that it had moved a little more east with the 11pm forecast. Where are you located at? And who do you get your forecast info from? I'm in Port Orange Florida, just south of Daytona Beach and I haven't been able to get a *specific* forecast for our county at all. It's frustrating as I'd like to know what the weather is going to be like tomorrow and Monday and *if* we *are* going to get rainbands once Debby makes landfall wherever she chooses to, *how* many hours will the rain bands be impacting us for?? Do you happen to know this information??",0.054,0.919,0.026,0.4696,POS
I get my info from my weather stations in my backyard. I have been through many storms. I am in Flagler County.,0.0,1.0,0.0,0.0,NEU
I've been through *MANY* storms as well as I've lived in Volusia county for 45 years. How many years have you been in Flagler county? And I miss the good ole days 1980-2003: and 2005-2015 when we didn't deal with hurricanes here.,0.112,0.852,0.036,0.5267,POS
You're the best!!,0.705,0.295,0.0,0.6988,POS
"Going to be working 12 hours today!! No staying home for me ,my husband, or son..drive safe and stay safe yall!!
Shout out to Taylor Hampton and all the other essential workers ( police,EMTs, firemen,doctors,nurses,security officers ,home health care workers etc) who have to be out in this crazy squally weather!!",0.169,0.749,0.082,0.7366,POS
"And Rule #7 is in play for the Bay area.",0.211,0.789,0.0,0.34,POS
We’re not even in the cone anymore,0.0,1.0,0.0,0.0,NEU
"Thank you for the update. You are the best!",0.5,0.5,0.0,0.7901,POS
Denis Phillips is best in the biz.,0.412,0.588,0.0,0.6369,POS
"Definitely useful and appreciated!! Is Tallahassee going to take a big hit?",0.542,0.458,0.0,0.8585,POS
"Denis Phillips , from the movie Bridget Jones's Diary,this is a fringe🤣🤣",0.0,1.0,0.0,0.0,NEU
I check with you several times a day. Thank you for your hard work. I'm an hour east of Gainesville in Palatka. It doesn't look too bad here,0.18,0.773,0.047,0.6059,POS
Thank you for all you do to keep us informed and safe!,0.363,0.637,0.0,0.69,POS
Thank you for the constant updates. Your dedication & professionalism continue to keep all safe,0.31,0.69,0.0,0.6597,POS
Denis thank you for all you do. God bless,0.552,0.448,0.0,0.7506,POS
Thanks for the update Denis!,0.444,0.556,0.0,0.4926,POS
"Thank you",0.714,0.286,0.0,0.3612,POS
We’re landing in TPA at 5pm Sunday and driving to Clearwater Beach. Timing! 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,0.0,1.0,0.0,0.0,NEU
Thank you for your advice and positive attitude !,0.516,0.484,0.0,0.75,POS
Appreciate the updates! Thank you for all you do!,0.452,0.548,0.0,0.6988,POS
"Thanks Dennis, your just as good as Tom Skillen, recently retired for WGN in chgo. Watched him for 40 yrs. Hope to watch you another 25.",0.274,0.726,0.0,0.8271,POS
So AccuWeather has a different timeline and wind speed prediction for landfall and East of big bend. Later and lower,0.0,0.891,0.109,-0.296,NEG
yeah seeing other posts saying it’s going to turn right like a surprise,0.43,0.57,0.0,0.7003,POS
Is it a surprise if we know about it? 🤔,0.231,0.769,0.0,0.2732,POS
you don’t know about it from this page because he’s not discussing what other pages are what I’m stating is is that nobody was expecting it because nobody showing the real truth so it would be a surprise to many,0.106,0.894,0.0,0.5267,POS
I’m suppose to be flying into Orlando at 10am Sunday. Staying at an air bnb in Kissimmee. Should I cancel? I’m worried about flooding since I’ll be with 2 little ones. Thank you!,0.064,0.807,0.129,-0.3117,NEG
you’re fine: don’t cancel. It will be wet Sunday and Monday but you shouldn’t see flooding.,0.083,0.828,0.089,-0.0258,NEU
thanks I really appreciate it!,0.756,0.244,0.0,0.7339,POS
Thank you Denis for being there and for all you do. It's greatly appreciated.,0.337,0.663,0.0,0.7264,POS
You're awesome. Thank you.,0.767,0.233,0.0,0.765,POS
Thanks as always for keeping us all so informed!!!!!!,0.337,0.663,0.0,0.6209,POS
With stronger storm will/could the storm surge for Citrus County be higher than 7 feet?,0.167,0.833,0.0,0.3818,POS
let's hope not! Sending positive energy to you and your family,0.182,0.502,0.316,-0.2801,NEG
thank you.,0.714,0.286,0.0,0.3612,POS
"Thoughts on Levy/Dixie county pls Denis Phillips ? 🤞🏼",0.157,0.843,0.0,0.0772,POS
Denis Phillips thank you!,0.482,0.518,0.0,0.4199,POS
im not sure why me asking a professional their opinion on how a storm will hit an area of the state ive never lived in…but i hope your family stays safe ya goof,0.085,0.788,0.127,-0.12,NEG
We are visiting and on Anna Maria Island (town of Anna Maria). Landlocked Midwesterner here so please bear with me. I am seeing that Manatee County recommended evacuation for all level A communities - which seems to be the whole island? Based on what I am reading here it doesn’t seem like evacuating is critical but I am also a little nervous after seeing what the county posted. I’m up stressing while my family is asleep 🫣 Any advice? Ride this out? Try to leave early morning and camp out further inland?,0.056,0.843,0.101,-0.6399,NEG
Denis Phillips thank you. I greatly appreciate you taking the time to respond to me. I will stop scrolling and sleep now! ❤️☔️,0.223,0.693,0.085,0.5551,POS
"My buddy in Keaton beach not happy, rural area outside Perry, the got slammed last year…",0.0,0.833,0.167,-0.4585,NEG
they sure did,0.535,0.465,0.0,0.3182,POS
Thank you for all you do! 🙌🏼,0.318,0.682,0.0,0.4199,POS
Thanks Denis! I appreciate all your updates!,0.607,0.393,0.0,0.7339,POS
Best! 🙏🏼,0.818,0.182,0.0,0.6696,POS
Just canceled my door dash shift for tomorrow. Not worth it.,0.0,0.857,0.143,-0.1695,NEG
Appreciate you Denis!!!,0.641,0.359,0.0,0.5538,POS
Increasing in SPEED!,0.0,1.0,0.0,0.0,NEU
"Brooksville here, thanks for update.",0.42,0.58,0.0,0.4404,POS
Just seems like quite a few ramp up quick. Not going to be shocked if it gets up to a cat 3 by landfall. This is Lou Cantore reporting. 😂,0.087,0.833,0.08,0.0516,POS
"And this is why I only trust you. You are no bs. I happened to see another station tonight, and it was typical media trying to make it sound like the world is ending. Thank you so much much for the no bs!!",0.18,0.73,0.089,0.6688,POS
We are driving from Montgomery to Orlando tomorrow morning…arriving in Orlando around 4 or 5. Not sure what to expect 😬,0.0,0.902,0.098,-0.2411,NEG
Thanks!,1.0,0.0,0.0,0.4926,POS
rain,0.0,1.0,0.0,0.0,NEU
"like bad rain or normal rain lol.",0.414,0.312,0.273,0.2023,POS
"Normal Florida summer storm rain which is bad at times.",0.0,0.72,0.28,-0.5423,NEG
you should arrive before heavy rain if you get to Orlando by 4. You might have some traffic with lineman coming down - I75 was rough today.,0.0,1.0,0.0,0.0,NEU
Thanks for answering me! I know my comment would get laughs but I was generally concerned driving and really didn’t know. Thanks for Info!!,0.316,0.684,0.0,0.8306,POS
it’s a reasonable question. Just be safe and take it slow but you’ll prob be ok for the most part,0.218,0.782,0.0,0.5789,POS
welcome to florida!,0.622,0.378,0.0,0.5093,POS
Denis thank you. You are the man!,0.318,0.682,0.0,0.4199,POS
Appreciate the constant relevant updates.,0.403,0.597,0.0,0.4019,POS
Gonna rain ‘til Tuesday.,0.0,1.0,0.0,0.0,NEU
Thank you for your updates !!! 😊,0.403,0.597,0.0,0.5229,POS
Thx suspenders... Happy Sat evening 🤘😊🏴‍☠️,0.608,0.392,0.0,0.7351,POS
Thanks for keeping us updated on any new developments on Debbie. Sure that Denis Phillips has his stock ready of diet Dr.Pepper and his Debbie snacks.,0.251,0.749,0.0,0.7717,POS
"Thank you so very much for always keeping it real and keeping us up to date.",0.143,0.857,0.0,0.3612,POS
