Storm Surge updates for Sunday afternoon and evening. We'll be updating graphics and information all night long and I'll have a DPL starting at 7pm. Link will be posted. LIVE update on ABC Action News at 6.,Pos,Neu,Neg,Compound,Overall Sentiment
"45 min to low tide on TI, looks to be about 1-2 foot higher than usual. Usually can see the sand under our dock.
Our high tide comes at 1:26A.",0.0,0.932,0.068,-0.2732,NEG
will you keep me updated on TI? We are supposed to be flying in at 11:30 p.m. Monday night. Ugh... I already postponed this once.,0.0,0.927,0.073,-0.2023,NEG
"hi there!
It’s much better to go to the attached sites for more information. There’s many more people posting. 😊
On this storm, I wouldn’t get too shook up unless something dramatic changes.",0.095,0.863,0.042,0.4199,POS
"ok, thank you! I just seen somewhere that the storm might not hit till Monday afternoon sometime now? I just wish this would be over with I just want to be in Treasure Island 😊",0.301,0.699,0.0,0.8478,POS
Definitely higher,0.73,0.27,0.0,0.4019,POS
"Thank you for your updates! New to Lakewood Ranch! 😊",0.278,0.722,0.0,0.4738,POS
"There is no legend. What does the pink and the white represent?",0.0,0.833,0.167,-0.296,NEG
white is 2-4 and pink is 3-5,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips! Can you share thoughts on storm surge Monday morning in Tampa bay? Thinking of Rocky Point / CCC,0.208,0.792,0.0,0.6114,POS
"Waiting for 7pm. Searched comments for what ""DPL"" stands for. Guess I'll find out at 7pm.",0.0,1.0,0.0,0.0,NEU
"I think it's Denis Phillips Live.",0.0,1.0,0.0,0.0,NEU
"Thanks.",1.0,0.0,0.0,0.4404,POS
that’s right!,0.0,1.0,0.0,0.0,NEU
Denis Phillips Live,0.0,1.0,0.0,0.0,NEU
"Thanks.",1.0,0.0,0.0,0.4404,POS
"he has Denis Phillips Live (DPL) ON Fb.",0.0,1.0,0.0,0.0,NEU
Denis Phillips what does white mean? Thank you for all you do,0.185,0.815,0.0,0.3612,POS
It means 2-4 feet of storm surge.,0.0,1.0,0.0,0.0,NEU
and pink is more?,0.0,1.0,0.0,0.0,NEU
"Pink is 3-5 feet.",0.0,1.0,0.0,0.0,NEU
"thank you",0.714,0.286,0.0,0.3612,POS
"If there is a 2-4’ surge, how does that compare to previous surges like the no name storm in December or Idelia . . . ?",0.105,0.802,0.093,0.0772,POS
"Idalia was a super moon at LOW tide and we flooded. If I recall, the surge was projected to be 4-6' 🫤 Keep in mind it was a Cat 3 and running much closer to the shoreline. Best of luck to you, stay dry.",0.227,0.715,0.058,0.8507,POS
add it to you tide at the time. This passed us further south right at our high tide. Everyone has different tide charts to consult.,0.0,1.0,0.0,0.0,NEU
What's the pink mean?,0.0,1.0,0.0,0.0,NEU
St. Pete now,0.0,1.0,0.0,0.0,NEU
Homosassa comes before Inverness on the map...lol,0.0,1.0,0.0,0.0,NEU
"and the dictionary.",0.0,1.0,0.0,0.0,NEU
