12z Euro now trending a ragged system more to the West. Keeps a pretty sloppy low impacting Florida late in the weekend. Models will continue to flip flop for another day or 2. LOTS of different possibilities in play. Tonight would be a great night to check out DPL at 7:30.,Pos,Neu,Neg,Compound,Overall Sentiment
"I believe it's not supposed to be on florida till next week sometime. Honestly, last night looked like more than we're going to get from this and that was just a regular storm. Power outages for a few hours and my pool had half a tree of leaves in it.",0.111,0.889,0.0,0.6705,POS
Sunday/Monday it will be on florida,0.0,1.0,0.0,0.0,NEU
I I am flying into Orlando late Monday afternoon. Keeping my fingers crossed.,0.0,1.0,0.0,0.0,NEU
Will we be okay to fly into Punta Cana on Saturday?,0.16,0.84,0.0,0.2263,POS
You owe us an update on that car too lol,0.237,0.763,0.0,0.4215,POS
I’m driving down from nj on Monday. Am I driving into it.,0.0,1.0,0.0,0.0,NEU
It’s surely the hurricane season and Denis Phillips that did this!,0.242,0.758,0.0,0.4926,POS
"Stay out east please or fizzle out
Thanks for the update",0.366,0.634,0.0,0.6369,POS
I'll be shocked if it the GFS was right🤣 and the euro just caught up,0.0,0.859,0.141,-0.3182,NEG
Has to happen eventually. 😂,0.0,1.0,0.0,0.0,NEU
Interesting how 12Z Euro is coming in more inline with the 12Z GFS,0.184,0.816,0.0,0.4019,POS
"yes. Interesting, and disturbing at the same time......",0.394,0.365,0.241,0.2732,POS
"In cocoa, is there wind to this at all? Trampoline is my only concern.",0.0,1.0,0.0,0.0,NEU
"I’m in Cocoa, too. Wondering how much to prepare",0.0,1.0,0.0,0.0,NEU
"We know you'll keep us updated on the latest, appreciate it. RULE #7",0.184,0.816,0.0,0.4019,POS
"The Gulf is so warm , I’m going to drink another beer! And wait till you say",0.157,0.843,0.0,0.4182,POS
Coming from Ohio to Disney on Saturday for a week. Any idea what impact this may have?,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
Same. We knew to expect a quick thunderstorm each afternoon but now I'm wondering if we'll have rain all day every day.,0.0,1.0,0.0,0.0,NEU
What’s with the lil loop de loop stalling action tropical tidbits shows lo,0.0,0.87,0.13,-0.2023,NEG
I think the heat lightning will win out,0.388,0.612,0.0,0.5859,POS
Leaving on a cruise to Bahamas on Monday. Will it be past Bahamas by then?,0.0,1.0,0.0,0.0,NEU
"Due to fly into Orlando Sunday @ 3p, should we change flight to earlier?",0.0,1.0,0.0,0.0,NEU
What is this storm supposed to do,0.0,1.0,0.0,0.0,NEU
So boating out in the bay is probably out for this weekend?,0.0,1.0,0.0,0.0,NEU
Rule #7?,0.0,1.0,0.0,0.0,NEU
"Don't freak out unless Denis freaks out we are fine",0.334,0.555,0.111,0.4226,POS
"When can we expect it to come to Fort Lauderdale, if it goes that way. Friday, Saturday or Sunday?",0.0,1.0,0.0,0.0,NEU
Google is your best friend,0.712,0.288,0.0,0.8126,POS
he said Sunday or Monday,0.0,1.0,0.0,0.0,NEU
"We are heading to Disney world Sunday through Saturday, should I be concerned?",0.0,1.0,0.0,0.0,NEU
is it too soon to tell if it'll follow the same track as ian?,0.0,1.0,0.0,0.0,NEU
Yes.,1.0,0.0,0.0,0.4019,POS
"You,ve been streaming since 7:30",0.0,1.0,0.0,0.0,NEU
I’m watching the 🐢 too thanks.,0.42,0.58,0.0,0.4404,POS
Tallahassee in the clear ?,0.464,0.536,0.0,0.3818,POS
"It's a ragged mess .. seriously if it comes in our direction ( I'm on the west coast) it's a rain maker for us, maybe a breeze.... Hell we get more outta a summer storm.....",0.0,0.754,0.246,-0.8316,NEG
"This didn't unfortunately work when I said it for Beryl, even if Florida didn't have to deal with it: Tropical wave Debby no good evening my dear. You're not among friends in the Gulf or Florida or the Caribbean.",0.166,0.729,0.105,0.418,POS
Thanks for the update Denis😊,0.42,0.58,0.0,0.4404,POS
You’re the best,0.677,0.323,0.0,0.6369,POS
I had to look up DPL. 😅,0.0,1.0,0.0,0.0,NEU
"When this guy👇 shows up you know your in for a wild ride😅",0.0,1.0,0.0,0.0,NEU
"Just let us know when to put shutters up. Rule 7",0.0,1.0,0.0,0.0,NEU
He said weak system no shutters needed 🥴🙄🥴,0.0,0.541,0.459,-0.6249,NEG
"I.
'm planning on flying out of punta gorda on friday morning. Do you think any weather will be impacting me at that time? It doesn't look like it.",0.0,0.93,0.07,-0.2755,NEG
lady he JUST said at least late weekend. How is Friday late weekend? Use your brain ma'am,0.0,1.0,0.0,0.0,NEU
"Well hello there nasty. It's so disappointing running Into people with your personality anywhere on social media. Were there a choice to be silent or kind you Go for door number three and You choose nasty. I'm sure.
Those in your circle just love ya",0.222,0.6,0.178,0.1548,POS
OR you can read so he doesn't get all the dumb questions that could be answered had you just used your brain. Lmao. Don't be mad at me because you lack common sense.,0.159,0.705,0.136,0.233,POS
also im very loved in my circle because I dont surround myself with people who lack common knowledge and comprehensive skills.,0.243,0.667,0.09,0.5984,POS
"I find it interesting that someone that asks for donations to a suicide foundation in honor of Her birthday might be More sensitive to how they speak to people, considering that you Don't Know if you're causing harm to someone by your Mean, Unkind, nasty words. Often It can be something like that that can push somebody Who's already hanging there by a thread. I however, am not, but I find it interesting, Nonetheless that you are not at all sensitive to how you speak to others. Just keep moving along.We have no need to converse with each other I don't know you and I don't care to know you.",0.079,0.791,0.13,-0.7263,NEG
"I find it weird you went to my profile to see what you could get from it, which was nothing lmfao. Also if you are that sensitive to wanna hurt yourself for someone telling you to use common sense and your brain you have bigger issues than I. ✌️",0.0,0.85,0.15,-0.7876,NEG
Now who's not reading. I said it didn't apply to me.I guess you're in the same boat as I am. Again move along,0.0,1.0,0.0,0.0,NEU
"but, you clearly were to respond in the first place lmao again, common sense.",0.426,0.574,0.0,0.872,POS
well bless your heart. You’re such a peach.,0.495,0.505,0.0,0.5994,POS
I do not like the🐢,0.0,0.587,0.413,-0.2755,NEG
I love your calmness. It gives me peace.,0.722,0.278,0.0,0.886,POS
GFS was wild. Lol,0.483,0.517,0.0,0.4215,POS
I have no words,0.0,0.476,0.524,-0.296,NEG
?,0.0,0.0,0.0,0.0,NEU
Same! Lol,0.756,0.244,0.0,0.4753,POS
"Watching it with you, rule #7",0.0,1.0,0.0,0.0,NEU
"Sloppy and ragged system, I can relate tbh",0.0,1.0,0.0,0.0,NEU
Will be watching.,0.0,1.0,0.0,0.0,NEU
So it’s going to rain with a little wind and thunder!! Should I evacuate today or tomorrow?,0.0,1.0,0.0,0.0,NEU
please leave now,0.511,0.222,0.267,0.2732,POS
🤪😂🤪😂🤪,0.0,1.0,0.0,0.0,NEU
I wasn't! Lol,0.0,0.276,0.724,-0.3867,NEG
ill be here long after you!! You might want to find your sense of humor. It apparently got taken over by a high dose of inane rhetoric,0.134,0.772,0.094,-0.2462,NEG
didn't see the lol huh,0.0,0.632,0.368,-0.3252,NEG
Thx suspenders- Happy Wed 🤘😊,0.674,0.326,0.0,0.7351,POS
Lucky 7,1.0,0.0,0.0,0.4215,POS
Your not now,0.0,1.0,0.0,0.0,NEU
Denis Phillips - were floating back from Curacao on Thursday- in Port Everglades on Sunday. Does our famous Caltain Kate need to make a big right turn and come in behind this storm??,0.0,1.0,0.0,0.0,NEU
Thanks for educating as well as informing! 🤠🙏,0.469,0.531,0.0,0.6476,POS
"I know this is a crapshoot and yous a busy fella but *IF* it stays east, is it large enough to push us off coming into Canaveral port Sunday AM?",0.0,1.0,0.0,0.0,NEU
It moved west.,0.0,1.0,0.0,0.0,NEU
"We trust you to keep us calm!!!
I give your name and information to follow to anyone who will listen. Rule #7.",0.254,0.746,0.0,0.7562,POS
"Will South Florida be affected? I’m in E Boca Raton",0.0,0.833,0.167,-0.1531,NEG
So I guess we're in trouble,0.0,0.597,0.403,-0.4019,NEG
He said Ragged system so why are we in trouble? More rain that's all .,0.0,0.828,0.172,-0.4019,NEG
TIME TO PUT UP MY WINDOW BOARDS,0.0,1.0,0.0,0.0,NEU
Wow now your trying to be funny ? Just takes somebody like you to panic people without proof.,0.361,0.51,0.129,0.7096,POS
you don't know him... let's just say no one take him serious and if they are taking a random person on the internet serious then there is the door,0.0,0.839,0.161,-0.4215,NEG
Go away system! We don’t want you here!,0.212,0.788,0.0,0.2225,POS
thanks for the updates. may be getting ready to evacuate.,0.403,0.597,0.0,0.6597,POS
🙏🏻🙏🏻💕,0.0,1.0,0.0,0.0,NEU
we’re still going,0.0,1.0,0.0,0.0,NEU
thank you for tagging us in this we appreciate you hugs,0.512,0.488,0.0,0.8126,POS
that little loop di loop had me tilting my head...lol Hugs!!,0.275,0.725,0.0,0.5837,POS
"💰💸",0.0,1.0,0.0,0.0,NEU
we will see! Remember…. Storms can’t make landfall if they don’t have an eye. Our bet was landfall continental US before midnight Monday. Don’t get too excited yet! Good luck though. I’m pulling for you 😏,0.217,0.783,0.0,0.8353,POS
"we are on baby countdown, don't need a hurricane right now",0.0,1.0,0.0,0.0,NEU
boo! I don’t want any of it! I’ve seen enough rain to last the rest of this year!,0.12,0.88,0.0,0.2905,POS
watching!! We use Denis as our main man too 😂 thanks for keeping us informed! Sincerely virtual teachers that work from home and need internet 😘,0.238,0.762,0.0,0.783,POS
"Have reservations at a resort in Orlando this weekend with a great lazy river, pools, ect. Will outdoor activities be rained out for the whole weekend?",0.143,0.769,0.087,0.3818,POS
"oh, is it the Omni? Pretty nice but was very crowded when we were there. I don't think this is supposed to be anything in florida until sometime next week. It rained whine we were the also since it's been raining every day 😀",0.086,0.843,0.07,-0.0644,NEG
hi thanks... We're going to cabana bay resort with our granddaughter for the weekend. I'm good with expected regular afternoon rain just don't want a whole weekend wash out,0.096,0.863,0.041,0.3975,POS
shifted back west,0.0,1.0,0.0,0.0,NEU
yep. not good.,0.392,0.178,0.429,-0.0531,NEG
Rule #7!,0.0,1.0,0.0,0.0,NEU
Rule#7,0.0,1.0,0.0,0.0,NEU
Turn EAST,0.0,1.0,0.0,0.0,NEU
is this your week @ LGI?,0.0,1.0,0.0,0.0,NEU
yep!,1.0,0.0,0.0,0.3595,POS
🙏🏼🙏🏼,0.0,1.0,0.0,0.0,NEU
Stop scaring us pleas,0.0,0.282,0.718,-0.6249,NEG
Darn.,0.0,1.0,0.0,0.0,NEU
I'm moving to Chicago where it's safe to raise my family! 😂 Or perhaps NY or some other dumpster fire democrat SHITTHOLE City.,0.111,0.725,0.164,-0.1007,NEG
What is DPL? Sorry,0.0,0.698,0.302,-0.0772,NEG
"Denis does not work for the airlines…..last time I checked he works for ABC Action News and said not to cancel any plans. Its every post holy ish, just keep an eye on the storm 😂",0.05,0.95,0.0,0.1877,POS
Ughhhh,0.0,1.0,0.0,0.0,NEU
here we go 🤣,0.0,1.0,0.0,0.0,NEU
Government Weather manipulation at it again.,0.0,0.694,0.306,-0.296,NEG
See you at 6 and then at 7:30 for DPL.,0.0,1.0,0.0,0.0,NEU
👀👀,0.0,1.0,0.0,0.0,NEU
Don’t call it names. It’ll get upset and hit us.,0.0,0.776,0.224,-0.3818,NEG
What’s DPL?,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
What is your thoughts on Delaware 15th thru 18th?,0.0,1.0,0.0,0.0,NEU
Headed to Savannah this weekend. Think we should cancel?,0.0,0.8,0.2,-0.25,NEG
But you should call your sister back though. 🤪,0.0,1.0,0.0,0.0,NEU
"lmao, I’ll call you on my way home",0.358,0.642,0.0,0.5994,POS
🐢,0.0,0.0,0.0,0.0,NEU
I can't take it no more 😂😭😂😂🍊🍐🍊😂😭 if it keeps branching out it's going to be the biggest formation box in history,0.086,0.914,0.0,0.2235,POS
Meanwhile the GFS appears to be drunk lol,0.25,0.536,0.214,0.1027,POS
Denis Phillips I’m in the middle keys. According to this prediction when do you think this will be by the middle keys. I’m doing multi day charters down there right now.,0.0,1.0,0.0,0.0,NEU
"Looks like a rain maker and nothing else,",0.294,0.706,0.0,0.3612,POS
Thanks Dan! 👍,0.761,0.239,0.0,0.4926,POS
It looks lazy.,0.0,0.444,0.556,-0.3612,NEG
Thanks for the update.,0.492,0.508,0.0,0.4404,POS
