5am Track Update: Debby is nearing landfall and continues to bring a threat of flooding rain and storm surge through the day today.,Pos,Neu,Neg,Compound,Overall Sentiment
"You are the best Denis Phillips! We appreciate you!!! Hope everyone stays safe.",0.606,0.394,0.0,0.9309,POS
"They didn't! Many cars, homes, and boats damaged.",0.0,0.687,0.313,-0.4926,NEG
"Feels like a never ending storm in Venice",0.294,0.706,0.0,0.3612,POS
Agree ...here in Myakka it hasn't stopped ...it's been rocking and rolling for 24 hrs now ...and every time I turn around we are in a tornado warning ...Be safe ...hope this will be over soon but I think it's gonna go on all day too ...,0.108,0.856,0.036,0.3254,POS
"I agree! She isn’t stopping.",0.437,0.313,0.25,0.2942,POS
my daughter is in north port. Prayers for safety 🙏. Stay safe.,0.363,0.637,0.0,0.6908,POS
yes! This wind is awful 😞 I'm in Lakeland tho,0.208,0.539,0.253,-0.1511,NEG
agree,1.0,0.0,0.0,0.3612,POS
Totally agree with you. Sound asleep and got woke up by a crazy wind gust about 15 min ago here in Bradenton.,0.115,0.785,0.099,0.101,POS
I must be having sympathy sleeplessness for you all,0.225,0.541,0.234,-0.0258,NEU
We are at Maderia Beach on vacation. A vacation to remember that’s for sure. Big storm. Hope everyone is safe. Been raining for hours and hours here as well,0.298,0.702,0.0,0.8481,POS
Hillsborough County schools staying open today for teachers?,0.0,1.0,0.0,0.0,NEU
"Just worried about the safety/driving issues",0.0,0.694,0.306,-0.296,NEG
i totally get it. there were floods everywhere when driving in! i hope you stayed safe,0.337,0.663,0.0,0.7263,POS
I was worried about Chelsea. But she made it OK.,0.312,0.56,0.128,0.5105,POS
Yep. Off to work we go.,0.306,0.694,0.0,0.296,POS
yes off to professional study day!,0.374,0.626,0.0,0.4574,POS
"I can’t believe with all the flooding they think it’s safe! We’re in Hernando. Our super, principals and union presidents had a call yesterday to determine safety for staff. We’re not working. I mean most of us will just work at home— like I’m digitally meeting w my team to plan. But I can’t imagine driving in this. Esp w surges being a problem all day.
Be safe!!",0.179,0.771,0.05,0.8034,POS
"I live in Hernando and work in Hillsborough, definitely a rough drive early this morning.",0.184,0.816,0.0,0.4019,POS
I imagine so since others are open,0.0,1.0,0.0,0.0,NEU
"she asked about hillsborough",0.0,1.0,0.0,0.0,NEU
I know. But you said others were open. I didn’t know if you meant school districts. Bc multiple have closed.,0.0,1.0,0.0,0.0,NEU
"Thank you Denis for sticking by us.
Not all super heroes wear capes.",0.136,0.545,0.319,-0.5184,NEG
"This one wears suspenders!",0.0,1.0,0.0,0.0,NEU
lol yes! Better choice as in capes just get in the way.,0.491,0.509,0.0,0.8268,POS
Debby needs to move faster. Can’t sleep with this and then the tornado warnings made it worse,0.0,0.739,0.261,-0.6486,NEG
omg I was waking up every 20 minutes last night… and checking Denis Phillips for an update 😂😂😂,0.0,1.0,0.0,0.0,NEU
Good bye to this storm Debby.,0.367,0.633,0.0,0.4404,POS
Why is is this bad here in pinellas windy 🌬️ rain 😵‍💫,0.0,0.727,0.273,-0.628,NEG
Thank you for your accurate weather updates! It’s so hard to trust the weather forecast on apps these days.,0.262,0.661,0.077,0.6694,POS
EXACTLY,0.0,1.0,0.0,0.0,NEU
The flooding we got all over Pinellas County from a tropical storm is just mind blowing. Even places that don't normally flood. Denis Phillips why was it so bad,0.0,0.857,0.143,-0.6696,NEG
"Why did he tell us it would be ""just like our typical summer rain storm with a different name""? Many people did not prepare as they should have because of this. I think it was very unprofessional on his part! I'll be watching elsewhere next storm we have to face.",0.048,0.878,0.074,-0.3367,NEG
"In Lake County (between Orlando and Ocala) lots of rain, some hail and power went out an hour ago.",0.067,0.933,0.0,0.0772,POS
I live in New Port Richey and the amount of rain that is pouring down right now is honestly crazy 👀,0.134,0.759,0.107,0.1531,POS
same in Weeki Wachee,0.0,1.0,0.0,0.0,NEU
Good morning Denis Phillips. Thank you for all the updates. Unreal the amount of rain here coastal Hudson,0.252,0.748,0.0,0.6597,POS
hope all is good with you & Alex. Crazy wind & rain. We are good here!,0.42,0.467,0.112,0.7644,POS
yes. All ok. Pleased the storm is past. Pleased all good with you😘,0.63,0.37,0.0,0.9118,POS
Stay tuned for Ernesto.1 week away,0.0,1.0,0.0,0.0,NEU
"Stay safe .prayers for your family",0.367,0.633,0.0,0.4404,POS
Anyone in Cape Coral? We have friends that arrived there yesterday and haven’t heard from them,0.171,0.829,0.0,0.4767,POS
I'm nearby in Fort Myers. Sunday it was gray and windy and rainy but not bad at all. I'm sure they are fine.,0.307,0.653,0.04,0.8305,POS
"there is a Cape Coral Resident Cape Coral Resident's Group (Est. Feb., 2016) on FB ….or Cape Coral Forum group..they maybe able to help. Heavy rain event there ..,.",0.091,0.909,0.0,0.4019,POS
Wind and rain pretty bad here in Branford. Power has been out for about 45 minutes now.,0.147,0.691,0.161,-0.0772,NEG
glad y'all are okay up there sis ❤️ Lake Wales had rain and wind. Didn't lose power🙏🙌 it wasn't bad here at all ! Thank God!,0.444,0.556,0.0,0.9215,POS
"thanks sis! Glad it wasn’t bad there! Still very windy here and still raining. Power still out as well, but thankfully we have our generator up and running now 🙏🏼",0.264,0.675,0.061,0.7604,POS
"We are getting the winds an rain in swaunee county.",0.0,1.0,0.0,0.0,NEU
stay safe!,0.761,0.239,0.0,0.4926,POS
"It seems that slow moving storms drop the most water.",0.0,0.811,0.189,-0.2732,NEG
"Thanks for being there with us Denis!",0.347,0.653,0.0,0.4926,POS
"Hope everyone stays safe xx",0.659,0.341,0.0,0.7003,POS
"Lots of rain, thunder and lightning here in Lake Wales. Heavy rain band inching closer",0.0,1.0,0.0,0.0,NEU
"Thank you for keeping us updated!!!",0.403,0.597,0.0,0.5229,POS
"Another monsoon rain band coming thru here in Winter Haven, OH SOOO much rain and Debby is in north Florida now.....",0.0,1.0,0.0,0.0,NEU
Is Bayshore Blvd open?,0.0,1.0,0.0,0.0,NEU
Good morning Denis.,0.592,0.408,0.0,0.4404,POS
Woke up to power flickering. Here we go. Just like idelia gonna be in the eastern eye wall for a while. Watching the trees doing the wiggle dance now.,0.085,0.915,0.0,0.3612,POS
Water is creeping up towards our house. When will the storm surge recede? We are near Bay to bay and Westshore in South Tampa.,0.0,1.0,0.0,0.0,NEU
"Is it even possible to get to 104 6th S street Bradenton from St. Pete, Clearwater airport ?",0.0,1.0,0.0,0.0,NEU
I think the question is when. My daughter is supposed to be flying into Tampa at noon today and so far his flight is on time for a 9 am takeoff. Only time I've ever wished for a delay.,0.0,0.937,0.063,-0.3182,NEG
thank you . Safe travels for your daughter . In my mind our flight would have been cancelled. Nope !,0.262,0.645,0.092,0.5707,POS
hers is still on time as well,0.259,0.741,0.0,0.2732,POS
"as of last night, the Sunshine Skyway Bridge was closed.",0.262,0.738,0.0,0.4939,POS
So tired of this system already. Debby is moving so slooooooow,0.0,0.758,0.242,-0.4927,NEG
moving at a whopping 10mph right now,0.0,1.0,0.0,0.0,NEU
Sheesh Debbie & guess who’s loading a Uhaul in the middle of this nasty rain (hard drizzle). 🙄😩. WC area,0.0,0.8,0.2,-0.6428,NEG
"Gainesville is rocking with wind and rain… power keeps flickering; 5:30am.",0.0,1.0,0.0,0.0,NEU
Storm surge was bad!,0.0,0.442,0.558,-0.5848,NEG
"When will the concern for storm surge end around Tarpon Springs/ Holiday Area?",0.184,0.816,0.0,0.4019,POS
"Keep moving Debby, you move like a turtle causing more havoc on the Gulf Coast!!!",0.128,0.613,0.259,-0.5528,NEG
She needs to get a move on. We've had too much water,0.0,1.0,0.0,0.0,NEU
Thank you for you hard,0.362,0.435,0.203,0.2732,POS
Does anyone no of teachers still go into work in plant city?,0.0,0.833,0.167,-0.296,NEG
"Thank you Denis Phillips for all the updates !! We appreciate you",0.366,0.634,0.0,0.6988,POS
"I'm really sorry for all that live there.
We are due to fly over to Charlotte Douglas, then to Orlando on August 10th. I'm now panicking about my flight.
I know Charlotte is inland, but would flights still land due to heavy rains?
I apologize for all the questions, but im a non US and have no idea how these storms work.
We fly with AA, would they reroute us if Charlotte is bad to land?
Thanks",0.064,0.804,0.132,-0.6914,NEG
That is 5 days from now. The storm will be long gone. I believe you already asked and had responsesT,0.0,1.0,0.0,0.0,NEU
"yes iv asked numerous times. As a non US, one cannot help but ask whenever there are any changes . I now wish I would have studied geography lol",0.287,0.662,0.051,0.8162,POS
"you should be fine by then keep checking with your airlines to be sure",0.255,0.745,0.0,0.4767,POS
I wouldn't be panicking over 5 days from now love. It won't still be here,0.375,0.625,0.0,0.7654,POS
follow Brad Panovich Meteorologist in Charlotte NC. This system could affect the Carolinas for several days since it is supposed to stall. Think you will be good but….,0.094,0.847,0.059,0.2732,POS
aug 10th. In 5 days? You will be fine. Lol,0.397,0.603,0.0,0.5574,POS
Thank-you so much,0.0,1.0,0.0,0.0,NEU
ask the airlines,0.0,1.0,0.0,0.0,NEU
"Seriously? How do you function in life?",0.0,0.744,0.256,-0.264,NEG
Taylor?,0.0,1.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
"No storm surge in Crystal River 🙏🏽
It doesn't look like it's going to affect us this time.",0.0,0.788,0.212,-0.5122,NEG
When is this storm supposed to subside?,0.0,1.0,0.0,0.0,NEU
