"JUST IN | The track for Debby remains on course. Winds are up to 65 mph. NEW this hour... the storm surge WARNING is now in effect from Longboat Key north, including Tampa Bay. The NHC has upped the forecast in these areas from a 2-4' surge, to a 3-5' surge.",Pos,Neu,Neg,Compound,Overall Sentiment
pretty crazy here in Sarasota now. High winds. Tons of rain.,0.219,0.616,0.164,0.2023,POS
only heavy rain in Bradenton 5 miles inland from AMI. No winds...yet,0.0,0.82,0.18,-0.296,NEG
"Yea looks like the next several hours, we will be in the heavy red band line.",0.143,0.857,0.0,0.3612,POS
stay safe. A bit crazy down here.,0.312,0.43,0.258,0.128,POS
Dreading taking my son back to college in Tampa in 3 weeks. Him on one coast and us on the other. Gonna be another long hurricane season. 2 years to go after this. Sigh.,0.033,0.869,0.098,-0.5065,NEG
Has there been a Jim Cantore sighting anywhere?,0.0,1.0,0.0,0.0,NEU
in September,0.0,1.0,0.0,0.0,NEU
he’s in Charleston,0.0,1.0,0.0,0.0,NEU
Don't say his name three times!,0.0,1.0,0.0,0.0,NEU
why would he be here??,0.0,1.0,0.0,0.0,NEU
in Florida in general. He usually goes to where the hurricane will hit,0.0,1.0,0.0,0.0,NEU
headed that way,0.0,1.0,0.0,0.0,NEU
Thank youDennis for keeping us up to date. We appreciate you.,0.366,0.634,0.0,0.6369,POS
"This is a nice little break from the 110 "" Feel Like "" Temps we have had for such a long time!",0.259,0.741,0.0,0.68,POS
"yes, I opened my kitchen window to snag a little fresh air.",0.37,0.63,0.0,0.5729,POS
"Great Idea ! I will do the SAME !! , Thanks Terri !!",0.505,0.495,0.0,0.8469,POS
Helpful ideas if anyone needs during times like this with tropical storms and hurricanes. If you have an Ice maker or you buy a bag of ice separate your ice into frozen Ziploc bags and place those in your fridge at the coldest temperature. Place frozen and quart size baggies in your drawers where you keep your cheeses or any type of produce to keep cold extra cold in case of power outage. I do this every year and it really helps if the power goes out your food will stay cold and you can use an ice chest too as well. Right now I have 3 frozen gallon size bag Ziploc in the middle section of my fridge since last night and the ice cubes are still frozen. Today I did the quart size for the drawers.so do as many as you need and zip them tight. I hope this helps anyone that needs it,0.1,0.9,0.0,0.9335,POS
good idea,0.744,0.256,0.0,0.4404,POS
"Excellent tips! I also like to freeze small bottles of water. I take them out to drink, and they stay cold for a very long time. It's nice if you have yard cleanup to do, in particular.",0.259,0.741,0.0,0.8588,POS
We do this too! We freeze water bottles and if we lose power we move them to the fridge! We take a couple out to thaw to drink and swap them with more from the fridge. So we have water to drink and keep the fridge cold!,0.025,0.902,0.073,-0.5229,NEG
Great advice to follow...thanks!,0.594,0.406,0.0,0.6588,POS
"you’re welcome!",0.767,0.233,0.0,0.5093,POS
This vs is a joke! It must have shifted or as I think it was over exaggerated as usual !,0.145,0.782,0.073,0.3365,POS
at no point have I seen anything that over exaggerated this storm,0.0,0.714,0.286,-0.3818,NEG
"We hear this often .Here’s the thing .
1. We’re dealing with nature. There are no guarantees, no rules
2. Reports come originally from the National Hurricane Center. Predictions are made from the info they have at that precise moment.
3. We are told constantly by Denis and other weather people that these predictions are NOT written in stone and they are subject to change.
4. Old timers know to listen to the reports and act accordingly but they realize these are not guarantees. Not one single person reported otherwise ..",0.0,0.965,0.035,-0.296,NEG
The wind in st pete | old northeast around 9:45 this morning was CRAZY,0.0,0.793,0.207,-0.4824,NEG
"I'm also in OLD NE, by the swim center. I walked down to the water this morning around 8:30 it was gusty. It will continue to pick up the biggest thing is to move your car to higher ground depending on what part of Old NE you are at. I moved mine to the parking garage downtown last night.",0.0,1.0,0.0,0.0,NEU
oh shoot!!!! I need to move my car. But idk how to get home if I do move it?,0.0,0.853,0.147,-0.4153,NEG
"I walked.🤣🤷😎 I move my car to an upper level parking garage every time we have one of these, that way I don't have to worry about it flooding or floating away.",0.079,0.921,0.0,0.3412,POS
just be aware of falling/snapping off tree branches. They can do a lot of damage.,0.0,0.802,0.198,-0.4939,NEG
that’s what I’m scared of! It looks like they’re about to fly through my window sometimes!,0.125,0.701,0.174,-0.2462,NEG
"you should not have to evacuate. You will be ok- likely flooding in your area, and may lose power with winds but you should be ok.",0.15,0.786,0.063,0.3716,POS
"thank you!!",0.755,0.245,0.0,0.4738,POS
"that is nothing yet.",0.0,1.0,0.0,0.0,NEU
Love it love it anything to keep the oppressive Fla sun away,0.418,0.448,0.134,0.7717,POS
😂 I am enjoying it I'm sitting on the front porch with a fan watching the rain cats and dogs and a nice wind so I think this is just perfect,0.357,0.643,0.0,0.9042,POS
heck yeah 🙌,0.688,0.312,0.0,0.296,POS
agreed,1.0,0.0,0.0,0.2732,POS
Wondering if they’re canceling any flights out of Key West,0.0,1.0,0.0,0.0,NEU
call the airport,0.0,1.0,0.0,0.0,NEU
"Thanks for the update! Relatives in Alabama are so concerned for our safety, but I grew up here and we've lived in Florida for decades. Debbie doesn't concern us AND we're thankful for the rain! We appreciate you, Denis Phillips!",0.276,0.724,0.0,0.9235,POS
Thank you Denis for keeping us all up to date. Hunkering down at home today,0.152,0.848,0.0,0.3612,POS
How far from the eye do the TS winds extend please,0.308,0.692,0.0,0.4588,POS
"140 miles from the eye",0.0,1.0,0.0,0.0,NEU
thank you so much,0.455,0.545,0.0,0.3612,POS
your welcome 😊,0.75,0.25,0.0,0.4588,POS
"Stay safe Florida.
Just got an 11AM tornado watch in Dunedin. Some steady rain going on.",0.162,0.838,0.0,0.4404,POS
PIE is redirecting some flights to Sanford Orlando.,0.0,1.0,0.0,0.0,NEU
Spring Hill is good-no rain yet-slight winds.,0.0,1.0,0.0,0.0,NEU
I just came back from driving from Clearwater just be careful but honestly felt like your normal tstorm,0.379,0.621,0.0,0.8201,POS
"Coming down pretty strong in Town and Country Area. It's stop and go rain. My Budgies are enjoying the sound of rain. 😊
Prayers for everyone 🙏🏻 ❤️",0.282,0.655,0.063,0.8271,POS
Thank mother nature for making us stay inside and clean!,0.407,0.593,0.0,0.6696,POS
or sleep in 😴 my night sound machine is of rain so...,0.0,1.0,0.0,0.0,NEU
IKR,0.0,1.0,0.0,0.0,NEU
I say it hits as a cat 2,0.0,1.0,0.0,0.0,NEU
Im in Cortez. When will it come to us?? Also our bay outback is moving on up through our grass a little.,0.0,1.0,0.0,0.0,NEU
We’re in the middle of Longboat- its way over our docks and ready to breach the sea wall- so it’ll be coming your way soon,0.094,0.906,0.0,0.3612,POS
"stay safe where u are. Is it gonna be the worst here at 2 still???",0.156,0.593,0.25,-0.4098,NEG
"definitely coming your way soon.",0.403,0.597,0.0,0.4019,POS
It looks like the track shifted a little to the west.,0.217,0.783,0.0,0.3612,POS
"Really heavy band in Sarasota right now",0.0,1.0,0.0,0.0,NEU
We're in Holmes Beach on vacation and I know nothing about storm surge. What can we expect?,0.0,1.0,0.0,0.0,NEU
stay in or go to higher ground,0.0,1.0,0.0,0.0,NEU
also vacationing. When do you think the surge will come and how long till it goes down?,0.0,1.0,0.0,0.0,NEU
"Highest will be around high tide, it'll go back out again by tomorrow. Probably mid-day at the latest.",0.0,1.0,0.0,0.0,NEU
"so midday today would be the worst?",0.0,0.594,0.406,-0.6249,NEG
I'm in the Citrus Park/Carrollwood area. Is there a chance of a storm surge off of Tampa Bay ever reaching me?,0.183,0.817,0.0,0.4215,POS
When is the next live?,0.0,1.0,0.0,0.0,NEU
Tornado watch in 33981,0.0,1.0,0.0,0.0,NEU
"Does storm surge effect the causeway side into Tampa?",0.0,1.0,0.0,0.0,NEU
yes.,1.0,0.0,0.0,0.4019,POS
simply trying to time my work route dude.,0.0,1.0,0.0,0.0,NEU
"if you’re new to the area, storm surge affects the entire Tampa Bay and all estuaries.",0.0,1.0,0.0,0.0,NEU
I grew up here & I just crossed the causeway fine.,0.205,0.795,0.0,0.2023,POS
"I am from Belleair Bch but I live in Highlands Co now. I left the area got tired of the traffic. I miss the beach, but not when it does this!",0.0,0.805,0.195,-0.722,NEG
"Tarpon Springs, heavy rain, minimal wind so far. I'm more concerned about flooding in home and roads, and work. Late afternoon, overnight tornadoes.",0.0,1.0,0.0,0.0,NEU
When should this be past us?,0.0,1.0,0.0,0.0,NEU
look at Weather Channel radar..that's what I have been tracking,0.0,1.0,0.0,0.0,NEU
"If it gets to a cat 1 where the graph has it at 8pm this evening, then it could get even stronger by the time it hits land, like a 2 or 3?",0.159,0.841,0.0,0.6249,POS
Nice and breezy in Dundee! Had some rain earlier.,0.279,0.721,0.0,0.4753,POS
Anyone know if it's flooding on treasure island ...sunset beach where Ka'tiki is located?,0.145,0.855,0.0,0.296,POS
yes,1.0,0.0,0.0,0.4019,POS
thank you. I hope everyone stays safe,0.735,0.265,0.0,0.8074,POS
"Thank you Denis. Will keep up with you online. You are the best to watch",0.34,0.66,0.0,0.7717,POS
"Are the Malls open today?",0.0,1.0,0.0,0.0,NEU
"unfortunately yes. My son just had to drive to work.",0.206,0.611,0.183,0.0772,POS
"ok Thanks. I was hoping not too.",0.725,0.275,0.0,0.7845,POS
"stay safe if you get out there",0.326,0.674,0.0,0.4404,POS
can you call them? 🙄,0.0,1.0,0.0,0.0,NEU
??What time would a storm surge start around the Dunedin causeway??,0.0,1.0,0.0,0.0,NEU
Around 12:30 pm,0.0,1.0,0.0,0.0,NEU
"oh high tide then , thanks",0.42,0.58,0.0,0.4404,POS
be safe Michelle,0.592,0.408,0.0,0.4404,POS
yes you too Robin,0.474,0.526,0.0,0.4019,POS
Riverview florida?,0.0,1.0,0.0,0.0,NEU
"it’s just gonna be rain",0.0,1.0,0.0,0.0,NEU
"ok thank you",0.825,0.175,0.0,0.5719,POS
"Winter Haven/Clermont?
Thanks",0.592,0.408,0.0,0.4404,POS
probably the same. Y’all are inland.,0.0,1.0,0.0,0.0,NEU
Storm surge for Gibsonton? Should I worry Denis Phillips?,0.0,0.682,0.318,-0.504,NEG
Flooding on our street in LBK,0.0,1.0,0.0,0.0,NEU
At 8:04 pm will I be able to walk my dog? In Mad Beach.,0.0,0.789,0.211,-0.4939,NEG
there won’t be a mad beach lol,0.28,0.4,0.32,-0.1027,NEG
take that back!,0.0,1.0,0.0,0.0,NEU
"no. But at 8:06, you should be OK.",0.339,0.522,0.139,0.5105,POS
"how about 8:47 that's our alternative time.",0.0,1.0,0.0,0.0,NEU
"only if you wear your waders 😉",0.0,1.0,0.0,0.0,NEU
The tide is high but I'm holdin' on...,0.0,1.0,0.0,0.0,NEU
"Gonna be a 2 by the time it makes landfall I bet.",0.0,1.0,0.0,0.0,NEU
Denis Phillips my mom is on Treasure Island they have ordered no evacuations do you think she will be ok with the surge?? She lives on a canal??,0.17,0.76,0.07,0.4871,POS
it depends on the elevation of your mom’s house and the tides. I had a house on Madeira Beach (just north of Treasure Island) on the intracoastal for 5 years. It was 5 feet above sea level. A 3-5 foot surge never flooded that house. Water came up over the sea wall a couple times but never made it to the house. Sometimes the streets did flood.,0.026,0.974,0.0,0.1531,POS
there are reports of significant flooding along Treasure Island beach and Sunset on gulf blvd around 106th ave and increasing,0.182,0.818,0.0,0.4588,POS
already? I live on SPB and just drove through TI and pass sunset to get home and saw no flooding..,0.0,0.891,0.109,-0.296,NEG
they just reported it on live abc action news and gave that information. She said the sewer drains are under water and using only 1 lane,0.0,1.0,0.0,0.0,NEU
oh wow that happened fast but it does here. We flood every time.,0.167,0.833,0.0,0.34,POS
"true! My friend is at Ricki T’s right now and he sees nothing but he’s probably not come off the bar stool 🤣
The news is reporting on calls they’re receiving so hard telling until you see pics. Stay safe 🫶🏻",0.175,0.775,0.05,0.7043,POS
"water is almost up to the seawall already and its not high tide yet.",0.0,1.0,0.0,0.0,NEU
" I’m also on a canal in Treasure Island. So far, so good. Did she flood with the previous few storms?",0.269,0.731,0.0,0.7408,POS
"Wind speeds upgraded to 90mph at landfall...might actually be a cat 2 by that point, depending on how much strength it gets from the gulf, which is practically hot tub temperature these days.",0.096,0.904,0.0,0.4939,POS
"Must be nice to have hurricane named after you. Lol",0.412,0.588,0.0,0.6808,POS
"Hasn't stopped raining at all. My dogs are mad 😡",0.14,0.59,0.27,-0.3682,NEG
"My 80# Pittie is afraid of rain. 🙄",0.0,1.0,0.0,0.0,NEU
"awe. I really meant to get a little kid pool and fill it w sod for the doggos ,but that hasn't happened yet. That's on my to do list this week. Kinda wish I would a had it for today.",0.084,0.916,0.0,0.4785,POS
What are they saying for timing for our area?? Cortez FL ... It hasn't stopped raining but when will see it at its worse . Anyone lol???,0.181,0.694,0.125,-0.2679,NEG
"I'm in South Tampa. Lots of rain, pretty steady, few big gusts bust so far so good. He's peed once during an in between time. Tried the doggie pool but he's scared of that too. 🙄",0.114,0.79,0.095,-0.0553,NEG
yup mine are staring at me and won't go anywhere near front door but i know they gotta go outside soon. Wonder when the rain will ease,0.115,0.885,0.0,0.5023,POS
They are sooooo bored,0.0,0.588,0.412,-0.2732,NEG
"love him. He's so cute",0.729,0.271,0.0,0.8429,POS
mine is terrified🤦‍♀️,0.0,1.0,0.0,0.0,NEU
"my kids are also going crazy and bored lol. Our bay outback is moving on up",0.138,0.64,0.222,-0.1779,NEG
For how long?,0.0,1.0,0.0,0.0,NEU
We’ve had rain for a while. We are in a small break right now,0.0,1.0,0.0,0.0,NEU
Holiday is getting a nice rain.,0.647,0.353,0.0,0.6705,POS
"Very intense, heavy Rain, Lightning and Tornado Warnings in N. Naples along the Coast. Outer band on the back side is intense! No driving around until this passes...",0.1,0.753,0.147,-0.3624,NEG
"Denis Phillips when are you going on air. Hopefully soon.",0.231,0.769,0.0,0.4019,POS
"Also, Tampa is now in 🌪️ watch",0.0,1.0,0.0,0.0,NEU
"Any evacuations for St Pete beach. Near the Don",0.0,1.0,0.0,0.0,NEU
why would there be evacuations for a tropical storm 🤔,0.0,1.0,0.0,0.0,NEU
they do not do that for flood or surg? They do at my other house.,0.0,1.0,0.0,0.0,NEU
"it's not going to be bad enough to evacuate",0.0,0.696,0.304,-0.5423,NEG
"thanks, that’s a good thing as I’m OOT. My son is at the house in St Pete.",0.293,0.707,0.0,0.7003,POS
"Thank you for your reports. We met for two seconds when you asked if you could use two empty chaises one Sunday at Innisbrook pool. Your reports are so important to your fans. You are a True American Treasure. Thank you for your concern for others. We live in Muirfield lodge but spend summer months in Annapolis,Md.",0.145,0.832,0.023,0.6466,POS
Thanks for the update!,0.516,0.484,0.0,0.4926,POS
"The heat is on! ( water temp) haha",0.354,0.646,0.0,0.5093,POS
"Will be at least at cat 2 on landfall",0.0,1.0,0.0,0.0,NEU
HAHAHAHAHA THIS AGED WELL WEATHER MAN DAN,0.259,0.741,0.0,0.2732,POS
Please see previous comment internet bully,0.242,0.421,0.337,-0.2263,NEG
sowwy I feel bad now,0.0,0.462,0.538,-0.5423,NEG
"Dan Dan the Weather Man, I like it.",0.294,0.706,0.0,0.3612,POS
looks like it'll just be a cat 1 heading towards Tallahassee!,0.259,0.741,0.0,0.4199,POS
Storm dumped a lot of rain.,0.0,0.597,0.403,-0.4019,NEG
Tornado watch in 34652,0.0,1.0,0.0,0.0,NEU
Heavy rain here in Westchase,0.0,1.0,0.0,0.0,NEU
Venice is getting hit with some big squalls,0.0,1.0,0.0,0.0,NEU
Hang in there.,0.0,1.0,0.0,0.0,NEU
my dad lives there and isn't answering his phone. Can you let us know when things clear?,0.14,0.86,0.0,0.3818,POS
Yes better now. Best wishes,0.919,0.081,0.0,0.886,POS
thank you 😊,0.714,0.286,0.0,0.3612,POS
really bad right now in Sarasota,0.0,0.569,0.431,-0.5849,NEG
Denis Phillips the date/time boxes are always covered by the header. We can’t see projections after Mon at 8am,0.0,1.0,0.0,0.0,NEU
"thank you for asking this, I was just about to say the same thing. I'm here visiting and need to know what day I can drive home to Virginia",0.088,0.912,0.0,0.3612,POS
Maybe the National Hurricane Center probably has a graphic that doesn’t!,0.0,1.0,0.0,0.0,NEU
We can ad it to our comments,0.0,1.0,0.0,0.0,NEU
"Thank you weather dad!!",0.507,0.493,0.0,0.4738,POS
"Drinking my Diet Dr. Pepper Denis, about to drive to Waffle House! #Rule#7",0.0,1.0,0.0,0.0,NEU
Checking in from Sarasota County near Casey Key at 11:15 am. Heavy rains and moderate winds with winds picking up. We lost one pool screen so far and there is flooding in spots. Be safe!,0.083,0.857,0.06,0.2244,POS
"Everyone talks about storm surge, but how far inland will it go? I understand topography is critical, but how do you determine how far that surge will go? I am a flat half mile to the water.",0.0,0.909,0.091,-0.5122,NEG
"entirely depends on your elevation. I am at 10 ft elevation and 3 blocks to the bay. I was fine even during Idalia. I am sure that I will be fine during Debbie.
If you are 1/2 mile from the water and at a decent elevation, you will be fine. How were you during Idalia? This should be less dramatic. 🤞",0.131,0.836,0.032,0.5859,POS
"my house is piered. I have a crawlspace under it. My house was built in 1948. I am in a flood zone but didn’t have any issues during Idalia.
My elevation is 10’7”.",0.0,1.0,0.0,0.0,NEU
Thank you for the updates,0.385,0.615,0.0,0.3612,POS
Longboat Key .. high tide in a little while.,0.0,1.0,0.0,0.0,NEU
I’m in Sarasota proper and it’s pretty crazy now. Big wind and lots of rain with no end in site.,0.129,0.685,0.185,-0.1027,NEG
"12:30 PM for Pass-a-Grille. 🤞",0.0,1.0,0.0,0.0,NEU
Ok here we go,0.423,0.577,0.0,0.296,POS
#Bradenton raining 🌧️ a lot it’s a good day to cook some sancocho! ❤️🌧️,0.225,0.775,0.0,0.4926,POS
Thanks for the updates.,0.492,0.508,0.0,0.4404,POS
Sprinkles in Spring Hill.,0.0,1.0,0.0,0.0,NEU
Thanks Denis was up all nite w.ya praying,0.474,0.526,0.0,0.6597,POS
Stay safe my Florida friends,0.667,0.333,0.0,0.7184,POS
