"Outer bands of Debby now moving into our area. Winds could easily gust over 40 mph as these stronger bands move onshore. We're watching for isolated tornadoes today as well, and there's already a tornado warning in Collier Co down to our south. We'll keep you posted all day.",Pos,Neu,Neg,Compound,Overall Sentiment
"Thank you . I am in Maine and have a place on the water in Tampa , your update s are so appreciated 😎",0.296,0.704,0.0,0.7745,POS
"And just 3 days ago this storm was going up east coast.",0.0,1.0,0.0,0.0,NEU
thats Florida,0.0,1.0,0.0,0.0,NEU
this is a great local level-headed weather resource to follow 😀,0.339,0.661,0.0,0.6249,POS
Thank you . I'm at the airport in Sarasota Bradenton to south bend,0.185,0.815,0.0,0.3612,POS
Thanks Denis Phillips for always looking out for us.👍👍💙💙,0.266,0.734,0.0,0.4404,POS
"Thank you for the continuous updates! You are appreciated more than you know!",0.367,0.633,0.0,0.7494,POS
Thanks Denis. You always give me co fence and security with your updates.,0.325,0.675,0.0,0.6486,POS
The dog was just begging to go outside here in Fort Myers... he is NOT impressed. He peed under the carport and came running back in soaking wet. 🤣,0.0,0.914,0.086,-0.3724,NEG
Keeping us honestly informed. Thank you. Stay safe,0.627,0.373,0.0,0.8126,POS
Thank you for looking out for us Denis!,0.285,0.715,0.0,0.4199,POS
I’ve been watching my storm radar app this morning and it seems to be slowing down in that warm water like you thought it might last night on your live.,0.136,0.864,0.0,0.5267,POS
"Be safe all of you, from all your followers on the East coast 🙏🙏🙏",0.182,0.818,0.0,0.4404,POS
"Brooksville here, sun is shinning right now….How quickly it’s gonna change tho!! Stay safe and dry everyone!!",0.203,0.797,0.0,0.6209,POS
It shows 70 mph winds in the gulf directly west from Sarasota. The wind is picking up in North Port now. Sprinkles,0.0,1.0,0.0,0.0,NEU
in north port too and it’s pouring! What app is this?,0.0,1.0,0.0,0.0,NEU
"in NP too - what app are you using for this map?",0.239,0.761,0.0,0.4824,POS
thankfully that's way off shore,0.412,0.588,0.0,0.4215,POS
It's sprinking in Clearwater near Clearwater Mall.,0.0,1.0,0.0,0.0,NEU
"You rock, Denis! TY for not only keeping us in the loop, but also keeping us sane! You are the best weatherman!",0.307,0.693,0.0,0.8703,POS
"Thank you for all you do for all of us! We appreciate you.",0.333,0.667,0.0,0.6696,POS
I wish I could see Hernando County and get some ideas.,0.252,0.748,0.0,0.4019,POS
Me Too,0.0,1.0,0.0,0.0,NEU
How bad will hit Tampa?,0.0,0.533,0.467,-0.5423,NEG
you'll find out in about an hour,0.0,1.0,0.0,0.0,NEU
thank you! My daughter is supposed to drive from Miami for Busch Gardens tomorrow...i'm nervous,0.156,0.727,0.117,0.1759,POS
"it'll be gone by tomorrow",0.0,1.0,0.0,0.0,NEU
if it keeps slowing down I wouldn't be so sure,0.272,0.728,0.0,0.4572,POS
the heavy rain wont though,0.0,1.0,0.0,0.0,NEU
heavy rains so she needs to drive carefully and the least dangerous way with the least amount of floodings--- to be safe,0.268,0.732,0.0,0.7144,POS
"yes, mostly it will be gone",0.351,0.649,0.0,0.4019,POS
"Thank you Dennis for always being there for all of us all year long. I appreciate your dedication to keeping us safe.
I appreciate you !!!💙❤️",0.369,0.631,0.0,0.8928,POS
thank you Sharon for saying that for so many of us. How are you this morning? I just woke up. Was awake a couple hours middle of the night🙄. I’m settled in. ❤️,0.077,0.923,0.0,0.3612,POS
I’m good. Just taking it easy and drinking my coffee ❤️,0.392,0.608,0.0,0.7003,POS
still trying to wake up. Need my Pepsi & then need to wash some dishes. 🙄😂,0.0,1.0,0.0,0.0,NEU
Happy Sunday Denis - thank you for your consistent knowledge for helping to calm our anxiety over the years thru all our storm /hurricane seasons 👏🏻☔️🌪️🌀⛈️🌊 - Palm Harbor is calm so far 👍🏻🙏,0.319,0.639,0.042,0.8834,POS
Yup! Tornado Warnings on phones went off a little while ago down here in Collier… heavy rains right now… Off and On.,0.0,0.889,0.111,-0.3595,NEG
praying in Bradenton southern westerly side -,0.333,0.667,0.0,0.3612,POS
"😝 lol! Thank you for all of your anti drama updates.",0.376,0.47,0.154,0.5093,POS
Will it affect incoming flights to Tampa this evening?,0.0,1.0,0.0,0.0,NEU
Thank you very much for the continuous updates. So appreciate it!,0.391,0.609,0.0,0.6989,POS
stay safe! 💕💕,0.615,0.385,0.0,0.4926,POS
How will weather be tomorrow morning ? Flying home to Iah from Houston,0.0,1.0,0.0,0.0,NEU
"Thank you, as always, Denis! You are the best.",0.5,0.5,0.0,0.7901,POS
Rainy day for us in Clearwater. Ready and waiting!,0.252,0.631,0.117,0.3595,POS
same in St. Pete,0.0,1.0,0.0,0.0,NEU
"Thank you, When is the next track update?",0.263,0.737,0.0,0.3612,POS
I just woke up to one band coming through Englewood Florida and it was no joke🤨,0.0,0.864,0.136,-0.296,NEG
"Thanks Denis, guess it's time to put the pool toys away up here in Weeki Wachee.",0.162,0.838,0.0,0.4404,POS
At least we had a gorgeous sunset and double rainbow yesterday to prepare us for the storm today. 🥹,0.2,0.8,0.0,0.6124,POS
How are you on your diet Dr Pepper supply?,0.0,1.0,0.0,0.0,NEU
Coming down heavy now in Nokomis,0.0,1.0,0.0,0.0,NEU
Thanks Denis !!!! We appreciate all you do for us in Central Florida 😀,0.381,0.619,0.0,0.7762,POS
"Thanks for update 🙏",0.592,0.408,0.0,0.4404,POS
I don’t like this,0.556,0.444,0.0,0.3612,POS
A tornado touched down in plantation a friend posted damage 😞,0.258,0.484,0.258,0.0,NEU
Thank you Denis Phillips What is your thoughts on the surge? Live on the water in N Redington Beach,0.128,0.872,0.0,0.3612,POS
My niece follows you in NC. They are expecting 12 inches of rain. Yikes!!,0.0,1.0,0.0,0.0,NEU
"What channel is ABC on?",0.0,1.0,0.0,0.0,NEU
How is everything today?,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
Stay safe everyone,0.592,0.408,0.0,0.4404,POS
"Loved last nite, Denis was on tv n on fb, at the same time",0.245,0.755,0.0,0.5994,POS
"best description I heard: ""This is a rainmaker with some wind. That's it.""",0.296,0.704,0.0,0.6369,POS
Really not excited about flying into Tampa International Airport tonight. Supposed to land around 7pm local time. Already a nervous flyer! 💆🏾‍♂️,0.0,0.801,0.199,-0.5728,NEG
"have a few drinks on the flight, you’ll be alright.",0.2,0.8,0.0,0.25,POS
"will definitely be having a few 😂👌🏾",0.351,0.649,0.0,0.4019,POS
eek - well youll know - if its bad they probably will delay your flight from where you are leaving from,0.088,0.669,0.243,-0.5719,NEG
"I think if the weather gets too bad, they’d have to divert us. We're about to board in London, so if they stop accepting flights, we'll likely already be in the air.",0.071,0.766,0.163,-0.5209,NEG
makes sense at the time you to land theres an 80 percent chance of thunderstorms rain and thats around the time the wind is slowing down right before that its about 30mph--- im on weather.com- for the bayshore gardens area which is right near the airport in Sarasota about 2-3 mile circumfrance maybe theyll fly you into there instead? The report for Tampa is the exact same thing right now as well i just checked---- anything can shift in the next 7 -10 hours- praying this thing out is also a goof plan lol be safe---- a very reliable source for pretty accurate weather is Denis Phillips - he is on facebook and is out of the bay area --- really awesome reports every few hours!,0.131,0.869,0.0,0.9458,POS
"just got word incoming no out going but incoming flights into tampa are being either refirected, diverted and or cancelled",0.0,0.814,0.186,-0.4767,NEG
"yeah, we made it to Tampa and hovered over for about 40 mins before they finally sent us to Orlando.",0.104,0.896,0.0,0.296,POS
ok be safe dint take any risks many places have been flooded and it plans to flood into wed safe travels nice to meet you take care and may God keep you and your family!!!,0.361,0.595,0.045,0.931,POS
Thanks wish they would just keep you on air. I think you’re our security blanket’ xo,0.4,0.6,0.0,0.7906,POS
"I’ve already lost power in Largo somehow but not everywhere in my condo just my thermostat, don’t know how this happened…",0.0,0.924,0.076,-0.1655,NEG
Did you check the battery in the thermostat?,0.0,1.0,0.0,0.0,NEU
It’s working now all on its own so idk 🤷🏻‍♀️ thanks for the help tho!,0.307,0.599,0.093,0.6474,POS
Is it your batteries?,0.0,1.0,0.0,0.0,NEU
flip your breaker?,0.0,1.0,0.0,0.0,NEU
These storms are getting way too comfortable passing so close to us. Im in Nokomis,0.191,0.809,0.0,0.5106,POS
how bad is it there,0.0,0.533,0.467,-0.5423,NEG
how short memories are,0.0,1.0,0.0,0.0,NEU
Here we go! 💪,0.0,1.0,0.0,0.0,NEU
Thanks for the up dates,0.42,0.58,0.0,0.4404,POS
Cortez FL is very windy,0.0,1.0,0.0,0.0,NEU
Hope your voice hold up..,0.42,0.58,0.0,0.4404,POS
Thank you for all you do!,0.358,0.642,0.0,0.4199,POS
"Florida strong💪 💪",0.0,1.0,0.0,0.0,NEU
"Thanks Denis! 👍",0.761,0.239,0.0,0.4926,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Denis Phillips you are the best! I’ve only followed your updates this storm and it’s the most calm I’ve ever been! Rule #7 ❤️❤️❤️ is my mantra!,0.235,0.765,0.0,0.8257,POS
when is your mom headed there?,0.0,1.0,0.0,0.0,NEU
please keep that power on in this heat,0.247,0.753,0.0,0.3182,POS
Hang at home Sunday. Great advice!,0.468,0.532,0.0,0.6588,POS
Well since most of the state is on the NE side of this I bet there will be 😭,0.116,0.884,0.0,0.2732,POS
🙏,0.0,0.0,0.0,0.0,NEU
Naples is already quiet after the tornado warning. Thank you Denis for the good work you do.,0.248,0.642,0.11,0.4588,POS
👀,0.0,0.0,0.0,0.0,NEU
Thanks Denis Phillips for the updates.,0.367,0.633,0.0,0.4404,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
Thank you !,0.736,0.264,0.0,0.4199,POS
Thanks Denis Phillips!,0.615,0.385,0.0,0.4926,POS
