No real changes overnight. Saturday will be a typical August day with impacts from Debby (to be) arriving on Sunday.,Pos,Neu,Neg,Compound,Overall Sentiment
"Thanks for going the extra
mile to keep us informed Sir..",0.225,0.775,0.0,0.4404,POS
Good to know! Thank you!,0.666,0.334,0.0,0.717,POS
"Dennis, can you remind your viewers that after these storms, is the best time to find shells and other beach treasures, maybe even some pirate treasure! Thank you Mr. Coconut.",0.316,0.684,0.0,0.8999,POS
"looks like just a lot of rain for us Sunday so we should be good 🥰",0.31,0.69,0.0,0.6597,POS
"can’t wait!",0.0,1.0,0.0,0.0,NEU
Thank you so very much for keeping us updated Denis. We appreciate You so very much.❤️❤️,0.271,0.729,0.0,0.6369,POS
"Thanks to Denis for keeping us updated",0.326,0.674,0.0,0.4404,POS
Tampa is in the clear people. Don't alter any plans for no reason . Lucky if we see a quarter inch of rain,0.211,0.703,0.086,0.4939,POS
"And on that note, it’s night night for me. 😴",0.0,1.0,0.0,0.0,NEU
"Thank you, Dennis for always keeping informed. Us night owls are one step ahead of everyone else. We get the updates when they break!",0.108,0.892,0.0,0.4199,POS
"Calm before the storm",0.434,0.566,0.0,0.3182,POS
"We are driving down to marathon from Sarasota. Is today (Saturday) better and is it ok rather than Sunday? The storm has slowed down and we are contemplating if it will be better now rather than tomorrow. Trying to time the storm as it has slowed down a lot.",0.151,0.849,0.0,0.7906,POS
go Sat,0.0,1.0,0.0,0.0,NEU
"I’m going to be “that person” 🙃
Suppose to fly in to Tampa Monday afternoon. Should I rethink that?",0.0,1.0,0.0,0.0,NEU
"A bit to calm outside, it’s 3:30am not a leaf moving. Amazing.",0.172,0.598,0.23,-0.1955,NEG
"Hopefully we get the Saharan Dust, unexpectedly.",0.31,0.69,0.0,0.4019,POS
"High winds for Bradenton ?Do we need to put hurricane shutters up?",0.0,1.0,0.0,0.0,NEU
not,0.0,1.0,0.0,0.0,NEU
had a crazy storm yesterday afternoom which i found out a little while ago. fried some of my electric. hard to get ready for work in the dark. ac in bedroom still working. some outlets work but most dont🥺,0.046,0.876,0.077,-0.0387,NEU
We had 2 inches in Wildwood last night. (Friday) ugh. We don’t need anymore,0.0,0.811,0.189,-0.4215,NEG
Does the push west increase our chances of Bay Area getting increased storm surge? Is estimate still 1-4 feet?,0.291,0.709,0.0,0.6767,POS
"Thank you for the late update! Do you ever get any 💤?",0.202,0.798,0.0,0.4199,POS
moving storm a tiny tiny tiny west,0.0,1.0,0.0,0.0,NEU
"It's nice out here in Hernando FL.",0.318,0.682,0.0,0.4215,POS
"Thankful I follow you Denis Phillips . Otherwise I wouldn't have known we were getting a storm at all 😂 I no longer watch the news. I saw something a couple days ago about the keys & South Florida getting a TS and thought that was it. Then started seeing your updates yesterday 🤦 Although as a native, I wouldn't know the difference between what's coming and a really bad afternoon thunderstorm ⛈️",0.056,0.852,0.091,-0.3167,NEG
Thanks for all you do,0.42,0.58,0.0,0.4404,POS
Get some rest Denis ♥️ We appreciate you….as always you are on top of every update from NHC. You will be needed on Sunday/Monday all day ♥️,0.153,0.847,0.0,0.5423,POS
Why am i getting these posts now about Debby??? She’s been here and gone. Just now getting posts from Aug 3? 🤔🫤,0.0,1.0,0.0,0.0,NEU
"Well it appears to have a name .",0.296,0.704,0.0,0.2732,POS
Thank you Denis for staying up at all hours during hurricane season!,0.202,0.798,0.0,0.4199,POS
Newbie here. Thank you Denis Phillips your work to keep us informed is much appreciated.,0.309,0.691,0.0,0.7003,POS
"QUESTION for Denis.... I live in Valrico,,,, NHC website shows nothing; NWS website shows 14-18 mph with rain; Hillsborough County gives me a tropical storm warning.... I am confused now.... Who is right?",0.0,0.927,0.073,-0.3182,NEG
I wonder if Debby will do Dallas😂😂,0.0,1.0,0.0,0.0,NEU
Should I cancel my Sunday bbq?,0.0,0.667,0.333,-0.25,NEG
One more night of peace,0.485,0.515,0.0,0.5809,POS
"Man I was praying it would hit Brooksville",0.294,0.706,0.0,0.3612,POS
I still think further west and stronger,0.342,0.658,0.0,0.3818,POS
Wjat is the big bend area?,0.0,1.0,0.0,0.0,NEU
"Thank You Sir For Working OT For Us You Are Great 👍 🫵✋️👊👊👊",0.398,0.602,0.0,0.765,POS
Thanks D.💪😎🇺🇸💪🙌✝️🌬🔥❄️❄️❄️❄️❄️❄️ I'm ready for winter already,0.519,0.481,0.0,0.6597,POS
A push west again at 5am,0.0,1.0,0.0,0.0,NEU
"I’m gonna take a bar of soap outside and get naked and take a shower",0.0,1.0,0.0,0.0,NEU
Thank you denis,0.556,0.444,0.0,0.3612,POS
Thank You!!!,0.771,0.229,0.0,0.5229,POS
