Here are my evening thoughts on what will likely become Tropical Storm Debby over the weekend. [VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
"it says ""will likely become"" - so it doesn't have a name ""officially"", but since it's predicted to develop over the weekend and there's nothing else likely to develop before it, they're just using the name to identify it.",0.0,1.0,0.0,0.0,NEU
I just don't remember them doing that in the past until it actually became a tropical storm at least. People just glancing in hearing a named storm will tend to think that's a hurricane when there isn't,0.0,1.0,0.0,0.0,NEU
"IMO, its to push the agenda, so they can say: ""more named storms this year"", proving climate change.",0.0,1.0,0.0,0.0,NEU
"if I'm not mistaken, they have the names A through Z every season on deck and ready to assign",0.235,0.765,0.0,0.5588,POS
right but it's not developed yet so I don't know why it's named I don't remember them doing that in me fast until it actually becomes a hurricane or at least a tropical storm,0.0,1.0,0.0,0.0,NEU
"It's still not named, one day later. It gets it's name when it has a closed center of circulation and winds are 39 mph or higher.",0.0,1.0,0.0,0.0,NEU
"what I'm saying is the name Debby is being used to identify the system even though it's not yet even a tropical storm, when in the past I don't recall this being done unless it was at least a tropical storm",0.0,1.0,0.0,0.0,NEU
winds of 74 or higher to be a hurricane,0.0,1.0,0.0,0.0,NEU
Another debby I remember her well she was my first name storm living here,0.149,0.851,0.0,0.2732,POS
says Saturday no biggie but rain starts to come in Sunday some time… still need it to form into a storm to know what’s to happen!,0.0,0.927,0.073,-0.2244,NEG
I really like what he said about Saturday😂,0.318,0.682,0.0,0.4201,POS
Thank you! I was worried when I read the state of emergency called but feel better now,0.29,0.542,0.168,0.5411,POS
"You are awesome, thanks for all of the information",0.5,0.5,0.0,0.7906,POS
"Thabk you Denis!!! You are awesome!",0.513,0.487,0.0,0.7405,POS
"Appreciate the update ,luckily seems manageable so far 🤞",0.5,0.5,0.0,0.7184,POS
Wasn’t the one we had several years ago where it rained for 3 days straight named Debby?,0.112,0.888,0.0,0.2263,POS
"yep. I was thinking about that too. Lost power for a day, had a tree fall,and lost a screen door.",0.111,0.657,0.232,-0.34,NEG
Thank you Denis. Appreciate you ❤️🙏❤️,0.565,0.435,0.0,0.6369,POS
"Denis! You are beyond world. Clear, facts and experience. Thank you.",0.375,0.625,0.0,0.6588,POS
Thank you as always!,0.482,0.518,0.0,0.4199,POS
Ok I guess 7 in affect before you know it,0.239,0.761,0.0,0.296,POS
I think we are good for Sunday.,0.367,0.633,0.0,0.4404,POS
Thank you for the update,0.385,0.615,0.0,0.3612,POS
remember when Hurricane Charlie was supposed to hit Tampa in 2004 and instead Charlotte County got direct hit,0.0,1.0,0.0,0.0,NEU
"I’ve been watching you on Facebook from Naples since Irma. Thank you for no hype, no drama but all honesty!!!",0.265,0.612,0.122,0.6933,POS
You're the Best!!!!,0.0,1.0,0.0,0.0,NEU
When did Nick Saban become a weather man ?!,0.0,1.0,0.0,0.0,NEU
"Get some sleep while u can So u can fully get better. 🙏",0.261,0.739,0.0,0.4902,POS
I want your hurricane 🌀 sweatshirt. It matches my Māori infinity tattoo.,0.126,0.874,0.0,0.0772,POS
Thanks Denis Phillips!! Kids in Tallahassee and living in Miami. Love your forecasting and updates! Keep up the great work!,0.421,0.579,0.0,0.9241,POS
Thank you!!!,0.771,0.229,0.0,0.5229,POS
"I heard the governor put out a state of emergency for Florida! I guess he’s, not taking any chances!",0.0,0.746,0.254,-0.5826,NEG
"it makes funding and fixing this much faster if the state of emergency is in place prior, and lets people know to start checking their supplies 🙂",0.0,0.906,0.094,-0.3818,NEG
Thank you for what you do for us!!,0.306,0.694,0.0,0.4738,POS
Thank you for your precise reporting,0.333,0.667,0.0,0.3612,POS
You’re the best,0.677,0.323,0.0,0.6369,POS
"Thank you for the info .",0.385,0.615,0.0,0.3612,POS
Flying to PA 6am Monday morning,0.0,1.0,0.0,0.0,NEU
lol I am flying in to Florida from Philly on monday morning for a cruise.🚢 should I drive on Saturday instead of Monday?,0.128,0.872,0.0,0.4215,POS
You’re the best.,0.677,0.323,0.0,0.6369,POS
You're the best!,0.692,0.308,0.0,0.6696,POS
You are The Best.,0.583,0.417,0.0,0.6369,POS
Thank you for the update.,0.385,0.615,0.0,0.3612,POS
How close to Springhill,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, please talk to your citrus county viewers 🙏",0.223,0.777,0.0,0.3182,POS
This is who I watch. Best weather man,0.412,0.588,0.0,0.6369,POS
So helpful. Thanks,0.862,0.138,0.0,0.7408,POS
"Thanks Dennis! Your the best",0.711,0.289,0.0,0.8122,POS
Watching u from NC . I really like your style of weather reporting straight to the point.,0.281,0.719,0.0,0.5709,POS
Thankyou,0.0,1.0,0.0,0.0,NEU
I say it goes into the open Gulf of Mexico unless a cold front pushes it into Florida!!,0.0,1.0,0.0,0.0,NEU
Thanks as always,0.592,0.408,0.0,0.4404,POS
"Watch last night on DPL",0.0,1.0,0.0,0.0,NEU
"Hey Denis Phillips - here’s whack a mole!
https://www.facebook.com/share/r/DjnBD6ZpDfftbss8/?mibextid=4UDYQr",0.0,1.0,0.0,0.0,NEU
So is Debby the same as the Invest 97-L?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
"All I see is a pickle Denis Phillips lol
Thanks for the update 👏🏽",0.363,0.637,0.0,0.6908,POS
"hahaha glad I wasn’t the only one 🤪",0.623,0.377,0.0,0.765,POS
What about the keys?,0.0,1.0,0.0,0.0,NEU
Cheers from Lutz!. We'll make it!,0.424,0.576,0.0,0.5696,POS
"The Keys???",0.0,1.0,0.0,0.0,NEU
please only follow this guy and nothing else…,0.247,0.753,0.0,0.3182,POS
"weather update",0.0,1.0,0.0,0.0,NEU
This Sunday?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Thanks Denis for keeping us updated!,0.39,0.61,0.0,0.4926,POS
Weather doesn't effect flight delays. It just gives the airlines a reason to blame. I bet there will be flight delays. There's always flight delays 😁🤣😂,0.0,0.906,0.094,-0.34,NEG
THANK YOU 🙏,0.714,0.286,0.0,0.3612,POS
see nothing to worry about,0.376,0.624,0.0,0.3412,POS
know buddy,0.0,1.0,0.0,0.0,NEU
Nothing we haven't seen before in Florida,0.0,1.0,0.0,0.0,NEU
You're the best Dennis. Do not retire!,0.428,0.572,0.0,0.6696,POS
Oh....she has a name!!,0.0,1.0,0.0,0.0,NEU
"We pray peace , we pray that the power behind the storms would bow to the name of Jesus Christ and be still",0.299,0.701,0.0,0.7964,POS
CC?,0.0,1.0,0.0,0.0,NEU
"With it coming closer to Tampa I highly doubt it becomes too strong because it has less water, and more land interaction with Florida",0.122,0.775,0.103,0.1298,POS
thinks this is somehow funny. But it’s true. Anyone with a brain would know less time over water = less time to strengthen. It’s common sense that if the storm got into the middle of the gulf it would have much better opportunity to strengthen and more time to do so.,0.299,0.701,0.0,0.9539,POS
Great doesn’t hype storm up😊Good job!,0.468,0.532,0.0,0.6588,POS
Do you ever sleep,0.0,1.0,0.0,0.0,NEU
"he cares a lot about all of us. He's wonderful",0.489,0.511,0.0,0.7717,POS
I coached his son in fall ball we used to play against him in little league I've known him over 20 years awesome person,0.236,0.764,0.0,0.7579,POS
Thank you. When a hurricane forms off Africa if military sets off explosives on both sides of the circle will it disrupt the storm formation,0.098,0.902,0.0,0.3612,POS
"What time are we expected to die?",0.0,0.606,0.394,-0.5994,NEG
I think you might scare the storm away!! My phone froze like this! Sorry Denis Phillips 😂😂,0.119,0.62,0.26,-0.4499,NEG
👍👍👍👍👍👍,0.0,1.0,0.0,0.0,NEU
He is the best,0.583,0.417,0.0,0.6369,POS
👀💫🌏,0.0,1.0,0.0,0.0,NEU
😃,0.0,0.0,0.0,0.0,NEU
"You better watch out. You better not cry. You better not pout, I’m telling you why. Jim Cantore is coming to town.",0.385,0.615,0.0,0.8821,POS
"Cruising on Monday, thank you for the update!!",0.306,0.694,0.0,0.4738,POS
Thank you - as always - you’re the best! 😄,0.583,0.417,0.0,0.7901,POS
"Thank you Denis
You are phenomenal !!",0.339,0.661,0.0,0.4738,POS
Thank you for the information Denis!!,0.381,0.619,0.0,0.4738,POS
Well shoot,0.467,0.0,0.533,-0.0772,NEG
"Thank you Denis Phillips",0.455,0.545,0.0,0.3612,POS
Hurricane Spaghetti models . com aka Mike's Weather Page,0.0,1.0,0.0,0.0,NEU
Thanks Dennis for the updates,0.42,0.58,0.0,0.4404,POS
Thank you Denis ♥️,0.455,0.545,0.0,0.3612,POS
Thank you Denis!,0.583,0.417,0.0,0.4199,POS
Many thanks Denis,0.592,0.408,0.0,0.4404,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Thank you Denis!!!!,0.647,0.353,0.0,0.5673,POS
"Thank you, Denis!",0.583,0.417,0.0,0.4199,POS
Thank you Denis,0.556,0.444,0.0,0.3612,POS
"Thank you.",0.714,0.286,0.0,0.3612,POS
"Thanks, Denis!",0.761,0.239,0.0,0.4926,POS
Thanks,1.0,0.0,0.0,0.4404,POS
THANK YOU SIR,0.556,0.444,0.0,0.3612,POS
Thank you sir,0.556,0.444,0.0,0.3612,POS
Thanks Dennis …. Rule 7,0.492,0.508,0.0,0.4404,POS
Thank you!!,0.755,0.245,0.0,0.4738,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Thanks!!,1.0,0.0,0.0,0.5399,POS
Pasco here,0.0,1.0,0.0,0.0,NEU
"Thank you",0.714,0.286,0.0,0.3612,POS
Thank you!!!!,0.786,0.214,0.0,0.5673,POS
Thanks Denis!!,0.777,0.223,0.0,0.5399,POS
Get em lol,0.583,0.417,0.0,0.4215,POS
"You the man, Denis Phillips",0.0,1.0,0.0,0.0,NEU
"Thanks, Dennis",0.744,0.256,0.0,0.4404,POS
