"Overnight Tropical Depression #4 Update:
1. If you've been following my posts, you'd know we strongly suggested the center of this system would shift West and South. (The ole ""Whack-a-mole"" example). 🤣  That is exactly what has happened in the past 12 hours.  This has led to a track more to the West.
2. The models haven't changed. The location of the storm center has...and thereby, changing the path. (It's like if someone picked you up, and sat you down 30 miles to the West...your trip path would differ in the direction you magically were relocated) 
3. What does that mean?  It's good and bad.  It really doesn't change OUR forecast.  Still rainy on Sunday with gusty winds.  It MIGHT change the storm surge issue...although that's still dependent on how strong Debby (to be) will become along with its location.
4. Unfortunately, what this does change is it now gives the storm much longer time over water which will inevitably make it stronger. While the NHC keeps this just below hurricane status at landfall, I think the chances are high it will end up being a hurricane before impacting the Big Bend area. 
5. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again.
6. As for our area...the timing and intensity really haven't changed much. Scroll down to see my previous forecast..it remains about the same. 
7. As always, we'll be updating 24/7.  I don't expect the models to shift back East. Again, the models didn't change, the location of the storm did. I suspect this location sticks and we now have our center of circulation that will begin to strengthen and move North. 
8. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart.",Pos,Neu,Neg,Compound,Overall Sentiment
"One thing to remember is that regardless of the actual weather, first responders are often mandated to work well before a storm hits to assist with medical evacuations, like ventilator dependent patients who do not have a reliable generator. They are also often mandated well after a storm to support not only the normal 911 volume but the post-storm freak out callers and ones who were criminally unprepared.
So please, if you see a first responder in line at the store tomorrow, be kind as they are probably preparing for a rough few days away from their families.",0.141,0.823,0.037,0.8334,POS
it now shows going out in the Gulf not over us!,0.0,1.0,0.0,0.0,NEU
I’m in SE NC. 😩 grab the bologna.,0.0,1.0,0.0,0.0,NEU
when we gonna to get our snacky snacks 🤣,0.0,1.0,0.0,0.0,NEU
"later today. 😂",0.0,1.0,0.0,0.0,NEU
I remember TS Debby in 2012. Lake City was underwater in areas and Citrus Key too. The Suwannee River was a mess . There was no boating for weeks.,0.0,0.836,0.164,-0.5719,NEG
Do you think the Keys will get much of anything?,0.0,1.0,0.0,0.0,NEU
"should we take the babies out on the boat on Sunday?",0.0,1.0,0.0,0.0,NEU
yes maybe a sunset cruise Sunday night,0.351,0.649,0.0,0.4019,POS
Maybe just the in-laws. 🤣🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
welcome to Florida. 😅 Make sure to follow Denis if you aren’t already. He’s the GOAT for meteorology.,0.261,0.739,0.0,0.6486,POS
Fort White here……just taking it all in stride! Everyone stay safe!,0.258,0.742,0.0,0.5399,POS
So when does this storm officially get named?,0.0,1.0,0.0,0.0,NEU
When it has a closed center and max sustained winds of 39 mph.,0.0,1.0,0.0,0.0,NEU
when it becomes a Tropical Storm,0.0,1.0,0.0,0.0,NEU
yes I know but when is that supposed to happen after she leaves Florida?,0.134,0.866,0.0,0.2144,POS
"no she’s supposed to hit as one, but she might reach hurricane status now because the path shifted west, giving her more time over the warm water",0.212,0.737,0.051,0.6124,POS
when it forms,0.0,1.0,0.0,0.0,NEU
it's looking better for ya my love!,0.597,0.403,0.0,0.8122,POS
"Florida weather is not for the faint of heart.
You got that right! My heart is faint. My gut is in turmoil for half the year!",0.0,0.89,0.11,-0.4738,NEG
Just for you Dennis I hope it rains all day at Disney.,0.225,0.775,0.0,0.4404,POS
I really need to know the conditions at 3:37am on 1st Ave. I need to know what to do with my brisket.,0.0,1.0,0.0,0.0,NEU
guess I’ll pack that bag just in case.,0.0,1.0,0.0,0.0,NEU
And that has what to do with our next no storm event?Psilocybin and migraines?,0.0,0.835,0.165,-0.3736,NEG
". . . and that’s why we watch DPL. Reliable and does not incite panic. Thank you!",0.175,0.702,0.123,0.2225,POS
follow Denis Phillips for keeping up with weather in a sane way!,0.0,1.0,0.0,0.0,NEU
Thank you!!,0.755,0.245,0.0,0.4738,POS
Thank you Dennis. .,0.556,0.444,0.0,0.3612,POS
In Denis we trust!,0.545,0.455,0.0,0.5562,POS
Thank you Denis.,0.556,0.444,0.0,0.3612,POS
76.43% change it lands. 53.72% chance it lands on time.,0.182,0.818,0.0,0.25,POS
DENIS FOR PRESIDENT!,0.0,1.0,0.0,0.0,NEU
Go Gordie. ❤️🤍💙,0.0,1.0,0.0,0.0,NEU
