"Inland Communities | TD 4's current track should keep the tropical storm force winds (39+ mph) to your west, which is why you have not been upgraded to a Tropical Storm Warning. A wobble east could change that so keep checking in with us.",Pos,Neu,Neg,Compound,Overall Sentiment
"check the evacuation zone of where you are visiting. If it is a flood zone I would wait, so many have to be rescued bc of the water..either stuck in home or vehicle.",0.083,0.858,0.059,0.2023,POS
good luck 🙏,1.0,0.0,0.0,0.7096,POS
rain and some gusty winds.You will be ok,0.239,0.761,0.0,0.296,POS
"I know it's not as strong as Hurricane Idalia last August, but that track is very similar to TD4's and caused a lot of storm surge flooding for us low lying folks in Citrus County. Prepping for the worst, hoping for the best. Thank you for all you do, Denis Phillips!",0.183,0.602,0.216,-0.3167,NEG
"Yeah, everyone glad for the West shift isn't paying attention. That leaves it out in the Gulf longer, where we don't want it. Hitting land earlier is better. Hope you all don't get too much water! I have dear friends in Crystal River that have flooded before too.",0.292,0.687,0.021,0.941,POS
crystal river always gets flooded badly..prayers for your friend...hope all will be well,0.149,0.851,0.0,0.2732,POS
"This is my concern. Just a few hrs before passing TB, it just kept strengthening in the gulf. The storm surge prediction was so scary. It went from 1-3"" to 4-7"", in a day.",0.086,0.804,0.11,-0.2302,NEG
"Yes it caused a lot of problems for low lying folks in CR. Fortunately we haven’t flooded, but people do a couple blocks from us..",0.067,0.647,0.286,-0.6249,NEG
he’s reported,0.0,1.0,0.0,0.0,NEU
weirdo,0.0,0.0,1.0,-0.4215,NEG
"SCAMMER / SPAMMER",0.0,0.238,0.762,-0.4939,NEG
It’s the coastal storm surge still 1-3 feet?,0.0,1.0,0.0,0.0,NEU
This is a great graphic! Thank you Denis Phillips !,0.545,0.455,0.0,0.8011,POS
"Do you have a current rainfall amount prediction chart? Central polk specifically",0.0,1.0,0.0,0.0,NEU
"So my flight for a very important reason to travel is probably canceled?????",0.217,0.783,0.0,0.4684,POS
my friend was supposed to fly in Sunday afternoon and they canceled her flight already. They put her on a 7am Sunday incoming flight instead. If you are leaving at 8am maybe you’ll be one of the last flights out? Good luck!,0.198,0.802,0.0,0.8553,POS
"I’m going out to help my grand parents, this isn’t a “vacation”, gram has Parkinson’s and dementia. Was going to help my papa, giving him a break etc💔",0.329,0.671,0.0,0.8689,POS
I’m gonna say there’s a pretty good chance your flight is going to be delayed love. 😞. It also depends on where you’re flying to. Are you flying back home? Just get ready like you normally would and just keep an eye out for cancellations.,0.308,0.658,0.034,0.9371,POS
well the storm is coming through later tonight and all day tomorrow. If your flight isn’t until this upcoming next Friday the 9th then you are all clear. The storm will be gone.,0.132,0.868,0.0,0.5719,POS
it’s all good. Everything should be back to normal in a few days,0.209,0.791,0.0,0.4404,POS
when was your flight scheduled? I'm worried about my flight on Friday,0.0,0.833,0.167,-0.296,NEG
"I'm supposed to arrive back in Orlando 1140pm tomorrow from CT and travel back to citrus county. Hoping storm doesn't affect, but sure it will",0.069,0.841,0.089,-0.1388,NEG
"I hope your travel is a smooth as possible 🙏🏻",0.293,0.707,0.0,0.4404,POS
"I follow you, Denis, if your updates don’t show up in my feed. ❤️❤️",0.0,1.0,0.0,0.0,NEU
"I don't get any updates from Denis anymore....stopped just recently 😕 ?",0.0,1.0,0.0,0.0,NEU
What about north lakeland?,0.0,1.0,0.0,0.0,NEU
wet meth,0.0,1.0,0.0,0.0,NEU
What about Sumter County?,0.0,1.0,0.0,0.0,NEU
"Thank you, Denis. We appreciate all you do.",0.464,0.536,0.0,0.6369,POS
I'm in Ocala on west side.,0.0,1.0,0.0,0.0,NEU
Is it going to hit near Panama City Beach?,0.0,1.0,0.0,0.0,NEU
Thanks for staying up for us Denis!! 💜,0.367,0.633,0.0,0.5399,POS
🙏,0.0,0.0,0.0,0.0,NEU
Thank you for the updates! 💕,0.411,0.589,0.0,0.4199,POS
This good tampa safe,0.744,0.256,0.0,0.7003,POS
I was just reading a storm chasers post that says it will intensify over the gulf and we are all going to die lol. Oh and the meteorologist out of Indiana scaring all the Villagers with a cyclone direct hit. It would be comical if it weren't so irresponsible! And so the show starts 🤣,0.097,0.784,0.118,-0.3101,NEG
I guess they have not heard about Rule#7.. maybe you should post it for them 🙄,0.0,1.0,0.0,0.0,NEU
what is it?,0.0,1.0,0.0,0.0,NEU
"Looks like just a good rainy Sat night & day on Sunday for us...
Praise The Lord!",0.43,0.509,0.06,0.8398,POS
"Good morning Denis Everyone Follow The Rules Denis Got This,",0.244,0.756,0.0,0.4404,POS
"Thank you for the update",0.385,0.615,0.0,0.3612,POS
The winds were strong but the rain has caused many problems for people.,0.129,0.659,0.213,-0.34,NEG
"Denis Phillips I saw lightening strike a telephone pole. then a basketball sized, blue & white ball of buzzing electricity went back & forth on the line for about 10 seconds. What was that??",0.0,0.938,0.062,-0.2168,NEG
"ball lightning",0.0,1.0,0.0,0.0,NEU
"I know your broadcast does not extend down to Fort Myers but with family down there and knowing that Fort Myers can't sustain an afternoon shower even, I'm wondering about your thoughts?!!",0.0,0.942,0.058,-0.2127,NEG
we’re heading there now😳.,0.0,1.0,0.0,0.0,NEU
Ahhh...the wobble. It's like a bad wedding lol.,0.414,0.312,0.273,0.2023,POS
Go west little girl... 🙏,0.0,1.0,0.0,0.0,NEU
"Going west means it stays out in the Gulf and can strengthen, causing more damage when it hits land. Hitting land earlier and riding the coast as was actually a safer scenario for other areas.",0.129,0.783,0.088,0.1548,POS
Will these move more inland to the East?,0.0,1.0,0.0,0.0,NEU
"Thanks Denis Phillips ! You're the best. Each time I get up with the baby, you have an update for me.",0.303,0.697,0.0,0.8122,POS
When are you going to do your next update?,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
where is this? And when?,0.0,1.0,0.0,0.0,NEU
"It was yesterday Aug. 2, between Tampa and Brandon",0.0,1.0,0.0,0.0,NEU
I'm on the border of Tampa and Lakeland in Plant City. What are we getting? 😂😂,0.0,1.0,0.0,0.0,NEU
rain,0.0,1.0,0.0,0.0,NEU
That's true 😂,0.737,0.263,0.0,0.4215,POS
Thank you 😊,0.714,0.286,0.0,0.3612,POS
"Wow, what a coincidence!",0.672,0.328,0.0,0.6239,POS
Denis Phillips we r in savanna and were supposed to drive back Sunday. Should we leave today?,0.0,0.926,0.074,-0.0516,NEG
I would hun just to play it safe. You know hurricanes have a mind of their own and can change it at the last minute.,0.202,0.798,0.0,0.6486,POS
YES YES AND YES!!!,0.9,0.1,0.0,0.8392,POS
Thank you Denis!,0.583,0.417,0.0,0.4199,POS
Thank you for another update!,0.411,0.589,0.0,0.4199,POS
"Everyone else has put out tropical storm Warnings",0.0,0.761,0.239,-0.296,NEG
"Some where along the time frame of last night and now, the weather channel sent me a hurricane warning.",0.0,0.876,0.124,-0.34,NEG
"Maybe everyone in Florida should play this song (The Wobble - V.I.C) and Debby will listen and Wobble more west away from Florida!!
https://youtu.be/fE_64SdD27w?si=V3Mbky_VTk31MnGv",0.119,0.881,0.0,0.4559,POS
