A Tornado Warning has been issued for parts of Pinellas until Aug 04 6:15PM. Download the ABC Action News App for the latest weather information.,Pos,Neu,Neg,Compound,Overall Sentiment
ty in largo,0.565,0.435,0.0,0.3818,POS
at the park,0.0,1.0,0.0,0.0,NEU
We heard it go by on Madeira.,0.0,1.0,0.0,0.0,NEU
"Wish it was more specific",0.403,0.597,0.0,0.4019,POS
thank you,0.714,0.286,0.0,0.3612,POS
It wasn’t on ground. I live on 81st Av Seminole. Saw on ring,0.0,1.0,0.0,0.0,NEU
"if you have a video, Denis wants you to send it to him.",0.0,1.0,0.0,0.0,NEU
Denis wants to see the video from your ring,0.0,1.0,0.0,0.0,NEU
"on ridge and ulmerton",0.0,1.0,0.0,0.0,NEU
Dennis just said on live news to please send him the ring video of this.,0.141,0.859,0.0,0.3182,POS
"Denis want you to post your Ring camera video",0.14,0.86,0.0,0.0772,POS
where on 81st are you?,0.0,1.0,0.0,0.0,NEU
video ?,0.0,1.0,0.0,0.0,NEU
you saw it in the sky??,0.0,1.0,0.0,0.0,NEU
Thankful the tornado chose not to hit my Clearwater home. Whew!,0.285,0.715,0.0,0.6114,POS
Just got the alert in Clearwater to take shelter I wish they showed where the tornado exactly is,0.246,0.754,0.0,0.5994,POS
Madeira beach area,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
Denis Phillips can you be more specific please? Which part of Pinellas county? Anywhere near countryside mall?,0.163,0.837,0.0,0.4799,POS
"Madeira beach, so south of the mall",0.0,1.0,0.0,0.0,NEU
"red box",0.0,1.0,0.0,0.0,NEU
"We're by Largo Mall, nothing here if you listen to him, he's VERY specific",0.0,1.0,0.0,0.0,NEU
largo park,0.0,1.0,0.0,0.0,NEU
"just wondering same thing",0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
no. I live near the mall and did not get an alert. We are not in the red box.,0.0,0.796,0.204,-0.4745,NEG
"Countryside. She asked about Countryside.",0.0,1.0,0.0,0.0,NEU
I live in palm harbor and got an alert.,0.239,0.761,0.0,0.296,POS
ah ok. Thank you! Stay safe! 🙏,0.732,0.268,0.0,0.8011,POS
He’s saying right over upmerton and semi old Blvd right now. I’m watching him on tv,0.0,1.0,0.0,0.0,NEU
"Denis Phillips do you think this is now a hurricane? Looking at the latest radar info, I can see a defined eye and these bands are really strong. I’m no meteorologist but I’ve been in Florida long enough to know when a storm is stronger than what’s being told from the NHC",0.109,0.858,0.033,0.6078,POS
These bands are REALLY strong!!,0.551,0.449,0.0,0.7105,POS
sustained winds of 75 mph to be a hurricane.,0.0,1.0,0.0,0.0,NEU
I’m fully aware of that and I’m sure that at the center they are at that right now n,0.119,0.881,0.0,0.3182,POS
I heard a loud gust of wind seconds before we got the alert. I live just a mile from Largo Mall.,0.121,0.879,0.0,0.296,POS
Right after we just saw Twisters in the theater,0.0,1.0,0.0,0.0,NEU
"we watched it opening weekend and no joke, a random storm came through in the middle and knocked out power in the theater for like 10 minutes!",0.165,0.762,0.073,0.4199,POS
"OMG hahaha!!!!! I would have died",0.0,0.456,0.544,-0.6973,NEG
here now lol,0.583,0.417,0.0,0.4215,POS
it’s SO GOOD!!!!!!!,0.0,1.0,0.0,0.0,NEU
"if you feel it, chase it!",0.0,1.0,0.0,0.0,NEU
"Currently in Madeira Beach",0.0,1.0,0.0,0.0,NEU
"Just got the loud warning in Largo",0.0,0.714,0.286,-0.34,NEG
"Lights flickering here in Odessa",0.0,1.0,0.0,0.0,NEU
I'm off Vonn and Walsingham and we heard the whistling and the gusty winds,0.0,1.0,0.0,0.0,NEU
Where in pinellas?,0.0,1.0,0.0,0.0,NEU
Beach side,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
"We were on Treasure island when one came in in we at at mad beach vfw and our wind gust meters were showing wind gust at 72 ! It was crazy , it got bad fast !",0.053,0.716,0.231,-0.8168,NEG
Large tree down in Largo Denis Phillips,0.0,1.0,0.0,0.0,NEU
"Per Fox 13, waterspout came onshore in Seminole, heading north towards Largo",0.0,1.0,0.0,0.0,NEU
"it's still on the ground?",0.0,1.0,0.0,0.0,NEU
"not sure, no more updates, warning still in effect though",0.14,0.517,0.343,-0.4122,NEG
"They are reporting though that radar looks like it's weakening",0.195,0.625,0.18,0.0516,POS
ty,1.0,0.0,0.0,0.3818,POS
Anything on the ground in largo? No tv can't see anything about it,0.0,0.845,0.155,-0.296,NEG
looks like it's between downtown clearwater (where I am) and Clearwater Beach,0.2,0.8,0.0,0.3612,POS
I did download rhe abc action news app. Mostly really that if we get tornado warnings I can find out where it is. But nothing there to see.,0.0,0.94,0.06,-0.1531,NEG
"Lots of commercials, but not a dang thing about the tornado warning.",0.0,0.763,0.237,-0.4767,NEG
Parts of Pinellas? Can we be more precise?,0.0,1.0,0.0,0.0,NEU
"Right near Madeira Beach and Treasure Island.",0.268,0.732,0.0,0.296,POS
"Seriously, your right! Pinellas is huge.",0.313,0.482,0.205,0.2244,POS
just be safe and assume its you…,0.326,0.674,0.0,0.4404,POS
when I was 9 years old the no name storm took the roof off my house in St. Pete with me and my family in it. I never assume it’s not me,0.0,0.927,0.073,-0.296,NEG
What part of Pinellas county?,0.0,1.0,0.0,0.0,NEU
I am at highland and bellaire. It’s coming up on me pretty quick,0.225,0.775,0.0,0.4939,POS
red box,0.0,1.0,0.0,0.0,NEU
ty,1.0,0.0,0.0,0.3818,POS
"could form in Largo",0.0,1.0,0.0,0.0,NEU
19A and Ulmerton,0.0,1.0,0.0,0.0,NEU
was at Park Rd and Seminole,0.0,1.0,0.0,0.0,NEU
How would you even know that?,0.0,1.0,0.0,0.0,NEU
"Denis has it on TV",0.0,1.0,0.0,0.0,NEU
watching news,0.0,1.0,0.0,0.0,NEU
exactly lol,0.737,0.263,0.0,0.4215,POS
"My car is about to float away in st pete right now 😅😅😅",0.0,1.0,0.0,0.0,NEU
I'm scared to look at my pool. My poor dog was okay all day until that thunder.,0.087,0.639,0.274,-0.6249,NEG
flooding getting pretty bad in old northeast!,0.267,0.417,0.316,-0.1511,NEG
Morning commutes? Rain/wind continuing like this or will it be past us? Pinellas Pasco Hernando,0.17,0.83,0.0,0.4329,POS
"Ok here @ Seminole @
118th St North of 102nd",0.239,0.761,0.0,0.296,POS
"Love my new Eton weather radio, old one still works and got me through Irma and Ian. Wgcu 90.1 a n.p.r. station got us thru with constant coverage. No offense Denis Phillips. We had no internet or power.",0.096,0.757,0.147,-0.0516,NEG
"Is the airport still open?",0.0,1.0,0.0,0.0,NEU
"call, lol.",0.737,0.263,0.0,0.4215,POS
"my flight into St Pete was cancelled",0.0,0.75,0.25,-0.25,NEG
I called the airport. Phone calls are not answered after 5:00pm except by a recording.,0.0,1.0,0.0,0.0,NEU
following,0.0,1.0,0.0,0.0,NEU
Anything on the ground?,0.0,1.0,0.0,0.0,NEU
Where about is it?,0.0,1.0,0.0,0.0,NEU
near Seminole as of 556pm,0.0,1.0,0.0,0.0,NEU
"Where in Pinellas",0.0,1.0,0.0,0.0,NEU
"Beach side",0.0,1.0,0.0,0.0,NEU
hollywood,0.0,1.0,0.0,0.0,NEU
Seminole Blvd. just heard it on the news (yes watching from AL),0.0,1.0,0.0,0.0,NEU
"Denis, when will the storm be past us?",0.0,1.0,0.0,0.0,NEU
"Where is it?",0.0,1.0,0.0,0.0,NEU
"Just got it here in St Pete Beach",0.0,1.0,0.0,0.0,NEU
"Please I understand that the storm is north, but how about the UF area? Your thoughts for parents in the west analysis so of Fl. Thanks",0.204,0.796,0.0,0.7092,POS
This was Seminole blvd by Tony’s sushi bar and there used to be a truck underneath that huge tree !,0.132,0.868,0.0,0.3802,POS
The tornado (🌪️ I think?) passed us by in Clearwater on the beach. Was about a minute of intense wind. I’ve seen worse.,0.056,0.812,0.132,-0.4215,NEG
"confirmed water spout but not confirmed if was on land",0.0,1.0,0.0,0.0,NEU
where about are you located in Clearwater,0.0,1.0,0.0,0.0,NEU
Is there any tornado action in downtown st pete right now? This wind and rain is crazy!!!!!,0.0,1.0,0.0,0.0,NEU
You all stay safe! 💜,0.516,0.484,0.0,0.4926,POS
The ABC app updates are not as good as you FB updates here! 🤷‍♀️,0.0,0.828,0.172,-0.4015,NEG
"how do you receive these notices, I would like to as well but not sure what app if there is one.",0.145,0.747,0.107,-0.0369,NEU
"google weather alert in my area",0.306,0.694,0.0,0.296,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Meanwhile in Fort Myers Beach and Naples ☹️,0.0,1.0,0.0,0.0,NEU
"ugh- so sorry to see this again!",0.0,0.516,0.484,-0.5697,NEG
Oh no. 😞,0.0,0.312,0.688,-0.296,NEG
Nothing so far by Seminole Blvd & Park Blvd.,0.0,1.0,0.0,0.0,NEU
"No warning came across.",0.0,0.303,0.697,-0.5574,NEG
"I cannot find where it’s located. Anyone know?!?!",0.0,1.0,0.0,0.0,NEU
treasure island Madeira beach then Seminole if it goes on land.,0.18,0.82,0.0,0.296,POS
"How do we find exact location affected? Pinellas County is huge.",0.178,0.698,0.124,0.1779,POS
"thank you so much ❤️",0.385,0.615,0.0,0.3612,POS
moving north through Largo and CW at 31 mph,0.0,1.0,0.0,0.0,NEU
"went right by bay pines.",0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
Be safe. Prayers.🙏🙏,0.592,0.408,0.0,0.4404,POS
Tornado warning issued per Channel 8. Where is an update and/or confirmation?,0.0,0.821,0.179,-0.34,NEG
Denis Phillips Any chance of break in the rain or is this counties thru evening,0.125,0.875,0.0,0.25,POS
"At Lakeview and Missouri near Highland…don’t see anything in the sky, just squally",0.0,1.0,0.0,0.0,NEU
same here,0.0,1.0,0.0,0.0,NEU
I wouldn't be driving over on any bridge in this weather let alone around flooded roads. I realize there are ones that have no choice for whatever reasons but just to get out to see the storm is beyond stupid. Accidents waiting to happen. 🙄,0.0,0.781,0.219,-0.8641,NEG
count how many times it was asked and answered lol,0.237,0.763,0.0,0.4215,POS
I filmed this at 6:02 pm in Largo . intersection to the right of me is 113thSt /Clwr-Largo Rd and 8th Ave SW…looking south west towards Ulmerton Rd,0.0,1.0,0.0,0.0,NEU
"Looks like it’s close us here in Treasure Island / Madeira Beach.",0.343,0.657,0.0,0.5719,POS
"white knuckling here in TI",0.0,1.0,0.0,0.0,NEU
"Same here in IRB.",0.0,1.0,0.0,0.0,NEU
"Definitely rowdy up in our Palm harbor neck of the woods!!",0.247,0.753,0.0,0.508,POS
"Had a tornado warning here in Treasure Island, but not seeing anything. Anyone know anything about this one?",0.087,0.82,0.093,-0.0258,NEU
"it is now near Seminole as of 556pm, but it started neare Madeira Beach/Treasure Island",0.0,1.0,0.0,0.0,NEU
I live near Bay Pines. That rotation caused heavy wind. Tore up my umbrella.,0.0,1.0,0.0,0.0,NEU
Whiteout rain in Clearwater.Wind is shaking our building.I wonder if it's coming to Clearwater.😬,0.0,0.884,0.116,-0.1779,NEG
"yes, passing through.",0.574,0.426,0.0,0.4019,POS
We got cows!,0.0,1.0,0.0,0.0,NEU
"it's getting bad out",0.0,0.462,0.538,-0.5423,NEG
"Denis Phillips, I was wondering if it was going to be issued.",0.0,1.0,0.0,0.0,NEU
"can you post the link to that radar, please?",0.223,0.777,0.0,0.3182,POS
it's an app called RadarScope.,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
Thank you for the updates!!!!!,0.478,0.522,0.0,0.5673,POS
"2 power surges Fossil Park",0.0,1.0,0.0,0.0,NEU
"Got the warning here indian rocks area",0.0,0.714,0.286,-0.34,NEG
"Yeah, weather radio went off, again.",0.306,0.694,0.0,0.296,POS
Just got tornado warning in Seminole,0.0,0.676,0.324,-0.34,NEG
"Heavy winds and heavy rains in Trinity",0.0,1.0,0.0,0.0,NEU
"Hey need to be at innisbrook at 430 am
Am I ok",0.18,0.82,0.0,0.296,POS
Its in clearwater now. Missouri and mlk. My son just called saying is black outside and it's howling,0.0,1.0,0.0,0.0,NEU
here too just off Lake Chautauqua. Very scary and Loud!!,0.0,0.688,0.312,-0.6221,NEG
I bet,0.0,1.0,0.0,0.0,NEU
"Just showed by honeymoon",0.0,1.0,0.0,0.0,NEU
"Rule # 8 should be, “Don’t be complacent”",0.0,1.0,0.0,0.0,NEU
"NONE of the local networks showing info…..",0.0,1.0,0.0,0.0,NEU
"Should I come out of the closet now?…got the warning it’s past 6:15 at Bardmoor, I do hear gusts blowing across my roof atm …baby it’s hot in here❣️🤓",0.0,0.915,0.085,-0.34,NEG
We lost power for 40 minutes due to tree falling on power lines when the winds picked up. FPL came out and fixed in this weather!! 😍 FPL,0.0,0.848,0.152,-0.5399,NEG
Denis Phillips lake/country club drive off of Eastbay is good!!!,0.296,0.704,0.0,0.5826,POS
"Watching you live, and we are in direct path and we are good. Little spinning, but nothing",0.109,0.891,0.0,0.2382,POS
good job Gina,0.592,0.408,0.0,0.4404,POS
"Largo, near Alt 19 and East Bay and didn't see anything other than the wind and rain we've seen all day",0.0,1.0,0.0,0.0,NEU
"Is pasco co next ?",0.0,1.0,0.0,0.0,NEU
I'm in the Bluffs. Interior room.,0.0,1.0,0.0,0.0,NEU
"Received in largo",0.0,1.0,0.0,0.0,NEU
"Yep! Scary. It was 2 miles south of me.",0.188,0.513,0.299,-0.3164,NEG
Bay Pines area,0.0,1.0,0.0,0.0,NEU
"Go to WAWA!",0.0,1.0,0.0,0.0,NEU
Just passed us on Seminole and 102nd ave,0.0,1.0,0.0,0.0,NEU
"Evening Denis, Shay & Nadine. I am off ulmerton behind winghouse. The wind is up but just raining Largo. Rain pickin up now w. Thunder",0.0,1.0,0.0,0.0,NEU
"We just had a tornado touch down in our back yard 47th Ave N",0.0,1.0,0.0,0.0,NEU
"oh no ! Are you guys ok ?",0.262,0.476,0.262,0.0,NEU
"yes we are fine, fence down also. it was crazy it lifted up the whole lanai and bent it in half",0.181,0.723,0.096,0.2732,POS
"I'm in Largo That was scary. I was ""hiding"" in the kitchen and had BN9 on and they said I could expect, at the very least, a huge wind gust such as ~60mph. We got that for sure. Now it's just pouring, around 2"" an hour at the moment. So far at my house we've had 4.5"" of rain today. EDIT: We're up to nearly 7"" of rain now! Raining around 4.6"" per hour at my house.",0.065,0.895,0.04,0.243,POS
Where is it?? It’s nasty outside in Treasure Island.,0.167,0.532,0.301,-0.4137,NEG
near Seminole now as of 556pm,0.0,1.0,0.0,0.0,NEU
Ok thank you! Stay safe!,0.804,0.196,0.0,0.8011,POS
"How can you even know that?",0.0,1.0,0.0,0.0,NEU
looking at velocity which shows rotation (where your tornado would be) 🙂.. I’m a college meteorology student right now,0.0,1.0,0.0,0.0,NEU
"Cool! Doing some ""extra credit: work! 😆",0.578,0.422,0.0,0.6688,POS
"I read it was in your area of TI.",0.0,1.0,0.0,0.0,NEU
"me too. I thought very unusual sounding thunder -",0.0,1.0,0.0,0.0,NEU
