"TD 4 | The 11 am track is in and shows no big changes with the storm center staying west of our beaches. Hopefully the center stays far enough west to lower our surge potential, however a storm surge warning is now up from Aripeka north. Surge forecasts in these areas are 3-5', with 2-4' forecast for the rest of our coast.",Pos,Neu,Neg,Compound,Overall Sentiment
"we are driving north on 75 into GA and at least 50 or more electric trucks, portable restrooms, etc. are headed south.",0.0,1.0,0.0,0.0,NEU
we're about to be headed back south on 75 from Marietta to batten down the hatches.,0.0,1.0,0.0,0.0,NEU
"think you'll be fine.",0.375,0.625,0.0,0.2023,POS
"Just want to say thanks Dennis, we appreciate you!",0.545,0.455,0.0,0.7345,POS
I just talked about Denis to friends here in Tennessee. I trust his forecasts for storms that might endanger friends and family in Florida.,0.333,0.667,0.0,0.8591,POS
I have to drive from venice to orlando monday for a meeting— any idea what i should do? Im not very good with these radar maps😐,0.0,0.893,0.107,-0.3865,NEG
sounds like you have a cough coming on. 😁😂,0.263,0.737,0.0,0.3612,POS
lol,1.0,0.0,0.0,0.4215,POS
I’m so confused. Why is the weather app on my phone saying that the tropical storm is out there right now and the warning is until 7pm today???? Ugh! Why don’t they just let you do it?,0.0,0.79,0.21,-0.842,NEG
Where is Jim Cantore???...needs to stay away from Florida...perminatly 🤣,0.0,1.0,0.0,0.0,NEU
"It's not a hurricane. He only comes if it's a confirmed hurricane.",0.0,1.0,0.0,0.0,NEU
"I think it will be...near Pensacola...hope not ..stay safe",0.0,0.744,0.256,-0.3412,NEG
what does per,0.0,1.0,0.0,0.0,NEU
I’m in a tent at Fort DeSoto. Will it be ok to walk my dog around 2pm on Sunday?,0.115,0.885,0.0,0.296,POS
"I always say, whatever they pay Denis Phillips, it ain't enough.",0.0,0.865,0.135,-0.1027,NEG
"I'm wondering the same, my pet hamster, Fluffy Fiona needs to go out at 11:37am on Sunday. 😂🤣",0.0,1.0,0.0,0.0,NEU
I am willing to brave the elements for our precious fluffy Fiona. I am at your service 🇺🇸,0.336,0.664,0.0,0.7964,POS
#fionastrong,0.0,1.0,0.0,0.0,NEU
"Fluffy Fiona says thank you, she'll have her raincoat ready. #fionastrong",0.357,0.643,0.0,0.6124,POS
You're not gonna be out on a boat? Lightweight 😉,0.0,1.0,0.0,0.0,NEU
maybe unzip the door on your tent and look outside!,0.0,1.0,0.0,0.0,NEU
few rocks in your pocket and you are good,0.266,0.734,0.0,0.4404,POS
"Hi, we are tourists from EU. We are currently in Tampa Bay. We are considering to drive now (today) to West Palm Beach. Since we have a flight to catch on thursday from Miami. Would that be smart? Or is it better to stay put here in Tampa Bay.",0.109,0.891,0.0,0.6808,POS
"If it were me, I'd stay put in Tampa. The storm should be long gone from our area before you'd need to be in West Palm Beach. There's lots of rain and storms today all across Florida. But that's just me. Best of luck and thank you for visiting Florida. Safe journey home.",0.256,0.744,0.0,0.9578,POS
I agree. One thing we’ve learned from past storms if you really never know where it will hit. Many times we think we are getting a direct hit and it turns further south.,0.077,0.923,0.0,0.3612,POS
We have a flight home to Michigan Sunday at 7pm from SRQ. Are we crazy for holding out hope that it will take off as planned? Or do we need to start making a plan B?,0.087,0.85,0.064,0.2168,POS
So it’s staying off shore? Not wide enough for much? Sorry haven’t really been paying REALLY close attention cause last I heard it normal daily thunderstorms,0.0,0.935,0.065,-0.168,NEG
Thank you so much 😊 for the right information.,0.263,0.737,0.0,0.3612,POS
Any thoughts on the theory that it will turn back inland and stall in the Carolina/Georgia area?,0.0,0.899,0.101,-0.2023,NEG
he covered all that.,0.0,1.0,0.0,0.0,NEU
every model run is showing that stall. Carolina/Georgia could get the worst of this by far,0.0,0.704,0.296,-0.7096,NEG
thank you,0.714,0.286,0.0,0.3612,POS
not trying to freak you out Lisa. I'm just a weather nerd. It can change but all the models show it just sitting there.,0.07,0.864,0.066,0.0266,NEU
"okay… Ian destroyed our home with flooding and we have ptsd now. Also, friends that live in Savannah.",0.139,0.717,0.143,-0.0258,NEU
I know the feeling. Sandy got us in NJ years ago. So I know the weather anxiety. Now down in Florida and I follow these things very closely. Stay safe Lis and good luck,0.276,0.679,0.044,0.8344,POS
"you as well!",0.545,0.455,0.0,0.3382,POS
"Think flights will be delayed in Charlotte Thursday?",0.0,0.787,0.213,-0.2263,NEG
"Flight out of Tampa Monday morning at 7:30 AM. I hope it stays on schedule",0.182,0.818,0.0,0.4404,POS
When do we expect outer bands or rain in general to start tomorrow? Deciding if I should do prep today or in the am.,0.0,1.0,0.0,0.0,NEU
prep today....,0.0,1.0,0.0,0.0,NEU
What wind will the Tampa Bay area experience,0.0,1.0,0.0,0.0,NEU
Three hours ago the storm surge had lessened. Has that changed now?,0.0,1.0,0.0,0.0,NEU
"that’s because it was passing over Cuba- now, it has to get through the warm gulf waters. It’s a wait and see. But looks like it’s projecting more north of us.",0.144,0.856,0.0,0.5719,POS
I’m in Hudson and flooded in Idalia. The surge prediction an hour ago looks to be the same as Idalia. Just trying to get prepared if needed. I’d rather have winds and rain than a storm surge flood since we just got finished with repairs but I’m grateful it’s not worse!,0.162,0.838,0.0,0.8431,POS
When would crystal river need to watch coastal flooding?,0.0,1.0,0.0,0.0,NEU
"stay safe, my friend! 🙏🫂",0.681,0.319,0.0,0.75,POS
"Thoughts on Daytona?",0.0,1.0,0.0,0.0,NEU
"a little rain and wind. Nothing major",0.0,1.0,0.0,0.0,NEU
What about rainfall? In coastal area and would like to know rainfall in addition to surge of 2-4. Rainfall is a huge addition to surge. Thanks Denis Phillips,0.243,0.757,0.0,0.7717,POS
What’s the wind going to be like in New Port Richey and rainfall amount?,0.161,0.839,0.0,0.3612,POS
"Is this still tracking west?",0.0,1.0,0.0,0.0,NEU
Is it further out than Idalia was?,0.0,1.0,0.0,0.0,NEU
Got my shirt on!,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, thanks for always keeping us up to date and glad this thing is headed further away than we thought!
Not related but just tried your awesome beer while in Dunedin‼️",0.254,0.746,0.0,0.8718,POS
What is up with the rain total estimates? I thought is was 6 to 8” in Pinellas County and the Weather Channel is saying around 12”?,0.0,1.0,0.0,0.0,NEU
Is it safe to travel on I75 on Sunday morning?,0.244,0.756,0.0,0.4404,POS
The advisory says 6-10 inches of rain possible in St Pete! Do you concur?,0.0,1.0,0.0,0.0,NEU
Seems like a similar track as idalia. Denis Phillips do you think the center will be around 100 miles offshore?,0.122,0.878,0.0,0.3612,POS
let’s go boating tomorrow,0.0,1.0,0.0,0.0,NEU
"With all these questions I have no words",0.0,0.732,0.268,-0.296,NEG
honestly. It’s ridiculous. It’s like they don’t read anything he writes. And why would he keep track of planes and airports? Or weather in Georgia?,0.193,0.725,0.082,0.5204,POS
This is why some of y’all shouldn’t go and take all the waters from the store like a lot of you already did 🤣,0.106,0.894,0.0,0.3612,POS
Why are they always in the middle of the night.,0.0,1.0,0.0,0.0,NEU
Denis Phillips how far is the storm going to be from us. How far out the bands go? Haven't heard any info on size of storm. Ty for anyone's help,0.159,0.841,0.0,0.6486,POS
Hey Denis Phillips should the flights from NC be OK to Tampa/ st Pete on Monday or should reschedule for Tuesday?,0.128,0.872,0.0,0.4466,POS
they maybe affected all week,0.0,0.714,0.286,-0.1531,NEG
as he has said in 1000 posts he doesn’t keep track of flights. Check the airlines and airports.,0.0,1.0,0.0,0.0,NEU
Do you expect a lot of storm bands running thru the state..right side of the storm and all ? Orlando area here for reference,0.0,1.0,0.0,0.0,NEU
"Do you think Monday and Tuesday will still be rained out days in Siesta Key?",0.0,1.0,0.0,0.0,NEU
Denis Phillips Your thoughts please on how folks in Polk county will be affected?,0.145,0.755,0.101,0.1779,POS
he already covered that!,0.0,1.0,0.0,0.0,NEU
How Heavy For Hernando County? New to this,0.0,1.0,0.0,0.0,NEU
I remember TD Debby in 2012. I had just moved to St. Pete. The storm seemed to stand still and dumped a ton of rain in the Tampa area. People in Gulfport were kayaking in the road following TD Debby.,0.0,0.93,0.07,-0.4019,NEG
"Same in my Tarpon Springs neighborhood!",0.0,1.0,0.0,0.0,NEU
"totally differently situation.",0.0,1.0,0.0,0.0,NEU
"what time is the next update ? ( after 11am update)",0.0,1.0,0.0,0.0,NEU
5pm.,0.0,1.0,0.0,0.0,NEU
Will it be safe to drive north from Tampa Sunday morning on I-75?,0.195,0.805,0.0,0.4404,POS
"Hi , we are currently on vacation on Anna Maria Island - should we evacuate? Worried about a storm surge Please don’t judge I’m from the UK this is all new to me thank you 😊",0.133,0.806,0.061,0.3818,POS
"A Tropical storm is just a severe rainmaker the majority of the time. However, there is still time for things to change. I personally would monitor until later tonight and then make a decision of whether to go more inland. Just follow this thread as Denis is the best in his job without all the panic.
I hope you and your family enjoy the rest of your vacation here.",0.174,0.791,0.035,0.886,POS
thank you 😊,0.714,0.286,0.0,0.3612,POS
"I have been here all my life and the most important thing is do not panic. It can be unnerving at times, especially if you haven't been in this situation before.",0.146,0.854,0.0,0.5852,POS
"thank you",0.714,0.286,0.0,0.3612,POS
"I wouldn’t leave, but I wouldn’t plan anything outdoors tomorrow.",0.0,0.864,0.136,-0.0258,NEU
thank you,0.714,0.286,0.0,0.3612,POS
Nobody judges when it’s a storm.,0.0,1.0,0.0,0.0,NEU
"thank you",0.714,0.286,0.0,0.3612,POS
just keep an eye out and if you have to evacuate they will tell you.,0.0,1.0,0.0,0.0,NEU
Denis is the Xanax weatherman. Thanks for keeping us calm,0.394,0.606,0.0,0.6369,POS
My husband is flying into Tampa late Sunday night from SC. Hopefully it doesn't affect his flight.,0.144,0.856,0.0,0.4019,POS
following this.,0.0,1.0,0.0,0.0,NEU
following,0.0,1.0,0.0,0.0,NEU
Where’s Aripeka?.,0.0,1.0,0.0,0.0,NEU
here is who I follow regularly! Love him,0.428,0.572,0.0,0.6696,POS
thanks!,1.0,0.0,0.0,0.4926,POS
"Thanks, Denis. I so look forward to our little late summer chats. Lol. Keep the good news coming....",0.381,0.619,0.0,0.8225,POS
So nothing for pasco?,0.0,1.0,0.0,0.0,NEU
Wow. And poor Debby doesn’t even have her name attached yet!,0.253,0.556,0.191,0.2481,POS
When's the next forcast,0.0,1.0,0.0,0.0,NEU
5pm from the NHC.,0.0,1.0,0.0,0.0,NEU
also wondering,0.0,1.0,0.0,0.0,NEU
"I have one app stating it will hit Hernando Beach and Bayport within the next 36 hours.
Another app stating Tropical storm warning that will hit Inland Citrus, Inland Hillsborough, Inland Pasco, inland Sarasota, and Sumpter. A hurricane watch for Inland Levy. A tropical storm watch for Desoto, Inland Charlotte, Hardee, Inland Lee and Polk
Another is a Tropical Storm warning in effect for Brooksville, Spring Hill, and High Point",0.0,0.93,0.07,-0.5859,NEG
They've been blowing my phone up with text about the storm. Teco also.,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips for keeping us informed. Awesome work you do.,0.398,0.602,0.0,0.765,POS
Man. I sure do hate it when we pop out of the cone ….. these snacks aren’t going to stay safe til the next storm 😒😒😒 guess we gotta take one for the team. 🙃,0.134,0.771,0.095,0.128,POS
"Has it slowed down a bit? I thought previous reports said it would be right over our area starting Sunday early Morning, and now it looks more like Sunday night",0.094,0.906,0.0,0.4201,POS
"t looks like the times changed. It's moving slower.",0.263,0.737,0.0,0.3612,POS
"We are meant to be going to discovery cove tomorrow will it be open and how bad will the rain be. I’m from the uk on holiday but have been following Dennis Philips
Thanks",0.146,0.796,0.058,0.5346,POS
Hopefully it makes land fall during daylight hours. Stay Safe everyone.,0.384,0.616,0.0,0.6808,POS
"That's a heck of a jump in 60 seconds lol",0.286,0.714,0.0,0.4215,POS
"They put Tampa in a state of emergency too fast they should of waited",0.0,0.822,0.178,-0.3818,NEG
"they put the entire state in a state of emergency",0.0,0.755,0.245,-0.3818,NEG
"aaaannndd you are wrong!",0.0,0.469,0.531,-0.5255,NEG
"what?? Free tolls girl. 😂",0.55,0.45,0.0,0.5661,POS
so they don’t charge tolls when there’s a state of emergency?,0.0,0.776,0.224,-0.3818,NEG
that’s usually the rule. It’s put in place because of evacuation. Google to be sure but every other big storm tolls weren’t collected.,0.07,0.93,0.0,0.1655,POS
thank you,0.714,0.286,0.0,0.3612,POS
"Looks like it going to miss Sebring Florida altogether yeah!!",0.381,0.504,0.115,0.5696,POS
What can we expect in Bradenton?,0.0,1.0,0.0,0.0,NEU
Gusts in N Lakeland came out of nowhere,0.0,1.0,0.0,0.0,NEU
Thank you Dennis for all the updates .It is very much appreciated.,0.378,0.622,0.0,0.7251,POS
been following him since Irma! He is the best and very knowledgeable 😊,0.29,0.71,0.0,0.6696,POS
Crazzzy wind gusts in plant city already,0.0,1.0,0.0,0.0,NEU
follow this news page! We are down here now and it's been okay.,0.154,0.846,0.0,0.2942,POS
thank you!!,0.755,0.245,0.0,0.4738,POS
"of course! Where are you guys going?",0.0,1.0,0.0,0.0,NEU
"Destin, where are you guys?",0.0,1.0,0.0,0.0,NEU
I’m just happy it will be gone by mid-week. We’ve got big events going on next week to welcome students and faculty back to school at the university.,0.205,0.795,0.0,0.7717,POS
Ah! I am driving down from TN tomorrow. Hopefully I won’t get stuck before orientation on Thursday!,0.18,0.711,0.109,0.3147,POS
"oh, please drive safely!! We look forward to seeing you on Thursday. 🙂",0.378,0.622,0.0,0.7256,POS
Thank you! I postpone and will leave on Monday trying to avoid the worse of it and cross from GA to FLat an opportune time.,0.163,0.564,0.273,-0.3595,NEG
"safe travels to you. 🙂",0.492,0.508,0.0,0.4404,POS
