Models are beginning to agree on a general direction this system may take if and when it develops over the next 5-7 days.,Pos,Neu,Neg,Compound,Overall Sentiment
she doesn’t know better. I’ve lived here all of my 64 years of life. They’ve hit Tampa. Not as bad as Hurricane Andrew but they were bad. I was a little girl and I remember. People come from other states and think they know it all because it’s been such a long time. I never argue with them. I laugh at them.,0.228,0.772,0.0,0.9338,POS
Native American magic keeping us safe,0.367,0.633,0.0,0.4404,POS
"I love this comment 😊",0.677,0.323,0.0,0.6369,POS
someone with a dark sense of humor and intelligence. Hallelujah! Lol.,0.672,0.328,0.0,0.906,POS
one should never tempt fate.,0.0,1.0,0.0,0.0,NEU
"cue the ""Tampa Bay is over due "" comments 😂",0.0,1.0,0.0,0.0,NEU
it has not snowed here in nearly 50 years so we are overdue. Buy some scarves & mittens.,0.0,1.0,0.0,0.0,NEU
....and the Indian burial ground bullsh!t.,0.0,1.0,0.0,0.0,NEU
"Don't jinx it, Megan!!!!",0.0,1.0,0.0,0.0,NEU
"been here 50 years, I recall a few….",0.0,1.0,0.0,0.0,NEU
oh no you didn't !! You just had to say it.....didn't you......!!,0.0,0.766,0.234,-0.5216,NEG
NEVER UNDERESTIMATE MOTHER NATURE!,0.421,0.579,0.0,0.2914,POS
They need to get that SHIP outta here.. no one wants that spaghetti noodle.. you know that one for sure has touched the floor..,0.087,0.83,0.083,0.0258,NEU
and been stepped on! We live in Lakeland!,0.0,1.0,0.0,0.0,NEU
"there’s always one wacky spaghetti noodle",0.0,1.0,0.0,0.0,NEU
That’s the outlier.. just out here covered in someone’s hair.. that’s the piece of spaghetti that your mom warned you about.. that thing for sure has exceeded the 5 second rule.. 😆,0.071,0.864,0.065,0.0516,POS
"is that the noodle that you Throw at the wall?",0.0,1.0,0.0,0.0,NEU
"Did it slow down? I thought we were 3 days out",0.0,1.0,0.0,0.0,NEU
"slowed down. Last I heard Sun night, Mon earliest to start but then stalls and we get rain for days. Nothing spectacular Denis said. Just rain.",0.0,1.0,0.0,0.0,NEU
Same! I thought it was this Sun/Monday. I'm confused now. Lol,0.231,0.597,0.172,0.2003,POS
same! I thought it was coming this weekend not next,0.0,1.0,0.0,0.0,NEU
"yea, this Sunday. Yesterday the spaghetti models agreed on an East coast storm, now we're totally west. I was hoping the models were going to be better this year",0.244,0.756,0.0,0.7943,POS
"I've only heard him say next weekend!",0.0,1.0,0.0,0.0,NEU
"I'm sorry! I've been paying close attention, my husband is guard & they are doing some thing out in the wood...so we've been keeping a close eye, and all I've heard was next weekend, husband thought he'd get out of sleeping in the woods this weekend. 😂😂",0.0,0.965,0.035,-0.1511,NEG
it was predicted to develop over the weekend. That wasn’t the date for a potential landfall.,0.0,1.0,0.0,0.0,NEU
i thought the same.,0.0,1.0,0.0,0.0,NEU
I was wondering the same thing,0.0,1.0,0.0,0.0,NEU
"same I thought it was this weekend??? maybe he means next",0.0,1.0,0.0,0.0,NEU
Dennis said we're being stalked by a turtle 🐢 😆,0.0,1.0,0.0,0.0,NEU
"I remember moving here in Sept of 1990, and tropical storm ""Marco"" came through about 10 days later. I literally slept through it.",0.0,1.0,0.0,0.0,NEU
"i remember that one. Took my son to kindergarten class, then went to work. That one came on shore at St Pete Beach/mouth of Tampa bay.",0.0,1.0,0.0,0.0,NEU
The only visual I remember from that day is that by lunch I saw blue sky. Of course Andrew would change our view of hurricanes going forward a couple of years later. 🙂,0.0,1.0,0.0,0.0,NEU
"I actually still have the St Pete Times newspaper with Andrew, and the no name storm from the same time.",0.0,0.891,0.109,-0.296,NEG
Ah jeez. Why is there always that one track heading straight for my house? 😩,0.128,0.872,0.0,0.2263,POS
"👋 me too 😕",0.0,1.0,0.0,0.0,NEU
"St Pete Beach here",0.0,1.0,0.0,0.0,NEU
I feel ya. I'm Redington Shores and hoping no nasties come our way!,0.161,0.517,0.322,-0.4199,NEG
so that you can use this meme,0.0,1.0,0.0,0.0,NEU
"yep, that's me lol.",0.714,0.286,0.0,0.6124,POS
me too,0.0,1.0,0.0,0.0,NEU
You know it's going to develop. The Gulf is too hot.,0.0,1.0,0.0,0.0,NEU
yep it could rapid intensify,0.355,0.645,0.0,0.296,POS
Gulf is hot every summer,0.0,1.0,0.0,0.0,NEU
That SHIP needs to keep sailing somewhere else ✌🏼,0.0,1.0,0.0,0.0,NEU
It’s my fault. I’m planning on taking a vacation next week! lol,0.209,0.608,0.183,0.1007,POS
same! I’m freaking out,0.0,0.492,0.508,-0.4753,NEG
nope it’s my fault. I am on vacation there next week. 🤦‍♀️,0.184,0.816,0.0,0.3089,POS
me too,0.0,1.0,0.0,0.0,NEU
"Thanks a lot! lol",0.857,0.143,0.0,0.7177,POS
your vacation and back to school did it lol,0.259,0.741,0.0,0.4215,POS
me too😫,0.0,1.0,0.0,0.0,NEU
"We are lucky to have you keeping eyes on this,Denis...it's gonna be tricky and can blow up quickly in our hot gulf. Thanks for staying on it...❤",0.182,0.767,0.051,0.6249,POS
Ship doesn’t know about the secrets of tampa bay that keep us safe.,0.195,0.805,0.0,0.4404,POS
Do you think it will breakup a bit going over the mountains in Cuba?,0.0,1.0,0.0,0.0,NEU
there are no mountains in Cuba:) flat like a pancake,0.214,0.598,0.188,0.0772,POS
"fake news lol
https://peakvisor.com/adm/cuba.html",0.354,0.253,0.392,-0.0772,NEG
I stand corrected. It just looks flat when I fly over it. How high are those hills?,0.0,1.0,0.0,0.0,NEU
"6,476 feet, at its highest according to Britanica. I posted that and had to double check, too. I remember going on a cruise and saw mountains in the distance and was surprised it was Cuba. I also remember getting married and a system was heading our way and thankfully broke up over Cuba because of the mountains.",0.083,0.867,0.05,0.2263,POS
Just in time for back to school...,0.0,1.0,0.0,0.0,NEU
"always!!!",0.0,1.0,0.0,0.0,NEU
I don't know what SHIP is but they need to calm down.,0.228,0.772,0.0,0.4497,POS
there’s always that one that tries to defy the odds 😂. No one wants SHIP,0.0,0.864,0.136,-0.296,NEG
what is shipppo,0.0,1.0,0.0,0.0,NEU
These are predictions not promises LOL a lot to consider with 90+ water temps and September to go. Rule#7,0.0,0.76,0.24,-0.6197,NEG
Will we have wind sheer? I haven't been able to keep track?,0.0,1.0,0.0,0.0,NEU
I’m sure Tampa bay will be left out as usual. Would be nice to get the rain 🌧️,0.242,0.758,0.0,0.6249,POS
"rain won't be a question, it'll be how much, and based on the model runs we are going to be on the wet side.",0.0,1.0,0.0,0.0,NEU
"ummmmmm, that's a good thing. But we will be getting lots of rain from it still. Lots",0.115,0.885,0.0,0.2382,POS
I’m in pasco county I fully expect to get very little!!! We shall see,0.0,1.0,0.0,0.0,NEU
How intense though?,0.394,0.606,0.0,0.0772,POS
“If” it develops?? Let’s keep that “if” going!,0.0,1.0,0.0,0.0,NEU
Which color is the EURO? Purple? Read it’s blue,0.0,1.0,0.0,0.0,NEU
Keep moving west.,0.0,1.0,0.0,0.0,NEU
DPL tonight??,0.0,1.0,0.0,0.0,NEU
How long do these things tend to last once it hits?,0.0,1.0,0.0,0.0,NEU
too many variables to predict,0.0,1.0,0.0,0.0,NEU
"No way it’s hitting that southern most route, Tampa never gets hit. Or is that north of Tampa???",0.0,0.861,0.139,-0.4098,NEG
We don’t need this,0.0,1.0,0.0,0.0,NEU
"What noodle is the euro model",0.0,1.0,0.0,0.0,NEU
u mean the one that's always correct?,0.0,1.0,0.0,0.0,NEU
the penne noodle,0.0,1.0,0.0,0.0,NEU
So ship?,0.0,1.0,0.0,0.0,NEU
South Florida timing?,0.0,1.0,0.0,0.0,NEU
Now it’s 5-7???,0.0,1.0,0.0,0.0,NEU
"yeah I thought this weekend what in the world
We drive in to Orlando next Saturday",0.136,0.864,0.0,0.296,POS
it is expected to form in the next 5 days but effects could be felt beginning Sunday in the Bay Area. It could hang around before making landfall as well,0.086,0.914,0.0,0.3919,POS
"no they have been saying it would hit Sunday/minday",0.0,0.784,0.216,-0.296,NEG
The models I’ve seen show it hanging in the gulf still next weekend so nothing is certain yet,0.0,0.891,0.109,-0.2681,NEG
it hasn’t even formed yet,0.0,1.0,0.0,0.0,NEU
"yes",1.0,0.0,0.0,0.4019,POS
it doesn’t just stop when it makes landfall does it!!,0.0,0.764,0.236,-0.4184,NEG
i want it to gooooo awayyy,0.245,0.755,0.0,0.0772,POS
"So in reality, when will this be in the gulf?",0.0,1.0,0.0,0.0,NEU
What’s the ship model,0.0,1.0,0.0,0.0,NEU
"Still a lot of rain or is that further in the week now?",0.0,1.0,0.0,0.0,NEU
Is it coming to FL,0.0,1.0,0.0,0.0,NEU
"So looking at the models and your forecast looks like Tampa and for us in Carrollwood will be getting affected by this. Guess everyone still needs to wait and see too early just yet? Will there be high wind gusts with this assuming?
Do we need to bring stuff in from outside?",0.056,0.915,0.029,0.3485,POS
"still too early to tell. It hasn’t even formed into anything yet.",0.0,1.0,0.0,0.0,NEU
Always a model looking to just take tampa out 😅,0.0,1.0,0.0,0.0,NEU
"right in the perfect spot also, just north of us to push all that water into tampa bay and flood it out.....🤣",0.15,0.85,0.0,0.5719,POS
But it missed full head on,0.0,0.641,0.359,-0.4215,NEG
They always pick the most populated so they'll have more views 😄,0.0,1.0,0.0,0.0,NEU
I don’t want the purple ship line. Nope nope nope nope.,0.126,0.874,0.0,0.0772,POS
"Me neither",0.0,1.0,0.0,0.0,NEU
same!!!!,0.0,1.0,0.0,0.0,NEU
"same…eeks",0.0,1.0,0.0,0.0,NEU
The ship 🚢 one looks very interesting…. That would be directly at me 👀👀👀,0.0,1.0,0.0,0.0,NEU
"and basically everyone else watching this page since, you know, we're in the Tampa Bay area.",0.0,1.0,0.0,0.0,NEU
Actually there are others that watch this page too,0.0,1.0,0.0,0.0,NEU
im near gainsville,0.0,1.0,0.0,0.0,NEU
I'm citrus county but this is the only meteorologist I trust,0.331,0.669,0.0,0.6652,POS
I'm actually in SC and following so ..,0.0,1.0,0.0,0.0,NEU
"same here, most of my relatives live in Florida but even living in SC he is the most accurate.",0.0,1.0,0.0,0.0,NEU
"I'm in North Port. It actually matters because people travel, and trying to make plans",0.073,0.927,0.0,0.0258,NEU
I don't know what you found funny. Do you know how badly Ian hit us? We are filled with anxiety when it's hurricane season.,0.105,0.722,0.173,-0.2263,NEG
same. Trinity.,0.0,1.0,0.0,0.0,NEU
me too,0.0,1.0,0.0,0.0,NEU
This is why it's a waste following days in advance. First was more likely headed east side. 2 years ago Ian was headed to pan handle.Then ended up 500 miles away. Advance predictions are useless.,0.0,0.847,0.153,-0.6808,NEG
Just received a sandbag notification in the Tampa area. Is this overkill?,0.0,1.0,0.0,0.0,NEU
"Ugh. Poss Cat 1or 2 though, right?",0.0,0.641,0.359,-0.4215,NEG
"Nothing is even formed. I would not take that bet at all.",0.0,1.0,0.0,0.0,NEU
I don’t particularly care for the SHIP line. 🫠🥴,0.333,0.667,0.0,0.5413,POS
"Same here!
Hernando County",0.0,1.0,0.0,0.0,NEU
"I just bought 20,000 rolls of toilet paper, will that keep me safe? 🥴",0.209,0.791,0.0,0.4404,POS
5-7 days? I thought this thing was forecasted for this weekend?,0.0,1.0,0.0,0.0,NEU
same I thought this weekend also!!! So this isn’t expected to hit till Tuesday/Wednesday now??? 🤞🏼🤞🏼 we are headed to AMI tomorrow till the 10th!!! Hoping this passes completely and doesn’t washout the entire week,0.12,0.88,0.0,0.6713,POS
we are here now and it’s gorgeous but very very hot!,0.218,0.782,0.0,0.4199,POS
next weekend,0.0,1.0,0.0,0.0,NEU
nope. It’s physically impossible. It’s not even formed yet!,0.0,1.0,0.0,0.0,NEU
same here,0.0,1.0,0.0,0.0,NEU
What is the likelihood of an “Elena” situation?,0.0,1.0,0.0,0.0,NEU
20 percent,0.0,1.0,0.0,0.0,NEU
It’s the Stalling that’s the issue. The Flooding.,0.0,0.795,0.205,-0.2023,NEG
What happened to going East?? Ughh,0.0,1.0,0.0,0.0,NEU
"Subject to change, flotation devices recommended",0.265,0.735,0.0,0.2023,POS
Isn’t it typically the middle spaghet line that’s right?,0.0,1.0,0.0,0.0,NEU
a I’m sure you’re keeping an eye on this.,0.247,0.753,0.0,0.3182,POS
yep. I will wait to what it does but somewhere between the 11th and 14th I will be going up to TH,0.078,0.922,0.0,0.1531,POS
stay safe!,0.761,0.239,0.0,0.4926,POS
That SHIP model looks like it would be fun,0.453,0.547,0.0,0.7003,POS
5-7 days?! I thought it was coming end of this weekend/beginning of next week. I'm so confused with this one.,0.0,0.846,0.154,-0.5079,NEG
Time to my “rule #7” cup out!!!,0.0,1.0,0.0,0.0,NEU
"So if it's not for 5 days, why the ""state of emergency "" now?",0.0,0.809,0.191,-0.3818,NEG
"Denis , hows it looking for Dothan Alabama?",0.0,1.0,0.0,0.0,NEU
ask in about 4 days and he may be able to tell you. Still too far out.,0.0,1.0,0.0,0.0,NEU
I am thinking it will continue to shift West the next few days.,0.0,1.0,0.0,0.0,NEU
are any of these models AI-assisted? There was a really interesting article in the NYT recently on this topic!,0.162,0.838,0.0,0.5081,POS
Great question,0.804,0.196,0.0,0.6249,POS
"That one brings it into Hudson, across to Orlando and our the Cape! Gosh....I pray not! Prayers for anyone it hits! Hopefully it doesn't become a Hurricane 🌀",0.197,0.803,0.0,0.7074,POS
Ooh. That hook into central Florida. Not liking that strand,0.0,0.799,0.201,-0.3089,NEG
My money is on the one coming across.,0.0,1.0,0.0,0.0,NEU
"Yeah same models had it off the east coast two days ago.
Love computers and AI",0.314,0.686,0.0,0.7506,POS
How can you people be so far off of what’s going on.,0.0,1.0,0.0,0.0,NEU
Islands should put a hurting on this system,0.0,0.69,0.31,-0.4019,NEG
Is it looking like hurricane or just tropical storm?,0.238,0.762,0.0,0.3612,POS
"Denis, how reliable does the SHIP model tend to be?",0.0,1.0,0.0,0.0,NEU
More rain my grass already grows by the minute 🤣,0.0,1.0,0.0,0.0,NEU
"Just go to Texas and leave us be",0.0,0.854,0.146,-0.0516,NEG
perfect I don’t like Texas!!,0.772,0.228,0.0,0.7772,POS
SHIP must be new around here 😂,0.0,1.0,0.0,0.0,NEU
"Which is the euro model, because those labels in and north of Georgia are so blurry and unreadable -even with magnification.",0.087,0.831,0.082,0.0345,NEU
Great. I’m driving to Destin as we speak. Denis Phillips tell me there’s hope. My lil pop up camper can’t take a beating lol,0.308,0.597,0.094,0.7783,POS
I always remember rule 7!!!!!!!,0.0,1.0,0.0,0.0,NEU
Hope that ship spaghetti noodle is just an anomaly😬,0.266,0.734,0.0,0.4404,POS
"We will be on the east side and the water temp is high",0.0,1.0,0.0,0.0,NEU
That purple line can f right off,0.0,1.0,0.0,0.0,NEU
they are always way off. scientists can grow steaks in labs but they cant figure out whether a storm is gonna hit miami or texas,0.0,1.0,0.0,0.0,NEU
OMG!!! Rule number 7 people this happens every year!!!!😅,0.261,0.739,0.0,0.3544,POS
"NOT YET, 3 hurricanes were predicted to hit TAMPA BAY HEAD ON and AWAY THEY WENT ELSEWHERE",0.0,1.0,0.0,0.0,NEU
