A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
There was a break in the rain. The dog finally ran out in the yard for a minute. Now it’s thundering again in Holiday.,0.114,0.886,0.0,0.4019,POS
Does it seem like tropical storms are worse than hurricanes this relentless rain and wind is exhausting,0.168,0.582,0.251,-0.431,NEG
"only if you've never had a direct hit. Which I haven't, thankfully. So, be happy it's only a TS. 😀",0.196,0.689,0.115,0.3912,POS
"no, they aren't",0.0,0.476,0.524,-0.296,NEG
Not really.,0.0,1.0,0.0,0.0,NEU
no unless you’ve been through a hurricane they are mighty stronger than tropical storms. This is just a little piece of what you would get. I’ve been through several hurricanes we count our blessings that was not a hurricane.,0.148,0.799,0.053,0.5994,POS
Brooksville is getting hit now with sideway rains and wind gusts!,0.0,1.0,0.0,0.0,NEU
sending prayers for all 🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
"Bayshore in bradenton the wind is insane right now",0.0,0.748,0.252,-0.4019,NEG
I’m in west Bradenton. I’m expecting the windows to explode any minute.,0.0,1.0,0.0,0.0,NEU
"right!!! I’m by IMG and the gust are crazy",0.0,0.709,0.291,-0.5067,NEG
WHAT?,0.0,1.0,0.0,0.0,NEU
What time does the storm ends?,0.0,1.0,0.0,0.0,NEU
depends which warnings. 1am for flooding I believe and 6am for tornado warnings,0.0,0.694,0.306,-0.5267,NEG
Monday morning maybe early afternoon,0.0,1.0,0.0,0.0,NEU
next week,0.0,1.0,0.0,0.0,NEU
Very windy in Land O Lakes,0.0,1.0,0.0,0.0,NEU
Ugh this needs to end 😞,0.0,0.588,0.412,-0.4215,NEG
normal tropical storm,0.0,1.0,0.0,0.0,NEU
"how long have you lived here?",0.0,1.0,0.0,0.0,NEU
it's been raining non stop. Thank God we have power,0.333,0.507,0.159,0.34,POS
"Yeah I got two in 8mins, first a flash flood and now this one. They are relentless lol",0.323,0.677,0.0,0.6369,POS
Reported this spam dude,0.0,0.545,0.455,-0.3612,NEG
I work in Tampa..will it be okay to drive in tomorrow from hudson,0.147,0.853,0.0,0.2263,POS
yes,1.0,0.0,0.0,0.4019,POS
thank you!!,0.755,0.245,0.0,0.4738,POS
Ugh 😩 here comes all the rain we missed and all the rain we pray for!!,0.116,0.604,0.281,-0.508,NEG
The never ending storm!,0.0,1.0,0.0,0.0,NEU
"I saw Twister today at the movie. That was enough for one day.",0.0,1.0,0.0,0.0,NEU
"What does it look like for Spring hill? Cause I'm up here and I can see the weird clouds, but the Sun still out and it doesn't look like we haven't gotten any rain yet.",0.134,0.83,0.036,0.5647,POS
"For Sarasota, where the arrow is?",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
"🙂 Actually, I was asking Denis but now I see a bunch of posts about the Sarasota area.",0.0,1.0,0.0,0.0,NEU
"okay, just trying to help. This is the warning area.",0.329,0.5,0.171,0.296,POS
"TY for info, Denis post just came up & said for your area, confusing since we’re all in different areas 🌺",0.15,0.765,0.085,0.347,POS
It’s really coming down in Lutz right now,0.0,1.0,0.0,0.0,NEU
Still getting some good gusts in Seffner. Power out.,0.266,0.734,0.0,0.4404,POS
Ya be Safe🙏🙏,0.0,1.0,0.0,0.0,NEU
It keeps just saying “our area” but my weather app says we are just under a watch,0.0,1.0,0.0,0.0,NEU
it has an arrow on the map.,0.0,1.0,0.0,0.0,NEU
refer to the image,0.0,1.0,0.0,0.0,NEU
"Any updates from people in the Palmetto area, around the Tides RV Resort area?🙏",0.0,1.0,0.0,0.0,NEU
"My 2nd floor condo is vibrating! I love storms, but I think I’m done with this one.",0.171,0.829,0.0,0.4389,POS
"That was too close for comfort! Bee Ridge",0.285,0.715,0.0,0.4199,POS
so its passed?,0.0,1.0,0.0,0.0,NEU
Dennis thank you for your devotions to us at home,0.398,0.602,0.0,0.6486,POS
What area is this in,0.0,1.0,0.0,0.0,NEU
look at the white arrow,0.0,1.0,0.0,0.0,NEU
"the picture shows the area's name",0.0,1.0,0.0,0.0,NEU
"manatee and Sarasota counties",0.0,1.0,0.0,0.0,NEU
"all you have to do is watch the news alert to see exactly where the alert went out to those two counties and it was centralized near Lakewood Ranch and Parrish. Expert lol, little cranky tonight I see.",0.175,0.825,0.0,0.7351,POS
read the photo posted,0.0,1.0,0.0,0.0,NEU
arrow points to it,0.0,1.0,0.0,0.0,NEU
osprey to Bradenton,0.0,1.0,0.0,0.0,NEU
ABC is playing honey I shrunk the kids.,0.231,0.769,0.0,0.2023,POS
as I write that comment I was watching honey I shrunk the kids and changed it. I just switched back and it’s on,0.0,1.0,0.0,0.0,NEU
no it's playing the movie,0.257,0.429,0.314,-0.1027,NEG
Clearwater airport opened?,0.0,1.0,0.0,0.0,NEU
I highly doubt it.,0.0,0.417,0.583,-0.4201,NEG
My daughter is supposed to board a plane in NY in 10 minutes headed down. The flight is still not canceled,0.0,1.0,0.0,0.0,NEU
"oh it’ll be canceled….im almost sure of it.
They just canceled a flight from Trenton to Tampa. It was supposed to board soon.",0.087,0.913,0.0,0.2516,POS
"I know my husband is flying into Tampa tonight. Flight was delayed but now landing at 2 am, but may very well be canceled too!",0.131,0.813,0.056,0.4463,POS
my husband’s flight took off👍,0.0,1.0,0.0,0.0,NEU
The plane took off…but not with her on it. Due to land at 1:33am,0.0,1.0,0.0,0.0,NEU
Power has been out for an hour in Shady Hills/Pasco,0.0,1.0,0.0,0.0,NEU
God help us,0.828,0.172,0.0,0.5859,POS
praying for you all 🙏,0.455,0.545,0.0,0.3612,POS
Reminds me of hurricane Elena that hung right off the coast and did so much damage to beach areas.,0.0,0.838,0.162,-0.539,NEG
Denis Phillips what time am I really gonna have to worry about tornadoes in the Weeki Wachee area? Should I stay up all night?,0.0,0.866,0.134,-0.504,NEG
Does anyone know how St Pete held up? Got to drive there tmw,0.0,1.0,0.0,0.0,NEU
I’m never going to sleep tonight,0.0,1.0,0.0,0.0,NEU
yup,0.0,1.0,0.0,0.0,NEU
omg,0.0,1.0,0.0,0.0,NEU
How can I? This is going on all night and supposed to get worse. I just think tornado warnings will be all night long,0.0,0.798,0.202,-0.6486,NEG
I am very thankful that I still have power!,0.417,0.583,0.0,0.6468,POS
i’m right there with you. This storm is getting to be a little much 🙄,0.0,1.0,0.0,0.0,NEU
Pouring and super windy for the past 2 hours in Brandon,0.302,0.698,0.0,0.5994,POS
"“Our area”, I’m not getting any alerts for “our area”. 🤷🏻‍♀️",0.0,1.0,0.0,0.0,NEU
We lost power in Bloomingdale.,0.0,0.635,0.365,-0.3182,NEG
Valrico?,0.0,1.0,0.0,0.0,NEU
we have a house in Redington Beach and No Power 🥴,0.0,0.784,0.216,-0.296,NEG
Newbie- do you all wake your young kids and bring them down to the first floor? Only “interior room” down there is a tiny bathroom.,0.0,1.0,0.0,0.0,NEU
"Are you from up north? Follow the same protocol.",0.0,1.0,0.0,0.0,NEU
up north we have something called a basement,0.0,1.0,0.0,0.0,NEU
"First floor, interior room. The water tables are too high for basements, fyi.",0.13,0.87,0.0,0.2023,POS
I do know this about the water tables.,0.0,1.0,0.0,0.0,NEU
"Not all the time. I didn’t have a basement in my last two places in the Midwest. Head for a windowless room, or under a stairwell.",0.0,1.0,0.0,0.0,NEU
do you have space or a closet that is under a staircase?,0.0,1.0,0.0,0.0,NEU
Yes. I've been in southeast Florida for 13 years and I've always woken up my kids to go to an interior room or bathroom downstairs.,0.101,0.899,0.0,0.4019,POS
That’s what you do.,0.0,1.0,0.0,0.0,NEU
"You’ll want them close if there’s a tornado warning.",0.134,0.619,0.247,-0.2732,NEG
Denis Phillips. Has the track moved east towards citrus or is that false?,0.0,1.0,0.0,0.0,NEU
I wanna know too,0.0,1.0,0.0,0.0,NEU
I usually only listen to Denis but he’s not answering. The other groups r saying it I just heard two trees come down. I went out there but too dark n I got soaked n lightening flashing. I came in,0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips for your coverage!,0.39,0.61,0.0,0.4926,POS
Prayers,0.0,1.0,0.0,0.0,NEU
Debby is still a tasmanian devil here in Largo. I have no clue what I'm going to see in the morning. I might see it earlier if my front door blows off. It sounds like it might!,0.062,0.767,0.171,-0.6588,NEG
u good,1.0,0.0,0.0,0.4404,POS
💯 that wind was just noisy!,0.0,0.668,0.332,-0.2481,NEG
I went to ABC action News & it shows tornado in Citris County,0.0,1.0,0.0,0.0,NEU
"Ya be Safe🙏🙏",0.0,1.0,0.0,0.0,NEU
ty Diana you to🙏,0.464,0.536,0.0,0.3818,POS
Very windy in east englewood,0.0,1.0,0.0,0.0,NEU
I'll be glad with this hurricane season is over,0.273,0.727,0.0,0.4588,POS
"Oldsmar without power Harbor Palms.",0.0,1.0,0.0,0.0,NEU
Our door is shaking…I’m freaking out 😫,0.0,0.641,0.359,-0.4215,NEG
A watch or warning? In Oklahoma a warning means a tornado has been seen or looks like one may be forming. Watching you from 22 hours away since I have a kid in Orlando. Thanks for the updates!,0.144,0.734,0.122,0.2244,POS
it’s the same everywhere…,0.0,1.0,0.0,0.0,NEU
well he keeps saying warning and it confuses me because my daughter is living in Orlando and I can’t figure out- is a tornado being seen? We are very savvy about tornados in Oklahoma but I am 22 hours away from my daughter in Orlando. So just trying to make sure I know where it is.,0.081,0.859,0.06,0.2846,POS
Im from Oklahoma. It means the ingredients are there and rotation is seen! Get ready,0.166,0.834,0.0,0.4199,POS
"rotation and possible funnel cloud makes it a warning. I lived in Orlando for 5 years before moving to the west coast in 2020. She should take cover if they have a warning, but I am guessing they are not like the ones you may have experienced. I hope your daughter is safe.",0.157,0.735,0.109,0.5697,POS
it is just hard trying to guage what is happening in Orlando living in Oklahoma. And she doesn’t have cable so she isn’t watching tv. I am used to our meteorologists in Oklahoma on tv and knowing exactly where it is headed and when.,0.0,0.968,0.032,-0.1027,NEG
"well you’re on the right post. Denis Phillips is the most reliable meteorologist to follow as he doesn’t fear monger. I have never had cable. Your daughter can watch many media sources on her phone, including the many meteorologists on here. I understand the worry, but I am sure she is okay!",0.129,0.797,0.073,0.4753,POS
warning can be radar indicated if the radar is pickingvup on winds that are rotating to and from the radar .But also there us a warning when someone see them but usually they will say confirmed,0.0,0.873,0.127,-0.5859,NEG
"yes as an Oklahoman we are very familiar with tornado watches and warnings. I am 22 hours away from my kid who isn’t paying any attention so just trying to guage what is happening there so if I need to alert her I can. We are very fortunate here that our meteorologists tell us within a mile usually where it is and we watch it on tv as it approaches. Don’t usually take shelter unless it is about 3 or so miles away. It is so hard to know what is going on from this far. My daughter is just watching Netflix on her phone living her best life not worrying - so you know, I do the worrying and checking for her! 🤣",0.129,0.839,0.032,0.9116,POS
"it does not. It means that one is either radar indicated or spotted. 🙄
And before ya ask-I’ve lived in OK, TX, KS, MN, and WI-
This is a WARNING",0.18,0.729,0.091,0.4648,POS
It's getting bad where we are in the Brandon area.,0.0,0.72,0.28,-0.5423,NEG
"Pouring buckets in Citrus County",0.0,1.0,0.0,0.0,NEU
"Nooooo I’m in Pinellas park and electric out since 8. Duke said lightening strike and crew working on. Over 2500 out",0.0,0.93,0.07,-0.128,NEG
im.in Pinellas park on.gandy. Haven't lost power. I thought inheard a kind of boom a few hours ago but didn't see anything or hear anything more. The lightning strike is probly what I heard,0.047,0.885,0.068,-0.1691,NEG
We are getting some serious rain,0.0,0.794,0.206,-0.0772,NEG
"Winds are picking up a little on the point. Thunder and lightning in the distance.",0.0,1.0,0.0,0.0,NEU
"Hoping y'all are safe 🙏🙏🙏🙏🙏",0.655,0.345,0.0,0.6908,POS
"I have ABC action news app on and nothing is broadcasting",0.0,1.0,0.0,0.0,NEU
"Denis has been on air for hours and hours",0.0,1.0,0.0,0.0,NEU
it was off and then went back on,0.0,1.0,0.0,0.0,NEU
Spring Hill Be safe Nothing right now. Had some thunderstorms earlier. Seems pretty quiet waiting,0.319,0.681,0.0,0.7269,POS
Stay safe,0.744,0.256,0.0,0.4404,POS
Headed toward the UTC mall,0.0,1.0,0.0,0.0,NEU
Anna Maria Island now,0.0,1.0,0.0,0.0,NEU
where on the island is this? 🙁,0.0,1.0,0.0,0.0,NEU
im right on Bean Point,0.0,1.0,0.0,0.0,NEU
"that is one of our favorite places on earth. Stay safe!",0.408,0.592,0.0,0.7345,POS
"yess unfortunately we aren’t getting to enjoy it",0.276,0.517,0.207,0.2023,POS
"I'm so sorry. We have been looking for a home on the island for a while now, but this is the stuff that scares me! And we are moving our daughter into U Tampa next week so...🥺",0.0,0.872,0.128,-0.5702,NEG
I live in Tampa and my family is telling me its fine over there just some rain and heavy wind don’t worry been there for 27 years never had to evacuate because of a hurricane,0.05,0.868,0.081,-0.2732,NEG
"In safe links above fyi",0.61,0.39,0.0,0.5719,POS
"Lost out for about 2 hrs. Not to bad",0.256,0.538,0.206,0.1406,POS
"Oh no! I'm o k here so far, and in for the night",0.0,0.801,0.199,-0.3595,NEG
Tasmanian Devil Debby is wreaking havoc here by SRQ airport. We’re camped out in the bathroom waiting out the craziness. 😒😒😒 #GoHomeDebbyYoureDrunk,0.0,0.635,0.365,-0.8979,NEG
"I don't like Debby.",0.0,0.487,0.513,-0.2755,NEG
"You're ranking right up there with Hawk Tuah girl right now, Denis 🤦‍♀️🤣",0.0,1.0,0.0,0.0,NEU
"Y'all stay safe! Hunker down. This isn't over yet! Keep your phone's charged if you still have power, otherwise conserve your battery. The Sun Will Come Out Tomorrow....um, maybe next day? 🤷 Hang tight.",0.096,0.854,0.05,0.3987,POS
"this is now this is where you’re at",0.0,1.0,0.0,0.0,NEU
is she okay?,0.487,0.513,0.0,0.2263,POS
"IM HOME! I made safely! Thank you!",0.622,0.378,0.0,0.7633,POS
Hope all of you are safe tonight!,0.549,0.451,0.0,0.7263,POS
"I no longer live in Fl, but thank you",0.3,0.553,0.147,0.3919,POS
I live on the 2nd floor if a cement building so 🤷. My prayers ti the ones in big bend area,0.0,1.0,0.0,0.0,NEU
