"TD 4 | The 5 am advisory is in. TD 4 will slowly strengthen over the next 24 hours as it moves into the Gulf. The track will stay west of Tampa Bay, but still close enough to us for widespread showers and storms, isolated tornados and some minor storm surge. Details all morning on Good Morning Tampa Bay.",Pos,Neu,Neg,Compound,Overall Sentiment
I see a low grade Cat 1 before landfall as it will start to slow down and have time in the warm water to build. Let's hope it shifts more to the west!,0.149,0.79,0.061,0.4574,POS
"Thank you Dennis Now you need to get some rest We will need you later. Thanks again, the best.
Just make sure you have the suspender's own",0.341,0.659,0.0,0.8979,POS
Is Orlando good?,0.592,0.408,0.0,0.4404,POS
I’m planning to drive to Miami return tomorrow afternoon or Monday did you think is safe,0.162,0.838,0.0,0.4404,POS
"Jacksonville, Fl looks like we're gonna get some rain m winds",0.217,0.783,0.0,0.3612,POS
No flight delay outta Tampa 🤣,0.0,0.4,0.6,-0.5423,NEG
"I hope now. On my airline all flights are full today and tomorrow.
They actually sent me an email asking me if I want to give up seats and for what price would I sell them back to them.",0.11,0.89,0.0,0.4939,POS
"Driving home from Atlanta to Lakeland tomorrow, or supposed to. Should I leave early and go, or wait an extra day ish?",0.0,0.943,0.057,-0.0516,NEG
I’d want to be south of the Big Bend area and home tomorrow myself.,0.091,0.909,0.0,0.0772,POS
I personally would leave today. Stay safe.,0.358,0.494,0.148,0.4019,POS
if it was me I'd prob leave early.,0.0,0.854,0.146,-0.0516,NEG
"I live in Sanford, where not in the path of it but not too far out of it, what should we expect from this storm?",0.0,1.0,0.0,0.0,NEU
rain,0.0,1.0,0.0,0.0,NEU
"Thank you, Denis for the update. I appreciate you.",0.464,0.536,0.0,0.6369,POS
"Denis Phillips any recommendations who to follow in NE fl? Moved to jax and still checking you for hurricane tracks, but I need to know who is the Denis of jax area for regular weather, if you know of any 🫣",0.0,1.0,0.0,0.0,NEU
no one is as good as Dennis. We moved as well and still follow for the “real” story,0.225,0.676,0.099,0.4215,POS
I never said as good....just...I need someone local since Denis doesn't feel like covering my afternoon rain showers for me 😄,0.0,0.895,0.105,-0.2755,NEG
"the best I’ve found is Richard Nunn on Channel 4 news. WJXT",0.296,0.704,0.0,0.6369,POS
thank you!,0.736,0.264,0.0,0.4199,POS
What can Destin expect?,0.0,1.0,0.0,0.0,NEU
"rain and 50mph gusts I imagine.",0.0,1.0,0.0,0.0,NEU
I am in Panama City for an afternoon birthday party. If I leave now can I make it to Lklnd without too much bad driving weather?,0.207,0.748,0.045,0.6542,POS
you’ll be fine driving today.,0.31,0.69,0.0,0.2023,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
"How do you think this will affect Key West?",0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
Where does it then go after that? Could it hang around over the ocean or come back to the land on the west?,0.0,1.0,0.0,0.0,NEU
What about Ocala?,0.0,1.0,0.0,0.0,NEU
it's south of Gainesville but really bad traffic at its interstate exits.,0.0,0.679,0.321,-0.7343,NEG
"So will we get rain and wind? We are on southwest side.",0.0,1.0,0.0,0.0,NEU
I'm not a meteorologist,0.0,1.0,0.0,0.0,NEU
OH LOL,0.737,0.263,0.0,0.4215,POS
"So Panama City like bay county??",0.385,0.615,0.0,0.4808,POS
"What is 'minor' storm surge?",0.0,1.0,0.0,0.0,NEU
"probably around 1 foot or so, depending on your location and the timing of the high tide.",0.0,1.0,0.0,0.0,NEU
"Which ABC weather app should I download?",0.0,1.0,0.0,0.0,NEU
"Good morning Denis
Praying for everyone
I’m concerned about st Pete beach.",0.351,0.649,0.0,0.6597,POS
"it looks like we will be good, projected rainfall is 4.35 inches here.",0.329,0.671,0.0,0.6597,POS
"Thank you for the update, I know you're busy, but try to have a good day ☺️",0.301,0.699,0.0,0.6808,POS
Thanks for the info,0.492,0.508,0.0,0.4404,POS
Denis Phillips I’m supposed to be moving my daughter back into her apt at FSU on Monday-Tuesday. We only have a 48 hr window to get it done. 😳😳,0.0,1.0,0.0,0.0,NEU
"call her apartment or dorm, if you haven’t already! I live in Tallahassee and if that thing hits us, we won’t have power Monday and Tuesday and most things will be closed.",0.0,1.0,0.0,0.0,NEU
"good idea, I’ll call before heading that way in case they will give us more than 48 hrs to get her stuff moved out of the old apt.",0.097,0.903,0.0,0.4404,POS
"You are totally Awesome",0.594,0.406,0.0,0.659,POS
"Ocala, fl?",0.0,1.0,0.0,0.0,NEU
yes I am wondering also 🤔,0.474,0.526,0.0,0.4019,POS
he can,0.0,1.0,0.0,0.0,NEU
Looks like the same path as hurricane Idelia last year -right into Big Bend and hitting the Perry area.,0.122,0.878,0.0,0.3612,POS
Thanks for the update. Just passing on info regarding a family member trying to get in early Saturday morning from Philadelphia to Tampa and her American Airlines flight was canceled last minute. Due to weather,0.081,0.919,0.0,0.4404,POS
Looks like mostly rain in Largo. Whew! Stay dry friends ☔️,0.396,0.604,0.0,0.7088,POS
Well a very good morning WOWS BROTHER DO YOU EVER SLEEP 💤 LOL have a BLESSED DAY PEACE ✌️,0.684,0.316,0.0,0.9709,POS
Good for Sarasota County👍🏻,0.492,0.508,0.0,0.4404,POS
Thanks for the update!,0.516,0.484,0.0,0.4926,POS
Is this the same as the 11pm update ?,0.0,1.0,0.0,0.0,NEU
it's further west 5am update and is a tropical depression according to post,0.0,0.748,0.252,-0.5719,NEG
no. This is the 5am update,0.0,0.694,0.306,-0.296,NEG
thinking the same. Cedar Key doesn’t need another storm 😭,0.0,1.0,0.0,0.0,NEU
"Landing near Crystal river for a second time is an interesting choice
Good luck, and fill up now 🙂",0.381,0.619,0.0,0.8225,POS
"landfall should be north of Citrus County, but we'll get a moderate storm surge from this, if the track stays the same.",0.0,1.0,0.0,0.0,NEU
"Thanks for the update.",0.492,0.508,0.0,0.4404,POS
"thank you for always keeping us updated",0.294,0.706,0.0,0.3612,POS
Thank you for keeping us posted,0.333,0.667,0.0,0.3612,POS
Thank you for the update!,0.411,0.589,0.0,0.4199,POS
"What is good morning Tampa Bay?",0.367,0.633,0.0,0.4404,POS
here you go 😊,0.0,1.0,0.0,0.0,NEU
Thank you !,0.736,0.264,0.0,0.4199,POS
Thanks for the early am update!,0.39,0.61,0.0,0.4926,POS
"Looks like you’ll be great this weekend!!!!",0.608,0.392,0.0,0.8302,POS
"To young to make legal decisions for itself. Will need a legal guardian for most things. Restricted from buying tobacco, alcohol, firearms, and lottery tickets.",0.112,0.781,0.107,-0.2212,NEG
Denis Phillips- dOES TPA usually close for these conditions?,0.0,1.0,0.0,0.0,NEU
I would suspect no. There may be a few delays if the weather gets squally but this sounds like our normal summertime storms.,0.133,0.736,0.131,0.2617,POS
Yes I like this prediction.,0.722,0.278,0.0,0.6369,POS
You're always our source for watching tropical development. Thanks Denis.,0.244,0.756,0.0,0.4404,POS
"It is going to go even further west. I will save my sandbags for the next one.",0.176,0.824,0.0,0.4939,POS
Great news!,0.815,0.185,0.0,0.6588,POS
Dang we are gonna take a direct hit again. We still have houses messed up from idelia! Some just finished repairs. Gonna be a fun few days coming up.,0.116,0.807,0.077,0.2942,POS
Looking better for us,0.492,0.508,0.0,0.4404,POS
Euro is never wrong,0.46,0.54,0.0,0.3724,POS
"agree",1.0,0.0,0.0,0.3612,POS
One model and the rest showing it close to tampa stop believing all the spaghetti models and just wait and see that's Florida problem always making tone of maps but not accurate until it's closer,0.0,0.905,0.095,-0.3506,NEG
looks like more west of us so far,0.263,0.737,0.0,0.3612,POS
100 year blessing at work,0.444,0.556,0.0,0.4939,POS
That's just for Pinellas county,0.0,1.0,0.0,0.0,NEU
Thank you Dennis you are amazing and so dedicated.,0.615,0.385,0.0,0.8622,POS
It didn’t make it to Cat 1 hurricane 🌀. I hope we don’t see any stronger.,0.314,0.686,0.0,0.6705,POS
Go west little girl... Debbie... 🙏,0.0,1.0,0.0,0.0,NEU
I’m in Steinhatchee. We’ve had enough.,0.0,1.0,0.0,0.0,NEU
Praying…,0.0,1.0,0.0,0.0,NEU
Thank you. I've even suggested your page to a friend in Houston,0.388,0.612,0.0,0.6908,POS
Thank you for the update,0.385,0.615,0.0,0.3612,POS
Good staying off the keys. 🔐,0.42,0.58,0.0,0.4404,POS
And just like that…,0.455,0.545,0.0,0.3612,POS
"Thank you for all you do!",0.358,0.642,0.0,0.4199,POS
hopefully it keeps going west!,0.428,0.572,0.0,0.4574,POS
"Thoughts on flights into Tampa on Sunday night?",0.0,1.0,0.0,0.0,NEU
Similar to Elsa path 2021 and strength . Big bend area .,0.262,0.738,0.0,0.4939,POS
"I’m flying in from Zurich tomorrow. Sure hope my flight isn’t cancelled!🤞
As of right now it’s on schedule.🤞🤞🤞",0.244,0.756,0.0,0.6696,POS
"Zurich... My favorite airport for my favorite places.. safe travels",0.56,0.44,0.0,0.836,POS
stay safe girlie 🙏🏼,0.492,0.508,0.0,0.4404,POS
thank you friend! We will ride it out,0.5,0.5,0.0,0.7177,POS
"these things are so unpredictable 🌀… I work tmrw at 8am 😂 so I’ll be driving through it…
Hoping she stays chill when she takes that northern turn….",0.101,0.899,0.0,0.4215,POS
"I bought some noodles, thinking an inflatable kayak and float down the street for fun",0.202,0.798,0.0,0.5106,POS
"Not really relevant to this storm, but thought I'd share anyway.
I live in Pasco county now, but when hurricane Irma hit, I lived in Lee county. I took in a few people and animals that had no other place to ride it out, and found out quickly how ill mannered some folks can be.
Someone ate all of my hurricane snacks and then pooped in my recliner. I wish I could say it was a dog, but that would be a lie.
It was my step son's girlfriend's father.
Giving him safe shelter might have been the nice thing to do, but he was a nightmare house guest.",0.146,0.798,0.056,0.8885,POS
I have so many questions …,0.0,1.0,0.0,0.0,NEU
you were right it wasn't retrieve relative... And didn't need to be shared.,0.167,0.833,0.0,0.34,POS
Nobody made you read or comment about it. You could have kept scrolling.,0.0,1.0,0.0,0.0,NEU
i agree.,1.0,0.0,0.0,0.3612,POS
why?,0.0,1.0,0.0,0.0,NEU
why?,0.0,1.0,0.0,0.0,NEU
"Much better news thanks Denis Phillips",0.592,0.408,0.0,0.7003,POS
"Go 🌬️ out to sea 🌊without harming 🏝️",0.0,0.66,0.34,-0.5574,NEG
🤞,0.0,0.0,0.0,0.0,NEU
right…no pool day.,0.0,1.0,0.0,0.0,NEU
👀🌀,0.0,1.0,0.0,0.0,NEU
"we are praying y’all get no flooding",0.258,0.515,0.227,0.0772,POS
"saw this last evening",0.0,1.0,0.0,0.0,NEU
Tocobagga Indians working their magic once again!,0.0,1.0,0.0,0.0,NEU
"Thank you!! 🙏🏼 and thank you for the update. From Arcadia",0.383,0.617,0.0,0.6792,POS
"Thank you for all your hard work Den.",0.253,0.606,0.141,0.2732,POS
stay safe Joanie. I follow Denis also.😘😘😘,0.367,0.633,0.0,0.4404,POS
"I am so glad you told me to follow Denise, he works so hard and helps to keep things real, no hype!",0.234,0.618,0.148,0.5239,POS
Lee county here. Thanks for the straight info without the hype or politics!,0.316,0.684,0.0,0.6239,POS
Thank you for the calm update. 🙂,0.545,0.455,0.0,0.5859,POS
"Thanks, Denis!",0.761,0.239,0.0,0.4926,POS
Thank you Denis,0.556,0.444,0.0,0.3612,POS
"Thank you, Denis. 💕",0.556,0.444,0.0,0.3612,POS
"go west little debbie go west. xoxoxo",0.0,1.0,0.0,0.0,NEU
Thank you!,0.736,0.264,0.0,0.4199,POS
Thank you 😊,0.714,0.286,0.0,0.3612,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Darn,0.0,1.0,0.0,0.0,NEU
follow him,0.0,1.0,0.0,0.0,NEU
Thank you Denis!,0.583,0.417,0.0,0.4199,POS
