A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
you can always chat here if you're lonely,0.0,0.737,0.263,-0.3612,NEG
Lots of lightning and no power here in Dunedin,0.0,0.784,0.216,-0.296,NEG
"This is the craziest storm I’ve seen in my entire life and I’m a native",0.0,0.915,0.085,-0.0516,NEG
I agree. Born and raised in South Tampa. The craziest storm I've seen too. These heavy rain bands and wind gusts are crazy. I read earlier and obviously things can change but living inland said we wouldn't have the rain and wind like other areas and yet we have had torrential rains and winds in and off all day. Still its weird and unbelievable out there. We are in Carrollwood.,0.097,0.837,0.065,0.5187,POS
I'm in ocala. Lots of rain.,0.0,1.0,0.0,0.0,NEU
"been here 40 years and yes!!! Your right!!",0.356,0.644,0.0,0.5951,POS
ditto. I just had a hurricane shutter ripped off my house. .Bizarre. Mini tornado?,0.0,1.0,0.0,0.0,NEU
been here almost 4 yrs from NJ! Told hubby tonight I don’t think I want to live in Fl anymore! This storm is giving me panic attacks! 😫😫😫,0.116,0.661,0.223,-0.6571,NEG
"Wow, just scary stuff! Stay safe! This storm is going crazy. Never a went so much torrential raining in my life. Wondering how much we got her her Carrollwood area, which is Northwest area of Tampa. Its been absolutely insane raining here. It will stop for a few then start up again. The winds are whats keeping me up. Its pelting against our windows. My husband is sound asleep me sitting here worried since we're in a Flash Flood warning and Tornado watch until 5am.",0.069,0.765,0.165,-0.8062,NEG
we’re here from NJ. I’m stressed out. I’ll take a blizzard over this any day. Very nerve wracking.,0.0,0.87,0.13,-0.34,NEG
that’s the sad part I moved here cause snow storms were making my anxiety so bad and hubby said the west coast of Fl was the safest from hurricanes ! Now all I want to do is move ! 😢😫,0.089,0.691,0.22,-0.783,NEG
I’ve been coming here as my 2nd home for over 12 years. This is the worse I’ve seen. This is a very unusual storm. She’s moving extremely slow.,0.0,0.893,0.107,-0.4767,NEG
It's still crazy here for hours in SW Largo. High winds!!,0.0,0.77,0.23,-0.4559,NEG
absolutely relentless!,0.641,0.359,0.0,0.1986,POS
I know!! It won't end,0.0,1.0,0.0,0.0,NEU
Even still now!,0.0,1.0,0.0,0.0,NEU
When is this ending for Hillsborough county?,0.0,1.0,0.0,0.0,NEU
morning I believe,0.0,1.0,0.0,0.0,NEU
what are the implications for Tallahassee? when will it hit there?,0.0,1.0,0.0,0.0,NEU
"will make land fall there about 8 am...",0.0,1.0,0.0,0.0,NEU
I think they said it will make landfall at 8am,0.0,1.0,0.0,0.0,NEU
thank uou,0.714,0.286,0.0,0.3612,POS
thank you! My daughter is at fsu and she needs to get home (Palm coast) so I’m trying to figure out if/when she could leave tally tomorrow,0.096,0.862,0.041,0.3802,POS
Does Rule #7 apply yet?!,0.0,1.0,0.0,0.0,NEU
My roof is leaking all along the front ugh 😩 times like this I’m glad I rent.,0.271,0.591,0.138,0.4019,POS
Stay safe everyone just landed in Tampa,0.326,0.674,0.0,0.4404,POS
What time will this tornado warning end,0.0,0.714,0.286,-0.34,NEG
"Hi Patricia, I did not get an alert on this one. Looks like it is above us.",0.136,0.761,0.103,0.1561,POS
thanks you,0.744,0.256,0.0,0.4404,POS
I'm wondering when the next update will be?,0.0,1.0,0.0,0.0,NEU
Where do I access Denis Phillips’ chat?,0.0,1.0,0.0,0.0,NEU
"click on his picture with a red circle, next to his name",0.0,1.0,0.0,0.0,NEU
"thank you!",0.736,0.264,0.0,0.4199,POS
Prayers 🙏 ❤️,0.0,1.0,0.0,0.0,NEU
We should be done in the Tampa Bay by now??,0.0,1.0,0.0,0.0,NEU
"Bradenton/Lakewood Ranch?",0.0,1.0,0.0,0.0,NEU
"Put my pups collars/tags on in case wind damage lets them out",0.0,0.775,0.225,-0.4939,NEG
Hmmmm. I live in this area and no warnings on my phone. How close does it have to be to you to sent out a warning.,0.0,0.755,0.245,-0.7003,NEG
I’m wondering the same thing. I have been searching for more info but there is no mention of a tornado warning anywhere else. It’s strange.,0.0,0.712,0.288,-0.7964,NEG
our phones have been going off all night saying to take cover!!,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
I just keep getting 500 flash flood alerts. All day long. Guess we’re just a smidge too far from the tornado zone (thankfully). Stay safe! ❤️,0.122,0.878,0.0,0.4926,POS
"Marie are your location services on and set to ""Always"" on your weather app?",0.0,1.0,0.0,0.0,NEU
I live in Parrish and I do not like this one bit!,0.0,0.789,0.211,-0.3404,NEG
That area has been tornado warning haven all day.,0.0,0.769,0.231,-0.34,NEG
"Are we done
Yet in St Pete and St Pete Beach ?",0.0,1.0,0.0,0.0,NEU
Why aren't we getting tornado alerts from NWS?,0.0,1.0,0.0,0.0,NEU
I was wondering same.,0.0,1.0,0.0,0.0,NEU
Exactly I didn't receive any,0.0,1.0,0.0,0.0,NEU
my phone has been going off all night with alerts,0.0,1.0,0.0,0.0,NEU
I got the flood warnings. Just not the tornado warnings last night. 🤷‍♀️,0.0,0.694,0.306,-0.5267,NEG
Hudson here. Been without power since 845p,0.0,1.0,0.0,0.0,NEU
Horrible Wind gusts here outside of Dade City!! 😬🤪,0.0,0.662,0.338,-0.6229,NEG
same here in bradenton,0.0,1.0,0.0,0.0,NEU
Please cover crystal River,0.434,0.566,0.0,0.3182,POS
you need to Follow Denis Phillips here on Facebook for the best updated storm info. Stay safe. I love you,0.414,0.586,0.0,0.9062,POS
Wide awake 😫,0.0,1.0,0.0,0.0,NEU
Ugh these tornados are the worst part. Especially at night. 😳,0.0,0.537,0.463,-0.7845,NEG
Is it GANNA rain 🌧!?!?!?,0.0,1.0,0.0,0.0,NEU
Is it going to circle back around near IRB?,0.0,1.0,0.0,0.0,NEU
"No, it's further up now heading to the panhandle of Florida. We are under tornado warning until 5am.",0.0,0.777,0.223,-0.5574,NEG
"I don’t think so …thank you!",0.0,1.0,0.0,0.0,NEU
stay safe ☮️,0.592,0.408,0.0,0.4404,POS
Hi Denis . What is the name of the App you recommend? Thank you for everything,0.278,0.722,0.0,0.6124,POS
Storm Shield,0.0,1.0,0.0,0.0,NEU
"thank you !!! 😊",0.628,0.372,0.0,0.5229,POS
you might be referring to the ABC Action News App. That’s the one I downloaded.,0.0,1.0,0.0,0.0,NEU
ABC Storm Shield,0.0,1.0,0.0,0.0,NEU
thank you so much !,0.482,0.518,0.0,0.4199,POS
thank you!!,0.755,0.245,0.0,0.4738,POS
"thanks, I don’t have that one.",0.42,0.58,0.0,0.4404,POS
🙏🙏,0.0,1.0,0.0,0.0,NEU
3rd one in last 6 hrs?,0.0,1.0,0.0,0.0,NEU
What about PH? I’m off Omaha,0.0,1.0,0.0,0.0,NEU
Right on us in Parrish. Omg,0.0,1.0,0.0,0.0,NEU
be safe,0.744,0.256,0.0,0.4404,POS
get back to your house!,0.0,1.0,0.0,0.0,NEU
I am in the drive way,0.0,1.0,0.0,0.0,NEU
All good so far,0.492,0.508,0.0,0.4404,POS
💜,0.0,0.0,0.0,0.0,NEU
Mercy!!!!!! 😭,0.0,1.0,0.0,0.0,NEU
