"Lots to decipher. Hope to see you tonight on ABC Action News - WFTS - Tampa Bay and on DPL at 7:30. (No, I don't know if your flight is cancelled yet) 🤣",Pos,Neu,Neg,Compound,Overall Sentiment
"I would from personal experience. Make sure you have all the meds ahead of time plenty of snacks and gfood for the special diet due to the surgery and a generator in case of lose of power bc that would. Ache most uncomfortable due to just having surgery. Lots of water and ice on hand maybe an extra cooler with ice to make ice packs etc. we went through this with two teens during a storm a few years back they both got their wisdom teeth taken out and it was a struggle but as long as we had everything we needed we were fine. We didn’t lose electricity for 2 to 3 days, but that was the hard part so we recommend the generator or something to get power during thestorm in case you lose it. For entertainment reasons because no matter what surgery you’re gonna need to be entertained because of the pain. Hope this all helps.",0.159,0.715,0.126,0.7287,POS
"Do we know when to expect it where? I have a trip upcoming. With cones, they usually had at least dates.",0.0,1.0,0.0,0.0,NEU
Thanks!,1.0,0.0,0.0,0.4926,POS
Hope it travels fast and gets away from the gulf and the gulf states.,0.182,0.818,0.0,0.4404,POS
How bad will it hit Crystal River?,0.0,0.632,0.368,-0.5423,NEG
"Hi Denis, a friend of mine invited me to dinner tomorrow night at 6pm. He lives off Elam Rd in Wesley chapel. Will the storm be developing and threaten our plans? Should I cancel or use the storm as an excuse to arrive empty handed?",0.091,0.771,0.137,-0.3094,NEG
I need to know if I need to cancel my rocket launch in October of 2049 based on the latest model run!,0.0,0.892,0.108,-0.3164,NEG
just watch for the heat lightning,0.0,1.0,0.0,0.0,NEU
no… I just looked . Going to be bright and sunny everyday! You good! 🤣😂🤣,0.479,0.521,0.0,0.8475,POS
winner,1.0,0.0,0.0,0.5859,POS
Looking forward to seeing you with your hoodie and Diet Dr. Pepper! ♥️,0.0,1.0,0.0,0.0,NEU
"Same as most of them: We know the potential is brewing out there, it's just Way Too early to get a more defined path. Best thing to do is stop panicking, make sure you're stocked up on necessary supplies (water, non-perishables, toiletries, batteries, a weather radio if you have one, Pet food, etc.) & make sure you have a full gas tank. Then just sit back and wait and see.
These storms can be so unpredictable, and even at the last minute when you're almost Certain it's going to make landfall at a particular point, it can shift drastically and come in at a totally different spot. Just don't get caught unprepared. 🤷‍♀️
Noone knows for sure what is going to be, or where is going to head yet. Noone can make decisions on your vacation plans/travel but You. It's like a broken record EVERY storm with these questions.",0.081,0.869,0.05,0.389,POS
"Yes, Nailed it!",0.599,0.401,0.0,0.4574,POS
but what about the heat lightning?,0.0,1.0,0.0,0.0,NEU
"Ahh, yeah, I missed touching on that one. Thanks for the assist! 😅",0.346,0.513,0.141,0.4926,POS
So that's why gas prices jumped today! 🤦🏼‍♀️,0.0,1.0,0.0,0.0,NEU
"Denis, thanks for you being you. I tune in and listen. Don’t need a zillion answers to what no one knows! Thanks for keeping us all aware and calm.",0.25,0.685,0.065,0.7345,POS
Calm? Half the people are panicking and freaking out already. Because it;s a blob on a map.,0.115,0.6,0.285,-0.5267,NEG
I think Denis has the best perspective.,0.457,0.543,0.0,0.6369,POS
"Wondering if I should bring my pet rock inside today or wait until the weekend…. Would hate to see her get blown away or get rained on too much, she doesn’t know how to swim yet!",0.0,0.895,0.105,-0.6114,NEG
Wait a minute 🤔 what happened to the model that had this thing going into Louisiana and Alabama? COME BACK! 😆,0.0,1.0,0.0,0.0,NEU
Can I walk my goldfish on Sunday? His name is bubbles and “walks” at 7PM,0.0,1.0,0.0,0.0,NEU
"may be perfect conditions for Bubbles!",0.444,0.556,0.0,0.6114,POS
make sure he has his goldfish floaties too..safety first,0.223,0.777,0.0,0.3182,POS
he might be able to swim by then so you are good to go 🤣,0.196,0.804,0.0,0.4877,POS
Bubbles may need a life preserver,0.0,1.0,0.0,0.0,NEU
I was thinking a pool noodle Pink is a good color,0.293,0.707,0.0,0.4404,POS
Bubbles might need a poncho 🤣,0.0,1.0,0.0,0.0,NEU
I’m struggling with Rule 7 right now!!!!,0.0,0.558,0.442,-0.6083,NEG
"I don't know how you deal with some of these insane questions lol. Bless you, and thank you.",0.34,0.546,0.113,0.6597,POS
same BUT only because my side of town (south tampa) floods really really bad in a normal storm and we (teachers) go back to work tomorrow and have PD on Monday! 😭😭😭 Hoping it doesn't completely wash us out because traveling is going to be a nightmare.,0.07,0.818,0.112,-0.4937,NEG
trust Denis!!,0.795,0.205,0.0,0.5972,POS
you will get the crazy afternoon thunderstorms at like 3 that you will think is a hurricane lol,0.256,0.628,0.116,0.4404,POS
"It’s not named, not even a cyclone yet and almost to Cuba. So if you’re in Tampa area I’m not Denis Phillips but I assume he’s going to say “rain with a name”. If it goes north without land. It’s still not a storm yet. So it could be a tropical storm or hurricane.",0.0,1.0,0.0,0.0,NEU
it's probably gonna hit north Florida up there and have time to form in the gulf is my guess I'm no Denis either.,0.0,0.909,0.091,-0.296,NEG
"this is scary, might as well leave FL then",0.168,0.48,0.352,-0.3182,NEG
"even if it hits us, it won’t be anything major, probably barely a tropical storm 🙂",0.0,1.0,0.0,0.0,NEU
"go to Rule 17 when rule 7 is gettin under your emigrant skin....or play some Marley or Terrance Trent Darby, like I did for my 93 yr young momma. U know the cool tunes?",0.205,0.795,0.0,0.7351,POS
why,0.0,1.0,0.0,0.0,NEU
why? Where are you?,0.0,1.0,0.0,0.0,NEU
where down here you going? I'm in south Florida I think it's gonna by pass us. Who knows tho,0.0,1.0,0.0,0.0,NEU
I wish this wasn't true. Praying for no severe weather. That major thunderstorm today was enough of a jolt to last the rest of the hurricane season lol.,0.158,0.576,0.266,-0.4102,NEG
amen. I was outside dealing with potential flooding even with that. 🎈,0.0,1.0,0.0,0.0,NEU
just had a torrential down pour with thunder in Cantonment/Pensacola,0.0,1.0,0.0,0.0,NEU
Springhill (central Fl) had a douzy of a lightning/thunderstorm. Power went out twice in one day.,0.0,1.0,0.0,0.0,NEU
"When I lived in Broward , WSVN (channel 7) would be doing live shots outside of home depot the minute a cloud 🌥 would come off the coast of Africa. I really appreciate rule # 7!",0.102,0.898,0.0,0.5081,POS
So here is what I do not understand. Hurricane season comes every year. Obviously produce and milk cannot be stockpiled but doesn’t everyone buy a little extra TP and water at the start of the season?,0.0,1.0,0.0,0.0,NEU
"It’s about flooding. I’ve lived in Sarasota for most of my life. I have 20 lanterns, two battery radios, plenty of food and water but…these past torrential rains are flooding our house and we live in a no flood zone a billion miles from the Gulf. It’s different now.",0.0,0.953,0.047,-0.296,NEG
"most of us do but there are some who like to live on the edge and wait until the last minute for everything.
As for me I’m at 1/2 tank of gas. I’ll fill it tomorrow and then pray the expected heavy rain doesn’t knock out my power.",0.119,0.881,0.0,0.7351,POS
"crap. I think I need gas for my car. 🤦🏼‍♀️Did not think of that!",0.0,0.792,0.208,-0.4389,NEG
don't forget some cash for when the electricity goes out and wash all the laundry in the house,0.089,0.911,0.0,0.1695,POS
Not usually. Always that last minute rush!,0.0,1.0,0.0,0.0,NEU
hard to stock up on anything when a lot of people can barely afford day by day things when prices went up.,0.0,0.935,0.065,-0.1027,NEG
I started last fall.Even buying 1 or 2 things at a time will help over a longer period of time.Easier on the budget too.,0.13,0.87,0.0,0.4019,POS
"Yes I do that. I’m just saying for a lot of people, that’s not a reality.",0.184,0.816,0.0,0.4019,POS
I have 9 cases of water in season 2-3 outside of season and 3/4 of gas tank at least. Cash you can get when it becomes official.,0.0,1.0,0.0,0.0,NEU
absolutely! We buy water when it’s on sale and have 9-12 cases on hand at all times. Extra TP when it’s on sale and then non-perishables in hand for about 5 days and hope we never need it.,0.22,0.78,0.0,0.8622,POS
thinking ahead is not the American way.,0.0,1.0,0.0,0.0,NEU
"they should, but they don't. I had a lady tell me once that she didn't have ANY room for any extra supplies.",0.0,1.0,0.0,0.0,NEU
Im suppose to fly back to orlando on Monday. AM I good?,0.225,0.775,0.0,0.4404,POS
Is it really that big of a deal for Tampa? It really wouldn’t be that organized if it comes here,0.0,1.0,0.0,0.0,NEU
"I agree but I also watched Andrew when I lived in Ft Laud., and then Charley and Ian all make shifts within a few hours of landfall that rocked the world of many people. I’m cautious until it passes my area and know it’s not coming back.",0.039,0.924,0.036,0.0387,NEU
Denis keeps saying a ragged system though in the Tampa area. I’m more concerned if it goes to the North Gulf coast. Always be ready though! 👍,0.104,0.896,0.0,0.4199,POS
"I think the worst would be IF it stalled near Tampa, causing a lot of flooding.",0.0,0.67,0.33,-0.7096,NEG
Yeah if you live near the coast that’s an annoyance,0.176,0.64,0.184,-0.0258,NEU
i do. 1st floor across the street from the gulf and surrounded by canals.... ugh......,0.0,1.0,0.0,0.0,NEU
"ERRR… water temps aren’t everything. You can have a tropical system in 90F water and if the atmospheric conditions don’t allow intensification, then it can’t intensify. Denis never said water temp is the only factor. He knows better, and knows it’s about more than the water temps",0.098,0.902,0.0,0.5859,POS
"you are supposed to panic and buy bread and milk, oh wait that's a blizzard up north lol, how about some extra booze lol",0.194,0.692,0.114,0.3182,POS
I think I'll trust Denis more than you.,0.355,0.645,0.0,0.5106,POS
"We have a 7:35pm flight from Houston to Orland on Sunday. IF it’s not canceled, I’m kind of terrified of flying into heavy rain.",0.0,0.837,0.163,-0.6478,NEG
Just moved to Sliver Springs from Michigan. This is our first summer here.I'm Getting really nervous not knowing what to expect.,0.0,0.893,0.107,-0.3384,NEG
rain and breezy conditions.,0.0,1.0,0.0,0.0,NEU
Is their any other storms out there? We are focusing on this one but how does the Atlantic look between us and Africa?,0.0,1.0,0.0,0.0,NEU
"1 does pop up on the euro. But, 1 at a time. We don't want a repeat of 2005.",0.0,0.913,0.087,-0.0857,NEG
2004 was a fun year too. No thank you!,0.458,0.376,0.166,0.5983,POS
"one at a time please 😂",0.434,0.566,0.0,0.3182,POS
"right?? Like... slow ya roll, Friend. We'll let the next one worry about itself rn 🫠",0.183,0.668,0.149,0.168,POS
Can you send a memo that Crystal River is closed and it needs to take a detour?,0.0,1.0,0.0,0.0,NEU
I just want to get back home in Seminole. My flight from Indy is scheduled to land at 8:30 Sunday. Not sounding good. Do they cancel flights just for heavy rain.,0.04,0.826,0.135,-0.4777,NEG
"I need to know WHICH exact day is my choice for mixing tequila & Lager ?!? It's called El Toro, If I can even recall the decades ago in Cancun",0.0,1.0,0.0,0.0,NEU
"Denis, why are we suddenly saying cyclone in this hemisphere instead of hurricane?",0.0,1.0,0.0,0.0,NEU
yes I’d like to know the answer to that as well,0.477,0.523,0.0,0.743,POS
I am going to Hilton Head for a week in August. Was going next week but looks like lots of rain and thunder storms. Looking a few weeks out can you tell me you thoughts about the best week to avoid rain?,0.189,0.752,0.059,0.8047,POS
How about the Florida Keys have a vacation planned Saturday to Saturday,0.0,1.0,0.0,0.0,NEU
bad time of year for a Keys vacation!,0.0,0.613,0.387,-0.5848,NEG
We are schedule to fly out on Wednesday. Your thoughts?,0.0,1.0,0.0,0.0,NEU
I’m guessing it will be gone. Usually clearer weather follows a tropical system. At least for a few days.,0.0,1.0,0.0,0.0,NEU
ok thank you,0.825,0.175,0.0,0.5719,POS
Will I be able to do interpretive dances on the northeast corner of my patio at 4:42pm in New Port Richey?,0.0,1.0,0.0,0.0,NEU
My question is should I take my boat out of the water?,0.0,1.0,0.0,0.0,NEU
Do i need to put up my hurricane shutters in the panhandle??,0.0,1.0,0.0,0.0,NEU
"Denis Phillips how bad will it hit the corner of 52nd and Broadway? 🤔
""Cars passin' by, but none of 'em seem to go my way"" 🤘🏼😎",0.0,0.917,0.083,-0.3071,NEG
"Like this latest model run. Stop moving west!! Not that I want anyone in FL to be adversely affected, soon-to-be Debby is not welcome in Texas where so many of us are STILL cleaning up from Beryl.",0.059,0.708,0.233,-0.6582,NEG
What day are we expecting this for the Tampa Bay Area?,0.0,1.0,0.0,0.0,NEU
Denis Phillips the sandbag stations are open here in South Tampa . I am hoping they are being overly cautious 🙏🏻,0.132,0.802,0.066,0.34,POS
"I’m getting too old for this hurricane / tropical storm😂. Your health insurance should give you a discount because if you pack up half your house, load the car, unload the car when you come back. Shutters on , shutters off and the list goes on. That’s a lot of cardio. You’re not living a stationery life 😂 😂 Well, sometimes, it feels like mini-triathlon to me 😂",0.073,0.927,0.0,0.5574,POS
no shutters for this one,0.0,0.645,0.355,-0.296,NEG
I’ll with ya!!😩😁,0.0,1.0,0.0,0.0,NEU
I am headed to Duck Key on Saturday!!! 🤦🏽‍♀️🤦🏽‍♀️,0.0,1.0,0.0,0.0,NEU
I’m plugging in all the rechargeables!,0.0,1.0,0.0,0.0,NEU
"Denis, my daughter & son-in-law plan to go to Marathon next Thursday until Saturday for lobstering. Should they cancel?",0.0,0.895,0.105,-0.25,NEG
no. This storm is happening this weekend/early week. It’ll be long gone.,0.0,0.833,0.167,-0.296,NEG
Can’t wait for all of the ridiculous questions. Is my wedding ok Sunday? Will it rain in Lutz? What about my flight Tuesday morning? 😁,0.081,0.808,0.112,-0.212,NEG
LOL- even after he states “I dont know” LOL,0.502,0.498,0.0,0.7944,POS
"Ok ok ok, I will ask. Denis, do I have to go to work tomorrow?",0.398,0.602,0.0,0.6808,POS
"Watch “Mr Weatherman” on YouTube,,,
He mostly covers the Caribbean but follows the storms all the way,,,
And has frequent updates,,,",0.0,1.0,0.0,0.0,NEU
"So, my new favorite weather guru (I’m from up North and son going to FGCU so started following you last year and think you are the BEST) he’s driving down and getting settled in…is Ft. Myers outside this cone of doom other than heavier rains? TIA",0.138,0.811,0.051,0.6805,POS
Our Grandson is going to be a Freshman there in 2 weeks. Does your son like it there?,0.143,0.857,0.0,0.3612,POS
"Loves it! Like any school they have to navigate life and the rules, and the challenges which basically means…welcome to life!",0.31,0.69,0.0,0.7955,POS
"for sure. Glad he likes it.
Praying we all stay safe here in Florida… and everywhere else too!🙏🏼",0.515,0.485,0.0,0.9151,POS
He’s already in Georgia after 14 hours. Will get to Ft. Myers tomorrow. He’s moving into a frat house and furniture arrived today and some coming on Monday. Has to get his things out of storage on Saturday and grocery shop so hoping heavier rains stay west. It’s part of Florida life😎,0.067,0.933,0.0,0.5598,POS
"Summer in Florida is NOT pleasant… but Fall, Spring and WINTER… Yes!
Hope all goes well for him. Tough to let them go and be independent!",0.309,0.64,0.051,0.8715,POS
But what about “insert activity here “? You are amazing!,0.379,0.621,0.0,0.7574,POS
What do you expect in flood areas?,0.0,1.0,0.0,0.0,NEU
Will Waffle House be opened or should I change my plans? 😂,0.0,1.0,0.0,0.0,NEU
around the corner from my house in Biloxi. 😳,0.0,1.0,0.0,0.0,NEU
Just in time for the kids to be back in school.. 😟,0.0,1.0,0.0,0.0,NEU
Y’all Floridians out here acting like y’all were born yesterday! 😂 There have been so many tropical systems that come through here weaker than some afternoon thunderstorms from just this past month lol. ⛈️⚡️🌪️🌀,0.145,0.779,0.075,0.4003,POS
What time should I take my dog for a walk on Sunday? lol 🤪,0.219,0.781,0.0,0.4215,POS
ya. Lightning bolts ON your dam neighborhood and street flooding weekly. So !?!,0.0,1.0,0.0,0.0,NEU
Flying out Saturday to Anna Maria Island. Don’t want to be stuck in a room for 3 days. Are you thinking this storm is gonna hang out for a few days? Trying to decide if we need to cancel. 😔,0.034,0.862,0.104,-0.4019,NEG
me too! 😭,0.0,1.0,0.0,0.0,NEU
that's a tough call. Tonight on the news it sounds like it's going to be moving slow.,0.139,0.778,0.083,0.25,POS
Us too!!!😭😭,0.0,1.0,0.0,0.0,NEU
Wish I had more rain barrels. ☔,0.403,0.597,0.0,0.4019,POS
I just hope I can walk my dog on Monday in Cedar Key,0.225,0.775,0.0,0.4404,POS
My sons first birthday party is at 12 on Sunday outside 😭,0.213,0.787,0.0,0.4019,POS
You can still have it. Just make sure everyone is bolted down and can swim.,0.141,0.859,0.0,0.3182,POS
🙁,0.0,0.0,0.0,0.0,NEU
This is why I travel from ND to FL without a hotel reservation lol! I have no idea what area may/may not be hit and will see when I arrive on Saturday ☺️ Thank you for always posting updates ❤️,0.062,0.818,0.12,-0.3235,NEG
"This storm can't make up it's mind. ""I want to hit Miami, no I want to hit NOLA. No, I think the Carolinas look good. I'll hit Cuba. No, I'll miss Cuba. I'll just go up the coast and hit whatever is in my way!""",0.11,0.72,0.17,-0.4574,NEG
First annual DPL Spaghetti dinner tonight ladies and gents,0.0,1.0,0.0,0.0,NEU
So it’s gonna rain maybe some maybe a lot with a slight chance of some heat lightning 🤔😂,0.118,0.882,0.0,0.25,POS
Give it a rest people Dennis doesn’t have a crystal ball. He can’t tell you what time to walk your dog or if your flights gonna be canceled or if your favorite outdoor sport is going to be canceled . Denis Phillips I think you need get a crystal ball instead of Dr.Pepper sent to you 😂 but until then I’ll settle for just your updates and probability facts.,0.031,0.969,0.0,0.25,POS
"Well, on our way back to Florida to ""batton down the hatches"" and put up the flood barriers just in case. But as long as it moves past quickly we'll be ok.",0.127,0.873,0.0,0.5187,POS
I do not like spaghetti..can I swap it for fettuccine please? 🥺,0.202,0.613,0.185,0.049,NEU
I just want to know if it’s gonna pass by Sunday morning or be here Sunday morning,0.08,0.92,0.0,0.0772,POS
late Sunday into Monday,0.0,1.0,0.0,0.0,NEU
I think everyone everywhere follows you🥹. We are heading home tomorrow from Minnesota 🙏. Hope this wild weather calms down until we get home safely 🙏🙏🙏,0.276,0.724,0.0,0.8126,POS
Thanks for keeping us updated! Leaving our Puerto Rico vacation on a good day today. Looks like the storm will possibly be chasing us.,0.301,0.699,0.0,0.8221,POS
safe travels from Dawson and Dylan's Me Me♥️,0.293,0.707,0.0,0.4404,POS
cooking spaghetti tonight,0.0,1.0,0.0,0.0,NEU
Can I hold off buying an umbrella? 😂,0.0,1.0,0.0,0.0,NEU
Should I cancel my sleep this week?,0.0,0.714,0.286,-0.25,NEG
"Here for the comments, they did not disappoint! And as always, thank you Denis Phillips! ☺️",0.276,0.724,0.0,0.6533,POS
I live in Port Richey in Jasmine estates are we going to be okay or is flooding going to be a concern this time,0.083,0.917,0.0,0.2263,POS
I have 2 rolls of toilet paper for the weekend! Hope it lasts!,0.258,0.742,0.0,0.5399,POS
My guess is it'll go north,0.0,1.0,0.0,0.0,NEU
"Really worried about heat lightning 🌩 😕, especially around 645 pm on Sun",0.0,0.815,0.185,-0.3597,NEG
Can I vacuum my lawn & walk my pet velociraptor on Sunday? He gets a little agitated if he doesn’t get his mid day walk… 👀,0.0,0.886,0.114,-0.4033,NEG
Said velociraptor…,0.0,1.0,0.0,0.0,NEU
Hey Denis… My son flies home to Delray tomorrow from FSU summer session and we were going to drive down to islamorada on Sunday for the week… make other plans? 🤦‍♀️,0.0,1.0,0.0,0.0,NEU
"Hurricane season ""I don't know if your flight was cancelled."" It went viral.😂😂 I love it😂😂",0.231,0.769,0.0,0.6369,POS
I'm heading to the Keys on Saturday and staying thru the following Saturday! I'm more concerned about the water visibility for snorkeling and lobstering!,0.0,1.0,0.0,0.0,NEU
we are leaving Sun and staying until the following Sun in marathon for lobstering as well!! I don’t want to drive with our boat in the storm 😞,0.142,0.858,0.0,0.4559,POS
Oh wow! Sunday is when the weather is suppose to start getting bad so safe travels! We are considering changing plans and doing something else.,0.242,0.654,0.104,0.6834,POS
"Rule # 7. Don’t freak out. Just board up all your windows, doors, garage and sand bag like it’s DDay.
Here in NW Georgia we just chillin.",0.085,0.816,0.099,-0.1027,NEG
"Bring her on. Lol",0.483,0.517,0.0,0.4215,POS
Seems like just rain and a stiff breeze for Tampa. Just a usual rainy typical day here,0.149,0.774,0.077,0.296,POS
What about the bbq I have planned for Sunday afternoon? (J/K- there is no bbq on Sunday.). 🤣🤣🤣,0.0,0.879,0.121,-0.296,NEG
sounds like the true start to a hurricane party,0.615,0.385,0.0,0.7906,POS
Scheduled to fly in Saturday for a much needed beach vacation with my 2 daughters. 🤦‍♀️,0.0,1.0,0.0,0.0,NEU
Not sure of the timing if this thing. I also have a short beach vacation scheduled for next week. Tuesday - Friday. Bradenton Beach. Not encouraged.,0.0,0.838,0.162,-0.4717,NEG
