Today's rain is really only the beginning. Lots more is on the way with flooding likely in some spots. A Flood Watch has been issued for part of the region through Monday. Update on the way.,Pos,Neu,Neg,Compound,Overall Sentiment
"I left the water level 5"" from the top of my coping. I have a deck drain, so it can overflow. If we get as much rain as forecasted, it will overflow and I'll still need to drain it once it stops raining. No worries! Good luck with yours!",0.151,0.729,0.12,0.3987,POS
Just drained 5” of water,0.0,0.615,0.385,-0.3612,NEG
I wish I had automatic drain.,0.474,0.526,0.0,0.4019,POS
How are you draining water from your pool. This is my first with an inground.,0.0,1.0,0.0,0.0,NEU
"I don't know what your setup is but I just attach a hose to the spigot on top of my pool pump and run the hose toward the back of my yard. Then, with the pump ON, I turn the spigot on. Just don't forget it's on! 😆",0.099,0.901,0.0,0.5409,POS
"That storm came in like a wrecking ball in north Lakeland! We lost power as well, at 1:09 and as I speak, we just got it back at 2:20!",0.165,0.762,0.073,0.4374,POS
"that lightning 🙏",0.0,1.0,0.0,0.0,NEU
what u didn’t hear was F**K and then me and husband laughing lol didn’t figure they’d let me post that 😂,0.261,0.739,0.0,0.7184,POS
yes Lakeland got a little scary the wind was crazy,0.193,0.428,0.379,-0.3832,NEG
it sure was Squirrely for a bit. We were without power for a little more than hour.,0.141,0.859,0.0,0.3182,POS
Please advise on what Gainesville should expect and when -- trying to get my Gator motivated to prepare/food shop today for Sunday - Wednesday,0.202,0.798,0.0,0.6486,POS
"😆 Just did an online order with my Knight and set him to Publix to pick it up. Dude. Not your first storm, wouldn't you rather get your groceries now than wade through the parking lot in torrential rain later?",0.0,1.0,0.0,0.0,NEU
"he already has plenty of times!🙄🙄🙄",0.0,1.0,0.0,0.0,NEU
Thanks for the updates makes things easier to handle,0.449,0.551,0.0,0.6908,POS
Drained the pool down a little as the last thing I want to do is be out there in the middle of the storm. I learned during Ian that while it may be self regulating it can only keep up with so much,0.031,0.909,0.06,-0.296,NEG
Same here.,0.0,1.0,0.0,0.0,NEU
"if you keep pump on you can’t drain it below skimmer level, right? Which means, for me anyway, going out every few hours (as long as pump is on) and trying to drain it—even during intense rainfall.",0.035,0.965,0.0,0.0772,POS
You're correct. I dread going out in this storm. TWC for our area says continuous rain until Tuesday evening 😡,0.0,0.85,0.15,-0.4588,NEG
"Today’s rain? What’s that? 🤣🤣🤣",0.0,1.0,0.0,0.0,NEU
Just starting to drizzle 🌧️ in Daytona Beach.,0.0,1.0,0.0,0.0,NEU
"Port Richey right now",0.0,1.0,0.0,0.0,NEU
Just started sprinkling here by the Fort Myers caloosahatchee,0.0,1.0,0.0,0.0,NEU
"be safe please",0.839,0.161,0.0,0.6369,POS
keep safe.,0.744,0.256,0.0,0.4404,POS
The view from our house in port Richey.,0.0,1.0,0.0,0.0,NEU
View from Clearwater Beach Hilton.,0.0,1.0,0.0,0.0,NEU
I just bought a small canoe so I can get some grocery shopping done... paddling on I-275 tomorrow,0.0,1.0,0.0,0.0,NEU
Great thinking on your part. 🤣,0.506,0.494,0.0,0.6249,POS
"Largo the wind is picked up and it's just sprinkling lightly",0.0,1.0,0.0,0.0,NEU
Bring it. It’s Gods cleansing of the area!,0.0,1.0,0.0,0.0,NEU
"I expect to drain our pool continuously until Tuesday evening.",0.0,1.0,0.0,0.0,NEU
Do you keep your pump on during storm? Mine shuts off at 5 pm so unless I reschedule it I can’t continue to drain it. How do you manage it?,0.0,1.0,0.0,0.0,NEU
Our pump runs from 7am until 8pm. We might reschedule for 24 hours just to keep up with the draining.,0.0,1.0,0.0,0.0,NEU
"If the water levels become too high, it can burn out the pump motor.
We already drained about 3"" today.",0.0,0.884,0.116,-0.3612,NEG
Great idea. I’m going to reschedule now too so I can attempt to go out and drain it during night. Not fun. We have a firehouse attached and have to literally be outside to manage it.,0.106,0.825,0.07,0.3395,POS
"We have the same hose and have to stay with it when we drain. This storm is going to produce a lot of rain and wind. I need to get some more batteries for our lanterns since our area easily loses electricity.
I wish you good luck.",0.21,0.746,0.044,0.8271,POS
I wish the same back to you! Let’s get thru this!!! (And then I’m selling house and never getting a pool again. 😎),0.162,0.838,0.0,0.5951,POS
Really isn't a bad idea lol.,0.37,0.355,0.276,0.2014,POS
Your updates are great. Helps keep us on track ! You are the best Denis. ❤️,0.483,0.517,0.0,0.9041,POS
"I agree !! Although, I wouldn’t mind being able to go back to work on Wednesday instead of Tuesday
LOL 😂",0.293,0.707,0.0,0.7661,POS
As long as my power doesn't go out for Summer Slam tonight...,0.0,0.809,0.191,-0.3818,NEG
same lol my brother gonna be there,0.318,0.682,0.0,0.4215,POS
"I'm there with u",0.0,1.0,0.0,0.0,NEU
Keaton beach here. We're going to get hammered,0.0,1.0,0.0,0.0,NEU
"Appreciate this. In Orlando - no rain but low ceiling and slight breeze",0.123,0.596,0.281,-0.34,NEG
do you know if Orlando usually floods?,0.0,1.0,0.0,0.0,NEU
not familiar with the Orlando area too much.,0.0,1.0,0.0,0.0,NEU
me either and I have a 19 year old son at Disney Culinary School and I'm 12 hours away so I'm a nervous wreck,0.0,0.774,0.226,-0.6749,NEG
I have very dear friends in the NPR area. 🙏🏻🙏🏻,0.473,0.527,0.0,0.7408,POS
"torrential rain here in New Port Richey ,the wind has calmed down alot",0.178,0.822,0.0,0.3818,POS
just 15 minutes x this pm,0.0,1.0,0.0,0.0,NEU
Off and one rain in Largo. At least got the yard cleaned up. A few breezy had to take all the umbrellas down and store them,0.0,1.0,0.0,0.0,NEU
BEEN RAINING HERE IN DAVENPORT,0.0,1.0,0.0,0.0,NEU
"Denis Phillips - Will we see a lot of lightning and thunder with Tropical Storm system? I realize that wind and rain are on their way ~ but curious if we will be getting
a lot of thunder & lightning also.",0.08,0.92,0.0,0.4497,POS
Someone just flipped the switch in Venice,0.0,1.0,0.0,0.0,NEU
"I thought it was going to be nice today?",0.286,0.714,0.0,0.4215,POS
he said it was going to be a typical summer day…..,0.0,1.0,0.0,0.0,NEU
"gloomy all day ??",0.0,0.605,0.395,-0.2406,NEG
"Thank you for all you do!
I have a flight into St Pete tomorrow night, so far it is saying all is a go...🙏",0.122,0.878,0.0,0.4199,POS
you mean you actually called them instead of bothering Denis? 😳,0.0,0.776,0.224,-0.3818,NEG
"No, on the flight app",0.0,0.645,0.355,-0.296,NEG
"My electric is now underground. I should be just fine.",0.184,0.816,0.0,0.2023,POS
"Looks like Bradenton is going to miss it, Thank God!! 🙏🙌❤️",0.472,0.43,0.098,0.7256,POS
???? I’ve been seeing that Bradenton/Sarasota area is getting up to 12 inches of rain over 2.5 days—along with at least 40 + mph winds. I hope I’m wrong. Where did you see this?,0.078,0.812,0.11,-0.2869,NEG
never saw post about this at all....look up 9 News forecast from Denis,0.0,1.0,0.0,0.0,NEU
Our thunderstorms produce rains & winds like this too so not alarming,0.316,0.684,0.0,0.4851,POS
"Denis Phillips’ most recent post is where I got my info.",0.0,1.0,0.0,0.0,NEU
I haven't seen this post,0.0,1.0,0.0,0.0,NEU
We got caught in this rain it was crazy out there in Spring Hill.⛈️☔️,0.0,0.844,0.156,-0.34,NEG
"Wild weather in North Lakeland",0.0,1.0,0.0,0.0,NEU
Where can I find updates as great as yours for the Saint Augustine area??,0.271,0.729,0.0,0.6662,POS
sorry - they don’t exist! There is only one Denis Phillips!! He’s the best!!,0.304,0.623,0.074,0.7243,POS
I was afraid of that!!!,0.0,1.0,0.0,0.0,NEU
What's expected in Orlando?,0.0,1.0,0.0,0.0,NEU
hes covered that a million times already…..,0.0,1.0,0.0,0.0,NEU
"Will the Villages be impacted with heavy rain?",0.0,1.0,0.0,0.0,NEU
Rain and thunder in South Pasadena rule #7,0.0,1.0,0.0,0.0,NEU
"Zephyrhills is raining and thundering.",0.0,1.0,0.0,0.0,NEU
Pouring in palm harbor,0.0,1.0,0.0,0.0,NEU
My “RULE #7” tumbler is going strong! I did pull my flag in because that tends to worry me…it’s attached to the carport in one of those flag holders that you screw in… So I undid the piece that holds the actual pole in and brought the flag in because I didn’t want that to possibly break off and fly into somebody’s car. That’s probably all the prep I’m doing. I’m in the very South Lakeland area.,0.062,0.884,0.054,0.1511,POS
Thank you as always Denis!,0.411,0.589,0.0,0.4199,POS
"Citrus county Zone A is under evacuation, came across about 1:45p",0.0,1.0,0.0,0.0,NEU
Zero rain in south dunedin,0.0,1.0,0.0,0.0,NEU
What day/time is this radar pic?,0.0,1.0,0.0,0.0,NEU
"100 years ago on a Tuesday 🙄",0.0,1.0,0.0,0.0,NEU
so helpful thanks. Asked because I was dead center in those storms and it was sunny as could be 🙄never did get anything.,0.289,0.574,0.137,0.5819,POS
"We came on vacation this weekend and decided to make today a boat day, this was the view trying to “beat the storm” on our way back in… let’s just say the storm won 😅",0.104,0.896,0.0,0.5719,POS
I’m your neighbor - I do what you do / say,0.0,1.0,0.0,0.0,NEU
"Thanks again, as usual. My hero",0.619,0.381,0.0,0.7579,POS
"Its pouring in Elfers now",0.0,1.0,0.0,0.0,NEU
Getting loud and electric flickering in Zephyrhills ... not sure about rain I haven't looked,0.0,0.869,0.131,-0.2411,NEG
I was in Dollar Tree (SR 54) and thought they were going to lose power.,0.0,0.828,0.172,-0.4019,NEG
What does Oxford and The Villages FL look like Sunday morning?,0.2,0.8,0.0,0.3612,POS
"same as they look every morning…..",0.0,1.0,0.0,0.0,NEU
"the weather, silly.",0.355,0.645,0.0,0.0258,NEU
"I'm in North Port. We got slammed with IAN. I can't seem to get any real updates on us. Seems the city shuts down on weekends. They don't care about the residents. I'm going to check my canal and see if they lowered it. I can't get another flood. I had 4 ft. and lost everything. Everything. Car, Furniture. It all went.
I wish I could get a solid update. seems we get missed a lot.",0.057,0.827,0.115,-0.5152,NEG
https://forecast.weather.gov/MapClick.php...,0.0,1.0,0.0,0.0,NEU
"Tropical Storm Warning is all it is.",0.0,0.714,0.286,-0.34,NEG
there’s a description for each day for 10-days.,0.0,1.0,0.0,0.0,NEU
"We had a gusty windy squall come through earlier here in Parrish, launched our patio furniture & we had to scramble to bring it in 🤣",0.064,0.936,0.0,0.128,POS
Is this rain part of the storm or it’s own separate entity?,0.0,1.0,0.0,0.0,NEU
I have never heard thunder and lightning this bad in my life and have lived here all my life,0.0,0.805,0.195,-0.628,NEG
"every afternoon here where l live",0.0,1.0,0.0,0.0,NEU
where abouts?,0.0,1.0,0.0,0.0,NEU
new port Richey,0.0,1.0,0.0,0.0,NEU
"In Spring Hill right now it’s like the ocean is being dumped on us 😂",0.145,0.698,0.157,-0.0516,NEG
I’m in Spring Hill also in land and the rain was heavy and windy but just like any normal rain day in the summer.,0.124,0.876,0.0,0.5023,POS
same here in Bradenton it’s stopped now,0.0,0.759,0.241,-0.2263,NEG
"ugh I fly home tomorrow and we also live in Spring Hill",0.0,0.781,0.219,-0.4215,NEG
"Little breezy in East Clearwater, some distant rumbling but no rain yet.",0.0,0.797,0.203,-0.4215,NEG
Thank goodness it stops now and then -to absorb the rain,0.364,0.53,0.106,0.5994,POS
Light rain Valrico so far.,0.0,1.0,0.0,0.0,NEU
Raining in Ocala,0.0,1.0,0.0,0.0,NEU
Hitting Hernando county right now,0.0,1.0,0.0,0.0,NEU
"you ought to post your “safe from graphic here… It’s so cute",0.26,0.74,0.0,0.5949,POS
"I drained my pool way down so, we shouldn’t get much if any this weekend. 😂",0.0,0.839,0.161,-0.3612,NEG
Noticable uptick in the wind here in St Pete Beach.,0.0,1.0,0.0,0.0,NEU
I just moves to south pasadina in Bay Island. Don't know about storm surges. Should we leave??,0.0,0.906,0.094,-0.1431,NEG
I've only been here since March so can't offer much as to storm surges. I'd just continue to follow all of DP's posts/ live streams. Sorry but it's a wait and see situation right now ☺️,0.0,0.967,0.033,-0.0387,NEU
Just north of you in NPR and we’ve been getting hit!,0.0,1.0,0.0,0.0,NEU
"Thanks for the updates.
Holiday finally got some rain!",0.457,0.543,0.0,0.7088,POS
Light rain in Dover,0.0,1.0,0.0,0.0,NEU
it just got done pouring in dover lol sitting out here at a football games,0.177,0.823,0.0,0.4215,POS
"Will it be safe to travel north from Tampa Sunday morning on I-75?",0.195,0.805,0.0,0.4404,POS
no. Stay away 🙄🙄🙄,0.0,0.577,0.423,-0.296,NEG
"No rain where I'm at in SOG until I walked out to go to Firehouse to pick up my sub. Now I'm back home and dry. And of course, it has stopped for now. Hahaha",0.093,0.801,0.106,0.128,POS
"its been really raining out here in Carrollwood where I am. On and off downpours then it stops sun comes out then starts all over. I have 2 sisters that live SOG near the Base. Hoping that this storm doesn't cause problems for them. We are high out here but still a bit concerned especially wind.
I grew up in South Tampa off Westshore and Bay Court. Knowing that area there's always flooding there. I bet Bayshore will be under water tomorrow. Noticed you are friends with Susie, she actually lived next door to my parents quite a few years ago. Stay safe!",0.114,0.874,0.012,0.889,POS
"I grew up down here as well. We were military brats. Lived off of Dale Mabry and Iowa. Now I'm in a condo right at Gandy and Westshore. The flooding isn't as bad now, with all of those apartments down Bridge St., but we still get some. Always an adventure down here. LOL. Yes I know Susie. We used to vacation at the beach the same week every year, and her daughter played softball with my niece back in the day.",0.199,0.801,0.0,0.9507,POS
"that's a coincidence. I also used to work with Susie's sister Becky years back at a medical physician group out here on Carrollwood. My parents are both gone now. Miss them so much. Growing up in South Tampa knew all the areas that flood like Henderson and Dale Mabry and Lois in areas. My Father in law used to live off Westshore and Bay to Bay off Dundee towards the back it always flooded there but never got into his home. He's gone too.
We like Carrollwood been out here since 85. We are off Ehrlich near Veteran's.
I have another sister too she lives out off Valrico off a private road with lots of acreage which is owned by her husband's family. It actually floods out there near their home in one area. Stay safe!",0.077,0.913,0.009,0.853,POS
summer downpour. stuck in the car at publix for a pubsub . 5 min and we are good to go,0.146,0.754,0.101,0.2263,POS
Had almost the exact same thing!,0.0,1.0,0.0,0.0,NEU
No power in Dade City. ☹️,0.0,0.694,0.306,-0.296,NEG
"For what it's worth, the weather is absolutely gorgeous here in Indianapolis today!
Hope that helps.",0.5,0.5,0.0,0.8997,POS
still wouldn't trade with you! LOL Tampa is like living in paradise. ❤,0.539,0.461,0.0,0.8891,POS
"We just moved back to Indy from Lakeland to be closer to our family and friends. Florida's nice, but it wasn't really home for us.",0.147,0.853,0.0,0.4497,POS
It can be hard being away from family and friends. I don't have any friends and my Mom always came to visit and now she lives here in Florida with me.,0.179,0.78,0.04,0.7003,POS
"Watching you closely, Thanks!!",0.537,0.463,0.0,0.5399,POS
Pouring here in Holiday,0.474,0.526,0.0,0.4019,POS
The warnings are coming in texts and emails from pinellas county,0.0,0.82,0.18,-0.296,NEG
"Power out here already in southern valrico",0.0,1.0,0.0,0.0,NEU
go to bed,0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
Weird! Sunny skies in Cape Coral. Normal day.,0.287,0.556,0.158,0.3382,POS
"Light rain, no wind, so far in Lealman.",0.0,0.761,0.239,-0.296,NEG
"1 drop of rain.... lost power. i hate Seffner",0.0,0.331,0.669,-0.7964,NEG
"are you serious",0.0,0.606,0.394,-0.0772,NEG
"😑 im connected to an old old power grid. i can hear the transformer buzz a few blocks away,,,, then poof. also why i have a surge protector on the entire house. 😑",0.0,0.932,0.068,-0.2263,NEG
text via cell phone 😃,0.0,1.0,0.0,0.0,NEU
Thanks for the update!!,0.537,0.463,0.0,0.5399,POS
"Can I walk my dog Sunday morning at 8:46 am in Tampa?",0.0,1.0,0.0,0.0,NEU
"you better wait until 8:51am",0.42,0.58,0.0,0.4404,POS
"only if no heat lightning",0.0,0.645,0.355,-0.296,NEG
Thank you,0.714,0.286,0.0,0.3612,POS
"The clouds look awsome",0.0,1.0,0.0,0.0,NEU
"Ugh.. I can’t do any more sand bags.. oh my back! BUT we are prepared! 🙏🙏#7 🐢",0.173,0.827,0.0,0.4468,POS
Rain???.,0.0,1.0,0.0,0.0,NEU
Didn’t think the two. Would start until tomorrow. Oh well,0.189,0.811,0.0,0.2732,POS
Careful out there. Between plant city and Lakeland it hit all at once and the road started ponding quickly. Those who didn't slow down are in the trees waiting on FHP,0.051,0.949,0.0,0.1531,POS
"Good one.",0.744,0.256,0.0,0.4404,POS
"ak. Yep!",0.714,0.286,0.0,0.3595,POS
Thank you Denis.😊,0.556,0.444,0.0,0.3612,POS
Sarasota 🌧,0.0,1.0,0.0,0.0,NEU
Thank you!!,0.755,0.245,0.0,0.4738,POS
"Thank you Denis",0.556,0.444,0.0,0.3612,POS
thank you,0.714,0.286,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
"thanks for the updates.",0.492,0.508,0.0,0.4404,POS
"Thank you",0.714,0.286,0.0,0.3612,POS
Cue the stupid questions!,0.0,0.448,0.552,-0.5707,NEG
Weird questions in 3 2 1,0.0,0.541,0.459,-0.1779,NEG
"you mean stupid questions.",0.0,0.469,0.531,-0.5267,NEG
"both types are being asked",0.0,1.0,0.0,0.0,NEU
Yes,1.0,0.0,0.0,0.4019,POS
where is this?,0.0,1.0,0.0,0.0,NEU
"Palm Harbour & Tarpon Springs Community",0.0,1.0,0.0,0.0,NEU
good luck to you guys!,0.674,0.326,0.0,0.7345,POS
