"Remember last night I gave the ""whack-a-mole-example"" with the center of the storm moving around and redeveloping in different spots? (Like the carnival game)
  The center has indeed developed a bit more to the South and West this evening.  Models will shift back and forth, but this is slightly different as a new center would mean a track more West.  It was a possibility we talked about extensively last night. 
  I would expect the NHC track to be nudged a bit to the West at 11 pm.  That would be good news for the Bay Area but not so good for areas up in the Big Bend as it would allow the storm to get stronger before landfall. A landfall that would be increasingly likely in a spot near where Idalia ended up last year. 
 We'll have the new update shortly.",Pos,Neu,Neg,Compound,Overall Sentiment
I just saw that on Ventusky app. Holy Heck not good,0.0,0.789,0.211,-0.3412,NEG
Eek! I was in that Big Bend Idalia hit! No power for 10 days. Still chainsawing limbs and trees. 😬😬😬,0.0,0.866,0.134,-0.4184,NEG
"Praying for everyone in Debby’s path! I live in New Port Richey, area and am concerned! I still have PTSD from Ian!",0.151,0.849,0.0,0.5229,POS
"PTSD same",0.0,1.0,0.0,0.0,NEU
"I already knew it was gonna go west. It never stays on the track that brings it to Tampa Bay.",0.0,1.0,0.0,0.0,NEU
Indian grounds 🙏,0.0,1.0,0.0,0.0,NEU
When they say it’s going to hit Tampa it goes to swfl 😂,0.0,1.0,0.0,0.0,NEU
"I prefer playing ""whack a snack cake"". On my 9th box.",0.184,0.816,0.0,0.2023,POS
just come here Monday if it tracks west lol,0.259,0.741,0.0,0.4215,POS
"what Monday!?",0.0,1.0,0.0,0.0,NEU
this week. The 5th.,0.0,1.0,0.0,0.0,NEU
"I saw this a few minutes ago and thought “Denis, called it!!!”",0.0,1.0,0.0,0.0,NEU
"DP is the GOAT",0.0,1.0,0.0,0.0,NEU
"So, the GFS was right all along.",0.0,1.0,0.0,0.0,NEU
"Live in Pasco, chances we go from watch to warning ?",0.148,0.656,0.197,-0.1531,NEG
watch means conditions within 48 hours and warning is conditions within 36 hours or less. If both are tropical storm then it just means the timeframe is closer.,0.0,0.918,0.082,-0.34,NEG
"I feel like I should already know this.. But what is the heavy blue line?",0.127,0.873,0.0,0.1901,POS
if it goes more west does it not have more chance it will stall due to the trough to the north?,0.0,0.835,0.165,-0.4131,NEG
We're in the clear then. It's far west,0.271,0.729,0.0,0.3818,POS
What will the winds be if that trend continues,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips! New generator still in its box,0.237,0.763,0.0,0.4199,POS
Thank you. 🙏I know we are in good hands,0.435,0.565,0.0,0.6597,POS
this will keep you up to date on the storm.,0.0,1.0,0.0,0.0,NEU
Thanks for the update Denis Phillips !💙,0.347,0.653,0.0,0.4926,POS
What is expected for 30A area?,0.0,1.0,0.0,0.0,NEU
Bradenton area?,0.0,1.0,0.0,0.0,NEU
"Not good. It’s over hot Caribbean water now and probably strengthening. Weaker west but this might end up being a tropical depression or minimal TS when it lands in Cuba again, crosses over better organized and we know stronger north and weaker west. A lot of these forecast models have it weaker than it likely will be and that’s why these things tend to make that turn earlier than models have shown over the years. Forecasts with direct Tampa hits end up just south of us and then panhandle forecasted hits from this direction end up in Big Bend area. What happens when you have a Big Bend forecasted hit from here? Don’t want to have a final flip flop of models.",0.078,0.781,0.141,-0.8659,NEG
If I lived in Big Bend I wouldn’t be happy . It like they have a target 🎯 on their backs. Be safe,0.374,0.576,0.049,0.836,POS
For anyone that hasn’t lived in Florida in over 20 years it’s no biggy,0.0,0.855,0.145,-0.296,NEG
Thanks Denis! So not looking so good for us in Jacksonville or big bend area. Not looking forward to this!,0.286,0.714,0.0,0.8034,POS
you will be fine,0.375,0.625,0.0,0.2023,POS
much of the big bend is still recovering from Idalia last year. We are rightfully worried bc we are still rebuilding.,0.0,0.901,0.099,-0.296,NEG
I am referring to Jacksonville,0.0,1.0,0.0,0.0,NEU
We’re in Live Oak. Idalia’s eye sat over us for 2 hours last year. Scariest day we’ve experienced. We just got our barn built back up that was completely destroyed by Idalia. To say we’re underwhelmed by this storm is putting it lightly. Praying it doesn’t gain too much strength. 🙏🏼,0.155,0.785,0.06,0.6815,POS
"unfortunately we have a whole entire farm that depends on us as well as 2 Jersey milk cows I milk daily. Evacuating isn’t much of an option, especially if it’s not necessarily a huge system. We’ll probably lose power with this one. Ever since Idalia we lose it every time the wind blows it seems.",0.036,0.795,0.169,-0.7692,NEG
we lare in live oak too. Our roof started “breathing” the last minutes before it moved on. We didn’t lose it but if it had lingered another hour I think it would have gone. New roof now though. Idialia was a rough ride for sure.,0.064,0.895,0.04,0.2732,POS
she was tough for us that’s for sure. Praying Debbie doesn’t gain anymore power,0.416,0.508,0.076,0.7717,POS
same here and a tornado hit our place in May. This is a lot for one year.,0.0,1.0,0.0,0.0,NEU
"I’m sorry. We lost power for 4 days in May from the tornado but it skipped us, thankfully. What a wild year it’s been.",0.145,0.745,0.11,0.4404,POS
"with luck, it will stay a tropical storm or no more than a Cat 1. 🤞🙏",0.174,0.698,0.128,0.2023,POS
us too!! Still chainsawing limbs and trees.,0.0,1.0,0.0,0.0,NEU
same here. We have even touched our woods yet. There are trees down everywhere still. Praying our sweet town gets a break with this one. 🙏🏼,0.193,0.807,0.0,0.6705,POS
"Andrea Fuller so understand where your coming from were in the Dowling Park area couldn't get to our house for 3 days due to downed trees and debri we lost several things lots of trees as well didn't get our power back for 14 days and my husband had a Heart Attack 4 days later cleaning trees off my chicken pen and hen house , then the destruction from the Tornados in May we have all went through enough up here , praying this storm stays away",0.051,0.849,0.1,-0.6705,NEG
This storm just can’t make up her mind. I’m not looking forward to 3-4 months of this. Ugh!,0.0,0.828,0.172,-0.5487,NEG
"Denis, hear me out, what if we just asked nicely and politely told it to stop 🤭",0.152,0.733,0.115,0.1779,POS
Hernando county is not big bend right?,0.0,1.0,0.0,0.0,NEU
Why NHC does not mark any surveillance areas in Cuba?,0.0,1.0,0.0,0.0,NEU
"Thank you as always, Den.",0.385,0.615,0.0,0.3612,POS
So is shore acres not ok then? Lol,0.0,0.587,0.413,-0.4973,NEG
"Tallahassee doesn’t want it, we just got done with tornado repair from May. 🤬",0.098,0.902,0.0,0.0772,POS
"Whats it look like for anna maria?",0.294,0.706,0.0,0.3612,POS
Denis Phillips. Chances my flight lands at srq at 950 am Sunday?,0.141,0.859,0.0,0.2023,POS
should be ok at that time of morning unless it does something unexpected....,0.155,0.845,0.0,0.296,POS
where you flying from?,0.0,1.0,0.0,0.0,NEU
call the airline.,0.0,1.0,0.0,0.0,NEU
I pray so Denis Phillips,0.434,0.566,0.0,0.3182,POS
So the Euro was correct on where that development would be. Makes me feel better about the Euro.,0.146,0.854,0.0,0.4404,POS
"we are still a day out. 🙄",0.0,1.0,0.0,0.0,NEU
"Once again, giving thanks to the Tocobaga tribe's burial mounds 😅",0.398,0.602,0.0,0.6486,POS
Good thing we haven't tried to rebuild from losing the home on our property during Idalia last year.,0.135,0.744,0.121,0.0772,POS
I’m still working on repairs from that dang storm! Not the same track as Idalia!,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
we are too. Ironically also called a builder about a new home the other day lol.,0.177,0.823,0.0,0.4215,POS
Between Idalia and the Tallahassee May tornadoes we have been through it. In 20 years I’ve had zero homeowners claims til 2023. Now I’ve had 2 major claims in less than a year. Sheesh!,0.0,1.0,0.0,0.0,NEU
My son leaving Savannah to drive to New Port Richey Sunday at 5pm. Will he run into serious weather. I can’t tell from the map what time this will all be happening??? Thank you!!! Concerned to say the least.,0.095,0.873,0.032,0.5597,POS
Tocaboga,0.0,1.0,0.0,0.0,NEU
"Idalia was a horrible experience of direct hit, and still repairing from it. Getting a Uneasy feeling.",0.077,0.612,0.311,-0.6808,NEG
"Watching from Cedar Key….",0.0,1.0,0.0,0.0,NEU
I’m watching from KY!!,0.0,1.0,0.0,0.0,NEU
No biggie,0.0,0.312,0.688,-0.296,NEG
Hope it doesn't hit Clearwater,0.42,0.58,0.0,0.4404,POS
We know how bad Idalia when it nailed the Big Bend area.,0.0,0.759,0.241,-0.5423,NEG
"I stayed up all night watching it strengthen to nearly a cat 5. I was terrified. We lost our roof, lots of wood siding and a ton of trees.",0.075,0.719,0.206,-0.6124,NEG
who wouldn’t be terrified to see a C5 knocking on your door. I feel bad for you guys. Please be safe. Please be careful.,0.279,0.491,0.23,-0.1027,NEG
And you all bashing the European track showing track to the West 😂,0.0,1.0,0.0,0.0,NEU
Thanks Denis - the man who never sleeps!,0.347,0.653,0.0,0.4926,POS
It to far it's moved so much .. it will move back again it's not in the golf yer,0.0,1.0,0.0,0.0,NEU
Very scary unpredictable storm 🥵🥵🥵🙏🙏🙏,0.0,0.534,0.466,-0.5413,NEG
Denis your the best,0.583,0.417,0.0,0.6369,POS
As usual good for some and not so good for others.,0.392,0.608,0.0,0.7003,POS
"We need to name one of these storms ""Karen""! 🤣",0.0,1.0,0.0,0.0,NEU
I'm in Yankeetown right next to Cedar Key. Lord help us all.,0.197,0.803,0.0,0.4019,POS
we’re neighbors fingers crossed 🤞,0.0,1.0,0.0,0.0,NEU
"It will change again tomorrow.",0.0,1.0,0.0,0.0,NEU
Prayers for all in storms path 🙏,0.0,1.0,0.0,0.0,NEU
"Denis Phillips lol , I’ve asked many times- do you think an nyc cruise to Bahamas Turks and Dominican will be ok starting Monday?? lol",0.28,0.72,0.0,0.7998,POS
I’m not Dennis but I would say yeah storm will be over north Florida Monday,0.177,0.823,0.0,0.4215,POS
we will be in NyC Monday. lol coming down the coast Tues wed… curious,0.298,0.702,0.0,0.6249,POS
oh you said yea it’ll be ok lol,0.455,0.545,0.0,0.6124,POS
i didn’t read nyc at first smh. Take a look at the map and ask yourself if you think you should get in a boat traveling toward a hurricane or tropical storm 😂😂😂,0.0,0.924,0.076,-0.3182,NEG
the captain will make that decision I guess??? Ahhh,0.0,1.0,0.0,0.0,NEU
they’ll make the right call their job is to keep you safe ❤️ good luck,0.423,0.577,0.0,0.8316,POS
"Uh oh…. Lise McMullen Casady and I moved from Crystal Beach to Perry in January.😕",0.0,1.0,0.0,0.0,NEU
"Hey Denis Phillips is it going to stall over South Carolina",0.0,0.847,0.153,-0.2023,NEG
curious too we are driving from PA to SC on Sunday 🥴,0.187,0.813,0.0,0.3182,POS
I have seen other reports that say so. I live in SC,0.0,1.0,0.0,0.0,NEU
ugh. Nervous. Thank you,0.298,0.119,0.583,-0.34,NEG
Where ate you going in SC,0.0,1.0,0.0,0.0,NEU
is this going to affect you?,0.0,1.0,0.0,0.0,NEU
"I hope we are ok in central Florida, Polk County to be exact. I’m not to worried.",0.35,0.65,0.0,0.7174,POS
Getting ready,0.714,0.286,0.0,0.3612,POS
Hope it's a false alarm but not taking any chances,0.169,0.52,0.311,-0.1625,NEG
NHC just confirmed it is TD 4,0.0,1.0,0.0,0.0,NEU
Go west young storm lol,0.412,0.588,0.0,0.4215,POS
Not puttin' up the shutters just yet!!! Will check early and move ahead if Debbie becomes DEBBIE!! haha.! Thanks always Denis Phillips.,0.162,0.838,0.0,0.6209,POS
weather on my phone shows this for rain on Sunday in St Pete Beach... I'll believe and watch DP instead. No way this can be correct.,0.0,0.919,0.081,-0.296,NEG
Blah ... suspenders... Happy Fri Eve 😊💯🏴‍☠️,0.366,0.495,0.139,0.5106,POS
What time should we expect to die?,0.0,0.606,0.394,-0.5994,NEG
"just cancel the entire Sunday, it could be later in the evening and anything you paid for or did that day would be pointless 🤣",0.0,0.92,0.08,-0.25,NEG
this is who you need to follow for weather!,0.0,1.0,0.0,0.0,NEU
thank you!,0.736,0.264,0.0,0.4199,POS
Thanks Boss for the updates,0.42,0.58,0.0,0.4404,POS
