2pm update: Debby now moving at 13 mph. Next track update at 5pm. We are updating live on ABC Action News right now.,Pos,Neu,Neg,Compound,Overall Sentiment
Hard rain in Dover not much wind,0.0,0.811,0.189,-0.1027,NEG
"Rain, some a lil moderate here at times and there is no big winds yet in Homosassa. Hoping this moves away without drama.",0.112,0.8,0.088,0.1531,POS
light rain in seffner,0.0,1.0,0.0,0.0,NEU
Thanks for the update.,0.492,0.508,0.0,0.4404,POS
Turtle,0.0,1.0,0.0,0.0,NEU
Siesta key is heavy rain and apparently storm surge coming.,0.0,1.0,0.0,0.0,NEU
"Unfortunately, I have satellite Direct TV. No signal when it rains….",0.0,0.635,0.365,-0.5574,NEG
"f you have a Roku, fire stick, or smart TV, you can stream Direct TV. No need for the satellite.",0.121,0.673,0.206,-0.2263,NEG
"What if we have no internet? No cable out here yet. Rapid Systems is available, but is satellite as well.",0.116,0.744,0.14,0.1154,POS
"yes unfortunately you need internet.",0.333,0.37,0.296,0.0772,POS
same with Dish.,0.0,1.0,0.0,0.0,NEU
Hardly raining in Madeira Beach,0.0,1.0,0.0,0.0,NEU
"That clear patch is over us now 🤙🌀",0.271,0.729,0.0,0.3818,POS
I hope a clear area comes over me so I can get the dog to go out. 😳,0.314,0.686,0.0,0.6705,POS
"I have one that ""will"" go out and one that won't even go through the door. I keep a supply of PeePee pads on hand.",0.132,0.868,0.0,0.4939,POS
i’m a pet sitter and I’m here Seminole Heights in Tampa and I just got a dog out. It was like a miracle now I’m gonna run and try to get two more out.😊,0.184,0.816,0.0,0.743,POS
"mine was a yard dog in Texas and out in all weather, but now that she’s a Florida house dog, she will not go out in rain. Drives me crazy when we have these long rains.",0.0,0.914,0.086,-0.4767,NEG
"Crystal River getting rain",0.0,1.0,0.0,0.0,NEU
Power out in Eastlake Woodlands in Oldsmar,0.0,1.0,0.0,0.0,NEU
"Heavy rain in Citrus Co",0.0,1.0,0.0,0.0,NEU
Doing an Open House today in Winter Garden 12-7 pm it’s been raining on and off…,0.0,1.0,0.0,0.0,NEU
looks good the house is beautiful I’m in Ruskin or I would come hang out!,0.371,0.629,0.0,0.7959,POS
http://JohnsLakeDock.com,0.0,1.0,0.0,0.0,NEU
"rain in spring hill",0.0,1.0,0.0,0.0,NEU
There are major height falls developing east of the storm. Combine that with warm water and a shift in the axis of higher standard deviation. It’s def not gonna be in the water for 5 min. Cat 2. But even potential 3 for Carolina’s,0.035,0.965,0.0,0.1154,POS
Rain and wind has picked up in Seminole just east of the lake.,0.0,1.0,0.0,0.0,NEU
"High tide, Shore Acres. Next High will be worse",0.0,0.721,0.279,-0.4767,NEG
Get those guitars to high ground!,0.0,1.0,0.0,0.0,NEU
really hope you stay above water!,0.411,0.589,0.0,0.54,POS
Sadly ABC Action News app isn't available to us Canadian Snowbirds 😢,0.0,0.781,0.219,-0.4215,NEG
"we getting a lot of rain and a decent amount of wind, my screen porch is flooded. I haven’t been out to see how the neighborhood is doing.",0.0,1.0,0.0,0.0,NEU
It must be the area code from the phones...cause I live in Florida more then I'm here as that's where my wife is..,0.0,1.0,0.0,0.0,NEU
that's why I can't find it. There's a VPN app that my friend told me about..then you can download it,0.158,0.842,0.0,0.4939,POS
Holiday lake estates,0.574,0.426,0.0,0.4019,POS
No wind in Lakeland yet today,0.0,0.694,0.306,-0.296,NEG
"Dark sky and light, off and on rain in Bradenton. A sleepy, snuggle day with the cats😻",0.0,1.0,0.0,0.0,NEU
"Boy sure seems to be getting BIGGER 😳😳",0.247,0.753,0.0,0.3182,POS
"Med rain in Satsuma, light bursts of wind.",0.0,1.0,0.0,0.0,NEU
Lots of wind & rain in Tierra Verde - Non stop! Longest Tropical Storm Ever!! ☔️😱🌧💨,0.0,0.809,0.191,-0.4724,NEG
has done more damage to my yard than any hurricane ever has in years!,0.0,0.775,0.225,-0.5838,NEG
wow! It’s the loudest Tropical Storm !! Be safe 💛,0.52,0.48,0.0,0.8213,POS
"I am right there with you 😃☔️",0.0,1.0,0.0,0.0,NEU
Saint Pete here not much going on just raining and windy. but nothing haven’t seen lately,0.0,1.0,0.0,0.0,NEU
Denis Phillips Thanks for the live coverage! These long stretches of live coverage on local stations is fun to watch.,0.265,0.735,0.0,0.7574,POS
"Me this morning 😉😆",0.0,1.0,0.0,0.0,NEU
I got tired of sitting inside about 3:30 PM took a wander outside. It’s breezy little bit of rain. Chickens are fine so if I can’t get the little girl lay in her nesting box so her egg just sits have a great day Clearwater,0.126,0.812,0.062,0.4588,POS
"I’m listening to ya. 😂",0.0,1.0,0.0,0.0,NEU
"What a Debbie downer lol",0.483,0.517,0.0,0.4215,POS
"A couple of power outages here in Orlando and some heavy rain bands.",0.0,1.0,0.0,0.0,NEU
Power in ELW died 2pm,0.0,0.526,0.474,-0.5574,NEG
"Millibars dropping.",0.0,1.0,0.0,0.0,NEU
So disappointed that they are giving live reports and have Lacrosse on instead,0.143,0.655,0.202,-0.2484,NEG
Here is Howard Franklin,0.0,1.0,0.0,0.0,NEU
"Speeding up is a good thing, right Denis Phillips? That means it doesn't strengthen as much, right?",0.17,0.728,0.102,0.3178,POS
"Ty! Yup, had no idea 😆🤦🏻‍♀️",0.318,0.44,0.242,0.1759,POS
how am I friends with you and 🤣🤣🤣🤣🤣,0.341,0.659,0.0,0.4767,POS
we're here to keep you on your toes.,0.0,1.0,0.0,0.0,NEU
"hey, I get a break this time bc of the multiple family emergencies going on rn. Usually I’m on it",0.0,1.0,0.0,0.0,NEU
"We had the first band come through in Hernando a little while ago.",0.0,1.0,0.0,0.0,NEU
"eah, theyay be updating live but it's not you Denis! I'm sorry but you guys spoiled me, I'm looking for Denis, Wendy and always will miss Mr. Hunker Down himself, Don!",0.0,0.881,0.119,-0.4468,NEG
thanks for the memories!,0.516,0.484,0.0,0.4926,POS
Guess we have a long way to go,0.0,1.0,0.0,0.0,NEU
"If you prepared when you should have, you’re gonna be fine.",0.291,0.709,0.0,0.4019,POS
Lil Debbie is marching through the gulf. Meanwhile I’m here in Lakeland eating all my hurricane snacks looking like,0.122,0.878,0.0,0.3612,POS
