"Wednesday Tropical Thoughts:
1. Euro still brings a weak system in the Bahamas and skirts it along the East coast of Florida. Little impact to our area with this scenario. 
2. GFS (American model) is still the wild card. (And the outlier). It goes in the Eastern Gulf and would bring squally weather to the West coast of Florida over the weekend and early next week. 
3. The wave seems to be getting better organized today while the NHC still has it at a 60% chance of developing. 
4. The Orange hatched area still covers Florida but is leaning East coast track. So am I. 
5. 🐢",Pos,Neu,Neg,Compound,Overall Sentiment
"have a plan and prepare as best you can. That can go a long way towards allying your fears. Fwiw, I lived in the Tampa Bay area (Odessa) for 50 years, saw many storms, but never had any significant damage..",0.064,0.842,0.094,-0.0485,NEU
Thank you..,0.714,0.286,0.0,0.3612,POS
"same here..we are moving next year...to new major hurricane safe townhouse...so this is our last ""scary"" season per se.",0.139,0.861,0.0,0.4404,POS
been here 48 years. Been through many. Especially 2004! I don't panic until I need to. Comes with the territory,0.161,0.839,0.0,0.5036,POS
So many people panic needlessly. It's just so sad. Not worries until we have a cat 2. Before then? Don't bother paying attention. Because there is NOTHING to pay attention to. Literally. New to FL people are buying everything the media is selling. Probably putting up shutters right now.,0.105,0.761,0.134,-0.5614,NEG
Is anyone wondering if it will split the difference and go right up the center of the state?,0.0,1.0,0.0,0.0,NEU
So we are headed to Myrtle Beach. Looks like we will have storms. Right? Denis Phillips,0.143,0.857,0.0,0.3612,POS
"Thank you for your in depth, non hyperbolic coverage!",0.259,0.741,0.0,0.4199,POS
Flying out of Miami to Rome on Saturday night. Do we need to make any itinerary changes with this weather forecast?,0.0,1.0,0.0,0.0,NEU
what??????????,0.0,1.0,0.0,0.0,NEU
😂😂😂,0.0,1.0,0.0,0.0,NEU
"Dennis, I’m visiting the Melbourne area this week. How much will Melbourne be impacted?",0.0,1.0,0.0,0.0,NEU
"Denis Phillips, I am heading to Costa Rica flying from Orlando next Wednesday morning. Do you think it will be cleared out by then?",0.06,0.94,0.0,0.1027,POS
there’s not really been much about this interrupting Central America. And if it goes by the east coast on Sunday/monday. Wednesday should be no problem.,0.0,0.748,0.252,-0.7506,NEG
thanks! It keeps saying could develop in the next 7 days over and over which is now pushing right into my trip. Then some reports say if it develops it will this weekend so it’s just a little confusing. I just worry about the flight itself getting out of here.,0.056,0.855,0.088,-0.1619,NEG
"100% usually just means it can develop into a tropical storm in that time frame. So if it keeps pace (Sun/Mon) you should be good. If it for some reason it slows dramatically then it could push it later.
🤞🏼🤞🏼",0.071,0.929,0.0,0.4404,POS
thank you!,0.736,0.264,0.0,0.4199,POS
Will this hit this weekend or next week I'm trying to close on a house need to know when a named storm will appear it effects obtaining insurance before closing.. they won't insure any home when there is a named storm out there anywhere.. which is fun for us realtors.. we close on Wed a week from today. Get insurance Monday? Or this Friday? Haaaa,0.057,0.943,0.0,0.5661,POS
I heard it is already named Debby. 🤷‍♀️,0.0,1.0,0.0,0.0,NEU
that’s what it WILL be named IF it becomes a tropical storm. It’s not officially named. We always just have the list. If this one doesn’t develop the next developed one will be Debbie.,0.0,1.0,0.0,0.0,NEU
"it’s Debbie if it forms. It’s not technically a named storm at all. Denis would refer to it by name if it was named storm.
And he’s been saying Sunday/Monday for this weekend.",0.0,1.0,0.0,0.0,NEU
You are the greatest weather man. Thank You for always being real with us and with your no hype approach to weather. I appreciate you so much!!! ❤️🙏,0.29,0.648,0.062,0.8433,POS
"Thank you for the updates. As usual, you’re the best person to follow. I’ve been following you since the Ferocious Four of 2004. You can never retire 😆",0.209,0.748,0.044,0.743,POS
"I’m supposed to be flying from the Caribbean to FLL on Sunday, should I consider changing plans? It’s hard to tell what timing would look like with these types of models",0.078,0.878,0.044,0.2732,POS
We live on the east coast of Florida and I rely on your forecasts! Thanks so much.,0.175,0.825,0.0,0.4926,POS
We are coming to Ami this coming weekend for a week stay. Should we cancel our plans,0.0,0.882,0.118,-0.25,NEG
I wouldn't Im headed to AMI tomorrow and staying until Sunday.,0.0,1.0,0.0,0.0,NEU
I'm so sorry my Florida friend I'm going to be missing this hurricane being in Ohio.,0.16,0.65,0.19,0.1045,POS
Is this thing ever going to develop/move? It seems like this system can’t make up its mind.,0.135,0.865,0.0,0.3612,POS
definitely a 🐢,1.0,0.0,0.0,0.4019,POS
Amwrican model?? That a new one? 🧐 Denis Phillips,0.0,1.0,0.0,0.0,NEU
I’m right there with ya. I was just teasing. I hope you have a great rest of the day! Let us know when we need to stock up on Dr Pepper! ❤️,0.217,0.745,0.037,0.8065,POS
"Landing in Orlando, coming from New England- do you foresee any problems Monday night?",0.0,0.828,0.172,-0.4019,NEG
we are flying into MCO Sunday evening/Monday morning….do you see there being a problem? Thank you!,0.135,0.703,0.162,-0.126,NEG
thank you! You’re the best!,0.708,0.292,0.0,0.8065,POS
a little cooler weather photo for you this morning!,0.0,1.0,0.0,0.0,NEU
We’re heading to Myrtle Beach on Friday. Planning on flying back on Monday. Do you think we’ll have any issues getting out early afternoon?,0.0,1.0,0.0,0.0,NEU
you are hosed. Cancel now and run 🙂. Enjoy!!!,0.312,0.535,0.153,0.4724,POS
thanks Denis,0.744,0.256,0.0,0.4404,POS
I should clarify. No issues returning from MB early Monday afternoon?,0.0,0.804,0.196,-0.296,NEG
What time frame are we thinking for Space Coast? 😭,0.0,1.0,0.0,0.0,NEU
Thoughts on flights coming from the UK?,0.0,1.0,0.0,0.0,NEU
Supposed to be heading to Sarasota tomorrow and come back on Sunday. Live in Savannah. Will this potentially cause travel issues on Sunday?,0.0,1.0,0.0,0.0,NEU
"If there is a Hi ,it will keep it East right Denis?",0.0,1.0,0.0,0.0,NEU
What's the chances of it effecting us flying to mco from the UK on sunday?,0.114,0.886,0.0,0.2023,POS
Having an outdoor wedding in Clearwater on Saturday. Should we expect heavy rain?,0.0,1.0,0.0,0.0,NEU
" - yikes! Outdoor wedding during summer in FL?
It storms every day here, scattered but still.. chances are high it could storm and blow away anything set up outdoors.
As stated, it’ll be safe most likely but it’ll be a complete washout on the weekend. Unless it completely goes east to NE.",0.117,0.883,0.0,0.7463,POS
10am - No. 3 pm or later---- most likely! And that is without a tropical system,0.0,0.828,0.172,-0.3595,NEG
The ceremony is in the evening.,0.0,1.0,0.0,0.0,NEU
thanks!,1.0,0.0,0.0,0.4926,POS
"Denis Phillips we’re scheduled to fly back from Nassau into Orlando Sunday early afternoon. In your opinion, will weather prevent this?",0.052,0.948,0.0,0.0258,NEU
Will this affect my east coast skydiving trip on Sunday?,0.0,1.0,0.0,0.0,NEU
Good Luck,1.0,0.0,0.0,0.7096,POS
What impacts could it have on us in NC?,0.0,1.0,0.0,0.0,NEU
Keep this in mind for traveling,0.0,1.0,0.0,0.0,NEU
"i know that's what I told you other day
Btw I don't fly the plane so I'm not in control 😂 just saying 😂
It's gonna past us tomm so I think we good for Sat
I expect turbulence on way back",0.085,0.915,0.0,0.4877,POS
"Hello Denis Phillips we are traveling from Canada, Toronto to Fort Lauderdale on Saturday (we arrived at 5:00 pm). Then we spend the night in Fort Lauderdale and on Sunday we have a boat cruise schedule to departure that day to Bahamas, Puerto Rico and San Thomas. It is a 7-day cruise. Do you see any risks of the flight from Toronto to Fort Lauderdale being canceled due to the hurricane? We don't know how to search the approximate time the hurricane will be in Fort Lauderdale...Any advice? Thanks 😊",0.036,0.941,0.023,0.2869,POS
Flying home into SRQ on Friday night - any issues in your opinion?,0.0,1.0,0.0,0.0,NEU
Denis Phillips heading on flight from new york to Orlando Saturday morning and a cruise out of Port Canaveral Sunday. Bahamas on Tuesday. How concerned should I be? I am told you are the best one to follow for these predictions!,0.108,0.892,0.0,0.6696,POS
"Denis Phillips When in the weekend is the system expected to brush Florida East coast, ""if it does""? We are going to west plam beach in the weekend and be driving back to Tampa on Sunday Noon. Wondering if the drive back to Tampa is safe on Sunday. Thanks!",0.115,0.885,0.0,0.7263,POS
"SO...... you're thinking of driving your Family up the east Coast, too ? Wait, u Don't have to answer that 😆",0.0,1.0,0.0,0.0,NEU
"Denis Phillips spending the weekend in St Pete Beach, any concerns?",0.0,1.0,0.0,0.0,NEU
we are too hoping not into gulf!,0.34,0.66,0.0,0.4753,POS
Great analysis sir thank you,0.688,0.312,0.0,0.765,POS
What does this do to cruises leaving Jacksonville Monday heading to Bahamas?,0.0,1.0,0.0,0.0,NEU
Denis Phillips - what are you thoughts on this heading to Jamaica? I’m scheduled to be there 8/9-8/17. Don’t know if I should cancel. Thank you,0.094,0.83,0.075,0.128,POS
Denis Phillips how is Hilton head SC looking starting Sunday? Going there for a vacation!,0.0,1.0,0.0,0.0,NEU
Denis Phillips leaving Tortola shortly to cruise up to Bahamas. Will we stay ahead of it?,0.0,1.0,0.0,0.0,NEU
We are headed to Topsail NC…. How bad do you think it might be there and when would it possibly get there?,0.0,0.857,0.143,-0.5423,NEG
Me too. Aug 4-10…,0.0,1.0,0.0,0.0,NEU
I’m praying it doesn’t come our way,0.294,0.706,0.0,0.3612,POS
Me too. I wasn’t aware it was a possibility until today. 😫,0.0,1.0,0.0,0.0,NEU
"Hi Denis. Thanks for all your updates. You're one of only a few weather folks I listen to for storms now. I know you are in the Tampa area, but many of your followers are in other parts of the state (or country!) I'm on the east coast in Martin County. When you say ""to our area"" I assume you mean the Tampa vicinity only and the rest of us need to (not panic but) keep a wary eye?",0.025,0.915,0.06,-0.5848,NEG
"And this, as Denis says, is why 3 or more days out you watch but don’t worry.",0.0,0.796,0.204,-0.5927,NEG
"I missed the part about the turtle. Can you tell me what that’s about? Appreciate your insights, always, thank you!!!",0.25,0.659,0.091,0.5962,POS
Heading to Orlando Sunday…should I be worried??,0.0,0.661,0.339,-0.3736,NEG
You’re the best! Thanks for keeping us updated and keeping us calm 😂,0.519,0.481,0.0,0.8655,POS
What does this mean for us in port st lucie/ fort Pierce area.,0.0,1.0,0.0,0.0,NEU
it means keep paying attention! Nobody knows yet,0.0,1.0,0.0,0.0,NEU
I was planning to arrive to Tampa on Friday to Sunday eve. I need to leave by Sunday evening. Do you anticipate it hitting by Sunday eve?,0.0,0.952,0.048,-0.0516,NEG
he keeps saying Sunday/monday. More exact time is hard when it’s still so far away.,0.0,0.909,0.091,-0.1027,NEG
Rule #7 is in effect . Will be watching you tonight on DPL @ 7:30,0.0,1.0,0.0,0.0,NEU
"Denis, thanks again for all you do. I love the turtle at #5 🙂",0.415,0.585,0.0,0.7964,POS
If this goes west what is the risk for surge ?,0.0,0.811,0.189,-0.2732,NEG
I know you can’t answer this but I’ll ask anyways 😂 Flying back on Monday am into Tampa. Should we leave Sunday instead??,0.0,0.923,0.077,-0.168,NEG
"no I wouldn’t change any plans. If it does come near Tampa, it will just be rain and a breeze possibly.",0.0,0.891,0.109,-0.296,NEG
thanks! We are trying to fly back and you know how things go with flights and rain. That breeze on the other hand… lol,0.214,0.786,0.0,0.7177,POS
This is a very slow moving storm it must be encountering some dry air how fast is this thing moving?,0.0,1.0,0.0,0.0,NEU
I’m going to The Abacos all weekend . I will expect a bit of rain . Bringing board games and drinks . 🍹can’t always change your plans 🤷🏻‍♀️,0.0,1.0,0.0,0.0,NEU
So just rain for around Melbourne or Sebastian?,0.0,1.0,0.0,0.0,NEU
Could be dicey arriving in cape hatteras a week from today with a camper 😳,0.0,1.0,0.0,0.0,NEU
What about st Augustine? How bad do you think it will be here?,0.0,0.757,0.243,-0.594,NEG
Could this gain strength while it rides the east coast ? Does this put Ga on the dirty side ? Reminds me of Mathew and I’m just trying to be prepared .,0.241,0.68,0.079,0.7149,POS
"Hey Denis we’re going to Disney Sunday, will we see much rain?",0.0,1.0,0.0,0.0,NEU
"The reality is that it is hard enough to predict path and strength of an organized hurricane this far out, much less predict what is a only disorganized disturbance right now.",0.09,0.734,0.175,-0.25,NEG
We are flying into Orlando from London on Monday at 6:30p. Hopefully the system will be gone by then.,0.13,0.87,0.0,0.4019,POS
Denis Phillips We are flying from Houston to Orlando Sunday night. I’m nervous. Should we anticipate canceling?,0.0,0.884,0.116,-0.2732,NEG
What part of east cost flying out of Baltimore Sunday,0.0,1.0,0.0,0.0,NEU
I think all of Florida will get wet for the weekend..😆,0.0,1.0,0.0,0.0,NEU
What about Disney sun mon tues pool days only ? Should I move it to another weekend ?,0.0,1.0,0.0,0.0,NEU
Well I need more rain. I only had 11.5 inches or so this... month....,0.16,0.84,0.0,0.2732,POS
I love mowing the lawn every day. It relaxes me :-&,0.441,0.461,0.099,0.7351,POS
My son is in the Dominican Republic. Any idea if and when it will hit there? 🙏,0.0,1.0,0.0,0.0,NEU
he's fine,0.643,0.357,0.0,0.2023,POS
"yes, but any idea on the answer to my questions?",0.171,0.829,0.0,0.2144,POS
it is basically due east of them right now! It will not become anything till it's passed there! He's fine! Lol,0.224,0.776,0.0,0.6679,POS
"It’s not a matter of if you will get hurt by a turtle, but when.",0.0,0.773,0.227,-0.3043,NEG
Should be an interesting weekend in Orlando/at Disney 🤷‍♀️,0.252,0.748,0.0,0.4019,POS
sometimes it makes for a really nice weekend in the parks!,0.273,0.727,0.0,0.5244,POS
Maybe some rain. Meh,0.0,0.698,0.302,-0.0772,NEG
not really. Nothing forecasted except our typical afternoon storms.,0.0,1.0,0.0,0.0,NEU
"wondering the same, was heading to universal studios Friday morning till sun night, holding off on booking that hotel room...",0.0,1.0,0.0,0.0,NEU
Anna Marie island this Saturday thru the week! Thoughts,0.0,1.0,0.0,0.0,NEU
same!! Hoping this thing spares all of us,0.326,0.674,0.0,0.5242,POS
me too! It’s our family vacation 😳,0.0,1.0,0.0,0.0,NEU
"sameeee",0.0,1.0,0.0,0.0,NEU
Florida looks more central in the 2pm projection,0.0,1.0,0.0,0.0,NEU
I’m traveling in to Panama City from Oklahoma for 10 days this Friday. If it heads west what time frame and how long do you think it’ll stick around there?,0.0,1.0,0.0,0.0,NEU
we have been getting rain everyday here in Panama City Beach area. Here they are started talking about the GFS model that has the system stalling over the Florida Panhandle for about 4 or 5 days bringing about 50 inches of rain. It is our raining season Herr just make sure you have indoor plans,0.042,0.926,0.033,0.128,POS
50 inches of rain? 🙄,0.0,1.0,0.0,0.0,NEU
yes that what the GFS is predicting,0.31,0.69,0.0,0.4019,POS
😳😳😳,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, I'm OK being stalked by a turtle as long as it's not like this one! 😂",0.167,0.724,0.109,0.2767,POS
I don’t see the lean to East? 🤷🏽‍♀️,0.0,1.0,0.0,0.0,NEU
Is the Euro tracking more westerly now?,0.0,1.0,0.0,0.0,NEU
Thank you for keeping us updated. Rule #7!!!,0.325,0.675,0.0,0.5229,POS
"Moved out of S Florida to avoid storms….heading to Hilton Head, SC this weekend….what are the odds it goes there?!?! 😩",0.0,0.851,0.149,-0.4843,NEG
- you have to move to the middle of the US to avoid hurricanes. Then you have tornados 😂,0.0,0.879,0.121,-0.296,NEG
seriously? You moved to Hilton head to avoid storms!,0.0,0.625,0.375,-0.4926,NEG
No just on vacation,0.0,0.577,0.423,-0.296,NEG
( moved out of s. Florida) lol,0.359,0.641,0.0,0.4215,POS
We moved…as in we don’t live there anymore)…but are vacationing in Hilton Head this weekend,0.0,1.0,0.0,0.0,NEU
"This has I would say the same set up Isaias did back in 2020. That storm was nothing and it didn’t get its act together until it went north of Hispaniola, and then it developed from a 65 mph Tropical Storm into a 90 mph Category 1 pretty quickly near the Bahamas.",0.064,0.936,0.0,0.4939,POS
I’m leaning toward what you say ,0.0,1.0,0.0,0.0,NEU
I am Cocoa Beach. I don’t like east coast storms 😢,0.263,0.737,0.0,0.3612,POS
I’m driving up to New England Sunday or Monday. Ya think I’ll be able to? 🤣🤣,0.0,1.0,0.0,0.0,NEU
Thank you!,0.736,0.264,0.0,0.4199,POS
Heading to Daytona Aug 3- Aug 10. How bad will the weather be?,0.0,0.774,0.226,-0.5423,NEG
"Fb algorithms are weird
I saw your posts today
Somehow I just saw this one at 8pm tonight / Thurs from yesterday??",0.0,0.897,0.103,-0.264,NEG
I always follow Denis because I have a Gator and live out of state but now I’m watching because we have a trip to Hilton Head this weekend. 😩,0.0,1.0,0.0,0.0,NEU
I mentioned yesterday that I have a feeling it will go out into the gulf then head towards Texas. Some girl responded and said no way.,0.061,0.85,0.089,-0.1779,NEG
So basically...we are going to get some rain.,0.0,1.0,0.0,0.0,NEU
Go #5!,0.0,1.0,0.0,0.0,NEU
EURO was really far off on Hurricane Beryl this year. Not off to a great start while the other models were right. Kinda hard to know since we don’t have a storm formed yet.,0.0,0.872,0.128,-0.5269,NEG
"Great, going to Marathon for our 10th wedding anniversary.",0.339,0.661,0.0,0.6249,POS
Hope we dont get it too bad in vero. Our last get away before school,0.149,0.67,0.18,-0.1531,NEG
"Denis, thoughts on Daytona Beach Thursday-Sunday? 👀",0.0,1.0,0.0,0.0,NEU
Denis Phillips leaving Saturday out of port Canaveral for a cruise to Nassau…Will the weather be bad?,0.0,0.811,0.189,-0.5423,NEG
We need you in south east Florida! 🙏🏻🙏🏻🙏🏻❤️,0.0,1.0,0.0,0.0,NEU
"Yes, we do!!",0.621,0.379,0.0,0.508,POS
"On an unrelated note... I saw the movie TWISTERS last night on your recommendation and it was great! Definitely worth seeing, thank you, Denis!",0.383,0.617,0.0,0.8953,POS
I’m with you whatever you think I’m good with,0.266,0.734,0.0,0.4404,POS
