"Great view of how bands set up. You can see them here. Very heavy downpours spin through, then a break. Then the next band moves in. This will be around (especially WEST of I-75) all day.",Pos,Neu,Neg,Compound,Overall Sentiment
We're at St Pete Beach. Just light rain. Nothing heavy yet today.,0.0,1.0,0.0,0.0,NEU
the ending 🤣🤣🤣 “ I’m gonna laugh if they get pooped on “ 🤣🤣🙌💕💕💕,0.247,0.753,0.0,0.5574,POS
you honestly posted a video of them feeding the birds? The reason the signs are posted that say “do not feed the birds” is For A Reason 🙄,0.111,0.889,0.0,0.4588,POS
and bread is one of the most unhealthy things you can give them.....,0.0,0.765,0.235,-0.5709,NEG
"Hudson, first outer bands have arrived",0.0,1.0,0.0,0.0,NEU
What time is this starting?,0.0,1.0,0.0,0.0,NEU
two weeks 🙄,0.0,1.0,0.0,0.0,NEU
"Mild rain and some wind in Safety Harbor.",0.286,0.714,0.0,0.4215,POS
"Starting in Port Richey now",0.0,1.0,0.0,0.0,NEU
"Great job Dennis we're lucky to have you,thanks so much for keeping us up to date. Be safe",0.395,0.605,0.0,0.8689,POS
Hoping I get to fly out at 4:00 out of St Pete Clearwater Airport,0.189,0.811,0.0,0.4215,POS
No wind in Sarasota really a non event. Looks bad on radar but no wind and little rain,0.0,0.678,0.322,-0.6858,NEG
same thing in Palmetto too. Had a few very brief downpours but primarliy light rain with very little wind.,0.0,1.0,0.0,0.0,NEU
lots of rain in Venice.,0.0,1.0,0.0,0.0,NEU
Can I go fishing on the skyway pier Tuesday?,0.0,1.0,0.0,0.0,NEU
"We are expecting to fly into Tampa tomorrow at 1:30 for the week.
Thoughts? 🧐",0.0,1.0,0.0,0.0,NEU
check with the airline? I would think lots of delays and cancellations from now until tomorrow.,0.0,1.0,0.0,0.0,NEU
I’d say you should be fine by tomm here in Tampa but it’s the flying through the sky in other areas that might be an issue,0.053,0.947,0.0,0.1027,POS
storm should be completely on land up in the Panhandle by the time you're expecting to land so good chance you'll get in depending on where you're flying in from.,0.177,0.823,0.0,0.7201,POS
Wisconsin.,0.0,1.0,0.0,0.0,NEU
"gotcha, and by then the storm is going to be pretty good distance to the northeast of Tampa Bay the only unknown is how much flights might be delayed or altered because of cancellations during the storm. And that's going to be a complete unknown until it happens lol.",0.162,0.803,0.035,0.7906,POS
"call the airport! 🤡",0.0,1.0,0.0,0.0,NEU
"we're name calling now? I was simply asking a question.",0.0,1.0,0.0,0.0,NEU
Any clue of a time frame when we can relax that it will be out of the Clearwater area?,0.146,0.854,0.0,0.4404,POS
Looking good in Pinellas Park so far,0.326,0.674,0.0,0.4404,POS
"I like this weather
Rain and pizza
Bring it!",0.285,0.715,0.0,0.4199,POS
"ha I just ordered a pie an had it delivered",0.255,0.745,0.0,0.34,POS
"Will the water surge be higher in Aripeka than it was with Idalia??",0.0,1.0,0.0,0.0,NEU
"Tide is rising in Madeira beach. Only Street flooding so far",0.0,1.0,0.0,0.0,NEU
"When will it be out of the Clearwater Beach area ????",0.0,1.0,0.0,0.0,NEU
you have awhile,0.0,1.0,0.0,0.0,NEU
by Tuesday ?,0.0,1.0,0.0,0.0,NEU
push flights back till Tuesday,0.0,1.0,0.0,0.0,NEU
Was flying in tonight and I pushed my flights back until Tuesday afternoon into Tpa,0.0,1.0,0.0,0.0,NEU
I'm not sure but it says it's making land fall tomorrow so there is a chance they might cancel flights but I'm not a professional I just have lived here for 30 years. You can always check online and see if they are flying out.,0.063,0.85,0.087,-0.0221,NEU
I’m flying in from up north and don’t land till Tuesday at 1200pm. It looks like it’s gone by then,0.116,0.884,0.0,0.3612,POS
ya you should be fine,0.31,0.69,0.0,0.2023,POS
"On and off heavy rain and wind gusts here in Pinellas Park. No major issues, though.",0.0,0.872,0.128,-0.296,NEG
Just got through another one!!!,0.0,1.0,0.0,0.0,NEU
"going east sometime?",0.0,1.0,0.0,0.0,NEU
"Thanks Denis you're the best 👌",0.703,0.297,0.0,0.7964,POS
Are you going live today?,0.0,1.0,0.0,0.0,NEU
Denis Phillips How bad will a drive from dunnellon to clearwater be around 1pm ?,0.0,0.774,0.226,-0.5423,NEG
will the airport be open? just kidding!,0.22,0.78,0.0,0.1759,POS
Any chance this may turn eastward?,0.286,0.714,0.0,0.25,POS
check out Denis Phillips page.. the track is posted and it will not change too much,0.0,1.0,0.0,0.0,NEU
Looks like rain slowed down now in palm harbor,0.238,0.762,0.0,0.3612,POS
"largo too",0.0,1.0,0.0,0.0,NEU
"Denis Phillips Why are updates being
made to this post from 6 days ago? I cannot turn off notifications without unfollowing your page. First time this has happened.",0.0,1.0,0.0,0.0,NEU
"Stay safe, D! Thanks for the updates. I hope you’re getting some rest… (stop laughing!)",0.458,0.542,0.0,0.8513,POS
"Is that a tornado warning at bottom right?",0.0,0.714,0.286,-0.34,NEG
yes warning,0.529,0.0,0.471,0.0772,POS
"red square is circulation no touch down",0.0,0.732,0.268,-0.296,NEG
"Did indian shores get hit",0.0,1.0,0.0,0.0,NEU
Yay! North Port finally made it to the map! 😂,0.332,0.668,0.0,0.6103,POS
"I've been looking for anything about Port Charlotte and North Port for days, and I feel like we have been forgotten, even after Ian hit. It hasn't rained here for a couple hours now",0.073,0.872,0.055,0.1531,POS
Still just a gentle slow rain here in Port Richey.,0.266,0.734,0.0,0.4404,POS
I just got rain in PR that I thought roof was coming in. Lasted just a few seconds then normal. ☺️,0.0,1.0,0.0,0.0,NEU
"I keep waiting, the leaves are still barely moving at all.",0.0,1.0,0.0,0.0,NEU
I personally don’t think it’ll be much worse than when we get our hard summer storms. It be off and on through the day. My two cents. Lol. Be safe.,0.162,0.71,0.128,0.296,POS
"Same here at my house in Bayonet Point so far.",0.0,1.0,0.0,0.0,NEU
A break I think it’s happening now,0.0,1.0,0.0,0.0,NEU
Yes no joke Englewood Florida and when the bands come in there strong! Getting extremely dark RN,0.358,0.549,0.093,0.7424,POS
"Venice here",0.0,1.0,0.0,0.0,NEU
Any news on storm surge?,0.0,1.0,0.0,0.0,NEU
High tide times?,0.0,1.0,0.0,0.0,NEU
which hes already covered……,0.0,1.0,0.0,0.0,NEU
"All day time frame doesn't help when coastal areas are trying to prepare.",0.0,0.842,0.158,-0.3089,NEG
That is so wild how those bands move,0.0,1.0,0.0,0.0,NEU
Surfer at Indian Shores beach.,0.0,1.0,0.0,0.0,NEU
Awesome view!! That helps all of us!!Thank you!,0.567,0.433,0.0,0.8346,POS
Yep. Been non stop here in SW Largo for a few hours.,0.164,0.672,0.164,0.0,NEU
Westernmost North Port.,0.0,1.0,0.0,0.0,NEU
Still dry in the Great Valrico Desert.,0.406,0.594,0.0,0.6249,POS
When will the “worst” of Debbie be in North Port area?,0.0,1.0,0.0,0.0,NEU
10:20a. We just got our first in Elfers.,0.0,1.0,0.0,0.0,NEU
We are still dealing with the crazy bands in Naples. My Cell phone went off with a Tornado warning @ 11 AM.,0.0,0.789,0.211,-0.5859,NEG
"Still quiet in Zephyrhills",0.0,1.0,0.0,0.0,NEU
I am loving it!!,0.692,0.308,0.0,0.6688,POS
"Water is topping sea walls as of now. 🌨️",0.0,1.0,0.0,0.0,NEU
"where are you pls?",0.302,0.698,0.0,0.0772,POS
Madeira Beach 🏝️,0.0,1.0,0.0,0.0,NEU
"headed here now, NPR. Thanks!!",0.466,0.534,0.0,0.5399,POS
I like to watch bands set-up. Those sound checks have some of the best guitar riffs.,0.34,0.66,0.0,0.7717,POS
"Thank you for all you do !",0.358,0.642,0.0,0.4199,POS
"11:00 North Clearwater, no winds but power off and on every few minutes… 🤨",0.0,0.882,0.118,-0.1531,NEG
I live on the west side of 75 in ocala.,0.0,1.0,0.0,0.0,NEU
"Be safe everyone",0.592,0.408,0.0,0.4404,POS
"Its like a fire hose pointed on my roof right now Trinity",0.18,0.647,0.173,0.0258,NEU
Our power is already flickering 😔,0.0,1.0,0.0,0.0,NEU
Easy Debby easy!! 🤦‍♀️,0.761,0.239,0.0,0.7494,POS
"Thank you Denis Phillips, it’s awesome and helpful that you give us so many updates. We appreciate you!",0.47,0.53,0.0,0.908,POS
"Englewood rain, some traffic lights out, some businesses mo power, but this is Florida and the season .",0.0,1.0,0.0,0.0,NEU
Denis Phillips wear your hat to keep your head dry and announce your blood type. 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
"Land O Lakes…no rain, some wind. No biggie.",0.0,0.732,0.268,-0.296,NEG
"pouting he re in Lutz",0.0,1.0,0.0,0.0,NEU
"We have a brown anole enjoying a bath on my composter in Riverview.",0.254,0.746,0.0,0.5267,POS
🌫🌧🌫🌧🌧🌧🌫🌧🌧🌧,0.0,1.0,0.0,0.0,NEU
👀,0.0,0.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
😬,0.0,0.0,0.0,0.0,NEU
Giving all these new Floridians a taste of Hurricane season. Maybe it will force a lot of them to flee back.,0.118,0.882,0.0,0.34,POS
doubtful...weather is everywhere. Many Floridians wouldn't be able to live where the sun doesn't shine every day and where the Temps are less than 35 degrees for 5 months out of the year. This would be a rain storm up north ...happens often and tornadoes warnings and watches are very common. There are people who are afraid of storms everywhere. Some of us roll with the punches but know better than to build/buy a house on the sand and /or in a flood zone. I am from Indiana and love Florida weather 🥰 all of it😉 sunshine and no winter cold ❤,0.129,0.831,0.041,0.9109,POS
"we can only hope!!!!",0.0,1.0,0.0,0.0,NEU
you do know that many transplants move here from mid Atlantic states and are used to hurricane season? Many move here from mid western states and are used to extreme thunderstorms and tornadoes? Not every new person is from NYC,0.0,1.0,0.0,0.0,NEU
"if your region was so great, why move here???",0.42,0.58,0.0,0.7771,POS
"who said it was great? I simply said they are from areas with hurricanes and other bad storms so hurricane season isn't going to chase them away. For example, I'm from SE VA. I've been through hurricanes before. I moved here because I hate winter and the beaches are significantly better. I love it here, especially on the nature coast. VA is beautiful, but not for me in the winter. I'm cold by nature so I love the summers here.",0.175,0.773,0.052,0.8945,POS
"We can only hope.....",0.0,1.0,0.0,0.0,NEU
"your lips to God's ears",0.0,1.0,0.0,0.0,NEU
Are you on the abc app ? we are in Chiefland,0.0,1.0,0.0,0.0,NEU
"Non stop in Sarasota.",0.0,0.577,0.423,-0.296,NEG
FYI.,1.0,0.0,0.0,0.2023,POS
Wow factor,0.792,0.208,0.0,0.5859,POS
******ARK ALERT*****,0.0,1.0,0.0,0.0,NEU
