Models are coming together. Here are my Wednesday evening thoughts on our developing tropical system. [VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
OMG just great...leaving on my first cruise Sunday from Tampa to Key West and Cozumel 😬,0.0,1.0,0.0,0.0,NEU
You’ll be rockin’nRollin’,0.0,1.0,0.0,0.0,NEU
hopefully only in a good way...going on the new Margaritaville cruise!,0.424,0.576,0.0,0.7088,POS
we totally loved the Margaritaville ship!! Start your motion meds a couple days before you go and have a blast!🌊⛴️🍹🩴,0.23,0.77,0.0,0.7243,POS
I think I'd be getting a scopolamine patch to wear.,0.0,1.0,0.0,0.0,NEU
"my 1st cruise was during a hurricane. Get the motion sickness patch!! Everyone on the boat, including me, was so sick! You'll thank me later! Enjoy the cruise!!",0.202,0.678,0.12,0.4386,POS
"Gotta move someone out of FGCU dorms Saturday. Love hearing the word ""dry""!",0.272,0.728,0.0,0.6696,POS
"Absolutely adore your dedication and demeanor. I mean it. You are a Godsend, and you keep my “freakoutability” to near zero. Thank you! 💕",0.368,0.632,0.0,0.8881,POS
What if we are leaving Saturday night from Tampa?,0.0,1.0,0.0,0.0,NEU
watch the video. Your exact question is answered.,0.0,1.0,0.0,0.0,NEU
thank you! sorry I didn’t get to finish listening to it trying to get kids to bed.,0.154,0.774,0.072,0.3595,POS
yeah you'll be fine 🙂,0.667,0.333,0.0,0.4588,POS
Thank you Dennis for always being there to give us consistent updates on the storm!! I hope you get some much needed rest after today!,0.222,0.778,0.0,0.7412,POS
"Flying into Tampa aug 4th from MD, it’s a night flight take off about b9:30. We are staying at Maria island until the 11th. Will it be a waste of money to continue with these plans ?",0.0,0.922,0.078,-0.4215,NEG
"Either way we’re here in South Florida East Boca Raton 45 minutes out of Miami with that being said we’re just gonna do a food shop get some extra supplies because I have a feeling it might be a very bumpy season so if it hits us great and if it doesn’t Then it doesn’t move onto the nex denis",0.094,0.906,0.0,0.6808,POS
Hoping the weather changes Saturday got plans outdoors to go swimming at the lagoon 😬,0.177,0.823,0.0,0.4215,POS
Lots of rain coming....,0.0,1.0,0.0,0.0,NEU
Ugh. Teachers heading back to work so we will be driving in it Monday it sounds like.,0.123,0.739,0.138,-0.0772,NEG
🙄 turn on your wipers. You’ll be fine,0.231,0.769,0.0,0.2023,POS
I’m sure we will be. Hate driving in it. These afternoon storms have been nice being at home.,0.214,0.63,0.155,0.1027,POS
is this a rant? She’s making a simple statement about rain putting an extra damper on going back to work lol,0.126,0.766,0.108,0.1027,POS
"thanks! I feel like I’m being attacked! I know a lot of us who live here hate driving in it because of the extra accidents there always are. Love being home when it rains. Cuddle weather, lol",0.265,0.551,0.184,0.6103,POS
ehhh not for South Tampa where it floods with a normal afternoon storm 😭,0.0,1.0,0.0,0.0,NEU
yes. Flooding is a serious problem.,0.31,0.23,0.46,-0.0772,NEG
yesssss! My old school (Currently where my daughters are still going) floods REALLY bad. I'm talking hallways flooding in the grade level pods 😭 I'm at a new school this year which is thankfully a new build so it's slanted up (Adum in ST) but I'm worried about my fellow teachers over there and having to deal with it 😞,0.031,0.872,0.096,-0.6066,NEG
"oh wow, that’s pretty bad. Our school floods on the outside pretty badly but thankfully, none of the buildings so far flood. I’m at a school that’s very very old and they didn’t really think about drainage I don’t think back then. Good luck at your new school!",0.304,0.626,0.071,0.9342,POS
"Thank you for keeping us informed. Was hoping whatever it becomes want coming our way but it’s gonna do, what it’s gonna do. Hope it doesn’t interfere with our flight on Wednesday. Don’t want to miss my cruise!",0.235,0.722,0.043,0.7574,POS
Thanks for always keeping us informed,0.367,0.633,0.0,0.4404,POS
I bought tickets to Busch Gardens for August 5th for my daughters birthday.,0.0,1.0,0.0,0.0,NEU
most theme parks have a rainy day policy. I'd check out what theirs is. Happy soon to be birthday!,0.187,0.751,0.061,0.5707,POS
"Fancy seeing you here haha",0.429,0.571,0.0,0.4588,POS
 I already checked. They do. Lol,0.412,0.588,0.0,0.4215,POS
lol. Stalker!,0.756,0.244,0.0,0.4753,POS
Thank you.. teachers head back to school Monday!,0.285,0.715,0.0,0.4199,POS
"I want that Hoodie",0.394,0.606,0.0,0.0772,POS
So glad we have you. Thanks!!!,0.639,0.361,0.0,0.7946,POS
We leave on a cruise to the Bahamas out of Miami on Monday August 5th. Hoping it is okay!!!,0.256,0.689,0.055,0.6571,POS
"You’re awesome, thank you for always being there for us!",0.463,0.537,0.0,0.784,POS
Looks like we are all going to share the love with this one.,0.471,0.529,0.0,0.836,POS
Thought that was Nik Saben.,0.0,1.0,0.0,0.0,NEU
Thanks Denis! Appreciate yr updates..bless you.,0.596,0.404,0.0,0.7088,POS
Get the Ark ready!!!!!!,0.0,1.0,0.0,0.0,NEU
"Thank you Denis Phillips! Following from the other side of the globe, hoping our flight is good to land back home in Tampa late Sunday night 🙃",0.27,0.73,0.0,0.8172,POS
Thank you Denis for the up date,0.294,0.706,0.0,0.3612,POS
Love you Denis Phillips Thank You Very Much ✋️👍👊,0.489,0.511,0.0,0.7717,POS
Thanks Denis for keeping us informed.,0.367,0.633,0.0,0.4404,POS
"Thanks Big D
I appreciate you being a newly transplant here 2 years August.",0.412,0.588,0.0,0.6808,POS
So appreciate you,0.599,0.401,0.0,0.4576,POS
Thanks so much for keeping us advised,0.326,0.674,0.0,0.4404,POS
I like your hoodie!,0.583,0.417,0.0,0.4199,POS
Thank you Denis Phillips. I look to you for expert advice on all of these storms every year!,0.149,0.851,0.0,0.4199,POS
"Thank you, Denis!",0.583,0.417,0.0,0.4199,POS
"Email me when you get to ""Rule #-7"" !",0.0,1.0,0.0,0.0,NEU
Thanks for the update.,0.492,0.508,0.0,0.4404,POS
Rule #7 😎,0.0,1.0,0.0,0.0,NEU
Thank you! You’re the best,0.7,0.3,0.0,0.7901,POS
Thanks for the update!,0.516,0.484,0.0,0.4926,POS
Thanks for the updates !,0.516,0.484,0.0,0.4926,POS
So Miami will get hit.,0.0,1.0,0.0,0.0,NEU
Auburndale?,0.0,1.0,0.0,0.0,NEU
Why is it the forecasts are usually not accurate for the NEXT day?,0.0,1.0,0.0,0.0,NEU
Rule #7,0.0,1.0,0.0,0.0,NEU
good stuff,0.744,0.256,0.0,0.4404,POS
Oh no. More south Florida flooding. Thanks for keeping us informed.,0.206,0.638,0.156,0.1779,POS
Thanks Denis. Always on the Job.,0.367,0.633,0.0,0.4404,POS
I got warehouses full of toilet paper 🧻. Hmu. It's that x2 ply goooooood goood.,0.0,1.0,0.0,0.0,NEU
"Will this system affect any FLTS Flying in and out of TPA or MCO",0.0,1.0,0.0,0.0,NEU
So probably no Busch Gardens on Monday? 😞😅🫠,0.0,0.739,0.261,-0.3566,NEG
that was my plans as well for my daughter's birthday.,0.189,0.811,0.0,0.2732,POS
Is it named yet?,0.0,1.0,0.0,0.0,NEU
No,0.0,0.0,1.0,-0.296,NEG
"thank you.",0.714,0.286,0.0,0.3612,POS
Yay drain the pool a few inches for like the the 20th f ing time this summer. To much rain already & now more.,0.237,0.763,0.0,0.7096,POS
Nick Saban?,0.0,1.0,0.0,0.0,NEU
wellllll well well,0.808,0.192,0.0,0.4939,POS
as of rn looking alllllright,0.0,1.0,0.0,0.0,NEU
we shall see 😂😂 it always tends to take a turn. A SHARP ONE 😂😂,0.0,1.0,0.0,0.0,NEU
"As usual, thanks for keeping us On Track 👣 👍",0.293,0.707,0.0,0.4404,POS
"Can you please stop talking to us like we just moved here from insert-random-city-in-NJ-or-NY? I’m a native Floridian, and your broadcasts compare
to mansplaining how to pump gas or something like that (I hear they don’t pump their own gas in NJ).",0.157,0.796,0.047,0.6249,POS
that was unecessary......,0.0,1.0,0.0,0.0,NEU
Can you please not assume that you are the only person he's talking to? 😁,0.15,0.85,0.0,0.3182,POS
"I’m not assuming anything of the sort, but I’ve been watching him for years, and his reporting has changed.",0.0,1.0,0.0,0.0,NEU
Fair enough. Maybe because he has a wider audience now? I've noticed a change in questions.,0.15,0.85,0.0,0.3182,POS
You know that you can just not watch like it's not compulsory right? No one made you come here to watch this,0.079,0.833,0.088,-0.0572,NEG
Thank you,0.714,0.286,0.0,0.3612,POS
Thanks. 🙂 My garden can use some rain.,0.326,0.674,0.0,0.4404,POS
fyi ✌️,0.643,0.357,0.0,0.2023,POS
You call yourself a weatherman time people not to worry our tax dollars at work very disappointing,0.121,0.704,0.176,-0.2702,NEG
Rule #8,0.0,1.0,0.0,0.0,NEU
"🤞🏻🤞🏻",0.0,1.0,0.0,0.0,NEU
❤️❤️,0.0,1.0,0.0,0.0,NEU
😍,0.0,0.0,0.0,0.0,NEU
🙄🙄🙄🙄,0.0,1.0,0.0,0.0,NEU
"great😔",0.0,1.0,0.0,0.0,NEU
"It’s gonna go to Texas, watch. Lol",0.318,0.682,0.0,0.4215,POS
"Thank you Denis, your the best",0.626,0.374,0.0,0.7717,POS
Thank you Denis!,0.583,0.417,0.0,0.4199,POS
Hi Denis Phillips thank you 🙏 for keeping us posted 💜,0.238,0.762,0.0,0.3612,POS
"Denis Phillips recently found you & really like your forecasting. No hype just the facts & of course rule #7.
Thanks from Louisiana",0.22,0.695,0.085,0.5413,POS
also in Louisiana and watching this blob inch west has me shaking in my boots!,0.0,0.875,0.125,-0.2481,NEG
"Rule #7…Don’t freak out! It’s nothing to worry about at this point. BTW I see your in BR, I’m about 35 miles north of you in East Feliciana Parish.",0.076,0.823,0.101,-0.1989,NEG
"well, hey Neighbor! The only reason I’m freaking out is because mid May, two weeks after moving into our newly renovated house, a freak storm rolled through and took two trees down into our house and we are just getting finished with the rebuild and fighting with insurance. The thought of another storm coming through makes me sick to my stomach and we have a LONG season to go. But, those trees are gone now, and our house is stronger than ever, so I have to keep the faith!",0.096,0.823,0.081,0.5399,POS
"oh no, sorry to hear that. I understand now why you are freaking. Faith over Fear!!!",0.121,0.431,0.448,-0.7633,NEG
Thank you,0.714,0.286,0.0,0.3612,POS
Thank you !!,0.607,0.393,0.0,0.4738,POS
"Thank you, Dennis",0.556,0.444,0.0,0.3612,POS
Oh boy,0.0,1.0,0.0,0.0,NEU
Thank-you!🤎,0.0,1.0,0.0,0.0,NEU
"Thank you, Denis!",0.583,0.417,0.0,0.4199,POS
"Thanks",1.0,0.0,0.0,0.4404,POS
Thanks for updates,0.592,0.408,0.0,0.4404,POS
Thank you ☺️,0.556,0.444,0.0,0.3612,POS
"Thank you, Sir!!",0.607,0.393,0.0,0.4738,POS
Thanks 😊,1.0,0.0,0.0,0.4404,POS
The GFS kicked the Euro. 😮,0.0,1.0,0.0,0.0,NEU
Thank you D!!!!,0.647,0.353,0.0,0.5673,POS
Thank you Denis 😊,0.556,0.444,0.0,0.3612,POS
Thanks Denis !,0.761,0.239,0.0,0.4926,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
Thanks Denis,0.744,0.256,0.0,0.4404,POS
