"Here are my thoughts on Tropical Storm Debby:
1. No changes to impacts for our area. Gusty winds along the coast with heavy rain. Think afternoon thunderstorm. The storm surge threat continues for Sunday afternoon and evening. 
2. A track to the Big Bend area is likely with landfall on Monday morning. The NHC has a minimal hurricane with winds of 75 mph but it is certainly possible it could be stronger. There is a TON of warm water out there and that's potential fuel for Debby.
3. Rainfall will be 2"" inland and up to 8"" along the coast. A Flood Watch remains in effect. Rain will continue through Monday as Debby will slow down after landfall. It wouldn't shock me one bit if some areas see more than a foot of rain.
4. Ironically, back in 2012, Tropical Storm Debby hit the Big Bend area and caused significant flooding. It looks like it might happen again. 
5. As for our area...intensity really hasn't changed much but the timing has slowed down a bit. The worst of the rain and wind will be Sunday afternoon and evening. 
6. Rule #7.  It's a LONG hurricane season and this is just the beginning.  Before we're done, I suspect we go through this at least another 2 or 3 times...but with stronger storms.  Florida weather is not for the faint of heart. Hang in there. We got this. And make sure friends and family in the BIg Bend area keep a VERY close eye on this one. There is the potential it could be a lot stronger than the NHC is forecasting.",Pos,Neu,Neg,Compound,Overall Sentiment
I have family and friends in the big Bend area and I pray for them 🙏🙏,0.31,0.69,0.0,0.6597,POS
So Scared about Tornados tomorrow 😳,0.0,0.556,0.444,-0.4927,NEG
me too,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
Basically this is our practice run 😁,0.0,1.0,0.0,0.0,NEU
"Watched your DPL tonight, all the way, not just a few seconds. Off topic Denis Phillips, I love those red chairs. Are they comfy and where can I get those? Thanks!",0.221,0.779,0.0,0.8122,POS
What does he mean by big bend area? I live in Apollo Beach on Big Bend . Is that the same?,0.0,1.0,0.0,0.0,NEU
The big bend area is where the east FL coast curves to the west as you look on a map.,0.0,1.0,0.0,0.0,NEU
Great job on your update. Denis you are APPRECIATED 🙌👍,0.504,0.496,0.0,0.8455,POS
"Thanks, Denis for being the calm in the storm.",0.426,0.574,0.0,0.6369,POS
"This is just a “warm up” drill.
I’ll be making sauce and meatballs tomorrow and garlic bread.",0.0,1.0,0.0,0.0,NEU
"Soooooo, what about my flights and Disney trip? 😂 (I’m kidding, don’t come after me). We got this everyone!",0.091,0.909,0.0,0.1759,POS
Scheduled to fly from St. Pete at 4pm tomorrow. Any chance?,0.167,0.833,0.0,0.25,POS
at winds of 35-40 mph planes won’t takeoff and there’s a good bet of gusts like that,0.278,0.722,0.0,0.6597,POS
"call your airline",0.0,1.0,0.0,0.0,NEU
"check with your airline.",0.0,1.0,0.0,0.0,NEU
"Thank you so much for your insight 💯",0.294,0.706,0.0,0.3612,POS
"2012 Debby had all us in Shore Acres flooded in for days.
Hopefully the area is spared this time ♥️",0.124,0.876,0.0,0.4019,POS
I remember that! We were flooded out of Venetian Isles for nearly a week!!!,0.0,1.0,0.0,0.0,NEU
"That area is prone to floods, more often than not when it comes to storms.",0.0,1.0,0.0,0.0,NEU
When Denis Phillips mentions “our area” where exactly does he mean.. where is he located?!,0.0,1.0,0.0,0.0,NEU
Thank you!!,0.755,0.245,0.0,0.4738,POS
I believe he’s referring to the Tampa Bay Area. Someone can correct me if I’m wrong.,0.0,0.819,0.181,-0.4767,NEG
you're correct.,0.0,1.0,0.0,0.0,NEU
"thank you! Stay safe!",0.749,0.251,0.0,0.717,POS
"thank you, you as well.",0.605,0.395,0.0,0.5574,POS
palm harbor area (but Clearwater/tampa in general),0.0,1.0,0.0,0.0,NEU
He's in Palm Harbor. Basically Pinellas County I guess. Tampa Bay area?,0.0,1.0,0.0,0.0,NEU
Been following for over a decade here on the east coast. My son's at school in Tampa. Pretty sure I'm not the only one. Guess you better hope he never moves.,0.303,0.697,0.0,0.8834,POS
Tampa Bay area.,0.0,1.0,0.0,0.0,NEU
Any thoughts on storm surge possibilities in the Hudson beach area?,0.0,1.0,0.0,0.0,NEU
Denis Phillips should I avoid flying to Myrtle Beach Monday morning?? Thank you for always being the best for us,0.279,0.633,0.087,0.7059,POS
"Thanks for the update! We appreciate you so much!",0.469,0.531,0.0,0.7339,POS
Thanks for keeping us updated! Watching from Wakulla,0.313,0.687,0.0,0.4926,POS
What to expect in Orlando? Lake Nona or Winter Springs areas…are we stuck inside the next 2 days?,0.0,0.871,0.129,-0.3313,NEG
Thank you Denis!! Always the best,0.646,0.354,0.0,0.8065,POS
Thanks for the update and rule #7!,0.347,0.653,0.0,0.4926,POS
"Question to Denis Phillips, with the hot loop current it is entering what would earlier than anticipated rapid intensification mean for Sarasota northward mean and what changes to intensity could happen. It has happened many times in the past and what would keep it from happening now with all that steamy bathwater out there. I think it is a valid question? Thanks",0.047,0.953,0.0,0.4404,POS
I don’t know whether to laugh or cry!,0.325,0.417,0.259,0.2003,POS
😜 SO TRUE,0.756,0.244,0.0,0.4754,POS
Clearwater Beach #LilDebby,0.0,1.0,0.0,0.0,NEU
"that is just a thunderstorm. Not little Debbie yet.",0.0,1.0,0.0,0.0,NEU
it appears coming from Debby it's from the South. I'm no weather expert though. Just in name for today LOL I have lived on both coast of FL since 1989 seen a lot.,0.102,0.835,0.063,0.3254,POS
How do you think Tallahassee is going to get affected? Asking because my daughter goes to FSU.,0.0,0.909,0.091,-0.1531,NEG
looks like I need to add meteorologist to my resumé.,0.238,0.762,0.0,0.3612,POS
I'm in Palatka and nobody seems to be talking about the Putnam County area. Our own weather forecasters aren't really saying much.,0.0,1.0,0.0,0.0,NEU
Wonderful advice. I'm new here and a neighbor suggested to follow you for my weather updates. Thank you.,0.292,0.708,0.0,0.7351,POS
"Thank you! You’re awesome!",0.782,0.218,0.0,0.8011,POS
6:00am flight out of SRQ Monday morning not likely?,0.0,1.0,0.0,0.0,NEU
check with your airlines alerts. Should be on their main page,0.0,1.0,0.0,0.0,NEU
You are the best!!,0.615,0.385,0.0,0.6988,POS
"But is it going to rain at Disney and is my flight canceled?",0.0,1.0,0.0,0.0,NEU
Just watch out for the “heat lightning” 😬😂,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, it looks like the movement is slowing? I'm supposed to fly out of Orlando at noon on Monday. Not sure how to feel about that.",0.085,0.849,0.067,0.1376,POS
"I always just think if the plane goes, I’ll be on it. If it doesn’t go, well …",0.123,0.877,0.0,0.2732,POS
"If it goes, I'll most certainly go with it. Time will tell I suppose.",0.183,0.817,0.0,0.4005,POS
"We have a double rainbow in Clearwater, calm before the storm 🙌 Thanks for the updates!",0.314,0.686,0.0,0.6696,POS
Im thinking about the Cat 1 that hit Texas earlier. It wasn’t hyped so no one was prepared except for those along the coast. We just don’t know so be prepared,0.113,0.802,0.085,-0.0171,NEU
Yep I have loved ones in Live Oak.. 🙏 please,0.627,0.373,0.0,0.8126,POS
Where exactly is considered Pasco County's inland area? East of 19 or further east?,0.0,1.0,0.0,0.0,NEU
East of 19 is usually how it's classified,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips!,0.482,0.518,0.0,0.4199,POS
"Where’s the link ?
Thought this was live ?",0.0,1.0,0.0,0.0,NEU
"at 7",0.0,1.0,0.0,0.0,NEU
"thx, watched on his YouTube channel",0.333,0.667,0.0,0.3612,POS
Have to travel to Jacksonville Monday from Tampa. How will the weather be in JAX,0.0,1.0,0.0,0.0,NEU
rainy and windy like an afternoon thunderstorm.,0.284,0.568,0.148,0.296,POS
"drive extra careful!",0.486,0.514,0.0,0.2244,POS
What about the north Florida/jacksonville areas? Local stations don’t seem to want to cover much of anything right now,0.067,0.933,0.0,0.0772,POS
I feel the same! I am in St Augustine and it floods so bad here. Would love to know our potential forecast.,0.156,0.667,0.177,-0.1489,NEG
I’m in Chiefland so understand what you’re dealing with.,0.0,1.0,0.0,0.0,NEU
me too.,0.0,1.0,0.0,0.0,NEU
Google is your friend Lol; https://www.facebook.com/MikeFirstAlert/,0.6,0.4,0.0,0.7184,POS
"updates aren’t exactly the most up to date friend.",0.286,0.714,0.0,0.4939,POS
also no need to be snarky… have the day you deserve pal 😃,0.0,0.833,0.167,-0.296,NEG
"For the rest of you, just search ""top meteorologist"" for your area and then a facebook page for that person. None of them will be as good as Denis but at least it's something Lol.",0.185,0.815,0.0,0.7227,POS
7:11 p.m. Dade City in Pasco County. Not even a drop of rain.,0.142,0.858,0.0,0.2057,POS
You`re the BEST!!!! Thank you!,0.478,0.522,0.0,0.5673,POS
I remember 2012 Debby! Lots of wind and rain!,0.0,1.0,0.0,0.0,NEU
"Summer 2019,here in Yankeetown, we got 62"" of rainfall. We got this!!!",0.0,1.0,0.0,0.0,NEU
Thank you Denis. I’m still praying with all my heart that this thing does not meander around and stall and cause massive flooding for Southeastern Georgia and northern Florida. Or anyone else for that matter. 🙏🏻🙏🏻,0.153,0.802,0.045,0.5106,POS
St. Pete right now.,0.0,1.0,0.0,0.0,NEU
soo pretty we are supposed fly in there tomorrow 9am,0.262,0.738,0.0,0.4939,POS
thank you Denis! we sure appreciate you and your crew!!,0.545,0.455,0.0,0.8114,POS
Thank you Denis. Pop that Diet Dr Pepper,0.263,0.737,0.0,0.3612,POS
he's going to need it! 😉,0.0,1.0,0.0,0.0,NEU
"Thanks for the info,spot on as usual.",0.326,0.674,0.0,0.4404,POS
"We no longer live in Florida, but we still follow Denis on Facebook. His years of experience forecasting in Florida will keep you safe.",0.14,0.801,0.058,0.5023,POS
"Better than wildfires, colossal tornadoes, mudslides, blizzards, and earthquakes. I'll take it!",0.225,0.775,0.0,0.4926,POS
Looks like New Port Richey is in the clear.,0.421,0.579,0.0,0.6249,POS
I’m so glad we have you here Denis Phillips!,0.309,0.691,0.0,0.5551,POS
You’re the only person that I watch/listen to for weather (tropics) - for years! So thankful for you.,0.222,0.778,0.0,0.6468,POS
Any idea of a projected end time tomorrow of the storm?,0.0,1.0,0.0,0.0,NEU
"Uggggg
We are just south of Big Bend area",0.0,1.0,0.0,0.0,NEU
yes. Trying to find out the wind speed n rain but can’t find an answer,0.125,0.875,0.0,0.2144,POS
cat 1 expected right now could increase over warm waters. 74 mph is Cat 1,0.276,0.724,0.0,0.4939,POS
for floral city citrus county?,0.0,1.0,0.0,0.0,NEU
I got a tree over my house I’m worried about,0.0,0.761,0.239,-0.296,NEG
what town is the “Big Bend area”? Thanks,0.293,0.707,0.0,0.4404,POS
cedar key,0.0,1.0,0.0,0.0,NEU
"I say, make a pot roast!",0.0,1.0,0.0,0.0,NEU
Thank You Denis. Recently moved to Tampa Bay area. Learning how to be a Floridian! Left years of horrific fires storms. And evacuations in Southern California. Awaken just too many times to fires everywhere around us. No time to get things together for evacuation. Appreciating your common sense in regards to Mother Nature. XOXO,0.16,0.738,0.101,0.5893,POS
I'm new here too but I just had to deal with snow storms. I can't imagine what you went thru. Sounds like hell.,0.113,0.663,0.223,-0.631,NEG
I GUESS No store close down ! Lol,0.333,0.43,0.237,0.2244,POS
You are a treasure Denis!,0.454,0.546,0.0,0.3595,POS
Denis Phillips When would you expect the storm surge to affect the Indian Rocks Beach area?,0.0,1.0,0.0,0.0,NEU
We just arrived in Anna Maria. We are prepared with food in case the storm lasts a couple of days. Is the flooding potential a concern as to we should vacate? We have a one level rental.,0.054,0.946,0.0,0.2263,POS
you good for now pay attention to alerts,0.282,0.583,0.136,0.3612,POS
Curious about what others have asked ~ How will this look in Jacksonville and South Georgia? We're still recovering from last year!,0.115,0.885,0.0,0.3802,POS
"Hi, Denis Phillips. I’m new to the area and recently followed you because it looked relevant, so forgive the question: what is “our local area”? Tampa? Sarasota? Many thanks",0.186,0.814,0.0,0.7336,POS
Tampa Bay and surrounding areas.,0.0,1.0,0.0,0.0,NEU
"thank you!! We’re in Lakewood Ranch. I knew we were somewhat close to the area, but just was not sure exactly what he’s talking about. 😁",0.065,0.822,0.113,-0.3131,NEG
you’re welcome 🙂 I’m up in Hernando County and his forecasts are always very helpful. Plus I get local (as in really local) weather alerts on my phone.,0.202,0.798,0.0,0.7264,POS
"you! I’m signed up for the Hurricane Season 2024 group on here, but that’s not really local. We get weather alerts on the phone as well, but always nice to be able to see things a little in advance, especially for travel! His updates are definitely helpful!",0.256,0.744,0.0,0.938,POS
75 mph winds? Is this for the big bend at landfall ? What about citrus ? Any map with wind speed?,0.0,1.0,0.0,0.0,NEU
Tree over power line,0.0,1.0,0.0,0.0,NEU
Well I guess 60 mph for me according to this. Not good with that tree over power line,0.108,0.769,0.123,-0.0788,NEG
"you can check nhc.noaa.gov, and they will have wind maps. Their advisories have useful and interesting information.",0.272,0.728,0.0,0.6808,POS
I’m more or less just wondering about my area as I have a bad roof n just was wondering the wind speed n tree over my house,0.0,0.863,0.137,-0.5423,NEG
If it upgrades to a hurricane can you call it Big Deborah?,0.0,1.0,0.0,0.0,NEU
"for the name of it, a Debbie named storm going to Dallas would be funny. Nothing that causes damage of course but…",0.225,0.775,0.0,0.6734,POS
that would be fantastic! But we'll just have to settle for this until then,0.166,0.834,0.0,0.3802,POS
"Town and Country earlier this evening.",0.0,1.0,0.0,0.0,NEU
Denis Phillips.. we live in Perry. Had a hurricane ever hit the same place back to back?,0.0,1.0,0.0,0.0,NEU
Thank you Denis. I wish everyone would listen only to YOU.,0.394,0.606,0.0,0.6369,POS
"Great report, thanks for sharing. We in the Midwest are praying for you guys!",0.557,0.443,0.0,0.9117,POS
"Monday would be a good day.",0.42,0.58,0.0,0.4404,POS
Stay safe & keep your pets safe and inside! 🙏🙏,0.465,0.535,0.0,0.7263,POS
You the man!!,0.0,1.0,0.0,0.0,NEU
Thank you Dennis Phillips every time there's bad weather you are the first meteorologist that's on top and keeping everyone informed THANK YOU DENNIS 🙏,0.243,0.644,0.113,0.4648,POS
"Was just at dairy rich, wind ban went through and my hair got static electricity!",0.178,0.644,0.178,0.0,NEU
"I still ALWAYS wonder about the possibility of a hard right hook on the ""expected"" path north? It's happened before with Charley and Ian.. any thoughts Denis Phillips ??",0.0,0.931,0.069,-0.2359,NEG
worrying about the same. Rode out both of those storms and NEVER want to experience anything that terrifying ever again. 😔🙏,0.0,0.711,0.289,-0.7447,NEG
"he posted a few hours ago no need to worry about a hard right turn",0.0,0.606,0.394,-0.6705,NEG
"I didn't see that post, so thank you!",0.371,0.629,0.0,0.5474,POS
I remember the one in 2012. The place where I boarded my horse in tarpon springs was under water for a week. Soooo much water ! Hopefully no repeat.,0.106,0.816,0.078,0.2003,POS
"I will never forget tropical storm Debbie 2012 too...our horse barn was dry, but behind it was completely flooded and all of our neighbors in Odessa were flooded as well and their barns... I remember seeing children in Tarpon Springs tubing down the road in their subdivisions due to all the water... hopefully it's not a repeat!!",0.137,0.863,0.0,0.7974,POS
.. right ! Tyler Run area and all down Ranch Road got it really bad. 🙏🏻,0.0,0.774,0.226,-0.623,NEG
"Ugh. I changed my flight from Sunday til Tuesday, now it looks like I might still get delayed by weather coming home from Maine. 😕",0.095,0.725,0.179,-0.296,NEG
I wanna go to Maine so bad! need a change for a bit,0.0,0.653,0.347,-0.6988,NEG
it was 90 yesterday!,0.0,1.0,0.0,0.0,NEU
be safe!,0.761,0.239,0.0,0.4926,POS
We will be! We are keeping a close eye on things! Thanks!,0.274,0.726,0.0,0.5826,POS
Currently we are in Puerto Rico. Hey planning a trip to Siesta Key this coming weekend! Hoping all this clears out by then!,0.19,0.81,0.0,0.5696,POS
We were just in Cedar Key and fell in love. Wishing the best for them.,0.462,0.538,0.0,0.8834,POS
Thank you for your service 🙏🏽❤️,0.333,0.667,0.0,0.3612,POS
Gainsville ?,0.0,1.0,0.0,0.0,NEU
"Yes, please.",1.0,0.0,0.0,0.6124,POS
I am enjoying the much needed rain right now in Bradenton,0.274,0.726,0.0,0.5267,POS
Any chance of it turning right & coming in a little south of expected site like Charlie & Iva,0.243,0.757,0.0,0.5423,POS
"no chance at this point. Now that the center has formed, the models are in agreement it won’t hook right.",0.213,0.697,0.09,0.4588,POS
wow very insightful have u considered being a weather caster,0.352,0.648,0.0,0.5859,POS
"I’m due to head back
To Tampa Monday, through Miami. I’m
Wondering if I should leave tomorrow i stead. Grrrr",0.0,0.934,0.066,-0.0516,NEG
"Should be very rainy, but nothing further than that.",0.0,0.861,0.139,-0.0763,NEG
"What is the projected distance from the eye to Tampa Bay as it passes Tampa.",0.0,1.0,0.0,0.0,NEU
"following !!
we live on the bay...",0.0,1.0,0.0,0.0,NEU
"same
A little worried about the surge",0.0,0.724,0.276,-0.228,NEG
"Here is a website ..shows the storm with wind currents. I'm still trying to confirm the distance. https://www.windy.com/?28.517,-81.431,5",0.0,1.0,0.0,0.0,NEU
Monticello Florida here Jefferson county watching and preparing,0.0,1.0,0.0,0.0,NEU
New Tampa,0.0,1.0,0.0,0.0,NEU
"#2. A TON of warm water in the Gulf isn't that much, it's only 240 gallons of water. A gazillion tons of warm water is a lot!",0.157,0.843,0.0,0.4753,POS
"Dang, wish I had seen this before moving my vehicle to higher ground. 🤣🤷😎",0.184,0.816,0.0,0.4019,POS
Any live stream this evening?,0.0,1.0,0.0,0.0,NEU
