"Here's a look at timing and odds of tropical storm winds in your area. Surge risk has lessened with the new center forming South and West of the previous one. Again, look for a rainy Sunday (especially West of I-75) with squally conditions along the coast. Nothing to stress over. As was the case last year with Idalia, the worst will be in the Big Bend area.",Pos,Neu,Neg,Compound,Overall Sentiment
wait what???? I’ve lived in Ocala and the panhandle since 1990 and have NEVER heard of this!! lol.,0.22,0.78,0.0,0.6998,POS
THANK YOU!!! My nosey self is definitely going to read up on this! I can’t believe today is the first time I’ve ever heard about it. I feel like a bad Floridian! 😂,0.247,0.617,0.136,0.6487,POS
"haha - here is a short version. According to legend, the Tocobaga, a Native American tribe that lived in the Tampa Bay area around 1200 CE, blessed the land and protected it from hurricanes. The Tocobaga are known for building burial shell mounds along the coast, and some believe the oldest mound near Old Tampa Bay is a protective shield. Others think the Tocobaga's land may have changed the path of major storms like Irma in 2017 and Ian in 2022. Tampa Bay has avoided major hurricanes for a long time, with the last one hitting in 1921, and some say the Tocobaga's blessing is the reason.",0.136,0.843,0.021,0.9201,POS
"so interesting! Thank you so much!!!",0.634,0.366,0.0,0.7869,POS
"until the luck runs out",0.429,0.571,0.0,0.4588,POS
"You are a relentless warrior of spreading knowledge to your community with humor, honesty and reasonableness. I appreciate you very much!",0.388,0.612,0.0,0.8172,POS
"Thank you for the updates! We are in Citrus Co. 🙂",0.237,0.763,0.0,0.4199,POS
"And Idalia clobbered the big bend area last year, hopefully for the folks up there it’s not a repeat",0.137,0.863,0.0,0.4019,POS
"Idalia hit us hard in Valdosta, Georgia. There are houses that still have damage. It was a combination of saturated ground & the wind that toppled trees.",0.0,0.833,0.167,-0.5574,NEG
dear Lord I am praying not! I hauled water for livestock for people for almost three weeks in suwannee county,0.252,0.748,0.0,0.6588,POS
I hope you guys are safe and OK up there. Let’s hope it doesn’t have a replay of last year. The one good thing about this is it’s gonna keep moving and not stall.,0.383,0.617,0.0,0.934,POS
I hope not as well. There is a house in my neighborhood where the people closed on it and moved in 2 of 3 days before Idalia. I watched as debris from it flew over the tree tops. They just finally finished repairs a few weeks ago. Hopefully this heifer coming won’t be strong and speeds off quickly.,0.2,0.77,0.03,0.8856,POS
dear Lord I am praying 🙏🙏,0.63,0.37,0.0,0.6249,POS
I live in Gilchrist but my husband is a manager at a dairy in suwannee so he will be there and I'll be home with our cows and horses.,0.0,1.0,0.0,0.0,NEU
"what is big bend area?
Maybe dumb question",0.0,0.68,0.32,-0.5106,NEG
it is from where the panhandle transitions to the Florida Peninsula south and east of Tallahassee,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
"you’re welcome",0.75,0.25,0.0,0.4588,POS
Hard to see the map behind this. Does this say 5-20 MPH winds in Lakewood Ranch? That’s less than the regular afternoon storms.,0.0,0.94,0.06,-0.1027,NEG
"that is percentage chance you will get TS force winds. Not speed!",0.172,0.828,0.0,0.3164,POS
So we should drive starting today from Philly to Orlando on I-95. Stop overnight in North Carolina. Drive remainder on Sunday early to Orlando? Are we crazy?,0.0,0.834,0.166,-0.6072,NEG
if you are not used to driving in the heavy rain and wind like us Floridians are (we do hurricane practice everyday around 3pm (aka summer thunderstorms) then yes,0.161,0.839,0.0,0.6369,POS
yep,1.0,0.0,0.0,0.296,POS
"just go, your ok, rain storm 4 u",0.306,0.694,0.0,0.296,POS
your good. Just start now.,0.42,0.58,0.0,0.4404,POS
"Yes. 🥴",1.0,0.0,0.0,0.4019,POS
are you saying yes to start driving or yes to we are crazy? 🤪 🤣,0.303,0.562,0.135,0.4588,POS
"This is all hyped up fear speculation. It's not even a tropical storm. It's not named. Until about 5 years ago, this wouldn't even have been talked about, other than hey, looks like we're getting some rain, cancel those outdoor plans. most people panicking and freaking out have little experience living in FL. And the comparison to Idalia is targeted reference to scare more people.",0.034,0.772,0.195,-0.8974,NEG
And it's folks themselves that hype things up and create fear like everything else. It's definately not a meteorologist like Denis Philips.,0.26,0.623,0.117,0.4404,POS
Yes,1.0,0.0,0.0,0.4019,POS
"Thanks for the update! You, sir are the best!",0.523,0.477,0.0,0.8264,POS
Denis. Is the best!,0.6,0.4,0.0,0.6696,POS
"agree!",1.0,0.0,0.0,0.4199,POS
Thank so much Dennis for staying on top.of this ❤️,0.217,0.783,0.0,0.3612,POS
Idalia flooded Hernando beach and Weeki Wachee took 3mo to repair so wasn't just big bend that got hit !,0.0,1.0,0.0,0.0,NEU
"let’s not forget pass-a-grille, sunset beach, treasure Island and Indian shore areas. Months for pass-a-grille and sunset has never been the same. 🥹",0.162,0.838,0.0,0.434,POS
Flying into Orlando tomorrow midday..think we’ll make it in on time?,0.0,1.0,0.0,0.0,NEU
how is he supposed to know that?,0.0,1.0,0.0,0.0,NEU
"Tallahassee can't catch a break can they? Didn't they get a direct hit a year or two ago? I know it's just a TS, but those can be sneaky with the bad weather.",0.0,0.777,0.223,-0.8156,NEG
Thank you for the update Denis. Hope you’re getting to enjoy your day beyond all the updates!,0.388,0.612,0.0,0.8356,POS
Thanks we are flying into Orlando tonight (11:30 PM arrival) but staying close to the airport. We drive to Miami the next Sunday midday. Do we have to worry about flooded highway/tollway roads on the way to Miami? I am from Houston so we definitely get our share of heavy rains and flooded streets but not sure about what to watch out for in Florida.,0.118,0.797,0.085,0.3452,POS
No. You'll be on the other side of the state.,0.0,0.804,0.196,-0.296,NEG
You'll be fine on that side! Have a great trip!,0.481,0.519,0.0,0.7568,POS
thank you! We are touring colleges so driving all over Florida. My daughter wants to stay in a warm weather state since she's used to Texas weather.,0.164,0.836,0.0,0.5707,POS
"What a great trip! I remember doing that with my daughter and it was so special 💓
I hope she finds her perfect fit and that you're able to dodge the rain ☔️
We've definitely got the warm weather for her, but I've spent a lot of time around Waco and I'll take Florida heat any day. I prefer to be steamed, not convection roasted 🤣",0.219,0.781,0.0,0.8904,POS
you’ll be fine…,0.0,1.0,0.0,0.0,NEU
Our sacred Indian mounds of Tampa Bay are working their magic again. 🙏,0.0,1.0,0.0,0.0,NEU
"Amen",0.0,1.0,0.0,0.0,NEU
"Bay of the Holy Spirit…",0.0,1.0,0.0,0.0,NEU
Thoughts on Tally? Will it likely just be a lot of rain for them?,0.0,1.0,0.0,0.0,NEU
"What kind of advice would you give for us, we are driving Monday morning from st Pete, to Georgia",0.0,1.0,0.0,0.0,NEU
"I'm obviously not Denis, but I'd personally want to leave sooner or stay later. Just wouldn't want to drive in the wind and rain 🤷🏽‍♀️ No matter where it does eventually hit, it's going to Georgia, too, so you'd be kind of driving into it.",0.084,0.831,0.085,-0.2617,NEG
how about us driving from South Carolina to St Pete Sunday 😂,0.0,1.0,0.0,0.0,NEU
leave now or wait,0.0,0.714,0.286,-0.0516,NEG
"leave on Saturday….",0.0,0.625,0.375,-0.0516,NEG
"I would leave now or wait till Tuesday",0.0,0.833,0.167,-0.0516,NEG
"very bad idea,IMO",0.0,0.345,0.655,-0.5849,NEG
depends on what area in GA. I-75 ok but I-95 may be iffy. Stay on highways too!,0.106,0.894,0.0,0.2244,POS
"Hi, we’re from the UK currently staying in Naples but flight is due out of Tampa tomorrow evening, wondering if we wait it out and leave for airport tomorrow or drive up today?",0.0,0.961,0.039,-0.0772,NEG
"I highly recommend driving up today. I'm from UK and although I've been here 9 years now I still have to pull over at times as there's literally zero visibility and I'm a confident driver. It's very intense and stressful and dangerous too so I would definitely drive up today so you don't have that memory of your holiday. Stay near to the airport and you can go out to eat and do some shopping. We came here most years growing up and I've been through some bad hurricanes but aslong as you keep informed, stay calm and follow the safety rules your be fine. Best wishes",0.223,0.723,0.054,0.9558,POS
Who are you flying on? I'm a Flight Attendant and I say leave today if possible. Airlines will more than likely start delaying & cancelling flights tomorrow. Better safe than sorry. ✈️,0.17,0.704,0.126,0.5423,POS
"will they start delaying cancelling flights from MCO as well, we fly back Mon night to UK and don’t know what would happen to us ? What we should do ?",0.079,0.864,0.058,0.168,POS
"Florida air space is pretty notorious for delays & cancellations when weather comes into the state. If you do get cancelled, it is your Airlines responsibility to rebook you on the next available flight. Just watch your flight thru your airlines website or thru Google and act accordingly. I say being proactive is always your best bet. If you can leave town ahead of the weather, I would definitely do that.",0.161,0.762,0.076,0.8316,POS
"Just watch your flight starting today. If they start delaying and cancelling out of PIE, you'll know you may need to change your flight to earlier or later to get out.",0.0,0.943,0.057,-0.2023,NEG
thank you so much for your response. I will keep watching what is happening 🤞,0.172,0.828,0.0,0.3612,POS
I would drive up today. I wouldn’t want to chance driving in higher winds tomorrow.,0.231,0.769,0.0,0.3182,POS
for sure would drive today 🩵,0.365,0.635,0.0,0.3182,POS
call the airline. Why would he know this?,0.0,1.0,0.0,0.0,NEU
Funny we had 3 ft of water from Idalia last year out on sunset beach! Lots of people had to be rescued cause they didn’t think we would get a surge with the storm over 100 miles out and away from us.,0.136,0.864,0.0,0.7177,POS
"gotta remember that sunset Beach, treasure island , maderia and all them are easily flooded. It can down pour and still have flash floods. Hopefully this one doesn't hit like that.",0.206,0.734,0.06,0.6358,POS
wasn’t that cat 5??,0.0,1.0,0.0,0.0,NEU
Idalia flooded my whole neighborhood last year!,0.0,1.0,0.0,0.0,NEU
Thank you for the updates heading to Myrtle beach South Carolina so following very closely . Driving from Iowa .,0.128,0.872,0.0,0.3612,POS
Thank you for posting this. I’ll breathe better now! Kids coming to join us today on island! Funny we almost went to panhandle and chose Anna Maria island instead!,0.313,0.687,0.0,0.8854,POS
that’s doesn’t mean it won’t be windy and have rough waters!,0.0,1.0,0.0,0.0,NEU
"yep saw that. Lots of rain",0.306,0.694,0.0,0.296,POS
I’m stressing 🤣. We got 3’-4’ of water in our house from Idalia.,0.0,0.828,0.172,-0.3612,NEG
my son's home was flooded too in downtown St Pete. I'm so happy they moved this year. I guess the sacred Indians mounds folk was on vacation during Idalia lol,0.218,0.782,0.0,0.8196,POS
"same! Where are you?",0.0,1.0,0.0,0.0,NEU
"New Port Richey, west side of 19 unfortunately.",0.0,0.745,0.255,-0.34,NEG
"Hudson Beach, west side. Hard to do this again in less than a year",0.0,0.896,0.104,-0.1027,NEG
"Driving from NY on Monday, planning to arrive in Fort Lauderdale on Wednesday. Hoping we skirt the storm?! 😬🤞🏻",0.147,0.853,0.0,0.4753,POS
"Thank you for
Keeping us updated. After Charlie you are the one I trust.",0.345,0.655,0.0,0.7003,POS
Thanks Dennis your information is very valuable to me. Living in. High rise condo they told us to take everything off the balconies 3 days ago here in Downtown Tampa. I will make that choice to do so at noon today.,0.145,0.855,0.0,0.7425,POS
Whew! I live 2 miles east of I-4 and 75 so I guess we'll have no rain 😂😂😂,0.0,0.849,0.151,-0.3595,NEG
So basically I should water my plants here in Riverview? 😆,0.0,1.0,0.0,0.0,NEU
"exactly!",0.0,1.0,0.0,0.0,NEU
Will flights be cancelled to fll & mia on Sunday and Monday suppose to be flying out thinking about canceling flight,0.0,0.811,0.189,-0.4939,NEG
"Miami is the other side of the state. It will be fine.",0.141,0.859,0.0,0.2023,POS
check w airlines and airports.,0.0,1.0,0.0,0.0,NEU
i have so far everything still on time currently,0.0,1.0,0.0,0.0,NEU
"I would keep up w that. Denis doesn’t keep up with that stuff. You’ll get your most accurate information from them.
For instance if this thing stalls people may get fights out. If it moves faster and comes sooner people may not.",0.0,0.935,0.065,-0.4019,NEG
Will it be raining for the entire week coming up? Just wondering if this storm is bringing lots of rain.,0.0,1.0,0.0,0.0,NEU
"Good morning, is it in gulf yet? If not when do they predict it will go into the gulf? Thanks.",0.255,0.745,0.0,0.7319,POS
Is Brooksville in the big bend?,0.0,1.0,0.0,0.0,NEU
Brooksville is about 3 hours south of the Big Bend area,0.0,1.0,0.0,0.0,NEU
ty,1.0,0.0,0.0,0.3818,POS
no,0.0,0.0,1.0,-0.296,NEG
ty,1.0,0.0,0.0,0.3818,POS
When do you expect us to see sunny weather again?,0.237,0.763,0.0,0.4215,POS
"What is the expected storm surge in the Ruskin area?",0.0,1.0,0.0,0.0,NEU
"Thanks Denis! Really appreciate you being there for us.",0.469,0.531,0.0,0.7339,POS
Family flying into Orlando tomorrow morning. Is it just heavy rain and gusty,0.0,1.0,0.0,0.0,NEU
Orlando will be fine.,0.375,0.625,0.0,0.2023,POS
So MIAMI is free and clear? Like a toe stuck out from under the blanket?? Whats happening with the cone there?,0.348,0.579,0.072,0.8236,POS
it’s Florida. Never assume anything with the weather. You will probably get rain.,0.0,1.0,0.0,0.0,NEU
"there is gonna be rain, depending on what area of Miami you live, but just our norm lol",0.179,0.821,0.0,0.5719,POS
"Comparison to Idalia is not a good thing to those of us who live in Riviera Bay and Shore Acres in St Pete, our neighborhoods were flooded during Idalia
I'm interested in hearing about surge, timing and tides",0.067,0.873,0.06,0.0757,POS
"My daughter and her family have a home in Shore Acres that suffered tremendous damage from Idalia. The renovations took 6 mos to put it back together. They left on a cruise this morning, and I am praying all will be fine during their much-needed vacation.",0.088,0.78,0.131,-0.4767,NEG
Thank you so much for your prayers!,0.318,0.682,0.0,0.4199,POS
"Agreed. I'm here in Hudson Beach, house wrecked with Idalia. Sometimes it seems they forget about us coastal folks.",0.1,0.81,0.09,0.0516,POS
hope your ok.,0.836,0.164,0.0,0.6249,POS
Denis Phillips. Did you know that alligators bellow during thunder because of the low decibels. I wonder if it will be too nasty to go into the Little Big Econ forest tomorrow to listen to them. There are 3 always in the same place. (Near Oviedo).,0.0,0.881,0.119,-0.6908,NEG
"So what car did you decide on for your child? All of the Tampa Bay Area has been wondering, even a few of us in Charlotte, NC?",0.0,1.0,0.0,0.0,NEU
"yes, Denis Phillips , what kinda car? Good question Sir.",0.432,0.568,0.0,0.651,POS
"Is that 2 am for st Pete area sorry showing up blurry on my end",0.0,0.816,0.184,-0.1779,NEG
Could you please provide the new surge predictions? I flooded with surge during Idalia.,0.161,0.839,0.0,0.3182,POS
"NHC website shows 2-4 ft surge potential but waiting for the 11am update. The more west it goes, the flood risk goes down",0.0,0.892,0.108,-0.3919,NEG
thanks Court☺️. I though Denis said in his live last night that surge chance goes up the more it moves west and makes landfall more north of us. But I must’ve misunderstood. I’m eagerly awaiting the 11am update.,0.163,0.763,0.074,0.4118,POS
Depends on how close to the coast it gets,0.0,1.0,0.0,0.0,NEU
thank you. I’ve got PTSD. Idalia was 100 miles away from us and flooded the neighborhood.,0.143,0.857,0.0,0.3612,POS
"I know. And there will definitely still be flooding, the key is how much",0.184,0.816,0.0,0.4019,POS
Will flights go out of st Pete Sunday or you think all will be canceled??,0.0,1.0,0.0,0.0,NEU
"We are landing at 7pm in miami and need to go to cape coral. What do you think, is the alligator alley the best way?",0.149,0.851,0.0,0.6369,POS
Yes! Take Alligator Alley. Don't drive through unlit secondary roads with no place safe to pull off in emergency or strong downpours.,0.297,0.549,0.155,0.6588,POS
yes,1.0,0.0,0.0,0.4019,POS
"Polk County will just be wet all day tomorrow, right?",0.0,1.0,0.0,0.0,NEU
Are the electric companies going to shut the electricity off a day after again?,0.0,1.0,0.0,0.0,NEU
"if you are coastal, you should cut your power upon approach before the surge comes.",0.0,0.87,0.13,-0.2732,NEG
Denis Phillips How do flights look out of TPA before 10am tomorrow?,0.0,1.0,0.0,0.0,NEU
"check the airports and airlines. He had said 1,000,000 times he doesn’t know if your flights are cancelled.",0.0,0.895,0.105,-0.25,NEG
What time Sunday?,0.0,1.0,0.0,0.0,NEU
Idalia destroyed my house with storm surge 😫,0.0,0.652,0.348,-0.4939,NEG
"Thank you so much for that update!!!!!
Your so GREAT!!!!!",0.29,0.71,0.0,0.5673,POS
Can we get this thing to slow down for a 3 day weekend?! Smh,0.0,0.809,0.191,-0.3802,NEG
I'll go to work rather than have it sit in the Gulf and become a monster.,0.0,1.0,0.0,0.0,NEU
Everyone in the Tampa Bay Area is like whew! Everyone following from the bend 👀,0.177,0.823,0.0,0.4199,POS
What about Lake Wales/ Winter Haven line,0.0,1.0,0.0,0.0,NEU
Thank you Denis your the best!!!,0.654,0.346,0.0,0.8213,POS
"Poor Big Bend they seem to the spot where they make landfall.",0.0,0.78,0.22,-0.4767,NEG
I am thinking we should be good to land in Tampa Tuesday morning. 😄First time going to Florida!,0.166,0.834,0.0,0.4926,POS
So storm center is over Big Bend 4pm?,0.0,1.0,0.0,0.0,NEU
"thing is gonna wind up a cat 3 in new orleans. lol….. 😂. j/k…. kinda",0.0,1.0,0.0,0.0,NEU
We were forced to manually evacuate by the police and the fire department. We are just allowed to come back in in our streets are still flooded in the area up by crystal river.,0.0,0.856,0.144,-0.6597,NEG
"I,m on the west coast and getting prepared for anything.You never know its Florida.",0.128,0.872,0.0,0.2263,POS
How about Santa Rosa,0.0,1.0,0.0,0.0,NEU
I forgot about Jim Cantore...where is he ...In Florida yet???🤣,0.0,1.0,0.0,0.0,NEU
waste of money for TWC to send Mr Thundersnow down here,0.0,0.781,0.219,-0.4215,NEG
The storm surge prediction isn’t “minor” for shore acres,0.0,1.0,0.0,0.0,NEU
"exactly, esp with all this ""idalia big bend"" speak.",0.0,1.0,0.0,0.0,NEU
I liked it better when it was the orange blob,0.449,0.551,0.0,0.6908,POS
"Just another windy day……with some rain here and there…….👍🏼",0.0,1.0,0.0,0.0,NEU
Hmmm we didn’t time moving our daughter back to UF from SW FL very well! Going tomorrow after church!,0.142,0.858,0.0,0.4547,POS
We still haven't fully recovered in Keaton Beach or Perry. Please go West!,0.178,0.822,0.0,0.3802,POS
ain't that the truth!,0.0,0.571,0.429,-0.308,NEG
Thank you for the update shouldn't be bad in Clearwater,0.401,0.599,0.0,0.6542,POS
Southern point of Key West at 10am Sat….looks like Debbie is saying hello to Florida…,0.152,0.848,0.0,0.3612,POS
"Thank you for keeping us informed.",0.333,0.667,0.0,0.3612,POS
Says the guy who said it was gonna go east and not be a problem!! 🤣🤣🤣,0.169,0.831,0.0,0.4295,POS
"at the time of that prediction, the upper level high provided that probability. Maybe as you become more educated about storm watching and predicting, you will learn how it all works.",0.0,1.0,0.0,0.0,NEU
... I'm a Florida native born and raised... and I am educated enough to know you cain't predict Florida weather!!,0.0,1.0,0.0,0.0,NEU
Projections can be made and weather is unpredictable everywhere,0.0,1.0,0.0,0.0,NEU
"This is very helpful, thank you!",0.606,0.394,0.0,0.7322,POS
"Tallahassee ??",0.0,1.0,0.0,0.0,NEU
"Thanks Dennis..Your The Best",0.78,0.22,0.0,0.7964,POS
Storm surge threat lessened with us being to the east of the center?,0.0,0.779,0.221,-0.5267,NEG
Daughter and grands coming in Jacksonville Monday. Should they change plans. Please advise Denis Phillips,0.141,0.859,0.0,0.3182,POS
Just in time for Debbie Deb's Beer Release party tonight! 🍻🌀,0.23,0.77,0.0,0.4574,POS
Can anyone tell what's the risk in putam county. My daughter just moved up there,0.0,0.87,0.13,-0.2732,NEG
"I’m in Clay County, next to Putnam. We will get a little wind and rain. Nothing bad at all. She will be fine there",0.181,0.819,0.0,0.5647,POS
ok. Thank you. Mom is just a bit nervous. Her first storm away from home,0.264,0.618,0.118,0.3818,POS
I get it momma. My son is in Live Oak so they may get some of this too. I think she will be fine,0.079,0.921,0.0,0.2023,POS
"Thank you for all that you do for our community",0.217,0.783,0.0,0.3612,POS
Does storm surge knock out wifi? Asking because I don’t want to work on Monday 😬🤣,0.085,0.915,0.0,0.0772,POS
only if you lose power,0.0,0.597,0.403,-0.4019,NEG
any news about the airports? Tampa and Clearwater?,0.0,1.0,0.0,0.0,NEU
"Have you checked with the airports?",0.0,1.0,0.0,0.0,NEU
"nothing yet!",0.0,1.0,0.0,0.0,NEU
"Where’s Big Bend?",0.0,1.0,0.0,0.0,NEU
