DEBBY 8 AM | Winds are up to 60 mph. Next track update is at 11 a.m. but I don't expect any changes. Steady movement north just offshore will keep the core of Debby in the Gulf. Updates right now LIVE on ABC Action News.,Pos,Neu,Neg,Compound,Overall Sentiment
"I have been to Disney around 6 times BUT we go late Oct,Nov,Dec, never in summer,bad time to go.",0.0,1.0,0.0,0.0,NEU
this is a joke right? 😜,0.423,0.577,0.0,0.296,POS
Do you have the answer?? I need to know.,0.0,1.0,0.0,0.0,NEU
This is from a post the other day,0.0,1.0,0.0,0.0,NEU
"Orlando is inland so flight, maybe…
Expect rain everyday… it always rains in the sunshine state! 😂 for real. Even if not from the storm, afternoon thunderstorms are a very real and almost daily thing in Florida.",0.093,0.907,0.0,0.5411,POS
it rains most everyday at Disney in the summer. Check your airlines - our American Airlines flight was canceled in Miami last year for a regular summer storm.,0.0,1.0,0.0,0.0,NEU
I was having a little fun but now my flight really is delayed from Manchester NH. So that’s a little bit of Karma for my joke. Haha,0.395,0.528,0.077,0.9088,POS
my son flew American Airlines a week ago on the day of the IT outage arrived almost a day later. My arriving flight on southwest was hit by a bird last week delayed an hour- you don’t want to joke about flying anymore lol,0.139,0.819,0.042,0.5267,POS
safe travels!,0.761,0.239,0.0,0.4926,POS
omg !!!!,0.0,1.0,0.0,0.0,NEU
Rain picking up a bit in Bradenton! Thank you for keeping us informed Denis...We rely on you so much!,0.154,0.846,0.0,0.4738,POS
Stay safe!,0.761,0.239,0.0,0.4926,POS
Denis how many miles approximately will the eye be when it passes Pinellas???,0.0,1.0,0.0,0.0,NEU
50-100 miles off shore give or take,0.0,1.0,0.0,0.0,NEU
TU,0.0,1.0,0.0,0.0,NEU
"Those of you who preferred Debby staying west so you didn't take a weak TS direct hit, you should find somewhere to help fill sandbags and then head up to the big bend to help with downed trees and tarping rooves.
Early is better
Weaker is better
East is the Beast.
Stay safe!",0.26,0.696,0.045,0.9169,POS
We fly into Charlotte Douglas and then Orlando on August 10th and I'm really stressing out... hopefully it will have frizzled up by the time we fly on the 10th as Charlotte is inland. Fingers crossed 🤞 for everyone,0.071,0.862,0.067,0.044,NEU
"it should be long gone by then. ☺️",0.0,1.0,0.0,0.0,NEU
"thanks hun, I need peace of mind lol",0.697,0.303,0.0,0.8481,POS
by the 10th we’ll be facing another one. They are back to back during hurricane season,0.0,1.0,0.0,0.0,NEU
"6 days away, relax it will be a memory by then.",0.266,0.734,0.0,0.4404,POS
thanks so much,0.592,0.408,0.0,0.4404,POS
oh my goodness by the 10th we could have another one don’t worry about this. These are tropical storms a hurricane one is nothing Florida can handle this. I don’t think you need to worry about the 10th at all. They don’t last seven days enjoy your your vacation.,0.113,0.782,0.105,0.1027,POS
here's hoping we are.good to fly on the 10th.to Charlotte,0.237,0.763,0.0,0.4215,POS
that’s 6 days away. Debby will be gone tomorrow/Tuesday. Don’t even blink about Orlando because they won’t get anything but maybe some rain.,0.0,1.0,0.0,0.0,NEU
"Thankyou hun..... here's crossing my fingers, toes and my whole body for an arrival to Charlotte on the 10th",0.0,1.0,0.0,0.0,NEU
Debby isn’t even gonna be Debby anymore on the tenth.,0.0,1.0,0.0,0.0,NEU
"Lakeland is sunny this morning
I guess we won’t see rain then because we’re inland ?",0.177,0.823,0.0,0.4215,POS
"you will most definitely see rain, the bands are moving onshore slowly.",0.214,0.786,0.0,0.4576,POS
we will see rain just sporadic showers,0.0,1.0,0.0,0.0,NEU
just wait..,0.0,1.0,0.0,0.0,NEU
I know it’s beautiful out lol,0.691,0.309,0.0,0.7717,POS
In Zephyrhills too! So nice...,0.0,1.0,0.0,0.0,NEU
First tropical storm? The deluge is coming enjoy the sun while it’s out ☀️,0.198,0.802,0.0,0.4939,POS
"nope lived here my whole life but in Jacksonville
Moved to Lakeland 6 years and I notice we’re more inland and miss most of the hurricane and storm . So it’s sunny and hot so was going to do yard work lol",0.17,0.781,0.05,0.7595,POS
give it time,0.0,1.0,0.0,0.0,NEU
graphic he posted earlier said 6.9 inches for lakeland thru 10pm Monday,0.0,1.0,0.0,0.0,NEU
"Our drive from Pensacola to Wesley Chapel today is going to be a fun one. 🫠",0.202,0.798,0.0,0.5106,POS
praying for you all.,0.455,0.545,0.0,0.3612,POS
safe travels!,0.761,0.239,0.0,0.4926,POS
Thank you Denis for keeping us updated on storm and keeping us calm. 🙏,0.304,0.696,0.0,0.5859,POS
"Arrrrrgh! The worst part of this is the continuous coverage of it. Repeat, repeat, repeat. I wish they would just do the little window in the corner, or the stripe on the bottom, and keep our regular programming.",0.064,0.832,0.104,-0.4003,NEG
yep this storm is a really Debby downer!😂,0.293,0.707,0.0,0.3595,POS
"Charlotte harbor looks like a magnet to pull in storms thankfully it's passing this time...sorry for the big bend..",0.249,0.751,0.0,0.6486,POS
"Any ideas about flights coming into St Pete Clearwater Airport? Our flight from Peoria, IL has been delayed until a 5:21 landing.",0.0,0.913,0.087,-0.2263,NEG
Oof fly safe lady! ❤,0.516,0.484,0.0,0.4926,POS
"thanks, babe l!!",0.635,0.365,0.0,0.5399,POS
were flying into Tampa for a 7pm arrival. Fingers crossed we both make it there,0.0,1.0,0.0,0.0,NEU
oh no!! Good luck to you!,0.566,0.251,0.184,0.6784,POS
same,0.0,1.0,0.0,0.0,NEU
denis is the best!! He’s local but I’m sure will be reporting on what Debby is expected to do that way also. Stay safe. Not looking too good for up that way!,0.248,0.677,0.075,0.8002,POS
Tallahassee checking in 🙃😵‍💫😩,0.0,1.0,0.0,0.0,NEU
"stay safe",0.744,0.256,0.0,0.4404,POS
"I think she may grab some of our warm Gulf water and head a little more north west.
Just my opinion!
##crazyweathergirl",0.103,0.897,0.0,0.2942,POS
"I hope so. The more west, the better 👍",0.548,0.452,0.0,0.7239,POS
Better for who? The longer it's out in the Gulf the more it can strengthen. Hitting land early and riding the coast was a much better scenario for everyone.,0.251,0.749,0.0,0.8107,POS
"not really. It will be stronger but hits a lesser populated area. Less people, less homes, less power lines. Hoping it tacks like Idalia did last year.",0.266,0.734,0.0,0.8103,POS
Tracks.,0.0,1.0,0.0,0.0,NEU
I’m in ne Alabama on Lookout Mountain! It has flooded in Fort Payne. Which is about 7 miles down the mountain from me! I’ve gotten only sprinkles here. My pints are dry. Just enough rain to keep the grass growing!!,0.07,0.93,0.0,0.4344,POS
Keep us posted on wind and wind gusts for the Tampa Bay area. Thanks,0.182,0.818,0.0,0.4404,POS
Is it time to play the wobble song so Debbie can dance to it?,0.156,0.844,0.0,0.34,POS
Better be Praying it stays off shore.,0.519,0.481,0.0,0.6597,POS
"Man I wish there was a Gainesville/High Springs DENIS PHILIPS! All the meterologist I see locally up here hype things up so much, just need the real info to prepare! So if there is someone in the Gainesville/High Springs area like that, please share their page with me 🙂",0.201,0.799,0.0,0.8513,POS
What are they saying?,0.0,1.0,0.0,0.0,NEU
We are now having tons of rain and wind in Cortez FL. Are we still thinking around 2pm for here??,0.0,1.0,0.0,0.0,NEU
Is the expected time for Debby to pass by the Tampa Bay Area the same ? Watching high tide times to see how bad possible flooding will be based on how it was with idalia at high tide,0.0,0.911,0.089,-0.5423,NEG
should be due west of Pinellas about 6pm,0.0,1.0,0.0,0.0,NEU
"It's raining like hell and windy in Seminole, going to be a fun day",0.284,0.49,0.225,0.0516,POS
"Within twenty minutes, it has surged on Madeira Beach. Wow!",0.313,0.687,0.0,0.6239,POS
Will you be posting one of the red hurricane emblem tracker maps soon? Can't unravel the spaghetti ones,0.0,1.0,0.0,0.0,NEU
we are in Tampa about 20 min from the coast nothing going on a few sprinkles a little wind off mostly & on,0.0,1.0,0.0,0.0,NEU
i heard that the storm is 125 off shore for venice up to tampa ? is that true and for the manatee area 10 east of shoreline how much wind will really be happening more steady versus gusts? thanks,0.148,0.852,0.0,0.7236,POS
yeah thanks im in Western Bradenton however im trying to calculations and i want to confirm the storm is 125 miles out and not getting closer inward as well wind speeds----- we have had rain all morning a bit heavy then lightens up winds looks to be at gusts up to 20 right now thats why im asking thank you,0.172,0.828,0.0,0.8402,POS
"Watching the storm from the comfort of my patio in real time here in Clearwater. What a blessing! Yes, it could have been a Cat 1 or stronger. All the 'negative ions' created by the rain brings positive Mo-Jeo, sure, 50 mph wind gusts can cause damage and dangerous conditions so if you live within the storm's reach, be aware & be blessed this Sunday",0.291,0.589,0.12,0.9041,POS
"Just a thought...and I hope I don't sound like a ""Debbie Downer"". Many of us read the comments in order to get a better feel of what is going on, and how the storm is affecting others. Many people are trying to find information specific to their locale.
Would it not be better to have many less posts saying ""Thanks, Denis"" or inane questions or comments? I think Denis it makes it more difficult to find useful information. Denis and his team are incredible! I appreciate everything they do! I simply feel those of us in search of needed information would find it easier to find without so many comments that are not needed.
Stay safe, everyone!",0.143,0.798,0.058,0.8926,POS
Does anyone know if the Tampa airport will be opened tomorrow afternoon? Arriving around 5:00 PM? TIA,0.215,0.785,0.0,0.659,POS
wouldn't it be better to contact the airport instead of asking a bunch of random strangers? It will all depend on how quickly the storm gets here and out of here.,0.0,0.923,0.077,-0.3412,NEG
do you have a good phone number. I can't find one. Thanks much,0.288,0.548,0.165,0.2008,POS
Wish I could find a site more specific to Tampa.. my husband is at Moffitt hospital and I’m in south Tampa.. unsure if I should travel out that way today..,0.091,0.842,0.067,0.1779,POS
"You can check with maybe city or county updates, but the forecast from Denis is specific to the Tampa area. It will be really windy and rainy.",0.0,0.934,0.066,-0.2133,NEG
"I live about a mile and a half from Moffitt. It's calm right now, but beginning to look dark.",0.099,0.901,0.0,0.1655,POS
squalls will start affecting Tampa in the next hour or so. Heavy rain and Gusty winds can be expected,0.0,1.0,0.0,0.0,NEU
Is that the eye and does it seem to be a bit more east than the track shows or no?,0.0,0.891,0.109,-0.296,NEG
no eye yet! Radar is seeing mid-level circulation and storm is tilted so it looks east but either isn't or isn't by much,0.0,0.921,0.079,-0.2244,NEG
thanks,1.0,0.0,0.0,0.4404,POS
Weather Channel app. I’m in hernando why is which I’m like 👀,0.2,0.8,0.0,0.3612,POS
I'm just east of Brooksville,0.0,1.0,0.0,0.0,NEU
"Def looks likes it’s closer to the Bay Area then was forecasted, we def
Gona just miss the eye by 50-100 miles",0.115,0.82,0.066,0.296,POS
"Thank you Denis! Hope you can catch a quick nap today!",0.428,0.572,0.0,0.717,POS
We are flying out tonight out of FLL at 9pm. Trying to figure out if I need to reschedule my flight.,0.0,1.0,0.0,0.0,NEU
should be fine. Storm will up way north and planes will just go around or go above it.,0.096,0.904,0.0,0.2023,POS
might flight out of Orlando tonight got canceled,0.0,1.0,0.0,0.0,NEU
so far our flight is still on,0.0,1.0,0.0,0.0,NEU
"What bout middleburg Florida area",0.0,1.0,0.0,0.0,NEU
Be safe everyone,0.592,0.408,0.0,0.4404,POS
"from what, some wind and rain 👍 😂",0.0,1.0,0.0,0.0,NEU
"you're a clown? Heard that, thank for telling me, I'll hit you up for my kids next birthday 😂",0.135,0.865,0.0,0.3612,POS
oh look... It's just some wind and rain bahahahaha 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
Thank you Denis for all that you do. I do appreciate you.,0.366,0.634,0.0,0.6369,POS
Stay safe and be safe ❤️,0.592,0.408,0.0,0.7003,POS
Stay safe everyone,0.592,0.408,0.0,0.4404,POS
Nothing yet in Lakewood Ranch. Just warm wind and getting dark.,0.16,0.84,0.0,0.2263,POS
Loving the breeze in Weeki Wachee!,0.456,0.544,0.0,0.636,POS
"Will it just be rain in our area?",0.0,1.0,0.0,0.0,NEU
"Denis Phillips, I’m thinking not much of an impact in Jax, other than some wind and rain. What do you think?",0.0,1.0,0.0,0.0,NEU
Very heavy rain ☔️ and wind in North Port 😔,0.0,1.0,0.0,0.0,NEU
How fast is it moving?,0.0,1.0,0.0,0.0,NEU
Thanks Denis. Wind picking in Riverview. Won’t be long till Debby is knocking at the door!,0.175,0.825,0.0,0.4926,POS
Thank you the updates.,0.455,0.545,0.0,0.3612,POS
"Just when it looks like Debby might play “nice,” she show us she can be trouble, soon after a quick throw of the “dice.”",0.178,0.725,0.098,0.296,POS
Denis Phillips . Hi my daughter is at FSU. Thoughts on the impacts in the Tallahassee area? Thanks,0.153,0.847,0.0,0.4404,POS
That didn't last long,0.0,1.0,0.0,0.0,NEU
"He always says ""I don't expect any changes"" and then it changes lmao",0.245,0.755,0.0,0.5994,POS
Sustained or gusts?,0.0,1.0,0.0,0.0,NEU
"Thanks, it’s very slow moving",0.42,0.58,0.0,0.4404,POS
Checking in from North Port Fl. 🤍,0.0,1.0,0.0,0.0,NEU
"What's it looking like for Pensacola?",0.333,0.667,0.0,0.3612,POS
Amen,0.0,1.0,0.0,0.0,NEU
Port Charlotte getting bands of rain and wind. Second one just came through.,0.0,1.0,0.0,0.0,NEU
Same storm different year. Always happens like this seems like right before school starts,0.294,0.706,0.0,0.6124,POS
this is the guy I mentioned in my message.,0.0,1.0,0.0,0.0,NEU
Humm! Looks dirty!,0.0,0.365,0.635,-0.5399,NEG
"Rule # 7, it wasn't so bad down there on The Bay this morning but the rains just started flying.",0.113,0.887,0.0,0.3164,POS
Here I come... lol.,0.583,0.417,0.0,0.4215,POS
Just a bit of wind and rain... No need to go buy a ton of crap you won't need... 😂 All the fear mongering that happens when a lil rain storm comes our way lol,0.073,0.674,0.254,-0.7184,NEG
"there is nothing wrong with a prelim storm like this for the last minute season preppers to get it together. An additional tank for the grill, 10 gallons for the generator, and some grab and go food, was about all i needed. It was a good reminder for my husband to start the generator (make sure it's all good, last year we needed a new carburetor and you don't want to learn that in the middle of a disaster). So no hurricane shutters and putting stuff inside, but those last few things you need without stressing too much was probably good for some people. I still can't believe how many people are at lowes and home depot two days before a storm for plywood, I started asking people one time, hey, how long have you lived in Florida that you are doing this now?",0.107,0.873,0.02,0.8942,POS
Yeah just enough for Duke Energy to fail! Now that is my fear and not the storm!,0.175,0.529,0.296,-0.6103,NEG
"Well Tony, I too have been here 30 years and I do have hurricane shutters and two generators. I live in a non-evac zone but we had one storm that took roof tiles off, and back yard flooding that came into the house. So it can happen, just the luck of the draw sometimes.",0.104,0.896,0.0,0.6757,POS
completely get that.. only time I worry is if im in the direct path of it,0.0,0.828,0.172,-0.4404,NEG
such a expert from Queens huh??,0.0,1.0,0.0,0.0,NEU
"I've lived in Florida 30 years kiddo, never have I ran from a storm and for the longest time I would go out and buy a bunch of food and wood and sandbags and all this crap that I ended up not needing. Therefore I'm going off my past experiences of saying unless you're in the direct path of the storm you don't have much to worry about unless you're in a low-lying area that floods now have a great day and go troll somebody else you poor lifeless person",0.045,0.858,0.098,-0.5994,NEG
you sound like a great person!,0.697,0.303,0.0,0.784,POS
"and when the rain is so bad it causes flooding and power goes out, good luck with that",0.232,0.591,0.177,0.105,POS
"I have a generator and gas.... 😂 Stop being such a scaredy cat, it's literally just going to be a little bit of wind and rain 🤣",0.0,0.901,0.099,-0.296,NEG
NE Florida Nassau county here and I come to your page to get the truth and no exaggeration. You are the best weather man!!,0.242,0.683,0.075,0.7081,POS
"Are y’all suppose to just copyright each other? My gut says you’re the originator, but 🤷🏼‍♀️ lol",0.188,0.812,0.0,0.5719,POS
he might be on the same team.,0.0,1.0,0.0,0.0,NEU
I send luck and love through the night❤️,0.59,0.41,0.0,0.802,POS
🙏🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
Rule #7!,0.0,1.0,0.0,0.0,NEU
Perfect😜🤣,0.0,1.0,0.0,0.0,NEU
"Thank you",0.714,0.286,0.0,0.3612,POS
Thank you Denis.,0.556,0.444,0.0,0.3612,POS
Lol,1.0,0.0,0.0,0.4215,POS
Thanks,1.0,0.0,0.0,0.4404,POS
"Hate the word historic
https://www.facebook.com/share/ckWc3MzDrh2zwH8f/?mibextid=xfxF2i",0.0,0.519,0.481,-0.5719,NEG
