"For those nervous about an unexpected ""hard right turn"", don't be. Now that there's a well-defined center of circulation, the models will have a pretty easy job. No changes to impact on our area. The updated NHC track will come out around five.",Pos,Neu,Neg,Compound,Overall Sentiment
ill never forget Jeanne. Couldn't recall her name but I remember her coming back for us! Luckily she was 250 miles west of us.,0.217,0.715,0.068,0.634,POS
"We are on our way from tn to Florida tomorrow, is it better to hold off in GA somewhere or move ahead. It looks as though timing has changed as when it's hitting. We are from mn so we are already on the way.",0.063,0.937,0.0,0.4404,POS
"you def don't want to be on the roads during this, I would just leave a day or two later.",0.0,0.869,0.131,-0.1083,NEG
"that's what I was thinking
It's just originally it was said tomorrow and Monday now it seems like all day and night Monday even to Tuesday.",0.094,0.906,0.0,0.3612,POS
What was the name of the storm that did take a hard right back in the '80s?,0.0,0.915,0.085,-0.1027,NEG
"Elana?",0.0,1.0,0.0,0.0,NEU
"at this point i'm just hoping for a clear track through without any stalling!",0.421,0.579,0.0,0.7418,POS
"How will flying back to Tampa on Wednesday? I’m watching TWC and shows a stall?",0.0,0.858,0.142,-0.2869,NEG
Thanks for keeping it real Denis. Learned to respect you 20 years ago with Don Germaise for your coverage of Hurricane Charley.,0.231,0.769,0.0,0.7184,POS
"Waiting to see what happens near myrtle beach/ Wilmington nc",0.0,1.0,0.0,0.0,NEU
"I’m in Atlanta for a wedding. It’s Saturday. I was thinking of leaving at four or five tomorrow morning to go home to Venice, Florida. Would that be a decent time or should I leave earlier? Thank you.",0.07,0.896,0.034,0.3182,POS
you better wait till Monday now!,0.39,0.61,0.0,0.4926,POS
"storm is going to Savannah so iwould rethink",0.0,1.0,0.0,0.0,NEU
"Look Denis, Fort Myers just wants to make sure that we're safe to close our eyes tonight. 🤣 We fell asleep on Ian and woke up with that jerk staring us in the face.",0.138,0.798,0.064,0.4215,POS
Thanks Denis! What are your thoughts on impacts for the east coast directly across from Tampa (Vero beach area)?,0.151,0.849,0.0,0.4926,POS
"I have to confess, I am a bit of a ""wobble watcher."" 😉",0.0,1.0,0.0,0.0,NEU
What are we thinking about storm surge in the Shore Acres/St Pete area?,0.0,1.0,0.0,0.0,NEU
"Yes, would love a shore acres impact update. 😬",0.58,0.42,0.0,0.7845,POS
shored acres is underwater at 4pm on a Tuesday tropical storm or not,0.0,1.0,0.0,0.0,NEU
"NHC indicates 2 to 4 ft. surge for Tampa Bay. That may change with the 5 pm advisory. Keep in mind the tides are going to be higher than normal (new moon), and you’re in a flood prone area.",0.0,1.0,0.0,0.0,NEU
"maybe even before thar",0.0,1.0,0.0,0.0,NEU
"bro you get storm surge like monthly",0.294,0.706,0.0,0.3612,POS
all surge charts show 3-5ft. Lots of charts on tropical tidbits to answer all your questions,0.0,1.0,0.0,0.0,NEU
I'm prepping for decent surge. My road goes underwater during a king tide without a TS passing by. South end of Skyway here,0.0,1.0,0.0,0.0,NEU
"Beach areas too",0.0,1.0,0.0,0.0,NEU
"What does this mean for Charlotte Douglas as we fly over on August 10th, then to Orlando same day.
Panic. Com",0.0,0.858,0.142,-0.5106,NEG
"this storm will be in Greenland by then",0.0,1.0,0.0,0.0,NEU
"you are aware that today is the 3rd correct?",0.0,1.0,0.0,0.0,NEU
"yes... I'm not American, therefor I have no idea how all this weather and storms work..... I'm waiting panicking a bit",0.0,0.769,0.231,-0.6249,NEG
you will be fine. It will be long gone by the 10th,0.141,0.859,0.0,0.2023,POS
Thankyou,0.0,1.0,0.0,0.0,NEU
Raining extremely hard in Sarasota east of 75!!,0.0,0.755,0.245,-0.3131,NEG
Sure is !!,0.59,0.41,0.0,0.4374,POS
"Any news on flight cancelations today or tomorrow on MCO?",0.0,1.0,0.0,0.0,NEU
"I know, I know. I.just wanted to see if there has been a trend. I have been in the baseball park all day with my son",0.0,1.0,0.0,0.0,NEU
Southwest messaged yesterday to say there could be delays and I had the option to change my flights.,0.0,1.0,0.0,0.0,NEU
check specific flight data with your carrier. We have thousands of flights in and out daily here in Florida... Denis is not monitoring specific flight activity...,0.0,1.0,0.0,0.0,NEU
call your airline,0.0,1.0,0.0,0.0,NEU
"Denis, what time do you have to start work as an airport flight controller?",0.0,1.0,0.0,0.0,NEU
Will Gulf boulevard flood nears J D’ s restaurant?? Help need answer Denis,0.234,0.766,0.0,0.4696,POS
there’s no way for him to know exactly where it’s going to flood. He’s made multiple posts about potential surge and if you’re In an area prone to flooding- to go ahead and make preparations just in case.,0.0,0.944,0.056,-0.296,NEG
"When can we expect storm surge on Sunday?",0.0,1.0,0.0,0.0,NEU
where?,0.0,1.0,0.0,0.0,NEU
"Clearwater/ Largo.",0.0,1.0,0.0,0.0,NEU
"We never get direct storms in our area 🙄 lol",0.259,0.741,0.0,0.4215,POS
Thankfully,1.0,0.0,0.0,0.4215,POS
"well, not since 1921 anyway...",0.344,0.656,0.0,0.2732,POS
lol 😂 I wasn’t even thought about then tho so don’t count hahahahah,0.219,0.781,0.0,0.4215,POS
Right! Kinda not fair,0.0,0.603,0.397,-0.2443,NEG
 lol 😂 💯,1.0,0.0,0.0,0.4215,POS
"I'm sure we are the unpopular opinion, but I love storms",0.482,0.518,0.0,0.8151,POS
"same !!",0.0,1.0,0.0,0.0,NEU
"bite your tongue!",0.0,1.0,0.0,0.0,NEU
that's good right 😆,0.592,0.408,0.0,0.4404,POS
Thank you Denis Phillips,0.455,0.545,0.0,0.3612,POS
Should we fly back to Tampa at 5am and land at 8 tomorrow or Monday evening?! Any thoughts,0.0,1.0,0.0,0.0,NEU
"my flight is tomorrow morning to Tampa st Pete, hope we make it",0.195,0.805,0.0,0.4404,POS
I think you’ll be ok,0.423,0.577,0.0,0.296,POS
thanks,1.0,0.0,0.0,0.4404,POS
"What does that mean as far as surge in Citrus?",0.0,1.0,0.0,0.0,NEU
f,0.0,0.0,0.0,0.0,NEU
Wait did it move more west? Definitely looking forward to the 5:00 update,0.199,0.801,0.0,0.4549,POS
"What is storm surge predictions for pinellas coastal area?",0.0,1.0,0.0,0.0,NEU
"yes! 🙌 we need this!",0.523,0.477,0.0,0.508,POS
"Any weather north in Georgia that could affect it?",0.0,1.0,0.0,0.0,NEU
"Thank you for always keeping us updated",0.294,0.706,0.0,0.3612,POS
Still a lot of rain for Pasco coast ?????,0.0,1.0,0.0,0.0,NEU
"I always feel bad hoping for changes in the tracks of storms like this. Once they get into the Gulf, somebody somewhere is gonna get punched in the nose. 🙁",0.157,0.74,0.104,0.2023,POS
well this is a fast mover so I don't think it will get time to charge up,0.13,0.87,0.0,0.2732,POS
"Hope so, but that water is warm enough to brew tea.",0.323,0.677,0.0,0.5106,POS
They are saying this will be just a cat 1,0.0,1.0,0.0,0.0,NEU
this! Someone is going to have a rough ride,0.0,1.0,0.0,0.0,NEU
Looks like its not even close to touching us on Tampa Bay. Will we even get rain from this?,0.122,0.878,0.0,0.3612,POS
The changes are a BIG DEAL when one lives in Crystal River in a one story and one's bed stands approximately 30 ft from the seawall,0.0,1.0,0.0,0.0,NEU
What about those of us nervous that it IS gonna follow the models? Lmao,0.217,0.667,0.117,0.4215,POS
"then you’re probably not in his viewing area.
That’s like going to an HOA meeting and they say they won’t be replacing but replacing is a huge priority of yours.
But it’s an HOA for a different neighborhood you don’t live in.",0.11,0.89,0.0,0.5719,POS
"We're not getting a hard right, we're getting a 3 day long slow right 🤦‍♀️ #inthepath",0.097,0.903,0.0,0.0762,POS
"What kind of wind speeds are expected in Tampa area?",0.0,1.0,0.0,0.0,NEU
"please hard right turn? you're completely forgetting up us on the left. we're recovering from tornados, and even you said it would be worse if it went further west rather than east, so east seems like the better option.",0.171,0.732,0.097,0.5367,POS
"1) Denis is local to Tampa Bay and is speaking relative to our area, and 2) Denis can't control weather. lol",0.0,0.896,0.104,-0.3252,NEG
"i'm aware of this, it's just sucky to WANT it to hit anyone, let alone people still recovering.",0.093,0.684,0.223,-0.4342,NEG
"because he himself said that it would basically just be a depression if it went east, and emphasized it would just be a long, afternoon thunderstorm if it did that. if he was saying how bad it would be if it went east i wouldn't have said a thing. this is simply because everyone wants to go where it will be astronomically worse.",0.0,0.845,0.155,-0.8834,NEG
"I'm hoping it turns too, I just like storms lol",0.574,0.426,0.0,0.7964,POS
Denis can’t control the weather lol,0.359,0.641,0.0,0.4215,POS
My exact thoughts. lol. Like does she think he can’t change it? 🤣,0.346,0.654,0.0,0.6486,POS
do you even live here? Looks like you live in New York and used to live in Tallahassee,0.128,0.872,0.0,0.3612,POS
"So harm others? Delusional",0.0,0.442,0.558,-0.5849,NEG
"the only delusion person is you. he himself said it would be worse if it took the track that headed towards the big bend, as opposed to going right and hitting where he is, which would be a weak tropical storm. sounds like you people want it to harm others more than anyone else does.",0.061,0.787,0.152,-0.7717,NEG
So am I correct at looking at the last wind time models that she will pass by Tampa around 3p tomorrow and visit Tallahassee Monday around 2p? I'm trying to figure out a time frame for driving through Tallahassee( glorious drive Pensacola to the space coast so a white knuckle drive the whole way) and I don't have a huge window.,0.07,0.898,0.033,0.5003,POS
"Will tomorrow rain enough for one bottle of zing zang or two?",0.0,1.0,0.0,0.0,NEU
"Denis, do you know what approximate time Sun am we may see storm surge impacts along St Pete Beach/ Treasure Island?",0.099,0.901,0.0,0.296,POS
"Do you think the Skyway will shut down?",0.0,1.0,0.0,0.0,NEU
So basically its gonna drive like everyone else on I-4? Not knowing what it'll do til the last second.,0.122,0.878,0.0,0.3612,POS
"No turn like Charlie ur sure",0.48,0.3,0.22,0.3818,POS
wouldn't matter if it did. Barely a tropical storm,0.0,0.867,0.133,-0.0191,NEU
"thanks just alone 3 dogs scaref",0.367,0.38,0.253,0.2263,POS
"Are we ALL still going to Disney tomorrow 👀. Lol.😂 xo",0.0,1.0,0.0,0.0,NEU
I am!,0.0,1.0,0.0,0.0,NEU
nope,0.0,1.0,0.0,0.0,NEU
What is causing that hard right turn?,0.0,0.811,0.189,-0.1027,NEG
Is my soda fizzy?,0.0,1.0,0.0,0.0,NEU
Like I said we're all clear tomorrow will be like any other day,0.458,0.542,0.0,0.765,POS
"Thanks. Some of us remember",0.42,0.58,0.0,0.4404,POS
"I will never trust a hurricane! Sally made a last minute turn.",0.0,0.728,0.272,-0.4577,NEG
"No changes to the impact on our area. What *was* ""the impact on our area""? It looks like ""It's going to rain a bunch and it might be a little windy""",0.079,0.852,0.069,0.0772,POS
"I remember a tropical storm taking a right turn after being projected to land way north….i think it was about 1987/1988 maybe? I was up watching tv about midnight when the news said it had taken a turn, and would land in Pinellas, but no big deal. Family was already asleep, as was most of my neighbors. So I Went to bed and was awaken a few hours later to a blown transformer and trees falling (3 pines) around our house. We had to flee to the neighbors. We were without power and phone for several days. So as much as I believe everything you say, my memory tells me different on this one. 😄",0.0,0.956,0.044,-0.5719,NEG
"Denis Phillips just got this August 3 notification it says you sent it 2 hours ago! I saw this last week! I think it AI doing it, not sure!",0.0,0.894,0.106,-0.4287,NEG
"Thankyou, our satellite keeps going out, can't watch the weather",0.0,1.0,0.0,0.0,NEU
"Wind? Panels up in Bradenton?",0.0,1.0,0.0,0.0,NEU
"wish we had them.",0.474,0.526,0.0,0.4019,POS
"nope",0.0,1.0,0.0,0.0,NEU
"Thank you so much for the update Dennis, I hope you enjoy your evening",0.462,0.538,0.0,0.8225,POS
"Oh man I sure hope it makes the right, I was hoping for a really good storm 😡 I know I know I'm one of those crazy people who love storms with a passion Now I don't want anybody to get hurt or anything like that but I love them so much.",0.348,0.564,0.088,0.9292,POS
I’m still traumatized from Idalia last October that had the same path!! They usually make a hard right turn East. I’m praying !,0.098,0.707,0.195,-0.3561,NEG
"I am too. 😨",0.0,1.0,0.0,0.0,NEU
Rule # 7 ☺️,0.0,1.0,0.0,0.0,NEU
"Now everyone can ask you about their flights, cruises and Disney instead of calling Delta, Royal Caribbean and the Mouse.",0.0,1.0,0.0,0.0,NEU
"yep that’s the way it’s always been Denis is to go to man 😊",0.155,0.845,0.0,0.296,POS
Can you make it go faster? I’m supposed to be leaving Port Charlotte today to Clearwater Beach!! Dang it! Cancelled my trip.,0.0,0.88,0.12,-0.4359,NEG
I will never stop worrying about a hard right turn.,0.38,0.484,0.136,0.3662,POS
"I don't see a 'Hard right turn"" but I definitely think the track is way to right more than left is looking more likely. Like the right of the cone. The center definitely looks like it's going more north than west right now",0.302,0.698,0.0,0.9345,POS
Thank you for this info Denis Phillips,0.294,0.706,0.0,0.3612,POS
"Please send rain to WV!",0.393,0.607,0.0,0.3802,POS
"Wowiee! It is pouring and windy in. Nokomis !",0.0,1.0,0.0,0.0,NEU
"HWRF is drunk.",0.0,0.455,0.545,-0.34,NEG
"So for not a right turn as in the lastest track showing a possibility of a loop around",0.0,1.0,0.0,0.0,NEU
Are there any parallels we can draw from last year’s Idalia (left)?,0.0,1.0,0.0,0.0,NEU
"Idalia was a hurricane in the gulf, and a major hurricane at landfall.
Debby isn't even a tropical storm yet, and is only forecast to be a TS at landfall.
The only similarity is track.",0.0,1.0,0.0,0.0,NEU
that is my point. Should we look to last year for an idea of what to expect.,0.0,1.0,0.0,0.0,NEU
"I'd say no. Idalia and Debby will not be alike in any way.",0.0,0.845,0.155,-0.296,NEG
"(And that's not to say there will be no impact, but I would not expect it to be anywhere close to Idalia's.)",0.0,0.926,0.074,-0.1531,NEG
please no. Praying not ready for that again. My farm looked like a tornadoe wenthrough,0.354,0.437,0.209,0.457,POS
"sorry to hear that. Hoping you are safe.",0.475,0.417,0.108,0.6597,POS
"Thunder, lightning, rain in Venice",0.0,1.0,0.0,0.0,NEU
"lol, Charlie had great models to, until the right turn lol",0.548,0.452,0.0,0.8658,POS
Better techology?,0.744,0.256,0.0,0.4404,POS
"maybe, but Mother Nature is like betting on the ponies lol",0.436,0.564,0.0,0.7876,POS
Philippe park doing its thing like always! ❤️❤️,0.285,0.715,0.0,0.4199,POS
"You said that last time too",0.0,1.0,0.0,0.0,NEU
"It can still turn..anything can happen.",0.0,1.0,0.0,0.0,NEU
"Go West Little Debby.",0.0,1.0,0.0,0.0,NEU
"Oh Lord. I'm sorry Denis.",0.0,0.755,0.245,-0.0772,NEG
If it’s gona do a hard right turn it won’t show on models. We won’t know till it passes our altitude js,0.0,0.935,0.065,-0.1027,NEG
"I live in ocala and will take some of it. Keep you guys safe.",0.195,0.805,0.0,0.4404,POS
Hope you’re right!,0.615,0.385,0.0,0.4926,POS
Haven't heard the term rapid development yet. Any chance it could do this in the next 18 hours?,0.105,0.895,0.0,0.25,POS
"Keep the whole darn mess",0.0,0.615,0.385,-0.3612,NEG
"For those who were worried about a hard right, you don't Florida very often do you?",0.0,0.783,0.217,-0.3818,NEG
"the people that are concerned about right turns are likely the people that went through Charlie and Ian and watched right turns happen out of the blue to end up devastating them.
Those folks have Florida’ed quite a bit.",0.0,0.896,0.104,-0.6486,NEG
"but this isn't a hurricane.",0.0,1.0,0.0,0.0,NEU
"EXACTLY!!",0.0,1.0,0.0,0.0,NEU
"totally unrelated to whether it could turn right or not but that’s correct.
Michael went to Cat 5 in one day. People that experienced those things tend to ask questions.
Your comment was about turning right. And I responded to nothing except your exact comment. But we can discuss strength. Ian went from TS to Cat 3 in 24 hours.
People that Florida a lot remember those things.",0.064,0.936,0.0,0.6486,POS
"You must be exhausting to be around.",0.0,0.706,0.294,-0.3612,NEG
I imagine anyone that understands the English language would be exhausting for you.,0.0,0.815,0.185,-0.3612,NEG
"Child: Hey, did you hear the joke about the Penguin and the polar bear who walked into a ice cream shop?
: Actually, that's not possible. You see, and penguin has more of a waddle than a walk. Also, in the climate most ice cream shops are located, the penguin and the polar bear wouldn't be within the vicinity of an ice cream shop. I also might want to add that the lactose is not good for the penguin nor the bears digestive system. The milk is hard to process, and may cause bloating, making it very uncomfortable. Now this may not be a problem for the bear, as he is a natural predator and can handle his own. However, the penguin, who is now at a disadvantage, may not survive as he will be slowed down from all the ice cream he just partook in. If you're going to tell me jokes, please be more accurate with the nature involved.",0.076,0.866,0.058,0.2638,POS
"I get what you're saying, but didn't Charlie and Ian have well defined centers, and they were actual named storms? 🤷‍♂️",0.122,0.878,0.0,0.3919,POS
Let's hope a hard right turn doesn't happen.,0.312,0.538,0.151,0.3612,POS
Praying it doesn't,0.556,0.444,0.0,0.3612,POS
was going to say the same thing!,0.0,1.0,0.0,0.0,NEU
"Ummm… no work Monday ??? 😂",0.0,0.593,0.407,-0.4098,NEG
"I am currently on a flight from JFK to West Palm. A flight attendant said they had planned a flight back to JFK today, but can't do it due to the weather forecasted.",0.0,1.0,0.0,0.0,NEU
there are already outflow bands moving through S Florida.,0.0,1.0,0.0,0.0,NEU
