"While Debby is starting to get ""that look"", the tropics are coming to life elsewhere. It was only a matter of time.",Pos,Neu,Neg,Compound,Overall Sentiment
"Managed to wake up in time and get pup out the door for potty( any rain and it’s a no go),heavy band came through just as we went inside🙌🏻",0.0,0.925,0.075,-0.296,NEG
that’s how my dog is! He has been holding it all day🤦🏼‍♀️,0.0,1.0,0.0,0.0,NEU
have trained my dogs to use pee pads for when it rains like this. Has been a HUGE help! Just a thought 😊,0.334,0.666,0.0,0.8188,POS
"we tried pee pads...NOPE,she refuses ...it’s our yard or nothing🥴",0.0,1.0,0.0,0.0,NEU
mine are the same lol,0.412,0.588,0.0,0.4215,POS
"I wish you luck & speed on using those few moments of no/ light rain today,I know I will!( we tried putting a patch of grass( sod from Home Depot)on our covered porch for one hurricane…NOPE,she refused,even with all us desperately pointing to it and saying potty🙄😬",0.123,0.823,0.054,0.5255,POS
I have 5 here. I managed to get them out around 6:30. but it's a no go now. We even had a break and I got two out that just sat there. I have an enclosed lanai that is covered for about 5 ft. by the door with newspaper and pee pads. They may go out later if it doesn't downpour. But it's been on going for a few hours.,0.0,0.955,0.045,-0.4215,NEG
Thanks Denis and everyone posting. Be safe 🌬 windy a little here.,0.42,0.58,0.0,0.7003,POS
10:15 am Sunday morning. Just normal rainy activity right now at Mease Countryside Hospital area.,0.0,0.915,0.085,-0.0772,NEG
same…. I’m just a half mile south. 🙂,0.0,1.0,0.0,0.0,NEU
Getting some wind and fast-moving fingers of clouds in Temple Terrace ☁️,0.0,1.0,0.0,0.0,NEU
"I’m flying to Alaska in November, will my flight be cancelled ?",0.0,0.833,0.167,-0.25,NEG
"yeah. Hopefully you got flight insurance buddy",0.495,0.505,0.0,0.5994,POS
"I am ready for the roller coaster ride 😁
But in all seriousness, thank you Denis Phillips for your unwavering dedication to the people of our communities and your no hype information. You truly are the best out there!!!
Stay safe everyone",0.343,0.584,0.073,0.9537,POS
"So far Weeki Wachee North is still very quiet. But not for long",0.0,1.0,0.0,0.0,NEU
We are in Weeki Wachee as well 🤞🤞🤞,0.231,0.769,0.0,0.2732,POS
Stay safe 🙏,0.744,0.256,0.0,0.4404,POS
I’m there as well. Only one shower yesterday. I’m hoping for a good soaking.,0.438,0.562,0.0,0.7783,POS
in Weeki Wachee as well. Waiting on the storm with the grand babies,0.317,0.683,0.0,0.6249,POS
A good day to sleep!! 😁,0.537,0.463,0.0,0.5399,POS
"or to watch a series on Netflix",0.0,1.0,0.0,0.0,NEU
"Someone buy this man some more diet dr peppers. You’re the man Denis, and the only weather man my husband and I watch.",0.0,1.0,0.0,0.0,NEU
"the best!!!",0.835,0.165,0.0,0.7249,POS
chip in and order him some on Instacart for delivery!,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
Lots of wind and rain in Lakewood Ranch,0.0,1.0,0.0,0.0,NEU
I don't know how anyone else feels. But it feels soooooo good outside with that wind. I no longer feel like I'm baking in an oven.,0.23,0.68,0.091,0.6486,POS
"we walked the dog before the rain hit, quite a breeze then and it was lovely",0.213,0.787,0.0,0.5859,POS
Just a little breezy in Valrico so far.,0.0,1.0,0.0,0.0,NEU
Thankfully it doesn't look like we'll need to worry about Debby's little brother Ernesto!,0.147,0.576,0.278,-0.3616,NEG
Light steady rain right now in Sarasota.,0.0,1.0,0.0,0.0,NEU
"Heavy, loud rain, some gusty wind, in my part of Venice.",0.0,1.0,0.0,0.0,NEU
yeah you can definitely tell when the bands come through.,0.38,0.62,0.0,0.5994,POS
"You have the right to be concerned, specially if there is flooding in the area.
She will learn a few big life lessons today. I had this
exact situation when i was 18 years old. Give her the safety precautions (wish someone had done that for me) dont drive through flooded streets at the very least your car will stall and/or die to the worse scenario it can be life treating in many ways. 🙏 Koodos to becoming an adult right?😞👏💪🙏",0.033,0.863,0.104,-0.7184,NEG
"Hi Denis, I don't live in your area (I'm in south east Florida), but I follow you because you are the BEST. Thanks for what you do!!",0.33,0.67,0.0,0.9236,POS
"I get agitated at the word hurricane! Ian did a job on me in many ways.",0.0,0.798,0.202,-0.5093,NEG
IAN gave us anxiety as long as we live in Florida 😢,0.0,0.855,0.145,-0.1779,NEG
me too. I lived in fl for one month before Ian hit i imoved from NJ I'm traumatized from ian.,0.0,0.863,0.137,-0.4019,NEG
Plus it was the same day Jack died the year before 💔😢,0.0,0.753,0.247,-0.5574,NEG
And my 2 Yorkies 😢 2021 and 2022 was a very rough year for me. Actually from Sept 2019 on when Jack fell on his head,0.0,1.0,0.0,0.0,NEU
We fly into Charlotte Douglas and then Orlando on August 10th and I'm really stressing out... hopefully it will have frizzled up by the time we fly on the 10th as Charlotte is inland. Fingers crossed 🤞 for everyone,0.071,0.862,0.067,0.044,NEU
"looks like it will be past that area by Tuesday. (PS - I’m that nice person who spoke with you before). 💕 Where are you going? The Parks? Do you like Cupcakes? If so, go to Disney Springs and get cupcakes at “Sprinkes”. Oh my word! 🧁 SO GOOD!",0.244,0.756,0.0,0.9271,POS
"heyyyyyy...... yes we are flying on August 10th from Madrid Spain to Charlotte Douglas, then to Orlando same day. Gping to Disney and yes I loveeeee cupcakes lol.. will be trying those for sure. Thanks so much for being so nice.
I will certainly keep you posted and let you know when we land and are in that magical place lol",0.275,0.725,0.0,0.9564,POS
"if you have dinosaur loving children, there’s a restaurant at Disney Springs with Dinosaur animatronics (I think that’s the word - they come to life) that has great food. If you are interested, I’ll get the name from my daughter for you. 🍲 🦕",0.224,0.776,0.0,0.8934,POS
"thanks so very much!
Think it might he called T-Rex.... my son's love dinosaurs",0.381,0.619,0.0,0.8122,POS
yes! That’s it! It’s so much fun! 🦖,0.589,0.411,0.0,0.7995,POS
don’t forget about Everglazed for their donuts 🍩 (they are yummy) at Disney Springs!!! 🤤😁,0.0,0.824,0.176,-0.4168,NEG
ooohhh! I didn’t know about them. I’ll have to get one on my next visit! - donuts too!,0.0,1.0,0.0,0.0,NEU
yes! They are delicious! 😋,0.777,0.223,0.0,0.7896,POS
Thanks all.... non US here and can't help but worry ...... fingers crossed haahaa,0.286,0.622,0.092,0.5315,POS
"that’s SIX days from now it will be gone",0.0,1.0,0.0,0.0,NEU
"Hudson, No Rain yet this morning, wind slowly having little breezes here & there. Hearing the wind chimes & the Flags on the poles. BUT if it's in Pinellas & it's only a matter of time. Hope everyone stays safe.",0.208,0.754,0.038,0.8047,POS
on its way up - raining here in New Port Richey and somewhat windy.,0.0,1.0,0.0,0.0,NEU
The Rain has arrived...,0.0,1.0,0.0,0.0,NEU
She sure has the look,0.365,0.635,0.0,0.3182,POS
what does the look mean?,0.0,1.0,0.0,0.0,NEU
the comma shape of a tropical storm and hurricane,0.0,1.0,0.0,0.0,NEU
"Rain on island not bad Publix was fully stocked!",0.282,0.718,0.0,0.484,POS
"here we go !
2 days of rain 🌧️ has commenced 🙂",0.0,1.0,0.0,0.0,NEU
I can hear the wind picking up “Wesley Chapel”,0.0,1.0,0.0,0.0,NEU
Just like you predicted! ⭐️,0.411,0.589,0.0,0.4199,POS
Just now coming into Clearwater,0.0,1.0,0.0,0.0,NEU
The real #debbiedeb 🌀🍻,0.0,1.0,0.0,0.0,NEU
"Rain just picked up in Punta Gorda. It’s so dark and so quiet, all I want to do is nap.",0.08,0.92,0.0,0.144,POS
Hudson light rain right now,0.0,1.0,0.0,0.0,NEU
Finally raining here in Clearwater.,0.0,1.0,0.0,0.0,NEU
A lot of rain here in Clearwater,0.0,1.0,0.0,0.0,NEU
Still gonna get a lot of rain in new portrichey.?????,0.0,1.0,0.0,0.0,NEU
it's on its way!!!!!🤪,0.0,1.0,0.0,0.0,NEU
already here,0.0,1.0,0.0,0.0,NEU
The rain is nice this morning,0.359,0.641,0.0,0.4215,POS
"Denis Phillips at this time, do you anticipate Ernesto making a turn towards FL at any point? Or is it tracking straight across Mexico to the Pacific?",0.083,0.917,0.0,0.3094,POS
"Who the heck is Ernesto?",0.0,1.0,0.0,0.0,NEU
"Sarasota is wet and windy. Been storming since 7:30 non stop. starting to flood in areas.",0.0,0.872,0.128,-0.296,NEG
Will you be going live today Denis Phillips?,0.0,1.0,0.0,0.0,NEU
"St Pete Beach 6-7 too? Or more?",0.0,1.0,0.0,0.0,NEU
Calm before the storm....Alligator chill-laxin pond side....,0.277,0.723,0.0,0.3182,POS
"lol that’s the way to do it",0.318,0.682,0.0,0.4215,POS
where is that?,0.0,1.0,0.0,0.0,NEU
"behind my house in Odessa.",0.0,1.0,0.0,0.0,NEU
Ms. Debby is not playing. Heavy downpours and very windy here in Tampa,0.0,0.883,0.117,-0.1511,NEG
no rain yet southeast of you in Valrico . Just some lively breezes,0.192,0.662,0.146,0.1779,POS
it's coming soon your way,0.0,1.0,0.0,0.0,NEU
yep. Got all of my yard and patio stuff down.,0.196,0.804,0.0,0.296,POS
new Tampa no rain yet,0.0,0.645,0.355,-0.296,NEG
just think of me! Lol,0.436,0.564,0.0,0.4753,POS
"I'm in Fort Myers, Estero Bay right behind us past the preserve. Yes rain but very light, not particularly horrible winds. Right now a larger band coming. Still today and tomorrow to go thru.",0.161,0.839,0.0,0.7141,POS
"We have light rain in Tarpon Springs so far.",0.0,1.0,0.0,0.0,NEU
Great,1.0,0.0,0.0,0.6249,POS
This isn't funny Denis Phillips !! We're on a cruise to the southern Caribbean as we speak. What's the timing for it in the Caribbean??,0.0,0.873,0.127,-0.5187,NEG
"Tune in with Mr Weatherman via YouTube, Brian Shields. He gives excellent storm updates for the islands.",0.188,0.812,0.0,0.5719,POS
thank you!,0.736,0.264,0.0,0.4199,POS
How many days will you be on your cruise and what part of the Caribbean are you in?,0.0,1.0,0.0,0.0,NEU
"Aruba, Bonaire, and Grand Turk. Returning to Port Canveral on Sunday the 11th.",0.2,0.8,0.0,0.4588,POS
Ugh. Is it December yet?,0.0,0.588,0.412,-0.4215,NEG
"Crossed Tampa Bay 90 minutes ago, and it was whitecaps and almost that clothes washer effect",0.0,1.0,0.0,0.0,NEU
ELSEWHERE??,0.0,1.0,0.0,0.0,NEU
So how are we looking in Tally?,0.0,1.0,0.0,0.0,NEU
"From southernmost St. Petersburg, with views of the Sunshine Skyway Bridge, we’re seeing intermittent mild wind gusts and drizzling rain so far. Feels like a typical summer rain storm. Hoping the best for everyone on Debby’s guest list!",0.287,0.713,0.0,0.9225,POS
here visiting-would it be ok to drive from downtown St Pete to the Aquarium in Tampa and back? Or could I encounter flooding?,0.109,0.891,0.0,0.3736,POS
is skyway bridge getting shut down?,0.0,1.0,0.0,0.0,NEU
That time of year,0.0,1.0,0.0,0.0,NEU
"No rain here in Land O lakes just now seeing a little wind!",0.0,0.801,0.199,-0.3595,NEG
just wait. It is already raining in Valrico. I got out of Publix just before the heavy rain started. Stay Safe.,0.132,0.868,0.0,0.4404,POS
Thanks for the updates. We trust you!,0.565,0.435,0.0,0.7574,POS
"My Labrador puppy is loving the rain. He’s running to the door and “giving me the look” every 5 minutes. 🤣 Havanese male wears a belly band, but my little Havanese female took one look out the door and was like, “Nope. Not today.” 🤣 In her defense she does become a kite fairly easily. 😁",0.187,0.813,0.0,0.8608,POS
Rain increasing in Citrus Park,0.0,1.0,0.0,0.0,NEU
"Looking like #Debby is staying a bit to our south here in Valrico. Still some good rain about an hour ago, and our power was our last night 1:15 - 2:30 am. Thanks for the updates.",0.211,0.789,0.0,0.8074,POS
She needs to tell him to stay home. 🤪,0.0,1.0,0.0,0.0,NEU
"No rain yet in Wesley Chapel",0.0,0.694,0.306,-0.296,NEG
this is the 2nd one I was telling you about behind debby,0.0,1.0,0.0,0.0,NEU
Just starting in St. Pete 🌧️,0.0,1.0,0.0,0.0,NEU
My house has no rain yet in Clearwater,0.0,0.761,0.239,-0.296,NEG
"I just helped someone do a last minute move from Tarpon Springs to Largo, for the most part it was not too bad but drove through a super hard area of rain for about 5 minutes but now i just got home to Palm Harbor and the wind has really picked up.",0.138,0.832,0.03,0.7701,POS
"Tropical Storm ETA delivered 8"" of water in my adorable beach home in Madeira Beach. It was the combo of the moon and tides. Once you get water in your home, you have no idea the devastation is causes on your mind and soul. All I can say is if you are in a flood zone where there is a threat... learn how to protect your doorways with sandbags and plastic. There is a right way and a wrong way. (google it!) I ended up selling my home after many months of restoring it. There is no better place to live than in Pinellas County! Stay prepared and protect yourself from the water.. It is the worst!",0.125,0.765,0.11,0.0,NEU
"Denis…What a way to celebrate my birthday!😂😂🌂💨💦☔️🌊",0.444,0.556,0.0,0.6114,POS
"""August look out you must"" right? 🙄",0.0,1.0,0.0,0.0,NEU
"Off and on light to moderate rain in Palmetto. Not much wind to speak of.",0.0,1.0,0.0,0.0,NEU
The tide is high but I'm holdin' on....😅,0.0,1.0,0.0,0.0,NEU
"Tell Ernesto to take a seat",0.0,1.0,0.0,0.0,NEU
"North Port steady!
About 1.5 inches of rain already.
Barely a breeze at times.",0.0,1.0,0.0,0.0,NEU
"on and off heavy. Now it's not too bad. My chimney was tarped because it leaks, but it's still leaking some. Dam. Two days of this? I hope the ceiling holds up.",0.183,0.817,0.0,0.757,POS
I just went to Publix and got a Diet Dr. Pepper in honor of Denis!,0.225,0.775,0.0,0.5411,POS
Barely any rain in port Richey. I’ve been disappointed,0.0,0.721,0.279,-0.4767,NEG
"This is barely an evening thunderstorm.....
This is just rainy day, good day to go to the movies",0.144,0.792,0.064,0.3818,POS
"easy for you to say. We will receive a direct hit",0.244,0.756,0.0,0.4404,POS
"If you’re outside of the Tampa Bay Area, your circumstances are probably different. However, in the Tampa Bay area, he’s probably right.",0.0,1.0,0.0,0.0,NEU
I'm right in the Tampa Bay area. Pinellas County.,0.0,1.0,0.0,0.0,NEU
"Heavy rain and wind in Pinellas",0.0,1.0,0.0,0.0,NEU
Just door dashed Mexican food lol,0.359,0.641,0.0,0.4215,POS
Here we go.,0.0,1.0,0.0,0.0,NEU
"Yep holiday is getting down pours now",0.495,0.505,0.0,0.5994,POS
"pouring in spring hill",0.0,1.0,0.0,0.0,NEU
"Been raining for at least an hour in largo, off and on with the heavy downpour. Not too much wind that I can see but I'm hoping for a little bit so I can open my patio door and get a breeze haha",0.172,0.828,0.0,0.8271,POS
"We ""Debbie's"" often get ""that look"". Just ask my husband 😉",0.0,1.0,0.0,0.0,NEU
"It’s too soon.",0.0,1.0,0.0,0.0,NEU
Prayers for all. Our entire state! 🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
"The canal on Holmes Beach is street level",0.0,1.0,0.0,0.0,NEU
"oof!",0.0,1.0,0.0,0.0,NEU
"yeah, it’s high!",0.555,0.445,0.0,0.3595,POS
Raining here in Palmetto,0.0,1.0,0.0,0.0,NEU
did you see that Busch Gardens closed today,0.0,1.0,0.0,0.0,NEU
Smart.,1.0,0.0,0.0,0.4019,POS
"If you think about it, everything acts a bit weird when you put it in your armpit! 🤟🏴‍☠️🤙",0.0,0.889,0.111,-0.2481,NEG
"Just crossed the Howard Franklin",0.0,1.0,0.0,0.0,NEU
" drive safe you crazy woman. Lol ❤️",0.471,0.331,0.198,0.5106,POS
"I came home. My blood pressure couldn't take it.",0.0,0.761,0.239,-0.296,NEG
I’m sure!!! Mine was high watching you!! Glad you are home❤️ ( you need any eggs? I have some extra!),0.288,0.712,0.0,0.7556,POS
No thanks. I just bought some. LOL I'm always late to the party...,0.365,0.51,0.125,0.6408,POS
Heading home from tn to homossasa.. this is such a wonderful site to be watching especially as we travel,0.179,0.821,0.0,0.5719,POS
Rain in venice,0.0,1.0,0.0,0.0,NEU
One at a Time Dennis we don't need the added stress.🙄,0.0,1.0,0.0,0.0,NEU
"Wow, another one???",0.685,0.315,0.0,0.6531,POS
"Our electric went out already and it ain’t even doing nothing yet here but cloudy 🤦‍♀️",0.0,1.0,0.0,0.0,NEU
"My jacaranda tree decided to quit before the storm came.",0.0,1.0,0.0,0.0,NEU
"""I go in Peace""",0.538,0.462,0.0,0.5423,POS
Rain and wind in TnC,0.0,1.0,0.0,0.0,NEU
Rain and some wind Clearwater,0.0,1.0,0.0,0.0,NEU
so what does this mean ---- it is 310pm have we not seen the worst yet? in the sarasota st pete area >?,0.142,0.858,0.0,0.5653,POS
Getting heavy rain and wind worst so far now Apollo Beaches,0.0,0.709,0.291,-0.6249,NEG
"Thanks Denis for always being there for us.",0.293,0.707,0.0,0.4404,POS
"Not seeing very much wind, as of yet",0.0,1.0,0.0,0.0,NEU
"it’s super windy north Lakeland
No rain feels amazing",0.484,0.377,0.138,0.7579,POS
"Denis, pretty much nailed this forecast",0.39,0.61,0.0,0.4939,POS
"We are in SPB for the week ... slow steady rain right now, some wind but now bad.",0.0,0.782,0.218,-0.6956,NEG
"Any updates on this?",0.0,1.0,0.0,0.0,NEU
"Yes, was just saying this would happen...",0.31,0.69,0.0,0.4019,POS
Geeze Louise suspenders....cant we get through the one before the next one... blah...Happy Sunday 💯🤘,0.0,1.0,0.0,0.0,NEU
So soon? Yikes!,0.0,1.0,0.0,0.0,NEU
Light rain in Apollo Beach!,0.0,1.0,0.0,0.0,NEU
