"5pm Debby Update:  Here is the latest update on Tropical Storm Debby. No changes to track or intensity. Still a tropical storm with winds of 65 mph. Rapid intensification seems unlikely given the short time span before landfall, but the NHC still is forecasting Debby to become a hurricane later tonight. Updates at 5 on ABC Action News and 24/7 social media updates right here.",Pos,Neu,Neg,Compound,Overall Sentiment
High tide tomorrow am when winds started coming from SW.,0.0,1.0,0.0,0.0,NEU
following,0.0,1.0,0.0,0.0,NEU
What drought?,0.0,1.0,0.0,0.0,NEU
wheww it missed pakm harbor,0.0,0.645,0.355,-0.296,NEG
Causeway bridge open ?,0.0,1.0,0.0,0.0,NEU
Denis do you know so far how many inches Largo got?,0.0,1.0,0.0,0.0,NEU
Power out for about 14k Duke customers in Pinellas county…ETA for restoration (as of 5pm) was just after midnight tonight.,0.0,1.0,0.0,0.0,NEU
"oh no! So sorry to hear. What areas?",0.0,0.595,0.405,-0.474,NEG
"Belleair Bluffs for me, but it just came back on for us!",0.0,1.0,0.0,0.0,NEU
oh good!!,0.777,0.223,0.0,0.5399,POS
I hope you have power!,0.516,0.484,0.0,0.4926,POS
just came back on for us.,0.0,1.0,0.0,0.0,NEU
oh good so far so good for us!!,0.516,0.484,0.0,0.7494,POS
"Safety Harbor for one - hope it gets restored before 11p!",0.545,0.455,0.0,0.8122,POS
I loved how you said the national weather stations are drama trying to look blown around. 🙄 🤣,0.218,0.782,0.0,0.5994,POS
I hope everyone is safe and I pray we all get out of this with little damage,0.368,0.5,0.132,0.6361,POS
"But, but.. the amateur Facebook Weather pages told me it would be a CAT-7 with sharknados.",0.0,1.0,0.0,0.0,NEU
Dang! We NEVER get sharknados!,0.0,1.0,0.0,0.0,NEU
right! Post pics if you see one.,0.0,1.0,0.0,0.0,NEU
This is a veteran brothers car in lake city florida,0.0,1.0,0.0,0.0,NEU
Forgive me if you've addressed this already but when will storm surge be a threat? Are we fine once it passes or is that when it gets worse or what?,0.099,0.66,0.241,-0.8105,NEG
"Debby has been a downer",0.0,1.0,0.0,0.0,NEU
"I’m good with that",0.492,0.508,0.0,0.4404,POS
Tampa bay’s expectations were too high because everyone was told big Deborah was about to swiss roll Tampa bay,0.0,1.0,0.0,0.0,NEU
youd rather have death and property destruction? 🤡,0.0,0.397,0.603,-0.8225,NEG
"no, we would rather news crews not blow this out of proportion",0.0,0.833,0.167,-0.296,NEG
I think he meant that Debbie is always a downer never good. I would hope that’s how I took it 🤷‍♀️,0.0,0.757,0.243,-0.5875,NEG
"Who's blowing it out of proportion ?",0.0,1.0,0.0,0.0,NEU
"news crews",0.0,1.0,0.0,0.0,NEU
by doing what?,0.0,1.0,0.0,0.0,NEU
"every one but Denis, probably. The weather channel for sure.",0.247,0.753,0.0,0.4497,POS
Thank u for ur awesome work!,0.697,0.303,0.0,0.784,POS
"I’m liking the track it’s on. SC needs the rain!",0.249,0.751,0.0,0.4574,POS
"not that much rain",0.0,1.0,0.0,0.0,NEU
Just got the Emergency Hurricane Warning. We are just sitting here watching it rain while eating peanuts.,0.0,0.75,0.25,-0.6124,NEG
where are you?,0.0,1.0,0.0,0.0,NEU
"Suwannee county Florida",0.0,1.0,0.0,0.0,NEU
"Watching My neighbors dock struggle to stay together in Clearwater",0.0,0.796,0.204,-0.3182,NEG
wow where in Clearwater?,0.559,0.441,0.0,0.5859,POS
begind Clearwater mall looking with bayside bridge In The distance,0.0,1.0,0.0,0.0,NEU
I'm in Starke (Bradford County) I've had light rain then a good hard rain. Winds picked up a little but now it's dead still.,0.069,0.676,0.254,-0.7351,NEG
Working on an infinity pool in Temple Terrace,0.0,1.0,0.0,0.0,NEU
It's been raining all day in St. Pete ...,0.0,1.0,0.0,0.0,NEU
At least it seems Tampa is past a Quick right turn episode!,0.0,1.0,0.0,0.0,NEU
Rain wind and thunder just kicked into high gear about ten minutes ago in Gateway/fossil park area of St Pete,0.0,1.0,0.0,0.0,NEU
Ugh gotta love your sliding glass door leaking water in 😢 it’s been pouring nonstop in largo,0.2,0.667,0.133,0.34,POS
Bummer. Switched to north from northwest. Also moving slower but windspeed is same.,0.0,0.87,0.13,-0.2023,NEG
"Denis Phillips,
Rain is now starting pretty hard in Tallahassee. If a new resident or student, it is important they know to Stay inside!! Floods a lot near Campus. Some people seem to think it is fun to be outside, which is pretty Dangerous!
Pay attention to local warnings in the Big Bend! Be Safe Everyone!",0.227,0.655,0.118,0.858,POS
"Anna Maria island has people kayaking down the street 🙂",0.0,1.0,0.0,0.0,NEU
Bayway Isles St Pete,0.0,1.0,0.0,0.0,NEU
Lutz is getting hammered! 😳,0.0,1.0,0.0,0.0,NEU
"south Tampa too and we lost power over an hour ago.",0.0,0.813,0.187,-0.3182,NEG
"oh no. I'm sorry",0.0,0.364,0.636,-0.3612,NEG
"And what are the effects of the storm? 😎",0.0,1.0,0.0,0.0,NEU
hammered is a stretch. Wed's downpour was way worse. Where in Lutz are you?,0.0,0.795,0.205,-0.4767,NEG
I'm in Lutz/Land O' Lakes and we are not getting hammered. It's raining but not heavily. My husband says it's more like a sprinkle.,0.144,0.856,0.0,0.5704,POS
exactly. I haven't even had to dump my pool. Weds we dumped the pool twice. Lol,0.139,0.597,0.264,-0.3612,NEG
same normal rain here lol,0.412,0.588,0.0,0.4215,POS
I had more wind and heavier rain this morning than I did at all yesterday.,0.0,1.0,0.0,0.0,NEU
"yup. Overnight we dumped the pool twice.",0.0,0.69,0.31,-0.4019,NEG
"Isn't moving kind of slow, this storm?",0.0,1.0,0.0,0.0,NEU
"all is good here in Largo lots of rain and wind",0.225,0.775,0.0,0.4404,POS
"did you hear tornado go by? Winds rain crazy here, no damage but sound was intense.",0.077,0.637,0.286,-0.4497,NEG
"I went outside and looked didnt see anything would be kinda cool to see it pass by, it sure isnt letting up",0.185,0.815,0.0,0.5118,POS
Whew!,0.0,1.0,0.0,0.0,NEU
Steady rain with a little wind in Dover,0.0,1.0,0.0,0.0,NEU
"Would love an update to watch but our cable went out. UGH.",0.149,0.575,0.276,-0.4938,NEG
"ABC action news app",0.0,1.0,0.0,0.0,NEU
"Lots of rain in the Villages,",0.0,1.0,0.0,0.0,NEU
"Moving N instead of NNW.",0.0,1.0,0.0,0.0,NEU
"Hurricane watch Cedar Key",0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
All rain here in Palm Harbor. Winds are gusty but not anything to worry about.,0.182,0.818,0.0,0.4782,POS
"looks like Debby is going to come hang out with yall.",0.2,0.8,0.0,0.3612,POS
I wonder why circulation seems to be way off from where the center is saying it’s located 🤷🏼‍♂️,0.0,1.0,0.0,0.0,NEU
Fox weather sees that too. Have to wait for NHC to get an 'eye' on it. Hopefully the 8 o'clock will specify.,0.119,0.881,0.0,0.4019,POS
I thought the same,0.0,1.0,0.0,0.0,NEU
same thing i thought watching radar,0.0,1.0,0.0,0.0,NEU
I’m sure they know what they’re doing know-it-all,0.247,0.753,0.0,0.3182,POS
guess you can’t read. First sentence says I wonder why..😉😀,0.14,0.86,0.0,0.0772,POS
"well just look at the satellite",0.296,0.704,0.0,0.2732,POS
My hibiscus 🌺 tree 😭😭,0.0,1.0,0.0,0.0,NEU
I hope you’re ready.,0.844,0.156,0.0,0.6597,POS
"we’ve done what we can. Now we wait.",0.0,1.0,0.0,0.0,NEU
"looks like it’s coming right at us.
",0.294,0.706,0.0,0.3612,POS
Looks like the euro model was right on,0.263,0.737,0.0,0.3612,POS
"Howdy from Cape Coral, just tubing around the neighborhood 😆",0.0,1.0,0.0,0.0,NEU
"Largo! It's not too bad.",0.44,0.56,0.0,0.484,POS
I hope this Debby doesn’t flood my neighborhood like 2012,0.435,0.565,0.0,0.6597,POS
"Raining little Debbie's in my yard in Auburndale fl lol",0.237,0.763,0.0,0.4215,POS
No news till 6,0.0,0.476,0.524,-0.296,NEG
"Would have loved to watch you live, instead of Lacrosse!! I don’t understand why we don’t have live coverage and have to go to a national channel 😡",0.157,0.843,0.0,0.6688,POS
"I had to find The Gov conference on a Fox Now. Felt the same, why didn't local channel switch over",0.0,1.0,0.0,0.0,NEU
that's one channel I will not watch not matter what's going on!,0.119,0.881,0.0,0.0892,POS
"understand, but wanted to see what desantis was saying",0.0,1.0,0.0,0.0,NEU
you can watch on their app,0.0,1.0,0.0,0.0,NEU
"right, we don't watch any of those.",0.0,1.0,0.0,0.0,NEU
for real!!,0.0,1.0,0.0,0.0,NEU
🙏🏻🙏🏻🙏🏻🙏🏻,0.0,1.0,0.0,0.0,NEU
"Tornado Warning for Charlotte COunty, not quite in this channel's viewing area, until 5:30PM",0.0,0.844,0.156,-0.34,NEG
https://www.facebook.com/share/v/rBDX6da53qfucRZk/...,0.0,1.0,0.0,0.0,NEU
"It's hammering down in Hernando FL. It looks like a monsoon outside.",0.2,0.8,0.0,0.3612,POS
"WHAT ARE CURRENT WIND SPEEDS FOR CLEARWATER? IT'S NASTY! Weather app says 21mph... sounds much worse! Power out, branches down, etc.",0.0,0.703,0.297,-0.8409,NEG
"opens play at practice",0.444,0.556,0.0,0.34,POS
follow this guy!! He’s the go to guy when it comes to all things hurricanes! 🌀,0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
"Tornado Warning for Charlotte COunty, not quite in this channel's viewing area, until 5:30PM",0.0,0.844,0.156,-0.34,NEG
Clearwater,0.0,1.0,0.0,0.0,NEU
"if that is your backyard, I’m jealous. Looks so beautiful and serene.",0.383,0.463,0.154,0.6659,POS
it is!!! Thank you 🥰,0.529,0.471,0.0,0.5229,POS
Thanks 🙌,1.0,0.0,0.0,0.4404,POS
