"(***Update: My son at FSU just told me classes are cancelled on Monday) For folks with kids at FSU or FAMU, you're probably gonna want to keep an eye on this storm. While the official forecast barely has it becoming a hurricane at landfall, there is a ton of warm water and energy out there and it is certainly possible it could be stronger. Could be close enough to Tally for impacts. Strong Tropical Storm force winds and some power outages on Monday. Lots of time to update but keep your kids in the loop. We'll update 24/7 as always.",Pos,Neu,Neg,Compound,Overall Sentiment
same with Idalia. Supposed to be low hurricane and was nearly a cat 5 at landfall. It went up like 3 categories in a number of hours.,0.147,0.772,0.081,0.1779,POS
FL could only wish it was a mild tropical storm and even those with significant rainfall can cause severe flooding. Maybe we can wish it away,0.234,0.682,0.084,0.5574,POS
Exactly! it intensified in the last 12 hours. Gulf water is 12 degrees warmer than it was with Michael.,0.122,0.878,0.0,0.3595,POS
Exactly. They were very modest with Idalia's intensity until it was quite close,0.0,1.0,0.0,0.0,NEU
more drinking time for the college kids,0.0,1.0,0.0,0.0,NEU
"Tallahassee here, thanks for always including us and FSU. 🙂 We just recovered from tornado damage in May so really hope it’s not too bad for us here in Leon county. 🙁",0.24,0.677,0.083,0.7203,POS
"Prayers for all of you up there.",0.0,1.0,0.0,0.0,NEU
"I won’t listen to any other weather reporting than yours. And the double down is you have children in this state
Ty so very much. ♥️🙌🏼",0.098,0.902,0.0,0.3818,POS
"same!!",0.0,1.0,0.0,0.0,NEU
"Me too ref Denis Phillips",0.0,1.0,0.0,0.0,NEU
"Graduation last night, glsd it wasnt tonight",0.0,1.0,0.0,0.0,NEU
For the Gainesville area what can we expect with the winds?,0.0,1.0,0.0,0.0,NEU
I’m curious about this as well,0.524,0.476,0.0,0.5267,POS
Ocala area for us. Wondering what impact it have here,0.0,1.0,0.0,0.0,NEU
Irony- I’m in south Louisiana worried about my son who is working at Disney. 🤦🏼‍♀️,0.0,0.793,0.207,-0.34,NEG
"So is Tampa even going to get rain?",0.0,1.0,0.0,0.0,NEU
"about 10 inches",0.0,1.0,0.0,0.0,NEU
Should Largo be bringing in patio furniture?,0.0,1.0,0.0,0.0,NEU
It’s precautionary especially if it’s plastic furniture.,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
we didn't.,0.0,1.0,0.0,0.0,NEU
"me either but don’t want to do it in the rain. Lol",0.34,0.66,0.0,0.631,POS
"yes, bring the stuff in.",0.403,0.597,0.0,0.4019,POS
do you want it blown around? 🙄,0.206,0.794,0.0,0.0772,POS
It’ll be the second hurricane FSU has suffered this year. 63-3.,0.0,0.758,0.242,-0.4939,NEG
"heyooo!",0.0,1.0,0.0,0.0,NEU
We are supposed to be flying into tampa at 7.30 pm Monday night. I’m such a nervous flyer! Do you think we will be ok?,0.094,0.827,0.079,0.1007,POS
we are flying in at this time too to Tampa. We’ve been counting down the seconds so hopefully all is ok 🤞🏼,0.222,0.778,0.0,0.6899,POS
"it’s fine and it’s been fine since x",0.419,0.581,0.0,0.3818,POS
"you’ll be fine it will be long gone from Tampa!",0.189,0.811,0.0,0.2714,POS
ah thank goodness! Thank you! I might be able to get some sleep tonight. We’re just visiting from the uk…can’t imagine how stressful a whole hurricane season must be!,0.252,0.654,0.094,0.6784,POS
"Yw!! Enjoy your visit!! Slightly stressful yes haha",0.672,0.164,0.164,0.8526,POS
"My son just graduated yesterday from FSU. So glad we got home today! Wishing your son all the best! Last time there was no power in College Town from a storm , FSU came back up and made everyone go back to school though the students homes had no power. The announcement came on a Sunday night hours before school opened after they said it would be closed on Monday.Every hotel in the area was sold out and the students were so stressed! Tallahassee was a disaster and a hazard to drive through. Please plan ahead !",0.12,0.772,0.108,0.306,POS
"congratulations to your son",0.565,0.435,0.0,0.5994,POS
"We have a Sunday morning flight at 7am flight into Orlando, landing at 9:30, wondering if it is going to get canceled or not 😬",0.0,1.0,0.0,0.0,NEU
"orlando is fine",0.474,0.526,0.0,0.2023,POS
"Orlando is fine",0.474,0.526,0.0,0.2023,POS
Hope it keeps that nice curve! My kids just moved to the Tampa area from “relatively” safe Central NC! Thanks for your great forecasting!,0.464,0.536,0.0,0.9475,POS
"the cone of uncertainty stretches bk to north ga where I am. They simply won’t know where it will go until they see how the high pressure sets up. It could cross into the Atlantic and make a 2nd landfall in SC /NC and pull north / NW before eventually getting pulled bk NE. That’s why they provide a cone of uncertainty where the dots are. I would be very aware if I lived on the east coast.
Heck I’m in the north Ga mountains and I’m watching like a hawk.
Irma was insane here 450 miles inland!",0.025,0.873,0.101,-0.7574,NEG
My daughter just had her graduation ceremony at FSU last night and we drove home today. Looks like we got out of there just in time.,0.091,0.909,0.0,0.3612,POS
"I'm thinking borderline cat 2/3 at landfall, noon Monday between Tallahassee and Perry (~965 MB). Fortunately that's a very sparsely populated area",0.0,1.0,0.0,0.0,NEU
"Denis, don't forget to grab a nap now and then, it goes well with a Diet Dr. Pepper, just sayin lol",0.291,0.709,0.0,0.6774,POS
"So glad summer B is over and my baby is home! 🙏 for Tally!",0.261,0.739,0.0,0.5963,POS
Taking the husband to Tampa International tomorrow at 11am. Driving to Orlando after to be at Universal for 2 days.,0.0,1.0,0.0,0.0,NEU
Thanks for always being there Denis!!,0.411,0.589,0.0,0.5399,POS
Any thoughts on when we should be most concerned in redington beach with storm surge?,0.0,1.0,0.0,0.0,NEU
prayers the water level stays away from your house 🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
"There are lots of old trees in Tallahassee that don’t take much to fall.",0.0,1.0,0.0,0.0,NEU
"For those flying into Miami on Monday afternoon, think we’ll be okay since it’s way up north by then?",0.095,0.905,0.0,0.2263,POS
prolly but ya never know,0.0,1.0,0.0,0.0,NEU
The map for after Florida isn’t cool Denis! Hi from Goose Creek! ❤️,0.194,0.806,0.0,0.4374,POS
"I have family in Goose Creek",0.0,1.0,0.0,0.0,NEU
"Thanx Denis! I'll keep watching your updates!",0.0,1.0,0.0,0.0,NEU
Just saw a cruise ship leave Tampa.. they must be heading right into it?!?,0.0,0.866,0.134,-0.2148,NEG
I would think it better to be out in open water than in the bay if we get anything bad enough to really move the boat,0.099,0.782,0.119,-0.1531,NEG
My neighbor left today and they weren't worried. It's on the Gulf side.,0.136,0.864,0.0,0.2235,POS
they'll probably sail west or northwest,0.0,1.0,0.0,0.0,NEU
Visiting west palm this weekend and flying out on Monday. Think any flight delays Monday afternoon!?,0.0,1.0,0.0,0.0,NEU
think you can call the airport? 🙄,0.0,1.0,0.0,0.0,NEU
lol ok thanks for the advice,0.725,0.275,0.0,0.7845,POS
"I just moved to Lakeland area last Friday
What should do you think it would be like in this area?
I’m from the north so this is all new to me",0.079,0.921,0.0,0.3612,POS
you’ll be good! We’ll get some rain but nothing major.,0.199,0.801,0.0,0.3054,POS
thanks friend,1.0,0.0,0.0,0.7269,POS
What can we expect in Gainesville?,0.0,1.0,0.0,0.0,NEU
So spring hill is out of the loop?,0.0,1.0,0.0,0.0,NEU
Flying into Sarasota Sunday 6:40 AM will my flight remain as scheduled ? ,0.0,1.0,0.0,0.0,NEU
my husband is flying into Tampa at 6pm and he hasn’t been cancelled so you should be fine,0.091,0.808,0.101,-0.0516,NEG
"will you call them?",0.0,1.0,0.0,0.0,NEU
"Will Tampa Bay get anything?",0.0,1.0,0.0,0.0,NEU
"Should Spring Hill have any worries?",0.0,0.641,0.359,-0.4215,NEG
"So if there is a predicted surge of 2-4 feet and 7 inches of rain, doesn’t that add to the cumulative surge?",0.0,1.0,0.0,0.0,NEU
So is this going to do anything to the clearwater Largo area,0.0,1.0,0.0,0.0,NEU
Hi Denis Phillips. What should we expect in Mulberry?,0.0,1.0,0.0,0.0,NEU
"Yeah, school districts is Leon, Gadsden, and Wakulla counties are also closed as are the administrative offices for the City of Tallahassee. 6 schools in Leon county will be open as shelters starting tomorrow.",0.064,0.936,0.0,0.296,POS
How/when will it be worst for tampa bay/st pete area?,0.0,0.687,0.313,-0.6249,NEG
I wonder if UF cancels classes too for Monday. Thanks for your update 👍,0.196,0.676,0.128,0.25,POS
"I'm sure I'll get made fun of for this question, but I'm going to ask anyway, so be kind. Supposed to be flying to sanford/Orlando on Monday. Is it supposed to be pretty nasty there? Got two kids who are anxious to get to Disney so want to try and prepare! Lol.",0.272,0.623,0.105,0.8961,POS
probably be fine by Monday. May be a bumpy flight.,0.184,0.816,0.0,0.2023,POS
How about local districts with teachers starting on Monday?,0.0,1.0,0.0,0.0,NEU
Denis Phillips Is there a way you show us the expected track without the banner so we can see Debby going toward the Carolinas? We're in Virginia waiting to head home to Southeast FL.,0.0,1.0,0.0,0.0,NEU
Tampa please,0.697,0.303,0.0,0.3182,POS
"What kind of impact will this storm have on Orlando? Traveling there Monday?",0.0,1.0,0.0,0.0,NEU
Thanks for the info. Been keeping up with Denis’s posts.,0.244,0.756,0.0,0.4404,POS
"Lots of rain and wind, we aren’t even in a tropical storm watch currently.",0.0,1.0,0.0,0.0,NEU
Good to hear. Flying into Orlando tomorrow morning.,0.293,0.707,0.0,0.4404,POS
"your good.",0.744,0.256,0.0,0.4404,POS
"What's up with that weird left hook back to shore up by South Carolina?",0.0,0.884,0.116,-0.1779,NEG
"Thank you for all of your hard work!!!",0.313,0.557,0.13,0.4545,POS
Thanks for the FSU update.,0.42,0.58,0.0,0.4404,POS
Lordtttt🤦🏾‍♀️…Thank you for the update,0.0,1.0,0.0,0.0,NEU
Wow it shifted way west,0.487,0.513,0.0,0.5859,POS
Our granddaughter moves in on August 21,0.0,1.0,0.0,0.0,NEU
Hopefully everyone one college be ok pray everyone God bless u all be careful and safr,0.604,0.396,0.0,0.8934,POS
Is safe to say it’s ok to fly into Tampa tomorrow Sunday,0.338,0.662,0.0,0.6249,POS
We are headed to Tally Thursday to move mine back in for fall…not looking forward to I10 after a storm…always a disaster….😬,0.0,1.0,0.0,0.0,NEU
I was supposed to move mine back to Tallahassee Monday but that's not happening now.,0.0,1.0,0.0,0.0,NEU
and family stay safe! ❤,0.516,0.484,0.0,0.4926,POS
Thanks for the update 😀,0.492,0.508,0.0,0.4404,POS
"Glad my Grandchild won't be at FSU till later in month°",0.231,0.769,0.0,0.4588,POS
"Thank you. Just forwarded this to both of our kids at FSU.",0.185,0.815,0.0,0.3612,POS
Your the best 👌,0.677,0.323,0.0,0.6369,POS
"Thanks for the updates",0.492,0.508,0.0,0.4404,POS
think storm surges n tarpon springs tomorrow night? high tide 1235 tomorrow night! last hurricane we had lots flooding and could not go anywhere in TS! live by bayou,0.0,1.0,0.0,0.0,NEU
You are the best. The dad-shoes don’t lie. 🧡,0.375,0.625,0.0,0.6369,POS
LORD COVER FLORIDA AND ALL STATES TO BE IMPACTED 🙏🏾,0.0,1.0,0.0,0.0,NEU
"Thank you for the updates Denis!",0.358,0.642,0.0,0.4199,POS
"When would storm surges in crystal river get going, and how much",0.0,1.0,0.0,0.0,NEU
"watch for high tide? Joe Meek posted details",0.0,1.0,0.0,0.0,NEU
who?,0.0,1.0,0.0,0.0,NEU
ya rascal,0.0,1.0,0.0,0.0,NEU
"Denis Phillips would you consider moving your headers over to the left??? We're in Dillard GA and follow you so we have an early, reliable source for what's coming our way. Nobody does that up here. Not even Atlanta. I'll mail you treats as a bribe!",0.0,0.944,0.056,-0.3883,NEG
"In Tallahassee, had our tornadoes in May. So we good!!!!",0.0,1.0,0.0,0.0,NEU
"This scares me bc of what Ian did",0.0,0.745,0.255,-0.34,NEG
I know! I still have PTSD from Idalia. We had significant flooding from the storm surge. Fingers crossed we stay high and dry this time! Good luck to you guys!,0.255,0.745,0.0,0.8213,POS
i know. Certain sounds bother me,0.28,0.4,0.32,-0.0772,NEG
and you too,0.0,1.0,0.0,0.0,NEU
"Keep your windows closed, and the water out of the house, push brooms work great.",0.227,0.773,0.0,0.6249,POS
"Sorry for all the people in the new path, 🙏 to you all but glad it's possibly not hitting Tampa.",0.181,0.767,0.052,0.5927,POS
"Thank you Lord for keeping everyone safe, amen!!",0.499,0.501,0.0,0.717,POS
"When do you go live?",0.0,1.0,0.0,0.0,NEU
Cries in I work in retail in tally,0.0,0.69,0.31,-0.4019,NEG
"Thanks Dennis, just sent my son a text. He’s at FSU🙏🏻🙏🏻🙏🏻",0.244,0.756,0.0,0.4404,POS
Me too! My son’s first year there! I’m a worried mom😂,0.0,0.764,0.236,-0.4184,NEG
"they are closed Monday.",0.0,1.0,0.0,0.0,NEU
"my daughter also 😩🙏🤞🏻 hope they will be ok",0.421,0.579,0.0,0.6249,POS
Do you all have Tallahassee television station Facebook page? It's WCTV.tv. They do a great job updating and going live.,0.186,0.814,0.0,0.6249,POS
Remember Hurricane Michael...48 hours away barely a Cat 1...... landfall 48 hours later a Cat4..... always prepared,0.119,0.881,0.0,0.2263,POS
"GO WEST DEB 🙋🏻‍♀️",0.0,1.0,0.0,0.0,NEU
I’m tryin’!,0.0,1.0,0.0,0.0,NEU
That’s funny 🤣,0.744,0.256,0.0,0.4404,POS
"Thank you for keeping all of us sane during these times, you’ve been spot on calling this since its inception! I don’t panic because of you!!!",0.083,0.767,0.149,-0.453,NEG
Same from my son,0.0,1.0,0.0,0.0,NEU
Thank you...♥️,0.714,0.286,0.0,0.3612,POS
"The weather channel said it’s going to become a hurricane 😳",0.0,1.0,0.0,0.0,NEU
"they’re drama queens there.",0.0,1.0,0.0,0.0,NEU
"Most forecasters now are saying it’s likely to be a Cat 1 by landfall. In the Gulf, it will do what it wants, including diverging east or west of the current forecast path.",0.0,1.0,0.0,0.0,NEU
"yeah been through them before.",0.355,0.645,0.0,0.296,POS
"Thank you so very much",0.385,0.615,0.0,0.3612,POS
where's your daughter?,0.0,1.0,0.0,0.0,NEU
"So is Pasco going to get hit to",0.0,1.0,0.0,0.0,NEU
just squall lines,0.0,1.0,0.0,0.0,NEU
"thank you so thing to big",0.333,0.667,0.0,0.3612,POS
the main part looks like it will hit bend area but we are gonna get some rain and wind,0.089,0.911,0.0,0.1901,POS
ok thank you so much,0.61,0.39,0.0,0.5719,POS
And rain,0.0,1.0,0.0,0.0,NEU
"tropical storm conditions fairly likely! If you are near the coast, you'll see more than if you are in eastern Pasco",0.0,1.0,0.0,0.0,NEU
Go NOLES 👍,0.0,1.0,0.0,0.0,NEU
I guess UF is safe…,0.0,1.0,0.0,0.0,NEU
Has it moved further up the coast before it hits land? We’re newbies in St Pete. Helppppp lol and coming into airport tomorrow early evening still looking ok?,0.171,0.829,0.0,0.6553,POS
"Oh geez! Not Tallahassee!",0.0,1.0,0.0,0.0,NEU
Don’t forget TSC!,0.0,0.477,0.523,-0.2942,NEG
"hope it stays away from FSU and Collin!",0.313,0.687,0.0,0.4926,POS
thanks. Thankfully he is going to be down here.,0.449,0.551,0.0,0.6908,POS
I thank God it didn’t stay in the gulf longer. It didn’t have time to strengthen.,0.365,0.635,0.0,0.7096,POS
"FSU JUST CLOSED",0.0,1.0,0.0,0.0,NEU
thank you for this information!,0.411,0.589,0.0,0.4199,POS
Stay safe !,0.761,0.239,0.0,0.4926,POS
"nah, just an excuse for college kids to drink",0.134,0.722,0.144,-0.0258,NEU
"Sitting here in St Pete like ""WHY DEBBY DONT WANT ME ANYMORE MAN""",0.164,0.721,0.116,0.1866,POS
Probably had worse rain in Dunedin today then we will tomorrow.,0.0,0.763,0.237,-0.4767,NEG
Thank you again for all your informative updates 🙏⭐😊☔,0.238,0.762,0.0,0.3612,POS
Should my chickens put on their raincoats?,0.0,1.0,0.0,0.0,NEU
"yes! You’re always prepared. Lol",0.794,0.206,0.0,0.7712,POS
"exactly we never know 🙏🙏🙏stay safe Nena Dtb",0.0,0.744,0.256,-0.3412,NEG
"Yes, then send them to the sore to pick up some eggs.",0.178,0.658,0.164,0.0516,POS
"hiya Nancy but I can’t find their rain boots",0.0,1.0,0.0,0.0,NEU
Those have been on back order for awhile now. Some people do go overboard on water etc. I want to push them overboard !!,0.079,0.921,0.0,0.2225,POS
Nothin fun ever happens in Homosassa.,0.398,0.602,0.0,0.5106,POS
You guys just had crazy floods not too long ago. Why would you want more?,0.078,0.778,0.144,-0.2732,NEG
haha good I’d rather it be boring here 😂,0.447,0.379,0.174,0.5574,POS
"you must be a boring person.",0.0,0.635,0.365,-0.3182,NEG
"why are you taking it personal if it’s not true?",0.0,0.794,0.206,-0.3252,NEG
she’s FGCU😉 still flooding there but we still have a little over a week before we go.,0.0,1.0,0.0,0.0,NEU
"☔️🌀🌈",0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
watch for emails.,0.0,1.0,0.0,0.0,NEU
🙏🏻🙏🏻🙏🏻🙏🏻,0.0,1.0,0.0,0.0,NEU
"Thank you. Perfect timing, we got Sophia pack on July 30 and she is home for 3 weeks 🤗",0.292,0.708,0.0,0.7351,POS
thanks so much Candy for tagging me and sharing. I really appreciate it. Hope we can see you all soon.,0.441,0.559,0.0,0.8969,POS
"he is home for two weeks, thankfully! His summer is over!",0.253,0.747,0.0,0.5242,POS
🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
"moving trip canceled.",0.0,1.0,0.0,0.0,NEU
oh crap,0.0,0.278,0.722,-0.3818,NEG
