"Tropic Alert!  Debby on the way??
We've got a lot to talk about. Tracking what could be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
Dennis the GFS has been a lot better on this one,0.244,0.756,0.0,0.4404,POS
"Should I reschedule my orlando trip for this weekend?",0.0,1.0,0.0,0.0,NEU
Ok see ya all tomorrow same DPL time same DPL place,0.18,0.82,0.0,0.296,POS
lets ride!!,0.0,1.0,0.0,0.0,NEU
Hello from srq. Best meteorologist in the business!,0.391,0.609,0.0,0.6696,POS
"Cruising to Port Canaveral on Sunday & Bahamas Monday & Tuesday?",0.0,1.0,0.0,0.0,NEU
What about East Lake road in Palm Harbor ? Will we have rain?,0.0,1.0,0.0,0.0,NEU
Going to Vero tomorrow til Monday are we ok for drive,0.18,0.82,0.0,0.296,POS
"Over the “I” named storms",0.0,1.0,0.0,0.0,NEU
Hi from New Tampa,0.0,1.0,0.0,0.0,NEU
"Welcome!",1.0,0.0,0.0,0.5093,POS
Looking forward to the rain 🥰,0.0,1.0,0.0,0.0,NEU
Me too,0.0,1.0,0.0,0.0,NEU
Are we talking about this coming weekend or next,0.0,1.0,0.0,0.0,NEU
This weekend,0.0,1.0,0.0,0.0,NEU
Disney - Monday- Wednesday - will it be down pour windy or hangout rain?,0.0,1.0,0.0,0.0,NEU
Prob the best time to be at the park not crowded,0.296,0.704,0.0,0.6369,POS
Will Clearwater have storm surge?,0.0,1.0,0.0,0.0,NEU
And Oldsmar?,0.0,1.0,0.0,0.0,NEU
Ok so this weekend or next I'm confused,0.21,0.571,0.219,-0.0258,NEU
This weekend.,0.0,1.0,0.0,0.0,NEU
Flying into st Pete sun will it be okay?,0.192,0.808,0.0,0.2263,POS
Saturday for cruise departure in Miami?,0.0,1.0,0.0,0.0,NEU
wearing my rule 7 shirt,0.0,1.0,0.0,0.0,NEU
lol how about Disney Tuesday? 🤣,0.412,0.588,0.0,0.4215,POS
What about cruise,0.0,1.0,0.0,0.0,NEU
Coming from Pittsburgh to Indian Rocks Beach with my wife and kids on Saturday for the week. Should we think about cancelling?,0.0,0.921,0.079,-0.2023,NEG
Should we goto Crooked Thumb now for Rule #7 beer?,0.0,1.0,0.0,0.0,NEU
So no boat day Sunday ? 😂,0.0,0.616,0.384,-0.3597,NEG
never say never,0.0,1.0,0.0,0.0,NEU
When do you expect it to be out of here?,0.0,1.0,0.0,0.0,NEU
Flying into Tampa Sunday 1-2pm?,0.0,1.0,0.0,0.0,NEU
What kind of wind do you think we will have in north east Hillsborough county Sunday and Monday?,0.0,1.0,0.0,0.0,NEU
"I only get worried when Publix sells there hurricane cakes🤣",0.0,0.784,0.216,-0.296,NEG
They don’t make them anymore,0.0,1.0,0.0,0.0,NEU
We are going to Vero beach Friday to Monday then driving to Naples on Monday will driving be dangerous on monday ?,0.0,0.866,0.134,-0.4767,NEG
When is it supposed to affect Tampa? Sunday Monday?,0.0,1.0,0.0,0.0,NEU
What is considered the big bend exactly?,0.0,1.0,0.0,0.0,NEU
Coastal flooding concerns?,0.0,1.0,0.0,0.0,NEU
How is the commute looking like Monday morning going to work..will it still be raining or is it just Sunday in Tampa?,0.106,0.894,0.0,0.3612,POS
Traveling to Orange Beach AL 4th to 9th and will be right on the beach. Will it be crazy in that area or just rain?,0.0,0.909,0.091,-0.34,NEG
"How will conditions be Saturday into Sunday in Miami",0.0,1.0,0.0,0.0,NEU
Universal studios Monday- Wednesday,0.0,1.0,0.0,0.0,NEU
following!,0.0,1.0,0.0,0.0,NEU
"I pick the Euro for $1,000!",0.0,1.0,0.0,0.0,NEU
"Is it going to go through Carolina’s then up east coast
If so will it be less of a storm",0.0,1.0,0.0,0.0,NEU
Fort Myers on Saturday?!,0.0,1.0,0.0,0.0,NEU
"We’re from NY
My kids are heading to Orlando this weekend for the week.. are they gonna be completely washed out?
I’ll be in boynton/boca",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
What about Orlando?,0.0,1.0,0.0,0.0,NEU
Yes I have a flight back to MCO at 9:30 pm,0.252,0.748,0.0,0.4019,POS
Miami flight leaving Friday night headed across the pond ?,0.0,1.0,0.0,0.0,NEU
Denis- my cat’s birthday is Sunday and we have a big celebration planned here in Kuala Lumpur. Should we reconsider based on the storm?,0.0,1.0,0.0,0.0,NEU
Cats hate water… might be a good idea!,0.244,0.42,0.336,-0.2714,NEG
What is the longest you expect it to rain in St. Pete,0.0,1.0,0.0,0.0,NEU
So when do we know?,0.0,1.0,0.0,0.0,NEU
Yes. 🙌 that’s what I’ve been wondering myself,0.31,0.69,0.0,0.4019,POS
Tampa flights Sunday around 5:00am. Will they be delayed?,0.0,0.808,0.192,-0.2263,NEG
It’s August 1st. Rain is normal!,0.0,1.0,0.0,0.0,NEU
I have a question. Should the panhandle be preparing for anything significant?,0.167,0.833,0.0,0.2023,POS
I’m a huge fan! South Tampa area. What day is the rain event going to pass us by?,0.246,0.754,0.0,0.5983,POS
So flying out of Tampa on Monday should be fine? Just tuning in,0.13,0.87,0.0,0.2023,POS
Are we talking this Saturday and Sunday or next???,0.0,1.0,0.0,0.0,NEU
this Sunday and Monday,0.0,1.0,0.0,0.0,NEU
Thank you♥️,0.714,0.286,0.0,0.3612,POS
"Hi, do you know where will this be if we leave on a cruise on Sunday from New Orleans headed to Florida keys , supposed to stop at Florida keys on Tuesday",0.0,0.892,0.108,-0.34,NEG
Flying from Chicago to Tampa Saturday night?,0.0,1.0,0.0,0.0,NEU
I’ve gotta work in Largo on Sunday . Will the morning be better?,0.209,0.791,0.0,0.4404,POS
Yes.,1.0,0.0,0.0,0.4019,POS
Unless you don't mind getting rained on!,0.0,1.0,0.0,0.0,NEU
Push the Long Island ice tea,0.0,1.0,0.0,0.0,NEU
I'm not canceling the swinger's party Saturday in the Villages.,0.231,0.769,0.0,0.4019,POS
"DO NOT Buster",0.0,1.0,0.0,0.0,NEU
Hurricane Swingers party? Lol!,0.743,0.257,0.0,0.6996,POS
Is Gainesville and Ocala going to be okay? Sunday and Monday because of this storm,0.119,0.881,0.0,0.2263,POS
Polk county,0.0,1.0,0.0,0.0,NEU
Flying to Orlando Wednesday for Zumba convention. Please tell me weather will be ok. 🙏🏼,0.257,0.743,0.0,0.5423,POS
change your flight and come tomorrow or Saturday 😃,0.0,1.0,0.0,0.0,NEU
I wish I could I can’t 😱,0.574,0.426,0.0,0.4019,POS
"Beach resort in st pete till Sunday. Will weather be bad in the morning, Sunday?",0.0,0.8,0.2,-0.5423,NEG
My friend Sal has to have a colonoscopy on Monday. Should he keep or cancel the appointment?,0.167,0.729,0.104,0.296,POS
Brb gonna go order toilet paper on Amazon. Get ahead of you folks,0.124,0.876,0.0,0.1779,POS
Do you expect rain to be gone from Clearwater by Tuesday?,0.0,1.0,0.0,0.0,NEU
I go outside and watch it .,0.0,1.0,0.0,0.0,NEU
me too ❤️,0.0,1.0,0.0,0.0,NEU
"This is a tropical storm not a hurricane yet. Rule #7 from Denis Phillips",0.0,1.0,0.0,0.0,NEU
it’s not even a tropical storm yet 😂😂,0.0,1.0,0.0,0.0,NEU
Supposed to go to Fernandina Beach on Monday-Wed… how’s it going to be?,0.0,1.0,0.0,0.0,NEU
Wet,0.0,1.0,0.0,0.0,NEU
Flying to fort Walton beach Saturday ?,0.0,1.0,0.0,0.0,NEU
How about flying to key west Sunday morning?,0.0,1.0,0.0,0.0,NEU
What kind of storm can we expect?? Just a tropical storm or hurricane ?,0.0,1.0,0.0,0.0,NEU
Pinellas teachers working Monday?,0.0,1.0,0.0,0.0,NEU
I'm sure -- it's just a bunch of rain,0.247,0.753,0.0,0.3182,POS
please don't jinx it by calling it a nothing burger.,0.223,0.777,0.0,0.3182,POS
What about keys Aug 11-16? Are there storms coming behind this one,0.0,1.0,0.0,0.0,NEU
As this storm passes through the Caribbean is there any chance of it picking up sharks and dispersing them at landfall? ,0.091,0.909,0.0,0.25,POS
Do you think concerts for Tampa on Wednesday will be canceled?,0.0,1.0,0.0,0.0,NEU
What is the high end for rainfall in the Tampa area with this system? Best estimate,0.219,0.781,0.0,0.6369,POS
"Sunday night Orlando flight?",0.0,1.0,0.0,0.0,NEU
"Going to be rainy.. no idea about flights. I'd look it up that day and just keep an eye on it. Call the airport that day, depending on the storm severity and track.",0.0,0.936,0.064,-0.296,NEG
sounds like iron gwazi is not in our favor!,0.232,0.581,0.187,0.1366,POS
i know - lol,0.737,0.263,0.0,0.4215,POS
Flight into Orlando Saturday morning ?,0.0,1.0,0.0,0.0,NEU
You’ll be fine,0.474,0.526,0.0,0.2023,POS
"Surge concerns , Denis?",0.0,1.0,0.0,0.0,NEU
Flying from New York City into Tampa airport on Tuesday evening are we good?,0.182,0.818,0.0,0.4404,POS
"Sorry, I missed some info. Will Orlando be badly affected?",0.0,0.379,0.621,-0.7351,NEG
Good to drive from Montgomery to Orlando on Sunday?,0.266,0.734,0.0,0.4404,POS
Are we getting kicked out of the stream? 😖,0.0,1.0,0.0,0.0,NEU
What is a worst case scenario in terms of location? Center on the coast or just off the coast?,0.0,0.792,0.208,-0.6662,NEG
Is now a good time to get my hurricane kit ready? 😂,0.403,0.597,0.0,0.6597,POS
"New here! If I live in Odessa,Fl should I go by Tampa or New Port Richey?",0.0,1.0,0.0,0.0,NEU
Flying home into Tampa on Monday. Should I try and fly back sooner?,0.0,1.0,0.0,0.0,NEU
Turtle Debby is stalking us,0.0,1.0,0.0,0.0,NEU
"What about Naples, Florida? Any impact? We have a lot of PTSD from Ian.",0.0,1.0,0.0,0.0,NEU
"Florida needs to administer an IQ test before allowing residency",0.0,1.0,0.0,0.0,NEU
Got my rule 7 shirt on!,0.0,1.0,0.0,0.0,NEU
Headed to the keys on Wednesday will we be ok?,0.196,0.804,0.0,0.296,POS
Driving back from Orlando on Sunday. Will that be a problem on the road?,0.0,0.816,0.184,-0.4019,NEG
Do you think this will be past the Tampa area by Tuesday?,0.0,1.0,0.0,0.0,NEU
Cape Coral this weekend?,0.0,1.0,0.0,0.0,NEU
"Orlando flight early Sunday?",0.0,1.0,0.0,0.0,NEU
Supposed to fly to Asheville north Carolina Tues-Friday? Yay or nay,0.254,0.746,0.0,0.5267,POS
all airports on the west coast will be closed,0.0,1.0,0.0,0.0,NEU
I would plan on going sooner rather than later...,0.0,1.0,0.0,0.0,NEU
Will I be able to travel Tuesday from North Carolina to Florida?,0.0,1.0,0.0,0.0,NEU
"Does the move into the gulf mean storm surge in Pasco?",0.0,1.0,0.0,0.0,NEU
What gender is the hurricane?,0.0,1.0,0.0,0.0,NEU
"Female.. Debby",0.0,1.0,0.0,0.0,NEU
"They/Them",0.0,1.0,0.0,0.0,NEU
we’re not allowed to use genders anymore 🤣,0.0,1.0,0.0,0.0,NEU
"are you sure?",0.535,0.465,0.0,0.3182,POS
"This will be Debby if named.",0.0,1.0,0.0,0.0,NEU
I haven't flown into the storm to check but last I heard it would be named Debbie.. but could be wrong 🤷🏼,0.0,0.821,0.179,-0.631,NEG
Leaving for Fort Lauderdale tomorrow. Safe area? Just rain?,0.29,0.71,0.0,0.504,POS
Will this storm affect next weekend?,0.0,1.0,0.0,0.0,NEU
Euro has been the most accurate this decade,0.0,1.0,0.0,0.0,NEU
"Oralando discovery cove, Sunday morning ? We have waited for a month",0.0,1.0,0.0,0.0,NEU
Why was the gfs more accurate on the track? Just luck?,0.251,0.749,0.0,0.5204,POS
My bosses flight goes from New York to Tampa will I have another free day without my boss? Not asking about my flight,0.136,0.864,0.0,0.5106,POS
Plan on staying off the road in Orlando Monday?,0.0,1.0,0.0,0.0,NEU
Where do we send the Dr pepper?!,0.0,1.0,0.0,0.0,NEU
Do you think flights will be impacted Sunday or Monday?,0.0,1.0,0.0,0.0,NEU
"Do we think a flight will land in Orlando Monday evening?",0.0,1.0,0.0,0.0,NEU
Will this be like Charlie? 😆,0.385,0.615,0.0,0.3612,POS
no,0.0,0.0,1.0,-0.296,NEG
Isn’t scalloping paused or did they reopen today?,0.0,1.0,0.0,0.0,NEU
What are the odds I golf on Monday morning?,0.0,1.0,0.0,0.0,NEU
Is there anything happening behind this storm? I know they like to chase each other.,0.161,0.839,0.0,0.3612,POS
Is there any sciency reason that hurricanes are usually moving into our area in the middle of the night? Lol,0.128,0.872,0.0,0.4215,POS
"Flights out of Tampa on Sunday at 5:00, good to go?",0.225,0.775,0.0,0.4404,POS
"What should we expect in Tampa area for Tuesday?",0.0,1.0,0.0,0.0,NEU
"Will flights on Aug 6th be good?",0.326,0.674,0.0,0.4404,POS
"Is odessa, Fl an area to worry? New here",0.0,0.734,0.266,-0.4404,NEG
Sounds like this might not even turn into a hurricane?,0.238,0.762,0.0,0.3612,POS
Which is the most likely spaghetti line lol,0.286,0.714,0.0,0.4215,POS
"Recently moved from Tampa to Gainesville, wondering when it is suspected to make it here?",0.0,0.881,0.119,-0.2263,NEG
Wake me up when you are scared. And rule 7! Isn’t in effect.,0.0,0.79,0.21,-0.4926,NEG
Are you sleeping at the station for the next week? 😴💤🛌🛏️🥱,0.0,1.0,0.0,0.0,NEU
