2am advisory is out. Up to 80% chance wave becomes a depression or a tropical storm. Red hatched area includes the West coast of Florida and extends into the Gulf. Rainy and squally weather along the coast late Saturday and into Sunday. Might get a track on Friday if NHC decides to pull the trigger on a PTC advisory.  (Potential Tropical Cyclone).,Pos,Neu,Neg,Compound,Overall Sentiment
We are flying into Sarasota around 2 in Monday. I'm hoping our flight doesn't get canceled. Has anyone seen when it plans to arrive/pass? I haven't seen many timelines at this point.,0.088,0.912,0.0,0.4215,POS
"I was buying Kennedy Space center tickets for Saturday, should I still? Was taking my girls to see the launch",0.0,1.0,0.0,0.0,NEU
he says late Sat into Sun...and it is probably coming from west to east. You should be fine for during the day.,0.079,0.921,0.0,0.2023,POS
"In 2019 I got diagnosed with adhd,autism,anxiety and depression. I really found it hard to retain informations, hard to understand and carry out tasks effectively, and also most times feel clumsy. But I was tired of the crap big pharma kept giving me because I had noticed some side effects. So, one day I came across an adhd group with people talking about how ( Rycotrip ) on instagram helped them with mushrooms so I decided to give it a try. I felt focused like never before, more positive minded and immensely motivated. I'm really glad I took that step!☮️✅✅☮️☮️",0.179,0.676,0.145,0.7146,POS
What do we think the chances of a flight being cancelled/significantly delayed from the UK on Sunday are (due to land mid afternoon)?,0.076,0.844,0.08,-0.0258,NEU
"Thank you Denis, I watch another station for news...I really like the hosts. Your weather is our go to for all the info on potential ""Floradering"" tropical systems!",0.183,0.817,0.0,0.6793,POS
"I have no idea about tropical storms etc, as I live in UK, just rains almost everyday here! Will it be gone by Tuesday the 6th for our Disney trip? 😅..xx",0.0,0.918,0.082,-0.3595,NEG
we fly from Manchester on Tuesday too fingers crossed 🤞,0.0,1.0,0.0,0.0,NEU
"following as we fly from the uk on the 6th too 😊",0.0,1.0,0.0,0.0,NEU
same but should be gone by then,0.0,1.0,0.0,0.0,NEU
we do too. We arrive Tuesday afternoon. I follow this guy thinking I understand it but being from the north east of England it's completely alien lol. I just keep thinking will I need a brolly 🤣,0.121,0.879,0.0,0.627,POS
"glad it's not just me haha 😅 we arrive Tues afternoon too",0.207,0.622,0.171,0.1331,POS
"its supposed to clear up. Rain has been constantly here everyday for the most part.
This is just more rain dumping! You'll be fine and yr welcome. Be safe! Have fun",0.34,0.599,0.062,0.8911,POS
"Hi, no Manchester. I would've preferred to fly from home but I worked out cheaper for us. X",0.0,0.897,0.103,-0.1531,NEG
"us too! On Tuesday! Keeping everything crossed x",0.0,1.0,0.0,0.0,NEU
"same we fly Tuesday too 😅",0.0,1.0,0.0,0.0,NEU
"we fly Monday...or maybe not 🤞🏼",0.0,1.0,0.0,0.0,NEU
doubtful it will be gone that quickly,0.0,0.714,0.286,-0.34,NEG
Thank you for your continuous hard work and updating us frequently. Much appreciated.,0.337,0.581,0.081,0.6597,POS
"Sorry for the stupid question and to be THAT person as I'm from the UK and have no idea how these storms go... 😂 How long do these things last? I'm supposed to to be flying on the 14th to Orlando, how likely is it that we'll be affected? 😬",0.0,0.832,0.168,-0.782,NEG
"hello from across the pond! I’m a FL native but I am by no means an expert. But what I can say is (TYPICALLY) they only last 1-3 days. The problem would be if it hit really hard there could be some flooding that takes a while to drain. I wouldn’t worry too much about it, by the time the 14th is here it’ll have already gone through and things should hopefully be back to normal for the most part. Also Orlando is pretty far inland, about 2-3 hours (100+ miles) from the coast so flooding isn’t really an issue there normally. By the time the storm hits Orlando it’s usually pretty weak.",0.095,0.778,0.127,-0.4992,NEG
I'm from England too and planning clearwater Monday!!,0.0,1.0,0.0,0.0,NEU
"being that you’ll be in Clearwater, I’d not plan on going to the beach and working on your tan until Tuesday… these depressions/ tropical storms are in one day, out a few hours later, the next day at the most… enjoy your stay",0.072,0.928,0.0,0.4939,POS
"thanks so much, typically I can't cancel hotel. That deal expired last night. We in town Monday/ Tuesday pray for sun Tuesday x",0.278,0.722,0.0,0.7131,POS
you’re going to be fine… the worst will be Sunday,0.0,0.687,0.313,-0.6249,NEG
aww thanks Tina x,0.592,0.408,0.0,0.4404,POS
"thank you, that's super helpful and reassuring! xx",0.753,0.247,0.0,0.9041,POS
"I always book with hotels or airlines directly, due to weather - even non refundable ones can get changed/cancelled without a charge. Just fyi!",0.0,0.914,0.086,-0.2225,NEG
thanks Mary,0.744,0.256,0.0,0.4404,POS
"Orlando will be fine",0.375,0.625,0.0,0.2023,POS
Thank you Denis Phillips for all you do!,0.285,0.715,0.0,0.4199,POS
So refreshing to see without any Sharpie redraws!,0.0,1.0,0.0,0.0,NEU
Thank you Denis! Appreciate the update! 👍,0.591,0.409,0.0,0.6988,POS
Thanks for the continued updates.,0.42,0.58,0.0,0.4404,POS
Brevard is clear looks like,0.63,0.37,0.0,0.6249,POS
So it must be moving pretty fast or faster than thought.,0.242,0.758,0.0,0.4939,POS
"the center shifted",0.0,1.0,0.0,0.0,NEU
Dennis is 2:00 in the morning there don't you need to get some sleep,0.0,1.0,0.0,0.0,NEU
he's on potty break too🤣,0.0,1.0,0.0,0.0,NEU
i first really discovered dennis in 2004 beginning with charlie and he's been my weather guy ever since even now i'm in the philippines as still watch him to see what's going on in our home area,0.0,1.0,0.0,0.0,NEU
I watched him in Naples for Ian. He was better than the locals. I watch.him.from Pensacola now. I love his Rule#7,0.307,0.693,0.0,0.7964,POS
Thanks for all you do for the community Denis! ❤️,0.262,0.738,0.0,0.4926,POS
Headed to Ft Meyer’s Sat-Wed. Should we expect rain the whole trip?,0.0,1.0,0.0,0.0,NEU
"looks like it. I live an hour north of Ft Myers.",0.217,0.783,0.0,0.3612,POS
probably I live in Fort Myers.,0.0,1.0,0.0,0.0,NEU
til monday pm from the storm I think,0.0,1.0,0.0,0.0,NEU
Thanks fir the update Denis,0.42,0.58,0.0,0.4404,POS
We good for Tuesday flying out?,0.367,0.633,0.0,0.4404,POS
How would this impact flights out of Tampa Sunday morning?,0.0,1.0,0.0,0.0,NEU
"Bummer, my brother is visiting me in Nokomis only until Sunday.",0.0,0.794,0.206,-0.3818,NEG
Why do storms seem to come when the moon is full or new and the tides are the highest?,0.0,1.0,0.0,0.0,NEU
"-the electric energy that the moon puts into the water.
The full moon is closer, brighter, and bigger, causing it more opportunities.",0.286,0.714,0.0,0.7645,POS
Get some rest...we need you... ❤️,0.0,1.0,0.0,0.0,NEU
Do we need snacks ? 🤔,0.0,1.0,0.0,0.0,NEU
Odds our flight landing from Providence into Tampa Sunday at 3:30pm gets cancelled? We knew it was a risk but schedules said this was the only time we had to visit family in Citrus/Hernando counties 😬,0.0,0.913,0.087,-0.2617,NEG
Thank you again!!,0.607,0.393,0.0,0.4738,POS
"Does anything change for Tampa Bay, as it appears the blurb for development looks more organized and a little more west than when you were on Facebook live last?",0.0,1.0,0.0,0.0,NEU
It seems storms with the name “Debby” like to soak Florida..They hang around to long…,0.152,0.848,0.0,0.3612,POS
"Looks all too familiar.",0.0,1.0,0.0,0.0,NEU
Do you ever sleep?,0.0,1.0,0.0,0.0,NEU
"What is “into Sunday” - we were planning on going to Disney this weekend but I don’t want to drive back to Pinellas in horrible weather. If it’s just Sunday morning, that would be fine.",0.095,0.781,0.124,-0.4767,NEG
It kept changing.,0.0,1.0,0.0,0.0,NEU
It's the correct term to use by the NHC given there could be a tropical cyclone making landfall in roughly 48 hours; it's not for clicks. https://www.weather.gov/tbw/potential_tropical_cyclone,0.0,1.0,0.0,0.0,NEU
"Will Clearwater be ok Tuesday-Friday? 😊",0.355,0.645,0.0,0.296,POS
yes,1.0,0.0,0.0,0.4019,POS
wtb Sunday -weds ?,0.0,1.0,0.0,0.0,NEU
"We are visiting from the UK in Kissimmee until Monday and then travelling to Anna Maria Island Monday morning, due to go to Kennedy Space centre Sunday. Do we need to change our plans?",0.0,1.0,0.0,0.0,NEU
Your the best 😍,0.677,0.323,0.0,0.6369,POS
You’re the best! Thank you!,0.708,0.292,0.0,0.8065,POS
Do you sleep?! 😅,0.0,1.0,0.0,0.0,NEU
I think during hurricane season he only takes naps,0.0,1.0,0.0,0.0,NEU
Thank u 🙏,1.0,0.0,0.0,0.3612,POS
Flight into Florida Tuesday 6th from uk around 3pm… are we going to get cancelled? 😞,0.0,0.875,0.125,-0.25,NEG
my flight lands from Manchester around 3.30 fingers crossed we will be fine 🙂,0.13,0.87,0.0,0.2023,POS
eeeek I hope so I’m so very excited! Xxxx,0.507,0.493,0.0,0.7322,POS
me too x,0.0,1.0,0.0,0.0,NEU
maybe see you there ❤️🙌🏻,0.0,1.0,0.0,0.0,NEU
"nope all will be fine by then",0.231,0.769,0.0,0.2023,POS
no,0.0,0.0,1.0,-0.296,NEG
Rule #7,0.0,1.0,0.0,0.0,NEU
Last time we had a Debbie.. in my memory.. was tropical storm Debbie in 2012.. lived on Madeira beach.. stranded at my house due to high water,0.0,1.0,0.0,0.0,NEU
"Yes, Tropical Storm Debby was a tropical cyclone that developed in the Gulf of Mexico and made landfall in Florida in June 2012. The storm was the fourth named storm of the 2012 Atlantic hurricane season and caused extensive flooding and a tornado outbreak across the Florida Peninsula",0.057,0.943,0.0,0.4019,POS
Thank you for keeping us up to date. 👍🏻,0.238,0.762,0.0,0.3612,POS
"So, does the word CYCLONE get more clicks than tropical depression??? Asking for a friend😉",0.0,0.754,0.246,-0.6416,NEG
"Hurricanes, Tropical Storms, and Tropical Depressions are all cyclones.",0.0,0.714,0.286,-0.4939,NEG
"yes ma'am. But we don't hear/see the word CYCLONE often, therein lies my question😉",0.105,0.684,0.211,-0.431,NEG
sorry my sense of dry humor fell flat 🤷,0.223,0.638,0.138,0.2023,POS
Dr Pepper time,0.0,1.0,0.0,0.0,NEU
Why he has to pee😅,0.0,1.0,0.0,0.0,NEU
Thank you for your updates!,0.411,0.589,0.0,0.4199,POS
Thank you for the update!,0.411,0.589,0.0,0.4199,POS
"Oh, joy. We’ll be on the dirty side, as usual. And watch it hit during the night and at high tide.",0.148,0.739,0.113,0.2263,POS
Kids fly in from St. Louis Sunday 9am to Tampa. I hope flights aren’t canceled.,0.182,0.818,0.0,0.4404,POS
"We are literally flying in to Tampa from St. Louis, same day & time🙏🏼",0.0,1.0,0.0,0.0,NEU
"Thanks for hanging in, for the updates.",0.326,0.674,0.0,0.4404,POS
Timeline for any effects on Tampa Bay?.. we are in flood zone A,0.0,1.0,0.0,0.0,NEU
there are flood zones and evacuation zones. DM and I'll explain the difference. It goes by your address.,0.0,1.0,0.0,0.0,NEU
"Most of Florida out of that red cone so did it go more west now",0.0,1.0,0.0,0.0,NEU
this isn’t the “cone” it’s the area it could develop in.,0.0,1.0,0.0,0.0,NEU
"no, it actually shifted east. This isn’t the correct latest advisory from the national hurricane center. He’s using an old screenshot.",0.0,0.901,0.099,-0.296,NEG
it says right on the image it’s from Aug 2nd at 1:25 am. This isn’t a track or cone it’s the area it could develop in,0.0,1.0,0.0,0.0,NEU
I'm confused,0.0,0.303,0.697,-0.3182,NEG
this isn’t “tracks” it’s the area that has 80% to develop. The “cone” with the potential “path” won’t be available until it has a name or if the hurricane center puts one out for a PTC because by time it develops it would be too close to land. There’s nothing old about this graphic.,0.0,1.0,0.0,0.0,NEU
So im confused did it go east cause the looks west,0.0,0.795,0.205,-0.3774,NEG
the red hatch area isn’t a path. It’s the area it has an 80% chance to develop in.,0.111,0.889,0.0,0.25,POS
not,0.0,1.0,0.0,0.0,NEU
This is the guy I trust most. Watch his page.,0.292,0.708,0.0,0.5106,POS
I hope watched him since he first started many years ago. He’s the best! I still get his FB to know what’s happening.,0.28,0.72,0.0,0.8122,POS
"Thanks, Denis! I’m watching….",0.516,0.484,0.0,0.4926,POS
Thanks for update Denis 😎,0.492,0.508,0.0,0.4404,POS
It’s a Super moon as well. 😂🤣,0.6,0.4,0.0,0.7184,POS
Louisiana / Mississippi by next Week. Too early and making everyone upset.,0.0,0.794,0.206,-0.3818,NEG
I knew our new roof would cause weather problems ☹️,0.0,0.748,0.252,-0.4019,NEG
"Here we go again,",0.0,1.0,0.0,0.0,NEU
Watching,0.0,1.0,0.0,0.0,NEU
"Thanks for the update, you are appreciated! Prayers this ""thing"" fizzles out and dies!!",0.371,0.629,0.0,0.795,POS
watch storm warnings here. You’re coastal.,0.0,0.694,0.306,-0.296,NEG
"West, go west! Keep sliding away from Florida. Did I mention keep going west?",0.0,1.0,0.0,0.0,NEU
Get some rest.,0.0,1.0,0.0,0.0,NEU
Hey Dennis what about Disney this weekend?,0.0,1.0,0.0,0.0,NEU
"more left again, aint gonna lie, I like that trend for us",0.0,0.826,0.174,-0.2755,NEG
good job we arrive on the Monday 🙌,0.326,0.674,0.0,0.4404,POS
This was one of the latest models put out by NHC. not sure why there’s always confusion and conflicting opinions,0.0,0.712,0.288,-0.7061,NEG
"This is one snapshot from one model run: GFS initialized at 8am EDT on 8/2, valid at 8pm EDT on 8/4. The NHC analyzes much more than this for their forecasts.",0.0,1.0,0.0,0.0,NEU
"is the Waffle House still open, if yes throw a Hurricane party. This is nothing but rain with a name",0.188,0.812,0.0,0.4019,POS
we can only hope your statement is accurate. However the NHC is saying different,0.182,0.818,0.0,0.4404,POS
"we get it, your trying to inflame attention for clout. Go back to playing dungeons and dragons.",0.101,0.899,0.0,0.2023,POS
"🤦🏽‍♀️ arguing with individuals with limited functional brain cells is completely pointless!
Go back to the hole you came out of!
nobody really knows yet how severe this storm may be.
Just be quiet 🤫",0.0,0.793,0.207,-0.7955,NEG
"bless your heart and go back to New York.",0.259,0.741,0.0,0.4215,POS
"very weak",0.0,0.238,0.762,-0.4927,NEG
"not necessarily. Just watch, pray, and we shall see you in a few days.",0.161,0.839,0.0,0.3182,POS
"u right",0.0,1.0,0.0,0.0,NEU
they don't have it any stronger than a possible TS. They're weak. They're definitely nothing to fret over. Worst case scenario within them are possible tornadoes.,0.159,0.631,0.21,-0.4019,NEG
😳,0.0,0.0,0.0,0.0,NEU
👍👍👍👍👍👍👍👍,0.0,1.0,0.0,0.0,NEU
but will be boating lol,0.481,0.519,0.0,0.5719,POS
"I don’t know about that",0.0,1.0,0.0,0.0,NEU
ohhh lawd!,0.0,1.0,0.0,0.0,NEU
we gone be iiiiight 🤣,0.0,1.0,0.0,0.0,NEU
"lmaooooo you sure about that! 🤣",0.393,0.607,0.0,0.3802,POS
Thank you Denis!!,0.607,0.393,0.0,0.4738,POS
Giddy up🌀🌀 We got this Florida. We are not amateurs🌀 let's go🌀,0.0,0.873,0.127,-0.1531,NEG
follow this guy while you are in Florida! Most reliable weather man down there! Rule #7 don't panic,0.162,0.838,0.0,0.5083,POS
Thank you Dennis Phillips,0.455,0.545,0.0,0.3612,POS
Ty appreciate U,1.0,0.0,0.0,0.6486,POS
Rule 7,0.0,1.0,0.0,0.0,NEU
Thanks Den,0.744,0.256,0.0,0.4404,POS
