DEBBY 5 AM | No changes. Debby is slowly strengthening with 50 mph winds. No changes to our forecast with the core of the storm staying well west of our coast. Showers and storms pick up in coverage later this morning. Localized flooding is possible with a Flood Watch for the entire area. A tornado threat will increase later today as well.,Pos,Neu,Neg,Compound,Overall Sentiment
it would make more sense to communicate with the airline rather than a meteorologist. Just saying..,0.0,1.0,0.0,0.0,NEU
using one of my remaining brain cells would lead me to believe there will some weather related delays.,0.0,1.0,0.0,0.0,NEU
"worried about closer..
I'm in CA trying to get back..",0.0,0.804,0.196,-0.296,NEG
Thank you ! What should we expect in Polk County?,0.259,0.741,0.0,0.4199,POS
How many inches of rain is expected in Pinellas today?,0.0,1.0,0.0,0.0,NEU
"Thank you for the update!!",0.435,0.565,0.0,0.4738,POS
Definitely scary when you’ve children and live in near water (golf) I don’t know what to think I’m so stressed 😞 stay safe everyone,0.194,0.596,0.209,-0.1161,NEG
"Thank you for the updates, Denis Phillips! 🌀 Curious and a bit concerned about how much ""potential storm surge"" do you think we may see for Tampa Bay- Concerned for the southern tip of the bay in South Tampa - like the MacDill AFB",0.167,0.833,0.0,0.7644,POS
"We’re not local to FL and planned on going to Disney today for a birthday celebration. We know nothing about hurricanes and what to expect - with what you know about today’s anticipated storm, would you still go?",0.0,1.0,0.0,0.0,NEU
"A few years ago, that’s exactly what we did. We live in Tampa and the storm was making landfall South in Fort Myers. We decided to go to Disney because schools in Tampa area were closed to serve as emergency shelters.
It rained at Disney, but IT WASN’T BUSY!! We made it a day trip, and returned to Tampa that night. After the storm made landfall, it actually headed NE from F Myers to Orlando and Disney closed the following day.",0.0,0.97,0.03,-0.3365,NEG
"Calm, before the storm...",0.434,0.566,0.0,0.3182,POS
"another amazing photo!",0.672,0.328,0.0,0.6239,POS
beautiful,1.0,0.0,0.0,0.5994,POS
"Thank you Dennis for the updates. Sunday fun day may not be ruined, just a little wet!",0.399,0.601,0.0,0.8246,POS
Thank you for your calming vibes!!!,0.603,0.397,0.0,0.7249,POS
What's this mean for clearwater also the orlando area? Sorry not from here but down here. Thanks!,0.204,0.739,0.057,0.6114,POS
it’s what I keep wondering too!!! The line looks no where near Orlando but I’m guessing rain and wind will come from it?!?!,0.0,0.87,0.13,-0.4815,NEG
I’m also wondering about the Orlando area.,0.0,1.0,0.0,0.0,NEU
Thankyou and good morning 😃,0.492,0.508,0.0,0.4404,POS
Suppose to be driving in today. Not sure what to do since flooding seems to be a risk to drive in after too.,0.0,0.831,0.169,-0.47,NEG
No rain yet . If I water it will rain,0.0,0.761,0.239,-0.296,NEG
Why would you water when a storm is going to go right by us & DEFINITELY rain?,0.197,0.803,0.0,0.5319,POS
she was being sarcastic. Like if you go wash your car inevitably it’s going to rain.,0.135,0.757,0.108,0.128,POS
because they predict rain a nd it misses us. But I was kidding.,0.133,0.747,0.12,0.0387,NEU
Thanks to you and your staff for your updates. You're the one to watch. First place I looked when I woke up.,0.132,0.868,0.0,0.4404,POS
So Tampa is good?,0.513,0.487,0.0,0.4877,POS
"Thank you God thank you that it’s only a 1 and not a 4 when it hits ,",0.415,0.585,0.0,0.7269,POS
"Again, Tampa gets lucky…",0.0,1.0,0.0,0.0,NEU
Thank you for the update,0.385,0.615,0.0,0.3612,POS
"Thanks Denis! You are the best!!",0.666,0.334,0.0,0.8392,POS
"Thank you for always keeping us informed",0.294,0.706,0.0,0.3612,POS
Why is she slowing down?,0.0,1.0,0.0,0.0,NEU
Thank you for the updates. Driving home after work tonight so I was wondering how the weather was going to be.,0.116,0.884,0.0,0.3612,POS
Anybody know if the skyway is open or closed,0.0,1.0,0.0,0.0,NEU
"it is currently open, their page updates every 5 minutes",0.0,1.0,0.0,0.0,NEU
which page are you following for the bridge updates?,0.0,1.0,0.0,0.0,NEU
I looked up Sunshine Skyway Bridge and I believe it’s the Florida Highway Patrol,0.225,0.775,0.0,0.4939,POS
Thanks for the 'accurate' forecast of how the bay area was going to be effected. Any tips on which lottery numbers I should pick?,0.116,0.884,0.0,0.4404,POS
pick the winning ones.,0.531,0.469,0.0,0.5267,POS
"Fingers crossed for minimal damage! 😎",0.0,0.534,0.466,-0.5411,NEG
Thanks for foregoing sleep to keep us in the loop. How are the snacks holding up?😁Try to catch a catnap.,0.139,0.861,0.0,0.4404,POS
all the Dr Pepper helps!!,0.443,0.557,0.0,0.4912,POS
I don’t even think we’ve had a drop of rain yet here over night..,0.0,0.84,0.16,-0.2732,NEG
Thank you! Woke up early to get from Pensacola to Orlando before all the rain. Appreciate the update.,0.256,0.744,0.0,0.6696,POS
"🙏 looking better possibly for Citrus.
Praying hard for my family & friends in the Panhandle.
please be safe. ❤️🙏🙏🙏",0.506,0.443,0.052,0.9062,POS
"Deeply appreciate your coverage and ""don't panic"" attitude! You're my go-to for decisions about when to evacuate.",0.285,0.715,0.0,0.7173,POS
"So I'm driving down from Wisconsin tonight.
Gonna hit Florida Georgia border at like 4pm Monday afternoon. Should I just stop in Atlanta and wait or is that highway enough inland that itl be not that bad driving through",0.126,0.823,0.052,0.4854,POS
"I was hoping for a little excitement but I guess I should know better living in pinellas.",0.435,0.565,0.0,0.772,POS
"we had enough last year with Idalia 🙂",0.0,1.0,0.0,0.0,NEU
we didn’t get anything from that either. Thank God. But a tropical storm with 50 mph winds would have been fun.,0.313,0.687,0.0,0.775,POS
Unfortunately my son's apt got flooded and he lost his furniture. It was bad in downtown St Pete,0.0,0.647,0.353,-0.802,NEG
Have flights been cancelled into MCO?,0.0,0.714,0.286,-0.25,NEG
"Thank you from Tallahassee!",0.482,0.518,0.0,0.4199,POS
Denis please let me know if you think my granddaughter should try to drive to Crystal River from New Orleans Sunday,0.103,0.897,0.0,0.3182,POS
"That sounds like a no, but I could be wrong. She has to travel right where the storm will be going. All best!",0.256,0.556,0.188,0.4753,POS
Thank you,0.714,0.286,0.0,0.3612,POS
The Ink on the title for my new to me RV I just bought in Crystal River is barely dry. I'm nervous,0.0,0.916,0.084,-0.2111,NEG
"if you are west of 19, you typically see flooding in CR. That’s why the mandatory evacuations. I live in Citrus. A few areas are high enough though. Talk to your neighbors.",0.043,0.957,0.0,0.0772,POS
I'm at Sun Retreats off Rock Crusher,0.0,1.0,0.0,0.0,NEU
"not sure where Suns Retreat is. Rock Crusher is pretty far in mostly. If you go to the main website for Denis Phillips station, they have an area where you can check your address to see what flood zone you are in. I’d do that but check with neighbors. They know best. Sorry I can’t help more. The storm itself is north of us. It!s flooding you have to think about.",0.164,0.799,0.037,0.9044,POS
"it's not flooding I'm worried about, it's wind, and trees. Not to mention tornadoes. I'm on a very wooded shady lot. Thank you! Stay safe!",0.273,0.727,0.0,0.7828,POS
you too!,0.0,1.0,0.0,0.0,NEU
"if it's an RV, can you drive it out?",0.0,1.0,0.0,0.0,NEU
I'm stationary and paid someone to get it here and set up. Ive only spent 4 nights in it .,0.0,1.0,0.0,0.0,NEU
"oh my. Praying.",0.556,0.444,0.0,0.3612,POS
Ty,1.0,0.0,0.0,0.3818,POS
Feels like we’ve had a Debbie in the past. I guess Debbie versus Debby🤷‍♀️ bad girls!,0.137,0.656,0.207,-0.3164,NEG
12 years ago! Came on land where this Debbie is predicted to hit!,0.0,1.0,0.0,0.0,NEU
"looks like a direct hit on the Big Bend area",0.238,0.762,0.0,0.3612,POS
Any threat of Debby coming close to southern Marion County? Wondering if I should take precautions...,0.0,0.805,0.195,-0.5267,NEG
he said just some rain for Gainesville and not winds and nothing for Orlando so I would assume you are good,0.132,0.868,0.0,0.4404,POS
"Is Tampa expected to suffer ftom it
My daughter is driving from Miami toTampa this afternoon for Buch Gardens tomorrow...do you guys think it's safe?
Denis Phillips",0.092,0.796,0.111,-0.1531,NEG
Thank give us all information hurricanes,0.333,0.667,0.0,0.3612,POS
Thank you,0.714,0.286,0.0,0.3612,POS
"It changed for Tuesday and shifted 50 miles or so",0.0,1.0,0.0,0.0,NEU
I don’t know which is rainier Tampa Bay or Ireland,0.0,1.0,0.0,0.0,NEU
I’m in Ireland right now. I’m soaked to the skin,0.0,1.0,0.0,0.0,NEU
"if you invite me to stay, I’ll let you know since I’ll have seen both for reference 😃",0.091,0.909,0.0,0.1531,POS
we have no rain here in Dunedion.,0.0,0.732,0.268,-0.296,NEG
"Houston by far!
TB only gets it in sperts,, and for :15 at a time..
Ireland NO idea, but Houston 5 outa 7 days a week....",0.0,0.903,0.097,-0.309,NEG
Thank you for keeping us sane!,0.358,0.642,0.0,0.4199,POS
"Thank you Denis!! You freaking ROCK!!
Winds are picking up in St Pete. 😬 💨",0.143,0.63,0.227,-0.3544,NEG
please can you send me a friend request if you don't mind?,0.379,0.621,0.0,0.6705,POS
😳,0.0,0.0,0.0,0.0,NEU
🙏🙏🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
As always thank you for the updates Denis!,0.285,0.715,0.0,0.4199,POS
Thank you for the steady updates!,0.358,0.642,0.0,0.4199,POS
Good morning. Thank you for the update,0.519,0.481,0.0,0.6597,POS
"As always we thank you for keeping us updated consistently!",0.237,0.763,0.0,0.4199,POS
"Just went for a bike ride thru Dunedin ! It's nice out",0.256,0.744,0.0,0.4753,POS
"We are usually very lucky in Tampa Bay.
Blessed by Indigenous People. ✌️🖤",0.389,0.611,0.0,0.7902,POS
Thank you!,0.736,0.264,0.0,0.4199,POS
"Thank you Denis Phillips👊🏽",0.455,0.545,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
Thank you.,0.714,0.286,0.0,0.3612,POS
"Thank you, Denis. Here from Wildwood, Fl.",0.294,0.706,0.0,0.3612,POS
Oh no,0.0,0.312,0.688,-0.296,NEG
Thank you Denis,0.556,0.444,0.0,0.3612,POS
"nope, still GF, we just plan ahead",0.0,1.0,0.0,0.0,NEU
Thank you Denis. Get some sleep😴,0.333,0.667,0.0,0.3612,POS
