"Friday Evening  Tropical Update:
1. No changes to our earlier post this morning. Finally, things are proceeding as forecasted. 
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. Think afternoon thunderstorm. Winds of 40ish mph with higher gusts. (Yes, IF the storm were to get stronger the winds would be higher, but let's cross that bridge IF it were to happen. Ok?)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't. 
7. Bottom line, nothing to freak out about. We get 40 to 50 mph winds many times in the Summer.  Wind-wise, it's an afternoon thunderstorm that will last for several hours.  
8. Surge is always our biggest concern with this kind of system. NHC is saying 1 to 3 foot surge in the Bay.  It might be ""just a tropical storm"" with wind, but water can still be a big issue. The exact location and timing of landfall is the biggest factor with surge. 
9. Lastly, I don't know if your flight is canceled and yes, it's going to rain at Disney.  (That should cover 95% of the questions I get)  We got this folks. This is good practice for what's on the way later this season.  Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.",Pos,Neu,Neg,Compound,Overall Sentiment
"I looked. No direct flights on American to JAX or MCO. Only slim pickings on United and the only one that looks feasible is a United flight direct into Orlando (MCO). We would have to eat the cost of the American Airlines ticket. The United flight (direct) from Denver to Orlando is $660, plus I’d have the drive in the rain (round trip from Gainesville) to pick him up. Ugh.
I’m hoping he can fly his scheduled flight. Yes, it’s a lot of rain. But planes land in rain all the time, right?",0.098,0.865,0.036,0.6059,POS
I’m supposed to be first flying down from NY to west palm beach tomorrow at 6am then renting a car and driving to Gainesville to move my daughter into her college apartment…I feel you with the flying! Crossing my fingers and praying 🙏,0.065,0.935,0.0,0.4199,POS
From Bayshore Blvd looking towards Davis Islands,0.0,1.0,0.0,0.0,NEU
that's a very Florida pic right there 😂😂😂,0.0,1.0,0.0,0.0,NEU
Great shot!📷,0.815,0.185,0.0,0.6588,POS
"Saw that.",0.0,1.0,0.0,0.0,NEU
First one of the season is always going to get folks amped up. We will be just fine. Prep early and always be ready!,0.173,0.827,0.0,0.5562,POS
Will the malls still be open?!? lol. I got take my kids school shopping! 🤣,0.238,0.762,0.0,0.5781,POS
"Thanks but do you know if my flight is canceled? I'm traveling to Disney and wonder if it will rain. 🤣🤣🤣 Thanks for timely updates. I am flying in tomorrow night, so hoping things stay calm for that.",0.293,0.707,0.0,0.9284,POS
you can walk your dog at 7:30 a.m. on Monday.. 😂,0.0,1.0,0.0,0.0,NEU
don’t be that person!! But can I take my ferret out for his morning exercise at 4:52 am? Or will it rain? 🌧️,0.0,1.0,0.0,0.0,NEU
Seriously though in North Port and got demolished by Ian. Glad this one won't be bad! Thanks Denis for all the updates.,0.217,0.637,0.145,0.4653,POS
I was there when Ian hit! Woowee the damage,0.0,0.667,0.333,-0.5411,NEG
I had three feet of water in my house. No flood insurance because wasn't in a flood zone. Lost everything along with probably a thousand neighbors around me. The streets looked like a war zone with everything anyone owned was by the road for garbage. Denis Phillips is the best though.,0.117,0.736,0.147,-0.1779,NEG
"so sorry! Yes, Denis, is awesome!",0.625,0.245,0.13,0.7946,POS
agree trust nothing they say,0.659,0.341,0.0,0.7003,POS
"thank you so much for the updates. I live in Pensacola, but I'll be driving to Port Canaveral about 9p Sunday evening( earliest I can leave) or the wee hours of Monday morning( latest I can leave) to get there by 10am. You are the literal calm in the storm. Still watching to see which times will be better for my drive. I may even split the drive and sleep a few hours near Tallahassee. I appreciate the straight forward reporting with the added touches of humor. I'm following rule #7 Haha",0.211,0.789,0.0,0.9643,POS
"I just moved up to Pensacola from Tampa area, Denis is still the best hurricane guy!!",0.255,0.745,0.0,0.6988,POS
Is thunder expected to be long lasting? We are due to visit discovery cove on Sunday and wondering what the storm protocol is - don’t mind rain as we would be swimming and are British!,0.0,1.0,0.0,0.0,NEU
"Lindsay, keep in mind, that's the lightning capital of the US and plan for that",0.0,1.0,0.0,0.0,NEU
it will all depend on how inland it comes. Strong winds would shut it down as well,0.265,0.735,0.0,0.6597,POS
"if this track holds your pretty far from the inner storm, meaning you’ll most likely see outer bands of mild wind and rain in Orlando",0.118,0.882,0.0,0.4939,POS
"I wouldn't waste your money on Sunday, personally. It won't be that bad inland, but a water park in the rain is never fun. Thunder isn't an issue either. It's the lighting that results in thunder.",0.094,0.813,0.093,-0.2411,NEG
"Mondays summer storm was terrible here in Spring Hill. Not the worse casual summer thunderstorm I’ve ever experienced, but worse than any tropical season storm I’ve ever encountered in my 43years of living in Florida. My area has been lucky and I hope that continues!!!
Thank you so much for your updates!",0.265,0.683,0.052,0.9406,POS
The thunder has even made me jump lately,0.0,1.0,0.0,0.0,NEU
"it was pretty bad, but I will take this over last summer when it barely rained at all.",0.109,0.775,0.116,-0.0387,NEU
I’m not used to weather like this from where I’m from. Does the residual rains usually last longer than a couple days? Trying to figure out if our whole week will be a wash or just a couple days.,0.067,0.933,0.0,0.3612,POS
"in Florida, we get pop up heavy thunderstorms in the summer on many days in the later day. This storm will be like a prolonged one that lasts most of the day at most.",0.072,0.928,0.0,0.3612,POS
"no, passes within hours",0.0,0.577,0.423,-0.296,NEG
At what wind speed is the Skyway closed? Need to be in Long Boat Key for family reunion on Sunday morning.,0.0,1.0,0.0,0.0,NEU
"40mph ""sustained"".",0.0,1.0,0.0,0.0,NEU
Thank you for info! I'm hoping we can travel over Skyway on Sunday opposed to the Tampa route.,0.259,0.741,0.0,0.68,POS
"Flying in from Dallas Saturday, just another Spring quality storm here in North Texas. Sunday will be a good day for chillin, and catch up on movies.",0.104,0.896,0.0,0.4404,POS
"Saw this just now in Riverview, hope there won’t be a repeat!",0.242,0.758,0.0,0.4926,POS
I saw that too!,0.0,1.0,0.0,0.0,NEU
wow! We saw that about 15 mins ago and it was way smaller!,0.268,0.732,0.0,0.658,POS
Can we run our fishing charters Monday though!! The real question lol???,0.263,0.737,0.0,0.6025,POS
Thanks Denis. I sure hope u got some sleep at some point 🙏. Thanks for all u do. My kids and I rely on u,0.407,0.593,0.0,0.875,POS
You’re the best! Rule #7! (And love your point 9. Big finish 😆,0.473,0.527,0.0,0.8745,POS
he is the best!!!,0.629,0.371,0.0,0.7249,POS
I need a #9 mug. It’s like the number one question from the vacationers.,0.275,0.725,0.0,0.4215,POS
We had Tropical Storm Debby a few years ago. Can the hurricane center be a bit more creative with names?,0.158,0.842,0.0,0.4927,POS
"You’re a kind and patient man, Denis Phillips, to wade through so much silliness AND a lot of legit concern. You are appreciated!",0.257,0.662,0.08,0.7016,POS
that's what I asked my mother!🤣,0.0,1.0,0.0,0.0,NEU
"Once it goes over Florida, where is it expected to go? Does it hang around/can it come back?",0.0,1.0,0.0,0.0,NEU
"The REAL question is, does this weather event qualify for the opening and finishing of hurricane snacks?",0.0,1.0,0.0,0.0,NEU
"as your health coach, I’ll answer that question!!
It’s a NO. Haha, good try!!🤣",0.353,0.5,0.147,0.6292,POS
"busted!",0.0,1.0,0.0,0.0,NEU
"Gotta love your humor & outlook on life in general. I watch your weather faithfully, we have family in Tarpon Springs, and we live in Indiana 🙂",0.302,0.698,0.0,0.8442,POS
Thanks Denis for keeping us updated you are our guy since 2002 and for the 2 years we were in Connecticut.,0.132,0.868,0.0,0.4404,POS
Traveling from fort Lauderdale to Madiera Beach Sunday. Is it better to leave early or leave later in the day?,0.13,0.762,0.108,0.3612,POS
Do not travel across the state from East to West on Sunday. I am sure the Skyway bridge will be closed.,0.108,0.892,0.0,0.3182,POS
if I was you I wouldn’t travel on Sunday imo,0.0,1.0,0.0,0.0,NEU
leave on Monday.,0.0,0.625,0.375,-0.0516,NEG
Thank you for your updates. Hudson fla on the gulf canals. Idalia did a number on us last August. Sea Ranch,0.174,0.826,0.0,0.4215,POS
We just had a doozy of a storm here in Sumter County....probably about what to expect from Debs just more sustained?,0.0,1.0,0.0,0.0,NEU
"Thank you so much, Denis! I love your “don't freak out unless I'm freaking out” motto. Yay for your calming presence!😊",0.489,0.426,0.085,0.9225,POS
Isn't it a change between 8am of the coast and 2pm of the coast a bit north??,0.0,1.0,0.0,0.0,NEU
"THANK YOU for being so clear, calm and sane! You are the best! 🤩 🙌🏻",0.583,0.417,0.0,0.932,POS
Thanks Denis! Your guidance and expertise here is so appreciated,0.482,0.518,0.0,0.8143,POS
Thank you Denis and for the laugh on 9 😆,0.504,0.496,0.0,0.7269,POS
Wondering if evening flights into SRQ will be cancelled?,0.0,0.8,0.2,-0.25,NEG
check with the airport,0.0,1.0,0.0,0.0,NEU
I’ll be doing that…thx,0.0,1.0,0.0,0.0,NEU
Would it be enough to close airports ?,0.0,1.0,0.0,0.0,NEU
We are at Indian Rocks Beach on vacation from KC and you have been so helpful! Thanks!,0.33,0.67,0.0,0.8115,POS
"Thanks Denis Phillips you keep us calm, you’re the best.🌅",0.394,0.606,0.0,0.6369,POS
"Thank you Denis. As always, keeping us level headed, updated and informed.",0.185,0.815,0.0,0.3612,POS
Will flights be able to fly into Miami tomorrow night?,0.0,1.0,0.0,0.0,NEU
"he doesn’t know, contact your airline by the looks of it you should be fine",0.114,0.886,0.0,0.2023,POS
"Thanks Denis! Always appreciate you and your insight when it comes to storms.",0.349,0.651,0.0,0.7088,POS
Denis Phillips is it safe to assume most flights will be grounded in Tampa Bay Area on Sunday ?,0.146,0.854,0.0,0.4404,POS
What about pasco county?,0.0,1.0,0.0,0.0,NEU
30 plus hours over the hot Gulf with low shear before being parallel with Tampa Bay and it reaches 50 mph only? Hard to believe that.,0.043,0.83,0.126,-0.3182,NEG
This was my concern,0.0,1.0,0.0,0.0,NEU
Didn't Ian do this and it came across Cuba and turned into sanibel and ft.myers....I think it was Ian ?,0.0,1.0,0.0,0.0,NEU
Ian had much less interaction with Cuba and was much stronger when it passed through.,0.157,0.843,0.0,0.3818,POS
yes,1.0,0.0,0.0,0.4019,POS
😲Charlie did something similar to that,0.0,1.0,0.0,0.0,NEU
"5:20 pm Riverview",0.0,1.0,0.0,0.0,NEU
"My heart is with Florida. Lived there a LONG time, now in Chicagoland area. Denis Phillips is the best!",0.209,0.791,0.0,0.6696,POS
Denis glad you are a common sense meteorologist You are appreciated (but you know that) 😉,0.344,0.656,0.0,0.743,POS
Denis Phillips live on a canal off the gulf. Will it be like last Julys flooding with the storm surge or is it too early to tell?,0.091,0.909,0.0,0.3612,POS
Dennis Phillips is local and the Best!!,0.444,0.556,0.0,0.6988,POS
5:25 near the Fairgrounds Tampa,0.0,1.0,0.0,0.0,NEU
"Will it get up to Sebring? I can’t tell, thanks.",0.266,0.734,0.0,0.4404,POS
What about inland like Polk ???,0.378,0.622,0.0,0.466,POS
You are the best,0.583,0.417,0.0,0.6369,POS
Someone posted this on the Valrico page about an hour ago. Bell shoals and Bloomingdale area,0.0,1.0,0.0,0.0,NEU
Denis we have family flying in Monday morning from Baltimore. Should arrive 10:30 ish. Will storms be gone enough for planes to land at Tampa Airport. Ty,0.091,0.909,0.0,0.3818,POS
Thanks Denis …you’re the best 💙,0.703,0.297,0.0,0.7964,POS
"I live in St Pete but I’m in Tallahassee until Sunday.
If I leave around 6:00a.m. on Sunday would it be safe to drive?",0.153,0.795,0.052,0.5499,POS
he said no to travel by car Sunday,0.0,0.761,0.239,-0.296,NEG
be safe!,0.761,0.239,0.0,0.4926,POS
Yes. It's not gonna be a big deal till around 0800. And not as big as anticipated.,0.153,0.847,0.0,0.4019,POS
"Your posts are new for me and let me shout out that you are not an alarmist, just the facts delivered in a positive mindset. Thank you for that.",0.19,0.81,0.0,0.7269,POS
this is the meteorologist that I follow. He gives the facts and doesn’t make it seem scarier than it needs to be.,0.0,1.0,0.0,0.0,NEU
We're good as long as Jim Cantore doesn't visit Tampa,0.244,0.756,0.0,0.4404,POS
Love this! Thanks for the update!,0.658,0.342,0.0,0.8264,POS
Only if it was cat 3 tampa area would be screwed,0.0,0.738,0.262,-0.4939,NEG
"Dennis, does the topography of the Bay play a factor in our tropical storm pattern? It seems to me that the shallow water offshore deflects storms that come from the south into Ft Myers and south of us and storms that come in more from the west get deflected towards the panhandle and armpit of Florida. Am I right or wrong in this opinion? I did take a meteorology class at UF back in 1983 so I’m kind of an expert. lol.",0.066,0.896,0.037,0.3527,POS
"This Forcast is not for Polk which will be worse",0.0,0.744,0.256,-0.4767,NEG
Denis Phillips I have an event tomorrow night from 5-8 in Riverview. Think I will get it in before the rain starts?,0.0,1.0,0.0,0.0,NEU
"This is a great site to follow, if you are not doing so already.",0.255,0.745,0.0,0.6249,POS
What’s the outlook for Tallahassee?,0.0,1.0,0.0,0.0,NEU
We evacuated to Disney for Irma.,0.0,1.0,0.0,0.0,NEU
"Oh No , I live in Winter Haven",0.0,0.694,0.306,-0.296,NEG
By Clearwater mall,0.0,1.0,0.0,0.0,NEU
Facing West toward Clearwater Beach 😳,0.0,1.0,0.0,0.0,NEU
Thanks Denis! You're the best!!,0.727,0.273,0.0,0.8392,POS
"Keep it going out further to the West in the Gulf would sure help us. I'm a dreamer but can hope anyway for my area (Bayshore Gardens, SW Bradenton).",0.227,0.773,0.0,0.7469,POS
Love you! I'm not freaking out...however I feel like everyone around me is! 🤷‍♀️,0.49,0.51,0.0,0.863,POS
"Thanks Denis, I appreciate you not freaking people out, unlike a certain cable channel that will remain nameless.",0.455,0.545,0.0,0.8415,POS
Love me a rainmaker! Bring it on ✊,0.473,0.527,0.0,0.6696,POS
"Yankeetown says bring it on, we are ready.",0.263,0.737,0.0,0.3612,POS
Thanks for keeping us posted. I guess people expect you to have a crystal ball so you can predict flights and cancelations. ☺️,0.127,0.873,0.0,0.4404,POS
"As always, thank you!",0.482,0.518,0.0,0.4199,POS
Well isn’t that just some Fudge rounds,0.259,0.741,0.0,0.2732,POS
don't be a Nutty Buddy,0.0,1.0,0.0,0.0,NEU
😂 I won’t say what my husband just said,0.0,1.0,0.0,0.0,NEU
You put my mind at ease. I been freaking out,0.203,0.569,0.228,-0.0772,NEG
When should I mow my lawn? I usually do so at 2pm every Sunday.,0.0,1.0,0.0,0.0,NEU
change it to 1009 and it should be good,0.266,0.734,0.0,0.4404,POS
it'll probably be nice out to do yard work with a good breeze 😅,0.363,0.637,0.0,0.6908,POS
Go to Rusty’s and wait til Tuesday to mow!,0.0,1.0,0.0,0.0,NEU
lol,1.0,0.0,0.0,0.4215,POS
"After this storm, will the Gulf be cooler?",0.0,1.0,0.0,0.0,NEU
Not liking the looks of this track for Ocala. 🫢,0.0,0.78,0.22,-0.3089,NEG
Thank you my whole family follows you I trust you 😊,0.453,0.547,0.0,0.7003,POS
Does Disney have a Waffle House?,0.0,1.0,0.0,0.0,NEU
"yes it does!! lol come to Disney, it will be open 😀. (Orlando resident here)",0.319,0.681,0.0,0.7256,POS
"Thank you Mr. Phillips. I depend on your forecast for accurate, down to earth advice. God bless you sir.",0.33,0.67,0.0,0.7506,POS
I read this as if I was the weatherman myself! Thank you Denis Phillips!,0.219,0.781,0.0,0.4738,POS
"Thank you for the clear explanation 💜💜💜",0.505,0.495,0.0,0.6249,POS
Can Debby go to Dallas lol!,0.382,0.618,0.0,0.4753,POS
Love you Dennis!,0.692,0.308,0.0,0.6696,POS
LOL! I love point #9! 😂,0.806,0.194,0.0,0.8525,POS
You're the Man Denis!! Thanks for keeping us so informed!!,0.311,0.689,0.0,0.6209,POS
Thank you for keeping us informed,0.333,0.667,0.0,0.3612,POS
If you're not up all night drinking Diet Dr Pepper then I'm not worrying!,0.152,0.848,0.0,0.3244,POS
A storm that happens during the day?! Could we be so lucky???,0.327,0.673,0.0,0.7067,POS
Add the cruise ship questions to #9 as well. I'm sick of it lol 😆,0.255,0.573,0.172,0.1531,POS
Anything for Polk?,0.0,1.0,0.0,0.0,NEU
Ugh 😣 my daughters birthday is Monday so I guess we will be celebrating Tropical Storm style 🤪,0.19,0.667,0.144,0.2263,POS
it will be gone by Monday unless it slows down!,0.0,1.0,0.0,0.0,NEU
Looks like is coming to our house 🏠 in Lake City.,0.217,0.783,0.0,0.3612,POS
But my flight to Disney!!!,0.0,1.0,0.0,0.0,NEU
"Will Debby do Florida, we shall see!",0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips !!!! You are the best!!!,0.529,0.471,0.0,0.8346,POS
"Thank you, always a good reality check on what to be concerned with! Stop on by Debby just don’t overstay your welcome!",0.319,0.603,0.078,0.7772,POS
"Will this affect Tallahassee at all?",0.0,1.0,0.0,0.0,NEU
probably just rain. That heifer is coming right over us. (Suwannee County) I just hope it moves on quickly. We are swimming over here already because the ground is so wet. The last storm named Debbie caused a 500yr flood. We don’t want that again.,0.093,0.907,0.0,0.4939,POS
thank you. My kids are up there and keep asking me if they’ll get much rain.,0.143,0.857,0.0,0.3612,POS
yeah we are just getting ready for rain. lol going to try to mow tomorrow before it gets here. If it stays on the projected path it’s on then yeah it won’t be any worse than the regular storms we have over by Tallahassee. Maybe a little breezy but the bulk of the storm will be to the east. Just depends on where this thing decides to go.,0.097,0.874,0.029,0.4215,POS
"if you don’t follow Denis already please do. Sensible, measured weather info.",0.173,0.827,0.0,0.3182,POS
Thank you for keep the updates.,0.333,0.667,0.0,0.3612,POS
Did you just threaten me with #9?,0.0,0.698,0.302,-0.3818,NEG
THANKYOU for your updates!!,0.0,1.0,0.0,0.0,NEU
Hey Denis can you let us folks in Homosassa what to expect from this storm? Thanks 😊,0.162,0.838,0.0,0.4404,POS
But can I walk my dog on Sunday afternoon at 4:22pm?,0.0,1.0,0.0,0.0,NEU
Rule #7 .. Thanks Denis,0.42,0.58,0.0,0.4404,POS
I feel #9 needs to be added to your rules.,0.0,1.0,0.0,0.0,NEU
this is the guy to watch 😊,0.0,1.0,0.0,0.0,NEU
Thanks for the updates 😃,0.492,0.508,0.0,0.4404,POS
"Thank you Denis. I am glad I didn't read the other stuff that's going around. The cat, Mr. Monkey has been fed. He is now sound asleep waiting for some sun beams to hit him from the afternoon sun. So all is right with the world.",0.116,0.884,0.0,0.6705,POS
"Thanks, Denis!",0.761,0.239,0.0,0.4926,POS
Denis Phillips when do you think it would turn into a hurricane if it decided to? Closer to Saturday night?,0.0,1.0,0.0,0.0,NEU
Thank you Denis! Keep me calm!,0.574,0.426,0.0,0.658,POS
Thank you for the plain speak without striking fear. Most appreciated.,0.522,0.478,0.0,0.8281,POS
"To whoever thinks our questions are funny, your funny",0.453,0.547,0.0,0.7003,POS
"Thank you , especially #7",0.455,0.545,0.0,0.3612,POS
"Thank you so much, Denis. This report is comforting. Take it easy everyone. Peace out. Yaaaay!!!!",0.516,0.484,0.0,0.9147,POS
But how much rain at Disney on Sunday between 11-5? 😂😝 Poncho friendly or galoshes needed? 🤔😜,0.226,0.774,0.0,0.6868,POS
hey I am here girl! We are doing madam trousseaus museum sunday. Too hot for outdoors,0.0,1.0,0.0,0.0,NEU
haha! We will be there too,0.397,0.603,0.0,0.5093,POS
Allie wanted to go to MK for the morning and HS in the afternoon. I hate to go if the rain is bad and rides get shut down. I may just push it off to the Sunday after school starts since she has a party next weekend. Brady didn’t want to go because his football schedule and Sunday being his rest day.,0.06,0.831,0.109,-0.6369,NEG
that’s what I’m thinking. We have MK planned and might have to move to 8/18.,0.0,1.0,0.0,0.0,NEU
who cares?😂,0.0,1.0,0.0,0.0,NEU
I do Mom because we are going…. 🤣,0.0,1.0,0.0,0.0,NEU
"Man, always messing with Cedar Key. 😪",0.0,1.0,0.0,0.0,NEU
Feeling so blessed to have you as our weather guy!,0.428,0.572,0.0,0.7171,POS
"Thank you! A voice of reason, as always.🏆",0.318,0.682,0.0,0.4199,POS
"Concerned about wind in an RV. In Webster, 50 miles inland. Any ideas what kind of wind I'll get?",0.0,1.0,0.0,0.0,NEU
"I rode out Ian in Bradenton (about 4mi from the gulf) in my class C (e450 frame) Filled my water tank. Pulled the slides in. It was rocky, but she handled it fine. Winds were steady about 70+ for hours.",0.056,0.944,0.0,0.296,POS
He doesn't cover Webster. Try Eric Burgess for Central FL area. You're far enough inland the most that will ever happen during an actual hurricane is power out and downed trees. You moved into an RV in FL. Get used to the laughs when you ask questions like this.,0.108,0.892,0.0,0.6908,POS
