"FLOOD RISK | These numbers change with every update, but this gives us a general idea of the 4-8"" rain forecast we have moving forward, with a few spots seeing a bit more or a bit less. With a tropical system, it's all about the bands and where they set up. Heaviest totals will be in our coastal counties, with lowest totals inland.",Pos,Neu,Neg,Compound,Overall Sentiment
so great for who?,0.594,0.406,0.0,0.659,POS
me,0.0,1.0,0.0,0.0,NEU
glad you're ok,0.839,0.161,0.0,0.6369,POS
From what Denis said was the further in the gulf it goes the worst it will be ?? Because the waters are so warm? Is this true right now Denis Phillips,0.154,0.738,0.108,0.1855,POS
Four inches of rain is a stormy afternoon.,0.0,1.0,0.0,0.0,NEU
Is Tampa being affected a lot?,0.0,0.714,0.286,-0.1531,NEG
"no Tampa it will be sunny all day",0.255,0.545,0.2,0.1531,POS
nah Tampa is good,0.46,0.317,0.222,0.3612,POS
no not at all 🙄🙄🙄🙄,0.0,0.645,0.355,-0.296,NEG
"When do interior rains come? It’s sunny 🌞 now Winter, Haven/ Lake Wales line ??",0.204,0.796,0.0,0.5171,POS
"Thanks for being here for us, Denis....for keeping us informed, prepared, & calm!!",0.461,0.539,0.0,0.7707,POS
Thanks Denis for looking out!,0.444,0.556,0.0,0.4926,POS
Thank you for the updates,0.385,0.615,0.0,0.3612,POS
How about Clearwater?!,0.0,1.0,0.0,0.0,NEU
Denis Phillips Can you show the whole state of Florida in your updates?,0.0,1.0,0.0,0.0,NEU
You forgot about North Port????,0.0,1.0,0.0,0.0,NEU
they ALWAYS do,0.0,1.0,0.0,0.0,NEU
"you'd think after Ian, they'd remember us!",0.0,1.0,0.0,0.0,NEU
"Normal Tuesday in Tampa but hey let’s all FREAK OUT 🥴",0.0,0.645,0.355,-0.714,NEG
If y’all are getting that kind of flood risk down there then it is very much looking like our area (big bend) will be facing catastrophic flooding like TS Debby did. That one flooded towns for months and old buildings crumbled from being in the water for months. We need a mandatory no more storms named any version of Debby if this Debbie does the same thing again.,0.091,0.81,0.1,-0.1711,NEG
Agreed. My name should be put to rest. Hopefully you all fare ok up there,0.368,0.632,0.0,0.7184,POS
11.7 inches in Sarasota? 😵‍💫,0.0,1.0,0.0,0.0,NEU
as long as it isn’t all within a couple hours like it was a little while back.,0.152,0.848,0.0,0.3612,POS
that's what I'm worried about. The radar show some really gnarly rain bands for us.,0.0,0.864,0.136,-0.296,NEG
"if the radar map ends up correct, I can see that happening. Quite a bit of heavy rain coming. 😩",0.0,1.0,0.0,0.0,NEU
me too!! We are straight in some extreme heavy bands coming in!,0.202,0.798,0.0,0.4168,POS
I was wondering about that too!,0.0,1.0,0.0,0.0,NEU
I need a prediction for north central Florida: Big Bend east to I75.,0.0,1.0,0.0,0.0,NEU
"We are in Sarasota country, a little south.
Gonna be wet",0.0,1.0,0.0,0.0,NEU
stay safe,0.744,0.256,0.0,0.4404,POS
"Don Pedro Island this morning, just started raining and winds are picking up a bit.",0.0,1.0,0.0,0.0,NEU
same in St Pete,0.0,1.0,0.0,0.0,NEU
How are you doing in St Pete now? It's under the condo now. Snacks and movies for us today. ❤️,0.0,1.0,0.0,0.0,NEU
"waves and wind picking up. Light rain.",0.0,1.0,0.0,0.0,NEU
That drop off in St. Pete compared to the surrounding areas is crazy.,0.0,0.71,0.29,-0.5423,NEG
always St. Pete never gets tons of rain but we need it,0.0,1.0,0.0,0.0,NEU
I was just thinking the same thing for Tampa.,0.0,1.0,0.0,0.0,NEU
Denis Phillips why are some calling this a cyclone? Cyclones are of the pacific coast they spin clockwise. Hurricanes spin counter clockwise.,0.0,1.0,0.0,0.0,NEU
"tropical cyclone is the new moniker for storms that have not reached hurricane speeds in the Atlantic.
https://www.pnj.com/.../tropical-cyclone-vs.../74648689007/",0.0,0.929,0.071,-0.0762,NEG
Your map contradicts your last sentence with st pete at 4.9.,0.102,0.709,0.189,-0.2732,NEG
then go with and prepare for the higher amount 🙄,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips!!! 👍,0.529,0.471,0.0,0.5229,POS
"Oh, I wish you’d show a little more south.",0.31,0.69,0.0,0.4019,POS
On the Withlacoochie in Inglis Yankeetown ....,0.0,1.0,0.0,0.0,NEU
Zephyrhills getting a lot of rain for being so far inland,0.0,1.0,0.0,0.0,NEU
I remember when I was begging the sky to water my lawn 😆,0.0,1.0,0.0,0.0,NEU
wish we could share our rain with you! Makes me sad that your beautiful land is crunchy. ☹️,0.347,0.535,0.118,0.7177,POS
"thankfully we got an 1.5"" the last couple days.",0.259,0.741,0.0,0.4215,POS
Spring Hill?,0.0,1.0,0.0,0.0,NEU
Pool People! How many inches do you drain from a pool during these heavy rains??? TIA,0.258,0.742,0.0,0.7064,POS
"We drained about 6” but I think we have to drain again this afternoon!
Bradenton!",0.0,0.848,0.152,-0.3257,NEG
"we drain about 6 inches. If you drain below the skimmer, you have to cut the power to the pool.",0.0,0.896,0.104,-0.2732,NEG
Im planning on def leaving some water in the skimmer and turning off the pool pump anyway. Don’t want any power outrage possibly frying my system.,0.045,0.839,0.115,-0.4588,NEG
whatever the predicted rainfall for your area is,0.0,1.0,0.0,0.0,NEU
Ooh. 9.5 inches of rain?,0.0,1.0,0.0,0.0,NEU
"10"" in Brandon...",0.0,1.0,0.0,0.0,NEU
"had same reaction ☹️",0.0,1.0,0.0,0.0,NEU
omg 😱,0.0,1.0,0.0,0.0,NEU
"9.5"" through Monday.",0.0,1.0,0.0,0.0,NEU
super! 🙄,1.0,0.0,0.0,0.636,POS
yeah! Seven something by me and to attempt to drive to out there. 🤦,0.172,0.828,0.0,0.3595,POS
"At least one poster will say, well, we need the rain, or, I didn't get a drop. 🤣",0.231,0.769,0.0,0.443,POS
I've got a great band and we can set up wherever you need us. It's more jazz-centric but we can play songs like one-eyed squirrel if need be. Hit me up in the chat,0.229,0.771,0.0,0.836,POS
Not showing englewood so we must be okay,0.213,0.787,0.0,0.2263,POS
Thank you💕,0.714,0.286,0.0,0.3612,POS
annnnd my patio is flooding. 🤣,0.0,1.0,0.0,0.0,NEU
Oy vey,0.0,1.0,0.0,0.0,NEU
When u watch mainstream media tv they never even put NPR. Thank you Denis because as everyone can see we have one of the highest risk of flooding. Hello we are on the water.,0.07,0.871,0.059,0.1027,POS
Naples is already quiet after the tornado warning. Thank you Denis for the good work you do.,0.248,0.642,0.11,0.4588,POS
☔️,0.0,1.0,0.0,0.0,NEU
sheesh,0.0,1.0,0.0,0.0,NEU
"Why did StPete numbers drop and lower than others?",0.0,0.619,0.381,-0.5106,NEG
Are Disney parks open today?,0.0,1.0,0.0,0.0,NEU
"How much for us in Palm Harbor Denis Phillips ?",0.0,1.0,0.0,0.0,NEU
"Thanks Denis Phillips",0.592,0.408,0.0,0.4404,POS
"Brandon must be special",0.474,0.526,0.0,0.4019,POS
"Thank you Denis Phillips",0.455,0.545,0.0,0.3612,POS
Some of these quetions,0.0,1.0,0.0,0.0,NEU
