"Afternoon Tropical Update:
1. No surprises or changes to our thinking. Now up to 70% chance of development this weekend or early next week. 
2. Models still show a ragged system moving along the Eastern Gulf heading North Sunday and early next week. 
3. There is certainly the possibility this could get stronger, especially in the Northern Gulf. The water is very warm. You already know that.
4. So it's continue to be stalked by this turtle until we reach the weekend and see how it shapes up. 🐢
5. I'll say it again. Lots of rain for Florida. The threat of a tropical storm or even a hurricane can't be ruled out for the Northern Gulf.
6. For the Bay Area, I see Saturday being fine. Sunday will see rain increasing from the South with breezy weather along the coast. Way too early to know if surge will be an issue as that depends how close it actually get to us. Again, risk is higher to the North. 
7. Rule #7. Nothing to freak out about. Just keep an eye out in things and make your plans as needed. Watch DPL and ABC Action News tonight for the latest.
8. I don't know if your flight is cancelled yet...but probably not. Yes, it's probably gonna rain at Disney next week. That's an answer to eleventy billion messages so far today. 🤣",Pos,Neu,Neg,Compound,Overall Sentiment
"Am I going to have to buy a bigger snowshovel this winter, and how much bigger for a 53' driveway?",0.0,1.0,0.0,0.0,NEU
eleventy Billion times bigger!😂,0.0,1.0,0.0,0.0,NEU
How long should the rain last? Mid week next week?,0.0,1.0,0.0,0.0,NEU
"yes
It is Florida, after all. 😆",0.351,0.649,0.0,0.4019,POS
following,0.0,1.0,0.0,0.0,NEU
Thanks for looking out for us always,0.326,0.674,0.0,0.4404,POS
"Thank you so much Denis, you’re the Best!!!
We have a cruise out of Port Canaveral on Saturday headed to Aruba, hoping the weather won’t be too rough?",0.302,0.698,0.0,0.8854,POS
But will it rain at Universal? 😂,0.0,1.0,0.0,0.0,NEU
We're going to Daytona Sunday! What's their weather going to be???,0.0,1.0,0.0,0.0,NEU
"Thank you, Denis Phillips! Trying to decide whether or not to bump a flight up from Tuesday to early Sunday morning out of TPA to maybe miss some of this mess?",0.073,0.788,0.139,-0.3109,NEG
We’ve had enough rain lately!! My tomatoes are doing horribly 😂,0.0,0.693,0.307,-0.6103,NEG
Thank you for your updates. Can always count on you,0.217,0.783,0.0,0.3612,POS
"How’s it looking for orange beach, Alabama?",0.0,1.0,0.0,0.0,NEU
"Denis, thank you for everything you do to keep us informed and always with such grace and humor!",0.339,0.661,0.0,0.7712,POS
This will be here this weekend or next weekend? I guess my mind is in Venezuela and I just realized this 😖,0.0,1.0,0.0,0.0,NEU
"Dennis, what’s that storm app you love? Or if anyone else can tell me, that would be great, thanks🦩",0.328,0.672,0.0,0.8519,POS
"Looks to me like the models are generally coming together this afternoon, with a ragged system (Tropical Depression, maybe?) coming up along the Fl coast and possibly making landfall somewhere north of Tampa around sunday afternoon or so. Dennis, are you seeing the same thing? I know nothing is set in stone yet, but that's what I am seeing right now.",0.029,0.926,0.045,-0.2406,NEG
"Thanks for the updates! You’re a godsend to us in Florida.
A few questions: will Disney be opened next week? Will my flight be cancelled? Also will it be wet in Florida?",0.206,0.739,0.055,0.7602,POS
"also, can I walk my dog at 8:37 pm on Sunday? 🤣",0.0,1.0,0.0,0.0,NEU
"the third question 😂",0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
will my flight be canceled? It’s a red eye on Sunday AM. Will it rain at Disney on Sunday and after that my cousin is getting married on Monday around 1:00 PM and it is outside on a pontoon near Crystal River.. do you think we will be good? Or should I cancel these plans? I hear you on number 8 but just not sure I follow. Thanks for any further clarification. IYKYK.,0.043,0.853,0.104,-0.6696,NEG
This is great 🤣🤣🤣,0.577,0.423,0.0,0.6249,POS
😂 I just see them all the time. I am so impressed with his patience.. but we know Denis Phillips real intent is to fear monger us because he has shares of Dasani and Charmin and daddy gotta pay the bills.. 😆,0.117,0.752,0.131,-0.1542,NEG
Is eleventy billion your favorite number? You seem to reference that a lot. 🤣🤪,0.281,0.719,0.0,0.5106,POS
where can I find your list of Hurricane rules ??? I don't see it pinned,0.0,1.0,0.0,0.0,NEU
"Will I need waders to check my mail at 3:19pm on Tuesday August 6th, 2024 on 16th street and 13th avenue? 😂😂",0.0,1.0,0.0,0.0,NEU
Yes,1.0,0.0,0.0,0.4019,POS
And as a former cast member I can tell you that.. NO DISNEY WILL NOT BE CLOSING,0.0,0.827,0.173,-0.4466,NEG
Number 8 is the best! 😂 🤣,0.743,0.257,0.0,0.6996,POS
"thank you for all of your help! you are the best",0.548,0.452,0.0,0.8655,POS
"#8 is my new favorite!",0.451,0.549,0.0,0.5093,POS
ELEVENTY😂😂😂,0.0,1.0,0.0,0.0,NEU
"this is the person to listen to for weather updates, always knows what’s going on.",0.0,1.0,0.0,0.0,NEU
"Thanks. That cone has been all over the place the last 72 hour. Two days ago we were in the middle, then the cone shifted towards SC, now towards the gulf. Will be interesting to see what tomorrow brings",0.131,0.869,0.0,0.6808,POS
We fly into Tampa tomorrow. Landing around 12:30pm. Hope for a smooth flight and landing,0.182,0.818,0.0,0.4404,POS
Please tell me when asked “What happens if it rains?” Your answer is “You’re going to get wet.” 😂🤣🤪,0.113,0.887,0.0,0.3182,POS
A rainy day at Disney is still a great day there than somewhere else!💜👍🏻,0.28,0.637,0.083,0.6239,POS
How long are we thinking this will last? Should those of us with plans next weekend (9th and beyond) start thinking about plan b?,0.0,1.0,0.0,0.0,NEU
"When you say northern Gulf Coast, is that the panhandle or is it the Big Bend area?",0.0,1.0,0.0,0.0,NEU
Bring the breezes please 🙏,0.434,0.566,0.0,0.3182,POS
"We fly out Wednesday with the children’s Dream fund. What is thoughts?",0.154,0.846,0.0,0.25,POS
We are due over from uk to florida end of next week hopefully it’s all okay by then,0.223,0.777,0.0,0.5574,POS
Looks like the cone keeps on going further and further west hoping it turns later North keeping it off our coast. It's only Thursday so a lot can happen. Look from Tuesday to Wednesday how much it changed from one coast to the other.,0.114,0.886,0.0,0.6486,POS
"Thanks, as always, Denis, for keeping us informed and calm.",0.394,0.606,0.0,0.6369,POS
The fact that you get asked #8 is too funny. Wouldn’t it be cool if you actually had the kind of power people think you do? 😂,0.178,0.822,0.0,0.6369,POS
We love you Denis Phillips! Eleventy billion times 🙂,0.391,0.609,0.0,0.6696,POS
"Flying home from Alaska on Thursday landing in Orlando, am I good ?",0.225,0.775,0.0,0.4404,POS
"I appreciate your insights.",0.574,0.426,0.0,0.4019,POS
Thanks for keeping us updated! You are awesome!,0.558,0.442,0.0,0.8217,POS
What about New Port Richey and coastal Pasco we gonna gets lot of rain,0.0,1.0,0.0,0.0,NEU
I miss hurricanes. I would give anything to be back down there.,0.0,0.849,0.151,-0.1531,NEG
Little wind and lots of rain people! That's it!,0.0,1.0,0.0,0.0,NEU
I just hope there’s no heat lightning with this one.,0.24,0.579,0.182,0.1779,POS
"Okay about Disney, but what about universal??",0.232,0.768,0.0,0.2047,POS
"What will the conditions be for anyone in pasco county sunday to Tues??",0.0,1.0,0.0,0.0,NEU
"well, it’s Pasco Cty… soooo…",0.344,0.656,0.0,0.2732,POS
rainy 🤷🏻‍♀️😂,0.0,0.435,0.565,-0.0772,NEG
What do you consider Northern Gulf? Hernando county?,0.0,1.0,0.0,0.0,NEU
I didn’t know people go to Disney in August 🥵🥵🥵,0.0,1.0,0.0,0.0,NEU
I am coming from Tennessee to Anna Maria for the week next week. Is it going to be rain all next week?,0.0,1.0,0.0,0.0,NEU
"Not only a meteorologist, but also traffic controller at the airports! You are one amazing dude!!🌀🛩",0.303,0.697,0.0,0.795,POS
What about the Tampa Bay/Maderia Beach area?,0.0,1.0,0.0,0.0,NEU
I was going to paint my deck on Sunday. Should I use waterproof paint?,0.0,1.0,0.0,0.0,NEU
South East Florida this weekend - when and how much rain?,0.0,1.0,0.0,0.0,NEU
What Clearwater is going to get from this storm?,0.0,1.0,0.0,0.0,NEU
As always - thank you…,0.455,0.545,0.0,0.3612,POS
"Honestly see this shifting further west, NOLA to Panhandle.",0.273,0.727,0.0,0.4588,POS
It's times like these I loathe my name 😁,0.234,0.467,0.299,-0.1779,NEG
"that's how I felt in ""04 with Jeanne (my true first name).",0.219,0.781,0.0,0.4215,POS
imagine how Karen’s feel. 😂,0.0,1.0,0.0,0.0,NEU
For real!,0.0,1.0,0.0,0.0,NEU
me too!,0.0,1.0,0.0,0.0,NEU
All I've got to do is fill my car up with gasoline and pray I don't lose power.,0.233,0.767,0.0,0.5511,POS
We are arriving to Navarre Beach on Saturday 8/3 from Indiana. Should we just stay home??,0.0,1.0,0.0,0.0,NEU
you will likely see worse in Indiana on a rainy day.,0.0,0.645,0.355,-0.5267,NEG
"Idalia was 100 miles plus off the coast, and produced devastating surge. We don't have to have a direct hit to have huge problems",0.078,0.683,0.239,-0.6908,NEG
but vavationers are worried if their flight will be canceled. Priorities,0.0,0.781,0.219,-0.4215,NEG
"unless you lived through the devastation, you have no idea how annoying those comments are..",0.0,0.609,0.391,-0.7717,NEG
"agree. I just di not get these people. Cancel yiur Da** vacation if younare so worried. Besides, who in their right mind plans a vacation during hurricane season.",0.082,0.757,0.16,-0.3327,NEG
"agree to a point. However to put more strain on our resource during a hurricane makes zero sense also.
In addotion my comment was towards the people asking if the should cancel plans, what the weather is going to be like 10 days from now etc",0.103,0.825,0.072,0.3626,POS
"Please know you, and your humor, are much appreciated!",0.571,0.429,0.0,0.7901,POS
Northern gulf meaning Old Town area or further?,0.0,1.0,0.0,0.0,NEU
Big stall in the gulf will lead to a CAT 2 or lower CAT 3 hitting the big bend is my guess.,0.0,0.81,0.19,-0.4588,NEG
"Moved my daughter’s flight into TPA FROM Sunday to Saturday, so we’ll be able to sip Margaritas and watch it ⛈️",0.0,1.0,0.0,0.0,NEU
but can i walk my dog in magic kingdom (NOT EPCOT) at 2:15 pm on sunday? she’s a yorkie-poo if that helps with the answer !,0.144,0.856,0.0,0.5707,POS
"They make life vests for dogs, but I don't know if that counts as ""walking"".",0.0,1.0,0.0,0.0,NEU
"Thoughts on Sunday morning in Hollywood, FL?",0.0,1.0,0.0,0.0,NEU
"Thank you Denis. Very much appreciate you.",0.523,0.477,0.0,0.6682,POS
Headed to St. George island Saturday…such great timing 🙃😭🙄,0.339,0.661,0.0,0.6249,POS
What about the keys lol.. I’m supposed to go down there tomorrow for a whole week,0.0,1.0,0.0,0.0,NEU
New word Alert‼️‼️Eleventy🤣🤣...I love it Denis...🤣🤣🤣,0.457,0.543,0.0,0.6369,POS
How about a wedding in Tallahassee on Saturday August 10th?,0.0,1.0,0.0,0.0,NEU
"Sorry not sorry for being this person but WHY people book trips/vacations to Florida during hurricane season THEN do a little freak out if a storm even winks at us is beyond me🤷🏻‍♀️. And yes I understand some folks may need to travel here during H season as a necessity. Also, cruises. Booking cruises during this time is also something I find baffling. Call me crazy but that’s the absolute last place I’d want to be if a big storm blew up😳",0.074,0.834,0.093,-0.3715,NEG
"Hurricane season lasts 6 months out of the year. Who wants to put their life on hold that long to avoid the off chance of a possible storm? 🤷‍♀️
As a side note, the roughest cruise I’ve ever been on wasn’t during a hurricane. We had 12’ swells because a cold front came through. That’s 12 feet up, then 24 feet down, and constantly rolling side to side. 🤮",0.031,0.936,0.034,-0.0516,NEG
"For starters your experience encountering a cold front sounds horrible (to me) and that would have been end of my cruise days lol. That had to have been miserable.
Also I should have clarified, as a Floridian when I say Hurricane season I’m referring to the peak months rather than all 6 of them.",0.05,0.829,0.121,-0.5994,NEG
"Gotcha. Yeah, native Floridian here. I’ve been through all sorts of crazy weather, including driving into Orlando the same time as the eye of Charley. Nothing’s as creepy as being the only car on I-4 at 7pm on a Friday night!",0.051,0.886,0.063,-0.126,NEG
"Oh yeah, creepy for sure. I mean I-4 is stand alone creepy lol.",0.422,0.462,0.116,0.6486,POS
"You’re the best! Disney? Lmao!",0.743,0.257,0.0,0.8652,POS
Sunday morning rain in Oldsmar?,0.0,1.0,0.0,0.0,NEU
Great! Leave it to August!,0.527,0.338,0.135,0.6688,POS
