Our system now has a track... the NHC has designated the tropical wave as PTC 4. The track shows a tropical storm somewhere along our coast by Sunday morning. Tropical Storm Warnings and Watches are now in effect. I'll post that map next.,Pos,Neu,Neg,Compound,Overall Sentiment
I had had six weather apps no more. Denis 👍 is the way to go.,0.0,0.845,0.155,-0.296,NEG
Thinking about all the people who are just moving back on Fort Myers Beach and Sanibel.,0.0,1.0,0.0,0.0,NEU
"It sorta looks like most of the afternoon storms we have been getting lately, though, I think it will just be rain and a little wind 🙂",0.088,0.912,0.0,0.3008,POS
"I'm not going to Disney and I don't have any flights scheduled, but I am very interested in what you think the surge will be and when.",0.143,0.857,0.0,0.611,POS
Our property is up high enough. My EV may just need to stay in the garage… 🤣 The entrance to our property has flooded in the past. I don’t want to see what happens if I submerge the bottom of the EV in water. Thank goodness for two ICE trucks.,0.134,0.866,0.0,0.7003,POS
"we live in Tampa bay on the water and received the following alert, but is subject to change: STORM SURGE - LATEST LOCAL FORECAST: Localized storm surge possible - Peak Storm Surge Inundation: The potential for 1-3 feet above ground somewhere within surge prone areas - Window of concern: Begins Saturday evening",0.032,0.968,0.0,0.1531,POS
it it going to hit Delray Beach,0.0,1.0,0.0,0.0,NEU
that’s the east coast of Florida,0.0,1.0,0.0,0.0,NEU
meaning yes or no I’m sorry,0.293,0.326,0.38,0.0516,POS
"same. We need surge info",0.0,1.0,0.0,0.0,NEU
It’ll change at last minute like always watch 😂,0.263,0.737,0.0,0.3612,POS
"Are there any highs, lows or even the jet stream driving this system at all, or is it just drifting on it's own??",0.0,0.911,0.089,-0.2869,NEG
it’s dealing with a trough which is supposed to grab it and a high pressure which is supposed to let it through,0.0,0.896,0.104,-0.296,NEG
"Ah, the good ole roulette wheel... 🙂",0.367,0.633,0.0,0.4404,POS
tons and tons of that info in his previous posts,0.0,1.0,0.0,0.0,NEU
"So, basically. That ""ship"" spaghetti track which was the ONLY one showing it going RIGHT thru us in Largo.. was right.",0.0,1.0,0.0,0.0,NEU
The one they keep saying is always “wrong”. Funny how that works.,0.209,0.791,0.0,0.4404,POS
"yep, lol. So should we pay more attention to the Ship than the Euro from here on out?",0.231,0.692,0.077,0.5165,POS
This is literally like an afternoon storm if these numbers hold true.,0.346,0.654,0.0,0.6486,POS
I hope it waits till my flight home Sunday,0.293,0.707,0.0,0.4404,POS
"Like most folks, I've been keeping up with tropical systems most of my adult life, but I admit, I've never heard the media refer to it this way, i.e., ""Invest 97L."" Am I the only one?",0.11,0.89,0.0,0.4497,POS
"it's always an invest before it meets the criteria for a named storm. They start ""investigating"" when the conditions are favorable for development.",0.129,0.871,0.0,0.4767,POS
I get that. Just never heard media use that term.,0.0,1.0,0.0,0.0,NEU
interesting. I've heard it used frequently since we moved here in 2021.,0.197,0.803,0.0,0.4019,POS
to be fair. We cut the cord years ago and rely on X and direct news links. 🙂,0.125,0.761,0.114,0.0516,POS
"me either and I’ve lived in Florida for 50 years, 25 of them in the panhandle with lots of hurricanes. Never heard the term.",0.0,1.0,0.0,0.0,NEU
it’s always been like this it’s an invest before a cyclone or name storm,0.172,0.828,0.0,0.3612,POS
I've just never heard it reported that way.,0.0,1.0,0.0,0.0,NEU
"it’s been like that in the 27 years of my existent",0.2,0.8,0.0,0.3612,POS
never heard it either and consider myself a bit of a news hound.,0.0,1.0,0.0,0.0,NEU
thanks! Same.,0.761,0.239,0.0,0.4926,POS
"Oh surprise.... every storm track is straight through pinellas. I feel like the people who create these are people who play roulette and keep betting black because ""it's gotta come up eventually """,0.248,0.752,0.0,0.7845,POS
well this isn’t through Pinellas. It’s off the coast.,0.208,0.792,0.0,0.2732,POS
"what map are you looking at?",0.0,1.0,0.0,0.0,NEU
the same one you just circled that has it off our coast. Yes we’ll get rain but rule #7,0.093,0.907,0.0,0.2144,POS
"Thank you Denis , been here 35 years and so many new peeps here in Florida . Well Guys you all chose to move here and this is one of the things every summer, Get used to it and stop panicking . Just have a plan",0.096,0.797,0.107,-0.128,NEG
this is who you need to follow for the best local info. Do NOT watch the weather channel lol they are all about hyping it up!,0.233,0.767,0.0,0.807,POS
"Interesting I have gotten alert for Miami Dade, Broward, Palm Beach and going up the coast collier and Fort Myers! At the end of Broward beginning of Palm Beach I guess we’ll wait and see",0.143,0.857,0.0,0.636,POS
"My mom is flying out of Miami Sunday morning, will her flight be delayed?",0.0,0.872,0.128,-0.2263,NEG
"Are we sure with this one now, as this storm been like a pin ball. Up the East Coast through the Caribbean to the East Coast of the Gulf then up through the panhandle and now it’s making land in pinellas 😂",0.112,0.888,0.0,0.5859,POS
where do you see landfall in Pinellas?,0.0,1.0,0.0,0.0,NEU
On the post earlier from Dennis,0.0,1.0,0.0,0.0,NEU
it was between pinellas and Levy county so basically Hillsbourgh and Pasco,0.0,1.0,0.0,0.0,NEU
lol,1.0,0.0,0.0,0.4215,POS
Can y'all stop freaking out?! Tampa gets 50 mph winds every afternoon! 🤣🤣🤣🤣,0.0,0.663,0.337,-0.6792,NEG
"Thank you for keeping us on the realistic end of our Florida weather. Plan, prepare, be smart and remember Rule #7",0.215,0.785,0.0,0.6369,POS
"Sooo...when a storm makes landfall North of TB, it pulls water out of the bay...correct????",0.0,1.0,0.0,0.0,NEU
"no opposite",0.0,0.312,0.688,-0.296,NEG
"The storms rotate counter clockwise.
South of the bay, pulls water out of the bay.
North of the bay pushes water into the bay.
Be aware of low lying coastal areas as the water levels could drop with the storm approaching from the south, then rapidly rise as the storm moves north. Escape could get cut off by rapidly rising storm surge.",0.025,0.833,0.142,-0.7906,NEG
Tocobaga Tribe is making sure it doesn’t become a big hurricane!,0.224,0.776,0.0,0.3802,POS
"absolutely!!!",0.0,1.0,0.0,0.0,NEU
st. Pete and Tampa bay are always protected,0.293,0.707,0.0,0.4404,POS
you ain’t wrong!,0.0,0.371,0.629,-0.5255,NEG
Hoping our Sunday cruise is good to go!,0.5,0.5,0.0,0.7177,POS
"Do you think it has potential to turn into a hurricane?
Should I put my shutters on my house?",0.0,1.0,0.0,0.0,NEU
Pool needs the water. Outstanding!,0.518,0.482,0.0,0.6476,POS
dang I've had to let few inches out of mine several times in the last few weeks! Tons of rain in Crystal River,0.0,1.0,0.0,0.0,NEU
me too! I felt like I was draining some water every few days for the last month.,0.166,0.834,0.0,0.4199,POS
me too! Tons of rain here in Parrish,0.0,1.0,0.0,0.0,NEU
Great surfing in SRQ happening soon!,0.468,0.532,0.0,0.6588,POS
"Big birthday bar b q Sunday has been renamed Hurricane/Birthday party.
The show must go on.",0.172,0.828,0.0,0.4019,POS
"Sounds like Ocla could be in for a ruff ride. Hope not, this my first summer in FL feeling very nervous.",0.273,0.633,0.095,0.5434,POS
"Tropical storms are not that intense, especially as far inland as Ocala. As soon as the storm hits land it looses strength quickly. Lifelong Floridian here Be prepared for a long thunderstorm and maybe some wind gusts. Try to not panic and make sure you’re always prepared:) Denis is an awesome guy to follow!",0.229,0.727,0.045,0.9131,POS
"eh, I disagree. Been in Ocala all my life and seen some intense tropical storms. Irma was a tropical storm when it hit us and did A LOT of damage. Lots of trees down, cars and roofs damaged and power outages for extended amount of time. So best to be prepared anyways . You never know .",0.123,0.737,0.139,-0.2516,NEG
"Oh yeah Irma was definitely rough but I mean if the storm hits as a tropical storm, it will probably downgrade even more by the time it gets inland, don’t you think?
But either way, I’d say that you have better advice than I do on Ocala because you’re a local and I’m a coastal resident. Stay safe! 🙂",0.189,0.811,0.0,0.8871,POS
"So, let's say I have a birthday party at noon on Sunday in East Pasco. Should it all be okay?",0.223,0.777,0.0,0.5574,POS
Thank you for your frequent updates!,0.358,0.642,0.0,0.4199,POS
We arrive in Pensacola Wednesday night. Will this effect us Wednesday through Sunday?,0.0,1.0,0.0,0.0,NEU
I’m pretty sure this is happening this Sunday (as in 2 days). It will be long gone by Wednesday.,0.256,0.744,0.0,0.6705,POS
"Driving from Orlando to Saint Pete, Saturday morning and staying until Sunday morning. Would it be bad in the morning?",0.0,0.844,0.156,-0.5423,NEG
Are you expecting a slight shift west or east at this point from this track?,0.0,1.0,0.0,0.0,NEU
Denis Phillips is there a chance that shelters will open? USF is having graduation at Yuengling Center tomorrow night?,0.122,0.878,0.0,0.3313,POS
"Thoughts on driving from Houston to Destin
Tomorrow morning?",0.0,1.0,0.0,0.0,NEU
Us here in cape coral/ Ft. Myers are pay attention to the rain as we have had a ton in the last month already.,0.0,0.94,0.06,-0.1027,NEG
like in June I believe it was,0.333,0.667,0.0,0.3612,POS
probably will have less then we did like those 3 days when we got a few feet,0.152,0.848,0.0,0.3612,POS
"Eh cat 1 or tropical storm is really just a very big thunder storm. Bring light weight items in from the patio plan inside activities
And only check tv twice a day...or the news will have you drowning or worse by noon!
If it gets bigger than cat 1, freeze water in the you Tupperware ot zip lock bags. And be sure to have fuel for your grill.
And your good. Nothing to worry about. Just prepare.",0.112,0.85,0.038,0.6121,POS
"Took them long enough to develop this one and show where it was going. Been watching it for over a week now, and for 8 days there was absolutely nothing there on satellite no rain no clouds nothing. Then the other day it appeared out of thin air right where they said it was at all this time. But it never once showed up on satellite. Weird really weird guess it was hiding in the Bermuda triangle or something.",0.0,0.872,0.128,-0.8196,NEG
We’re flying in to SRQ Saturday at 11:50 pm. Will our flight be cancelled? 😂,0.0,0.867,0.133,-0.25,NEG
instigator…😉,0.0,1.0,0.0,0.0,NEU
"Hey Denis, do you anticipate it strengthening at all when it gets into the gulf?",0.186,0.814,0.0,0.4939,POS
he said yesterday that it’s possible. No way to know for sure.,0.159,0.69,0.152,0.0258,NEU
They always speak about how weather is affecting Tampa Bay. What weather channel specifically focuses on Hernando county in Spring Hill. ?,0.0,1.0,0.0,0.0,NEU
WHAT EFFECT IS IT GOING TO HAVE ON THE ST.PETE AREA?,0.0,1.0,0.0,0.0,NEU
tropical storm effects. The path goes right to Pinellas.,0.0,1.0,0.0,0.0,NEU
IT'S GOING TO BE REALLY RAINY AND MAYBE EVEN FREAKIN' WIMDY!!!!!!!!!,0.0,0.784,0.216,-0.4139,NEG
"So, it’s going to rain Sunday?",0.0,1.0,0.0,0.0,NEU
Can it wait till Monday?,0.0,1.0,0.0,0.0,NEU
I know right?!,0.0,1.0,0.0,0.0,NEU
What does this mean for Polk county?,0.0,1.0,0.0,0.0,NEU
it's going to storm,0.0,1.0,0.0,0.0,NEU
meth will be wet,0.0,1.0,0.0,0.0,NEU
"wind and rain",0.0,1.0,0.0,0.0,NEU
Not liking this. Has moved back towards the east?,0.0,0.78,0.22,-0.3089,NEG
"Bet it's at least a cat1 by landfall. Hope I'm wrong. Let's see.",0.181,0.625,0.194,-0.0516,NEG
Lots and lots of rain,0.0,1.0,0.0,0.0,NEU
I’m in Puerto Rico and it’s storming really hard and we have no power.,0.0,0.755,0.245,-0.4391,NEG
"I'm in Redington shores , should I be worried about Tidal surge?",0.0,0.804,0.196,-0.296,NEG
"Supposed to fly from Boston to Tampa, arriving at 8pm. Are we screwed?😖",0.0,1.0,0.0,0.0,NEU
my plane arrives 8 PM Sunday. Flying allegiant arrive in Saint Pete Clearwater area.,0.0,1.0,0.0,0.0,NEU
Hey! Look at that! We're finally getting a storm in the daytime. It feels like all of the storms lately have been overnight.,0.128,0.872,0.0,0.4738,POS
Just go ahead and bank the center is coming to Polk county. We don’t get missed now 😂,0.0,0.879,0.121,-0.296,NEG
"I remember the last time we had a Tropical storm named Debbie that move slower than a snail. Was stuck with my client at his House for days because of severe Flooding in his neighborhood, well not this time spending it at my House!!!! Ps it also started on a Sunday morning 🌄",0.04,0.851,0.109,-0.5673,NEG
Thank you for the excellent updates. Moved to Suwannee County last year and I sure miss seeing you! Thanks again Dennis for keeping us updated.,0.362,0.588,0.05,0.8777,POS
Should I stock up on toilet paper or buy a bidet?,0.0,1.0,0.0,0.0,NEU
beer,0.0,1.0,0.0,0.0,NEU
"bidet!",0.0,1.0,0.0,0.0,NEU
toilet paper and water🙃🙃🙃,0.0,1.0,0.0,0.0,NEU
You mean alcohol?,0.0,1.0,0.0,0.0,NEU
The storm is moving at 16 miles an hour. That’s a good sign. Ian was moving slower than this storm.,0.139,0.861,0.0,0.4404,POS
A Southwest employee told me 50 people cancelled their flight we are getting on today to Orlando,0.0,0.882,0.118,-0.25,NEG
Is my flight canceled? 😂,0.0,1.0,0.0,0.0,NEU
"U think we are ok to stay at home in Cortez fl",0.18,0.82,0.0,0.296,POS
I'm grossly concerned of surge.,0.0,0.678,0.322,-0.2263,NEG
With this be hurricane force winds or tropical storm winds hitting the big bend area? Denis Phillips,0.0,1.0,0.0,0.0,NEU
"Yes. LOL! I'm sorry, but couldn't resist. From what I have been reading, if it stays off the coast, it could strengthen to a hurricane. The present track doesn't seem to support that. I think we will know much more by tomorrow. All the best to you!",0.242,0.685,0.073,0.8863,POS
Time to Netflix and Chill!,0.0,1.0,0.0,0.0,NEU
got rid of Netflix!,0.0,1.0,0.0,0.0,NEU
a lot of people did. How about fire stick and chill! 😂,0.0,0.77,0.23,-0.4003,NEG
yea I still have Hulu. I am planning on working on my plant propagation station project. Stay safe and relaxed.,0.276,0.724,0.0,0.7269,POS
Better go stock up on TP!,0.39,0.61,0.0,0.4926,POS
Denis Phillips are you concerned about the chance of rapid intensification due to the warm waters once the storm gets over water again?,0.157,0.843,0.0,0.4404,POS
"borderline hot water, 90 degree water Temps! Unless tons of wind sheer or Saharan dust this thing has the potential of rapid intensification!",0.0,1.0,0.0,0.0,NEU
"no this is coming in at a bad angle, plus the mountains of Cuba won't allow for intensification. Also there is Saharian Dust around.",0.0,0.731,0.269,-0.7481,NEG
Lets hope our Grouper and Snapper are not chased away like Ian did.,0.181,0.687,0.132,0.1999,POS
"keep your fingers crossed this doesn't impact our Sunday plans lol",0.219,0.781,0.0,0.4215,POS
I know I’ve been watching 🤞🏼🤞🏼,0.0,1.0,0.0,0.0,NEU
every storm track shows this and it always hits us in port charlotte,0.0,1.0,0.0,0.0,NEU
exactly,0.0,1.0,0.0,0.0,NEU
Getting a warm up drill!,0.422,0.578,0.0,0.2942,POS
"In 2001 I met a friend who was visiting down in Florida with my kids at the beach. It was raining pretty hard at first and stopped. The winds were over 40 miles an hour. The whole beach was covered with suds even to the parking lot, I kept thinking there has to be some kind of tropical storm or depression, and never heard anything the whole day till the evening. It was never even forecasted, that was an adventure",0.1,0.819,0.081,0.4019,POS
that sounds like TS Gabrielle. Popped up out of nowhere on 9/11. My parents were out of power for a week. I had just flown back to Indiana 2 days prior.,0.085,0.915,0.0,0.3612,POS
it might be. It was quite an adventure and I’m so glad I didn’t know because I would’ve never gone to the beach with my kids and my friend and her husband wouldn’t have either. It’s one of those lifetime experiences..,0.211,0.789,0.0,0.864,POS
If 30 mph winds hit the coast how bad will it be 50 miles inland? I live in an RV.,0.0,0.837,0.163,-0.5423,NEG
I think our daily summer thunderstorms are worse than that scenario would be. Just be prepared. Good luck where you are.,0.29,0.595,0.115,0.5719,POS
"I think so too, but I'm keeping a close eye.",0.0,1.0,0.0,0.0,NEU
Of course. Stay safe.,0.492,0.508,0.0,0.4404,POS
Eek I’m driving to Tampa from Indianapolis leaving in the morning. Looks like it’s going to be a fun drive Sunday morning.,0.234,0.766,0.0,0.7003,POS
"have plenty of gas and good wiper blades. Be safe.",0.42,0.58,0.0,0.7003,POS
"please be careful ❤️",0.661,0.339,0.0,0.4404,POS
Rain-X the heck out of your windshield.,0.0,1.0,0.0,0.0,NEU
Rain fall totals in our area (Palm Harbor-Tarpon springs)for the next few days???,0.0,1.0,0.0,0.0,NEU
"unless the waffle
houses close i’m not too worried",0.191,0.809,0.0,0.2235,POS
Fully expecting Eminem memes in the next 24 hours lol.,0.237,0.763,0.0,0.4215,POS
Will my flight be canceled or my reservations at Waffle House?,0.0,1.0,0.0,0.0,NEU
waffle House would never . Not for this little baby storm.,0.0,1.0,0.0,0.0,NEU
"yeah, Waffle House only closes for heat lightning ⚡️😏",0.216,0.784,0.0,0.296,POS
go get all the bread and toilet paper you can find!,0.0,1.0,0.0,0.0,NEU
1 square per day is all I need.,0.0,1.0,0.0,0.0,NEU
Waffle House Wendy will protect you from flying objects,0.245,0.755,0.0,0.3818,POS
u should be good for UFC Waffle House brunches,0.293,0.707,0.0,0.4404,POS
Looks like I need to tell my mom to keep her cell phone charged since she's in Levy County,0.123,0.788,0.089,0.1779,POS
"Cool! I’m on the wrong coast.",0.237,0.413,0.35,-0.2714,NEG
Alright ...so Sun rain and drinks.....thx suspenders - Happy Friday! 🏴‍☠️🤘😊,0.428,0.572,0.0,0.7177,POS
I'd better go load up on TP! 😆,0.347,0.653,0.0,0.4926,POS
Could it be a cat 5?,0.0,1.0,0.0,0.0,NEU
"Time to go buy some weed and feed.",0.0,1.0,0.0,0.0,NEU
Why is a cyclone and not a storm??,0.0,1.0,0.0,0.0,NEU
