[VIDEO],Pos,Neu,Neg,Compound,Overall Sentiment
"We are always safe if we follow Denis, his forecast and his instructions.",0.195,0.805,0.0,0.4404,POS
"The numbers on the bottom: 07-31, is that the date this was recorded. I don’t think this is Milton.",0.0,1.0,0.0,0.0,NEU
Were you here in the 80's for Helana? Is this anything like that? We were like an Island. The bridges were cut off and us 19 and Alt 19 no passing. I am from here. Hurricane Donna was exciting seeing palm trees pulled up and flying away. But I had just turned 5 years old. But I did get frightened in the 80's. Maybe because I was a mother then. Denis will it be like Helana or Elana in the 80's??,0.116,0.802,0.083,0.4234,POS
Pretty much a worry ..when the water is warm and can turn bad fast with no warning ... Be prepared.. remember the No Name Storm... Hmmm 🤔,0.14,0.496,0.364,-0.7964,NEG
"thanks Denis Phillips for keeping us updated!! i'm in Spring Hill and the skies are almost black now and lots of thunder!! stay safe",0.241,0.759,0.0,0.7887,POS
"Well, I had an important doctors appointment on Monday for my pregnancy glucose test. I wonder if it’s getting rescheduled….",0.196,0.804,0.0,0.4404,POS
"life goes on for tropical storms here in Florida, you will be fine .",0.13,0.87,0.0,0.2023,POS
give them a call friday,0.0,1.0,0.0,0.0,NEU
What date is this post?,0.0,1.0,0.0,0.0,NEU
Do you think I can fly out of Miami on Saturday morning @10am?,0.0,1.0,0.0,0.0,NEU
his crystal ball is broken.,0.0,0.563,0.437,-0.4767,NEG
"Thanks Denis, Phillips always being right on I've been watching you for 20 years now I moved here in 2004 , your the one I watch all the time.I would love to meet you sometime",0.191,0.809,0.0,0.7964,POS
Leaving for a cruise out of Port Canaveral tomorrow and heading to the Bahamas. Should I expect crappy weather during my whole trip? I return Sunday morning. Denis Phillips,0.0,0.874,0.126,-0.5574,NEG
My favorite weather man !!,0.473,0.527,0.0,0.555,POS
Awesome job..thank ypu..you,0.672,0.328,0.0,0.6249,POS
This may be older,0.0,1.0,0.0,0.0,NEU
Love the hoodie!!! Thank you and your compadres for all of our updates! 🌸,0.417,0.583,0.0,0.8346,POS
Should u fly into st pete,0.0,1.0,0.0,0.0,NEU
Love you Dennis Phillips ❤️,0.512,0.488,0.0,0.6369,POS
"You are the Walter Cronkite of weather forecasting. You rock! Thanks for all you do, Denis.",0.175,0.825,0.0,0.4926,POS
Is Riverview safe by Big Bend ?,0.367,0.633,0.0,0.4404,POS
Love seeing you on TV I've been watching you for 20 years now,0.259,0.741,0.0,0.6369,POS
Thoughts on going to Orange Beach? Supposed to be leaving Sunday and coming back Tuesday,0.0,1.0,0.0,0.0,NEU
Thank you for all your information during this storm Denis. It was a great help,0.458,0.542,0.0,0.8519,POS
"Like Debbie a few years ago.
North of Sarasota Get ready to get soakin",0.312,0.688,0.0,0.6124,POS
"So, Waffle House is open??",0.0,1.0,0.0,0.0,NEU
It's that Time of the Year,0.0,1.0,0.0,0.0,NEU
"If you plan on a trip to Florida, anywhere in Florida...wait until, it passes! I live in south Florida for over 52 years and been through many many storms. Even rains from this will cause flooding...",0.0,1.0,0.0,0.0,NEU
"how are we look for Oct 4th in Hudson, it's my birthday",0.0,1.0,0.0,0.0,NEU
"Thanks! Guess if I have to have my baby in the middle of a storm, this is the one to do it in 😂",0.138,0.862,0.0,0.4926,POS
"You are the best man, we really enjoy watching you. Thx Denis.",0.531,0.469,0.0,0.8805,POS
How does Port St Lucie look so far,0.0,1.0,0.0,0.0,NEU
What time on Sunday for the rain,0.0,1.0,0.0,0.0,NEU
"Thanks Denis, hopefully just rain,",0.651,0.349,0.0,0.6808,POS
Thank you! You take good care of us!,0.647,0.353,0.0,0.8475,POS
Thanks for being here,0.492,0.508,0.0,0.4404,POS
Love you Denis!,0.692,0.308,0.0,0.6696,POS
Thank you myriads for keepinģ us ùp on the potentials!💕,0.237,0.763,0.0,0.4199,POS
Thanks you are such a voice of reason. Love it,0.504,0.496,0.0,0.7964,POS
why is everybody showing a different blob location?,0.0,1.0,0.0,0.0,NEU
Sweater is 🔥,0.0,1.0,0.0,0.0,NEU
Next thing ya know it's a Cat 5 and you need to evacuate! 😂😂😂😂😂,0.0,1.0,0.0,0.0,NEU
It already changed since yesterday,0.0,1.0,0.0,0.0,NEU
I thought that was nick saban 🤣🤣🤣,0.0,1.0,0.0,0.0,NEU
Which storm is this,0.0,1.0,0.0,0.0,NEU
You need sleep my friend!!,0.486,0.514,0.0,0.5837,POS
What time is it going to make landfall?,0.0,1.0,0.0,0.0,NEU
this is 2 months ago,0.0,1.0,0.0,0.0,NEU
So wrong,0.0,0.228,0.772,-0.5256,NEG
"Do you need to catch up on sleep?",0.0,1.0,0.0,0.0,NEU
Do you believe in Tocabaga tribe protection over Tampa bay?,0.0,1.0,0.0,0.0,NEU
Stop the trails! 😡😡😡,0.0,0.546,0.454,-0.3595,NEG
this is the page I was telling you about.,0.0,1.0,0.0,0.0,NEU
This was the forecast for Debbie how stupid,0.0,0.673,0.327,-0.5267,NEG
Thank you for all you do Denis,0.294,0.706,0.0,0.3612,POS
I pray,1.0,0.0,0.0,0.3182,POS
Traveling by car from NE Georgia to Venice on Sunday… thoughts?,0.0,1.0,0.0,0.0,NEU
check your windshield wipers??,0.0,1.0,0.0,0.0,NEU
don’t,0.0,1.0,0.0,0.0,NEU
This didn’t age well 😅,0.412,0.588,0.0,0.2732,POS
Which storm?,0.0,1.0,0.0,0.0,NEU
old news,0.0,1.0,0.0,0.0,NEU
good news for us 😃,0.492,0.508,0.0,0.4404,POS
I think we can still do Sunday. 🤷‍♀️,0.0,1.0,0.0,0.0,NEU
text me and said. Denis is a con man and it’s a hurricane already. I don’t think all of Denis’s followers will like this or agree. What do u think?,0.172,0.828,0.0,0.6124,POS
Thanks for the update,0.492,0.508,0.0,0.4404,POS
July 31 ? F off,0.0,1.0,0.0,0.0,NEU
"We pray peace , we pray that the power behind the storms would bow to the name of Jesus Christ and be still",0.299,0.701,0.0,0.7964,POS
I need to fly out of knoxville to clearwater one day next week. What would be a good day you thi k?,0.132,0.868,0.0,0.4404,POS
Not a worry?,0.706,0.294,0.0,0.3412,POS
It would be great if he could add dates to his rant,0.248,0.606,0.145,0.4019,POS
U do know u can't predict the weather anymore,0.0,1.0,0.0,0.0,NEU
Huh? Look at the ACTUAL forecast.,0.0,1.0,0.0,0.0,NEU
"They have his year of birth as 1938? NO WAY, Denis Phillips! Typo? Misprint?!",0.0,0.762,0.238,-0.6196,NEG
different DP,0.0,1.0,0.0,0.0,NEU
"My daughters are going to Miami in Orlando and taking a cruise they leave on the second. Are they gonna be OK!??? This is crazy this weather is crazy. I think it goes to Bahamas and back. I’m not really sure but it’s like four or five days cruise and then they fly back home, so is everything gonna be OK???",0.124,0.785,0.09,0.744,POS
So are we looking at tornadoes on east side?,0.0,1.0,0.0,0.0,NEU
"Denis, please get your cough
checked out…you’ve had it
entirely too long and we, your
fans, need you to be in tip top
shape with the peak of this
hurricane season ramping up…
👍🏻 We care!!!",0.199,0.801,0.0,0.8007,POS
I just want to pat myself on the back,0.157,0.843,0.0,0.0772,POS
good call,0.744,0.256,0.0,0.4404,POS
https://youtu.be/_IUnhBdoY1M?si=tHViHThtyFQFQm7i,0.0,1.0,0.0,0.0,NEU
👍👍👍👍👍,0.0,1.0,0.0,0.0,NEU
🤞🏼,0.0,1.0,0.0,0.0,NEU
I feel that that storm is going to go back into the Gulf and join with Kirk and make a category 5 Superstar probably the worst ever recorded I hope I'm wrong,0.14,0.661,0.198,-0.4767,NEG
I totally agree. I think this is being downplayed,0.318,0.682,0.0,0.4201,POS
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
cracked up 😂,0.0,1.0,0.0,0.0,NEU
"And yet, here’s where we are on a cruise! We still have one more stop tomorrow in Grand Turk before heading back. Lol",0.221,0.689,0.09,0.5572,POS
"you pick a hell of a time to be cruising down there. Lol
Next time just book a flight with the hurricane hunters. 😜",0.11,0.709,0.181,-0.4215,NEG
haha we are way south in Curacao today but heading back towards FLL on Sunday. I just hope it stays a depression and we can catch our flight home.,0.168,0.688,0.145,-0.0516,NEG
"Well, the models I'm looking at are showing a cat 3 storm! WTF is the truth? I'm out killing myself with heavy sheets of plywood covering windows.",0.127,0.606,0.266,-0.7798,NEG
Denis Phillips thank you for all you do. Please get some rest,0.324,0.676,0.0,0.5859,POS
Leo season bab y!!!!,0.0,1.0,0.0,0.0,NEU
"NOAA -CAT 3-4 HURRICANE TAMPA GROUND ZERO 120 MPH WINDS 12 INCHES OF RAIN!!! 10-12 FOOT STORM SURG ....
NOT TO WORRY ??? 😌",0.166,0.834,0.0,0.6558,POS
6/10 is up there,0.0,1.0,0.0,0.0,NEU
"Dennis
Have you ever been wrong ?",0.0,0.617,0.383,-0.4767,NEG
You're an idiot,0.0,0.377,0.623,-0.5106,NEG
I thought this wa nick saben,0.0,1.0,0.0,0.0,NEU
"Thank You 🙏🏼",0.556,0.444,0.0,0.3612,POS
"My",0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
TYVM,1.0,0.0,0.0,0.5423,POS
Thank you Denis 😃,0.556,0.444,0.0,0.3612,POS
L,0.0,0.0,0.0,0.0,NEU
Hi Denis from Bradenton,0.0,1.0,0.0,0.0,NEU
Thank you Dennis!,0.583,0.417,0.0,0.4199,POS
Add the Year!,0.0,1.0,0.0,0.0,NEU
Thank you Denis.,0.556,0.444,0.0,0.3612,POS
Ok.,1.0,0.0,0.0,0.296,POS
Thanks 👍,1.0,0.0,0.0,0.4404,POS
Whew,0.0,1.0,0.0,0.0,NEU
Thanks Denis!,0.761,0.239,0.0,0.4926,POS
Thank you,0.714,0.286,0.0,0.3612,POS
Ty,1.0,0.0,0.0,0.3818,POS
Hi,0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips!,0.615,0.385,0.0,0.4926,POS
Idiot,0.0,0.0,1.0,-0.5106,NEG
