"Thursday tropical thoughts.
1. Time frame on whatever happens is Sunday-Tuesday. No impacts before then. 
2. A weak system in the Eastern Gulf would still bring a lot of rain to Florida early next week. 
3. The NHC still gives this a 60% chance of development.  Dry air, land and some shear are still impacting its development. 
4. As we've been saying for a few days, IF this develops, it seems the Northern Gulf coast would be the area of concern. Lots of warm water and more time to tap the energy. 
5. Obviously, exact track and proximity to the coast is still yet to be determined.  But the current thinking is a weaker system from the Keys to the Bay Area as it tries to organize. IF it is able to do so, the threat of a stronger system in the panhandle can't be ignored. However,  it is by NO means, a sure thing.  We'll be updating 24/7 as always. 
6. Rule #7. Nothing to freak out about. Just stay abreast of any possible changes or impacts for the Northern Gulf coast. Don't freak out over one run of a particular model. That will drive you crazy before this hurricane season is over and is wrong 90% of the time when it shows a stronger storm when others don't. 
7. 🐢",Pos,Neu,Neg,Compound,Overall Sentiment
Also don't know how likely the southern movement is on some of the runs. Do you think that's possible or just some of the idiosyncrasies of the model?,0.0,1.0,0.0,0.0,NEU
still battling sheer and dry air,0.0,0.704,0.296,-0.2732,NEG
it was spot on with beryl the euro was wrong,0.0,0.744,0.256,-0.4767,NEG
maybe. Lol,0.737,0.263,0.0,0.4215,POS
Hope you know how much WE appreciate you Denis Phillips! Thank you for always looking out for us 🫶🏼,0.344,0.656,0.0,0.8122,POS
"I know no one knows anything for sure, but we are in Orlando at the moment. If this storm does hit, will the rain be constant? Or will we be able to go out and about for a few hours then the rain hits again?",0.045,0.919,0.036,0.1053,POS
thank you for asking. I am also in SE Orlando and flying Tuesday morning out of MCO.,0.143,0.857,0.0,0.3612,POS
they usually come in bands it’ll rain for a good amount of time and then stop and then rain again but still pack and punch and bring lots of rain!,0.073,0.875,0.052,0.1635,POS
"rain from storms like this, typically imo happens in bands. Get a radar app and that could help. Driving in any Florida rains can be scary though...where you see nothing while driving.",0.143,0.769,0.088,0.25,POS
driving in USA scares me (I’m on holiday from the Uk!) so I wouldn’t have to worry about storm driving 😆 only at universal for a week so wondering how much we’d actually be able to do if it rains constantly….,0.062,0.808,0.129,-0.4389,NEG
"For what it's worth, rain days are the best at Universal because the lines are shorter 😀 Just be prepared to swim through Jurassic Park area, as it always floods during heavy rain. Or do that part first. Have a great time!!",0.261,0.739,0.0,0.9133,POS
"thank you! We were in Magic Kingdom the other day when some rain and a storm hit, pretty much everything shut, even the indoor shows. So wondering if Universal would be the same",0.166,0.834,0.0,0.7177,POS
Universal outdoor rides and shows including the parade will cancel in rain.,0.0,0.846,0.154,-0.25,NEG
with how hot hot it gets in Orlando in August you will be wishing it poured down on you. It's so humid,0.083,0.917,0.0,0.2263,POS
"yes here alresdy and feeling the heat! But when you spend so much money on park tickets, you want to be able to go on rides and not huddling under a shelter in a poncho!",0.146,0.854,0.0,0.4826,POS
Thank you for always putting my mind at ease! You’re simply the best! Better than all the rest! ❤️,0.464,0.536,0.0,0.9182,POS
🎶Better than anyone!”🎶👠,0.0,1.0,0.0,0.0,NEU
Denis some are saying over the next seven days. Will it still be Sunday into Monday for the gulf coast ?,0.0,1.0,0.0,0.0,NEU
Much weekend rain for east coast FL?,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, thank you!",0.482,0.518,0.0,0.4199,POS
Been watching your updates as we have a group travelling from Canada to Orlando on Tuesday. Is this system going to impact our flight or plans? Thanks.,0.104,0.896,0.0,0.4404,POS
of it's an issue Tuesday the airline will just cancel your plane ride,0.0,0.857,0.143,-0.25,NEG
Our home was flooded by Idalia last year. We’re in a low-lying neighborhood in Pinellas County. Should we be worried about this storm?,0.0,0.905,0.095,-0.296,NEG
What’s it looking like for the East Coast next week?,0.217,0.783,0.0,0.3612,POS
This is hilarious. Everyone don’t even look at the forecast until Saturday,0.197,0.803,0.0,0.4019,POS
any impacts on Orlando/ Tuesday-Thursday?,0.0,1.0,0.0,0.0,NEU
what’s Orlando looking like for Sunday Monday ? 🤞,0.294,0.706,0.0,0.3612,POS
I am supposed to be flying into Treasure Island tomorrow night. Do you think it's safe that we still fly in we're going to be there a whole week. Denis Phillips,0.159,0.841,0.0,0.6249,POS
Will be people need to evacuate,0.0,1.0,0.0,0.0,NEU
would we in Destin?,0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you,0.455,0.545,0.0,0.3612,POS
it’s not even a formed Tropical Storm yet,0.0,1.0,0.0,0.0,NEU
asking IF ?,0.0,1.0,0.0,0.0,NEU
"if what? Depression? Storm? Hurricane?",0.0,0.462,0.538,-0.6868,NEG
We are due fo fly home on Sunday night from mco to manchester do you think this will affect our flight,0.0,1.0,0.0,0.0,NEU
Are we calling them cyclones vs hurricanes now too? I thought that was only in the Pacific.,0.0,1.0,0.0,0.0,NEU
"All weather with a closed center of circulation is a cyclone.",0.0,1.0,0.0,0.0,NEU
"hurricanes are cyclones! Tropical storms are cyclones, depressions are cyclones,Tornadoes are cyclones!",0.0,0.744,0.256,-0.5837,NEG
Denis Phillips for sure! Of course I check all of your latest posts to be advised~ but if I need a good chuckle I scroll through the comments 🤦🏻‍♀️,0.298,0.702,0.0,0.8534,POS
So basically - your guess is as good as ours. 🤓🤩🤓,0.244,0.756,0.0,0.4404,POS
"So... Rule #6 is Rule #7, and Rule #7 is 🐢?",0.0,1.0,0.0,0.0,NEU
*furiously revises notes*,0.0,1.0,0.0,0.0,NEU
"What about the following weekend? Aug 9 Friday",0.0,1.0,0.0,0.0,NEU
"Denis Phillips you're an absolutely hero!
We fly August 10th to Charlotte Douglas, then to Orlando and I'm on panic mode",0.158,0.717,0.125,0.2228,POS
"I was just thinking of you! You even got a reply direct from Denis! I was going to message you and ask for dates so I could keep an eye out for you, but it looks like you are A-OK! Have fun! HYDRATE! 💧",0.193,0.807,0.0,0.871,POS
following!,0.0,1.0,0.0,0.0,NEU
Flying out of SRQ on Tuesday morning 😩,0.0,1.0,0.0,0.0,NEU
"thanks, Denis!",0.761,0.239,0.0,0.4926,POS
I’m flying in Tuesday afternoon 😳,0.0,1.0,0.0,0.0,NEU
"Thank you Denis. You are always the calming, sensible words needed.",0.366,0.634,0.0,0.6369,POS
Denis Phillips so flying into Fort Lauderdale on Sunday afternoon should be ok just might be a ton of rain while landing??,0.113,0.887,0.0,0.3736,POS
he just answered your question on newest post!,0.0,1.0,0.0,0.0,NEU
I was never worried about that cruise because I know we will get on that ship and they’ll take us somewhere! But if we can’t get to Florida because of all the rain or possible storms then no cruise 😭,0.037,0.885,0.078,-0.3915,NEG
We are flying out of Tampa at 7:00 am on Monday morning.. are we good or should we be changing our flight to Sunday morning??,0.12,0.88,0.0,0.504,POS
Hello from Oklahoma. Will the rain move out of the keys during this time (specifically key largo) or will it be continuous rain Sunday-Tuesday?,0.0,1.0,0.0,0.0,NEU
So that means I’m okay to go snorkeling Friday and Saturday in the sun before the clouds come in right lolll,0.087,0.913,0.0,0.2263,POS
Thanks for the updates! Any storm surge concerns on the west coast?,0.225,0.775,0.0,0.4926,POS
"Denis Phillips I hope you are right about that, Dennis. Coastal Citrus County got a devastating surge from Idalia. I know the setup for this storm is different, but it seems like anytime a storm passes to the west of us, not too far out in the Gulf, we get a big SW wind, and a storm surge. Rain does not worry me.......a big storm surge does!",0.126,0.835,0.039,0.7141,POS
Denis Phillips large rain falls and storm surge scare me. Any updates to potential surges?,0.0,0.814,0.186,-0.4939,NEG
Will be in Disney Aug 5th to 8th ! Should I be worried?,0.0,0.801,0.199,-0.3595,NEG
of course we’ll be in Disney 4th and 5th. Hoping it’s not a complete wash out.,0.167,0.833,0.0,0.4215,POS
Following. I’m in the same boat 😕,0.0,1.0,0.0,0.0,NEU
Suppose to fly into Orlando (SFB) Monday around 11PM. Will we make it?!,0.0,1.0,0.0,0.0,NEU
"My parents are flight back home to PR from Orlando this coming Saturday, should I change the flight?",0.0,1.0,0.0,0.0,NEU
Flying into Orlando early Monday morning. Will we be able to get there 🤞,0.0,1.0,0.0,0.0,NEU
"We have a flight home from Orlando on Wednesday, do you think it won’t go ahead?",0.0,1.0,0.0,0.0,NEU
Sarasota area for Friday and Saturday?,0.0,1.0,0.0,0.0,NEU
This is the meteorologist I follow…keeping fingers crossed 🤞🏼,0.0,1.0,0.0,0.0,NEU
I keep seeing the words Northern Gulf Coast. This is broad. Does this mean Tallahassee? Pensacola? Or the Armpit and right up the central northern area like Live Oak/Lake City area?,0.095,0.905,0.0,0.466,POS
"right now, it means all of it. It's too early to predict anything from Pensacola all the way to the armpit",0.0,1.0,0.0,0.0,NEU
"Denis Phillips Ark Alert?",0.423,0.577,0.0,0.296,POS
"flying into Orlando Sun pm, shld we change date?",0.0,1.0,0.0,0.0,NEU
Why does the NHC have it as yellow and everyone else shows orange for possibility of development? Just curios the difference.,0.0,1.0,0.0,0.0,NEU
Soooooo safe to say we should cancel our camping trip to Margaritaville for this weekend? 😔,0.162,0.726,0.112,0.2263,POS
"Have a flight scheduled for Wednesday afternoon into St. Pete-Clearwater airport, based upon this current timeline prediction for any impact to the Bay Area you think we’ll be safe…Denis Phillips",0.0,1.0,0.0,0.0,NEU
I seen in another post he said Wednesday should be fine,0.167,0.833,0.0,0.2023,POS
"Ty! I was trying to skim thru the comments & see if had said anything for Wednesday, I appreciate it!",0.282,0.718,0.0,0.7081,POS
Do you think that will impact the shuttle launch Saturday morning? I would hate to load up the kid and the car to drive over there for it to be canceled lol,0.079,0.817,0.104,-0.2263,NEG
"Are the effects still looking like late Sunday and not the morning hours? Hauling a large camper in Polk on Sunday morning, so trying to avoid the worst of it. Thanks Denis Phillips!",0.134,0.696,0.17,-0.3518,NEG
Flying into Tampa on Saturday and staying in st Pete for 6 days 😭 should we cancel?,0.0,0.875,0.125,-0.25,NEG
next week. Not sure how long you are in florida,0.0,0.821,0.179,-0.2411,NEG
thanks! Leaving tomorrow! Stay safe!,0.69,0.31,0.0,0.7701,POS
aww hope u had a great time. Thanks,0.767,0.233,0.0,0.872,POS
Denis Phillips Thoughts on coastal flooding or surge in the Bay Area?,0.0,1.0,0.0,0.0,NEU
What are the impacts to St. Augustine ? Little getaway planned for Sunday -Tuesday 😔,0.0,1.0,0.0,0.0,NEU
"Denis, My daughter is flying into Jacksonville today then driving over to Inverness on Tuesday and flying home from Tampa on Saturday, doesn't look too good for a vacation and beach time does it?",0.0,0.93,0.07,-0.3412,NEG
Was planning a trip down to the keys Monday - Wednesday😢 should I push it out a few days? or still ok ?,0.131,0.869,0.0,0.3736,POS
Do you think rains will be all day Sunday or starting Sunday night?,0.0,1.0,0.0,0.0,NEU
Flying into Orlando from Cleveland Sunday around 2pm. You think we’ll be okay? Also you think Orlando will get hit hard with rain Monday/Tuesday?,0.088,0.857,0.055,0.2168,POS
"coming from
Cleveland on Saturday too 😩",0.0,1.0,0.0,0.0,NEU
coming from St Louis on Saturday. 😢,0.0,1.0,0.0,0.0,NEU
"We are visiting Treasure Island next week, is this an area which will be impacted ?",0.136,0.864,0.0,0.296,POS
"We suppose to fly into Orlando the 7th from Boston , will be staying in Davenport and have lots of things booked through out our trip to do, should we reschedule? Kinda nervous our 1st trip 1st time flying 😩",0.0,0.953,0.047,-0.204,NEG
Will it rain all day on Treasure island on Saturday?,0.196,0.804,0.0,0.296,POS
"Minnesota lady here, I’m trying not to panic as I’m here till next Thursday.",0.172,0.828,0.0,0.4023,POS
Whats the possibility of crossing over to the Atlantic with further development heading up the east coast?,0.0,1.0,0.0,0.0,NEU
Polk county should just get lots of rain?,0.0,1.0,0.0,0.0,NEU
"We are flying out of TPA on Monday night, please tell me we should still be able too Denis Phillips my son has a baseball tournament the next day in Ohio!",0.082,0.918,0.0,0.3802,POS
Going to Perdido Key/Pensacola from Arkansas August 3-10 for our honeymoon. What should we expect?,0.0,1.0,0.0,0.0,NEU
fun staying inside! Lol Congratulations!! ❤️,0.784,0.216,0.0,0.8974,POS
Will I hit lots of rain driving across on I75 from Boca to St. Petersburg on Sunday eve?,0.0,1.0,0.0,0.0,NEU
It's an invest now. Cat 2 possible.,0.0,1.0,0.0,0.0,NEU
Flying into Orlando on the 8th. Will I need to reschedule my flight?,0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
Thank you very much for answering me. It is greatly appreciated,0.404,0.596,0.0,0.7264,POS
Got our house closing done just in time! Phew!,0.0,1.0,0.0,0.0,NEU
The kiddo will be at camp in De Leon Springs Sunday-Friday. Will the weather be a concern there?,0.0,1.0,0.0,0.0,NEU
"Supposed to drive from Sarasota to Savannah on Sunday. Would that be ok or risky?",0.129,0.765,0.106,0.1027,POS
"I know too early BUT if it was to skirt by our coast here on the west, SRQ area, and north, any idea on just how much rains could happen?? Thanks..🐢",0.0,1.0,0.0,0.0,NEU
"Thank you!! #7 from Siesta..",0.435,0.565,0.0,0.4738,POS
that’s not bad compared to the 12” we got a while back.,0.222,0.778,0.0,0.431,POS
Looks like delivering mail Monday in Tampa will be fun. At least it won't be scorching hot,0.279,0.721,0.0,0.7003,POS
"I'm up in dunnellon delivering. 😬 Gonna be a blast",0.0,1.0,0.0,0.0,NEU
" I miss being a mailman. (JK😂)",0.0,0.652,0.348,-0.1531,NEG
"Cruise ship leaving on Saturday out of Tampa to Cozumel - any clue of impacts there? Hard for me to see times on the ""blob"" 🙂 Thank you for these amazing updates and information!",0.178,0.784,0.038,0.7345,POS
we leave tomorrow out of canaveral!!! We should cruise together sometime 😊❤️,0.0,0.841,0.159,-0.2677,NEG
That would be so much fun! Hope yours goes well and isn't too bumpy - eek!,0.44,0.56,0.0,0.8565,POS
lol we will be fine! U too!!!,0.59,0.41,0.0,0.6973,POS
"We're flying back to Tampa Monday morning... thoughts?",0.0,1.0,0.0,0.0,NEU
Great-all the OMG a storm is coming people are going to hit the gas stations and grocery stores…..they see a storm model and game on.,0.0,1.0,0.0,0.0,NEU
I love that rule #6 says rule #7 😂,0.412,0.588,0.0,0.6369,POS
And that rule 7 is the turtle stalker 🤣,0.0,1.0,0.0,0.0,NEU
"Denis Phillips we have a family trip planned for Destin tomorrow heading back on Monday, thoughts? Bad idea? If it hits the panhandle when will this happen to your best guess? 😬",0.131,0.773,0.097,0.3049,POS
he said nothing will start till Sunday-Tuesday. I’d still go lol,0.219,0.781,0.0,0.4215,POS
If it want impact the Tampa area until Sunday you’ll definitely need fine in Destin,0.326,0.674,0.0,0.5859,POS
Flying in to Orlando from the UK on Tuesday for a 2 week vacation. Looks like the first couple of days may be a bit wet (we're used to that though). Hopefully a bit of sunshine to follow!,0.219,0.781,0.0,0.8268,POS
You’re the best!!! Thank you—from the northeast of Florida!! Also—#7 🐢 is hysterical 😂,0.438,0.501,0.061,0.8302,POS
"Traveling to Marco Island for vacation starting Saturday.. will it be a complete wash out?",0.0,1.0,0.0,0.0,NEU
"Thanks, I read your forecast first!!",0.466,0.534,0.0,0.5399,POS
We’re going to be at Disney on Monday and Tuesday. Do you think it will be a total washout?,0.0,1.0,0.0,0.0,NEU
"In the event it moves into the panhandle, would the Tampa Bay area, Manatee county to be exact, have any storm surge issues? We live on the water. Thank you for the updates. You the man.",0.067,0.933,0.0,0.3612,POS
if you typically flood especially when we had idalia it could be a possibility we just don’t know,0.0,1.0,0.0,0.0,NEU
Denis Phillips I have a friend flying in from TN on the 6th to move me to TN. Hoping to be loaded up and heading back to TN with the truck on the 7th. Should I contact him to change any plans? Wouldn't be too fun for him if it is pouring rain all day either day. Sorry to bother you but this is a biggie!! ( Guess I should have left last week ... LOL),0.054,0.875,0.071,0.2223,POS
Denis Phillips have a trip planned to the keys on the 7th. Will we be okay?,0.119,0.881,0.0,0.2263,POS
I’m supposed to fly into fort Myers on Tuesday. Is that looking like an issue?,0.152,0.848,0.0,0.3612,POS
me too!,0.0,1.0,0.0,0.0,NEU
"hopefully our flights don’t get canceled",0.351,0.649,0.0,0.4019,POS
I sure hope not!,0.846,0.154,0.0,0.6696,POS
Flying to Orlando from uk land 6pm Sunday. All good?,0.244,0.756,0.0,0.4404,POS
Thank you for always keeping us updated ❤️,0.263,0.737,0.0,0.3612,POS
If I am landing at St Pete/Clearwater airport around 11:30 Sunday night should I try to change my to Saturday? I have to go back to school on Monday. Lol,0.097,0.903,0.0,0.4215,POS
Am supposed to rent VRBO Mon-Thus for kayaking and boating in Hernando Beach. Thoughts?,0.0,1.0,0.0,0.0,NEU
Thank you so much for keeping us updated. Can’t begin to tell you how much we all value you!,0.234,0.766,0.0,0.636,POS
Denis Phillips cancel keys trip?,0.0,0.667,0.333,-0.25,NEG
is this continuous rain Sunday-Tuesday in keys?,0.0,1.0,0.0,0.0,NEU
"no fun when boating so I’m guessing cancel",0.259,0.392,0.35,-0.0422,NEU
"It’s now an invest , so I would assume the percentage for development will rise",0.0,1.0,0.0,0.0,NEU
whatever … the national hurricane center just upgrade it to invest 97 and intensity models are currently showing a cat 2,0.0,1.0,0.0,0.0,NEU
Suppose to get on cruise ship in Tampa on Sunday bound for Key West on Monday then on to Mexico. What do you think??,0.0,1.0,0.0,0.0,NEU
"What's the chance of this causing us flight issues, we land at about 5pm on Sunday, coming from the uk",0.095,0.905,0.0,0.25,POS
Doesn’t the Euro show it fizzling out?,0.0,1.0,0.0,0.0,NEU
yes. It’s the only one though that does and it also had this thing on the east coast or going out to sea til yesterday so doesn’t seem to have a good handle on it. Also Euro was dead wrong with Beryl so who knows it may be getting dethroned this year 👑,0.093,0.783,0.123,-0.4215,NEG
Navarre beach. August 3rd-9th? Is it worth even attempting going,0.174,0.826,0.0,0.2263,POS
It's not looking so good for my trip to the Keys next week. Ugh 😩,0.202,0.647,0.151,0.2362,POS
I'm wondering the same thing!,0.0,1.0,0.0,0.0,NEU
Denis Phillips. Any flooding concerns from storm surge? Shore Acres area.,0.0,1.0,0.0,0.0,NEU
"legit concern! Especially with the counterclockwise rotation pushing water into the bay.
What do you think?",0.0,1.0,0.0,0.0,NEU
