2am update is in. No changes to intensity. Track is updated every 6 hours so the next advisory will have a new track. It won't change. This track seems relatively LOCKED IN. Intensity is still a question mark for landfall though.  Hopefully Debby just won't have enough time to get tremendously organized and strengthen quickly. Look for a rainy and windy day along the coast with much less wind and rain inland.  Have a great night! 🐢,Pos,Neu,Neg,Compound,Overall Sentiment
Thanks for the update 😊,0.492,0.508,0.0,0.4404,POS
"Do you have a storm surge estimate for Coastal Citrus County? 4-5 ft?",0.0,1.0,0.0,0.0,NEU
I don’t understand the gfs pushing it back into Ga and even into Alabama? It goes west then forms a different storm and lingers for 7 days! Most all other models are on track.,0.0,1.0,0.0,0.0,NEU
"THANK YOU DENNIS FOR BEING THERE FOR US, SUCH A COMFORT!!!!",0.29,0.71,0.0,0.5673,POS
So basically nothing major in tampa bay.,0.0,1.0,0.0,0.0,NEU
Good Night Dear Denis Please Get Some Rest We Need You To Be Rested For All These Updates And For The Rest of Our Hurricane Season May Our Dear Lord Jesus Christ Continue To Keep You And Your Family Safe Good Night My Friend,0.344,0.656,0.0,0.9545,POS
"You're awesome, Dennis!",0.687,0.313,0.0,0.6588,POS
I love the little turtle 🐢,0.583,0.417,0.0,0.6369,POS
Is it GANNA rain 🌧????,0.0,1.0,0.0,0.0,NEU
Thank you 🙏🏻🙋🏻‍♀️,0.556,0.444,0.0,0.3612,POS
"Thank you Denis Phillips. Get some rest.",0.294,0.706,0.0,0.3612,POS
Do you sleep??????💤,0.0,1.0,0.0,0.0,NEU
Avon Park checking in ✌️,0.0,1.0,0.0,0.0,NEU
It's been very quite in cape coral,0.0,1.0,0.0,0.0,NEU
"Go to sleep please 😊",0.434,0.566,0.0,0.3182,POS
Ty. Rest up.,0.565,0.435,0.0,0.3818,POS
I still like turtles 🐢,0.556,0.444,0.0,0.3612,POS
I’m almost out of snacks.,0.0,1.0,0.0,0.0,NEU
"Thank you Denis. Since nothing significant is likely to change in the next hour or so, I hope you'll take a nap.",0.251,0.685,0.064,0.6858,POS
That’s good,0.744,0.256,0.0,0.4404,POS
"Denis Phillips you need to get some sleep!",0.0,1.0,0.0,0.0,NEU
Thank you,0.714,0.286,0.0,0.3612,POS
"Thanks for everything",0.592,0.408,0.0,0.4404,POS
"Thanks Denis, get some rest,",0.42,0.58,0.0,0.4404,POS
"Thanks Denis, we all know we can count on you. Stay safe, we need you❤️",0.309,0.691,0.0,0.7003,POS
"You help a person rest,Thanks!!!!",0.563,0.437,0.0,0.5951,POS
"Thanks for the 2am DP! 🤩",0.444,0.556,0.0,0.4926,POS
Thank you Denis Phillips God Bless everyone be alert and be safe ✌️🙏🇺🇸💪,0.61,0.39,0.0,0.8885,POS
"This will be us around 8 am, according to the Weather Channel. We are in Apollo Beach and it looks like it’s gonna be a nasty one. Stay safe, Tampa Bay peeps!!",0.164,0.738,0.098,0.3365,POS
"Good Night from Tarpon Springs Community 🙏🏼🙏🏼",0.326,0.674,0.0,0.4404,POS
"❤️🙏🏼🙏🏼",0.0,1.0,0.0,0.0,NEU
🐢,0.0,0.0,0.0,0.0,NEU
What are all the black clusters? Thanks Denis!,0.313,0.687,0.0,0.4926,POS
Looks like letters and numbers on top of other letters and numbers on the models.,0.249,0.751,0.0,0.5106,POS
Thank you for the latest 2 am update Denis 💙 You are The Best…..Never any hype…..just facts we can count on 💙,0.122,0.878,0.0,0.3612,POS
Beautiful sunset before the storm Denis Phillips,0.394,0.606,0.0,0.5994,POS
Denis Phillips! When do you sleep?!?,0.0,1.0,0.0,0.0,NEU
I can now get in a quick bike ride !!,0.0,1.0,0.0,0.0,NEU
"I just read the hunters found a pressure of 1001mb?",0.0,0.761,0.239,-0.296,NEG
where did you read ig,0.0,1.0,0.0,0.0,NEU
"and I read they are expecting cat 2?",0.0,1.0,0.0,0.0,NEU
"unless you read it here, take it with a grain of salt. It will strengthen, they just don’t know how much yet.",0.103,0.897,0.0,0.3182,POS
Thanks again Denis!,0.615,0.385,0.0,0.4926,POS
Thank you,0.714,0.286,0.0,0.3612,POS
"Thanks Dennis stay safe",0.744,0.256,0.0,0.7003,POS
That is def further west. 😰,0.0,1.0,0.0,0.0,NEU
Thank you!,0.736,0.264,0.0,0.4199,POS
Thanks so much!,0.615,0.385,0.0,0.4926,POS
Thank youuu!!,0.755,0.245,0.0,0.4738,POS
Thank you x,0.714,0.286,0.0,0.3612,POS
Thank You!!!!,0.786,0.214,0.0,0.5673,POS
Thank you Denis,0.556,0.444,0.0,0.3612,POS
