A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
🙏🏻🙏🏻,0.0,1.0,0.0,0.0,NEU
🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
🙏🏻,0.0,1.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
i know we heard it lol,0.412,0.588,0.0,0.4215,POS
"Like HEARD it?! 😶😶",0.482,0.518,0.0,0.4199,POS
"I heard my phone go wild 3 times now",0.0,1.0,0.0,0.0,NEU
omG that's close,0.0,1.0,0.0,0.0,NEU
Good looking out Bestie! I can always count on you for weather updates 😄😘,0.21,0.79,0.0,0.4926,POS
Hang in there....,0.0,1.0,0.0,0.0,NEU
yeah John just texted me that,0.306,0.694,0.0,0.296,POS
🙏🙏,0.0,1.0,0.0,0.0,NEU
"Denis, can you just take over all of Florida, please? Or better yet, can you just take over the world or something?
*Denis Phillips 2024*",0.195,0.805,0.0,0.6767,POS
Thank you 🙏 Dennis,0.556,0.444,0.0,0.3612,POS
THANK YOU DENIS,0.556,0.444,0.0,0.3612,POS
speaking of,0.0,1.0,0.0,0.0,NEU
told ya. Lol.,0.583,0.417,0.0,0.4215,POS
