Here are my thoughts on Tropical Storm Debby,Pos,Neu,Neg,Compound,Overall Sentiment
I really wish someone would give a spot about Crystal river. We hear nothing about our area.,0.176,0.824,0.0,0.4576,POS
he said 2-4 feet hernando and getting higher up through the bend. So probably 2.5-4.5 feet,0.0,1.0,0.0,0.0,NEU
thank you,0.714,0.286,0.0,0.3612,POS
I'm so glad my daughter told me to follow you even though I live in Maryland. I don't have to worry as much about her and her weather situations in Clearwater now.,0.169,0.831,0.0,0.6907,POS
Thank you Denis Phillips! Your updates are excellent and you keep things into perspective without all the hype! We are lucky to have you in the bay area!,0.283,0.717,0.0,0.8713,POS
Flying out Sunday night think TPA will close?,0.0,1.0,0.0,0.0,NEU
call them they will know 🌺,0.0,1.0,0.0,0.0,NEU
This guy is the best!,0.529,0.471,0.0,0.6696,POS
"I am glad it’s not going to be bad here. My cat is afraid of the thunder",0.146,0.683,0.171,-0.128,NEG
Family in Tallahassee & a nephew at FSU.. 🙏🙏,0.0,1.0,0.0,0.0,NEU
"We love you Denis!! Thanks for just telling it like it is, I've watched you for almost 30 years!!💕",0.402,0.598,0.0,0.8949,POS
We have a house on the water in Homosassa. Your perspective on the storm surge is extremely helpful! Very much appreciated. 👍,0.279,0.721,0.0,0.7884,POS
You are a true GOAT (greatest of all time)of a Weather man,0.237,0.763,0.0,0.4215,POS
Thank you for the update Denis. Rule #7,0.263,0.737,0.0,0.3612,POS
The surfers will be at the beach all day Sunday!,0.0,1.0,0.0,0.0,NEU
"Denis, hope you get some rest before it gets too bad. It's going to be a long night ahead. Thanks for keeping us informed though! God bless you! Prayers for all those in the path of this storm too!",0.241,0.686,0.073,0.795,POS
Thankyou for always giving us the most up to date info! Totally trust you!,0.354,0.646,0.0,0.7634,POS
Thank you so much for all of your help. Keeping my stress low,0.272,0.471,0.257,0.0772,POS
Thanks Denis! I only listen to you and Greg on the trusted forecast!,0.397,0.603,0.0,0.7639,POS
We love you Denis Phillips !!! Thankyou so much for your reports. You're such a great meteorologist. May God bless your family and you always. Now get some rest. You're going to need it.,0.327,0.673,0.0,0.9334,POS
Ty Denis I've lived here for 20 years now and you're the one I watch all the time you're always right on your the best in my book keep safe you and your family,0.244,0.756,0.0,0.8658,POS
"Dang, it’s somebody else’s turn. We just had Hurricane Idalia hit Keaton Beach in the Big Bend area last August. (That one grew quickly to a Cat 4 then down to a Cat 3 just before it hit up here).",0.0,1.0,0.0,0.0,NEU
"we follow this guy religiously! Literally, since we’ve been here, he is been amazing. On this map we’re a little bit more sensual so a little bit closer to where Tampa is but more central. We are about 30 minutes away from Disney World",0.062,0.938,0.0,0.4003,POS
Thank you. Please get some rest. We're all good.,0.562,0.438,0.0,0.7717,POS
Thank you for letting us know. You're the best!,0.5,0.5,0.0,0.7901,POS
Thanks for the great information…but could you please give a bit more information on the Big Bend area? We kind of get looked over. Thanks!,0.384,0.616,0.0,0.9098,POS
Thank you Denis! I just had a baby and glad I got out of the hospital before the storm rolls through lol,0.349,0.651,0.0,0.8221,POS
congrats 🎉🎊,0.773,0.227,0.0,0.5267,POS
Great information and very credible information.... keep up the good work and thanks for all the time you put in,0.368,0.632,0.0,0.872,POS
"I just want to say thank you for all that you do sir, God bless you and your family 🙏🏾🙏🏾🙏🏾",0.367,0.633,0.0,0.7717,POS
Thank you as always great job keeping us informed.,0.485,0.515,0.0,0.765,POS
Thanks for all of your hard work! Watching from Tallahassee,0.253,0.635,0.111,0.4199,POS
Family in Live Oak & Jax. 🙏🙏,0.0,1.0,0.0,0.0,NEU
Thank you for the update! Stay safe !!!,0.523,0.477,0.0,0.7627,POS
Thank you! Stay safe!,0.749,0.251,0.0,0.717,POS
Thank you for keeping us updated!,0.358,0.642,0.0,0.4199,POS
Thank you so much for all you do for us!,0.237,0.763,0.0,0.4199,POS
I ditto that!,0.0,1.0,0.0,0.0,NEU
I’m driving from Sarasota to Orlando tomorrow. I was not looking forward to a worse than normal I4 experience. This makes me feel better.,0.112,0.769,0.119,-0.0516,NEG
I’m flying to Punta Gorda from Providence tomorrow at 9 at night. Think we will get in?,0.0,1.0,0.0,0.0,NEU
"call the airline. Denis works for the tv station, not the airlines.",0.0,1.0,0.0,0.0,NEU
should be fine,0.474,0.526,0.0,0.2023,POS
think you can call them?,0.0,1.0,0.0,0.0,NEU
Thanks Denise for the timely explanations as always!,0.313,0.687,0.0,0.4926,POS
"We are driving from Quebec, Canada this night, expected to sleep somewhere in Virginia or North Carolina tomorrow evening to cut the drive in both (we are going to Fort Lauderdale), but seem that we would be stock in the storm when we are going to arrive at Jacksonville. What time would be the best to cross the storm? Any other options ?",0.091,0.886,0.023,0.7657,POS
if you ever wanna follow Florida weather watch this guy!,0.0,1.0,0.0,0.0,NEU
Totally not weather related but is that tie from Jos A Bank? I have one just like that from them .,0.16,0.84,0.0,0.5023,POS
Always informative and truthful. Thank you Dennis,0.524,0.476,0.0,0.6705,POS
I was waiting for your video 💕,0.0,1.0,0.0,0.0,NEU
Where is it going to be on Tuesday is all I need to know? I'm flying back home,0.0,1.0,0.0,0.0,NEU
out of^^,0.0,1.0,0.0,0.0,NEU
out here,0.0,1.0,0.0,0.0,NEU
Can I leave patio furniture out in Palm harbor,0.0,0.854,0.146,-0.0516,NEG
"if you want it blown around, sure.",0.419,0.581,0.0,0.3818,POS
nope. Blm will surely take it. That is the most racist post anyone could ever make!!,0.0,0.658,0.342,-0.8065,NEG
Thank you. Appreciate you,0.722,0.278,0.0,0.6369,POS
"Thank you!! You’re the BEST!!",0.741,0.259,0.0,0.8625,POS
Why are we reusing the name Debby?,0.0,1.0,0.0,0.0,NEU
I was wondering the same thing,0.0,1.0,0.0,0.0,NEU
I’m guessing cus it never became a hurricane before but still I’m sure there are more D names we could come up with lol,0.25,0.75,0.0,0.7684,POS
They reuse them until one is really bad and then they retire the name.,0.0,0.774,0.226,-0.5849,NEG
"Hurricane naming lists rotate every six years, so the 2024 list was last used in 2018. However, if any storms from the list are particularly destructive and deadly, the World Meteorological Organization can vote to retire their names from being used again in the future.",0.0,0.911,0.089,-0.6478,NEG
Thank you from a Tallahassee resident,0.385,0.615,0.0,0.3612,POS
Thank you appreciate you,0.722,0.278,0.0,0.6369,POS
My Grandson is a Senior at FSU! Thankfully he came home Thursday to go on family vacation to the Keys! Prayers for Tallahassee 🙏🙏 and FSU,0.124,0.876,0.0,0.5242,POS
stay safe too,0.592,0.408,0.0,0.4404,POS
Can't get any little debbies delivered,0.0,1.0,0.0,0.0,NEU
Thank you for all you do,0.333,0.667,0.0,0.3612,POS
Life as normal in Clearwater,0.0,1.0,0.0,0.0,NEU
Thank you God bless you,0.787,0.213,0.0,0.7506,POS
Thank you for the update,0.385,0.615,0.0,0.3612,POS
Thank you so much for an update!,0.318,0.682,0.0,0.4199,POS
"Denis is in a button down, tie and suspenders....this will be nothing...when he's in a sweatshirt chugging Dr Pepper that's when I get concerned",0.0,1.0,0.0,0.0,NEU
What is it for Sarasota,0.0,1.0,0.0,0.0,NEU
Thank you Denis Your the best ❤️,0.573,0.427,0.0,0.7717,POS
Love your dedication...✌️♥️,0.677,0.323,0.0,0.6369,POS
"Tight shirt, tie and suspender combo",0.0,1.0,0.0,0.0,NEU
I have a feeling that this is will be mainly a water storm ⛈️,0.13,0.87,0.0,0.128,POS
Thanks Denis Phillips for keeping us informed. I did see part of a rainbow tonight. So pretty.,0.33,0.67,0.0,0.7501,POS
Any feel yet for TPA Sunday evening? Attempting to fly in at 7 pm,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, i moved from St Pete to Valdosta, GA. plz help me out, as your still the only meteorologist I watch 💖
What should I expect ?
TIA. 🤞",0.277,0.723,0.0,0.7925,POS
in Valdosta too and we watch US National Weather Service Tallahassee Florida additional to Denis! We expect a bunch of rain and some strong wind. Secure outside stuff and you should be fine. Be aware that after Idalia last year some trees are still on the weaker side and could fall. Prepare for power outages as well.,0.155,0.799,0.045,0.7177,POS
"Thanx,as always...You are the best for keeping us informed realistically",0.318,0.682,0.0,0.6369,POS
"Thank you for the update!",0.411,0.589,0.0,0.4199,POS
DP you’re the best. Thanks from outside Woodville.,0.542,0.458,0.0,0.7964,POS
I’m driving from Berlin to Albuquerque tomorrow night do you think I’ll be alright?,0.133,0.867,0.0,0.25,POS
"How will the storm surge be in Hernando ?",0.0,1.0,0.0,0.0,NEU
Yea so a whole lotta nothing,0.0,1.0,0.0,0.0,NEU
Get some sleep!!,0.0,1.0,0.0,0.0,NEU
"make sure you have batteries, flashlights, candles, ice and cooler, bottled water and toilet paper.",0.141,0.859,0.0,0.3182,POS
yeah stores are cleared out already,0.474,0.526,0.0,0.3818,POS
"I'm driving home from Daytona tomorrow around 9am, to New Port Richey. Will it be like afternoon showers? Kinda nervous driving through the storm.",0.095,0.836,0.069,0.1761,POS
your the best 🌀💨,0.583,0.417,0.0,0.6369,POS
Stay safe all here in Florida especially big bend areas,0.244,0.756,0.0,0.4404,POS
Thank you for covering Tally!,0.411,0.589,0.0,0.4199,POS
It’s not all bad….On a dock at Tampa Bay 😊,0.0,1.0,0.0,0.0,NEU
You’re the best. Thanks for all you do for our community.,0.441,0.559,0.0,0.7964,POS
"As always, on target. For a news guy, who's industry he works for, is built on sensationalism, hype and NEWS! Thanks for keeping it real. I wish more news personalities were more toned down, but still delivering critical info like storm status, like you do so well. All of you guys at Ch28 rock! Tell Paul we love he changes his style often. Refreshing.",0.259,0.703,0.038,0.9542,POS
I'm hoping my homeowners insurance doesn't double from this year's....,0.237,0.763,0.0,0.4215,POS
Best during storms,0.677,0.323,0.0,0.6369,POS
"You do IT, Denis Phillips ! We appreciate your insight!",0.291,0.709,0.0,0.508,POS
Thank you for your updates! 💕,0.411,0.589,0.0,0.4199,POS
you guys ready for some good rain,0.519,0.481,0.0,0.6597,POS
Let us know. Give Jaime a call tomorrow,0.0,1.0,0.0,0.0,NEU
Thanks so much for all of the updates. 😎,0.293,0.707,0.0,0.4404,POS
this is who you need to watch!,0.0,1.0,0.0,0.0,NEU
You’re the best💜,0.0,1.0,0.0,0.0,NEU
Talk about being stalked by a turtle dipped in molasses.......,0.0,1.0,0.0,0.0,NEU
Were too far in the middle of the state I think for anything really big,0.0,1.0,0.0,0.0,NEU
Thank you DP,0.556,0.444,0.0,0.3612,POS
Tampa good to Go,0.492,0.508,0.0,0.4404,POS
"So inland, like Polk County isn’t gonna get much ?",0.258,0.742,0.0,0.4173,POS
We are already in the process of driving to Florida from Mn. Should we come in tomorrow or hold off until Tuesday??,0.0,1.0,0.0,0.0,NEU
Thanks for keeping us posted and calm Denis 👍,0.464,0.536,0.0,0.6369,POS
"❤️Thank you sir for your help!!❤️",0.0,1.0,0.0,0.0,NEU
Largo is saying this isn’t crap. In-laws,0.0,0.698,0.302,-0.3818,NEG
Welakac FL?,0.0,1.0,0.0,0.0,NEU
Just landed in it from JFK....not fun 😬,0.355,0.645,0.0,0.5106,POS
looks like flying should be ok tomorrow:),0.485,0.515,0.0,0.5719,POS
"Macclenny, Baker County?
My son just moved to Florida.",0.0,1.0,0.0,0.0,NEU
I ain’t to worry about where I live at least it about 100 miles off shore,0.0,0.818,0.182,-0.4404,NEG
Always good to hear from you Dennis tks 👏,0.293,0.707,0.0,0.4404,POS
What about Crawfordville?,0.0,1.0,0.0,0.0,NEU
why the laughter?,0.615,0.385,0.0,0.4939,POS
Do you see the storm?,0.0,1.0,0.0,0.0,NEU
Denis Phillips you’re the best! Thank you!!,0.602,0.398,0.0,0.8213,POS
"Denis Phillips, Thank you for the updates on the Big Bend areas. Lots of new students moving in to the colleges, and some are new to this weather.",0.085,0.915,0.0,0.3612,POS
Hi from Citrus County...predictions on hail? Thanks!,0.473,0.527,0.0,0.5411,POS
Get some sleep and rest. Thank you,0.294,0.706,0.0,0.3612,POS
"Thank you, Denis!🌴🙂",0.583,0.417,0.0,0.4199,POS
You da man ❤️🙏❤️,0.0,1.0,0.0,0.0,NEU
Thanks,1.0,0.0,0.0,0.4404,POS
I gave Your Forecast a 5 Little Debbie Snacks Rating 😛,0.0,1.0,0.0,0.0,NEU
Thanks for the update Denis. You are the best😊,0.266,0.734,0.0,0.4404,POS
"Cancelled my ark ,,going with a submarine in lake city lol",0.219,0.625,0.156,0.2023,POS
Southeastern Palm Beach and broward tornado warning,0.0,0.714,0.286,-0.34,NEG
Thank you for all you do Denis Phillips,0.263,0.737,0.0,0.3612,POS
Time to build an ark here in Jax?,0.0,1.0,0.0,0.0,NEU
Seems St Augustine won't get as much rain as Jacksonville,0.0,1.0,0.0,0.0,NEU
"Dennis Phillips I have a flight to Tampa on Monday leaving Detroit at 10 am landing in Tampa at 1pm
Do you think the flight will be cancelled?",0.0,0.926,0.074,-0.25,NEG
No,0.0,0.0,1.0,-0.296,NEG
Thanks again Denis Phillips . We all appreciate u,0.528,0.472,0.0,0.6808,POS
He's our guy!,0.0,1.0,0.0,0.0,NEU
Listen to him and you'll get the answers to your question,0.0,1.0,0.0,0.0,NEU
Save it denis! We are out here fighting for our lives! I had to deal with almost 15 minutes of rain this afternoon without stop. Who can survive this kind of onslaught!,0.164,0.768,0.069,0.5368,POS
"These types of storms don't normally have super noisy thunder in my experience, esp if its well organized. Is that right with this? I have a very thunder phobic dog. 🙁",0.063,0.718,0.219,-0.6398,NEG
"I wanna know the likelihood of it going out and turning to hiting us again",0.0,1.0,0.0,0.0,NEU
"Denis Phillips Hardly see any lightning in Debby. Is that showing lack of formation and energy?
For now, Debby is a long afternoon shower, without the thunder and wind.
It started raining in Cape Coral 3.30pm. Only drizzle and longer periods of dry weather.",0.046,0.903,0.051,-0.0516,NEG
It's just rain in Pinellas. No worries. Nothing we haven't see in the last month every night.,0.0,0.75,0.25,-0.6124,NEG
Very informative updates....Will be watching and waiting and not freaking out...rule #7...thanks Denis Phillips,0.152,0.848,0.0,0.3252,POS
Panic is always caused by the media.. just listen what a job..,0.0,0.752,0.248,-0.5106,NEG
Denis thanks for the update! Get some rest too !,0.303,0.697,0.0,0.5399,POS
"I really like this guy, to the point, and I trust his forecasts .",0.404,0.596,0.0,0.7264,POS
"Thanks Denis Phillips, for always keeping us informed. Citrus County, Homosassa /Crystal River here…what are you expecting for this area?",0.132,0.868,0.0,0.4404,POS
weather mods punishing tally for the second time; careful politicians.,0.121,0.606,0.273,-0.4588,NEG
Thank you!!!,0.771,0.229,0.0,0.5229,POS
Debby isn't happy. Great and fitting name for God's wrath.,0.0,0.56,0.44,-0.7424,NEG
"We all here appreciate your honest, no hype forecasts. So many people on social media causing unnecessary worry to people",0.221,0.59,0.188,0.2263,POS
"Hi Kayla, Pam next door took my picture. Wow, your colors are so much brighter",0.339,0.661,0.0,0.7703,POS
that's beautiful. Wish I'd seen that,0.623,0.377,0.0,0.765,POS
"🙏🥰",0.0,1.0,0.0,0.0,NEU
🙏🏻🥰,0.0,1.0,0.0,0.0,NEU
💝🙏🏻,0.0,1.0,0.0,0.0,NEU
☘️☘️,0.0,1.0,0.0,0.0,NEU
"👍👍👍👍👍👍👍👍",0.0,1.0,0.0,0.0,NEU
Thank you! Keep me updated!,0.435,0.565,0.0,0.4738,POS
wowowo,0.0,1.0,0.0,0.0,NEU
"thanks, hun.. ❤️",0.592,0.408,0.0,0.4404,POS
looks like we're getting lots of rain.,0.294,0.706,0.0,0.3612,POS
my pools totally guna get over filled 🤣 hopefully it doesn’t break the pool!,0.2,0.8,0.0,0.4574,POS
I’d say definitely gonna overflow the pool. Hopefully it won’t break.,0.375,0.625,0.0,0.6597,POS
"Thank you for the update I just moved to Tampa Bay about 5 months ago and my friend and family said to follow u, you are the best !!! You are the best",0.357,0.643,0.0,0.943,POS
