"Important Tropical Update. Debby on the way?
Things are starting to come together...so is our ""Orange Blob"". Looks like Florida will get some rain from it, maybe a good bit. Let's talk about it. That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
I guess too early to tell but def rain Sunday 🤷🏽‍♀️,0.0,1.0,0.0,0.0,NEU
"here in jacksonville, we love you Denis Phillips!!!!!!",0.434,0.566,0.0,0.7482,POS
Leaving out of the port of Tampa on Sunday headed to Key West and Cozumel. What can I expect?,0.0,1.0,0.0,0.0,NEU
it will cancel if it's an issue and you will go nowhere or will be going a different directing,0.0,0.895,0.105,-0.25,NEG
What are we buying from Etsy?,0.0,1.0,0.0,0.0,NEU
Rule #7 gear.,0.0,1.0,0.0,0.0,NEU
"Clearly, all the things",0.474,0.526,0.0,0.4019,POS
Tornado potential?,0.0,1.0,0.0,0.0,NEU
What about the Keys for Friday/Saturday??,0.0,1.0,0.0,0.0,NEU
What about Jacksonville??,0.0,1.0,0.0,0.0,NEU
Washout for Disney?,0.0,1.0,0.0,0.0,NEU
Should I cancel my trip to the keys?!? Supposed to go down Monday through Thursday 🤷🏻‍♀️,0.0,0.841,0.159,-0.3923,NEG
"Flying to Tampa Monday morning. Staying Monday-Friday, looking for decent weather, in your opinion should I reschedule based on ew info??",0.0,1.0,0.0,0.0,NEU
"Sorry this may have been answered. Next week thurs-sun, aug 8-11 in Sarasota. Did anything stick from the projections?",0.0,0.933,0.067,-0.0772,NEG
Sink hole time with all that rain,0.0,1.0,0.0,0.0,NEU
Storm chasing with Mike's Weather Page?,0.0,1.0,0.0,0.0,NEU
"If I send you a clean sweatshirt, will you sign it?",0.252,0.748,0.0,0.4019,POS
Going to st augustine on Sunday and from what you're saying should be good just some rain?,0.153,0.847,0.0,0.4404,POS
Flying out of Sarasota Saturday evening. Think it could speed up and affect Saturday plans?,0.0,1.0,0.0,0.0,NEU
Can it remain a tropical wave?? And just come out as rain??,0.0,1.0,0.0,0.0,NEU
Cruising down from nyc on Mon towards Bahamas- you said South Carolina may be an issue still the case?,0.0,1.0,0.0,0.0,NEU
Thank goodness Saturday is good I drove home from Treasure Island last weekend and almost had a heart attack it rained SO hard!,0.35,0.481,0.169,0.6838,POS
My mom is coming to visit me from north carolina next Wednesday ( I'm in orlando) do you think she'll be ok?,0.099,0.901,0.0,0.296,POS
Just jumped in... what days is it hitting Sarasota? Just a lot of rain?,0.0,1.0,0.0,0.0,NEU
Flying out of Florida next Saturday?,0.0,1.0,0.0,0.0,NEU
"Do you think this will impact Monday flights?",0.0,1.0,0.0,0.0,NEU
Praying my daughters flight from Calgary on Monday morning at 5:30 doesn’t get canceled,0.161,0.839,0.0,0.3612,POS
What about Monday thru Thursday in Tampa? We are scheduled to be there then,0.0,1.0,0.0,0.0,NEU
I’m sure it’s too early to tell for sure but what are the chances of flight delays next Wednesday around noon?,0.234,0.766,0.0,0.5423,POS
"Going to Tallahassee this weekend Aug 2-3. If we leave from Tallahasse Sunday morning, will we be ok?",0.113,0.825,0.062,0.25,POS
We all are going to Disney!! lol. 😂,0.361,0.639,0.0,0.5242,POS
Yep 🤣🤣,0.688,0.312,0.0,0.296,POS
You think there will be flight issues into Miami Sunday morning?,0.0,1.0,0.0,0.0,NEU
Will Destin be rained out most of next week?,0.0,1.0,0.0,0.0,NEU
Sunday night traveling from Tampa Airport ?,0.0,1.0,0.0,0.0,NEU
can I walk my dog sunday morning at 5 am on King Arthur Drive? hehe,0.0,1.0,0.0,0.0,NEU
Yes,1.0,0.0,0.0,0.4019,POS
Haven't heard you say anything about at augustine easy coast for Sunday gonna assume just rain possibly,0.153,0.847,0.0,0.4404,POS
I’m taking a 4 day cruise tomorrow to the Bahamas. What are your thoughts,0.0,1.0,0.0,0.0,NEU
Cruising to the Bahamas Friday to Monday from Miami?? Think they’re gonna cancel it?,0.0,0.837,0.163,-0.3695,NEG
Driving out of Hernando to NC Sunday morning?,0.0,1.0,0.0,0.0,NEU
Headed out of Fort Lauderdale on Friday to the Bahamas on a cruise 😱,0.0,1.0,0.0,0.0,NEU
Rain in key largo sun-wed? Trying to decide if we cancel our vacation or not. Planned on spending time at the beach.,0.0,0.913,0.087,-0.25,NEG
My college kiddo is driving Summerland Key to Tampa on Sunday. Will he be okay in his little Honda?,0.095,0.905,0.0,0.2263,POS
What does a hurricane kit need? I'm new to the east coast?,0.0,1.0,0.0,0.0,NEU
"Will this effect a cruise out of Miami Sunday?",0.0,1.0,0.0,0.0,NEU
Thoughts on flying to the DR tomorrow?! ☀️,0.0,1.0,0.0,0.0,NEU
How’s Disney looking Thursday- Sunday 8-11,0.0,1.0,0.0,0.0,NEU
8pm is the next update???,0.0,1.0,0.0,0.0,NEU
Will this affect Destin and PCB the following weekend?,0.0,1.0,0.0,0.0,NEU
"So to recap highly likely rain Sunday night, mon and tuesbfor tampa?",0.0,1.0,0.0,0.0,NEU
Will this be past the Bahamas by Monday?,0.0,1.0,0.0,0.0,NEU
New to FL - Port St Joe/Appalach area. Will you provide updates for areas outside of Tampa for storms that develop?,0.0,1.0,0.0,0.0,NEU
"Also, am I good to fly back into orlando on monday?",0.244,0.756,0.0,0.4404,POS
would this effect flights on Aug 6th ?????,0.0,1.0,0.0,0.0,NEU
"I came in late . What is the prediction for south east coast, Okeechobee area",0.0,1.0,0.0,0.0,NEU
Hi from Montreal Canada,0.0,1.0,0.0,0.0,NEU
"Flight from Tampa Monday morning? How’s it looking??",0.0,1.0,0.0,0.0,NEU
"Traveling from Texas to Clearwater st Pete airport on Monday, would be okay?",0.137,0.863,0.0,0.2263,POS
Is it safe to go to Disney?,0.326,0.674,0.0,0.4404,POS
Orlando rain all day every day next week?,0.0,1.0,0.0,0.0,NEU
"With all the rain we’ve already had will flooding be an issue?",0.0,1.0,0.0,0.0,NEU
Camping at fort desoto this weekend??,0.0,1.0,0.0,0.0,NEU
Is it just rain for Bahamas,0.0,1.0,0.0,0.0,NEU
Denis I’m a director of a preschool! Would it be safe for the children to go to school on Monday?,0.158,0.842,0.0,0.4926,POS
Maybe next update theyll bump it,0.0,1.0,0.0,0.0,NEU
What day should I avoid driving FL to NC,0.0,0.761,0.239,-0.296,NEG
"Hi Denis, I have to fly Saturday out of clearwater 8am do you think we will be ok?",0.121,0.879,0.0,0.296,POS
Do you expect tropical storm still in Clearwater Florida on the 8th?D,0.0,1.0,0.0,0.0,NEU
Flying into Sarasota Monday evening. Will I be delayed?,0.0,0.787,0.213,-0.2263,NEG
2012 Debby was slow as a turtle and dumped tons of rain on us.,0.0,0.816,0.184,-0.4019,NEG
She sure did.,0.535,0.465,0.0,0.3182,POS
Fort Lauderdale is east Florida right?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Thank you,0.714,0.286,0.0,0.3612,POS
"Waffle House will have a rainmaker special",0.351,0.649,0.0,0.4019,POS
Going to Marathon on Saturday. Concern?,0.0,1.0,0.0,0.0,NEU
What are you thinking about coastal flooding at this stage?,0.0,1.0,0.0,0.0,NEU
Orlando rain forecast for the week?,0.0,1.0,0.0,0.0,NEU
My live glitched … rough seas Saturday FLL to Bahamas - cruise ship?,0.0,1.0,0.0,0.0,NEU
How about Middle your the best…..Keys starting Saturday?,0.0,1.0,0.0,0.0,NEU
We’ve had heavy thunder every night in riverview off 301. Near Gibtown.,0.0,1.0,0.0,0.0,NEU
Ok let’s try this again! Hello from North port! Just making sure my 347 mail check on Sunday is still a go 🤣,0.211,0.789,0.0,0.6229,POS
Would it affect as far north as Destin?,0.0,1.0,0.0,0.0,NEU
St. Pete beach...for this weekend?,0.0,1.0,0.0,0.0,NEU
Love your forecasting. Please do keep Miami in your mentions...,0.448,0.552,0.0,0.7579,POS
Didn’t you say there was something behide it?,0.0,1.0,0.0,0.0,NEU
Flying to Cancun on Saturday morning from Atlanta. Assuming we should be fine!,0.148,0.852,0.0,0.2714,POS
What’s the potential for coastal flooding on Sunday in the Bay Area?,0.0,1.0,0.0,0.0,NEU
What about boating in the Bay/Gulf area on Sunday morning?,0.0,1.0,0.0,0.0,NEU
What about flights leaving TPA on Sunday ?,0.0,1.0,0.0,0.0,NEU
"So is it going to rain the entire week?",0.0,1.0,0.0,0.0,NEU
How about flights out of TPA Monday morning?,0.0,1.0,0.0,0.0,NEU
"Flying in st Pete August 8th, will we be okay?",0.174,0.826,0.0,0.2263,POS
Any Chance of Storm surge/coastal flooding?,0.286,0.714,0.0,0.25,POS
Dennis you are quite literally the best! Thank you for what you do 🫶🏼,0.377,0.623,0.0,0.805,POS
Should I anticipate any issues going to Disney tomorrow through Saturday?,0.0,1.0,0.0,0.0,NEU
as of right now looks like tons of rain you'd be wet,0.185,0.815,0.0,0.3612,POS
he made it sound like the rain isn’t hitting til Sunday. Did I mishear?,0.172,0.828,0.0,0.3612,POS
Flying home Monday from Myrtle Beach to Tampa. Will we be canceled?,0.0,1.0,0.0,0.0,NEU
When would Bradenton feel weather. Charity event planned,0.286,0.714,0.0,0.4215,POS
Thank you for doing this for us!,0.318,0.682,0.0,0.4199,POS
When would Bradenton see weather from storm?,0.0,1.0,0.0,0.0,NEU
Stay home Sunday and watch Under the Bridge on Hulu. Great series.,0.272,0.728,0.0,0.6249,POS
Do you think the “windshield wipers” might go back east?,0.0,1.0,0.0,0.0,NEU
I’m supposed to be in Panama City this Friday until the 11th. Not sure if I need to cancel or change area of vacation?,0.0,0.841,0.159,-0.4519,NEG
If you've lived here for over twenty years or you just moved here..you have to get tampa tough..end of story and stop taking it out on. My main man!,0.0,0.918,0.082,-0.3595,NEG
Will be in Treasure Island on Sunday. How’s the rain looking? Need beach time.,0.145,0.855,0.0,0.296,POS
So should I cancel my flight from Tampa to Orlando. Dang it. Was looking forward to not having to deal with i4 traffic ugh,0.0,0.805,0.195,-0.6222,NEG
Drive here.,0.0,1.0,0.0,0.0,NEU
I suggest taking the concord,0.0,1.0,0.0,0.0,NEU
Leaving on Margaritaville at Sea Sunday out of Tampa - just rough seas?,0.0,1.0,0.0,0.0,NEU
Are you doing these updates every night?,0.0,1.0,0.0,0.0,NEU
Is there any possibility this moves more west towards Louisiana?,0.0,1.0,0.0,0.0,NEU
Citrus county please don’t flood 🙏🏻,0.315,0.685,0.0,0.3182,POS
Did it change to west coast?,0.0,1.0,0.0,0.0,NEU
Supposed to leave Friday to come to Hernando Beach and leave on Tuesday… Do we need to cancel?,0.0,0.773,0.227,-0.34,NEG
Is Madeira beach considered south of Tampa Bay,0.0,1.0,0.0,0.0,NEU
So we're looking at a rainy weekend this weekend?,0.0,0.843,0.157,-0.0772,NEG
What is the timeline for the next blob formation after this?,0.0,1.0,0.0,0.0,NEU
When are you expecting the rain from this storm to start hitting?,0.0,1.0,0.0,0.0,NEU
"Dunnellon/ Citrus Springs
Will it likely stall in me?",0.0,0.816,0.184,-0.2023,NEG
Crystal river on thursday??,0.0,1.0,0.0,0.0,NEU
I’m the bartender she tried to bring you into the bar to meet but I wasn’t there that day 😭,0.0,1.0,0.0,0.0,NEU
Departing Port Canaveral on Utopia of the Seas Monday?,0.0,1.0,0.0,0.0,NEU
So rain and more rain I guess I'll take the dogs out to play in the puddles,0.138,0.862,0.0,0.34,POS
"So it MIGHT rainf for dayyyysss lol",0.318,0.682,0.0,0.4215,POS
"Planning a fishing trip Saturday, will being on the water be ok Saturday?",0.167,0.833,0.0,0.296,POS
So Disney is inland enough to just have rain??,0.0,1.0,0.0,0.0,NEU
So what kind of rain totals for paasco county?,0.0,1.0,0.0,0.0,NEU
Flooding oceanfront condo in Madeira Beach?,0.0,1.0,0.0,0.0,NEU
What is Panama City Beach looking like Sunday-Thursday?,0.263,0.737,0.0,0.3612,POS
When would it be expected to make landfall ?,0.0,1.0,0.0,0.0,NEU
"Can you show what you consider the bay area, and big bend area",0.0,1.0,0.0,0.0,NEU
Will it rain on Key West this weekend,0.0,1.0,0.0,0.0,NEU
Cruising to Bahamas this weekend,0.0,1.0,0.0,0.0,NEU
So like it’s just another rainy day? Why are we talking about this then? Haha,0.316,0.617,0.067,0.7053,POS
What about the Florida keys?,0.0,1.0,0.0,0.0,NEU
My house and street floods with normal rain 🙁,0.0,1.0,0.0,0.0,NEU
My plants are loving all this rain. I'm good with it ☔🪴😊,0.405,0.595,0.0,0.7783,POS
Driving from St Augustine to Sarasota on Monday midday? Iffy?,0.0,1.0,0.0,0.0,NEU
"YO D PHIL!!! My hurricane season dawg!!",0.0,1.0,0.0,0.0,NEU
When does rain start?,0.0,1.0,0.0,0.0,NEU
How will the beach be in treasure island next week? Will it be too rainy ? I need beach time.,0.129,0.806,0.065,0.3094,POS
"We'll be driving home from Virginia on Monday in our motorhome, staying Monday night in Savannah. Any thoughts about issues??",0.0,1.0,0.0,0.0,NEU
Storm surge on Sunday/Monday?,0.0,1.0,0.0,0.0,NEU
Is citrus County in the big bend?,0.0,1.0,0.0,0.0,NEU
