"TROPICS | NHC continues to update the area they expect development with this tropical wave as the models shift west. After highlighting areas east of Florida yesterday, the latest model shift west has the NHC now looking into the eastern Gulf. Any development likely not occurring until the weekend at the earliest. (Note: I mentioned a comparison to Elena in 1985 on DPL last night.  Too early to know for sure, but whatever forms could easily stall and possibly even loop in the Northern Gulf. We could be dealing with a messy rainmaker for quite awhile next week)",Pos,Neu,Neg,Compound,Overall Sentiment
Thank you so much ! Moved down 2 years ago and follow you all the time. Went to see you at the Straz center and have your T shirts 😊,0.1,0.9,0.0,0.4199,POS
"look at you ! Becoming a Floridian by following Denis Phillips!!
😊😊",0.0,1.0,0.0,0.0,NEU
"Since this is still a few days out, are you thinking by Friday afternoon, the path should be more concrete?",0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you sir. Appreciate all you do.,0.426,0.574,0.0,0.6369,POS
great question!,0.815,0.185,0.0,0.6588,POS
"Thank you for the update, but this is definitely not the news we were hoping for. I hope that you are “resting up” as I’m sure that we’ll be seeing a lot of you. So grateful for all that you do.
☀️🌀🌪️⚡️🌈☔️",0.373,0.627,0.0,0.9649,POS
agreed,1.0,0.0,0.0,0.2732,POS
"Denis, thank you for your updates! I appreciate it. If we need to prepare for any storms that actually come our way we have time to prepare in advance. Best of all is your calm approach to our weather situations.",0.255,0.745,0.0,0.8999,POS
"We wanted to go to summer waves water park in Jekyll island Georgia on Sunday.
Denis, I know this doesn’t seem important, but it is, because it’s my granddaughters birthday.
Should we change our plans? Are we in the clear for Sunday?",0.117,0.883,0.0,0.6322,POS
You will know more tomorrow!,0.0,1.0,0.0,0.0,NEU
cancel and run for the hills. It may rain.,0.0,0.8,0.2,-0.25,NEG
I mean it is a water park lol. But I don’t want any lightening! ⚡️ 😁,0.267,0.733,0.0,0.3903,POS
I've only been a FL resident for 2 years but my friend told me upon landing at TPA that Denis Phillips was THE only meteorologist to listen to in the Tampa area. I'm so glad I took his suggestion ☺️,0.215,0.785,0.0,0.891,POS
eve been here 4 months!! I've been told not to get alarmed until Denis Phillips does!,0.172,0.828,0.0,0.4427,POS
Exactly! Rule#7,0.0,1.0,0.0,0.0,NEU
Denis is factual…. Plus he has endless energy during a “concerning” weather event! 👏🏼👏🏼👏🏼👏🏼👏🏼,0.166,0.834,0.0,0.3382,POS
comes from the diet Dr Pepper 😅,0.0,1.0,0.0,0.0,NEU
good friend! I tell everyone also!,0.69,0.31,0.0,0.7707,POS
you are being guided good 😊,0.42,0.58,0.0,0.4404,POS
Definitely! Some of the hysteria in social media about this is not only ridiculous but misleading. DP doesn't steer us wrong & no hysteria. Rule#7,0.186,0.47,0.344,-0.7721,NEG
he is the BEST,0.622,0.378,0.0,0.7125,POS
your friend is right !,0.538,0.462,0.0,0.5411,POS
Getting really concerned about an early Tuesday flight in to Sarasota .. hoping whatever this turns out to be is cleared out by then!!,0.179,0.821,0.0,0.5837,POS
Denis Phillips That's good to hear. We fly onto Fort Lauderdale Tuesday night. We are supposed to get on the cruise ship Thursday.,0.116,0.884,0.0,0.4404,POS
Denis Phillips You’re the best! Thank you! No freaking out until you say so 😁,0.327,0.449,0.224,0.508,POS
we are flying out of tpa early Wednesday am. Fingers crossed!,0.0,1.0,0.0,0.0,NEU
"Denis Phillips, we’d would love a good recap of 1985 Elena. We had a one year old baby plus my mother and brother had to evacuate from Treasure Island to stay with us. It seemed like it took forever to quit wobbling in the Gulf and move on! Thank you!",0.257,0.743,0.0,0.9311,POS
I remember Elena - was my first storm after we moved to FL.,0.0,1.0,0.0,0.0,NEU
"mine too.. moved here with my family in March of 1985. I was 15 and my first of many hurricanes. Didn’t like the first one, and NEVER liked any!!",0.098,0.828,0.074,0.1906,POS
what category was ELENA? I moved here from CO and been through IRMA (my first hurricane) and IAN a cat 5. A 6 if there would have been such a category @ 179 mph winds in North Port. 😢,0.0,1.0,0.0,0.0,NEU
I think it was a cat three when it made landfall in Mississippi. I would have to look it up to be sure,0.108,0.892,0.0,0.3182,POS
I lived in Port Richey then and we got beat up for 3 days before it decide to take off and go north. Never came on shore there.,0.0,1.0,0.0,0.0,NEU
mine too. Moved here in July. What a welcome since our apartment flooded and we had to get out 🤨,0.15,0.85,0.0,0.4588,POS
my first storm too.,0.0,1.0,0.0,0.0,NEU
Mine too.,0.0,1.0,0.0,0.0,NEU
what was it like? I wasn’t even born yet so I have no clue. Trying to figure out what to compare it to.,0.104,0.792,0.103,0.0056,NEU
Traveling to Pensacola from Arkansas August 3-10 for our honeymoon. How concerned should we be?,0.0,1.0,0.0,0.0,NEU
Will you be in a boat?,0.0,1.0,0.0,0.0,NEU
"it’ll be a tropical storm. No hurricane watch right now. Your concern should be a flight cancellation or delay when you arrive. Otherwise, pack for wet weather 🙂",0.0,0.836,0.164,-0.5423,NEG
were driving. So that works out. Fingers crossed it just clears up 🤞🏽🤞🏽,0.098,0.902,0.0,0.0772,POS
"ahhhh. That’s much better for you! It is looking like a strong rain storm for a two days (as u understand from Denis’ regular updates).
You guys may have some rain for a couple of days, but then beautiful sunny weather. Enjoy your honeymoon and congratulations. 🎉",0.415,0.585,0.0,0.9772,POS
Happy Honeymoon in advance-- nothing like starting life together with an adventure--blessings.,0.234,0.633,0.133,0.3798,POS
Driving home to SRq from ATL on Sunday should we change plans to return earlier? Trying to figure out timing of the storm.,0.0,1.0,0.0,0.0,NEU
yikes. That will be a yucky drive home!! Good luck!!,0.445,0.378,0.176,0.6449,POS
yes we will need more than luck I’m afraid,0.461,0.539,0.0,0.7165,POS
Does it appear to go toward Carolina and east?,0.0,1.0,0.0,0.0,NEU
less likely than yesterday,0.0,1.0,0.0,0.0,NEU
I was planning on possibly mowing the yard Sunday. Will I be okay or do you think I should delay it a few days? 😂😂😂,0.082,0.819,0.099,-0.1027,NEG
Denis Phillips that’s exactly what I did! Mowed today and just in time because it’s pouring in St Pete.,0.0,1.0,0.0,0.0,NEU
"I would wait because with all the rain, it’s just going to grow so fast. 😂",0.0,1.0,0.0,0.0,NEU
I’m moving this weekend 😓,0.0,1.0,0.0,0.0,NEU
huge mistake highest car and homeowners insurance in country now,0.181,0.63,0.189,-0.0258,NEU
I don’t understand what you’re getting at ,0.0,1.0,0.0,0.0,NEU
"she lives in Florida lol just moving locations",0.286,0.714,0.0,0.4215,POS
"Expect nothing less, we are in Florida you just go with the flow",0.0,1.0,0.0,0.0,NEU
Flying into Tampa Friday night flying out Wednesday night - is my vacation going to be a wash out? 😬 power outages?,0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you! Trying to find my #7. 😬😳🤣,0.237,0.763,0.0,0.4199,POS
yes,1.0,0.0,0.0,0.4019,POS
it’s not supposed to arrive until Sunday. Did I miss an update?,0.0,0.862,0.138,-0.1531,NEG
it already rains everday here the next week in half gonna be a complete wash out,0.0,1.0,0.0,0.0,NEU
week and a half ? We come the 10th,0.0,1.0,0.0,0.0,NEU
You will arrive before the storm and leave after. It’ll be fine.,0.138,0.769,0.092,0.1531,POS
Denis Phillips I'm scheduled to fly SNA (John Wayne - Orange Country CA) to TPA (home) Monday. Any thoughts? I'm trying to decide if I change my flight. This is when I wish I could see the future.,0.076,0.924,0.0,0.4019,POS
Denis Phillips Wow. You need to add Flight Planner and Weather Good Guesser to your list of things you do. 😊,0.271,0.729,0.0,0.7717,POS
my daughter is scheduled to fly in from Calgary via Denver on the red eye. He flight is scheduled to land in Tampa Monday 5:30am. Wondering if I should move her flight as she is 16 traveling alone and would hate her to get stuck in Denver airport by herself because her flight get cancelled.,0.0,0.838,0.162,-0.8271,NEG
Im also trying to decide if I should change my Monday flight home to TPA. 🤪 I don’t want to take a chance on flight delays nor stormy flights.,0.125,0.875,0.0,0.3182,POS
"Flying into Orlando on Monday afternoon from the UK, do I need to be concerned about possible flight cancellation because of this?",0.0,1.0,0.0,0.0,NEU
Denis Phillips Thank you... i'll continue to keep everything crossed!,0.237,0.763,0.0,0.4199,POS
Denis Phillips flying out of TPA on Tuesday. Ultimately headed to Europe with connection in Philly. Also have clients flying same route on Wednesday. Thoughts?,0.0,1.0,0.0,0.0,NEU
Denis said in his last video not to cancel any Orlando plans.,0.137,0.863,0.0,0.1877,POS
"same, we might be on the same flight, so concerned!",0.0,1.0,0.0,0.0,NEU
"I'm supposed to fly back to Tampa on Monday morning but now trying to decide if I should even leave here on Saturday morning. I need to be back here on Monday for sure!! So many questions, so few answers 🤔",0.087,0.882,0.032,0.4997,POS
I would say hard yes,0.443,0.328,0.23,0.3182,POS
absolutely.,0.0,1.0,0.0,0.0,NEU
same,0.0,1.0,0.0,0.0,NEU
Hi Dennis Im in nature Coast will it hit here by Monday Tuesday. Flight flying out of Tampa on Tuesday ????,0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you,0.455,0.545,0.0,0.3612,POS
Visiting AMI Saturday -Thursday and need to cancel flights tomorrow if it will be a wash out all week. Any thoughts?,0.0,0.905,0.095,-0.25,NEG
same,0.0,1.0,0.0,0.0,NEU
Spending the 8th-12th at Anna Maria island. Should we reschedule our trip? Not sure how long this storm will linger and if there is a high risk of flooding and unfavorable conditions behind the storm. Thanks,0.074,0.821,0.104,-0.0418,NEU
we’re coming from St Louis 8/3-8/10. I’m worried it’s going to be a washout of a family vacation🥺,0.0,0.872,0.128,-0.296,NEG
So how is it looking for flights coming into Sarasota on Sunday? We don't arrive until 4:30. 😶,0.0,1.0,0.0,0.0,NEU
What’s the chances of this developing into a tropical storm? Any high winds expected?,0.153,0.847,0.0,0.2869,POS
"Denis Phillips we are coming to Anna marie island on Saturday for a week should we consider cancelling our plans? I have been following you and the weather channel and it looks like just rain for a few days",0.065,0.888,0.047,0.1779,POS
"following. We’re coming Saturday too.",0.0,1.0,0.0,0.0,NEU
following,0.0,1.0,0.0,0.0,NEU
We leave for a cruise out of Port canaveral Sunday morning. Do you think it will be fine? Are we going to have real rough seas?? (TIA),0.085,0.871,0.044,0.2824,POS
"Flying out on Sunday morning, think there will be flight delays?",0.0,1.0,0.0,0.0,NEU
Denis Phillips Thank you weather GOAT!!,0.381,0.619,0.0,0.4738,POS
you're best bet is to watch storm and check with the airport.,0.276,0.724,0.0,0.6369,POS
"as long as your not heading to Cuba lol",0.259,0.741,0.0,0.4215,POS
"Hoping to get out for some fishing on Sunday morning. If you could hold this thing back until after 2:00, that would be wonderful😉",0.109,0.891,0.0,0.4215,POS
Denis Phillips I am supposed to be flying into Fort Myers Monday morning/early afternoon.. do you think I should prepare for a cancellation?,0.0,1.0,0.0,0.0,NEU
A few days ago I saw a Canadian model that said Mobile Bay was the most likely. Is there a chance that this system will get that far to the left?,0.071,0.929,0.0,0.25,POS
I have a flight out on Monday. What are the chances my flight is canceled,0.13,0.87,0.0,0.2023,POS
Denis Phillips thanks Denis. I’ve really appreciated your insight as these storms develop and move through the cone of uncertainty.,0.251,0.657,0.093,0.624,POS
I have to be in Orlando for Sunday night. Should I leave Tampa area on Saturday or Sunday morning Kristin?? 🤭🤭,0.0,0.92,0.08,-0.1431,NEG
What rain might occur Sunday eve driving across state on I 75,0.0,1.0,0.0,0.0,NEU
Denis Phillips big thank you!,0.411,0.589,0.0,0.4199,POS
Is the DR going to be ok? I have clients there.,0.196,0.804,0.0,0.296,POS
Denis Phillips thank you!,0.482,0.518,0.0,0.4199,POS
So are we expecting rain all day every day next week? It’s my first visit to the states (staying in Crystal River) and have no idea what to expect!,0.0,0.918,0.082,-0.3595,NEG
Does that impact Treasure Island,0.355,0.645,0.0,0.296,POS
What about The Acres?,0.0,1.0,0.0,0.0,NEU
just prepare and watch closely. We always try to have supplies on hand. Unfortunately denis can’t predict our small area. ):,0.121,0.682,0.197,-0.25,NEG
so is it this Sunday coming up that we’re see weather from it or possibly could or is it the following weekend?,0.0,1.0,0.0,0.0,NEU
Storm surge…Shore Acres???,0.0,1.0,0.0,0.0,NEU
"Denis Phillips ok, cool…so no real issue of surge or flooding from surge?",0.143,0.714,0.143,0.0,NEU
Any concerns with Orlando area and Tarpon Springs Weds-Saturday next week?,0.0,1.0,0.0,0.0,NEU
We're driving to Disney and plan on arriving Saturday morning from NC. Should we try to reschedule or go for it? Please don't make fun of me- I'm not a Florida native 😂,0.068,0.853,0.079,-0.1032,NEG
Is this supposed to make Saturday an all day rain day? Or is this not gonna affect until Sunday going into next week,0.0,1.0,0.0,0.0,NEU
Supposed to be in PCB Sunday- Thursday of next week. I am thinking this is not the ideal place to be.😟,0.0,0.873,0.127,-0.4168,NEG
When would we be affected by this? Going out of town this weekend and worried about not getting back Sunday night,0.0,0.833,0.167,-0.4215,NEG
Denis Phillips We are flying home from FLL Sunday afternoon do you think we’ll be ok?,0.128,0.872,0.0,0.296,POS
Hi we are travelling into Orlando international for Disney from the uk on the 6th aug until the 17th and apprehensive we are coming into a storm ?,0.0,1.0,0.0,0.0,NEU
Flying into Destin Aug 6th staying to the 12th will we have issues?,0.0,1.0,0.0,0.0,NEU
"Elena caused alot of problems for us, personally, here in New Port Richey. Thank you, Dennis, for all you do. .",0.108,0.776,0.116,-0.0516,NEG
"I'll never forget Elena.Mike was born as she was sitting 50 miles off the coast here. My MIL house was flooded, many flooded west side of 19.",0.06,0.94,0.0,0.1695,POS
"was Mike born during the storm? Omg! We had to stay with my parents and the winds knocked down her huge arborvite trees. I saw it happen during the night. My husband, Dad and my son slept through it. Mom and I were up all night. I actually knew when Elena was finally on the move....I could feel the pulling in my body. Sounds strange, but I did. I even said to Mom it was moving out. Gosh, it was stalled for maybe 3 days?",0.02,0.928,0.052,-0.3822,NEG
"it was just swirling off the coast. I was scheduled for a c-section. We drove to Northbay with not 1 other car on the road, trees down everywhere. It was just a light rain.",0.0,1.0,0.0,0.0,NEU
Can we get something that shows a little timing? Not only for florida but up both coasts as well?,0.15,0.85,0.0,0.4606,POS
seriously? The course is going to keep changing. Rule #7,0.0,0.841,0.159,-0.1779,NEG
Is a staycation out at Clearwater beach this weekend a wash?,0.0,1.0,0.0,0.0,NEU
All these people freaking out...LOL. Its gunna be mostly a rain event for the bay area.,0.0,0.833,0.167,-0.4215,NEG
"For some of us, even those who do not live in flood zones, our homes, streets, etc. do flood. I wish that wasn't the case but we are not lucky enuf to live in hurricane/stormproof homes. In Sarasota, during the last rain event that happened about a month ago, we had huge flooding issues in a new house we moved to even tho it's way out of the flood zone. There's nowhere for that much water to go. So, unfortunately some of us do panic and feel anxious during heavy rainstorms like this one coming our way.",0.074,0.802,0.124,-0.7534,NEG
"This is a larger issue, if normal summer storm impact you, then that is a city planning issue, allowing buildings and not accounting for storm drainage. P.S. I am sorry that is happening at your new house.",0.0,0.962,0.038,-0.0772,NEG
The rain event in June wasn’t a normal summer storm. It was a 1000yr storm in Sarasota. Design standards are typically for a 100yr storm.,0.0,1.0,0.0,0.0,NEU
Loop in the northern gulf? Please no U Turn hurricanes,0.2,0.609,0.191,0.0258,NEU
Going on a cruise out of Port Canaveral 3-10 should we be good?,0.209,0.791,0.0,0.4404,POS
Traveling to St Pete’s beach next week. Will we have bad weather for the entire week?,0.0,0.811,0.189,-0.5423,NEG
yes it already rains everyday anyway will be major flooding,0.231,0.769,0.0,0.4019,POS
following same!,0.0,1.0,0.0,0.0,NEU
We are due to fly from Ireland to Orlando on Wednesday…. Do you think it’ll be cancelled - sorry maybe it’s too soon to tell,0.0,0.87,0.13,-0.3182,NEG
"Wait, I thought the 'loop' was out of play???",0.296,0.704,0.0,0.4479,POS
Leaving on a cruise Sunday to Key West(Monday)and then Mexico. What are your thoughts please. Thank you,0.255,0.745,0.0,0.5859,POS
"Remember Elena well. Labor Day weekend, family reunion",0.231,0.769,0.0,0.2732,POS
What day do you expect to come close to Pinellas?,0.0,1.0,0.0,0.0,NEU
whatever day it is that you have something planned Vicki. That’s the way it always is. 😂,0.0,1.0,0.0,0.0,NEU
of course.,0.0,1.0,0.0,0.0,NEU
Are there any storm surge concerns on the beach side in Pinellas?,0.0,1.0,0.0,0.0,NEU
"Any impact on Mobile, AL? Big junior tennis tournament there begins on Sunday until following Saturday.",0.0,1.0,0.0,0.0,NEU
"I remember Elena in 1985. It sat for a while wobbling around in the gulf by Cedar Key , while dumping rain in Gainesville!",0.0,0.885,0.115,-0.3802,NEG
"Hey Denis, my daughter is flying home from CT Monday night. Do you think she’ll have a problem with her flight?",0.0,0.876,0.124,-0.4019,NEG
We are scheduled for vacation the 4th thru 9th in Orange Beach AL. Should we be canceling at this point?,0.0,1.0,0.0,0.0,NEU
"Soooo I was going to paddle out of Clearwater Saturday and watch a concert
Not a good idea, eh?",0.0,0.862,0.138,-0.3412,NEG
I remember Elena passing Tampa Bay and then circling back towards the coast.,0.0,1.0,0.0,0.0,NEU
Do you think the storm will have passed by Thursday? One week from today? I’m considering changing my travel plans to arriving Thursday instead of Sunday. Please help if you can!,0.163,0.837,0.0,0.686,POS
What city could have the stop of the storm?,0.0,0.784,0.216,-0.296,NEG
huh?,0.0,1.0,0.0,0.0,NEU
Gosh I remember Elena. So much rain. I was 7 years old and still remember to this day. The fire departments rode around telling everyone to Evacuate.,0.0,0.906,0.094,-0.34,NEG
"I was 5 and remember the fire trucks too!",0.0,0.69,0.31,-0.4003,NEG
crazy right!,0.0,0.271,0.729,-0.4003,NEG
Thank you Denis for keeping us all updated. I wish there was a way to get rid of the 😲 emoji though,0.234,0.766,0.0,0.6369,POS
I hope it's not another Elena. That was ridiculous! I think it just kept looping around for 4 days. Tore up the Courtney Campbell causeway completely.,0.12,0.787,0.094,0.1759,POS
Will this affect Sarasota?,0.0,1.0,0.0,0.0,NEU
"We are flying to ft lauderdale on the 8th to board a cruise the 11th in miami, think there will be any issues?",0.0,1.0,0.0,0.0,NEU
What about Key West tomorrow-Mon?,0.0,1.0,0.0,0.0,NEU
Thanks for update. So this could definitely linger past Tuesday next week? I fly I into fort Myers on Tuesday? Hopefully 🙏,0.358,0.642,0.0,0.837,POS
Timing of it hitting our area? Have friends flying in.,0.256,0.744,0.0,0.4767,POS
"Too many factors to predict this far out. Effects will start this weekend, but a lot depends on how much land it drags over and what happens when it hits the warm waters of the gulf.",0.063,0.882,0.055,0.0772,POS
"Wow, I remember Elena. How long was that in the Gulf? Denis Phillips",0.257,0.743,0.0,0.5859,POS
"yes, Denis Phillips, would love a good recap of 1985 Elena. We had a one year old baby plus my mother and brother had to evacuate from Treasure Island to stay with us. It seemed like it took forever to quit wobbling in the Gulf and move on!",0.265,0.735,0.0,0.9299,POS
And we all laughed at the GFS. 🤷🏻‍♀️,0.3,0.7,0.0,0.4588,POS
"f it does enter the western gulf and strengthens, is there anything going on that could veer it to the right into the SWFL coast? I’m sure it’s always a possibility but just wondering the odds",0.102,0.898,0.0,0.3919,POS
they have no idea at this point. It shifted west over night. They will know more tomorrow I’m thinking,0.0,0.891,0.109,-0.296,NEG
I think we will be ok in swfl,0.268,0.732,0.0,0.296,POS
Anything could happen -- could hit the FL west coast or head over to Texas/Mexico. Your guess is as good as theirs.,0.121,0.879,0.0,0.4404,POS
"Just throwing this out there... thank goodness Denis Phillips doesn't use his meteorological abilities for the dark side. All these comments asking about canceling flights, not coming to FL, etc... he could seriously mess with peoples lives and potentially herd people to their demise, if he wanted to. Better hope he doesn't turn to the dark side one day.
Rule #7 people... and remember, this is Florida 😅",0.172,0.774,0.054,0.8442,POS
"Coming to treasure island tomorrow night from
NJ and leave from TPA Monday evening. Should I cancel?",0.12,0.707,0.174,0.0,NEU
Dennis I’m suppose to be in a business trip starting Sunday should I be worried about leaving my family in parrish?,0.0,0.891,0.109,-0.296,NEG
"Hi Denis! I’m sure you’re extremely busy with the upcoming storm, but I was hoping this would distract you.
The Lutz 8u Softball All Star team, went undefeated in districts, States and just won the Babe Ruth World Series!
We are having a surprise celebration for the girls at the Lutz Softball fields Friday night.
Oscar Cooler Softball Fields at 630. Please share and spread the word!
No other Lutz Softball team has ever done this!",0.218,0.721,0.061,0.9368,POS
"How will Sunday be driving from Savannah, Georgia to Winter Haven, Florida?",0.0,1.0,0.0,0.0,NEU
Hi Denis can you please answer me i was wondering if you think i will be fine flying from Newark nj on the 7th into TPA,0.157,0.843,0.0,0.4767,POS
I'm flying out of Tampa on Friday morning and back into Tampa on Sunday night. I am not going to be a happy camper if this messes up my trip 😢,0.121,0.879,0.0,0.5719,POS
Ohhh gosh I do remember Elena I think it sat 90 miles of the mouse of Tampa Bay for 3 days ... my mom's house flooded and they had to bring bulldozers to clear the Courtney Causeway!!! Denis Phillips correct me if I'm wrong I was a bit younger LOL,0.135,0.806,0.059,0.6006,POS
Surge in Tampa?,0.0,1.0,0.0,0.0,NEU
