"Friday Evening Tropical Update:
1. No changes to our post earlier today.  Things are proceeding as forecast. Tropical Storm force winds for our area. (Think afternoon tstorms)  If the NHC track is accurate,  the storm would stay over water longer and could even become a low end hurricane before making landfall in the Big Bend area. Our winds would be the same although Citrus could be higher.
2. The timing of our squally weather will be Sunday morning through the evening. Track ranges from landfall around Sarasota to the Big Bend Area. Regardless of the exact track, wind and rain will be about the same. (30 to 40ish)
3. Surge of 1-3 feet is possible and unfortunately, yet again, the tide is high when the storm approaches.  The exact track DOES matter on this. If it stays offshore longer, the storm will get stronger and the surge could be a bit higher in Citrus and Levy counties. If ""Debby to be"" goes onshore sooner, the resulting surge would be lower across the entire area. 
4. Expect rainfall of anywhere from 2 to 6 inches with some spots higher and some lower. That's just the nature of any tropical system that comes through Florida.
5. We will be in the NE quadrant so there is always the chance we could see a waterspout (or tornado) or 2. 
6. Bottom line, this is more of a nuisance for most people. There could be some power outages...just as we often see during our thunderstorm season. Do I expect widespread issues?  I don't...at least not for the Bay Area.
7. Rule #7. (Don't freak out unless I'm freaking out, we're fine)  We live in Florida, this goes with the territory.  We got this.",Pos,Neu,Neg,Compound,Overall Sentiment
"Thank you so much. In northern Polk County. No matter how mild, for some reason we are always on the right side and always get something",0.125,0.799,0.076,0.1027,POS
My understanding is big shift in the track west coming at 11,0.0,1.0,0.0,0.0,NEU
yes and then again everyone will have been worried over absolutely nothing. I've only lived here 3 years but learning to only watch 1 day out for any accuracy.,0.065,0.879,0.056,0.0644,POS
Tampa hasn't been directly hit since 1921. Watching the tracks over the years you start to understand why. Unfortunately the big bend area is in arms way which is a common track.,0.0,0.926,0.074,-0.34,NEG
"newbie here. What area is the big bend?",0.0,1.0,0.0,0.0,NEU
the coast marked in blue. It's where the coast bends south out of the panhandle.,0.0,1.0,0.0,0.0,NEU
thank you.,0.714,0.286,0.0,0.3612,POS
this whatcthe model is doing now,0.0,1.0,0.0,0.0,NEU
oh yea,0.0,1.0,0.0,0.0,NEU
Appreciate your honesty!! When you said you weren’t putting your pool furniture away I was happy because I really didn’t want to either! Thanks.,0.468,0.532,0.0,0.9319,POS
"Well we are Leaving Citrus county tomorrow morning heading to treasure island till Monday for my husbands birthday and our anniversary but this will be memories and just have the best time no matter what ❤️ feel bad for cedar key though if they get it to bad , some of the town is still trying to recover from last year 🙏 Be safe and Be smart ! God Bless ❤️",0.258,0.61,0.132,0.8702,POS
North Gilchrist county here!! Even though I don’t live in your area I stalk your page like this storm is stalking us 😂🐢. Thanks for being so clear and concise with your info and making it easy to understand!!! This storm is gonna go right over us but nothing we can’t handle. 💚,0.164,0.836,0.0,0.7906,POS
I don't mind but I have to drive in the rain to work 😭,0.0,1.0,0.0,0.0,NEU
"As someone who has to work at noon on sunday in the valrico area, how fast am I expecting winds to be driving to work?",0.0,1.0,0.0,0.0,NEU
Thank you Denis!!! Business as usual for this pizza loving family!!!🍕🥰,0.457,0.543,0.0,0.8209,POS
eating Jordan’s leftovers! Best pizza BackDraughts Wood Fired Pizza Tarpon Springs 😋,0.263,0.527,0.211,0.2244,POS
Grandson is flying out of Raleigh NC Monday morning. Wondering what their weather will be like?,0.143,0.857,0.0,0.3612,POS
I live about an hour from Raleigh and we are getting this Tuesday according to the weather channel,0.0,1.0,0.0,0.0,NEU
thank you!!!,0.771,0.229,0.0,0.5229,POS
My coworker is going on a cruise Sunday. I asked if she was worried about the weather. She said until Denis Phillips freaks out I’m good. Lol,0.188,0.693,0.119,0.4767,POS
We were just notified on our cruise out of Cozumel this evening that we won’t be returning to Port of Tampa until Monday am due to the storm.,0.0,1.0,0.0,0.0,NEU
safe travels hun! We're supposed to leave Monday there🙏🏽,0.28,0.614,0.105,0.4574,POS
well you just get to have more fun a couple more days ￼!!! Be safe,0.463,0.537,0.0,0.858,POS
"hope you packed some extras!!",0.466,0.534,0.0,0.5399,POS
"which ship you on?",0.0,1.0,0.0,0.0,NEU
Margaritaville Islander,0.0,1.0,0.0,0.0,NEU
oh shoot! I know some people won’t be happy to board on Sunday if the ship isn’t back,0.187,0.701,0.112,0.3802,POS
Can we expect the 1-3 of surge along the northern bay?,0.0,1.0,0.0,0.0,NEU
I think the storm pasco had this evening will be worse than Debbie! 🤞🏻 that was some crazy lightning!,0.0,0.725,0.275,-0.7256,NEG
yes! That storm was bad. The one we had Monday night was really bad too,0.123,0.546,0.332,-0.68,NEG
Walmart has Little Debbie's on sale😆,0.0,1.0,0.0,0.0,NEU
I remember when they were around $2.. hopefully in the near future they will be back down again,0.144,0.856,0.0,0.4019,POS
I’m supposed to fly out of Tampa at 1:00 on Sunday 🙏🤞🙏,0.0,1.0,0.0,0.0,NEU
"that isn't happening",0.0,1.0,0.0,0.0,NEU
I’m glad you’re not a weather expert or an airport manager 🤪,0.25,0.75,0.0,0.4588,POS
I have goat yoga at 2 pm on Sunday. What are the chances that the goats will be too scared to come out in the wind? 😅,0.067,0.824,0.109,-0.2732,NEG
What about the new center? I heard an Orlando meteorologist say Cat 2 wouldn’t shock him.,0.0,0.833,0.167,-0.3818,NEG
the mb went down to 980 said possible hurricane on other weather guy,0.0,1.0,0.0,0.0,NEU
several other meteorologists are saying possible hurricane. Even if it isn’t one. At least we were warned to be prepared and not sitting home thinking we’re just getting some “squally” weather.,0.058,0.879,0.064,-0.0516,NEG
yes lol,1.0,0.0,0.0,0.6705,POS
Tampa Bay is not getting a hurricane. He said earlier it may be a low level hurricane further up into the Big Bend area.,0.0,0.909,0.091,-0.2732,NEG
exactly. Denis downplays every storm cause god forbid he makes people freak out.,0.121,0.578,0.301,-0.4767,NEG
then why are you following him?,0.0,1.0,0.0,0.0,NEU
cause he posts other good info. He’s funny. He’s just not my go to person for these storms…,0.266,0.734,0.0,0.7003,POS
"His forecasts are generally extremely accurate with no hype. He discusses all possibilities on his lives and news coverage and people only hear a quarter of what he says and run with it. He specifically has been saying it may be a low level hurricane further up into the Big Bend area.",0.0,0.913,0.087,-0.552,NEG
exactly,0.0,1.0,0.0,0.0,NEU
Sounds like snacks and good sleeping weather to me.,0.435,0.565,0.0,0.6597,POS
perfect sleeping weather!,0.666,0.334,0.0,0.6114,POS
Can you please let Southwest Airlines know this so my flight doesn’t get delayed tmrw?! Haha,0.273,0.634,0.093,0.5707,POS
"Thank you Denis for all you do God bless you and your family 🙏🏼",0.402,0.598,0.0,0.7506,POS
Guess I am gonna get soaked getting out of work Sunday at 1:45. LOL.,0.227,0.773,0.0,0.5473,POS
I just need to know if you’re anticipating coastal flooding like that cold front,0.172,0.828,0.0,0.3612,POS
Way worse this time,0.0,0.492,0.508,-0.4767,NEG
quiet,0.0,1.0,0.0,0.0,NEU
I’m in the Savannah area and school starts Monday- I wonder if there will be a delay on that 🥴,0.0,0.874,0.126,-0.3182,NEG
"may not hit at all..",0.0,1.0,0.0,0.0,NEU
fingers crossed 🤞,0.0,1.0,0.0,0.0,NEU
Do you think flights will go out Sunday at 3:00?,0.0,1.0,0.0,0.0,NEU
as always the best weather person,0.457,0.543,0.0,0.6369,POS
It shifted more west.,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips you're greatly appreciated,0.549,0.451,0.0,0.7264,POS
"Love 💕 you Dennis flying out Monday am ..no worries 🌻",0.3,0.5,0.2,0.34,POS
Currently on a cruise coming into Port Canaveral. Bumpy and a little windy. Will I be fine driving to Tarpon springs tomorrow morning?,0.087,0.913,0.0,0.2023,POS
What about Bean Point in AMI?,0.0,1.0,0.0,0.0,NEU
"my question too!",0.0,1.0,0.0,0.0,NEU
"Thoughts on hernando county?",0.0,1.0,0.0,0.0,NEU
sure you follow Denis Phillips with weather. He’s the best!!!,0.48,0.52,0.0,0.8114,POS
"Just a regular evening at Clearwater Beach, Florida",0.0,1.0,0.0,0.0,NEU
what an amazing capture!! Beautiful!!’,0.554,0.446,0.0,0.7156,POS
Cool!,1.0,0.0,0.0,0.3802,POS
"pretty.",1.0,0.0,0.0,0.4939,POS
New center developed south of cuba taking more of a west track. I doubt we get anything.,0.0,0.848,0.152,-0.3612,NEG
It's turning away lol we probably won't even get rain 😂😂,0.219,0.781,0.0,0.4215,POS
We’re supposed to fly into Tampa tomorrow afternoon for vacation in Indian Rocks. Thoughts? Should we look at cancelling? First time heading there and don’t k ow the area well.,0.079,0.864,0.058,0.168,POS
"if your airline doesn’t cancel then you’re good. You’ll have some hefty winds and rain, but then you’ll be good.",0.239,0.7,0.062,0.6486,POS
"But no evacuation / storm surge, right? How bad do the beaches get?",0.0,0.558,0.442,-0.8364,NEG
"they have not issued evacuations, and it’s not predicated they will. We have a beach place in Indian Shores. Still make your trip. The weather will be windy and rainy for a few to several hours on Sunday, but then it will pass. And it’s not predicated to be any worse weather than we get with a regular summer rain storm.",0.0,0.914,0.086,-0.6486,NEG
"Denis Phillips I’m driving back from Columbia, South Carolina on Sunday….how out of luck am I?? 😂",0.183,0.817,0.0,0.5204,POS
"I'm driving back from Myrtle beach, sc Sunday. 😬😬😬😬",0.0,1.0,0.0,0.0,NEU
Simply more evidence that Tampa has the top weatherman in America. Outstanding information!,0.356,0.644,0.0,0.7263,POS
St. Nicholas will keep us safe He always does ☦️🙏🏼,0.244,0.756,0.0,0.4404,POS
And the turtle stalking continues for a bit longer. lol. 🐢,0.259,0.741,0.0,0.4215,POS
Thank you Sir! 🌿 Very grateful for your service towards us all. ✔️✔️,0.378,0.622,0.0,0.7257,POS
Saw the other post saying it shift westward a bit more now as the cyclone already entered the water south of Cuba,0.0,1.0,0.0,0.0,NEU
Thank you 🙏🏼,0.556,0.444,0.0,0.3612,POS
You are the best! Thank you.,0.636,0.364,0.0,0.7901,POS
"I’m taking my brother to Tampa airport Sunday later morning leaving from Nokomis. We need to go over the Skyway bridge, being newer to the area, do they close the bridge if winds get over a certain mph?",0.055,0.945,0.0,0.2732,POS
Yes. Flights probably won't go out or will be delayed. Only the airport can determine that.,0.145,0.753,0.102,0.2023,POS
I just need to know how Monday is going to look 🤷🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"Just another day in paradise",0.512,0.488,0.0,0.6369,POS
Are you in the path of this?,0.0,1.0,0.0,0.0,NEU
"My concern is Orlando??",0.0,1.0,0.0,0.0,NEU
"Denis Phillips , just a thought 🤣🤣",0.0,1.0,0.0,0.0,NEU
This is not comforting news for citrus county 🥵🥵,0.0,0.78,0.22,-0.3089,NEG
But will there be rain at Disney? (I kid🤣😂😂),0.0,1.0,0.0,0.0,NEU
"my kid isn't, she wants to go on Kali River Rapids IN a tropical storm 😂😂😂🤦🏼‍♀️😂😂😂",0.0,1.0,0.0,0.0,NEU
might I suggest a poncho for that one. 🤣😂🤣☔️🌧️,0.0,1.0,0.0,0.0,NEU
Not worried here at all in Pasco county. Good cleaning day. Stay safe everyone ❤️,0.39,0.61,0.0,0.7709,POS
"Thank you so much.
Peace of mind is priceless.",0.473,0.527,0.0,0.7414,POS
I just hope we get Some rain. This storm is just teasing us,0.204,0.704,0.092,0.3818,POS
Latest Models moved it more west,0.0,1.0,0.0,0.0,NEU
"Greetings from St. Simons Island, GA. Thanks for all the updates and info. Looks like Monday for us. Appreciate the earlier map with the Little Debbie's snack cakes logo; but now I think I have to go stock up on a few boxes, just in case.",0.16,0.84,0.0,0.6652,POS
I panic bought all the toilet paper Publix had so I'm prepared and ready for this.,0.234,0.601,0.165,0.0972,POS
On my way! To buy a generator from Home Depot I’ll try to return Tuesday even thou it clearly states no returns,0.124,0.785,0.091,0.2003,POS
I must have gotten there first - they still had some!,0.0,1.0,0.0,0.0,NEU
Why!? This isn’t COVID.,0.0,1.0,0.0,0.0,NEU
"https://livereports.today/qsd7df",0.0,1.0,0.0,0.0,NEU
Expecting a shift west at 11,0.0,1.0,0.0,0.0,NEU
"What about NE Florida, Jacksonville/Orange Park area?",0.0,1.0,0.0,0.0,NEU
I think we’ll get maybe a thunderstorm,0.0,1.0,0.0,0.0,NEU
"oh, like we have been getting? Lol",0.515,0.485,0.0,0.6486,POS
yeah but probably for a little longer. We have been getting lots of thunder and lightning lately!,0.112,0.888,0.0,0.2244,POS
Thank you for the updates.,0.385,0.615,0.0,0.3612,POS
Dang that's close to citrus we don't want the eye,0.0,0.88,0.12,-0.0572,NEG
"It’s going to be a nuisance storm.",0.0,1.0,0.0,0.0,NEU
"i’m always stressed in SE marion county
Flood zone",0.0,0.769,0.231,-0.34,NEG
"Thank you, Denis! Take care of your voice!!!",0.534,0.466,0.0,0.7825,POS
Here's a question I am not sure you have had before. I've been working on getting a new garden ready for mostly native wildflowers. I am ready to plant. Is it better to bring all the plants inside before the storm or go ahead and plant them? My yard does tend to get a few inches of rain pile up but it tends to drain rather quickly.,0.084,0.893,0.023,0.4532,POS
"I would just wait and plant afterwards, rather than take a chance with them. Because a plant is native doesn't mean it will survive extreme weather, and since these would be newly planted, they won't be firmly rooted. I was just telling someone today that gardening teaches patience, and this is another example.",0.04,0.96,0.0,0.25,POS
"yes, fish tanks and gardening, both require a lot of patience! I'll just bring the plants inside... I've waited this long, what's another weekend, lol",0.208,0.792,0.0,0.6996,POS
bring them inside before planting - the winds can blow seeds and newly planted flowers away,0.0,1.0,0.0,0.0,NEU
"if native, they may be ok. They are adapted to the various rainy seasons",0.142,0.774,0.084,0.2263,POS
Got my snacks ready!,0.482,0.518,0.0,0.4199,POS
It’s like Idalia all over again! We flooded in Crystal River last August and I have neighbors who are still trying to make repairs or rebuilding. 😭,0.104,0.896,0.0,0.4199,POS
Rule #7,0.0,1.0,0.0,0.0,NEU
I’m in Crawfordville/Tallahassee.. I’m freaking out 😭,0.0,0.641,0.359,-0.4215,NEG
you guys get the better side. Unless you’re off the coastal highway/rivers/shell point you should be good. Watch your local news for more specifics. With that said I know my in laws have had lots of power issues during storms so plan for that.,0.124,0.876,0.0,0.7003,POS
Why? You're going to be fine.,0.265,0.735,0.0,0.2023,POS
"Tis the season!",0.0,1.0,0.0,0.0,NEU
"Thank you for keeping us updated",0.333,0.667,0.0,0.3612,POS
You always make things seem better.,0.367,0.633,0.0,0.4404,POS
It shows the low possibly shifted or shifting south over the water a bit. Models are shifting a little more west now which means stronger in the panhandle but farther west of the bay. Do u agree? Just came out a little bit ago. Thanks DP for all you do.,0.163,0.807,0.03,0.7878,POS
"Goodnight Denis Phillips , get some sleep. Thank you",0.263,0.737,0.0,0.3612,POS
8hrs ago it was going to hit Sunday at 8am. Now it’s Sunday at 2pm. Nothing is set in stone,0.0,1.0,0.0,0.0,NEU
"I’m so confused. This seems like a nothing storm, yet my husband and multiple other units of first responders have been deployed and are heading to Florida. 🤷🏻‍♀️",0.083,0.831,0.086,-0.024,NEU
yup and shelters are opening up tomorrow for this too,0.0,1.0,0.0,0.0,NEU
I get shelters. But the number of fema units deploying for this seems off balance for what they’re actually expecting. Idk 🤷🏻‍♀️,0.066,0.862,0.073,-0.0387,NEU
all this to say we live in the Midwest currently but have lived in Tampa bay and know storms haha,0.174,0.826,0.0,0.6124,POS
They always declare a state of emergency just in case when warnings are issued.,0.0,0.696,0.304,-0.5859,NEG
oh I know but he deploys with FEMA a lot and they never get sent this early especially for something getting projected to be this “little “. It just seems so odd this time how many trucks are being sent.,0.0,0.903,0.097,-0.6107,NEG
"Honestly, with the way the models are looking, they should head to the Carolinas.",0.188,0.812,0.0,0.4588,POS
As far as I know the caravan of 10 ambulances being sent with his company are heading to the panhandle.,0.0,1.0,0.0,0.0,NEU
Sunset Tonight at Fred Howard Beach,0.0,1.0,0.0,0.0,NEU
"So basically my wife was wrong, 4 inches is indeed a lot!",0.0,0.726,0.274,-0.5255,NEG
My husbands birthday is Sunday and while I would enjoy a nice TS on my birthday that’s not exactly his idea of a great day.,0.347,0.653,0.0,0.8779,POS
"not much you can change about it!!!",0.0,1.0,0.0,0.0,NEU
Almost ready to shift west so we get nothing …,0.216,0.784,0.0,0.2975,POS
We're coming back home from VA on Monday morning. I hope everything is OK by the time we get there. I don't wanna be driving during the storm with 2 kids and a new born in the car,0.154,0.846,0.0,0.7034,POS
I think you need these in your hurricane survival kit!😆,0.0,1.0,0.0,0.0,NEU
"We need to come up with a DPL drinking game
Take a drink when:
Denis drinks DDP
""GFS cha-ching""
Denis mentions love affair with the Euro
My Cousin Vinny quote
....",0.13,0.87,0.0,0.6369,POS
so basically you’re just going to drink.,0.0,1.0,0.0,0.0,NEU
"I was originally thinking adding ""is my flight going to be delayed?"" but then we'd all be dead in the first 4 minutes, lol",0.125,0.675,0.201,-0.5023,NEG
Just a bunch of calm croutons (all inclusive) As long as his tie is vertical rule #7 is in full effect,0.108,0.892,0.0,0.3182,POS
I am in Nokomis - perhaps I can sleep thru most of it Saturday night if the wind is not too bad.,0.137,0.863,0.0,0.431,POS
https://livereports.today/qsd7df,0.0,1.0,0.0,0.0,NEU
Tocaboga,0.0,1.0,0.0,0.0,NEU
Thanks for the onfo,0.492,0.508,0.0,0.4404,POS
Is WAFFLE HOUSE OPEN,0.0,1.0,0.0,0.0,NEU
"Lake city again ,",0.0,1.0,0.0,0.0,NEU
"If we ever see you freaking out, what the heck do we do then? 😂😂😂",0.0,0.833,0.167,-0.4215,NEG
"just pray for south Tampa",0.365,0.635,0.0,0.3182,POS
🙏🏼🙏🏼🙏🏼,0.0,1.0,0.0,0.0,NEU
"Hopefully, I remember to wear my rule #7 t-shirt tomorrow. 😊😊",0.231,0.769,0.0,0.4019,POS
where did you buy the Tshirt? TIA,0.402,0.598,0.0,0.6166,POS
"I do t remember for sure. It’s been a few years, but I think he has a shop.",0.121,0.879,0.0,0.1655,POS
All models are shifting west......good news!,0.0,1.0,0.0,0.0,NEU
Thanks for including surge info.,0.42,0.58,0.0,0.4404,POS
Thank you for keeping us informed!🌪️🌨️,0.358,0.642,0.0,0.4199,POS
What will Sat night be like for outdoor concerts,0.238,0.762,0.0,0.3612,POS
"at this time concert is still on ,so not so funny of a question. I just found this out",0.0,0.827,0.173,-0.5201,NEG
Thanks for the new update!!! ❤️,0.43,0.57,0.0,0.5826,POS
I can go to bed and know everything is fine. Thank yiu,0.323,0.677,0.0,0.5106,POS
As Denis Phillips said STOP OVERREACTING and FREAKING OUT. DISNEY IS STILL OPEN. Means we're gonna be okay lol.,0.18,0.573,0.247,-0.4149,NEG
"Thats good one",0.592,0.408,0.0,0.4404,POS
here now lol,0.583,0.417,0.0,0.4215,POS
"Ok Denis, I’ve trusted you since 2004 and you never steered me wrong. I trust your expertise and common sense. THANK YOU. 🙏",0.473,0.527,0.0,0.9244,POS
storm changed,0.0,1.0,0.0,0.0,NEU
"You're the best. Everyone else is gloom and doom, but you're not that way. It's very much appreciated. My family is always thankful for you Denis Phillips",0.324,0.569,0.107,0.8851,POS
Thank you,0.714,0.286,0.0,0.3612,POS
the only person I follow/listen to,0.0,1.0,0.0,0.0,NEU
Should I feed my donkeys Saturday afternoon or Sunday morning? Very important,0.173,0.827,0.0,0.2716,POS
Sounds like a Normal Florida Summer Weather to me.👍😘,0.263,0.737,0.0,0.3612,POS
The center is further south. The 00z models are showing this. You might have to change your thinking.,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips . I tell all my friends to just watch you. You are no BS and tell it like it is. Love Rule #7! These other weather people and wannabes are hyping it up creating unnecessary anxiety for some of our newbie Florida's.,0.266,0.664,0.07,0.8977,POS
"I'm at the Ga/FL line, all good, and I've got friends in middle Ga that are freaking out! Why???",0.267,0.624,0.109,0.6164,POS
"Stay safe and dry everyone! Rule #7",0.347,0.653,0.0,0.4926,POS
