A Tropical Storm Warning is now in effect for all of West Central Florida including Tampa Bay. This means Tropical Storm conditions are expected within 36 hours. A Hurricane Watch is now in effect from Yankeetown north to the Aucilla River.,Pos,Neu,Neg,Compound,Overall Sentiment
Zephyrhills safe from strong winds? Thank you so much Denis for all you do for us 😊,0.401,0.599,0.0,0.8271,POS
"Thank you for updates.",0.455,0.545,0.0,0.3612,POS
Thank you,0.714,0.286,0.0,0.3612,POS
They really shouldn't use blue on blue... It's super difficult to see at all and on night mode screens it totally disappears 🫤,0.139,0.676,0.185,-0.0754,NEG
Awwwe man. On VACA n Flying into FLL later tonight with my child then driving home to PH (palm harbor - Tampa Bay Area for the person who found my question funny) .. Do you think we will be grounded and not be able to fly in tomorrow night ?,0.0,1.0,0.0,0.0,NEU
"I am getting ready to board. Was delayed an hour due to weather, according to someone in FLL.",0.129,0.773,0.098,0.1531,POS
"it's possible. Check with your airline",0.0,1.0,0.0,0.0,NEU
I have been checking. No mentions. Just worried. Uuugh. Thank you Betty,0.168,0.537,0.295,-0.2263,NEG
you're welcome.,0.75,0.25,0.0,0.4588,POS
"Girl keep chking. Have a Safe trip back home..",0.293,0.707,0.0,0.4404,POS
Margaritaville At Sea has extended our 5 night cruise to a 6 night cruise. Port of Tampa is closed.,0.0,1.0,0.0,0.0,NEU
"Denis You are one Special Person ! Thank You!",0.491,0.509,0.0,0.6988,POS
"We are from the Netherlands. Tomorrow, Sunday we have to drive from Davenport, via Tampa to Cape Coral. Is it safe?
Sorry but what is the difference between watch and warning?",0.056,0.81,0.133,-0.3939,NEG
a watch means you have all the ingredients to make a taco. A warning means the taco is made.,0.0,0.862,0.138,-0.34,NEG
thanks,1.0,0.0,0.0,0.4404,POS
I love that explanation!!,0.705,0.295,0.0,0.6988,POS
"that's an oldie lol",0.483,0.517,0.0,0.4215,POS
you must like taco Tuesdays. 🙂,0.385,0.615,0.0,0.3612,POS
I do lol,0.737,0.263,0.0,0.4215,POS
"hi Jennifer. If you can travel today, you may want to. Tomorrow will be a mess.",0.077,0.774,0.149,-0.296,NEG
unfortunately we can’t,0.0,0.455,0.545,-0.34,NEG
"Thank you Denis Phillips ...
we appreciate your round the clock weather reports you give every time when needed...try to get some rest...",0.198,0.802,0.0,0.6369,POS
"Keep in going left!!!!!",0.0,1.0,0.0,0.0,NEU
Hoping with that westward shift they'll decide not to move those warnings any further east.,0.156,0.722,0.122,0.1531,POS
"Do you ever sleep?? Thanks for all you do!",0.307,0.693,0.0,0.5502,POS
"Thanks Denis Phillips. We know we can count on you to deliver the “necessary/accurate” information we need!
Stay safe. #7",0.253,0.747,0.0,0.7263,POS
"Is TIA going to close? I am to head home Sunday. Ugh! All stay safe. Thank you, Denis!",0.388,0.504,0.108,0.8029,POS
oh I will. I just thought I would ask. Thank you.,0.263,0.737,0.0,0.3612,POS
Stay safe,0.744,0.256,0.0,0.4404,POS
On no 🥺🙏,0.0,0.476,0.524,-0.296,NEG
"Thank you for the update",0.385,0.615,0.0,0.3612,POS
"at least not in hurricane watch lol",0.318,0.682,0.0,0.4215,POS
"Denis Thank you so much for all you to to inform & prepare us!",0.189,0.811,0.0,0.4199,POS
Brooksville will hopefully be spared the bad winds and most of the rains 🤞🏽🤞🏽🤞🏽be safe everyone else♥️,0.242,0.606,0.152,0.2732,POS
