"Afternoon update:
 1. Lots of folks just got a Storm Surge Warning alert. High tides will rise through the afternoon. A surge between 2 and 4 feet seems reasonable in some spots at high tide. 
2. No changes to track. Rain bands will move through the area all day and night. Again, inland gets much less. Total amounts along the coast will be in the 4 to 8 inch range. 
3. Tornado threat with outer bands will continue this afternoon and evening. 
4. As for landfall, the Big Bend area will see Debby move onshore around 8am Monday morning. Winds will be in the 90 mph range. Not as strong as Idalia, but definitely packing a punch. I expect Tallahassee to see winds around 65 mph. 
5. Folks with kids at FSU and FAMU, expect power outages on Monday. With winds of 65-75 mph, there will be trees down in some spots, but the worst will be to the East.
6. Our weather will begin improving on Monday. We'll be on tv all day and updating online as well.",Pos,Neu,Neg,Compound,Overall Sentiment
my son is leaving work in South Tampa at 2 and wants to go back to St. Pete over the Howard Frankland. I am so nervous! It’s pretty bad right now. Wish they would close them temporarily!,0.14,0.705,0.155,-0.1684,NEG
"where did you see high tide is at 2PM.
Every tide chart available states it was at 12:25.
Genuinely curious, I see people repeating what you’re saying.",0.084,0.916,0.0,0.3182,POS
Old Port Tampa buoy data.,0.0,1.0,0.0,0.0,NEU
"perfect, thank you.
Madeira was 12:25.",0.608,0.392,0.0,0.7351,POS
"missed your reply.
Thank you as well.",0.426,0.37,0.204,0.34,POS
"Thank you for the continuous updates",0.333,0.667,0.0,0.3612,POS
"So far not much besides mild rain in Clearwater",0.0,1.0,0.0,0.0,NEU
"What about the wind speed here in Jesup Georgia, in wayne county ?",0.0,1.0,0.0,0.0,NEU
Love that you give us so much love time and attention during these storms! So appreciated😍,0.391,0.609,0.0,0.8741,POS
so true! Love Denis Phillips!,0.731,0.269,0.0,0.8464,POS
"Thanks Denis, even tho I'm in Central Florida, you're updates help a lot.",0.359,0.641,0.0,0.6808,POS
Can it still have a chance of switching East?,0.222,0.778,0.0,0.25,POS
"no",0.0,0.0,1.0,-0.296,NEG
Thanks for all of your updates!!,0.411,0.589,0.0,0.5399,POS
"What about winds in Pinellas County?",0.0,1.0,0.0,0.0,NEU
"they’ll blow. Put your blue tape up, eat your peanuts and pray😂",0.0,1.0,0.0,0.0,NEU
haha. How you doin’,0.5,0.5,0.0,0.4588,POS
were fine. Going to check Jacobs house rn. Worried about Shore Acres.,0.129,0.714,0.157,-0.1027,NEG
Denis Phillips do you expect TPA open tomorrow for incoming flights by the afternoon?,0.0,1.0,0.0,0.0,NEU
I expect you to call the airport! 🙄🙄,0.0,1.0,0.0,0.0,NEU
"Thank you
Truly appreciate the updates",0.73,0.27,0.0,0.7964,POS
"Ugh I’m so over this storm!",0.0,0.618,0.382,-0.4753,NEG
"Thank you for what you're doing, Denis!",0.318,0.682,0.0,0.4199,POS
How long is this storm expected to last?,0.0,1.0,0.0,0.0,NEU
"five years, 4 months, & 18 days 😁",0.0,1.0,0.0,0.0,NEU
Whats the timing for storm surge in Pinellas County?,0.0,1.0,0.0,0.0,NEU
The tide is high but I'm holdin' on.... 😅,0.0,1.0,0.0,0.0,NEU
stealing and crediting!,0.243,0.152,0.606,-0.5255,NEG
I'm not sure why I live fire up in Tampa in Forest hills and I'm getting a storm surge warning to evacuate on my phone why and scaring the hell out of me,0.0,0.646,0.354,-0.9226,NEG
About a dozen phones went off with alerts over a 5 min period during service this morning.,0.0,1.0,0.0,0.0,NEU
What time will tampa/lutz see the worst?,0.0,0.594,0.406,-0.6249,NEG
Thank you from Crystal River!!! 😊,0.458,0.542,0.0,0.5229,POS
It's pouring here in Wimauma.,0.0,1.0,0.0,0.0,NEU
"Thank you Dennis you are the best!",0.583,0.417,0.0,0.7901,POS
"""Rain with a name"" Nailed it, once again! 😆",0.0,1.0,0.0,0.0,NEU
"Had about 3ft of water on our road in Pinellas Park",0.0,1.0,0.0,0.0,NEU
"Thank you for the updates!",0.411,0.589,0.0,0.4199,POS
It’s currently pouring in Orlando,0.0,1.0,0.0,0.0,NEU
Love your common sense approach and reaching out to the parents who have students at FSU and FAMU!,0.282,0.718,0.0,0.7424,POS
"When will it reach central Jersey",0.18,0.82,0.0,0.0258,NEU
So straight forward! Thank you!! You’re the best!! 💦☔️💨🌪️🌟,0.632,0.368,0.0,0.884,POS
So glad to see you live. Ty,0.541,0.459,0.0,0.7089,POS
Thank you Denis for all the info!!!,0.36,0.64,0.0,0.5229,POS
"On point number 4, is this more along the lines of Hermine in 2016? Where it became a hurricane just before landfall?",0.077,0.923,0.0,0.168,POS
Thanks for you and your team. Blessings,0.561,0.439,0.0,0.7506,POS
Love you Denis!!! You keep me sane through all of this!,0.349,0.651,0.0,0.7482,POS
"High tide was at 12:25.",0.0,1.0,0.0,0.0,NEU
"You're the best Denis",0.583,0.417,0.0,0.6369,POS
Best update I’ve seen!,0.6,0.4,0.0,0.6696,POS
Mad Beach had high tide at 1230 this afternoon NBD.,0.213,0.562,0.225,-0.0431,NEU
Thanks We Love and appreciate Y'all & You're Families,0.662,0.338,0.0,0.8689,POS
"Pouring in St Pete some wind gust",0.0,1.0,0.0,0.0,NEU
"Thank You For The Up date",0.333,0.667,0.0,0.3612,POS
"Still fine here in Holiday",0.6,0.4,0.0,0.5423,POS
"same in lutz just some rain but stopped now",0.0,0.773,0.227,-0.3291,NEG
"thank you for the updates !",0.411,0.589,0.0,0.4199,POS
"Chomping at the bit 😂 watching you on tv now",0.0,1.0,0.0,0.0,NEU
what station?,0.0,1.0,0.0,0.0,NEU
"it was 20 something on mine he’s about to go live here",0.0,1.0,0.0,0.0,NEU
"Hi, Denis! Thank you for your reporting! With a child at UF, another in SWFL, I follow you! What impacts do you anticipate for UF? Son went up early this year! Thank you!",0.175,0.825,0.0,0.7326,POS
Thank you. 😊,0.714,0.286,0.0,0.3612,POS
"Still quiet and dry in Zephyrhills... winds are picking up",0.0,1.0,0.0,0.0,NEU
thankful I was able to pick up my dad's prescription this morning.,0.27,0.73,0.0,0.5719,POS
Wesley Chapel it's getting heavy rain and some winds.,0.0,1.0,0.0,0.0,NEU
yup we went out and did yard work,0.0,1.0,0.0,0.0,NEU
"Keeping busy while the creek is creeping up in the backyard.",0.0,1.0,0.0,0.0,NEU
Bake now while we still have power! I think I'll go start some cookies!😜,0.0,1.0,0.0,0.0,NEU
"I'm not expecting to lose power with this one, looks pretty chill out there to me. And we have a backup generator that will handle everything but the A/C (which is great and sad at the same time, lol).",0.197,0.715,0.087,0.6404,POS
do you have sandbags?,0.0,1.0,0.0,0.0,NEU
"oh we have allllll the things now. Reusable flood barriers and reusable water-filled ""sandbags."" We have not deployed anything yet, but we are keeping a close eye. Thanks for asking!",0.129,0.871,0.0,0.63,POS
PS Everything is now deployed 😅,0.0,1.0,0.0,0.0,NEU
Hope you get a cat nap Denis! Thanks for the updates,0.432,0.568,0.0,0.7263,POS
Watching from Amelia Island,0.0,1.0,0.0,0.0,NEU
And WV! 😄,0.0,1.0,0.0,0.0,NEU
Rain being pushed into my sliders and getting into the room a bit. Plastic and towels now down. N NE St. Pete (54 Ave/4th St N),0.0,1.0,0.0,0.0,NEU
"Kids helped with plastic and sandbags on the outside...be safe all",0.225,0.775,0.0,0.4404,POS
Thank you for all you do to keep us informed and calm,0.324,0.676,0.0,0.5859,POS
I know you’ve got your eye on the storm,0.0,1.0,0.0,0.0,NEU
yes....high tide was at 1238pm today....raining since 11 AM,0.0,1.0,0.0,0.0,NEU
Thanks Denis your the best Rule #7,0.587,0.413,0.0,0.7964,POS
I wish you could report for sc too 😂,0.31,0.69,0.0,0.4019,POS
"follow Mike's Weather Page for other areas (he is not a meteorologist, but he is heavily involved with weather)",0.0,1.0,0.0,0.0,NEU
I already do! We moved out of Tampa bay but still have many family and friends. Up in sc everyone is panicking and I'm over it. Lol I need Dennis.,0.22,0.676,0.104,0.6476,POS
We are getting one squall after another. Wind gusts and pouring rain gradually easing off to a steady sprinkle then winding up again. Ground is thoroughly saturated. Pool is overflowing. Temp has dropped to 77 degrees.,0.056,0.944,0.0,0.25,POS
Where?,0.0,1.0,0.0,0.0,NEU
Venice,0.0,1.0,0.0,0.0,NEU
I'm really sad what the storms do to the wildlife.. One of my local crane buddies is dead on my dock..,0.0,0.712,0.288,-0.8268,NEG
so sad,0.0,0.228,0.772,-0.5256,NEG
"Got a fish on my driveway",0.0,1.0,0.0,0.0,NEU
can u get it back to the water.?...😔😔,0.0,1.0,0.0,0.0,NEU
poor guy !!!! 😞,0.0,0.319,0.681,-0.6449,NEG
"Walking catfish, don’t touch!",0.0,1.0,0.0,0.0,NEU
omlll,0.0,1.0,0.0,0.0,NEU
"#5 because Denis Phillips cares about your safety, my darling daughter. ♥️♥️♥️",0.516,0.484,0.0,0.8625,POS
Thank you to Denis🙏,0.455,0.545,0.0,0.3612,POS
Squalls up on the Harris Chain of lakes,0.0,1.0,0.0,0.0,NEU
"For those that already passed high tide (Johns Pass) are we in the clear or do we need to be concerned about tomorrow?",0.106,0.894,0.0,0.3818,POS
thankfully “high tide” isn’t that high right now!,0.306,0.694,0.0,0.4753,POS
"I take that back, my app wasn’t looking at the right area! 🤦🏽‍♂️",0.0,1.0,0.0,0.0,NEU
when did you move back,0.0,1.0,0.0,0.0,NEU
"Parrish, FL carport",0.0,1.0,0.0,0.0,NEU
In Lakeland Highlands...We keep getting a blank TV screen with EAS along the top (emergency alert system) and no alert being given. So I'll have to follow you on FB Dennis.,0.18,0.756,0.064,0.4588,POS
same here in Riverview I have spectrum and it keeps going out with that screen then coming back after about 20-30 minutes,0.0,1.0,0.0,0.0,NEU
"Um….You forgot to post rule #7
😜",0.0,1.0,0.0,0.0,NEU
Denis Phillips missing you on tv currently,0.0,0.732,0.268,-0.296,NEG
Leave it to the Federal Government to mis-spell Debbie! 🤪,0.0,0.843,0.157,-0.126,NEG
"Power out East lake woodlands",0.0,1.0,0.0,0.0,NEU
"Thank you for always being on top of things, getting the word out but mostly for being a calming voice",0.295,0.705,0.0,0.6908,POS
bless you and make sure your hydrating and eating and taking a rest,0.338,0.662,0.0,0.6249,POS
"Thanks for the update",0.492,0.508,0.0,0.4404,POS
"Have any of you received a flight cancellation for tomorrow yet?
I know people today who had cancellations. Thank you!",0.141,0.859,0.0,0.4199,POS
"Daughter had her 7am flight cancelled last night to JFK and it was clear & nice all morning. Now, have her booked at 8pm.
I'm thinking that will be cancelled too.",0.153,0.734,0.113,0.34,POS
We have an early flight into TPA tomorrow morning and no CX so far. But mid-morning flights today (DFW to TPA) were CX rather than delayed.,0.0,0.859,0.141,-0.4497,NEG
"What about South Tampa? I know it easily floods in different areas there, grew up on that side of town. What's Bayshore look like?",0.2,0.8,0.0,0.644,POS
I’ll put money on the fact that Bayshore Boulevard will be under water.,0.0,1.0,0.0,0.0,NEU
Thats what I'm assuming as well. Its happened many times. I grew up in So. Tampa and have seen how flooded it can get. I bet Henderson and Dale Mabry will be bad and still people have to get out and drive in this mess and what happens they get stuck in a flood. 🙄 we are in Carrollwood its really raining big time and hasn't let up for almost 2 hours now. Not much gusty winds but we are inside dry and safe with our cats and little Havanese. Stay safe!!,0.102,0.839,0.059,0.7308,POS
"Denis, know you're busy! Quick question for all...should I super cool my home before we lose power?",0.293,0.586,0.122,0.5848,POS
"Thank you so very much 🙂",0.385,0.615,0.0,0.3612,POS
Saturday's rain I got 1 inch of rain. The rain overnight until 2 pm today so far my house in Palm Harbor has received an additional 2 1/2 inches of rain. My pool is 1/2 inch away from overflowing. I guess my house is well on it's way to reaching the expected totals 🤣🤣. Storm surge should nit affect my street as we are 26 feet above sea level even so we are an 3/10's of a mile from Alt 19. I pray for those who are in Debbie's path and who are affected by the storm surge.,0.065,0.918,0.017,0.5574,POS
Yes and he is not an alarmist. Denis Phillips is on ABC which is spectrum Channel 11. But this is from his Facebook and Instagram Instagram that I follow.,0.064,0.936,0.0,0.2144,POS
"Quick question Denis, should I just go ahead and super cool the potato salad I just made or will room temp be okay, just in case the power goes out? Thank you for all you do. 🥂",0.261,0.739,0.0,0.8625,POS
cool it!,0.722,0.278,0.0,0.3802,POS
"Serve and eat now!🤣",0.0,1.0,0.0,0.0,NEU
"Feeling very safe in Dunedin but worried about our weekend home/farm in Live Oak, FL. Some of the homes up there are still not repaired from Idalia’s incredible damage last August and it looks as if Debby is going to take the same path. Idalia blew most of the Chestnuts off our 150+ trees, snapped our power pole like a matchstick, and tore down several other trees on our property.",0.085,0.824,0.091,-0.3619,NEG
Just lost power in Pinellas Park,0.0,0.685,0.315,-0.3182,NEG
"thanks for this, we are due to come there tomorrow.",0.244,0.756,0.0,0.4404,POS
yeah should be good tomorrow,0.63,0.37,0.0,0.6249,POS
where?,0.0,1.0,0.0,0.0,NEU
58th street between 94th and 102. I just looked on the Duke map and it’s only affecting about 78 or 79 houses,0.0,1.0,0.0,0.0,NEU
hopefully not too long,0.474,0.526,0.0,0.4019,POS
power trucks a nearby. 🤞,0.0,1.0,0.0,0.0,NEU
Heavy rain and a lot of wind in Dunedin,0.0,1.0,0.0,0.0,NEU
