"Here are the updated spaghetti models. Now that we have a center of circulation, the models (and track) should remain rather consistent.",Pos,Neu,Neg,Compound,Overall Sentiment
"so true, my sister's boyfriend is 20 min from the beach and water was up to the garage.",0.154,0.846,0.0,0.4754,POS
My neighbor evacuated from Sarasota to Cape Coral 🤦🏻‍♀️,0.0,1.0,0.0,0.0,NEU
I've been watching Denis since day 1... he's the only one I trust,0.231,0.769,0.0,0.5106,POS
well I'm in the path..under trees. Decided to get a hotel and go back to hopefully no damage,0.207,0.56,0.233,-0.1531,NEG
sending prayers,0.0,1.0,0.0,0.0,NEU
"I’m liking the looks of this model!
Yes, we will still experience rain bands, and yes, there still is the possibility of tornadoes (just like with any Florida storm). We are still looking good, in our area!
Prayers for those who are north of us. 🙏🏻",0.256,0.744,0.0,0.9199,POS
"I'm liking the looks of this too! I'm in Hudson and been keeping an eye on it, but I like this model!",0.23,0.77,0.0,0.6892,POS
"I’m flying into st Pete on Sunday night will I be okau",0.0,1.0,0.0,0.0,NEU
Call your airline! 😂,0.0,1.0,0.0,0.0,NEU
Will there be a pilot on board?,0.0,1.0,0.0,0.0,NEU
I will prepare in South Tampa for any storm surge. I am so worried about my house flooding again even with the flood mitigation I have done since the last one .,0.0,0.904,0.096,-0.4341,NEG
ditto,0.0,1.0,0.0,0.0,NEU
Text me if you want me to come help!! I can come today !,0.328,0.672,0.0,0.5962,POS
"triple",0.0,1.0,0.0,0.0,NEU
"Wow, it has shifted West. Hope it stays weak",0.429,0.385,0.186,0.5859,POS
"We are flying into Charlotte Douglas, then Orlando on August 10th...... I hope it will have dispersed by then",0.146,0.854,0.0,0.4404,POS
Coming from Cleveland Flying into Sarasota Monday staying in Siesta Key….will we be ok🤷🏻‍♀️clearly I’m not seasoned at this😂,0.0,1.0,0.0,0.0,NEU
"We are driving home to Sarasota from NJ. Left Statesville, NC this morning. I posted a screenshot of the notification I received. With that amount of rain local roads on the key will be flooded. Bridges closed possibly. There is a siesta key facebook page that would have better local info.",0.059,0.941,0.0,0.4404,POS
thank you so much!!,0.507,0.493,0.0,0.4738,POS
"Denis, thank you, you are the only one for the last 20 yrs I listen to. You have nailed it every time, again thank you.",0.185,0.815,0.0,0.6124,POS
Dennis... his name is Dennis... if anyone I know that should spell his name right... geez,0.0,1.0,0.0,0.0,NEU
pretty sure it is only one N,0.579,0.421,0.0,0.6705,POS
want to bet on that as well lol,0.554,0.446,0.0,0.6369,POS
Watching updates from Texas. What to expect around MCO? Better to fly in 10p Sunday or 11am Monday?,0.161,0.839,0.0,0.504,POS
"I have a flight into Charlotte, NC on Thursday. All good?",0.266,0.734,0.0,0.4404,POS
"Seriously?!?!",0.0,0.0,1.0,-0.3907,NEG
"What’s it mean for st Pete
Wind and rain I presume
But how severe? Should I put away the lawn stuff?",0.0,0.827,0.173,-0.5803,NEG
"Would you drive in this, Denis Phillips? I’m in Georgia for a horse show and we are supposed to head back tomorrow… 6 hours on 75. What would you do?",0.0,1.0,0.0,0.0,NEU
"Don’t laugh, it’s a legit question. I am not scared of these weather events but I want to know if it’s safe to drive on 75 all day!",0.314,0.686,0.0,0.8222,POS
it is never safe to drive I75.,0.0,0.714,0.286,-0.3412,NEG
driving into Florida in I-10 myself on Monday and debating if we wait a day,0.0,1.0,0.0,0.0,NEU
you will be fine,0.375,0.625,0.0,0.2023,POS
"Updated spaghetti model..",0.0,1.0,0.0,0.0,NEU
How far down can we expect storm surges? Heading to our shop today to take everything to higher ground. We don’t want a repeat of Idalia!,0.062,0.938,0.0,0.1511,POS
"Good Move Reba, they go from Aripeka north",0.293,0.707,0.0,0.4404,POS
Will we get rain?,0.0,1.0,0.0,0.0,NEU
"So...was euro right????...thanks for all you do...the best ❤️",0.392,0.608,0.0,0.7319,POS
Thank you!! I feel comforted knowing that you report your findings and try not to dramatize the situation which only leads to getting people nervous.,0.203,0.725,0.072,0.5837,POS
In Tampa now with plans to check in at Indian Rocks this afternoon. It sounds like we should be OK to continue as planned?,0.198,0.802,0.0,0.6633,POS
rain between 2pm today,0.0,1.0,0.0,0.0,NEU
Can it still bump or wobble West?,0.0,1.0,0.0,0.0,NEU
"Can this storm still turn more towards Tampa??",0.0,1.0,0.0,0.0,NEU
What does that mean for Pasco County a lot of rain?????,0.0,1.0,0.0,0.0,NEU
Does this mean out to sea before the northeast or still a possibility there?,0.0,1.0,0.0,0.0,NEU
"Thanks for your updates, you are Awesome",0.583,0.417,0.0,0.7906,POS
"Right side heavy?",0.0,1.0,0.0,0.0,NEU
"We are in NJ, and I always wonder about these models. Why do some of the “lines” stop and some keep going?",0.0,0.901,0.099,-0.296,NEG
"All day yesterday I was looking at that disorganized mess over Cuba and thinking how could anyone, let alone the computer models, predict a path this far north. My gut said we needed to wait to see where the center of the circulation develops. Thank you Denis for all your updates!",0.046,0.826,0.128,-0.5411,NEG
weather patterns are kinda easy to predict.. big storms dont steer themsekves..plus the Eastern Gulf is super warm..,0.289,0.711,0.0,0.7584,POS
God bless Tampa! Amazing!,0.903,0.097,0.0,0.8513,POS
Looks like it’s gonna kiss Va beach if it stays the way it is☹️☹️☹️,0.306,0.694,0.0,0.6486,POS
Where will the worst of the storm be?,0.0,0.631,0.369,-0.6249,NEG
i hope not anywhere near you or sandi 🙏💕,0.293,0.707,0.0,0.4404,POS
nope,0.0,1.0,0.0,0.0,NEU
"Big bend area . Panhandle",0.0,1.0,0.0,0.0,NEU
I’m in Delray Beach are we looking ok here,0.216,0.784,0.0,0.296,POS
"What are your thoughts on Apalachicola, St. George island and Tallahassee. Any chance of a “Michael”?",0.125,0.875,0.0,0.25,POS
"What about the 6 hour hook to East?",0.0,1.0,0.0,0.0,NEU
"not seeing that",0.0,1.0,0.0,0.0,NEU
"Doesn’t that track give it more time to strengthen?",0.243,0.757,0.0,0.3744,POS
"Whats the spaghetti policy here?",0.0,1.0,0.0,0.0,NEU
Denis Phillips when will we start to see rain in spring Hill thanks,0.195,0.805,0.0,0.4404,POS
"Thank you so much for being the voice of reason, and not panic! We love you in Sarasota!",0.24,0.621,0.139,0.3438,POS
I read this as “here are the updated spaghetti noodles” 😅,0.0,1.0,0.0,0.0,NEU
Absolutely 💯 I agree he is the bestiest. Bsafe Dennis n stay healthy ❤️,0.379,0.621,0.0,0.6697,POS
Thank you so much for updating us Denis. You are always there for us!!!!!,0.22,0.78,0.0,0.5673,POS
Yet can always turn.....,0.0,1.0,0.0,0.0,NEU
"So Florida is almost out",0.0,1.0,0.0,0.0,NEU
"Please stay away from Tampa Bay!",0.341,0.659,0.0,0.3802,POS
it will,0.0,1.0,0.0,0.0,NEU
"You are an amazing Meteroglist! Tampa Bay area is lucky to have you",0.385,0.615,0.0,0.784,POS
Thank you so much for being the voice of reason. So many try to hype up everything so people freak out.,0.101,0.77,0.129,-0.1725,NEG
"Will Disney close?",0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
money talks ! Keep the machine running.,0.0,1.0,0.0,0.0,NEU
"I doubt it. They will sell you an overpriced poncho though.",0.0,0.783,0.217,-0.3612,NEG
"I am
Driving to Disney tomorrow
From Myrtle beach seems like my only opportunity to leave should be just rain.",0.236,0.711,0.053,0.6249,POS
we are flying in tomorrow from DC 😬,0.0,1.0,0.0,0.0,NEU
Thanks for another update Denis‼️⛅️ We’ll see what my small Brdtn gets,0.209,0.791,0.0,0.4404,POS
"Until it doesn’t 😂",0.0,1.0,0.0,0.0,NEU
As usual these past few years there is really no telling where systems are going(except a broad generalization) until the last 24-36 hours and storm strength has been vastly underestimated. These arent your mothers hurricane seasons,0.08,0.804,0.115,-0.101,NEG
Yes they are. No more frequently or stronger. Keep the hysteria away from here.,0.269,0.484,0.247,0.1189,POS
"not sure what you are saying. Seems to be getting worse with the forecasting. Sure there’s no need to say the sky is falling, but experienced meteorologists should be able to do better",0.141,0.694,0.165,0.2661,POS
"Oh good, I only have to close my patio umbrella. 🏖️ Thanks for the info!",0.337,0.663,0.0,0.7263,POS
Not to be the negative one but we're all happy that it's going to pass us but it is still going to hit an area that hasn't fully recovered from the tornado a few months back.,0.125,0.817,0.058,0.5719,POS
"so basically for the same old afternoon thunderstorms, the Orlando area is in the clear?",0.157,0.843,0.0,0.3818,POS
I’ve commented several times that we are driving from southeast Pennsylvania to Orlando on I-95. Driving part way late today and finishing up Sunday hoping to arrive by late afternoon or earlier. Georgia and JAX are my only concern for 95-at the moment. Fingers crossed!!!!!,0.083,0.917,0.0,0.6083,POS
"Rule #7, the storm won't be anywhere near Jax tomorrow afternoon.",0.0,1.0,0.0,0.0,NEU
I like that rule!,0.583,0.417,0.0,0.4199,POS
I know! We hate DC traffic!!!! 495 is awful! Wild and crazy drivers!,0.0,0.467,0.533,-0.8825,NEG
"I guess right now I picked the right week to go to myrtle beach, not leaving for a week",0.0,1.0,0.0,0.0,NEU
but can we keep our eyes open!,0.0,1.0,0.0,0.0,NEU
"go to sleep early, everyone stays awake, then nap at the 1st rest area just into Virginia",0.0,1.0,0.0,0.0,NEU
"I know it is a rest area, but I get nervous when it’s nighttime! It’s my daughter, two of her kids and me. We’ll show it goes.",0.0,0.887,0.113,-0.4482,NEG
If you have a lick of sense you will stay off 95 Monday...at least the northern part,0.0,1.0,0.0,0.0,NEU
we have no plans to be on 95 on Monday.,0.0,0.804,0.196,-0.296,NEG
It’s amazing how this stuff is just now coming across the feed. Thanks meta for keeping us safe. At least the ads for stuff I never asked to see keep coming.,0.262,0.738,0.0,0.8625,POS
Thank you Denis for looking after us God Bless you,0.514,0.486,0.0,0.7506,POS
Surges?,0.0,1.0,0.0,0.0,NEU
"Yuck, not looking good for Wakulla, Leon, Jefferson and Taylor county coast. Tallahassee doesn’t need this after the tornado damage in May.",0.0,0.781,0.219,-0.6814,NEG
"Thanks for the good news pasta 🍝",0.592,0.408,0.0,0.7003,POS
🤞🙏 for all of us in these lines. Be safe in these states & my Georgia,0.172,0.828,0.0,0.4404,POS
"More to west at 11am",0.0,1.0,0.0,0.0,NEU
"What should we expect in gainesville",0.0,1.0,0.0,0.0,NEU
be safe,0.744,0.256,0.0,0.4404,POS
"I remember Ian was supposed to hit north of Tampa and then turned into Fort Myers",0.0,1.0,0.0,0.0,NEU
"Denis, you know by now how much we trust your word! Thanks always for helping us stay calm. Rule #7.",0.407,0.593,0.0,0.8748,POS
Safety first!🍝,0.756,0.244,0.0,0.4753,POS
We are good. Everyone is sw.florida.can relax now,0.492,0.508,0.0,0.7003,POS
My neighbor is driving home to St Pete from Sanibel tomorrow. This makes it seem ok.,0.128,0.872,0.0,0.296,POS
It will inch further west. When is the NHC just going to look at the UKmet. Lol.,0.149,0.851,0.0,0.4215,POS
"As usual it bears west and comes inland further north of us.",0.0,1.0,0.0,0.0,NEU
"This looks better, hopefully missing Polk County.",0.475,0.339,0.186,0.5267,POS
Denis my pretty blue long sleeve got ruined. Do you have long sleeved shirts,0.175,0.656,0.169,0.0258,NEU
I loved that shirt,0.661,0.339,0.0,0.5994,POS
Does Etsy have them ?,0.0,1.0,0.0,0.0,NEU
No,0.0,0.0,1.0,-0.296,NEG
"I don't even look at Spaghetti models, cause I can't understand them 🤔🙄🙂",0.0,1.0,0.0,0.0,NEU
"As with these storms, good news for us but bad news for others. The Panhandle 😢",0.099,0.66,0.241,-0.5859,NEG
"More specifically, FL Big Bend.",0.0,1.0,0.0,0.0,NEU
whatcha mean with the panhandle?,0.0,1.0,0.0,0.0,NEU
"So I have to work on Sunday, thanks a lot Dennis. It’s your fault. 🙄…😇",0.175,0.663,0.163,0.0516,POS
But the red vs blue could make a huge difference to surge prone people,0.197,0.803,0.0,0.4497,POS
No surprise,0.488,0.0,0.512,-0.0258,NEU
Awesome! Tampa out of the woods?,0.468,0.532,0.0,0.6588,POS
We are so lucky here in the bay! Praying for the north.,0.391,0.609,0.0,0.7512,POS
Thank you! 💖💖💖,0.583,0.417,0.0,0.4199,POS
Looks better for Tampa,0.492,0.508,0.0,0.4404,POS
"Weather Liars, pay my homeowners insurance, then we’ll talk",0.0,0.593,0.407,-0.5859,NEG
Everyone! Stay safe. Be vigilant. 🫂,0.62,0.38,0.0,0.5983,POS
Thank you for constantly keeping us informed and with a great attitude. Love the little Debbie’s. 😹,0.474,0.526,0.0,0.8957,POS
"you guys be on the watch for when she exits FL. ❤️",0.0,1.0,0.0,0.0,NEU
thank you.,0.714,0.286,0.0,0.3612,POS
These models never account for the hard right turn exit ramp between port charlotte and ft Myers.,0.0,0.92,0.08,-0.1027,NEG
"Good for Tampa Bay Area, not so good for the Panhandle long time over the Gulf!",0.143,0.692,0.164,-0.1079,NEG
Prayer answered,0.0,1.0,0.0,0.0,NEU
"Specifics for citrus county hopefully soon",0.351,0.649,0.0,0.4019,POS
"Go West, little Debby 😂",0.0,1.0,0.0,0.0,NEU
Jacksonville is a little different.,0.0,1.0,0.0,0.0,NEU
Thank you Denis Phillips. You are the best.,0.528,0.472,0.0,0.7717,POS
Husband has a flight coming in at 5 today from Marsh Harbor. Praying it’s not canceled. Thinking he should be okay 🙏🏻🙏🏻,0.196,0.804,0.0,0.5267,POS
"Seriously? This storm is nothing special.",0.0,0.503,0.497,-0.4512,NEG
"For those new to Florida, here's an image that best explains the difference between a Hurricane Watch and a Hurricane Warning.",0.178,0.72,0.102,0.4215,POS
