0z models coming in. The Northern Gulf coast needs to keep a close eye on this from the panhandle to NOLA. There's lots of very warm water in the Gulf and that translates to a lot of fuel. Should be able to pinpoint details by Friday. Rainfall amounts could very well be extreme across much of the state. We'll be updating 24/7 as always.,Pos,Neu,Neg,Compound,Overall Sentiment
What this really means is predictability has gone out the window. These water temps seem to be throwing everything into chaos. Imma prepare for a Cat 5 direct hit 😂😂,0.0,0.879,0.121,-0.5719,NEG
"That or a Spanish Inquisition, be prepared!",0.226,0.477,0.297,-0.1511,NEG
"except I am not putting up the hurricane shutters",0.0,1.0,0.0,0.0,NEU
What happened? This wasn't even looking like a Gulf Coast Storm yesterday.,0.0,0.826,0.174,-0.2755,NEG
When a storm hasn’t developed it’s common for models to shift dramatically,0.0,1.0,0.0,0.0,NEU
the GFS has had it coming into the Gulf since the models started. Euro had it a little stronger and going North into the Atlantic. Actually early this week the GFS had it hitting towards Galveston. Which is where I'm at so after Beryl I'm paying attention. lol,0.102,0.898,0.0,0.6258,POS
The whole gulf coast needs to watch for sure,0.223,0.777,0.0,0.3182,POS
yep and tomorrow could be headed for Texas🤷🏼‍♀️🤔 these storms now days....,0.167,0.833,0.0,0.296,POS
In other words it will be a hurricane by the time it gets around Florida its just nothing to worry about now.,0.107,0.893,0.0,0.3412,POS
Mother nature said watch me 🙂,0.0,1.0,0.0,0.0,NEU
she said “hold my mimosa”,0.0,1.0,0.0,0.0,NEU
"This is perfect! Thank you!",0.693,0.307,0.0,0.7772,POS
"Thank you, Denis. I know this is said all the time, but I’ll say it again. Can’t even express how much we appreciate you.!!💕💕",0.219,0.781,0.0,0.7081,POS
Well said!!! I soooooo agree with you and am so grateful!!!,0.579,0.421,0.0,0.8636,POS
agreed. I can't stand the hype of the other wannabe meteorologists. Cleaning up what I see. ☔,0.139,0.861,0.0,0.2732,POS
"Does this storm have enough time to turn into a major hurricane?🌀",0.0,1.0,0.0,0.0,NEU
maybe,0.0,1.0,0.0,0.0,NEU
is this major hurricane potential ? I'm in the panhandle in Perry . Where lovely Idalia made it's landfall last year. Could we be looking at something similar or is this more of an expected tropical storm ?,0.109,0.891,0.0,0.6322,POS
I don't think they are talking hurricane.,0.0,1.0,0.0,0.0,NEU
"yes, they are....",0.574,0.426,0.0,0.4019,POS
... likelihood of a strong hurricane?,0.452,0.548,0.0,0.5106,POS
where did he say likelihood of a strong hurricane 🤦‍♀️ cause I read the post and I don’t see the word “hurricane” in it,0.142,0.858,0.0,0.5106,POS
too early to tell right now,0.0,1.0,0.0,0.0,NEU
“likelihood of a ‘strong’ hurricane” = not catastrophic at all 😂 have a great day 👋,0.428,0.572,0.0,0.7736,POS
he did mention in his live last night that once it hits the warm gulf waters there is hurricane potential by the time it hits the panhandle area.,0.066,0.934,0.0,0.2263,POS
 I think she blocked me 🤦‍♀️😂,0.0,0.656,0.344,-0.2732,NEG
funny cause I don’t see your previous comments anywhere 🤔 …are you just hoping a hurricane hits us so that you can win the comments award? 🤷‍♀️ asking for a friend,0.424,0.576,0.0,0.9451,POS
you are “catastrophizing” not me. Bye dear.,0.0,0.733,0.267,-0.2924,NEG
"We are supposed to fly into Tampa Monday morning around 5am, will that be a problem?",0.0,0.838,0.162,-0.4019,NEG
Sunday we will all know more.,0.0,1.0,0.0,0.0,NEU
probably not gonna happen but don’t cancel until Wednesday when we know more.,0.0,0.828,0.172,-0.3612,NEG
no. Later in the week it could be problematic if you’re vacationing here though.,0.0,0.702,0.298,-0.6249,NEG
"I thought it was supposed to move East? So the outlier model GFS was correct?",0.0,1.0,0.0,0.0,NEU
I was hoping the same.,0.483,0.517,0.0,0.4215,POS
"Thank you Denis Phillips! Looks like a wet one. Got any thoughts on storm surge? I'm curious because they supposedly built up an intersection in Tarpon to reduce the storm flooding. Haha, we'll see.....",0.268,0.732,0.0,0.8622,POS
Am I gonna be able to fly into Tampa Sunday,0.0,1.0,0.0,0.0,NEU
"Ok...just moved here the end of march..our married children have been thru storms, but not us. We are to fly out of tampa Wednesday afternoon to portland oregon. What is the estimated timeline? I'm trying to find it and no luck so far.",0.084,0.858,0.059,0.296,POS
"if it next Wednesday u yall flying out your good to go",0.225,0.775,0.0,0.4404,POS
yes it is. Thank you!! This is all new to us.,0.391,0.609,0.0,0.6988,POS
no problem,0.0,0.0,1.0,-0.5994,NEG
"We will fly from Germany to Tampa on Monday, planned arrival in the afternoon. What do you think about chances the flight will be operated? Brgs😊",0.067,0.933,0.0,0.2023,POS
"im picking up my daughter Monday at 11 a.m
Wondering as well",0.16,0.84,0.0,0.2732,POS
Lets wait and see,0.0,1.0,0.0,0.0,NEU
This ladies and gentlemen is why Denis Phillips says it's like being stalked by a turtle!! Welcome to our hurricane 🌀 season newcomers. Thanks for your guidance Denis!!,0.294,0.706,0.0,0.8614,POS
"How will it look down in the keys this weekend?? Traveling there Friday, leaving to come back to Tampa on Sunday.",0.0,1.0,0.0,0.0,NEU
same…was leaving tomorrow to go to Keys and leave early Monday…currently debating what to do,0.0,0.921,0.079,-0.0516,NEG
"Will stay tuned! Thanks so much for keeping us informed as you are (at that current time) remember you guys, at best Dennis is giving you an extremely educated guess as to what's going to happen but even for him, things are unpredictable sometimes.",0.138,0.862,0.0,0.6749,POS
Will the whole week be a wash in Destin?! 😭 any chance of clear water for us? We are driving all the way from VA!,0.209,0.791,0.0,0.6751,POS
we have flight/trip into St Pete next Thursday thru Monday. Will this trip be impacted?,0.0,1.0,0.0,0.0,NEU
same question Denis Phillips 😩,0.0,1.0,0.0,0.0,NEU
same! We leave Wednesday to Clearwater 😓🥴first time. Hope it’s ok?,0.37,0.548,0.082,0.636,POS
Flying into Orlando from UK on Tuesday. What do I need to know/do? Be kind to a Brit who's used to rain but not tropical storms/ hurricanes 😵‍💫,0.081,0.919,0.0,0.296,POS
bring your rain gear…and your patience in case there are delays. Hope you have a nice visit once you arrive!,0.261,0.739,0.0,0.7177,POS
change your flight dates to a week later lol,0.286,0.714,0.0,0.4215,POS
if I had the money to do that I would. As long as the roof doesn't blow off I'm sure we will still love it. ❤️,0.228,0.772,0.0,0.7579,POS
ohh Yahh Ive been through many of them it's actually quite exciting as long as your in a house and not mobile home 🤣😂,0.137,0.863,0.0,0.5413,POS
we are in a villa. We always come August time due to my work holidays and know it's hurricane season so I shouldn't stress about it really. I'm still mega excited being from the North East of England any temp above 20c with rain is a bonus 👌 lol. X,0.258,0.742,0.0,0.9171,POS
ohhh well your in luck it was 54c index the last 3 weeks 😂🤣,0.317,0.683,0.0,0.6249,POS
spoken like a Floridian! Anything under a cat 3 you’ll be fine!,0.411,0.589,0.0,0.5972,POS
Realistically how long would the rain/ potential flooding last into next week?,0.0,1.0,0.0,0.0,NEU
I thought this was hitting east coast?,0.0,1.0,0.0,0.0,NEU
Mother Nature is so unpredictable. If you watch his video from last night he explains how this happens when storms form in that area.,0.0,1.0,0.0,0.0,NEU
"no complaints here! We need the rain. Just crazy that all the models were predicting east coast, and that changed overnight",0.0,0.703,0.297,-0.7644,NEG
"me too, actually the Carolinas, wth happened?",0.0,0.638,0.362,-0.5267,NEG
We are flying into Sarasota today for a week at the beach. What do you think tomorrow and the weekend will look like? Mil is coming from CA on Friday,0.082,0.918,0.0,0.3612,POS
We are supposed to leave from Cape Canaveral on a cruise to Aruba Saturday afternoon. Thoughts on this? Thank you 😊,0.136,0.807,0.057,0.397,POS
Flying out Saturday to AMI for the week. Family vacation. Should we cancel?,0.0,0.857,0.143,-0.25,NEG
In Miami thru Sunday - think it is going to be a washout the whole weekend? Thank you!,0.157,0.843,0.0,0.4199,POS
How does Citrus county look?,0.0,1.0,0.0,0.0,NEU
what about zephyrhills? What kinda impact will we get?,0.0,1.0,0.0,0.0,NEU
How’s it supposed to be in Pasco County?,0.0,1.0,0.0,0.0,NEU
How is Polk county looking for Sunday?,0.0,1.0,0.0,0.0,NEU
Does that include Brooksville?,0.0,1.0,0.0,0.0,NEU
Will this cause potential flooding from storm surge…Shore Acres area?,0.0,1.0,0.0,0.0,NEU
"Why do people plan air travel into and out of Florida during hurricane season if they are going to panic, berate the weather FORECASTERS, and ask the same questions over and over. Storms take time t develop and it’s all up to the storm what it will do. Not Denis.",0.0,0.936,0.064,-0.5106,NEG
So predictable isn't it. People think it's all about them and their particular situation. And then they even want someone else to tell them what to do...and then play the blame game when it doesn't work out in their favor.,0.143,0.804,0.054,0.4588,POS
"maybe it’s just a question ., people ask them all the time … why do you care? See another question 😊",0.158,0.842,0.0,0.4939,POS
"How quickly things change. I get it, weather is unpredictable. Which is crazy that they even attempt to. But this page said just a few days ago (I’m paraphrasing) not much to worry about for Florida. Should go East and probably be nothing. I know Denis has a challenging task, as do all weather folk. But until the storms are like 4-7 days out… it’s a lot of guesswork. Over-hype or under-hype.",0.113,0.863,0.023,0.7621,POS
I’m supposed to fly out of PIE Monday. Should I cancel or postpone?,0.0,0.719,0.281,-0.4404,NEG
following!,0.0,1.0,0.0,0.0,NEU
I don't like being in the middle of the windshield wiper effect.,0.0,0.826,0.174,-0.2755,NEG
at what point do we cancel Disney world for next week? 😞,0.0,0.833,0.167,-0.25,NEG
We are supposed to go to Destin on Friday for long weekend... bad idea?,0.0,0.788,0.212,-0.5423,NEG
How much rain is predicted for Pasco County?,0.0,1.0,0.0,0.0,NEU
How does Monday look for leaving Port Canaveral on a cruise?,0.0,1.0,0.0,0.0,NEU
Thanks Denis Phillips. When do you predict this makes landfall to Captiva area?,0.195,0.805,0.0,0.4404,POS
"Does the water depth matter or just the temperature? Does warm, shallow water give less or same effect as warm, deep water?",0.217,0.783,0.0,0.504,POS
"It pays to watch any storm closely, you just never know what the weather currents will bring!!",0.0,1.0,0.0,0.0,NEU
I am supposed to be in Panama City Beach on Sunday with my grandsons for our vacation. What do you think the weather there will be like?,0.091,0.909,0.0,0.3612,POS
what about Monday thru Thursday? I don't want to put them in harms way.,0.0,0.713,0.287,-0.5302,NEG
No one can say.. it’s too soon just keep updated. But if there is impacts that would be the time frame you mentioned,0.0,0.932,0.068,-0.1531,NEG
thank God my wedding sunday,0.605,0.395,0.0,0.5574,POS
ma'am keep watching the updates. The Gulf is 92* keep your car gassed up incase you have to evacuate. Stay safe and have fun,0.22,0.78,0.0,0.7351,POS
"if GFS is reliable parts of the Panhandle are looking 39 inches of rain.
I’m in Destin and am watching close preparing to evacuate.",0.0,1.0,0.0,0.0,NEU
does rule 7 apply still? We’re leaving for Panama Friday… do we cancel???,0.0,0.788,0.212,-0.4515,NEG
Panama 🇵🇦 the country should be ok.,0.268,0.732,0.0,0.296,POS
Ponce read comments,0.0,1.0,0.0,0.0,NEU
Wet. Hot. Humid.,0.0,1.0,0.0,0.0,NEU
I am in Pittsburgh until next Saturday. To come home to weeki wachee. Will there be a state left?,0.0,1.0,0.0,0.0,NEU
The Ark is at the ready to go!!!!,0.344,0.656,0.0,0.5673,POS
How does Sunday look like for Pinellas Park?,0.263,0.737,0.0,0.3612,POS
Going to Marathon and key west Monday for a week. Thoughts??,0.0,1.0,0.0,0.0,NEU
"Same here😭",0.0,1.0,0.0,0.0,NEU
"Hopefully Live Oak Florida stay out of the path of storms this year, another direction hit would be devastating!",0.111,0.7,0.189,-0.4389,NEG
Why am I always worried about New Orleans? 🙏,0.0,0.732,0.268,-0.296,NEG
I'm seeing slight surge at st pete NOAA gauge but it dropped a little since last night.,0.0,1.0,0.0,0.0,NEU
"I think it's going to come into the Gulf, slow down and flood Sarasota, gain strength in the abnormally warm water and then hit the panhandle at no less than a Cat 2. If I didn't say it out loud, it would happen.",0.182,0.771,0.047,0.743,POS
"You went from telling us ""not to cancel any weekend plans"" (so we stayed in PA, instead of trying to beat the storm home) to today saying there is going to be extreme rain. So now I'm wishing I would have followed my gut and left a day earlier, to try to beat the storm home. Hope that your first post was correct, because we can't leave ""yesterday"" to drive home, when we're already in ""today""... Just sayin' 😉",0.099,0.901,0.0,0.7142,POS
you know storms can change in a heartbeat. Denis Phillips is usually pretty accurate. God is in control of all the storms not the weatherman. I pray for your safe travels home. God has already gone before you and made every crooked path straight. In all things give thanks.,0.265,0.701,0.034,0.903,POS
all our area is going to see is rain he said yesterday. Not extreme wind or anything like that. You should be fine!,0.179,0.821,0.0,0.5562,POS
"he really can guess anything in the last time , just saying 😉",0.0,1.0,0.0,0.0,NEU
this weekend is going to be fine.,0.231,0.769,0.0,0.2023,POS
"he also said ""don't cancel just yet"" and they would know more by the weekend...in the end you have to decide whats best for you instead of depending on someone else to run your life ...",0.149,0.851,0.0,0.7131,POS
"Stop blaming him for your problems omg he said he
""He"" wouldn't cancel any plans (RIGHT NOW ) (when he said it A COUPLE OF DAYS AGO .. ) to WAIT for the models to come together and see how this was going to play out !!!!!That was you option to leave or not and not his problem.
Uggg you people hear what you want to hear and not what he is actually saying ...
He isn't a magician nor married to mother nature so he scientifically looks at these models and according to models ,past records ,computer programs he gives us a wether outlook .
Ugg you people .Stay in PA maybe that's where you need to be instead of in FL where this happens every dang year and you should ALWAYS BE PREPARED AND AT THE READY NOT ready to blame someone else for your poor planning .
JS😉
BTW I was born and raised here in Fl and our weathermen and woman are just as human as us their job is to( Forcast not Predict !!!!) Js..",0.088,0.836,0.076,0.3089,POS
what do you mean Denis isn't married to Mother Nature??? Could have fulled me! Bet his real wife thinks that he is during hurricane season. 😆,0.0,1.0,0.0,0.0,NEU
Testify! I've been here only 6 years but lived in Bermuda for 6 years and the midwest for 10. Mother Nature doesn't check in with us (even meteorologists) when she changes her mind.,0.0,1.0,0.0,0.0,NEU
"Don't blame Dennis because you CHOSE not to follow your gut. One should follow his/her gut even if one has no idea why their gut is directing them. That is how we as humans (most who are completely disconnected from body signals) get into trouble. Learn a lesson from this and watch the birds on the last day. The birds will tell you what to do. Follow your gut, follow the birds. What do you think ol' timers did before technology? I wish you the best of luck. And TY Dennis for staying up all night to try to direct us through the storm, much appreciated.",0.155,0.804,0.041,0.9283,POS
Denis' crystal ball is in the shop this week.,0.0,1.0,0.0,0.0,NEU
"Seriously? Why the heck do so many people try to blame everyone else for their problems? I mean, really?
Denis is not a psychic, a magician or in one-on-one communication with this storm!! He is human AND. A phenomenal meteorologist! The best in the county IMO!
And you should go back and re-read his reply to you. And at the end of the day, you should always trust your gut!! Safe travels…..",0.15,0.766,0.084,0.8078,POS
So he can tell Mother Nature to hold off because You are in Pa? Maybe that's a lot safer place to be.,0.123,0.877,0.0,0.4215,POS
"My point, that ""better safe than sorry"" would have been a better message, than encouraging people not to change their plans.",0.426,0.528,0.046,0.8957,POS
Shame on you Denis🙄🙄,0.0,0.492,0.508,-0.4767,NEG
Is this going to be an issue for tarpon,0.0,1.0,0.0,0.0,NEU
When is this expected to make landfall?v,0.0,1.0,0.0,0.0,NEU
7:07 pm on Monday,0.0,1.0,0.0,0.0,NEU
"Knew this one was coming here!!",0.0,1.0,0.0,0.0,NEU
Gotta love a potential hurricane when school starts 🤪,0.412,0.588,0.0,0.6369,POS
We are on the water. Sunrise this morning,0.0,1.0,0.0,0.0,NEU
I saw that. Doesn’t look too good for us. Thanks,0.453,0.547,0.0,0.7003,POS
So this will be a weaker hurricane? Or TS???,0.0,0.645,0.355,-0.594,NEG
Ok so here I am in Norman Oklahoma visiting my grandkids till Wednesday Aug 7… will it be gone by then or should I rethink my plans- I’d be flying into tampa,0.071,0.929,0.0,0.296,POS
I will welcome the rain! Rule #7 always!,0.374,0.626,0.0,0.555,POS
Denis My daughter supposed to fly in Friday and fly out Monday back home. She’s a nurse on call in Jersey. Do you think it’s gonna be an issue flying out Monday night?,0.0,1.0,0.0,0.0,NEU
"We are in Ohio, keep up the great work.",0.339,0.661,0.0,0.6249,POS
What is NOLA?,0.0,1.0,0.0,0.0,NEU
"New Orleans Louisiana",0.0,1.0,0.0,0.0,NEU
"This is gonna mess up my overtime at work dang it lol",0.183,0.654,0.163,0.0772,POS
Spending a week in Bradenton beach .. will it be a washout?,0.0,1.0,0.0,0.0,NEU
when are you coming?,0.0,1.0,0.0,0.0,NEU
"If I am reading this right, Polk County is just gonna get a lot of rain then?",0.0,1.0,0.0,0.0,NEU
"At worst a rain event for us, unless it changes dramatically.",0.0,0.687,0.313,-0.6249,NEG
Polk will get nothing if Tampa south.,0.0,1.0,0.0,0.0,NEU
