2 AM UPDATE | Debby has winds at 80 mph. Landfall is expected within the next 4 hours along the Taylor/Dixie County coastline. Extremely heavy rains continue in bands here in Tampa Bay with widespread flash flooding.,Pos,Neu,Neg,Compound,Overall Sentiment
yes just had to take my dog outside. The frogs!!🐸,0.267,0.733,0.0,0.508,POS
Heavy wind gusts and rain here in Sarasota.,0.0,1.0,0.0,0.0,NEU
I know we have a lot of rain with widespread flooding and high winds. I think that as we have heard a bout the 80 degree gulf water . I am thankful that this wasn’t that bad. I will take this hands down.,0.09,0.825,0.085,0.0516,POS
"Heavy bands still in Palmetto, also. Just when I think it's over, another one comes sweeping in.",0.0,1.0,0.0,0.0,NEU
"Same here south of Downtown St. Pete",0.0,1.0,0.0,0.0,NEU
same here in Sarasota. I can’t sleep!,0.0,1.0,0.0,0.0,NEU
"same!",0.0,1.0,0.0,0.0,NEU
Same in LWR!,0.0,1.0,0.0,0.0,NEU
"Our road is a river here in Sarasota 🤯",0.0,1.0,0.0,0.0,NEU
Still have power in Citrus Springs where I am. Rain and high winds...of course the dogs have to pee.,0.0,1.0,0.0,0.0,NEU
What about Leon county In Tallahassee,0.0,1.0,0.0,0.0,NEU
"In Nokomis, the winds and rain keep coming and coming.. then the weather alerts keep you awake. One time it is flood warnings and now tornado alerts. Computer backup keeps clicking on and off. Storm began about 7:30 yesterday morning and simply has not stopped. Higher winds gusts began at nightfall, of course.. Keep safe everyone - 🙏🙏🙏💕",0.075,0.889,0.036,0.3326,POS
"we have a house in Nokomis but are not there . Is it really bad ?",0.0,0.698,0.302,-0.7343,NEG
"Just woke up to no power here in valrico/dover. We have been here since 2008 and have been through many hurricanes and tropical storms and in my opinion this one by far is the worst one….I don’t want to hurricane anymore 👎, anytime Debby wants to leave is fine with me lol",0.099,0.774,0.126,-0.3818,NEG
it definitely worse that I had expected.,0.276,0.408,0.316,-0.1027,NEG
"me too!",0.0,1.0,0.0,0.0,NEU
"I know it’s kinda hard to see but this is Redington Beach like 3 hrs ago! The street is flooded. We have water that keeps seeping into my room. I’m using a shop vac every 30 mins or so at this point thankfully but earlier it was every 5 mins or so. This storm is not to be taken lightly.
Followers: please listen to Denis and the other meteorologists!! Please. Don’t find yourself in a dangerous situation because you decided not to listen! Take care!",0.19,0.756,0.054,0.9339,POS
Been without power since 10.36pm and it is sweltering in our home without AC or any fans going. How can anyone survive in Florida without AC in the summer here? When will they send out crews to fix the power when we still have tremendous wind gusts and rain still going on?,0.0,1.0,0.0,0.0,NEU
"i use battery operated fans and cooling towels...
So, where are you?
Be safe!🙏👍",0.0,1.0,0.0,0.0,NEU
Dunedin on Overcash Dr,0.0,1.0,0.0,0.0,NEU
"Waited for Debbie all day, now she wants to show up drunk in the middle of the night 🤦🏻‍♀️🤦🏻‍♀️🤣🤣",0.0,0.882,0.118,-0.34,NEG
"How safe is that for people going to work today ?",0.244,0.756,0.0,0.4404,POS
Thank you Dennis for all you do. I am trying to compare surge numbers to Idalia and the other two storms that flooded my house and other neighbors here in Redington. Right now we are ok. The next big high tide is around 3pm. Any thoughts? It looks like if we stay below 3.5ft we are ok. Any thoughts?,0.153,0.847,0.0,0.8299,POS
The wind and rain all night was loud and relentless! Debby seems to be a scorned woman!!! 😂,0.136,0.864,0.0,0.3331,POS
"hey Lori!!! lol I was knocked out last night, I keep 2 fans on so I can’t hear the wind when I sleep lol now my power is out! Had to take a last min dat at work lol so glad it’s electronic now lol 😆",0.323,0.677,0.0,0.9454,POS
I never lost power thank goodness!! I am glad yours is back!! 🥰🥰,0.501,0.384,0.116,0.7918,POS
yeah it’s back now finally! I was starting to get a little warm lol,0.424,0.576,0.0,0.6829,POS
yes she is...believe me😂 Hunker down!,0.374,0.626,0.0,0.4574,POS
"But the real question is, How many diet Dr Pepper’s have you drank so far??",0.0,1.0,0.0,0.0,NEU
Love you all too!! Stay safe!!!,0.674,0.326,0.0,0.8507,POS
too many..lol we are fine here so far. ❤️,0.184,0.816,0.0,0.2023,POS
"BAHAH! Heather, I love you 😍",0.6,0.4,0.0,0.6696,POS
Praying for everyone in the path when it makes landfall. This was the worst tropical storm and I can’t even imagine the aftermath now that it’s strengthened. 🙏,0.164,0.71,0.127,0.0516,POS
Bad storms and heavy wind here in Venice,0.0,0.667,0.333,-0.5423,NEG
Venice Pier winds are still cranking. Surprised!,0.268,0.732,0.0,0.2942,POS
"it was definitely one strong tropical storm",0.545,0.455,0.0,0.7184,POS
here too in Bradenton. This is worse than the cat 4 I've seen,0.0,0.78,0.22,-0.4767,NEG
yes! I couldn’t believe how it looked outside. The howling of the wind and stuff banging around outside. 😬😬,0.15,0.85,0.0,0.4574,POS
it bent the flag pole in half and the flooding is awful,0.0,0.786,0.214,-0.4588,NEG
"What is the forecast for the Tampa Bay area. Not the Carolinas",0.0,1.0,0.0,0.0,NEU
Howard Frankland bridge northbound has got surf spray blasting across three lanes at the rocks on each end. I might’ve even seen some fish in the roadway 😳,0.0,1.0,0.0,0.0,NEU
it was still open?!,0.0,1.0,0.0,0.0,NEU
yes. I made two trips over this evening 4 hours apart. There’s a trooper parked in the far right lane monitoring things.,0.13,0.87,0.0,0.4019,POS
Well living in mobile home it always sounds worse. North Lakeland definitely getting hit hard,0.236,0.542,0.222,0.0772,POS
Is Polk still on tornado warning ?,0.0,0.676,0.324,-0.34,NEG
"No, I believe a Tornado Watch until 6am",0.0,0.694,0.306,-0.296,NEG
"yes they just announced it",0.403,0.597,0.0,0.4019,POS
"they just announced we’re back under it
But who knows
This is all over the place
We heard the tornado at 2am in my area",0.0,1.0,0.0,0.0,NEU
"Believe me, i have gotten zero sleep. I too live in North Lakeland in a mobile home. Honestly, i am ready for all of it to be over. Praying 🙏 for you and your family to stay safe.",0.273,0.727,0.0,0.872,POS
same it’s definitely scary,0.342,0.253,0.405,-0.128,NEG
Thank you! It sure is.,0.629,0.371,0.0,0.6239,POS
Just got home from work and thankfully it wasn't to bad in Spring Hill. Lots of leaves down and small branches but didn't see anything big or flooding.,0.128,0.872,0.0,0.4263,POS
Its realy misable when my dog won't settle down know something wrong.and it's getting very muggy in my house without electric.,0.0,1.0,0.0,0.0,NEU
Road conditions?? New port richey,0.0,1.0,0.0,0.0,NEU
I moved from the Tampa Bay Area right into the eye of this storm and also last year's storm. For some reason this one seams stronger then a cat one storm.,0.085,0.915,0.0,0.3818,POS
Crap…..gonna go right on top of my son in Charleston….. 🙏🙏🙏,0.153,0.847,0.0,0.2023,POS
Winds and rain just started all over again Sarasota,0.0,1.0,0.0,0.0,NEU
yup. Here in SRQ and can’t sleep.,0.0,1.0,0.0,0.0,NEU
"yes, it sure did! Stay safe.",0.732,0.268,0.0,0.8016,POS
any flooding over the seawall near Marina Jacks? Or just rain?,0.0,1.0,0.0,0.0,NEU
"Seriously…
Crazy & relentless…
Raining so hard…..",0.0,0.676,0.324,-0.34,NEG
haven't heard.,0.0,1.0,0.0,0.0,NEU
Thanks for all of your hard work!! Coming down pretty hard in Beverly Hills (Citrus),0.326,0.537,0.137,0.7081,POS
Thank you both! It's just after midnight up here. Trying to keep up with Denis and his awesome reporting ❤️❤️❤️,0.277,0.723,0.0,0.784,POS
my parents are in Citrus Springs on East side of 41. I'm on a cruise in Alaska right now. Still have electric? How bad are the winds?,0.0,0.866,0.134,-0.594,NEG
in citrus springs heavy rain and wind but all is well. Electric went out for 2 seconds and back on.,0.128,0.872,0.0,0.3919,POS
I’m in citrus springs. Close to 41 and country club. Still have electricity. Very windy… says gusts up to 43 right now.,0.0,1.0,0.0,0.0,NEU
pretty windy the last hour. Calming down now,0.496,0.504,0.0,0.7096,POS
Thank you for the update! Getting lots of rain and significant wind gusts here in Wimauma.,0.247,0.753,0.0,0.5562,POS
"it's scary",0.0,0.238,0.762,-0.4939,NEG
"Just lost our power in Dade City, sounds crazy windy right now",0.0,0.68,0.32,-0.5719,NEG
y'all doing okay?,0.487,0.513,0.0,0.2263,POS
yes! Power came back on at 5am,0.333,0.667,0.0,0.4574,POS
thank goodness!,1.0,0.0,0.0,0.6996,POS
Power is down on siesta. It’s time for this thing to end.,0.0,1.0,0.0,0.0,NEU
Prayers 🙏 🙏 🙏 thank you for keeping us updated 🙏 ❤️,0.263,0.737,0.0,0.3612,POS
"Heavy bands in Ocala just woke me up🥴",0.0,1.0,0.0,0.0,NEU
It's 2:55 am & I'm up. The rain & wind are so loud in Zephyrhills I can't sleep. Thanks for keeping us updated. Love all your info you always provide. Can definately see a nap today. Lol,0.178,0.761,0.061,0.6802,POS
Yah rain and wind are heavy over here in Lithia . Can’t sleep,0.0,1.0,0.0,0.0,NEU
me too! Ughh,0.0,1.0,0.0,0.0,NEU
same here.,0.0,1.0,0.0,0.0,NEU
"Jackie, my poor cat is going nuts. She wants to go out so bad but then she freaks out when I open the door so she can look outside . She's so confused.",0.0,0.684,0.316,-0.8759,NEG
poor thing. Mine is doing fine and I didn't let him out all day.,0.113,0.692,0.195,-0.3182,NEG
Debby definitely packed a punch 😑,0.474,0.526,0.0,0.4019,POS
The winds and rain have been crazy in Bradenton,0.0,0.769,0.231,-0.34,NEG
Yes still awake —-Recently in the past hr. heard a band or two go through our area.—It is bad— a little more intense than our norm summer rain storms.,0.138,0.862,0.0,0.4615,POS
Worried about my daughter and 2 grandchild in mobile home in Lutz. Anyone here from Lutz?,0.0,0.864,0.136,-0.296,NEG
Still crazy in Sarasota!,0.0,0.527,0.473,-0.4003,NEG
Yes it sure is!,0.726,0.274,0.0,0.6476,POS
Still heavy rain in plant city off sam-allen,0.0,1.0,0.0,0.0,NEU
Finally got My Dogs out. Wow the Wind really picked up it was scary. Holiday,0.3,0.553,0.147,0.5106,POS
"Raining heavy in Citrus County right now.",0.0,1.0,0.0,0.0,NEU
I’m here in Perry Florida. It’s starting to rev up.,0.0,1.0,0.0,0.0,NEU
and yall haven't even fully recovered from the last one! Hang in there ❤️,0.0,1.0,0.0,0.0,NEU
🌹ty,0.0,1.0,0.0,0.0,NEU
Perry didn’t need this. Prayers for everyone’s safety.,0.286,0.714,0.0,0.4215,POS
"thank you, waiting for power to be restored",0.45,0.55,0.0,0.5994,POS
Good morning Dennis thank you for the information. Stay safe!!,0.559,0.441,0.0,0.8353,POS
I had a feeling this was going to be bad. All my hurricane shutters are closed. I still have PTSD from Ian.,0.068,0.773,0.159,-0.4588,NEG
Pinellas park to much rains and Scary winds 😢🙏🏻,0.0,0.714,0.286,-0.4939,NEG
