id,type,platform,hurricane,days_from_landfall,source,author,created_date,text,vader_neg,vader_neu,vader_pos,vader_compound,vader_label,roberta_neg,roberta_neu,roberta_pos,roberta_truncated,roberta_label
phi_deb_July31_2_c011,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I am too. We go 3-4 times a week. I'm still going so far.,0.0,1.0,0.0,0.0,neutral,0.005443279,0.3182931,0.67626363,False,POS
phi_deb_July31_2_c012,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,no,1.0,0.0,0.0,-0.296,negative,0.15353516,0.45349324,0.3929716,False,NEUTRAL
phi_deb_July31_2_c013,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,watch out for sharks. They have been bad over there lately.,0.259,0.741,0.0,-0.5423,negative,0.7873823,0.19909678,0.013520943,False,NEG
phi_deb_July31_2_c014,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thank you!!,0.0,0.245,0.755,0.4738,positive,0.011075764,0.033157967,0.9557663,False,POS
phi_deb_July31_2_c015,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,that's my thoughts heading to St Augustine tomorrow. I'm bringing rain jackets and umbrellas.,0.0,1.0,0.0,0.0,neutral,0.031353787,0.7686603,0.19998586,False,NEUTRAL
phi_deb_July31_2_c016,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,it's days away from north Florida.,0.0,1.0,0.0,0.0,neutral,0.19218676,0.76267207,0.045141242,False,NEUTRAL
phi_deb_July31_2_c017,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,unless she’s going on a surffing trip,0.0,1.0,0.0,0.0,neutral,0.095401116,0.8649728,0.039626095,False,NEUTRAL
phi_deb_July31_2_c018,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,rip current might be more interesting,0.0,0.626,0.374,0.4576,positive,0.10266163,0.678237,0.21910135,False,NEUTRAL
phi_deb_July31_2_c019,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Could you explain what that means for the Miami/Fort Lauderdale area?,0.0,1.0,0.0,0.0,neutral,0.022835355,0.94647706,0.030687694,False,NEUTRAL
phi_deb_July31_2_c020,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thank you!!,0.0,0.245,0.755,0.4738,positive,0.011075764,0.033157967,0.9557663,False,POS
phi_deb_July31_2_c021,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"we got a cruise to Bahamas out of Port Canaveral, thurs-Sunday, do you think our weather will be bad? 😫",0.252,0.748,0.0,-0.7506,negative,0.8022615,0.18292679,0.014811677,False,NEG
phi_deb_July31_2_c022,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I’ve been asking the same thing 😬,0.255,0.745,0.0,-0.34,negative,0.11035361,0.75573695,0.13390945,False,NEUTRAL
phi_deb_July31_2_c023,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I’ll be heading back to Tampa area from NE driving down 95 on Saturday. Should I be concerned?,0.0,1.0,0.0,0.0,neutral,0.115759,0.85995513,0.0242858,False,NEUTRAL
phi_deb_July31_2_c024,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thank you,0.0,0.286,0.714,0.3612,positive,0.03199696,0.15212604,0.81587696,False,POS
phi_deb_July31_2_c025,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,cruising from NYC down the whole East coast into the Caribbean starting Monday. I’m getting nervous 😬 thoughts?,0.209,0.791,0.0,-0.5423,negative,0.3083249,0.6347026,0.05697249,False,NEUTRAL
phi_deb_July31_2_c026,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,🙏🏼 hopefully they skirt around that . lol,0.0,0.645,0.355,0.6705,positive,0.019871304,0.18573958,0.7943891,False,POS
phi_deb_July31_2_c027,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"What are the chances for rapid intensification upon approach, as has happened with other minimal looking storms?",0.0,0.899,0.101,0.2023,positive,0.029899094,0.9272927,0.042808212,False,NEUTRAL
phi_deb_July31_2_c028,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,the last hurricane that headed toward Mexico was really nothing until it got much closer.,0.0,1.0,0.0,0.0,neutral,0.3391305,0.6080592,0.05281027,False,NEUTRAL
phi_deb_July31_2_c029,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,would it have a chance of possibly to be one that crosses over the state type of scenario?,0.0,0.895,0.105,0.25,positive,0.040438604,0.91359395,0.045967348,False,NEUTRAL
phi_deb_July31_2_c030,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,don't tell the people in the islands that!,0.0,1.0,0.0,0.0,neutral,0.7437656,0.24130368,0.014930722,False,NEG
phi_deb_July31_2_c031,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"if you're referring to Beryl, it was a Cat 4 in the Atlantic and Cat 5 in the Caribbean before it even got into the gulf, and in fact it weakened as it approached Mexico.
https://en.m.wikipedia.org/wiki/Hurricane_Beryl",0.062,0.938,0.0,-0.3182,negative,0.22307777,0.75199026,0.024931977,False,NEUTRAL
phi_deb_July31_2_c032,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Katrina was a TD over the Bahamas, turned hard left....",0.135,0.865,0.0,-0.1027,negative,0.092611186,0.8016333,0.105755605,False,NEUTRAL
phi_deb_July31_2_c033,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,we are supposed to go to St Augustine Beach on Wednesday the 7th. Should we change our plans?,0.0,1.0,0.0,0.0,neutral,0.027744098,0.9538818,0.018374132,False,NEUTRAL
phi_deb_July31_2_c034,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thank you sir,0.0,0.444,0.556,0.3612,positive,0.016337285,0.07104403,0.91261864,False,POS
phi_deb_July31_2_c035,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Seems like earlier development would also favor the Euro's trends, though I am certainly not the expert.",0.0,0.648,0.352,0.765,positive,0.03568479,0.6983954,0.26591986,False,NEUTRAL
phi_deb_July31_2_c036,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Headed to Navarre Friday night? Should we reconsider plans?,0.0,1.0,0.0,0.0,neutral,0.0450792,0.9377472,0.017173545,False,NEUTRAL
phi_deb_July31_2_c037,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,were headed to panama friday...praying this goes the other way!,0.0,1.0,0.0,0.0,neutral,0.01142105,0.4930321,0.4955468,False,POS
phi_deb_July31_2_c038,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Thoughts on leaving for a cruise to Bahamas from Port Canaveral, Friday 8/2 to Monday 8/5?",0.0,1.0,0.0,0.0,neutral,0.009500329,0.9563978,0.0341019,False,NEUTRAL
phi_deb_July31_2_c039,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"When will the Bahamas be getting the weather? 😅
Leaving out of Jacksonville on Monday on a cruise to the Bahamas.",0.0,0.902,0.098,0.3612,positive,0.034042694,0.87300146,0.09295589,False,NEUTRAL
phi_deb_July31_2_c040,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,oh boy 😬,0.444,0.556,0.0,-0.34,negative,0.7095319,0.23777819,0.052689955,False,NEG
phi_deb_July31_2_c041,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I leave tomorrow and am there through Monday 🙄,0.098,0.902,0.0,-0.0516,negative,0.4229047,0.5182081,0.058887247,False,NEUTRAL
phi_deb_July31_2_c042,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"we are currently in the Bahamas, north of Nassau. The height of this storm appears to be mid-day Friday thru most of Saturday. It would likely be near Nassau sooner than that.",0.0,1.0,0.0,0.0,neutral,0.018754505,0.93192106,0.049324494,False,NEUTRAL
phi_deb_July31_2_c043,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"my daughter is leaving Friday out of Miami on a cruise to the Bahamas. She has a snorkeling excursion planned for Saturday as well as going to Nassau that day. Needless to say, she’s pretty disappointed with the timing of this.",0.067,0.819,0.114,0.296,positive,0.805096,0.18088672,0.014017346,False,NEG
phi_deb_July31_2_c044,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Awe, man, that’s a bummer! I’m hoping it’s mostly past by the time we’ll be out there. We won’t get out there until Tuesday.",0.094,0.794,0.112,0.126,positive,0.8264966,0.15589927,0.017604195,False,NEG
phi_deb_July31_2_c045,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I’d think by Tuesday you’ll be good,0.0,0.674,0.326,0.4404,positive,0.049319662,0.65242237,0.298258,False,NEUTRAL
phi_deb_July31_2_c046,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Thank you for your update...your honesty means a lot to me..it helps to calm me down, as these storms really frighten me",0.089,0.561,0.35,0.785,positive,0.060499903,0.1260512,0.8134489,False,POS
phi_deb_July31_2_c047,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"I’ve lived here on and off all my life and I’m still scared every storm season. I’m envious of all the folks who have sturdy, hurricane-proof homes and generators. That would probably quell some of my storm fear/phobia.",0.122,0.878,0.0,-0.6124,negative,0.38939747,0.36994442,0.24065813,False,NEG
phi_deb_July31_2_c048,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"I wish I didn't have this fear..but every year
it seems to get worse..",0.174,0.674,0.152,-0.1027,negative,0.91011834,0.08096259,0.008919087,False,NEG
phi_deb_July31_2_c049,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"have a plan and prepare as best you can. That can go a long way towards allying your fears. Fwiw, I lived in the Tampa Bay area (Odessa) for 50 years, saw many storms, but never had any significant damage..",0.173,0.771,0.056,-0.6692,negative,0.09116427,0.5873518,0.3214839,False,NEUTRAL
phi_deb_July31_2_c050,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Thank you..,0.0,0.286,0.714,0.3612,positive,0.01054151,0.1313745,0.858084,False,POS
phi_deb_July31_2_c051,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"same here..we are moving next year...to new major hurricane safe townhouse...so this is our last ""scary"" season per se.",0.137,0.727,0.136,-0.0056,neutral,0.24785218,0.54527587,0.20687199,False,NEUTRAL
phi_deb_July31_2_c052,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,been here 48 years. Been through many. Especially 2004! I don't panic until I need to. Comes with the territory,0.0,0.864,0.136,0.4577,positive,0.105942495,0.46837088,0.42568666,False,NEUTRAL
phi_deb_July31_2_c053,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,So many people panic needlessly. It's just so sad. Not worries until we have a cat 2. Before then? Don't bother paying attention. Because there is NOTHING to pay attention to. Literally. New to FL people are buying everything the media is selling. Probably putting up shutters right now.,0.131,0.765,0.103,-0.5614,negative,0.926788,0.066267386,0.0069446843,False,NEG
phi_deb_July31_2_c054,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Is anyone wondering if it will split the difference and go right up the center of the state?,0.0,1.0,0.0,0.0,neutral,0.061023086,0.918457,0.020520054,False,NEUTRAL
phi_deb_July31_2_c055,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,So we are headed to Myrtle Beach. Looks like we will have storms. Right? Denis Phillips,0.0,0.857,0.143,0.3612,positive,0.07012839,0.8604785,0.069393076,False,NEUTRAL
phi_deb_July31_2_c056,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Thank you for your in depth, non hyperbolic coverage!",0.0,0.741,0.259,0.4199,positive,0.0055387826,0.03327942,0.96118176,False,POS
phi_deb_July31_2_c057,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Flying out of Miami to Rome on Saturday night. Do we need to make any itinerary changes with this weather forecast?,0.0,1.0,0.0,0.0,neutral,0.015096707,0.95989174,0.025011593,False,NEUTRAL
phi_deb_July31_2_c058,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,what??????????,0.0,1.0,0.0,0.0,neutral,0.19756183,0.7121773,0.09026086,False,NEUTRAL
phi_deb_July31_2_c059,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,😂😂😂,0.218,0.345,0.437,0.8271,positive,0.155821,0.56351393,0.28066504,False,NEUTRAL
phi_deb_July31_2_c060,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Dennis, I’m visiting the Melbourne area this week. How much will Melbourne be impacted?",0.0,1.0,0.0,0.0,neutral,0.035899453,0.93757004,0.026530443,False,NEUTRAL
phi_deb_July31_2_c061,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Denis Phillips, I am heading to Costa Rica flying from Orlando next Wednesday morning. Do you think it will be cleared out by then?",0.0,0.943,0.057,0.1027,positive,0.0101276655,0.93732524,0.052547038,False,NEUTRAL
phi_deb_July31_2_c062,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,there’s not really been much about this interrupting Central America. And if it goes by the east coast on Sunday/monday. Wednesday should be no problem.,0.09,0.829,0.081,-0.0624,negative,0.15509462,0.7996305,0.04527486,False,NEUTRAL
phi_deb_July31_2_c063,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thanks! It keeps saying could develop in the next 7 days over and over which is now pushing right into my trip. Then some reports say if it develops it will this weekend so it’s just a little confusing. I just worry about the flight itself getting out of here.,0.088,0.859,0.053,-0.2261,negative,0.4313755,0.4986576,0.06996691,False,NEUTRAL
phi_deb_July31_2_c064,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"100% usually just means it can develop into a tropical storm in that time frame. So if it keeps pace (Sun/Mon) you should be good. If it for some reason it slows dramatically then it could push it later.
🤞🏼🤞🏼",0.0,0.943,0.057,0.4404,positive,0.04009243,0.680446,0.27946156,False,NEUTRAL
phi_deb_July31_2_c065,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thank you!,0.0,0.264,0.736,0.4199,positive,0.0124771595,0.0555859,0.931937,False,POS
phi_deb_July31_2_c066,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Will this hit this weekend or next week I'm trying to close on a house need to know when a named storm will appear it effects obtaining insurance before closing.. they won't insure any home when there is a named storm out there anywhere.. which is fun for us realtors.. we close on Wed a week from today. Get insurance Monday? Or this Friday? Haaaa,0.0,0.946,0.054,0.5661,positive,0.17444284,0.59571767,0.22983949,False,NEUTRAL
phi_deb_July31_2_c067,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I heard it is already named Debby. 🤷‍♀️,0.0,1.0,0.0,0.0,neutral,0.036940806,0.9030903,0.05996887,False,NEUTRAL
phi_deb_July31_2_c068,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,that’s what it WILL be named IF it becomes a tropical storm. It’s not officially named. We always just have the list. If this one doesn’t develop the next developed one will be Debbie.,0.0,1.0,0.0,0.0,neutral,0.19830216,0.7609885,0.04070937,False,NEUTRAL
phi_deb_July31_2_c069,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"it’s Debbie if it forms. It’s not technically a named storm at all. Denis would refer to it by name if it was named storm.
And he’s been saying Sunday/Monday for this weekend.",0.0,1.0,0.0,0.0,neutral,0.047639124,0.90709454,0.045266356,False,NEUTRAL
phi_deb_July31_2_c070,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,You are the greatest weather man. Thank You for always being real with us and with your no hype approach to weather. I appreciate you so much!!! ❤️🙏,0.056,0.684,0.26,0.8433,positive,0.0047182348,0.0113579985,0.98392373,False,POS
phi_deb_July31_2_c071,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Thank you for the updates. As usual, you’re the best person to follow. I’ve been following you since the Ferocious Four of 2004. You can never retire 😆",0.097,0.718,0.185,0.6358,positive,0.004411217,0.012142184,0.98344666,False,POS
phi_deb_July31_2_c072,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"I’m supposed to be flying from the Caribbean to FLL on Sunday, should I consider changing plans? It’s hard to tell what timing would look like with these types of models",0.043,0.881,0.076,0.2732,positive,0.21779463,0.76383114,0.018374197,False,NEUTRAL
phi_deb_July31_2_c073,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,We live on the east coast of Florida and I rely on your forecasts! Thanks so much.,0.0,0.834,0.166,0.4926,positive,0.0037244856,0.06407897,0.9321965,False,POS
phi_deb_July31_2_c074,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,We are coming to Ami this coming weekend for a week stay. Should we cancel our plans,0.111,0.889,0.0,-0.25,negative,0.07322162,0.88968337,0.037095033,False,NEUTRAL
phi_deb_July31_2_c075,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I wouldn't Im headed to AMI tomorrow and staying until Sunday.,0.0,1.0,0.0,0.0,neutral,0.051751193,0.8320573,0.116191536,False,NEUTRAL
phi_deb_July31_2_c076,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I'm so sorry my Florida friend I'm going to be missing this hurricane being in Ohio.,0.19,0.65,0.16,0.1045,positive,0.9030343,0.086700104,0.010265638,False,NEG
phi_deb_July31_2_c077,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Is this thing ever going to develop/move? It seems like this system can’t make up its mind.,0.0,0.865,0.135,0.3612,positive,0.92351294,0.071175545,0.0053114323,False,NEG
phi_deb_July31_2_c078,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,definitely a 🐢,0.0,0.426,0.574,0.4019,positive,0.06755369,0.4250232,0.5074231,False,POS
phi_deb_July31_2_c079,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,Amwrican model?? That a new one? 🧐 Denis Phillips,0.0,1.0,0.0,0.0,neutral,0.02751595,0.9345074,0.037976608,False,NEUTRAL
phi_deb_July31_2_c080,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I’m right there with ya. I was just teasing. I hope you have a great rest of the day! Let us know when we need to stock up on Dr Pepper! ❤️,0.033,0.772,0.195,0.8065,positive,0.004405006,0.028377559,0.96721745,False,POS
phi_deb_July31_2_c081,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,"Landing in Orlando, coming from New England- do you foresee any problems Monday night?",0.172,0.828,0.0,-0.4019,negative,0.04761308,0.92528677,0.027100231,False,NEUTRAL
phi_deb_July31_2_c082,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,we are flying into MCO Sunday evening/Monday morning….do you see there being a problem? Thank you!,0.153,0.718,0.128,-0.126,negative,0.014379015,0.7479658,0.23765516,False,NEUTRAL
phi_deb_July31_2_c083,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thank you! You’re the best!,0.0,0.292,0.708,0.8065,positive,0.0063386676,0.009801337,0.98386,False,POS
phi_deb_July31_2_c084,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,a little cooler weather photo for you this morning!,0.0,1.0,0.0,0.0,neutral,0.018678691,0.7492214,0.23209983,False,NEUTRAL
phi_deb_July31_2_c085,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,We’re heading to Myrtle Beach on Friday. Planning on flying back on Monday. Do you think we’ll have any issues getting out early afternoon?,0.0,1.0,0.0,0.0,neutral,0.009357743,0.9367284,0.053913858,False,NEUTRAL
phi_deb_July31_2_c086,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,you are hosed. Cancel now and run 🙂. Enjoy!!!,0.121,0.484,0.395,0.6725,positive,0.38048622,0.3990109,0.22050287,False,NEUTRAL
phi_deb_July31_2_c087,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,thanks Denis,0.0,0.256,0.744,0.4404,positive,0.013693058,0.19155642,0.79475045,False,POS
phi_deb_July31_2_c088,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,I should clarify. No issues returning from MB early Monday afternoon?,0.18,0.82,0.0,-0.296,negative,0.02507115,0.86201817,0.11291072,False,NEUTRAL
phi_deb_July31_2_c089,comment,facebook,Debby,-5,phillips,Denis Phillips,2024-07-31,What time frame are we thinking for Space Coast? 😭,0.22,0.78,0.0,-0.4767,negative,0.21096204,0.74893904,0.040098943,False,NEUTRAL
